# _root_ halaber , batzarkide eta parlamentario ugari ere agertu ziren hitzordura , eta hainbat euskal_erakunde nazionaletako ordezkariek ongi etorria eman zioten ekimenari .
#goldHeads=0,3,4,8,4,4,0,12,8,8,10,0,16,16,16,19,19,17,12,19,19,21,
#predictedHeads=0,3,4,8,4,5,0,12,8,8,10,0,14,16,14,19,19,19,12,19,19,21,
(12,4),-0.318472 # DEPENDENCYPART_ARC
(12,5),-0.886744 # DEPENDENCYPART_ARC
(12,8),0.57615 # DEPENDENCYPART_ARC
(12,9),-0.741509 # DEPENDENCYPART_ARC
(12,10),-0.0754382 # DEPENDENCYPART_ARC
(12,11),-0.311914 # DEPENDENCYPART_ARC
(12,13),-0.375895 # DEPENDENCYPART_ARC
(12,14),-0.632171 # DEPENDENCYPART_ARC
(12,15),-0.712807 # DEPENDENCYPART_ARC
(12,16),0.186501 # DEPENDENCYPART_ARC
(12,18),-0.658512 # DEPENDENCYPART_ARC
(12,19),0.178785 # DEPENDENCYPART_ARC
(12,21),-1.01041 # DEPENDENCYPART_ARC
(13,12),-0.613519 # DEPENDENCYPART_ARC
(13,14),-0.204897 # DEPENDENCYPART_ARC
(13,16),-0.574221 # DEPENDENCYPART_ARC
(14,4),-0.701491 # DEPENDENCYPART_ARC
(14,5),-0.851745 # DEPENDENCYPART_ARC
(14,8),-0.76734 # DEPENDENCYPART_ARC
(14,10),-0.621979 # DEPENDENCYPART_ARC
(14,11),-1.01221 # DEPENDENCYPART_ARC
(14,12),-0.368744 # DEPENDENCYPART_ARC
(14,13),0.997811 # DEPENDENCYPART_ARC
(14,15),1.58376 # DEPENDENCYPART_ARC
(14,16),-0.607376 # DEPENDENCYPART_ARC
(14,17),-0.806419 # DEPENDENCYPART_ARC
(14,18),-0.872102 # DEPENDENCYPART_ARC
(14,19),-0.834745 # DEPENDENCYPART_ARC
(14,20),-1.20801 # DEPENDENCYPART_ARC
(14,21),-0.848351 # DEPENDENCYPART_ARC
(14,22),-1.12537 # DEPENDENCYPART_ARC
(15,10),-1.70274 # DEPENDENCYPART_ARC
(15,13),-0.774971 # DEPENDENCYPART_ARC
(15,14),-0.292291 # DEPENDENCYPART_ARC
(15,16),-1.05546 # DEPENDENCYPART_ARC
(15,17),-1.05941 # DEPENDENCYPART_ARC
(15,18),-1.65029 # DEPENDENCYPART_ARC
(16,3),-1.16756 # DEPENDENCYPART_ARC
(16,4),-0.296892 # DEPENDENCYPART_ARC
(16,5),-0.905404 # DEPENDENCYPART_ARC
(16,8),-0.776217 # DEPENDENCYPART_ARC
(16,10),-1.34984 # DEPENDENCYPART_ARC
(16,11),-1.39779 # DEPENDENCYPART_ARC
(16,12),-0.2244 # DEPENDENCYPART_ARC
(16,13),-0.280208 # DEPENDENCYPART_ARC
(16,14),0.141665 # DEPENDENCYPART_ARC
(16,15),0.616373 # DEPENDENCYPART_ARC
(16,17),-0.0745023 # DEPENDENCYPART_ARC
(16,18),-1.46588 # DEPENDENCYPART_ARC
(16,19),-2.36582 # DEPENDENCYPART_ARC
(16,20),-1.82749 # DEPENDENCYPART_ARC
(16,21),-1.58949 # DEPENDENCYPART_ARC
(16,22),-1.22853 # DEPENDENCYPART_ARC
(17,1),-0.86789 # DEPENDENCYPART_ARC
(17,7),-0.822348 # DEPENDENCYPART_ARC
(17,16),-0.383206 # DEPENDENCYPART_ARC
(17,18),-0.242368 # DEPENDENCYPART_ARC
(17,21),-1.10094 # DEPENDENCYPART_ARC
(18,4),-0.953507 # DEPENDENCYPART_ARC
(18,11),-1.5875 # DEPENDENCYPART_ARC
(18,14),-0.777305 # DEPENDENCYPART_ARC
(18,15),-0.638564 # DEPENDENCYPART_ARC
(18,16),-1.67923 # DEPENDENCYPART_ARC
(18,17),0.0934242 # DEPENDENCYPART_ARC
(18,19),-0.992586 # DEPENDENCYPART_ARC
(18,20),-1.01398 # DEPENDENCYPART_ARC
(18,21),-1.0556 # DEPENDENCYPART_ARC
(18,22),-1.01811 # DEPENDENCYPART_ARC
(19,3),-1.21657 # DEPENDENCYPART_ARC
(19,4),-0.338439 # DEPENDENCYPART_ARC
(19,5),-0.825389 # DEPENDENCYPART_ARC
(19,6),-1.18441 # DEPENDENCYPART_ARC
(19,7),-1.0791 # DEPENDENCYPART_ARC
(19,8),-0.544174 # DEPENDENCYPART_ARC
(19,9),-1.13593 # DEPENDENCYPART_ARC
(19,10),-0.356233 # DEPENDENCYPART_ARC
(19,11),-1.52486 # DEPENDENCYPART_ARC
(19,12),-0.466525 # DEPENDENCYPART_ARC
(19,13),-0.869614 # DEPENDENCYPART_ARC
(19,14),-0.0648479 # DEPENDENCYPART_ARC
(19,15),-0.902571 # DEPENDENCYPART_ARC
(19,16),0.867333 # DEPENDENCYPART_ARC
(19,17),0.413635 # DEPENDENCYPART_ARC
(19,18),1.8206 # DEPENDENCYPART_ARC
(19,20),2.1536 # DEPENDENCYPART_ARC
(19,21),0.827689 # DEPENDENCYPART_ARC
(20,18),-0.492875 # DEPENDENCYPART_ARC
(20,21),-0.979657 # DEPENDENCYPART_ARC
(21,14),-1.345 # DEPENDENCYPART_ARC
(21,15),-1.86186 # DEPENDENCYPART_ARC
(21,16),-2.8667 # DEPENDENCYPART_ARC
(21,17),-1.36222 # DEPENDENCYPART_ARC
(21,18),-1.98735 # DEPENDENCYPART_ARC
(21,19),-0.371804 # DEPENDENCYPART_ARC
(21,20),-0.865173 # DEPENDENCYPART_ARC
(21,22),1.52585 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.0674167 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.0704195 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.0606449 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.070434 # DEPENDENCYPART_SIBL
(0,1),(0,6),0.0122158 # DEPENDENCYPART_SIBL
(0,1),(0,7),0.101326 # DEPENDENCYPART_SIBL
(0,1),(0,8),-0.0228745 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.0560195 # DEPENDENCYPART_SIBL
(0,1),(0,10),-0.0704195 # DEPENDENCYPART_SIBL
(0,1),(0,11),-0.0674167 # DEPENDENCYPART_SIBL
(0,1),(0,12),-0.0606449 # DEPENDENCYPART_SIBL
(0,1),(0,15),0.0181446 # DEPENDENCYPART_SIBL
(0,1),(0,17),0.0366185 # DEPENDENCYPART_SIBL
(0,1),(0,19),-0.0171507 # DEPENDENCYPART_SIBL
(0,1),(0,20),-0.041363 # DEPENDENCYPART_SIBL
(0,1),(0,21),-0.0704195 # DEPENDENCYPART_SIBL
(0,1),(0,22),-0.111249 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.202026 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.226163 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.202041 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.17931 # DEPENDENCYPART_SIBL
(0,2),(0,7),-0.070263 # DEPENDENCYPART_SIBL
(0,2),(0,8),-0.302242 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.206852 # DEPENDENCYPART_SIBL
(0,2),(0,10),-0.202026 # DEPENDENCYPART_SIBL
(0,2),(0,11),-0.413823 # DEPENDENCYPART_SIBL
(0,2),(0,12),-0.226163 # DEPENDENCYPART_SIBL
(0,2),(0,15),-0.132739 # DEPENDENCYPART_SIBL
(0,2),(0,17),-0.293247 # DEPENDENCYPART_SIBL
(0,2),(0,19),-0.300327 # DEPENDENCYPART_SIBL
(0,2),(0,20),-0.201293 # DEPENDENCYPART_SIBL
(0,2),(0,21),-0.202026 # DEPENDENCYPART_SIBL
(0,2),(0,22),-0.340789 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.0875943 # DEPENDENCYPART_SIBL
(0,3),(0,5),0.0509079 # DEPENDENCYPART_SIBL
(0,3),(0,6),0.00281014 # DEPENDENCYPART_SIBL
(0,3),(0,7),-0.0307797 # DEPENDENCYPART_SIBL
(0,3),(0,8),-0.118347 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.0690615 # DEPENDENCYPART_SIBL
(0,3),(0,10),0.0509439 # DEPENDENCYPART_SIBL
(0,3),(0,11),-0.13484 # DEPENDENCYPART_SIBL
(0,3),(0,12),-0.0875943 # DEPENDENCYPART_SIBL
(0,3),(0,15),0.0183958 # DEPENDENCYPART_SIBL
(0,3),(0,17),0.0237051 # DEPENDENCYPART_SIBL
(0,3),(0,19),-0.100866 # DEPENDENCYPART_SIBL
(0,3),(0,20),-0.0592342 # DEPENDENCYPART_SIBL
(0,3),(0,21),0.0509439 # DEPENDENCYPART_SIBL
(0,3),(0,22),-0.174982 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.0223829 # DEPENDENCYPART_SIBL
(0,4),(0,6),0.043381 # DEPENDENCYPART_SIBL
(0,4),(0,7),0.0989293 # DEPENDENCYPART_SIBL
(0,4),(0,8),-0.0238995 # DEPENDENCYPART_SIBL
(0,4),(0,9),-0.0230141 # DEPENDENCYPART_SIBL
(0,4),(0,10),-0.0223684 # DEPENDENCYPART_SIBL
(0,4),(0,11),0.0156699 # DEPENDENCYPART_SIBL
(0,4),(0,12),-0.0395181 # DEPENDENCYPART_SIBL
(0,4),(0,15),0.0259329 # DEPENDENCYPART_SIBL
(0,4),(0,17),0.0787923 # DEPENDENCYPART_SIBL
(0,4),(0,19),-0.0177105 # DEPENDENCYPART_SIBL
(0,4),(0,20),-0.00453342 # DEPENDENCYPART_SIBL
(0,4),(0,21),-0.0223684 # DEPENDENCYPART_SIBL
(0,4),(0,22),-0.0473547 # DEPENDENCYPART_SIBL
(0,5),(0,6),0.00406065 # DEPENDENCYPART_SIBL
(0,5),(0,7),-0.0308027 # DEPENDENCYPART_SIBL
(0,5),(0,8),-0.118709 # DEPENDENCYPART_SIBL
(0,5),(0,9),-0.0690849 # DEPENDENCYPART_SIBL
(0,5),(0,10),0.0508769 # DEPENDENCYPART_SIBL
(0,5),(0,11),-0.134863 # DEPENDENCYPART_SIBL
(0,5),(0,12),-0.0876173 # DEPENDENCYPART_SIBL
(0,5),(0,15),0.0215592 # DEPENDENCYPART_SIBL
(0,5),(0,17),0.0236821 # DEPENDENCYPART_SIBL
(0,5),(0,19),-0.101228 # DEPENDENCYPART_SIBL
(0,5),(0,20),-0.0592576 # DEPENDENCYPART_SIBL
(0,5),(0,21),0.0508769 # DEPENDENCYPART_SIBL
(0,5),(0,22),-0.175005 # DEPENDENCYPART_SIBL
(0,6),(0,7),-0.00829317 # DEPENDENCYPART_SIBL
(0,6),(0,8),-0.122546 # DEPENDENCYPART_SIBL
(0,6),(0,9),-0.0634344 # DEPENDENCYPART_SIBL
(0,6),(0,10),-0.0107028 # DEPENDENCYPART_SIBL
(0,6),(0,11),-0.125177 # DEPENDENCYPART_SIBL
(0,6),(0,12),-0.0694347 # DEPENDENCYPART_SIBL
(0,6),(0,15),-0.0409402 # DEPENDENCYPART_SIBL
(0,6),(0,17),-0.0288023 # DEPENDENCYPART_SIBL
(0,6),(0,19),-0.114578 # DEPENDENCYPART_SIBL
(0,6),(0,20),-0.0551081 # DEPENDENCYPART_SIBL
(0,6),(0,21),-0.0107028 # DEPENDENCYPART_SIBL
(0,6),(0,22),-0.132282 # DEPENDENCYPART_SIBL
(0,7),(0,8),0.0488827 # DEPENDENCYPART_SIBL
(0,7),(0,9),-0.000934754 # DEPENDENCYPART_SIBL
(0,7),(0,10),-0.0478457 # DEPENDENCYPART_SIBL
(0,7),(0,11),0.0365151 # DEPENDENCYPART_SIBL
(0,7),(0,12),-0.0685651 # DEPENDENCYPART_SIBL
(0,7),(0,15),0.0667779 # DEPENDENCYPART_SIBL
(0,7),(0,17),0.12205 # DEPENDENCYPART_SIBL
(0,7),(0,19),0.0442678 # DEPENDENCYPART_SIBL
(0,7),(0,20),0.013722 # DEPENDENCYPART_SIBL
(0,7),(0,21),-0.0478457 # DEPENDENCYPART_SIBL
(0,7),(0,22),-0.0225006 # DEPENDENCYPART_SIBL
(0,8),(0,9),-0.0267653 # DEPENDENCYPART_SIBL
(0,8),(0,10),0.00290755 # DEPENDENCYPART_SIBL
(0,8),(0,11),-0.0637363 # DEPENDENCYPART_SIBL
(0,8),(0,12),-0.134245 # DEPENDENCYPART_SIBL
(0,8),(0,15),-0.00382232 # DEPENDENCYPART_SIBL
(0,8),(0,17),-0.036991 # DEPENDENCYPART_SIBL
(0,8),(0,19),-0.11368 # DEPENDENCYPART_SIBL
(0,8),(0,20),-0.00233068 # DEPENDENCYPART_SIBL
(0,8),(0,21),0.00290755 # DEPENDENCYPART_SIBL
(0,8),(0,22),-0.0865465 # DEPENDENCYPART_SIBL
(0,9),(0,10),-0.00547609 # DEPENDENCYPART_SIBL
(0,9),(0,11),-0.0750064 # DEPENDENCYPART_SIBL
(0,9),(0,12),-0.0525493 # DEPENDENCYPART_SIBL
(0,9),(0,15),0.0157172 # DEPENDENCYPART_SIBL
(0,9),(0,17),0.0322604 # DEPENDENCYPART_SIBL
(0,9),(0,19),0.0134287 # DEPENDENCYPART_SIBL
(0,9),(0,20),-0.0937646 # DEPENDENCYPART_SIBL
(0,9),(0,21),-0.00489255 # DEPENDENCYPART_SIBL
(0,9),(0,22),-0.0867941 # DEPENDENCYPART_SIBL
(0,10),(0,11),-0.13484 # DEPENDENCYPART_SIBL
(0,10),(0,12),-0.0875943 # DEPENDENCYPART_SIBL
(0,10),(0,15),0.0183958 # DEPENDENCYPART_SIBL
(0,10),(0,17),0.0237051 # DEPENDENCYPART_SIBL
(0,10),(0,19),-0.100866 # DEPENDENCYPART_SIBL
(0,10),(0,20),-0.0592342 # DEPENDENCYPART_SIBL
(0,10),(0,21),0.0509411 # DEPENDENCYPART_SIBL
(0,10),(0,22),-0.174982 # DEPENDENCYPART_SIBL
(0,11),(0,12),-0.226163 # DEPENDENCYPART_SIBL
(0,11),(0,15),-0.132739 # DEPENDENCYPART_SIBL
(0,11),(0,17),-0.293247 # DEPENDENCYPART_SIBL
(0,11),(0,19),-0.300327 # DEPENDENCYPART_SIBL
(0,11),(0,20),-0.201293 # DEPENDENCYPART_SIBL
(0,11),(0,21),-0.202026 # DEPENDENCYPART_SIBL
(0,11),(0,22),-0.340789 # DEPENDENCYPART_SIBL
(0,12),(0,15),0.0259329 # DEPENDENCYPART_SIBL
(0,12),(0,17),0.0787923 # DEPENDENCYPART_SIBL
(0,12),(0,19),-0.0177105 # DEPENDENCYPART_SIBL
(0,12),(0,20),-0.00453342 # DEPENDENCYPART_SIBL
(0,12),(0,21),-0.0223684 # DEPENDENCYPART_SIBL
(0,12),(0,22),-0.0473547 # DEPENDENCYPART_SIBL
(0,15),(0,17),0.0140663 # DEPENDENCYPART_SIBL
(0,15),(0,19),-0.0868579 # DEPENDENCYPART_SIBL
(0,15),(0,20),-0.0321111 # DEPENDENCYPART_SIBL
(0,15),(0,21),-0.00442196 # DEPENDENCYPART_SIBL
(0,15),(0,22),-0.0798058 # DEPENDENCYPART_SIBL
(0,17),(0,19),-0.0196771 # DEPENDENCYPART_SIBL
(0,17),(0,20),-0.044535 # DEPENDENCYPART_SIBL
(0,17),(0,21),0.0907866 # DEPENDENCYPART_SIBL
(0,17),(0,22),-0.0906901 # DEPENDENCYPART_SIBL
(0,19),(0,20),-0.0156958 # DEPENDENCYPART_SIBL
(0,19),(0,21),-0.0350732 # DEPENDENCYPART_SIBL
(0,19),(0,22),-0.108717 # DEPENDENCYPART_SIBL
(0,20),(0,21),0.0122136 # DEPENDENCYPART_SIBL
(0,20),(0,22),-0.0802959 # DEPENDENCYPART_SIBL
(0,21),(0,22),-0.174983 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0629476 # DEPENDENCYPART_SIBL
(1,2),(1,7),0.0366481 # DEPENDENCYPART_SIBL
(1,3),(1,7),0.00655077 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.0347936 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0641331 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0103562 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.0717041 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.0245361 # DEPENDENCYPART_SIBL
(3,2),(3,13),-0.0185711 # DEPENDENCYPART_SIBL
(3,5),(3,6),0.0119905 # DEPENDENCYPART_SIBL
(3,5),(3,7),8.83249e-05 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.00176236 # DEPENDENCYPART_SIBL
(3,5),(3,13),0.00558745 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.0318502 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.0439295 # DEPENDENCYPART_SIBL
(3,6),(3,13),-0.0505178 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.00204187 # DEPENDENCYPART_SIBL
(3,7),(3,13),0.0381129 # DEPENDENCYPART_SIBL
(3,9),(3,13),0.0241204 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.108298 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0735684 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0240586 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.0603903 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.0684468 # DEPENDENCYPART_SIBL
(4,2),(4,10),-0.0723837 # DEPENDENCYPART_SIBL
(4,2),(4,11),0.0253459 # DEPENDENCYPART_SIBL
(4,2),(4,12),-0.0649103 # DEPENDENCYPART_SIBL
(4,2),(4,14),-0.0723837 # DEPENDENCYPART_SIBL
(4,2),(4,16),-0.0600752 # DEPENDENCYPART_SIBL
(4,2),(4,18),-0.0723837 # DEPENDENCYPART_SIBL
(4,2),(4,19),-0.072196 # DEPENDENCYPART_SIBL
(4,2),(4,21),-0.0723837 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.0582027 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.00864071 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.0597726 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.0722917 # DEPENDENCYPART_SIBL
(4,3),(4,10),0.0600096 # DEPENDENCYPART_SIBL
(4,3),(4,11),-0.0802123 # DEPENDENCYPART_SIBL
(4,3),(4,12),0.000114664 # DEPENDENCYPART_SIBL
(4,3),(4,14),0.0603005 # DEPENDENCYPART_SIBL
(4,3),(4,16),0.0908237 # DEPENDENCYPART_SIBL
(4,3),(4,18),0.0603005 # DEPENDENCYPART_SIBL
(4,3),(4,19),-0.0610903 # DEPENDENCYPART_SIBL
(4,3),(4,21),0.0606177 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.0160403 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.00223748 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.157263 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.217722 # DEPENDENCYPART_SIBL
(4,5),(4,11),-0.107775 # DEPENDENCYPART_SIBL
(4,5),(4,12),-0.0323024 # DEPENDENCYPART_SIBL
(4,5),(4,14),-0.217722 # DEPENDENCYPART_SIBL
(4,5),(4,16),-0.226152 # DEPENDENCYPART_SIBL
(4,5),(4,18),-0.217722 # DEPENDENCYPART_SIBL
(4,5),(4,19),-0.15186 # DEPENDENCYPART_SIBL
(4,5),(4,21),-0.217722 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.011 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.154981 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.113494 # DEPENDENCYPART_SIBL
(4,6),(4,11),-0.111078 # DEPENDENCYPART_SIBL
(4,6),(4,12),-0.0238034 # DEPENDENCYPART_SIBL
(4,6),(4,14),-0.113494 # DEPENDENCYPART_SIBL
(4,6),(4,16),-0.117326 # DEPENDENCYPART_SIBL
(4,6),(4,18),-0.113494 # DEPENDENCYPART_SIBL
(4,6),(4,19),-0.152645 # DEPENDENCYPART_SIBL
(4,6),(4,21),-0.113494 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.0760159 # DEPENDENCYPART_SIBL
(4,7),(4,10),-0.0891522 # DEPENDENCYPART_SIBL
(4,7),(4,11),-0.0489942 # DEPENDENCYPART_SIBL
(4,7),(4,12),-0.0197476 # DEPENDENCYPART_SIBL
(4,7),(4,14),-0.0891522 # DEPENDENCYPART_SIBL
(4,7),(4,16),-0.0943098 # DEPENDENCYPART_SIBL
(4,7),(4,18),-0.0891522 # DEPENDENCYPART_SIBL
(4,7),(4,19),-0.0806657 # DEPENDENCYPART_SIBL
(4,7),(4,21),-0.0891522 # DEPENDENCYPART_SIBL
(4,8),(4,10),-0.0990847 # DEPENDENCYPART_SIBL
(4,8),(4,11),-0.0716812 # DEPENDENCYPART_SIBL
(4,8),(4,12),-0.0144196 # DEPENDENCYPART_SIBL
(4,8),(4,14),-0.0990847 # DEPENDENCYPART_SIBL
(4,8),(4,16),-0.102943 # DEPENDENCYPART_SIBL
(4,8),(4,18),-0.0990847 # DEPENDENCYPART_SIBL
(4,8),(4,19),-0.124891 # DEPENDENCYPART_SIBL
(4,8),(4,21),-0.0990847 # DEPENDENCYPART_SIBL
(4,10),(4,11),-0.107775 # DEPENDENCYPART_SIBL
(4,10),(4,12),-0.0323024 # DEPENDENCYPART_SIBL
(4,10),(4,14),-0.217703 # DEPENDENCYPART_SIBL
(4,10),(4,16),-0.226133 # DEPENDENCYPART_SIBL
(4,10),(4,18),-0.217703 # DEPENDENCYPART_SIBL
(4,10),(4,19),-0.151521 # DEPENDENCYPART_SIBL
(4,10),(4,21),-0.217703 # DEPENDENCYPART_SIBL
(4,11),(4,12),0.0168617 # DEPENDENCYPART_SIBL
(4,11),(4,14),-0.0273345 # DEPENDENCYPART_SIBL
(4,11),(4,16),-0.0311707 # DEPENDENCYPART_SIBL
(4,11),(4,18),-0.0273345 # DEPENDENCYPART_SIBL
(4,11),(4,19),-0.0282872 # DEPENDENCYPART_SIBL
(4,11),(4,21),-0.0273345 # DEPENDENCYPART_SIBL
(4,12),(4,14),-0.0640873 # DEPENDENCYPART_SIBL
(4,12),(4,16),-0.0705625 # DEPENDENCYPART_SIBL
(4,12),(4,18),-0.0640873 # DEPENDENCYPART_SIBL
(4,12),(4,19),-0.098277 # DEPENDENCYPART_SIBL
