# _root_ berrogei urte hor_nonbait kalkulatu zizkion , gizonak gaztaroa aspaldi utzi eta heldutasunaren goi_mailara heltzen direneko adina , nahiz_eta arintasun fisikoa jadanik gain_behera joan .
#goldHeads=2,4,4,0,4,5,10,10,10,11,16,13,14,11,14,2,16,0,23,19,23,23,4,23,
#predictedHeads=2,4,4,11,4,5,10,10,10,11,0,13,14,11,14,14,16,0,23,19,23,23,14,23,
(11,10),1.62056 # DEPENDENCYPART_ARC
(11,12),-0.0248169 # DEPENDENCYPART_ARC
(11,13),-0.250819 # DEPENDENCYPART_ARC
(11,14),0.213779 # DEPENDENCYPART_ARC
(11,15),-0.876721 # DEPENDENCYPART_ARC
(11,16),-0.882298 # DEPENDENCYPART_ARC
(11,17),-0.907215 # DEPENDENCYPART_ARC
(11,19),-1.48663 # DEPENDENCYPART_ARC
(11,23),-0.301857 # DEPENDENCYPART_ARC
(12,10),-0.848853 # DEPENDENCYPART_ARC
(12,11),-0.45306 # DEPENDENCYPART_ARC
(12,13),0.420966 # DEPENDENCYPART_ARC
(12,15),-1.76028 # DEPENDENCYPART_ARC
(12,24),-1.71353 # DEPENDENCYPART_ARC
(13,3),-1.10158 # DEPENDENCYPART_ARC
(13,4),-1.53458 # DEPENDENCYPART_ARC
(13,6),-1.57672 # DEPENDENCYPART_ARC
(13,7),-2.92612 # DEPENDENCYPART_ARC
(13,8),-3.17896 # DEPENDENCYPART_ARC
(13,9),-0.838872 # DEPENDENCYPART_ARC
(13,10),-0.531747 # DEPENDENCYPART_ARC
(13,11),-0.189063 # DEPENDENCYPART_ARC
(13,12),1.16388 # DEPENDENCYPART_ARC
(13,14),-0.689974 # DEPENDENCYPART_ARC
(13,15),-1.19645 # DEPENDENCYPART_ARC
(13,18),-0.941751 # DEPENDENCYPART_ARC
(13,24),-1.5009 # DEPENDENCYPART_ARC
(14,2),-0.846779 # DEPENDENCYPART_ARC
(14,3),-0.981308 # DEPENDENCYPART_ARC
(14,4),-1.08536 # DEPENDENCYPART_ARC
(14,5),-1.20552 # DEPENDENCYPART_ARC
(14,6),-1.74204 # DEPENDENCYPART_ARC
(14,7),0.0625424 # DEPENDENCYPART_ARC
(14,8),-0.201431 # DEPENDENCYPART_ARC
(14,9),-0.480682 # DEPENDENCYPART_ARC
(14,10),-0.694608 # DEPENDENCYPART_ARC
(14,11),-0.0954541 # DEPENDENCYPART_ARC
(14,12),-0.118426 # DEPENDENCYPART_ARC
(14,13),1.51733 # DEPENDENCYPART_ARC
(14,15),2.11739 # DEPENDENCYPART_ARC
(14,16),0.340582 # DEPENDENCYPART_ARC
(14,17),-0.726673 # DEPENDENCYPART_ARC
(14,18),-0.675621 # DEPENDENCYPART_ARC
(14,19),-0.900086 # DEPENDENCYPART_ARC
(14,20),-1.70138 # DEPENDENCYPART_ARC
(14,21),-0.951168 # DEPENDENCYPART_ARC
(14,22),-1.15816 # DEPENDENCYPART_ARC
(14,23),-0.528199 # DEPENDENCYPART_ARC
(15,13),-0.542338 # DEPENDENCYPART_ARC
(15,16),-1.21372 # DEPENDENCYPART_ARC
(16,10),-0.907068 # DEPENDENCYPART_ARC
(16,11),-0.830327 # DEPENDENCYPART_ARC
(16,12),-0.322493 # DEPENDENCYPART_ARC
(16,13),-1.42788 # DEPENDENCYPART_ARC
(16,14),-0.325082 # DEPENDENCYPART_ARC
(16,15),-0.514536 # DEPENDENCYPART_ARC
(16,17),1.0708 # DEPENDENCYPART_ARC
(16,18),-0.46099 # DEPENDENCYPART_ARC
(16,19),-1.26294 # DEPENDENCYPART_ARC
(16,20),-1.74121 # DEPENDENCYPART_ARC
(16,21),-0.946529 # DEPENDENCYPART_ARC
(16,22),-1.17832 # DEPENDENCYPART_ARC
(16,23),-1.17476 # DEPENDENCYPART_ARC
(16,24),-1.04377 # DEPENDENCYPART_ARC
(17,14),-0.9578 # DEPENDENCYPART_ARC
(17,15),-1.23843 # DEPENDENCYPART_ARC
(17,19),-1.21913 # DEPENDENCYPART_ARC
(17,20),-1.09413 # DEPENDENCYPART_ARC
(18,10),-0.810864 # DEPENDENCYPART_ARC
(18,14),-0.511396 # DEPENDENCYPART_ARC
(18,17),-0.673115 # DEPENDENCYPART_ARC
(18,19),-0.332136 # DEPENDENCYPART_ARC
(18,23),-0.539806 # DEPENDENCYPART_ARC
(19,14),-1.22345 # DEPENDENCYPART_ARC
(19,16),-1.71954 # DEPENDENCYPART_ARC
(19,17),-0.998653 # DEPENDENCYPART_ARC
(19,20),1.73596 # DEPENDENCYPART_ARC
(19,21),-0.36256 # DEPENDENCYPART_ARC
(19,22),-0.655024 # DEPENDENCYPART_ARC
(19,23),-0.679505 # DEPENDENCYPART_ARC
(19,24),-1.00418 # DEPENDENCYPART_ARC
(20,13),-1.2351 # DEPENDENCYPART_ARC
(20,16),-1.1959 # DEPENDENCYPART_ARC
(20,19),-0.28874 # DEPENDENCYPART_ARC
(20,21),-0.154074 # DEPENDENCYPART_ARC
(20,22),-1.07323 # DEPENDENCYPART_ARC
(20,23),-1.38005 # DEPENDENCYPART_ARC
(21,16),-1.27434 # DEPENDENCYPART_ARC
(21,18),-0.729569 # DEPENDENCYPART_ARC
(21,19),-0.91984 # DEPENDENCYPART_ARC
(21,22),-0.16922 # DEPENDENCYPART_ARC
(22,18),-0.774202 # DEPENDENCYPART_ARC
(22,19),-0.990314 # DEPENDENCYPART_ARC
(22,21),0.102662 # DEPENDENCYPART_ARC
(22,23),-0.0863693 # DEPENDENCYPART_ARC
(22,24),-0.278373 # DEPENDENCYPART_ARC
(23,2),-0.938543 # DEPENDENCYPART_ARC
(23,3),-0.55151 # DEPENDENCYPART_ARC
(23,4),-0.827803 # DEPENDENCYPART_ARC
(23,7),-0.491167 # DEPENDENCYPART_ARC
(23,8),-0.215452 # DEPENDENCYPART_ARC
(23,9),-0.492986 # DEPENDENCYPART_ARC
(23,10),-0.774579 # DEPENDENCYPART_ARC
(23,11),-0.241985 # DEPENDENCYPART_ARC
(23,12),-0.922992 # DEPENDENCYPART_ARC
(23,13),-0.198184 # DEPENDENCYPART_ARC
(23,14),-0.559943 # DEPENDENCYPART_ARC
(23,15),-0.930861 # DEPENDENCYPART_ARC
(23,16),-0.0296621 # DEPENDENCYPART_ARC
(23,17),-1.32942 # DEPENDENCYPART_ARC
(23,18),0.073311 # DEPENDENCYPART_ARC
(23,19),0.142435 # DEPENDENCYPART_ARC
(23,20),-0.38574 # DEPENDENCYPART_ARC
(23,21),0.186068 # DEPENDENCYPART_ARC
(23,22),0.986281 # DEPENDENCYPART_ARC
(23,24),1.79593 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.0170079 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.0251651 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.119157 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.0547705 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.125177 # DEPENDENCYPART_SIBL
(0,1),(0,8),-0.0107028 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.0251651 # DEPENDENCYPART_SIBL
(0,1),(0,10),-0.139349 # DEPENDENCYPART_SIBL
(0,1),(0,11),-0.0685676 # DEPENDENCYPART_SIBL
(0,1),(0,13),-0.0107028 # DEPENDENCYPART_SIBL
(0,1),(0,14),-0.119157 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.054771 # DEPENDENCYPART_SIBL
(0,1),(0,16),-0.0107098 # DEPENDENCYPART_SIBL
(0,1),(0,17),-0.125177 # DEPENDENCYPART_SIBL
(0,1),(0,18),-0.0240724 # DEPENDENCYPART_SIBL
(0,1),(0,20),-0.0409402 # DEPENDENCYPART_SIBL
(0,1),(0,21),-0.00066248 # DEPENDENCYPART_SIBL
(0,1),(0,22),-0.0251651 # DEPENDENCYPART_SIBL
(0,1),(0,23),-0.126849 # DEPENDENCYPART_SIBL
(0,1),(0,24),-0.132282 # DEPENDENCYPART_SIBL
(0,2),(0,3),0.0517366 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.118392 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.0583407 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.132346 # DEPENDENCYPART_SIBL
(0,2),(0,8),0.0458296 # DEPENDENCYPART_SIBL
(0,2),(0,9),0.0517366 # DEPENDENCYPART_SIBL
(0,2),(0,10),-0.138898 # DEPENDENCYPART_SIBL
(0,2),(0,11),-0.0813814 # DEPENDENCYPART_SIBL
(0,2),(0,13),0.0458296 # DEPENDENCYPART_SIBL
(0,2),(0,14),-0.118392 # DEPENDENCYPART_SIBL
(0,2),(0,15),-0.0583669 # DEPENDENCYPART_SIBL
(0,2),(0,16),0.045816 # DEPENDENCYPART_SIBL
(0,2),(0,17),-0.132346 # DEPENDENCYPART_SIBL
(0,2),(0,18),-0.031837 # DEPENDENCYPART_SIBL
(0,2),(0,20),0.0200583 # DEPENDENCYPART_SIBL
(0,2),(0,21),0.0762365 # DEPENDENCYPART_SIBL
(0,2),(0,22),0.0517366 # DEPENDENCYPART_SIBL
(0,2),(0,23),-0.120111 # DEPENDENCYPART_SIBL
(0,2),(0,24),-0.172488 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.020379 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.0425702 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.0684749 # DEPENDENCYPART_SIBL
(0,3),(0,8),0.0924022 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.0129557 # DEPENDENCYPART_SIBL
(0,3),(0,10),-0.0408311 # DEPENDENCYPART_SIBL
(0,3),(0,11),-0.0567721 # DEPENDENCYPART_SIBL
(0,3),(0,13),0.0924022 # DEPENDENCYPART_SIBL
(0,3),(0,14),-0.020379 # DEPENDENCYPART_SIBL
(0,3),(0,15),-0.0425702 # DEPENDENCYPART_SIBL
(0,3),(0,16),0.0923952 # DEPENDENCYPART_SIBL
(0,3),(0,17),-0.0684749 # DEPENDENCYPART_SIBL
(0,3),(0,18),-0.028915 # DEPENDENCYPART_SIBL
(0,3),(0,20),0.0626426 # DEPENDENCYPART_SIBL
(0,3),(0,21),0.0316135 # DEPENDENCYPART_SIBL
(0,3),(0,22),-0.0129557 # DEPENDENCYPART_SIBL
(0,3),(0,23),-0.0353662 # DEPENDENCYPART_SIBL
(0,3),(0,24),-0.0891196 # DEPENDENCYPART_SIBL
(0,4),(0,5),0.00800979 # DEPENDENCYPART_SIBL
(0,4),(0,6),-0.0464622 # DEPENDENCYPART_SIBL
(0,4),(0,8),-0.00562242 # DEPENDENCYPART_SIBL
(0,4),(0,9),-0.0290655 # DEPENDENCYPART_SIBL
(0,4),(0,10),-0.153906 # DEPENDENCYPART_SIBL
(0,4),(0,11),-0.126699 # DEPENDENCYPART_SIBL
(0,4),(0,13),-0.00562242 # DEPENDENCYPART_SIBL
(0,4),(0,14),-0.117133 # DEPENDENCYPART_SIBL
(0,4),(0,15),0.00818841 # DEPENDENCYPART_SIBL
(0,4),(0,16),-0.00562941 # DEPENDENCYPART_SIBL
(0,4),(0,17),-0.0464622 # DEPENDENCYPART_SIBL
(0,4),(0,18),-0.0233098 # DEPENDENCYPART_SIBL
(0,4),(0,20),-9.77891e-05 # DEPENDENCYPART_SIBL
(0,4),(0,21),-0.00456288 # DEPENDENCYPART_SIBL
(0,4),(0,22),-0.0290655 # DEPENDENCYPART_SIBL
(0,4),(0,23),-0.120401 # DEPENDENCYPART_SIBL
(0,4),(0,24),-0.0693041 # DEPENDENCYPART_SIBL
(0,5),(0,6),-0.0716099 # DEPENDENCYPART_SIBL
(0,5),(0,8),0.0053142 # DEPENDENCYPART_SIBL
(0,5),(0,9),0.0223544 # DEPENDENCYPART_SIBL
(0,5),(0,10),-0.0348208 # DEPENDENCYPART_SIBL
(0,5),(0,11),-0.0452578 # DEPENDENCYPART_SIBL
(0,5),(0,13),0.0053142 # DEPENDENCYPART_SIBL
(0,5),(0,14),-0.011859 # DEPENDENCYPART_SIBL
(0,5),(0,15),-0.0911635 # DEPENDENCYPART_SIBL
(0,5),(0,16),0.00530332 # DEPENDENCYPART_SIBL
(0,5),(0,17),-0.0716099 # DEPENDENCYPART_SIBL
(0,5),(0,18),-0.0179971 # DEPENDENCYPART_SIBL
(0,5),(0,20),0.0153712 # DEPENDENCYPART_SIBL
(0,5),(0,21),0.0468521 # DEPENDENCYPART_SIBL
(0,5),(0,22),0.0223544 # DEPENDENCYPART_SIBL
(0,5),(0,23),-0.0244788 # DEPENDENCYPART_SIBL
(0,5),(0,24),-0.0802417 # DEPENDENCYPART_SIBL
(0,6),(0,8),-0.202026 # DEPENDENCYPART_SIBL
(0,6),(0,9),-0.290997 # DEPENDENCYPART_SIBL
(0,6),(0,10),-0.31777 # DEPENDENCYPART_SIBL
(0,6),(0,11),-0.226163 # DEPENDENCYPART_SIBL
(0,6),(0,13),-0.202026 # DEPENDENCYPART_SIBL
(0,6),(0,14),-0.293028 # DEPENDENCYPART_SIBL
(0,6),(0,15),-0.200902 # DEPENDENCYPART_SIBL
(0,6),(0,16),-0.202033 # DEPENDENCYPART_SIBL
(0,6),(0,17),-0.413823 # DEPENDENCYPART_SIBL
(0,6),(0,18),-0.15377 # DEPENDENCYPART_SIBL
(0,6),(0,20),-0.132739 # DEPENDENCYPART_SIBL
(0,6),(0,21),-0.266991 # DEPENDENCYPART_SIBL
(0,6),(0,22),-0.290997 # DEPENDENCYPART_SIBL
(0,6),(0,23),-0.31108 # DEPENDENCYPART_SIBL
(0,6),(0,24),-0.340789 # DEPENDENCYPART_SIBL
(0,8),(0,9),0.0264197 # DEPENDENCYPART_SIBL
(0,8),(0,10),-0.132784 # DEPENDENCYPART_SIBL
(0,8),(0,11),-0.0875943 # DEPENDENCYPART_SIBL
(0,8),(0,13),0.0509439 # DEPENDENCYPART_SIBL
(0,8),(0,14),-0.112279 # DEPENDENCYPART_SIBL
(0,8),(0,15),-0.0589206 # DEPENDENCYPART_SIBL
(0,8),(0,16),0.0509303 # DEPENDENCYPART_SIBL
(0,8),(0,17),-0.13484 # DEPENDENCYPART_SIBL
(0,8),(0,18),-0.0362331 # DEPENDENCYPART_SIBL
(0,8),(0,20),0.0183958 # DEPENDENCYPART_SIBL
(0,8),(0,21),0.0509197 # DEPENDENCYPART_SIBL
(0,8),(0,22),0.0264197 # DEPENDENCYPART_SIBL
(0,8),(0,23),-0.113997 # DEPENDENCYPART_SIBL
(0,8),(0,24),-0.174982 # DEPENDENCYPART_SIBL
(0,9),(0,10),-0.0423893 # DEPENDENCYPART_SIBL
(0,9),(0,11),-0.0572092 # DEPENDENCYPART_SIBL
(0,9),(0,13),0.0919651 # DEPENDENCYPART_SIBL
(0,9),(0,14),-0.0219373 # DEPENDENCYPART_SIBL
(0,9),(0,15),-0.0430073 # DEPENDENCYPART_SIBL
(0,9),(0,16),0.0919581 # DEPENDENCYPART_SIBL
(0,9),(0,17),-0.068912 # DEPENDENCYPART_SIBL
(0,9),(0,18),-0.0293522 # DEPENDENCYPART_SIBL
(0,9),(0,20),0.0622055 # DEPENDENCYPART_SIBL
(0,9),(0,21),0.0311763 # DEPENDENCYPART_SIBL
(0,9),(0,22),-0.0133929 # DEPENDENCYPART_SIBL
(0,9),(0,23),-0.0369244 # DEPENDENCYPART_SIBL
(0,9),(0,24),-0.0895567 # DEPENDENCYPART_SIBL
(0,10),(0,11),-0.102909 # DEPENDENCYPART_SIBL
(0,10),(0,13),0.00662063 # DEPENDENCYPART_SIBL
(0,10),(0,14),-0.115306 # DEPENDENCYPART_SIBL
(0,10),(0,15),0.0195338 # DEPENDENCYPART_SIBL
(0,10),(0,16),0.00661364 # DEPENDENCYPART_SIBL
(0,10),(0,17),-0.0120523 # DEPENDENCYPART_SIBL
(0,10),(0,18),0.000612477 # DEPENDENCYPART_SIBL
(0,10),(0,20),0.0125989 # DEPENDENCYPART_SIBL
(0,10),(0,21),0.00813121 # DEPENDENCYPART_SIBL
(0,10),(0,22),-0.0163714 # DEPENDENCYPART_SIBL
(0,10),(0,23),-0.118575 # DEPENDENCYPART_SIBL
(0,10),(0,24),-0.0347967 # DEPENDENCYPART_SIBL
(0,11),(0,13),-0.0223684 # DEPENDENCYPART_SIBL
(0,11),(0,14),-0.032339 # DEPENDENCYPART_SIBL
(0,11),(0,15),-0.00395817 # DEPENDENCYPART_SIBL
(0,11),(0,16),-0.0223754 # DEPENDENCYPART_SIBL
(0,11),(0,17),0.0156699 # DEPENDENCYPART_SIBL
(0,11),(0,18),0.0202517 # DEPENDENCYPART_SIBL
(0,11),(0,20),0.0259329 # DEPENDENCYPART_SIBL
(0,11),(0,21),0.136601 # DEPENDENCYPART_SIBL
(0,11),(0,22),0.0843623 # DEPENDENCYPART_SIBL
(0,11),(0,23),-0.0448573 # DEPENDENCYPART_SIBL
(0,11),(0,24),-0.0473547 # DEPENDENCYPART_SIBL
(0,13),(0,14),-0.112279 # DEPENDENCYPART_SIBL
(0,13),(0,15),-0.0589206 # DEPENDENCYPART_SIBL
(0,13),(0,16),0.0509303 # DEPENDENCYPART_SIBL
(0,13),(0,17),-0.13484 # DEPENDENCYPART_SIBL
(0,13),(0,18),-0.0362331 # DEPENDENCYPART_SIBL
(0,13),(0,20),0.0183958 # DEPENDENCYPART_SIBL
(0,13),(0,21),0.0509197 # DEPENDENCYPART_SIBL
(0,13),(0,22),0.0264197 # DEPENDENCYPART_SIBL
(0,13),(0,23),-0.113997 # DEPENDENCYPART_SIBL
(0,13),(0,24),-0.174982 # DEPENDENCYPART_SIBL
(0,14),(0,15),0.00815614 # DEPENDENCYPART_SIBL
(0,14),(0,16),-0.00564232 # DEPENDENCYPART_SIBL
(0,14),(0,17),-0.0464751 # DEPENDENCYPART_SIBL
(0,14),(0,18),-0.0233227 # DEPENDENCYPART_SIBL
(0,14),(0,20),-0.000110697 # DEPENDENCYPART_SIBL
(0,14),(0,21),-0.00457579 # DEPENDENCYPART_SIBL
(0,14),(0,22),-0.0290784 # DEPENDENCYPART_SIBL
(0,14),(0,23),-0.120414 # DEPENDENCYPART_SIBL
(0,14),(0,24),-0.069317 # DEPENDENCYPART_SIBL
(0,15),(0,16),0.00209796 # DEPENDENCYPART_SIBL
(0,15),(0,17),-0.0716099 # DEPENDENCYPART_SIBL
(0,15),(0,18),-0.0179971 # DEPENDENCYPART_SIBL
(0,15),(0,20),0.0153712 # DEPENDENCYPART_SIBL
(0,15),(0,21),0.0468521 # DEPENDENCYPART_SIBL
(0,15),(0,22),0.0223544 # DEPENDENCYPART_SIBL
(0,15),(0,23),-0.0263666 # DEPENDENCYPART_SIBL
(0,15),(0,24),-0.0802417 # DEPENDENCYPART_SIBL
(0,16),(0,17),-0.134844 # DEPENDENCYPART_SIBL
(0,16),(0,18),-0.0362364 # DEPENDENCYPART_SIBL
(0,16),(0,20),0.0183924 # DEPENDENCYPART_SIBL
(0,16),(0,21),0.0509163 # DEPENDENCYPART_SIBL
(0,16),(0,22),0.0264164 # DEPENDENCYPART_SIBL
(0,16),(0,23),-0.114001 # DEPENDENCYPART_SIBL
(0,16),(0,24),-0.174986 # DEPENDENCYPART_SIBL
(0,17),(0,18),-0.15377 # DEPENDENCYPART_SIBL
(0,17),(0,20),-0.132739 # DEPENDENCYPART_SIBL
(0,17),(0,21),-0.266991 # DEPENDENCYPART_SIBL
(0,17),(0,22),-0.290997 # DEPENDENCYPART_SIBL
(0,17),(0,23),-0.31108 # DEPENDENCYPART_SIBL
(0,17),(0,24),-0.340789 # DEPENDENCYPART_SIBL
(0,18),(0,20),0.0262568 # DEPENDENCYPART_SIBL
(0,18),(0,21),0.0920454 # DEPENDENCYPART_SIBL
(0,18),(0,22),0.050901 # DEPENDENCYPART_SIBL
(0,18),(0,23),-0.0543796 # DEPENDENCYPART_SIBL
(0,18),(0,24),-0.0986088 # DEPENDENCYPART_SIBL
(0,20),(0,21),0.0408202 # DEPENDENCYPART_SIBL
(0,20),(0,22),0.0163176 # DEPENDENCYPART_SIBL
(0,20),(0,23),-0.106052 # DEPENDENCYPART_SIBL
(0,20),(0,24),-0.0798058 # DEPENDENCYPART_SIBL
(0,21),(0,22),0.00244727 # DEPENDENCYPART_SIBL
(0,21),(0,23),-0.019402 # DEPENDENCYPART_SIBL
(0,21),(0,24),-0.0737726 # DEPENDENCYPART_SIBL
(0,22),(0,23),-0.0353662 # DEPENDENCYPART_SIBL
(0,22),(0,24),-0.0891196 # DEPENDENCYPART_SIBL
(0,23),(0,24),-0.067435 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0964405 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.058914 # DEPENDENCYPART_SIBL
(2,1),(2,11),-0.0248585 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.0239509 # DEPENDENCYPART_SIBL
(2,3),(2,11),-0.0103366 # DEPENDENCYPART_SIBL
(2,5),(2,11),0.00479987 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0182619 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.0294327 # DEPENDENCYPART_SIBL
(3,2),(3,21),-0.0114726 # DEPENDENCYPART_SIBL
(3,2),(3,22),-0.0046916 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0156035 # DEPENDENCYPART_SIBL
(3,4),(3,21),-0.0080327 # DEPENDENCYPART_SIBL
(3,4),(3,22),-0.0080327 # DEPENDENCYPART_SIBL
(3,6),(3,21),-0.153407 # DEPENDENCYPART_SIBL
(3,6),(3,22),-0.15291 # DEPENDENCYPART_SIBL
(3,21),(3,22),-0.00672998 # DEPENDENCYPART_SIBL
