# _root_ " ekintza guztietan material asko kendu digute , telefono mobilak , mendiko materiala ... portugalen kendu zizkiguten hiru furgonetak ez dizkigute itzuli " .
#goldHeads=0,6,2,6,4,8,6,0,11,9,4,13,11,13,16,19,16,19,22,22,22,8,22,23,
#predictedHeads=0,6,2,6,4,0,6,7,6,9,10,13,6,13,16,19,16,19,22,22,22,9,22,23,
(2,22),-0.498166 # DEPENDENCYPART_ARC
(3,2),-0.238368 # DEPENDENCYPART_ARC
(4,2),-0.0350172 # DEPENDENCYPART_ARC
(4,3),-0.41912 # DEPENDENCYPART_ARC
(4,5),1.59709 # DEPENDENCYPART_ARC
(4,7),-1.07959 # DEPENDENCYPART_ARC
(4,9),-0.905409 # DEPENDENCYPART_ARC
(4,10),-0.780289 # DEPENDENCYPART_ARC
(4,18),-1.43006 # DEPENDENCYPART_ARC
(4,22),-0.665124 # DEPENDENCYPART_ARC
(5,4),-0.427071 # DEPENDENCYPART_ARC
(5,6),-0.656887 # DEPENDENCYPART_ARC
(6,2),0.377937 # DEPENDENCYPART_ARC
(6,3),-0.43817 # DEPENDENCYPART_ARC
(6,4),0.901506 # DEPENDENCYPART_ARC
(6,5),0.208918 # DEPENDENCYPART_ARC
(6,7),1.39251 # DEPENDENCYPART_ARC
(6,8),-0.410495 # DEPENDENCYPART_ARC
(6,9),-0.86875 # DEPENDENCYPART_ARC
(6,10),-0.676383 # DEPENDENCYPART_ARC
(6,11),-0.924325 # DEPENDENCYPART_ARC
(6,12),-1.80538 # DEPENDENCYPART_ARC
(6,13),-0.676878 # DEPENDENCYPART_ARC
(6,15),-1.31984 # DEPENDENCYPART_ARC
(6,16),-0.812402 # DEPENDENCYPART_ARC
(6,17),-0.821243 # DEPENDENCYPART_ARC
(6,19),-1.50623 # DEPENDENCYPART_ARC
(6,21),-1.95578 # DEPENDENCYPART_ARC
(6,22),-1.02288 # DEPENDENCYPART_ARC
(7,2),-0.738215 # DEPENDENCYPART_ARC
(7,4),-0.498108 # DEPENDENCYPART_ARC
(7,8),1.13573 # DEPENDENCYPART_ARC
(7,9),-1.24554 # DEPENDENCYPART_ARC
(8,6),-0.763687 # DEPENDENCYPART_ARC
(8,7),-0.483827 # DEPENDENCYPART_ARC
(8,9),-0.688363 # DEPENDENCYPART_ARC
(8,10),-1.00155 # DEPENDENCYPART_ARC
(8,16),-1.21492 # DEPENDENCYPART_ARC
(8,22),-1.25075 # DEPENDENCYPART_ARC
(9,4),-0.961211 # DEPENDENCYPART_ARC
(9,6),-0.839513 # DEPENDENCYPART_ARC
(9,7),-1.18675 # DEPENDENCYPART_ARC
(9,8),-0.263794 # DEPENDENCYPART_ARC
(9,10),1.21643 # DEPENDENCYPART_ARC
(9,11),-0.373201 # DEPENDENCYPART_ARC
(9,12),-0.612681 # DEPENDENCYPART_ARC
(9,13),-0.780695 # DEPENDENCYPART_ARC
(9,15),-0.830801 # DEPENDENCYPART_ARC
(9,16),-0.855804 # DEPENDENCYPART_ARC
(9,18),-1.28173 # DEPENDENCYPART_ARC
(9,19),-1.15531 # DEPENDENCYPART_ARC
(9,22),-0.881092 # DEPENDENCYPART_ARC
(10,2),-1.06715 # DEPENDENCYPART_ARC
(10,4),-1.13782 # DEPENDENCYPART_ARC
(10,9),-0.119635 # DEPENDENCYPART_ARC
(10,11),1.08101 # DEPENDENCYPART_ARC
(10,12),-0.927774 # DEPENDENCYPART_ARC
(10,13),-1.08959 # DEPENDENCYPART_ARC
(10,16),-1.07168 # DEPENDENCYPART_ARC
(10,19),-1.02231 # DEPENDENCYPART_ARC
(10,22),-1.12493 # DEPENDENCYPART_ARC
(11,6),-1.12084 # DEPENDENCYPART_ARC
(11,7),-1.25337 # DEPENDENCYPART_ARC
(11,10),-0.224681 # DEPENDENCYPART_ARC
(11,12),-0.439884 # DEPENDENCYPART_ARC
(12,8),-1.53043 # DEPENDENCYPART_ARC
(12,9),-0.662028 # DEPENDENCYPART_ARC
(12,10),-1.09792 # DEPENDENCYPART_ARC
(12,11),-0.229316 # DEPENDENCYPART_ARC
(12,13),-1.09479 # DEPENDENCYPART_ARC
(12,15),-2.57678 # DEPENDENCYPART_ARC
(12,17),-2.40191 # DEPENDENCYPART_ARC
(12,18),-3.09979 # DEPENDENCYPART_ARC
(12,24),-1.94867 # DEPENDENCYPART_ARC
(13,2),-1.08859 # DEPENDENCYPART_ARC
(13,4),-1.12696 # DEPENDENCYPART_ARC
(13,6),-1.44632 # DEPENDENCYPART_ARC
(13,8),-1.83895 # DEPENDENCYPART_ARC
(13,9),-0.672687 # DEPENDENCYPART_ARC
(13,10),-1.85827 # DEPENDENCYPART_ARC
(13,11),-1.20098 # DEPENDENCYPART_ARC
(13,12),1.27484 # DEPENDENCYPART_ARC
(13,14),1.16407 # DEPENDENCYPART_ARC
(13,15),-1.22556 # DEPENDENCYPART_ARC
(13,16),-2.21561 # DEPENDENCYPART_ARC
(13,17),-1.07892 # DEPENDENCYPART_ARC
(13,18),-2.57855 # DEPENDENCYPART_ARC
(13,22),-2.2157 # DEPENDENCYPART_ARC
(13,24),-1.22422 # DEPENDENCYPART_ARC
(15,11),-1.65526 # DEPENDENCYPART_ARC
(15,12),-1.41377 # DEPENDENCYPART_ARC
(15,13),-3.25734 # DEPENDENCYPART_ARC
(15,16),-1.74994 # DEPENDENCYPART_ARC
(15,18),-2.6254 # DEPENDENCYPART_ARC
(16,2),-0.933186 # DEPENDENCYPART_ARC
(16,4),-0.986808 # DEPENDENCYPART_ARC
(16,5),-1.6076 # DEPENDENCYPART_ARC
(16,6),-0.675301 # DEPENDENCYPART_ARC
(16,7),-0.928822 # DEPENDENCYPART_ARC
(16,8),-1.5157 # DEPENDENCYPART_ARC
(16,9),-0.600147 # DEPENDENCYPART_ARC
(16,10),-0.796652 # DEPENDENCYPART_ARC
(16,11),-1.59242 # DEPENDENCYPART_ARC
(16,12),-0.731903 # DEPENDENCYPART_ARC
(16,13),0.0807279 # DEPENDENCYPART_ARC
(16,15),1.93214 # DEPENDENCYPART_ARC
(16,17),2.04845 # DEPENDENCYPART_ARC
(16,18),-0.442062 # DEPENDENCYPART_ARC
(16,19),-0.203453 # DEPENDENCYPART_ARC
(16,20),-0.589934 # DEPENDENCYPART_ARC
(16,21),-0.719691 # DEPENDENCYPART_ARC
(16,22),-0.591143 # DEPENDENCYPART_ARC
(17,13),-1.12932 # DEPENDENCYPART_ARC
(17,15),-1.0168 # DEPENDENCYPART_ARC
(17,19),-1.12176 # DEPENDENCYPART_ARC
(17,21),-1.19119 # DEPENDENCYPART_ARC
(18,16),-0.683941 # DEPENDENCYPART_ARC
(18,19),-0.147035 # DEPENDENCYPART_ARC
(19,6),-0.897501 # DEPENDENCYPART_ARC
(19,10),-1.37165 # DEPENDENCYPART_ARC
(19,12),-0.178255 # DEPENDENCYPART_ARC
(19,13),-1.6317 # DEPENDENCYPART_ARC
(19,15),-1.61274 # DEPENDENCYPART_ARC
(19,16),-0.141161 # DEPENDENCYPART_ARC
(19,17),-0.729685 # DEPENDENCYPART_ARC
(19,18),1.58964 # DEPENDENCYPART_ARC
(19,20),-0.860721 # DEPENDENCYPART_ARC
(19,21),-1.75032 # DEPENDENCYPART_ARC
(19,24),-1.50475 # DEPENDENCYPART_ARC
(20,19),-0.599216 # DEPENDENCYPART_ARC
(21,19),-0.105681 # DEPENDENCYPART_ARC
(21,20),-0.518745 # DEPENDENCYPART_ARC
(21,22),-0.747099 # DEPENDENCYPART_ARC
(22,2),-0.79998 # DEPENDENCYPART_ARC
(22,4),-0.843417 # DEPENDENCYPART_ARC
(22,5),-1.01135 # DEPENDENCYPART_ARC
(22,6),-0.439456 # DEPENDENCYPART_ARC
(22,8),-1.13199 # DEPENDENCYPART_ARC
(22,9),-0.499323 # DEPENDENCYPART_ARC
(22,10),-0.577465 # DEPENDENCYPART_ARC
(22,11),-1.29788 # DEPENDENCYPART_ARC
(22,12),-0.969234 # DEPENDENCYPART_ARC
(22,13),-0.179534 # DEPENDENCYPART_ARC
(22,15),0.310519 # DEPENDENCYPART_ARC
(22,16),-0.0957637 # DEPENDENCYPART_ARC
(22,17),-0.626175 # DEPENDENCYPART_ARC
(22,18),-0.241448 # DEPENDENCYPART_ARC
(22,19),0.763962 # DEPENDENCYPART_ARC
(22,20),0.827561 # DEPENDENCYPART_ARC
(22,21),1.03121 # DEPENDENCYPART_ARC
(22,23),1.26846 # DEPENDENCYPART_ARC
(22,24),0.0196576 # DEPENDENCYPART_ARC
(23,24),1.46742 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.134105 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.0192524 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.133324 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.0373332 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.0478685 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.000239346 # DEPENDENCYPART_SIBL
(0,1),(0,8),-0.216774 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.133395 # DEPENDENCYPART_SIBL
(0,1),(0,11),-0.216774 # DEPENDENCYPART_SIBL
(0,1),(0,12),-0.133324 # DEPENDENCYPART_SIBL
(0,1),(0,13),-0.133324 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.133355 # DEPENDENCYPART_SIBL
(0,1),(0,16),-0.0478685 # DEPENDENCYPART_SIBL
(0,1),(0,17),-0.000239346 # DEPENDENCYPART_SIBL
(0,1),(0,18),-0.019873 # DEPENDENCYPART_SIBL
(0,1),(0,19),-0.133324 # DEPENDENCYPART_SIBL
(0,1),(0,20),0.0517151 # DEPENDENCYPART_SIBL
(0,1),(0,21),-0.000239346 # DEPENDENCYPART_SIBL
(0,1),(0,22),-0.0477985 # DEPENDENCYPART_SIBL
(0,1),(0,23),-0.181443 # DEPENDENCYPART_SIBL
(0,1),(0,24),-0.161528 # DEPENDENCYPART_SIBL
(0,2),(0,3),0.00726739 # DEPENDENCYPART_SIBL
(0,2),(0,4),0.0477542 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.00251363 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.113351 # DEPENDENCYPART_SIBL
(0,2),(0,7),-0.0604184 # DEPENDENCYPART_SIBL
(0,2),(0,8),-0.136359 # DEPENDENCYPART_SIBL
(0,2),(0,9),0.0478019 # DEPENDENCYPART_SIBL
(0,2),(0,11),-0.136359 # DEPENDENCYPART_SIBL
(0,2),(0,12),0.047804 # DEPENDENCYPART_SIBL
(0,2),(0,13),0.0478039 # DEPENDENCYPART_SIBL
(0,2),(0,15),0.0477736 # DEPENDENCYPART_SIBL
(0,2),(0,16),-0.113351 # DEPENDENCYPART_SIBL
(0,2),(0,17),-0.0604184 # DEPENDENCYPART_SIBL
(0,2),(0,18),0.00715125 # DEPENDENCYPART_SIBL
(0,2),(0,19),0.047804 # DEPENDENCYPART_SIBL
(0,2),(0,20),0.0538059 # DEPENDENCYPART_SIBL
(0,2),(0,21),-0.0604184 # DEPENDENCYPART_SIBL
(0,2),(0,22),-0.12179 # DEPENDENCYPART_SIBL
(0,2),(0,23),-0.199791 # DEPENDENCYPART_SIBL
(0,2),(0,24),-0.176501 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.0107028 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.0375405 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.123019 # DEPENDENCYPART_SIBL
(0,3),(0,7),-0.0547705 # DEPENDENCYPART_SIBL
(0,3),(0,8),-0.125177 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.0107037 # DEPENDENCYPART_SIBL
(0,3),(0,11),-0.125177 # DEPENDENCYPART_SIBL
(0,3),(0,12),-0.0107028 # DEPENDENCYPART_SIBL
(0,3),(0,13),-0.0107028 # DEPENDENCYPART_SIBL
(0,3),(0,15),-0.0107332 # DEPENDENCYPART_SIBL
(0,3),(0,16),-0.123019 # DEPENDENCYPART_SIBL
(0,3),(0,17),-0.0547705 # DEPENDENCYPART_SIBL
(0,3),(0,18),-0.0331401 # DEPENDENCYPART_SIBL
(0,3),(0,19),-0.0107028 # DEPENDENCYPART_SIBL
(0,3),(0,20),0.0132952 # DEPENDENCYPART_SIBL
(0,3),(0,21),-0.0547705 # DEPENDENCYPART_SIBL
(0,3),(0,22),-0.122733 # DEPENDENCYPART_SIBL
(0,3),(0,23),-0.14938 # DEPENDENCYPART_SIBL
(0,3),(0,24),-0.132282 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.000995173 # DEPENDENCYPART_SIBL
(0,4),(0,6),-0.110319 # DEPENDENCYPART_SIBL
(0,4),(0,7),-0.0588941 # DEPENDENCYPART_SIBL
(0,4),(0,8),-0.13484 # DEPENDENCYPART_SIBL
(0,4),(0,9),0.0567122 # DEPENDENCYPART_SIBL
(0,4),(0,11),-0.13484 # DEPENDENCYPART_SIBL
(0,4),(0,12),0.0567143 # DEPENDENCYPART_SIBL
(0,4),(0,13),0.0567142 # DEPENDENCYPART_SIBL
(0,4),(0,15),0.056684 # DEPENDENCYPART_SIBL
(0,4),(0,16),-0.110319 # DEPENDENCYPART_SIBL
(0,4),(0,17),-0.0588941 # DEPENDENCYPART_SIBL
(0,4),(0,18),0.00866971 # DEPENDENCYPART_SIBL
(0,4),(0,19),0.0567143 # DEPENDENCYPART_SIBL
(0,4),(0,20),0.0553243 # DEPENDENCYPART_SIBL
(0,4),(0,21),-0.0588941 # DEPENDENCYPART_SIBL
(0,4),(0,22),-0.118757 # DEPENDENCYPART_SIBL
(0,4),(0,23),-0.198273 # DEPENDENCYPART_SIBL
(0,4),(0,24),-0.174982 # DEPENDENCYPART_SIBL
(0,5),(0,6),-0.121956 # DEPENDENCYPART_SIBL
(0,5),(0,7),-0.0573933 # DEPENDENCYPART_SIBL
(0,5),(0,8),-0.127788 # DEPENDENCYPART_SIBL
(0,5),(0,9),-0.0137724 # DEPENDENCYPART_SIBL
(0,5),(0,11),-0.127788 # DEPENDENCYPART_SIBL
(0,5),(0,12),-0.0137715 # DEPENDENCYPART_SIBL
(0,5),(0,13),-0.0137715 # DEPENDENCYPART_SIBL
(0,5),(0,15),-0.0138019 # DEPENDENCYPART_SIBL
(0,5),(0,16),-0.121956 # DEPENDENCYPART_SIBL
(0,5),(0,17),-0.0573933 # DEPENDENCYPART_SIBL
(0,5),(0,18),-0.0365777 # DEPENDENCYPART_SIBL
(0,5),(0,19),-0.0137715 # DEPENDENCYPART_SIBL
(0,5),(0,20),0.010684 # DEPENDENCYPART_SIBL
(0,5),(0,21),-0.0573933 # DEPENDENCYPART_SIBL
(0,5),(0,22),-0.12167 # DEPENDENCYPART_SIBL
(0,5),(0,23),-0.151991 # DEPENDENCYPART_SIBL
(0,5),(0,24),-0.134894 # DEPENDENCYPART_SIBL
(0,6),(0,7),0.00746535 # DEPENDENCYPART_SIBL
(0,6),(0,8),-0.0472007 # DEPENDENCYPART_SIBL
(0,6),(0,9),-0.00636228 # DEPENDENCYPART_SIBL
(0,6),(0,11),-0.0472007 # DEPENDENCYPART_SIBL
(0,6),(0,12),-0.00636142 # DEPENDENCYPART_SIBL
(0,6),(0,13),-0.00636142 # DEPENDENCYPART_SIBL
(0,6),(0,15),-0.00639254 # DEPENDENCYPART_SIBL
(0,6),(0,16),-0.121746 # DEPENDENCYPART_SIBL
(0,6),(0,17),0.00746547 # DEPENDENCYPART_SIBL
(0,6),(0,18),0.00614371 # DEPENDENCYPART_SIBL
(0,6),(0,19),-0.00636142 # DEPENDENCYPART_SIBL
(0,6),(0,20),0.00356714 # DEPENDENCYPART_SIBL
(0,6),(0,21),0.00746535 # DEPENDENCYPART_SIBL
(0,6),(0,22),-0.118532 # DEPENDENCYPART_SIBL
(0,6),(0,23),-0.0816288 # DEPENDENCYPART_SIBL
(0,6),(0,24),-0.0700426 # DEPENDENCYPART_SIBL
(0,7),(0,8),-0.0716099 # DEPENDENCYPART_SIBL
(0,7),(0,9),0.00466888 # DEPENDENCYPART_SIBL
(0,7),(0,11),-0.0716099 # DEPENDENCYPART_SIBL
(0,7),(0,12),0.00542613 # DEPENDENCYPART_SIBL
(0,7),(0,13),0.00542454 # DEPENDENCYPART_SIBL
(0,7),(0,15),0.00539575 # DEPENDENCYPART_SIBL
(0,7),(0,16),-0.0101521 # DEPENDENCYPART_SIBL
(0,7),(0,17),-0.0911845 # DEPENDENCYPART_SIBL
(0,7),(0,18),0.0158411 # DEPENDENCYPART_SIBL
(0,7),(0,19),0.00542613 # DEPENDENCYPART_SIBL
(0,7),(0,20),0.0224017 # DEPENDENCYPART_SIBL
(0,7),(0,21),-0.0911845 # DEPENDENCYPART_SIBL
(0,7),(0,22),-0.0134201 # DEPENDENCYPART_SIBL
(0,7),(0,23),-0.105821 # DEPENDENCYPART_SIBL
(0,7),(0,24),-0.0802417 # DEPENDENCYPART_SIBL
(0,8),(0,9),-0.202167 # DEPENDENCYPART_SIBL
(0,8),(0,11),-0.413823 # DEPENDENCYPART_SIBL
(0,8),(0,12),-0.202026 # DEPENDENCYPART_SIBL
(0,8),(0,13),-0.202026 # DEPENDENCYPART_SIBL
(0,8),(0,15),-0.202056 # DEPENDENCYPART_SIBL
(0,8),(0,16),-0.29669 # DEPENDENCYPART_SIBL
(0,8),(0,17),-0.200902 # DEPENDENCYPART_SIBL
(0,8),(0,18),-0.178617 # DEPENDENCYPART_SIBL
(0,8),(0,19),-0.202026 # DEPENDENCYPART_SIBL
(0,8),(0,20),-0.107489 # DEPENDENCYPART_SIBL
(0,8),(0,21),-0.200902 # DEPENDENCYPART_SIBL
(0,8),(0,22),-0.296606 # DEPENDENCYPART_SIBL
(0,8),(0,23),-0.370046 # DEPENDENCYPART_SIBL
(0,8),(0,24),-0.340789 # DEPENDENCYPART_SIBL
(0,9),(0,11),-0.13484 # DEPENDENCYPART_SIBL
(0,9),(0,12),0.0509439 # DEPENDENCYPART_SIBL
(0,9),(0,13),0.0509437 # DEPENDENCYPART_SIBL
(0,9),(0,15),0.0509135 # DEPENDENCYPART_SIBL
(0,9),(0,16),-0.110319 # DEPENDENCYPART_SIBL
(0,9),(0,17),-0.0588941 # DEPENDENCYPART_SIBL
(0,9),(0,18),0.00866971 # DEPENDENCYPART_SIBL
(0,9),(0,19),0.0509439 # DEPENDENCYPART_SIBL
(0,9),(0,20),0.0553243 # DEPENDENCYPART_SIBL
(0,9),(0,21),-0.0588941 # DEPENDENCYPART_SIBL
(0,9),(0,22),-0.118757 # DEPENDENCYPART_SIBL
(0,9),(0,23),-0.198273 # DEPENDENCYPART_SIBL
(0,9),(0,24),-0.174982 # DEPENDENCYPART_SIBL
(0,11),(0,12),-0.202026 # DEPENDENCYPART_SIBL
(0,11),(0,13),-0.202026 # DEPENDENCYPART_SIBL
(0,11),(0,15),-0.202056 # DEPENDENCYPART_SIBL
(0,11),(0,16),-0.29669 # DEPENDENCYPART_SIBL
(0,11),(0,17),-0.200902 # DEPENDENCYPART_SIBL
(0,11),(0,18),-0.178617 # DEPENDENCYPART_SIBL
(0,11),(0,19),-0.202026 # DEPENDENCYPART_SIBL
(0,11),(0,20),-0.107489 # DEPENDENCYPART_SIBL
(0,11),(0,21),-0.200902 # DEPENDENCYPART_SIBL
(0,11),(0,22),-0.296606 # DEPENDENCYPART_SIBL
(0,11),(0,23),-0.370046 # DEPENDENCYPART_SIBL
(0,11),(0,24),-0.340789 # DEPENDENCYPART_SIBL
(0,12),(0,13),0.0509437 # DEPENDENCYPART_SIBL
(0,12),(0,15),0.0509135 # DEPENDENCYPART_SIBL
(0,12),(0,16),-0.110319 # DEPENDENCYPART_SIBL
(0,12),(0,17),-0.0588941 # DEPENDENCYPART_SIBL
(0,12),(0,18),0.00866971 # DEPENDENCYPART_SIBL
(0,12),(0,19),0.0509439 # DEPENDENCYPART_SIBL
(0,12),(0,20),0.0553243 # DEPENDENCYPART_SIBL
(0,12),(0,21),-0.0588941 # DEPENDENCYPART_SIBL
(0,12),(0,22),-0.118757 # DEPENDENCYPART_SIBL
(0,12),(0,23),-0.198273 # DEPENDENCYPART_SIBL
(0,12),(0,24),-0.174982 # DEPENDENCYPART_SIBL
(0,13),(0,15),0.0509135 # DEPENDENCYPART_SIBL
(0,13),(0,16),-0.110319 # DEPENDENCYPART_SIBL
(0,13),(0,17),-0.0588941 # DEPENDENCYPART_SIBL
(0,13),(0,18),0.00866971 # DEPENDENCYPART_SIBL
(0,13),(0,19),0.0509439 # DEPENDENCYPART_SIBL
(0,13),(0,20),0.0553243 # DEPENDENCYPART_SIBL
(0,13),(0,21),-0.0588941 # DEPENDENCYPART_SIBL
(0,13),(0,22),-0.118757 # DEPENDENCYPART_SIBL
(0,13),(0,23),-0.198273 # DEPENDENCYPART_SIBL
(0,13),(0,24),-0.174982 # DEPENDENCYPART_SIBL
(0,15),(0,16),-0.110368 # DEPENDENCYPART_SIBL
(0,15),(0,17),-0.0589431 # DEPENDENCYPART_SIBL
(0,15),(0,18),0.0086207 # DEPENDENCYPART_SIBL
(0,15),(0,19),0.0508486 # DEPENDENCYPART_SIBL
(0,15),(0,20),0.0551144 # DEPENDENCYPART_SIBL
(0,15),(0,21),-0.0589431 # DEPENDENCYPART_SIBL
(0,15),(0,22),-0.118806 # DEPENDENCYPART_SIBL
(0,15),(0,23),-0.198322 # DEPENDENCYPART_SIBL
(0,15),(0,24),-0.175031 # DEPENDENCYPART_SIBL
(0,16),(0,17),0.00746547 # DEPENDENCYPART_SIBL
(0,16),(0,18),0.00614371 # DEPENDENCYPART_SIBL
(0,16),(0,19),-0.00636142 # DEPENDENCYPART_SIBL
(0,16),(0,20),0.00356714 # DEPENDENCYPART_SIBL
(0,16),(0,21),0.00746535 # DEPENDENCYPART_SIBL
(0,16),(0,22),-0.118532 # DEPENDENCYPART_SIBL
(0,16),(0,23),-0.0816288 # DEPENDENCYPART_SIBL
(0,16),(0,24),-0.0700426 # DEPENDENCYPART_SIBL
(0,17),(0,18),0.0158411 # DEPENDENCYPART_SIBL
(0,17),(0,19),0.00542671 # DEPENDENCYPART_SIBL
(0,17),(0,20),0.0224017 # DEPENDENCYPART_SIBL
(0,17),(0,21),-0.0911635 # DEPENDENCYPART_SIBL
(0,17),(0,22),-0.017516 # DEPENDENCYPART_SIBL
(0,17),(0,23),-0.105821 # DEPENDENCYPART_SIBL
(0,17),(0,24),-0.0802417 # DEPENDENCYPART_SIBL
(0,18),(0,19),-0.0107144 # DEPENDENCYPART_SIBL
(0,18),(0,20),0.0132952 # DEPENDENCYPART_SIBL
(0,18),(0,21),-0.0547705 # DEPENDENCYPART_SIBL
(0,18),(0,22),-0.122733 # DEPENDENCYPART_SIBL
(0,18),(0,23),-0.14938 # DEPENDENCYPART_SIBL
(0,18),(0,24),-0.132283 # DEPENDENCYPART_SIBL
(0,19),(0,20),0.0553243 # DEPENDENCYPART_SIBL
(0,19),(0,21),-0.0588941 # DEPENDENCYPART_SIBL
(0,19),(0,22),-0.118757 # DEPENDENCYPART_SIBL
(0,19),(0,23),-0.198273 # DEPENDENCYPART_SIBL
(0,19),(0,24),-0.174982 # DEPENDENCYPART_SIBL
(0,20),(0,21),-0.0418793 # DEPENDENCYPART_SIBL
(0,20),(0,22),-0.0961629 # DEPENDENCYPART_SIBL
(0,20),(0,23),-0.111664 # DEPENDENCYPART_SIBL
(0,20),(0,24),-0.0912671 # DEPENDENCYPART_SIBL
(0,21),(0,22),-0.017516 # DEPENDENCYPART_SIBL
(0,21),(0,23),-0.105821 # DEPENDENCYPART_SIBL
(0,21),(0,24),-0.0802417 # DEPENDENCYPART_SIBL
(0,22),(0,23),-0.0822546 # DEPENDENCYPART_SIBL
(0,22),(0,24),-0.0706684 # DEPENDENCYPART_SIBL
(0,23),(0,24),-0.161528 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.00980353 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.042963 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0442229 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.0395202 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.00484542 # DEPENDENCYPART_SIBL
(2,1),(2,18),-0.0342787 # DEPENDENCYPART_SIBL
(2,1),(2,22),-0.0282555 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0128977 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.059596 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.0470791 # DEPENDENCYPART_SIBL
(2,3),(2,18),-0.0648902 # DEPENDENCYPART_SIBL
(2,3),(2,22),-0.0918824 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.000960719 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.0016999 # DEPENDENCYPART_SIBL
(2,4),(2,18),-0.000775916 # DEPENDENCYPART_SIBL
(2,4),(2,22),-0.0381664 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.0373392 # DEPENDENCYPART_SIBL
(2,5),(2,18),-0.0567992 # DEPENDENCYPART_SIBL
(2,5),(2,22),-0.074063 # DEPENDENCYPART_SIBL
(2,7),(2,18),0.0211399 # DEPENDENCYPART_SIBL
(2,7),(2,22),0.029741 # DEPENDENCYPART_SIBL
(2,18),(2,22),-0.0918935 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.00751384 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.00671214 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.0637995 # DEPENDENCYPART_SIBL
(4,2),(4,9),0.0279358 # DEPENDENCYPART_SIBL
(4,2),(4,10),0.00120129 # DEPENDENCYPART_SIBL
(4,2),(4,18),0.00682531 # DEPENDENCYPART_SIBL
(4,2),(4,22),0.0413398 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0394204 # DEPENDENCYPART_SIBL
