# _root_ horrela zeudela , john_wayne famatuarengana joatea erabaki zuten , beren loria egunetan john_wayne beren adiskidea izan zelako .
#goldHeads=2,7,2,6,4,7,0,7,8,12,12,16,16,15,16,7,16,17,
#predictedHeads=2,7,2,6,4,7,0,7,8,11,12,16,15,13,16,7,16,17,
(0,1),(0,9),-0.0580471 # DEPENDENCYPART_SIBL
(0,1),(0,11),0.117875 # DEPENDENCYPART_SIBL
(0,1),(0,12),0.117875 # DEPENDENCYPART_SIBL
(0,1),(0,13),0.117875 # DEPENDENCYPART_SIBL
(0,1),(0,15),0.117875 # DEPENDENCYPART_SIBL
(0,1),(0,16),0.0668309 # DEPENDENCYPART_SIBL
(0,1),(0,17),-0.0122492 # DEPENDENCYPART_SIBL
(0,1),(0,18),-0.0783706 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.0763756 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.0268778 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.0336004 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.177052 # DEPENDENCYPART_SIBL
(0,2),(0,7),-0.206456 # DEPENDENCYPART_SIBL
(0,2),(0,8),-0.0435018 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.0763756 # DEPENDENCYPART_SIBL
(0,2),(0,11),-0.0268778 # DEPENDENCYPART_SIBL
(0,2),(0,12),-0.0268778 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.0268778 # DEPENDENCYPART_SIBL
(0,2),(0,15),-0.0268778 # DEPENDENCYPART_SIBL
(0,2),(0,16),-0.163098 # DEPENDENCYPART_SIBL
(0,2),(0,17),-0.0693844 # DEPENDENCYPART_SIBL
(0,2),(0,18),-0.106242 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.202026 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.132739 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.293047 # DEPENDENCYPART_SIBL
(0,3),(0,7),-0.314672 # DEPENDENCYPART_SIBL
(0,3),(0,8),-0.181658 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.413823 # DEPENDENCYPART_SIBL
(0,3),(0,11),-0.202026 # DEPENDENCYPART_SIBL
(0,3),(0,12),-0.202026 # DEPENDENCYPART_SIBL
(0,3),(0,13),-0.202026 # DEPENDENCYPART_SIBL
(0,3),(0,15),-0.202026 # DEPENDENCYPART_SIBL
(0,3),(0,16),-0.270085 # DEPENDENCYPART_SIBL
(0,3),(0,17),-0.200902 # DEPENDENCYPART_SIBL
(0,3),(0,18),-0.340789 # DEPENDENCYPART_SIBL
(0,4),(0,5),0.0183958 # DEPENDENCYPART_SIBL
(0,4),(0,6),-0.112334 # DEPENDENCYPART_SIBL
(0,4),(0,7),-0.140027 # DEPENDENCYPART_SIBL
(0,4),(0,8),-0.0353032 # DEPENDENCYPART_SIBL
(0,4),(0,9),-0.13484 # DEPENDENCYPART_SIBL
(0,4),(0,11),0.0509439 # DEPENDENCYPART_SIBL
(0,4),(0,12),0.0509372 # DEPENDENCYPART_SIBL
(0,4),(0,13),0.0509439 # DEPENDENCYPART_SIBL
(0,4),(0,15),0.0509439 # DEPENDENCYPART_SIBL
(0,4),(0,16),-0.0983313 # DEPENDENCYPART_SIBL
(0,4),(0,17),-0.0594175 # DEPENDENCYPART_SIBL
(0,4),(0,18),-0.174982 # DEPENDENCYPART_SIBL
(0,5),(0,6),-0.0983503 # DEPENDENCYPART_SIBL
(0,5),(0,7),-0.125483 # DEPENDENCYPART_SIBL
(0,5),(0,8),-0.00635232 # DEPENDENCYPART_SIBL
(0,5),(0,9),-0.072892 # DEPENDENCYPART_SIBL
(0,5),(0,11),-0.00442196 # DEPENDENCYPART_SIBL
(0,5),(0,12),-0.00442196 # DEPENDENCYPART_SIBL
(0,5),(0,13),-0.00442196 # DEPENDENCYPART_SIBL
(0,5),(0,15),-0.00442196 # DEPENDENCYPART_SIBL
(0,5),(0,16),-0.0796229 # DEPENDENCYPART_SIBL
(0,5),(0,17),-0.0317735 # DEPENDENCYPART_SIBL
(0,5),(0,18),-0.0798058 # DEPENDENCYPART_SIBL
(0,6),(0,7),-0.147875 # DEPENDENCYPART_SIBL
(0,6),(0,8),0.044077 # DEPENDENCYPART_SIBL
(0,6),(0,9),-0.0464709 # DEPENDENCYPART_SIBL
(0,6),(0,11),-0.00563288 # DEPENDENCYPART_SIBL
(0,6),(0,12),-0.00563288 # DEPENDENCYPART_SIBL
(0,6),(0,13),-0.00563288 # DEPENDENCYPART_SIBL
(0,6),(0,15),-0.00563288 # DEPENDENCYPART_SIBL
(0,6),(0,16),-0.0787312 # DEPENDENCYPART_SIBL
(0,6),(0,17),0.00735877 # DEPENDENCYPART_SIBL
(0,6),(0,18),-0.0693127 # DEPENDENCYPART_SIBL
(0,7),(0,8),0.0348728 # DEPENDENCYPART_SIBL
(0,7),(0,9),-0.0493158 # DEPENDENCYPART_SIBL
(0,7),(0,11),-0.00819908 # DEPENDENCYPART_SIBL
(0,7),(0,12),-0.00819908 # DEPENDENCYPART_SIBL
(0,7),(0,13),-0.00819908 # DEPENDENCYPART_SIBL
(0,7),(0,15),-0.00819908 # DEPENDENCYPART_SIBL
(0,7),(0,16),-0.0812493 # DEPENDENCYPART_SIBL
(0,7),(0,17),0.000615382 # DEPENDENCYPART_SIBL
(0,7),(0,18),-0.0720938 # DEPENDENCYPART_SIBL
(0,8),(0,9),-0.0747204 # DEPENDENCYPART_SIBL
(0,8),(0,11),-0.0244267 # DEPENDENCYPART_SIBL
(0,8),(0,12),-0.02443 # DEPENDENCYPART_SIBL
(0,8),(0,13),-0.0244267 # DEPENDENCYPART_SIBL
(0,8),(0,15),-0.0244267 # DEPENDENCYPART_SIBL
(0,8),(0,16),-0.00540183 # DEPENDENCYPART_SIBL
(0,8),(0,17),-0.102091 # DEPENDENCYPART_SIBL
(0,8),(0,18),-0.0873356 # DEPENDENCYPART_SIBL
(0,9),(0,11),-0.202026 # DEPENDENCYPART_SIBL
(0,9),(0,12),-0.202026 # DEPENDENCYPART_SIBL
(0,9),(0,13),-0.202026 # DEPENDENCYPART_SIBL
(0,9),(0,15),-0.202026 # DEPENDENCYPART_SIBL
(0,9),(0,16),-0.270085 # DEPENDENCYPART_SIBL
(0,9),(0,17),-0.200902 # DEPENDENCYPART_SIBL
(0,9),(0,18),-0.340789 # DEPENDENCYPART_SIBL
(0,11),(0,12),0.0509372 # DEPENDENCYPART_SIBL
(0,11),(0,13),0.0509439 # DEPENDENCYPART_SIBL
(0,11),(0,15),0.0509439 # DEPENDENCYPART_SIBL
(0,11),(0,16),-0.0983313 # DEPENDENCYPART_SIBL
(0,11),(0,17),-0.0594175 # DEPENDENCYPART_SIBL
(0,11),(0,18),-0.174982 # DEPENDENCYPART_SIBL
(0,12),(0,13),0.0509243 # DEPENDENCYPART_SIBL
(0,12),(0,15),0.0509243 # DEPENDENCYPART_SIBL
(0,12),(0,16),-0.098337 # DEPENDENCYPART_SIBL
(0,12),(0,17),-0.0594178 # DEPENDENCYPART_SIBL
(0,12),(0,18),-0.174983 # DEPENDENCYPART_SIBL
(0,13),(0,15),0.0509439 # DEPENDENCYPART_SIBL
(0,13),(0,16),-0.0983313 # DEPENDENCYPART_SIBL
(0,13),(0,17),-0.0594175 # DEPENDENCYPART_SIBL
(0,13),(0,18),-0.174982 # DEPENDENCYPART_SIBL
(0,15),(0,16),-0.0983313 # DEPENDENCYPART_SIBL
(0,15),(0,17),-0.0594175 # DEPENDENCYPART_SIBL
(0,15),(0,18),-0.174982 # DEPENDENCYPART_SIBL
(0,16),(0,17),0.0722258 # DEPENDENCYPART_SIBL
(0,16),(0,18),-0.0450233 # DEPENDENCYPART_SIBL
(0,17),(0,18),-0.0802421 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.036833 # DEPENDENCYPART_SIBL
(1,2),(1,4),0.0561634 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.0820346 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.00826159 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.00126346 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.00744628 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.0117007 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.0069123 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.0192603 # DEPENDENCYPART_SIBL
(2,1),(2,11),0.00126346 # DEPENDENCYPART_SIBL
(2,1),(2,12),0.00126346 # DEPENDENCYPART_SIBL
(2,1),(2,15),0.00126346 # DEPENDENCYPART_SIBL
(2,1),(2,16),0.0184004 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0395662 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.0324093 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.0157758 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.0111679 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.0441962 # DEPENDENCYPART_SIBL
(2,3),(2,11),-0.0395662 # DEPENDENCYPART_SIBL
(2,3),(2,12),-0.0395662 # DEPENDENCYPART_SIBL
(2,3),(2,15),-0.0395662 # DEPENDENCYPART_SIBL
(2,3),(2,16),-0.02564 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.00677174 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.00604623 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.00699623 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.0057016 # DEPENDENCYPART_SIBL
(2,4),(2,11),-0.0118223 # DEPENDENCYPART_SIBL
(2,4),(2,12),-0.0118289 # DEPENDENCYPART_SIBL
(2,4),(2,15),-0.0118223 # DEPENDENCYPART_SIBL
(2,4),(2,16),-0.0249455 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.0344103 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.0348728 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.0148647 # DEPENDENCYPART_SIBL
(2,5),(2,11),-0.0377287 # DEPENDENCYPART_SIBL
(2,5),(2,12),-0.0377287 # DEPENDENCYPART_SIBL
(2,5),(2,15),-0.0377287 # DEPENDENCYPART_SIBL
(2,5),(2,16),-0.0419452 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.00156568 # DEPENDENCYPART_SIBL
(2,6),(2,8),0.0219328 # DEPENDENCYPART_SIBL
(2,6),(2,11),-0.000345678 # DEPENDENCYPART_SIBL
(2,6),(2,12),-0.000345678 # DEPENDENCYPART_SIBL
(2,6),(2,15),-0.000345678 # DEPENDENCYPART_SIBL
(2,6),(2,16),-0.00628258 # DEPENDENCYPART_SIBL
(2,7),(2,8),0.0181501 # DEPENDENCYPART_SIBL
(2,7),(2,11),-0.000502976 # DEPENDENCYPART_SIBL
(2,7),(2,12),-0.000502976 # DEPENDENCYPART_SIBL
(2,7),(2,15),-0.000502976 # DEPENDENCYPART_SIBL
(2,7),(2,16),-0.00655038 # DEPENDENCYPART_SIBL
(2,8),(2,11),-0.0289118 # DEPENDENCYPART_SIBL
(2,8),(2,12),-0.0289151 # DEPENDENCYPART_SIBL
(2,8),(2,15),-0.0289118 # DEPENDENCYPART_SIBL
(2,8),(2,16),-0.00763603 # DEPENDENCYPART_SIBL
(2,11),(2,12),-0.0118289 # DEPENDENCYPART_SIBL
(2,11),(2,15),-0.0118223 # DEPENDENCYPART_SIBL
(2,11),(2,16),-0.0249455 # DEPENDENCYPART_SIBL
(2,12),(2,15),-0.0118414 # DEPENDENCYPART_SIBL
(2,12),(2,16),-0.0249509 # DEPENDENCYPART_SIBL
(2,15),(2,16),-0.0249455 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.0947471 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.273792 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.275945 # DEPENDENCYPART_SIBL
(3,2),(3,16),0.307026 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.00762404 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.00806044 # DEPENDENCYPART_SIBL
(3,5),(3,16),-0.0149997 # DEPENDENCYPART_SIBL
(3,6),(3,7),0.00363268 # DEPENDENCYPART_SIBL
(3,6),(3,16),-0.00306427 # DEPENDENCYPART_SIBL
(3,7),(3,16),-0.00320674 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0288967 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0374509 # DEPENDENCYPART_SIBL
(4,3),(4,11),-0.0562268 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0448741 # DEPENDENCYPART_SIBL
(4,5),(4,11),-0.00867562 # DEPENDENCYPART_SIBL
(4,6),(4,11),-0.00638367 # DEPENDENCYPART_SIBL
(5,1),(5,4),5.23671e-05 # DEPENDENCYPART_SIBL
(5,1),(5,6),0.0472287 # DEPENDENCYPART_SIBL
(5,1),(5,16),0.0698478 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.019159 # DEPENDENCYPART_SIBL
(5,4),(5,16),0.0467955 # DEPENDENCYPART_SIBL
(5,6),(5,16),-0.00475478 # DEPENDENCYPART_SIBL
(6,1),(6,2),-0.0207043 # DEPENDENCYPART_SIBL
(6,1),(6,3),-0.0691956 # DEPENDENCYPART_SIBL
(6,1),(6,4),-0.0390857 # DEPENDENCYPART_SIBL
(6,1),(6,5),-0.00520574 # DEPENDENCYPART_SIBL
(6,1),(6,7),-0.0310359 # DEPENDENCYPART_SIBL
(6,1),(6,8),-0.0280518 # DEPENDENCYPART_SIBL
(6,1),(6,9),0.00284294 # DEPENDENCYPART_SIBL
(6,1),(6,10),-0.0244707 # DEPENDENCYPART_SIBL
(6,1),(6,11),-0.0234972 # DEPENDENCYPART_SIBL
(6,1),(6,12),-0.0235105 # DEPENDENCYPART_SIBL
(6,1),(6,15),-0.0234972 # DEPENDENCYPART_SIBL
(6,1),(6,16),0.0193302 # DEPENDENCYPART_SIBL
(6,1),(6,17),-0.0053682 # DEPENDENCYPART_SIBL
(6,2),(6,3),-0.054375 # DEPENDENCYPART_SIBL
(6,2),(6,4),-0.0256744 # DEPENDENCYPART_SIBL
(6,2),(6,5),-0.00693251 # DEPENDENCYPART_SIBL
(6,2),(6,7),0.00201754 # DEPENDENCYPART_SIBL
(6,2),(6,8),0.0386858 # DEPENDENCYPART_SIBL
(6,2),(6,9),-6.29751e-05 # DEPENDENCYPART_SIBL
(6,2),(6,10),-0.0106011 # DEPENDENCYPART_SIBL
(6,2),(6,11),0.0113258 # DEPENDENCYPART_SIBL
(6,2),(6,12),0.0113125 # DEPENDENCYPART_SIBL
(6,2),(6,15),0.0113258 # DEPENDENCYPART_SIBL
(6,2),(6,16),0.0273777 # DEPENDENCYPART_SIBL
(6,2),(6,17),0.0466032 # DEPENDENCYPART_SIBL
(6,3),(6,4),-0.175144 # DEPENDENCYPART_SIBL
(6,3),(6,5),-0.0941344 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.0209621 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.00841405 # DEPENDENCYPART_SIBL
(6,3),(6,9),-0.00549344 # DEPENDENCYPART_SIBL
(6,3),(6,10),-0.0185066 # DEPENDENCYPART_SIBL
(6,3),(6,11),-0.00326999 # DEPENDENCYPART_SIBL
(6,3),(6,12),-0.00333085 # DEPENDENCYPART_SIBL
(6,3),(6,15),-0.00326999 # DEPENDENCYPART_SIBL
(6,3),(6,16),-0.00480564 # DEPENDENCYPART_SIBL
(6,3),(6,17),0.0104647 # DEPENDENCYPART_SIBL
(6,4),(6,5),-0.0126536 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.025271 # DEPENDENCYPART_SIBL
(6,4),(6,8),0.0176948 # DEPENDENCYPART_SIBL
(6,4),(6,9),0.00266443 # DEPENDENCYPART_SIBL
(6,4),(6,10),-0.0512058 # DEPENDENCYPART_SIBL
(6,4),(6,11),-0.0234376 # DEPENDENCYPART_SIBL
(6,4),(6,12),-0.0236406 # DEPENDENCYPART_SIBL
(6,4),(6,15),-0.0234376 # DEPENDENCYPART_SIBL
(6,4),(6,16),0.0160089 # DEPENDENCYPART_SIBL
(6,4),(6,17),0.0187413 # DEPENDENCYPART_SIBL
(6,5),(6,7),-0.00905896 # DEPENDENCYPART_SIBL
(6,5),(6,8),0.055357 # DEPENDENCYPART_SIBL
(6,5),(6,9),0.00177151 # DEPENDENCYPART_SIBL
(6,5),(6,10),0.00920051 # DEPENDENCYPART_SIBL
(6,5),(6,11),-0.0124165 # DEPENDENCYPART_SIBL
(6,5),(6,12),-0.0124298 # DEPENDENCYPART_SIBL
(6,5),(6,15),-0.0124165 # DEPENDENCYPART_SIBL
(6,5),(6,16),0.0169128 # DEPENDENCYPART_SIBL
(6,5),(6,17),0.038224 # DEPENDENCYPART_SIBL
(6,7),(6,8),-0.00359927 # DEPENDENCYPART_SIBL
(6,7),(6,9),-0.049831 # DEPENDENCYPART_SIBL
(6,7),(6,10),-0.0105654 # DEPENDENCYPART_SIBL
(6,7),(6,11),-0.0466865 # DEPENDENCYPART_SIBL
(6,7),(6,12),-0.0466985 # DEPENDENCYPART_SIBL
(6,7),(6,15),-0.0466865 # DEPENDENCYPART_SIBL
(6,7),(6,16),-0.0498007 # DEPENDENCYPART_SIBL
(6,7),(6,17),0.0280448 # DEPENDENCYPART_SIBL
(6,8),(6,9),-0.0348568 # DEPENDENCYPART_SIBL
(6,8),(6,10),0.00124397 # DEPENDENCYPART_SIBL
(6,8),(6,11),-0.023019 # DEPENDENCYPART_SIBL
(6,8),(6,12),-0.0230376 # DEPENDENCYPART_SIBL
(6,8),(6,15),-0.023019 # DEPENDENCYPART_SIBL
(6,8),(6,16),-0.0181607 # DEPENDENCYPART_SIBL
(6,8),(6,17),-0.149116 # DEPENDENCYPART_SIBL
(6,9),(6,10),-0.100086 # DEPENDENCYPART_SIBL
(6,9),(6,11),-0.0970479 # DEPENDENCYPART_SIBL
(6,9),(6,12),-0.0970598 # DEPENDENCYPART_SIBL
(6,9),(6,15),-0.0970479 # DEPENDENCYPART_SIBL
(6,9),(6,16),-0.0715219 # DEPENDENCYPART_SIBL
(6,9),(6,17),-0.0734486 # DEPENDENCYPART_SIBL
(6,10),(6,11),-0.0256293 # DEPENDENCYPART_SIBL
(6,10),(6,12),-0.0260014 # DEPENDENCYPART_SIBL
(6,10),(6,15),-0.0256293 # DEPENDENCYPART_SIBL
(6,10),(6,16),-0.0481399 # DEPENDENCYPART_SIBL
(6,10),(6,17),-0.00335464 # DEPENDENCYPART_SIBL
(6,11),(6,12),-0.0147829 # DEPENDENCYPART_SIBL
(6,11),(6,15),-0.0147576 # DEPENDENCYPART_SIBL
(6,11),(6,16),-0.0542295 # DEPENDENCYPART_SIBL
(6,11),(6,17),-0.0197629 # DEPENDENCYPART_SIBL
(6,12),(6,15),-0.0147867 # DEPENDENCYPART_SIBL
(6,12),(6,16),-0.0542495 # DEPENDENCYPART_SIBL
(6,12),(6,17),-0.0197721 # DEPENDENCYPART_SIBL
(6,15),(6,16),-0.0542295 # DEPENDENCYPART_SIBL
