# _root_ " garai benetan korapilatsu eta zailak bizitzen ari_gara , eta ezin_dugu horrela bizitzen jarraitu , elkarrekin bizitzen ikasi behar_dugu .
#goldHeads=0,7,4,5,2,5,8,10,8,0,10,13,14,11,14,17,18,19,10,19,
#predictedHeads=0,7,4,5,2,5,8,10,8,0,10,11,14,11,14,17,18,19,0,19,
(5,7),(5,13),-0.117136 # DEPENDENCYPART_SIBL
(5,7),(5,14),-0.1202 # DEPENDENCYPART_SIBL
(5,7),(5,17),-0.117136 # DEPENDENCYPART_SIBL
(5,7),(5,18),-0.117136 # DEPENDENCYPART_SIBL
(5,7),(5,19),-0.107537 # DEPENDENCYPART_SIBL
(5,8),(5,9),-0.0666458 # DEPENDENCYPART_SIBL
(5,8),(5,10),-0.0125337 # DEPENDENCYPART_SIBL
(5,8),(5,11),-0.117136 # DEPENDENCYPART_SIBL
(5,8),(5,13),-0.117136 # DEPENDENCYPART_SIBL
(5,8),(5,14),-0.1202 # DEPENDENCYPART_SIBL
(5,8),(5,17),-0.117136 # DEPENDENCYPART_SIBL
(5,8),(5,18),-0.117136 # DEPENDENCYPART_SIBL
(5,8),(5,19),-0.107537 # DEPENDENCYPART_SIBL
(5,9),(5,10),0.0168617 # DEPENDENCYPART_SIBL
(5,9),(5,11),-0.0124629 # DEPENDENCYPART_SIBL
(5,9),(5,13),-0.0124629 # DEPENDENCYPART_SIBL
(5,9),(5,14),-0.0172959 # DEPENDENCYPART_SIBL
(5,9),(5,17),-0.0124629 # DEPENDENCYPART_SIBL
(5,9),(5,18),-0.0124629 # DEPENDENCYPART_SIBL
(5,9),(5,19),0.00656922 # DEPENDENCYPART_SIBL
(5,10),(5,11),-0.0932112 # DEPENDENCYPART_SIBL
(5,10),(5,13),-0.0932112 # DEPENDENCYPART_SIBL
(5,10),(5,14),-0.0937134 # DEPENDENCYPART_SIBL
(5,10),(5,17),-0.0932112 # DEPENDENCYPART_SIBL
(5,10),(5,18),-0.0813411 # DEPENDENCYPART_SIBL
(5,10),(5,19),-0.0919605 # DEPENDENCYPART_SIBL
(5,11),(5,13),-0.117136 # DEPENDENCYPART_SIBL
(5,11),(5,14),-0.1202 # DEPENDENCYPART_SIBL
(5,11),(5,17),-0.117136 # DEPENDENCYPART_SIBL
(5,11),(5,18),-0.117136 # DEPENDENCYPART_SIBL
(5,11),(5,19),-0.107537 # DEPENDENCYPART_SIBL
(5,13),(5,14),-0.1202 # DEPENDENCYPART_SIBL
(5,13),(5,17),-0.117136 # DEPENDENCYPART_SIBL
(5,13),(5,18),-0.117136 # DEPENDENCYPART_SIBL
(5,13),(5,19),-0.107537 # DEPENDENCYPART_SIBL
(5,14),(5,17),-0.12008 # DEPENDENCYPART_SIBL
(5,14),(5,18),-0.12008 # DEPENDENCYPART_SIBL
(5,14),(5,19),-0.110514 # DEPENDENCYPART_SIBL
(5,17),(5,18),-0.117136 # DEPENDENCYPART_SIBL
(5,17),(5,19),-0.107537 # DEPENDENCYPART_SIBL
(5,18),(5,19),-0.107597 # DEPENDENCYPART_SIBL
(6,7),(6,9),-0.0268092 # DEPENDENCYPART_SIBL
(7,2),(7,3),-0.0189859 # DEPENDENCYPART_SIBL
(7,2),(7,4),-0.0212802 # DEPENDENCYPART_SIBL
(7,2),(7,5),0.0116528 # DEPENDENCYPART_SIBL
