# _root_ gogoan_dut beste batzuetan nola barneratzen ninduzun itsasoan txalupa koskor - niretzat , intxaur azal txikitxo - batean , atsegin bait zenuen nire izu-ikara zentzugabearen_aurrean zure segurtasun babeslea agertzea .
#goldHeads=0,3,5,5,1,5,5,5,8,9,14,11,14,8,14,15,8,17,0,21,19,23,28,23,26,28,26,21,28,
#predictedHeads=0,3,5,5,1,5,6,5,8,9,5,11,14,19,14,15,14,17,0,19,20,23,19,23,26,28,26,21,28,
(14,13),1.11314 # DEPENDENCYPART_ARC
(14,15),1.29401 # DEPENDENCYPART_ARC
(14,17),0.323913 # DEPENDENCYPART_ARC
(14,19),-0.93353 # DEPENDENCYPART_ARC
(14,21),-1.11189 # DEPENDENCYPART_ARC
(14,23),-0.954921 # DEPENDENCYPART_ARC
(14,28),-0.91698 # DEPENDENCYPART_ARC
(15,8),-1.73706 # DEPENDENCYPART_ARC
(15,13),-1.11248 # DEPENDENCYPART_ARC
(15,14),-0.608794 # DEPENDENCYPART_ARC
(15,16),1.41002 # DEPENDENCYPART_ARC
(15,17),-0.600353 # DEPENDENCYPART_ARC
(15,18),0.173546 # DEPENDENCYPART_ARC
(15,28),-0.556379 # DEPENDENCYPART_ARC
(16,17),-0.227567 # DEPENDENCYPART_ARC
(16,18),-0.27306 # DEPENDENCYPART_ARC
(17,13),-1.51032 # DEPENDENCYPART_ARC
(17,14),-1.40351 # DEPENDENCYPART_ARC
(17,18),1.28605 # DEPENDENCYPART_ARC
(17,21),-1.09924 # DEPENDENCYPART_ARC
(18,19),-0.170409 # DEPENDENCYPART_ARC
(18,21),-0.569755 # DEPENDENCYPART_ARC
(19,2),-1.24855 # DEPENDENCYPART_ARC
(19,3),-0.651726 # DEPENDENCYPART_ARC
(19,5),-0.838359 # DEPENDENCYPART_ARC
(19,7),-0.28819 # DEPENDENCYPART_ARC
(19,8),-0.792828 # DEPENDENCYPART_ARC
(19,9),-0.838205 # DEPENDENCYPART_ARC
(19,11),-0.415432 # DEPENDENCYPART_ARC
(19,12),-1.18244 # DEPENDENCYPART_ARC
(19,13),-0.374391 # DEPENDENCYPART_ARC
(19,14),-0.268557 # DEPENDENCYPART_ARC
(19,15),-0.503095 # DEPENDENCYPART_ARC
(19,17),-0.409995 # DEPENDENCYPART_ARC
(19,18),-0.150323 # DEPENDENCYPART_ARC
(19,20),0.702064 # DEPENDENCYPART_ARC
(19,21),0.0494153 # DEPENDENCYPART_ARC
(19,22),-0.333922 # DEPENDENCYPART_ARC
(19,23),-0.42594 # DEPENDENCYPART_ARC
(19,24),-1.50895 # DEPENDENCYPART_ARC
(19,25),-0.621371 # DEPENDENCYPART_ARC
(19,26),-0.84485 # DEPENDENCYPART_ARC
(19,27),-1.61697 # DEPENDENCYPART_ARC
(19,28),-0.153505 # DEPENDENCYPART_ARC
(20,6),0.361076 # DEPENDENCYPART_ARC
(20,19),0.324821 # DEPENDENCYPART_ARC
(20,21),1.57614 # DEPENDENCYPART_ARC
(20,23),-0.36321 # DEPENDENCYPART_ARC
(20,26),-0.464608 # DEPENDENCYPART_ARC
(21,5),-1.42934 # DEPENDENCYPART_ARC
(21,7),-0.692174 # DEPENDENCYPART_ARC
(21,8),-0.884201 # DEPENDENCYPART_ARC
(21,12),-1.29258 # DEPENDENCYPART_ARC
(21,13),-0.653819 # DEPENDENCYPART_ARC
(21,14),-0.615499 # DEPENDENCYPART_ARC
(21,15),-1.01181 # DEPENDENCYPART_ARC
(21,17),-0.207761 # DEPENDENCYPART_ARC
(21,18),-0.880273 # DEPENDENCYPART_ARC
(21,19),-0.419523 # DEPENDENCYPART_ARC
(21,22),0.115577 # DEPENDENCYPART_ARC
(21,23),-0.149747 # DEPENDENCYPART_ARC
(21,26),-0.448699 # DEPENDENCYPART_ARC
(21,27),-0.457446 # DEPENDENCYPART_ARC
(21,28),0.548457 # DEPENDENCYPART_ARC
(22,23),-0.444305 # DEPENDENCYPART_ARC
(22,27),-1.13021 # DEPENDENCYPART_ARC
(23,9),-1.10739 # DEPENDENCYPART_ARC
(23,15),-1.02532 # DEPENDENCYPART_ARC
(23,17),-2.28014 # DEPENDENCYPART_ARC
(23,18),-1.34521 # DEPENDENCYPART_ARC
(23,19),-1.06491 # DEPENDENCYPART_ARC
(23,21),-1.02862 # DEPENDENCYPART_ARC
(23,22),0.871989 # DEPENDENCYPART_ARC
(23,24),1.24796 # DEPENDENCYPART_ARC
(23,25),-0.4352 # DEPENDENCYPART_ARC
(23,26),-1.00506 # DEPENDENCYPART_ARC
(23,27),-0.106839 # DEPENDENCYPART_ARC
(23,28),-0.985769 # DEPENDENCYPART_ARC
(23,29),-1.11789 # DEPENDENCYPART_ARC
(24,14),-1.06972 # DEPENDENCYPART_ARC
(24,23),0.309366 # DEPENDENCYPART_ARC
(24,26),-1.16059 # DEPENDENCYPART_ARC
(25,26),-0.421346 # DEPENDENCYPART_ARC
(25,27),-0.733216 # DEPENDENCYPART_ARC
(26,9),-1.09615 # DEPENDENCYPART_ARC
(26,15),-1.09688 # DEPENDENCYPART_ARC
(26,21),-1.31547 # DEPENDENCYPART_ARC
(26,22),-0.498661 # DEPENDENCYPART_ARC
(26,23),-0.4467 # DEPENDENCYPART_ARC
(26,24),-0.554677 # DEPENDENCYPART_ARC
(26,25),0.784259 # DEPENDENCYPART_ARC
(26,27),1.83196 # DEPENDENCYPART_ARC
(26,28),-0.672305 # DEPENDENCYPART_ARC
(26,29),-0.935307 # DEPENDENCYPART_ARC
(27,23),-1.13195 # DEPENDENCYPART_ARC
(27,26),-0.162899 # DEPENDENCYPART_ARC
(27,28),-0.818673 # DEPENDENCYPART_ARC
(28,5),-1.2337 # DEPENDENCYPART_ARC
(28,7),-0.0231666 # DEPENDENCYPART_ARC
(28,8),-0.180524 # DEPENDENCYPART_ARC
(28,12),-1.18886 # DEPENDENCYPART_ARC
(28,13),-0.200877 # DEPENDENCYPART_ARC
(28,14),0.00179707 # DEPENDENCYPART_ARC
(28,15),-0.921354 # DEPENDENCYPART_ARC
(28,18),-1.33271 # DEPENDENCYPART_ARC
(28,19),-1.0165 # DEPENDENCYPART_ARC
(28,20),-0.370683 # DEPENDENCYPART_ARC
(28,21),-1.40607 # DEPENDENCYPART_ARC
(28,22),-0.931878 # DEPENDENCYPART_ARC
(28,23),0.623294 # DEPENDENCYPART_ARC
(28,24),-0.6498 # DEPENDENCYPART_ARC
(28,25),-0.770585 # DEPENDENCYPART_ARC
(28,26),1.19083 # DEPENDENCYPART_ARC
(28,27),0.282995 # DEPENDENCYPART_ARC
(28,29),1.48387 # DEPENDENCYPART_ARC
(0,1),(0,2),0.00611805 # DEPENDENCYPART_SIBL
(0,1),(0,3),0.00281956 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.0431678 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.117133 # DEPENDENCYPART_SIBL
(0,1),(0,6),0.00821328 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.00562242 # DEPENDENCYPART_SIBL
(0,1),(0,8),-0.00562242 # DEPENDENCYPART_SIBL
(0,1),(0,9),-9.77891e-05 # DEPENDENCYPART_SIBL
(0,1),(0,10),-0.0892813 # DEPENDENCYPART_SIBL
(0,1),(0,11),-0.0089285 # DEPENDENCYPART_SIBL
(0,1),(0,12),-0.0464622 # DEPENDENCYPART_SIBL
(0,1),(0,16),-0.0892813 # DEPENDENCYPART_SIBL
(0,1),(0,17),0.00363647 # DEPENDENCYPART_SIBL
(0,1),(0,18),-0.0464622 # DEPENDENCYPART_SIBL
(0,1),(0,19),-0.077854 # DEPENDENCYPART_SIBL
(0,1),(0,20),-0.049039 # DEPENDENCYPART_SIBL
(0,1),(0,21),-0.069349 # DEPENDENCYPART_SIBL
(0,1),(0,22),-0.0119186 # DEPENDENCYPART_SIBL
(0,1),(0,24),-9.77891e-05 # DEPENDENCYPART_SIBL
(0,1),(0,25),-0.00915768 # DEPENDENCYPART_SIBL
(0,1),(0,26),-0.00562467 # DEPENDENCYPART_SIBL
(0,1),(0,27),-9.77891e-05 # DEPENDENCYPART_SIBL
(0,1),(0,28),-0.117777 # DEPENDENCYPART_SIBL
(0,1),(0,29),-0.0693041 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.0542798 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.0479468 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.13226 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.0634516 # DEPENDENCYPART_SIBL
(0,2),(0,7),-0.0242551 # DEPENDENCYPART_SIBL
(0,2),(0,8),-0.0242551 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.0496102 # DEPENDENCYPART_SIBL
(0,2),(0,10),-0.178922 # DEPENDENCYPART_SIBL
(0,2),(0,11),-0.0226185 # DEPENDENCYPART_SIBL
(0,2),(0,12),-0.140558 # DEPENDENCYPART_SIBL
(0,2),(0,16),-0.178922 # DEPENDENCYPART_SIBL
(0,2),(0,17),-0.0515633 # DEPENDENCYPART_SIBL
(0,2),(0,18),-0.140558 # DEPENDENCYPART_SIBL
(0,2),(0,19),-0.109944 # DEPENDENCYPART_SIBL
(0,2),(0,20),-0.056325 # DEPENDENCYPART_SIBL
(0,2),(0,21),-0.0763803 # DEPENDENCYPART_SIBL
(0,2),(0,22),-0.0253027 # DEPENDENCYPART_SIBL
(0,2),(0,24),-0.0496102 # DEPENDENCYPART_SIBL
(0,2),(0,25),-0.0227822 # DEPENDENCYPART_SIBL
(0,2),(0,26),-0.0242573 # DEPENDENCYPART_SIBL
(0,2),(0,27),-0.0496102 # DEPENDENCYPART_SIBL
(0,2),(0,28),-0.132952 # DEPENDENCYPART_SIBL
(0,2),(0,29),-0.146399 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.0528891 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.127789 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.0634017 # DEPENDENCYPART_SIBL
(0,3),(0,7),-0.0193417 # DEPENDENCYPART_SIBL
(0,3),(0,8),-0.0193417 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.0495714 # DEPENDENCYPART_SIBL
(0,3),(0,10),-0.173437 # DEPENDENCYPART_SIBL
(0,3),(0,11),-0.0225789 # DEPENDENCYPART_SIBL
(0,3),(0,12),-0.133808 # DEPENDENCYPART_SIBL
(0,3),(0,16),-0.173437 # DEPENDENCYPART_SIBL
(0,3),(0,17),-0.0430142 # DEPENDENCYPART_SIBL
(0,3),(0,18),-0.133808 # DEPENDENCYPART_SIBL
(0,3),(0,19),-0.105472 # DEPENDENCYPART_SIBL
(0,3),(0,20),-0.0562862 # DEPENDENCYPART_SIBL
(0,3),(0,21),-0.0761416 # DEPENDENCYPART_SIBL
(0,3),(0,22),-0.0252631 # DEPENDENCYPART_SIBL
(0,3),(0,24),-0.0495714 # DEPENDENCYPART_SIBL
(0,3),(0,25),-0.0227426 # DEPENDENCYPART_SIBL
(0,3),(0,26),-0.0193439 # DEPENDENCYPART_SIBL
(0,3),(0,27),-0.0495714 # DEPENDENCYPART_SIBL
(0,3),(0,28),-0.12848 # DEPENDENCYPART_SIBL
(0,3),(0,29),-0.140914 # DEPENDENCYPART_SIBL
(0,4),(0,5),0.00163114 # DEPENDENCYPART_SIBL
(0,4),(0,6),-0.0365743 # DEPENDENCYPART_SIBL
(0,4),(0,7),0.0973877 # DEPENDENCYPART_SIBL
(0,4),(0,8),0.0973877 # DEPENDENCYPART_SIBL
(0,4),(0,9),0.0686323 # DEPENDENCYPART_SIBL
(0,4),(0,10),-0.120813 # DEPENDENCYPART_SIBL
(0,4),(0,11),0.0907826 # DEPENDENCYPART_SIBL
(0,4),(0,12),-0.0624786 # DEPENDENCYPART_SIBL
(0,4),(0,16),-0.120813 # DEPENDENCYPART_SIBL
(0,4),(0,17),0.0656525 # DEPENDENCYPART_SIBL
(0,4),(0,18),-0.0624786 # DEPENDENCYPART_SIBL
(0,4),(0,19),0.0239478 # DEPENDENCYPART_SIBL
(0,4),(0,20),0.000277629 # DEPENDENCYPART_SIBL
(0,4),(0,21),-0.0147369 # DEPENDENCYPART_SIBL
(0,4),(0,22),0.0876982 # DEPENDENCYPART_SIBL
(0,4),(0,24),0.0686323 # DEPENDENCYPART_SIBL
(0,4),(0,25),0.0905929 # DEPENDENCYPART_SIBL
(0,4),(0,26),0.0973855 # DEPENDENCYPART_SIBL
(0,4),(0,27),0.0686323 # DEPENDENCYPART_SIBL
(0,4),(0,28),0.000987262 # DEPENDENCYPART_SIBL
(0,4),(0,29),-0.0831233 # DEPENDENCYPART_SIBL
(0,5),(0,6),0.00821328 # DEPENDENCYPART_SIBL
(0,5),(0,7),-0.00562242 # DEPENDENCYPART_SIBL
(0,5),(0,8),-0.00562242 # DEPENDENCYPART_SIBL
(0,5),(0,9),-9.77891e-05 # DEPENDENCYPART_SIBL
(0,5),(0,10),-0.0892813 # DEPENDENCYPART_SIBL
(0,5),(0,11),-0.0089285 # DEPENDENCYPART_SIBL
(0,5),(0,12),-0.0464622 # DEPENDENCYPART_SIBL
(0,5),(0,16),-0.0892813 # DEPENDENCYPART_SIBL
(0,5),(0,17),0.00363647 # DEPENDENCYPART_SIBL
(0,5),(0,18),-0.0464622 # DEPENDENCYPART_SIBL
(0,5),(0,19),-0.077854 # DEPENDENCYPART_SIBL
(0,5),(0,20),-0.049039 # DEPENDENCYPART_SIBL
(0,5),(0,21),-0.069349 # DEPENDENCYPART_SIBL
(0,5),(0,22),-0.0119186 # DEPENDENCYPART_SIBL
(0,5),(0,24),-9.77891e-05 # DEPENDENCYPART_SIBL
(0,5),(0,25),-0.00915768 # DEPENDENCYPART_SIBL
(0,5),(0,26),-0.00562467 # DEPENDENCYPART_SIBL
(0,5),(0,27),-9.77891e-05 # DEPENDENCYPART_SIBL
(0,5),(0,28),-0.117777 # DEPENDENCYPART_SIBL
(0,5),(0,29),-0.0693041 # DEPENDENCYPART_SIBL
(0,6),(0,7),0.00525744 # DEPENDENCYPART_SIBL
(0,6),(0,8),0.00525744 # DEPENDENCYPART_SIBL
(0,6),(0,9),0.0153706 # DEPENDENCYPART_SIBL
(0,6),(0,10),-0.121118 # DEPENDENCYPART_SIBL
(0,6),(0,11),0.0198467 # DEPENDENCYPART_SIBL
(0,6),(0,12),-0.0716105 # DEPENDENCYPART_SIBL
(0,6),(0,16),-0.121118 # DEPENDENCYPART_SIBL
(0,6),(0,17),0.0148867 # DEPENDENCYPART_SIBL
(0,6),(0,18),-0.0716105 # DEPENDENCYPART_SIBL
(0,6),(0,19),0.00712454 # DEPENDENCYPART_SIBL
(0,6),(0,20),-0.0233752 # DEPENDENCYPART_SIBL
(0,6),(0,21),-0.010478 # DEPENDENCYPART_SIBL
(0,6),(0,22),0.0187685 # DEPENDENCYPART_SIBL
(0,6),(0,24),0.0153706 # DEPENDENCYPART_SIBL
(0,6),(0,25),0.0147382 # DEPENDENCYPART_SIBL
(0,6),(0,26),0.00525525 # DEPENDENCYPART_SIBL
(0,6),(0,27),0.0153706 # DEPENDENCYPART_SIBL
(0,6),(0,28),-0.0158353 # DEPENDENCYPART_SIBL
(0,6),(0,29),-0.0802422 # DEPENDENCYPART_SIBL
(0,7),(0,8),0.0509439 # DEPENDENCYPART_SIBL
(0,7),(0,9),0.0183958 # DEPENDENCYPART_SIBL
(0,7),(0,10),-0.204316 # DEPENDENCYPART_SIBL
(0,7),(0,11),0.00299068 # DEPENDENCYPART_SIBL
(0,7),(0,12),-0.13484 # DEPENDENCYPART_SIBL
(0,7),(0,16),-0.204316 # DEPENDENCYPART_SIBL
(0,7),(0,17),0.00456448 # DEPENDENCYPART_SIBL
(0,7),(0,18),-0.13484 # DEPENDENCYPART_SIBL
(0,7),(0,19),-0.0734472 # DEPENDENCYPART_SIBL
(0,7),(0,20),-0.0478016 # DEPENDENCYPART_SIBL
(0,7),(0,21),-0.0469012 # DEPENDENCYPART_SIBL
(0,7),(0,22),-0.0043239 # DEPENDENCYPART_SIBL
(0,7),(0,24),0.0183958 # DEPENDENCYPART_SIBL
(0,7),(0,25),-0.00180974 # DEPENDENCYPART_SIBL
(0,7),(0,26),0.0508724 # DEPENDENCYPART_SIBL
(0,7),(0,27),0.0183958 # DEPENDENCYPART_SIBL
(0,7),(0,28),-0.112931 # DEPENDENCYPART_SIBL
(0,7),(0,29),-0.174982 # DEPENDENCYPART_SIBL
(0,8),(0,9),0.0183958 # DEPENDENCYPART_SIBL
(0,8),(0,10),-0.204316 # DEPENDENCYPART_SIBL
(0,8),(0,11),0.00299068 # DEPENDENCYPART_SIBL
(0,8),(0,12),-0.13484 # DEPENDENCYPART_SIBL
(0,8),(0,16),-0.204316 # DEPENDENCYPART_SIBL
(0,8),(0,17),0.00456448 # DEPENDENCYPART_SIBL
(0,8),(0,18),-0.13484 # DEPENDENCYPART_SIBL
(0,8),(0,19),-0.0734472 # DEPENDENCYPART_SIBL
(0,8),(0,20),-0.0478016 # DEPENDENCYPART_SIBL
(0,8),(0,21),-0.0469012 # DEPENDENCYPART_SIBL
(0,8),(0,22),-0.0043239 # DEPENDENCYPART_SIBL
(0,8),(0,24),0.0183958 # DEPENDENCYPART_SIBL
(0,8),(0,25),-0.00180974 # DEPENDENCYPART_SIBL
(0,8),(0,26),0.0508724 # DEPENDENCYPART_SIBL
(0,8),(0,27),0.0183958 # DEPENDENCYPART_SIBL
(0,8),(0,28),-0.112931 # DEPENDENCYPART_SIBL
(0,8),(0,29),-0.174982 # DEPENDENCYPART_SIBL
(0,9),(0,10),-0.11211 # DEPENDENCYPART_SIBL
(0,9),(0,11),0.00481922 # DEPENDENCYPART_SIBL
(0,9),(0,12),-0.072892 # DEPENDENCYPART_SIBL
(0,9),(0,16),-0.11211 # DEPENDENCYPART_SIBL
(0,9),(0,17),0.0643496 # DEPENDENCYPART_SIBL
(0,9),(0,18),-0.072892 # DEPENDENCYPART_SIBL
(0,9),(0,19),-0.0763449 # DEPENDENCYPART_SIBL
(0,9),(0,20),-0.0321676 # DEPENDENCYPART_SIBL
(0,9),(0,21),-0.0606792 # DEPENDENCYPART_SIBL
(0,9),(0,22),0.00213504 # DEPENDENCYPART_SIBL
(0,9),(0,24),0.0109805 # DEPENDENCYPART_SIBL
(0,9),(0,25),0.00442882 # DEPENDENCYPART_SIBL
(0,9),(0,26),-0.00442415 # DEPENDENCYPART_SIBL
(0,9),(0,27),0.0109805 # DEPENDENCYPART_SIBL
(0,9),(0,28),-0.0989758 # DEPENDENCYPART_SIBL
(0,9),(0,29),-0.0798058 # DEPENDENCYPART_SIBL
(0,10),(0,11),-0.0550234 # DEPENDENCYPART_SIBL
(0,10),(0,12),-0.255132 # DEPENDENCYPART_SIBL
(0,10),(0,16),-0.313596 # DEPENDENCYPART_SIBL
(0,10),(0,17),-0.0275202 # DEPENDENCYPART_SIBL
(0,10),(0,18),-0.255132 # DEPENDENCYPART_SIBL
(0,10),(0,19),0.0473559 # DEPENDENCYPART_SIBL
(0,10),(0,20),-0.0359707 # DEPENDENCYPART_SIBL
(0,10),(0,21),-0.04136 # DEPENDENCYPART_SIBL
(0,10),(0,22),-0.0577075 # DEPENDENCYPART_SIBL
(0,10),(0,24),0.0083281 # DEPENDENCYPART_SIBL
(0,10),(0,25),-0.0564465 # DEPENDENCYPART_SIBL
(0,10),(0,26),-0.00836381 # DEPENDENCYPART_SIBL
(0,10),(0,27),0.0083281 # DEPENDENCYPART_SIBL
(0,10),(0,28),0.0311825 # DEPENDENCYPART_SIBL
(0,10),(0,29),-0.20449 # DEPENDENCYPART_SIBL
(0,11),(0,12),0.0630357 # DEPENDENCYPART_SIBL
(0,11),(0,16),-0.0162804 # DEPENDENCYPART_SIBL
(0,11),(0,17),0.0521577 # DEPENDENCYPART_SIBL
(0,11),(0,18),0.0630357 # DEPENDENCYPART_SIBL
(0,11),(0,19),0.0169366 # DEPENDENCYPART_SIBL
(0,11),(0,20),0.019834 # DEPENDENCYPART_SIBL
(0,11),(0,21),-0.0202776 # DEPENDENCYPART_SIBL
(0,11),(0,22),0.0599776 # DEPENDENCYPART_SIBL
(0,11),(0,24),0.0742575 # DEPENDENCYPART_SIBL
(0,11),(0,25),0.0625324 # DEPENDENCYPART_SIBL
(0,11),(0,26),0.0595757 # DEPENDENCYPART_SIBL
(0,11),(0,27),0.0742575 # DEPENDENCYPART_SIBL
(0,11),(0,28),-0.00602396 # DEPENDENCYPART_SIBL
(0,11),(0,29),0.0231841 # DEPENDENCYPART_SIBL
(0,12),(0,16),-0.426709 # DEPENDENCYPART_SIBL
(0,12),(0,17),-0.174314 # DEPENDENCYPART_SIBL
(0,12),(0,18),-0.413823 # DEPENDENCYPART_SIBL
(0,12),(0,19),-0.27443 # DEPENDENCYPART_SIBL
(0,12),(0,20),-0.169723 # DEPENDENCYPART_SIBL
(0,12),(0,21),-0.20423 # DEPENDENCYPART_SIBL
(0,12),(0,22),-0.192987 # DEPENDENCYPART_SIBL
(0,12),(0,24),-0.132739 # DEPENDENCYPART_SIBL
(0,12),(0,25),-0.192985 # DEPENDENCYPART_SIBL
(0,12),(0,26),-0.202045 # DEPENDENCYPART_SIBL
(0,12),(0,27),-0.132739 # DEPENDENCYPART_SIBL
(0,12),(0,28),-0.290604 # DEPENDENCYPART_SIBL
(0,12),(0,29),-0.340789 # DEPENDENCYPART_SIBL
(0,16),(0,17),-0.0275202 # DEPENDENCYPART_SIBL
(0,16),(0,18),-0.255132 # DEPENDENCYPART_SIBL
(0,16),(0,19),0.0473559 # DEPENDENCYPART_SIBL
(0,16),(0,20),-0.0359707 # DEPENDENCYPART_SIBL
(0,16),(0,21),-0.04136 # DEPENDENCYPART_SIBL
(0,16),(0,22),-0.0577075 # DEPENDENCYPART_SIBL
(0,16),(0,24),0.0083281 # DEPENDENCYPART_SIBL
(0,16),(0,25),-0.0564465 # DEPENDENCYPART_SIBL
(0,16),(0,26),-0.00836381 # DEPENDENCYPART_SIBL
(0,16),(0,27),0.0083281 # DEPENDENCYPART_SIBL
(0,16),(0,28),0.0311825 # DEPENDENCYPART_SIBL
(0,16),(0,29),-0.20449 # DEPENDENCYPART_SIBL
(0,17),(0,18),-0.125606 # DEPENDENCYPART_SIBL
(0,17),(0,19),-0.0969658 # DEPENDENCYPART_SIBL
(0,17),(0,20),-0.047655 # DEPENDENCYPART_SIBL
