# _root_ benetan , erdi tontolo geratu naiz leihotik begira : muxuka zeuden txirikorda eta nicolasito , biak eskutik helduta ! .
#goldHeads=5,3,4,5,0,5,5,7,8,11,0,13,11,13,14,18,18,11,18,19,
#predictedHeads=5,3,4,5,0,5,5,7,8,11,5,13,11,13,14,18,18,11,18,19,
(18,11),-1.35309 # DEPENDENCYPART_ARC
(18,12),-0.825652 # DEPENDENCYPART_ARC
(18,13),-0.0373838 # DEPENDENCYPART_ARC
(18,14),-0.842216 # DEPENDENCYPART_ARC
(18,15),-1.1751 # DEPENDENCYPART_ARC
(18,16),0.0434788 # DEPENDENCYPART_ARC
(18,17),1.33397 # DEPENDENCYPART_ARC
(18,19),1.23521 # DEPENDENCYPART_ARC
(18,20),-0.0924644 # DEPENDENCYPART_ARC
(19,20),1.54254 # DEPENDENCYPART_ARC
(20,18),-1.0469 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.0735291 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.0190223 # DEPENDENCYPART_SIBL
(0,1),(0,4),0.0575704 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.00525884 # DEPENDENCYPART_SIBL
(0,1),(0,6),0.0250158 # DEPENDENCYPART_SIBL
(0,1),(0,7),0.0870964 # DEPENDENCYPART_SIBL
(0,1),(0,8),-0.0181402 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.089459 # DEPENDENCYPART_SIBL
(0,1),(0,10),-0.01811 # DEPENDENCYPART_SIBL
(0,1),(0,11),0.00820877 # DEPENDENCYPART_SIBL
(0,1),(0,12),0.0870964 # DEPENDENCYPART_SIBL
(0,1),(0,13),-0.0620214 # DEPENDENCYPART_SIBL
(0,1),(0,14),0.0870964 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.0735291 # DEPENDENCYPART_SIBL
(0,1),(0,16),0.0565441 # DEPENDENCYPART_SIBL
(0,1),(0,17),0.0870964 # DEPENDENCYPART_SIBL
(0,1),(0,18),-0.0331322 # DEPENDENCYPART_SIBL
(0,1),(0,20),-0.0941738 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.292009 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.132739 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.281618 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.105693 # DEPENDENCYPART_SIBL
(0,2),(0,7),-0.202026 # DEPENDENCYPART_SIBL
(0,2),(0,8),-0.291127 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.325131 # DEPENDENCYPART_SIBL
(0,2),(0,10),-0.291097 # DEPENDENCYPART_SIBL
(0,2),(0,11),-0.183951 # DEPENDENCYPART_SIBL
(0,2),(0,12),-0.202026 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.226163 # DEPENDENCYPART_SIBL
(0,2),(0,14),-0.202026 # DEPENDENCYPART_SIBL
(0,2),(0,15),-0.413823 # DEPENDENCYPART_SIBL
(0,2),(0,16),-0.177376 # DEPENDENCYPART_SIBL
(0,2),(0,17),-0.202026 # DEPENDENCYPART_SIBL
(0,2),(0,18),-0.293028 # DEPENDENCYPART_SIBL
(0,2),(0,20),-0.340789 # DEPENDENCYPART_SIBL
(0,3),(0,4),0.0624847 # DEPENDENCYPART_SIBL
(0,3),(0,5),0.00707339 # DEPENDENCYPART_SIBL
(0,3),(0,6),0.0298998 # DEPENDENCYPART_SIBL
(0,3),(0,7),0.0922443 # DEPENDENCYPART_SIBL
(0,3),(0,8),-0.0134069 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.0845627 # DEPENDENCYPART_SIBL
(0,3),(0,10),-0.0133766 # DEPENDENCYPART_SIBL
(0,3),(0,11),0.013129 # DEPENDENCYPART_SIBL
(0,3),(0,12),0.0922443 # DEPENDENCYPART_SIBL
(0,3),(0,13),-0.05693 # DEPENDENCYPART_SIBL
(0,3),(0,14),0.0922443 # DEPENDENCYPART_SIBL
(0,3),(0,15),-0.0686328 # DEPENDENCYPART_SIBL
(0,3),(0,16),0.061639 # DEPENDENCYPART_SIBL
(0,3),(0,17),0.0922443 # DEPENDENCYPART_SIBL
(0,3),(0,18),-0.0208 # DEPENDENCYPART_SIBL
(0,3),(0,20),-0.0892775 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.0966031 # DEPENDENCYPART_SIBL
(0,4),(0,6),0.0423293 # DEPENDENCYPART_SIBL
(0,4),(0,7),-0.00442196 # DEPENDENCYPART_SIBL
(0,4),(0,8),0.0160259 # DEPENDENCYPART_SIBL
(0,4),(0,9),-0.0743802 # DEPENDENCYPART_SIBL
(0,4),(0,10),0.0162175 # DEPENDENCYPART_SIBL
(0,4),(0,11),-0.0403575 # DEPENDENCYPART_SIBL
(0,4),(0,12),-0.00442196 # DEPENDENCYPART_SIBL
(0,4),(0,13),-0.0649171 # DEPENDENCYPART_SIBL
(0,4),(0,14),-0.00442196 # DEPENDENCYPART_SIBL
(0,4),(0,15),-0.072892 # DEPENDENCYPART_SIBL
(0,4),(0,16),0.0491916 # DEPENDENCYPART_SIBL
(0,4),(0,17),-0.00442196 # DEPENDENCYPART_SIBL
(0,4),(0,18),-0.098332 # DEPENDENCYPART_SIBL
(0,4),(0,20),-0.0798058 # DEPENDENCYPART_SIBL
(0,5),(0,6),0.0965891 # DEPENDENCYPART_SIBL
(0,5),(0,7),-0.00754835 # DEPENDENCYPART_SIBL
(0,5),(0,8),-0.0309392 # DEPENDENCYPART_SIBL
(0,5),(0,9),-0.0576442 # DEPENDENCYPART_SIBL
(0,5),(0,10),-0.030909 # DEPENDENCYPART_SIBL
(0,5),(0,11),-0.0441518 # DEPENDENCYPART_SIBL
(0,5),(0,12),-0.00754835 # DEPENDENCYPART_SIBL
(0,5),(0,13),-0.125668 # DEPENDENCYPART_SIBL
(0,5),(0,14),-0.00754835 # DEPENDENCYPART_SIBL
(0,5),(0,15),-0.0482054 # DEPENDENCYPART_SIBL
(0,5),(0,16),0.00521789 # DEPENDENCYPART_SIBL
(0,5),(0,17),-0.00754835 # DEPENDENCYPART_SIBL
(0,5),(0,18),-0.127025 # DEPENDENCYPART_SIBL
(0,5),(0,20),-0.0710472 # DEPENDENCYPART_SIBL
(0,6),(0,7),0.0142232 # DEPENDENCYPART_SIBL
(0,6),(0,8),0.038212 # DEPENDENCYPART_SIBL
(0,6),(0,9),-0.0702878 # DEPENDENCYPART_SIBL
(0,6),(0,10),0.0382446 # DEPENDENCYPART_SIBL
(0,6),(0,11),0.0218466 # DEPENDENCYPART_SIBL
(0,6),(0,12),0.0142232 # DEPENDENCYPART_SIBL
(0,6),(0,13),-0.0250996 # DEPENDENCYPART_SIBL
(0,6),(0,14),0.0142232 # DEPENDENCYPART_SIBL
(0,6),(0,15),-0.0605569 # DEPENDENCYPART_SIBL
(0,6),(0,16),0.0297403 # DEPENDENCYPART_SIBL
(0,6),(0,17),0.0142232 # DEPENDENCYPART_SIBL
(0,6),(0,18),0.0041406 # DEPENDENCYPART_SIBL
(0,6),(0,20),-0.0687103 # DEPENDENCYPART_SIBL
(0,7),(0,8),0.0260962 # DEPENDENCYPART_SIBL
(0,7),(0,9),-0.165422 # DEPENDENCYPART_SIBL
(0,7),(0,10),0.0263196 # DEPENDENCYPART_SIBL
(0,7),(0,11),-0.0319721 # DEPENDENCYPART_SIBL
(0,7),(0,12),0.0509439 # DEPENDENCYPART_SIBL
(0,7),(0,13),-0.0875943 # DEPENDENCYPART_SIBL
(0,7),(0,14),0.0509439 # DEPENDENCYPART_SIBL
(0,7),(0,15),-0.13484 # DEPENDENCYPART_SIBL
(0,7),(0,16),0.0087853 # DEPENDENCYPART_SIBL
(0,7),(0,17),0.0509439 # DEPENDENCYPART_SIBL
(0,7),(0,18),-0.112279 # DEPENDENCYPART_SIBL
(0,7),(0,20),-0.174982 # DEPENDENCYPART_SIBL
(0,8),(0,9),-0.0520899 # DEPENDENCYPART_SIBL
(0,8),(0,10),-0.00191525 # DEPENDENCYPART_SIBL
(0,8),(0,11),0.0202365 # DEPENDENCYPART_SIBL
(0,8),(0,12),0.103543 # DEPENDENCYPART_SIBL
(0,8),(0,13),-0.0456315 # DEPENDENCYPART_SIBL
(0,8),(0,14),0.103543 # DEPENDENCYPART_SIBL
(0,8),(0,15),-0.0207176 # DEPENDENCYPART_SIBL
(0,8),(0,16),0.0729382 # DEPENDENCYPART_SIBL
(0,8),(0,17),0.103543 # DEPENDENCYPART_SIBL
(0,8),(0,18),-0.00947856 # DEPENDENCYPART_SIBL
(0,8),(0,20),-0.0568047 # DEPENDENCYPART_SIBL
(0,9),(0,10),-0.148811 # DEPENDENCYPART_SIBL
(0,9),(0,11),-0.0877387 # DEPENDENCYPART_SIBL
(0,9),(0,12),-0.138462 # DEPENDENCYPART_SIBL
(0,9),(0,13),-0.121001 # DEPENDENCYPART_SIBL
(0,9),(0,14),-0.138462 # DEPENDENCYPART_SIBL
(0,9),(0,15),-0.237641 # DEPENDENCYPART_SIBL
(0,9),(0,16),-0.0665712 # DEPENDENCYPART_SIBL
(0,9),(0,17),-0.138462 # DEPENDENCYPART_SIBL
(0,9),(0,18),-0.086385 # DEPENDENCYPART_SIBL
(0,9),(0,20),-0.192548 # DEPENDENCYPART_SIBL
(0,10),(0,11),0.0131868 # DEPENDENCYPART_SIBL
(0,10),(0,12),0.0923022 # DEPENDENCYPART_SIBL
(0,10),(0,13),-0.0570223 # DEPENDENCYPART_SIBL
(0,10),(0,14),0.0923022 # DEPENDENCYPART_SIBL
(0,10),(0,15),-0.068575 # DEPENDENCYPART_SIBL
(0,10),(0,16),0.0616975 # DEPENDENCYPART_SIBL
(0,10),(0,17),0.0923022 # DEPENDENCYPART_SIBL
(0,10),(0,18),-0.0204791 # DEPENDENCYPART_SIBL
(0,10),(0,20),-0.0892197 # DEPENDENCYPART_SIBL
(0,11),(0,12),-0.0266362 # DEPENDENCYPART_SIBL
(0,11),(0,13),-0.0815471 # DEPENDENCYPART_SIBL
(0,11),(0,14),-0.0266362 # DEPENDENCYPART_SIBL
(0,11),(0,15),-0.0763754 # DEPENDENCYPART_SIBL
(0,11),(0,16),-0.0547731 # DEPENDENCYPART_SIBL
(0,11),(0,17),-0.0266362 # DEPENDENCYPART_SIBL
(0,11),(0,18),-0.177037 # DEPENDENCYPART_SIBL
(0,11),(0,20),-0.106242 # DEPENDENCYPART_SIBL
(0,12),(0,13),-0.0875943 # DEPENDENCYPART_SIBL
(0,12),(0,14),0.0509439 # DEPENDENCYPART_SIBL
(0,12),(0,15),-0.13484 # DEPENDENCYPART_SIBL
(0,12),(0,16),0.0087853 # DEPENDENCYPART_SIBL
(0,12),(0,17),0.0509439 # DEPENDENCYPART_SIBL
(0,12),(0,18),-0.112279 # DEPENDENCYPART_SIBL
(0,12),(0,20),-0.174982 # DEPENDENCYPART_SIBL
(0,13),(0,14),-0.0223684 # DEPENDENCYPART_SIBL
(0,13),(0,15),0.0156699 # DEPENDENCYPART_SIBL
(0,13),(0,16),0.0350372 # DEPENDENCYPART_SIBL
(0,13),(0,17),-0.0223684 # DEPENDENCYPART_SIBL
(0,13),(0,18),-0.032339 # DEPENDENCYPART_SIBL
(0,13),(0,20),-0.0473547 # DEPENDENCYPART_SIBL
(0,14),(0,15),-0.13484 # DEPENDENCYPART_SIBL
(0,14),(0,16),0.0087853 # DEPENDENCYPART_SIBL
(0,14),(0,17),0.0509439 # DEPENDENCYPART_SIBL
(0,14),(0,18),-0.112279 # DEPENDENCYPART_SIBL
(0,14),(0,20),-0.174982 # DEPENDENCYPART_SIBL
(0,15),(0,16),-0.177376 # DEPENDENCYPART_SIBL
(0,15),(0,17),-0.202026 # DEPENDENCYPART_SIBL
(0,15),(0,18),-0.293028 # DEPENDENCYPART_SIBL
(0,15),(0,20),-0.340789 # DEPENDENCYPART_SIBL
(0,16),(0,17),-0.0107846 # DEPENDENCYPART_SIBL
(0,16),(0,18),-0.119494 # DEPENDENCYPART_SIBL
(0,16),(0,20),-0.132282 # DEPENDENCYPART_SIBL
(0,17),(0,18),-0.112279 # DEPENDENCYPART_SIBL
(0,17),(0,20),-0.174982 # DEPENDENCYPART_SIBL
(0,18),(0,20),-0.0693041 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.15291 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.00763148 # DEPENDENCYPART_SIBL
(2,4),(2,18),-0.007624 # DEPENDENCYPART_SIBL
(2,5),(2,18),0.00306741 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.00528723 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.00783019 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.000800342 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.012765 # DEPENDENCYPART_SIBL
(3,1),(3,10),0.012765 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.019041 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.0101744 # DEPENDENCYPART_SIBL
(3,2),(3,8),0.0102471 # DEPENDENCYPART_SIBL
(3,2),(3,10),0.0102471 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.00605988 # DEPENDENCYPART_SIBL
(3,4),(3,8),0.0190058 # DEPENDENCYPART_SIBL
(3,4),(3,10),0.0191671 # DEPENDENCYPART_SIBL
(3,7),(3,8),0.0165774 # DEPENDENCYPART_SIBL
(3,7),(3,10),0.0166418 # DEPENDENCYPART_SIBL
(3,8),(3,10),-0.00570654 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.0315688 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.0593953 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.0500208 # DEPENDENCYPART_SIBL
(5,1),(5,2),-0.0151226 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.0783371 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.0103993 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.020294 # DEPENDENCYPART_SIBL
(5,1),(5,7),0.00271549 # DEPENDENCYPART_SIBL
(5,1),(5,8),-0.0476518 # DEPENDENCYPART_SIBL
(5,1),(5,10),-0.0475301 # DEPENDENCYPART_SIBL
(5,1),(5,11),-0.00221736 # DEPENDENCYPART_SIBL
(5,1),(5,13),-0.0501718 # DEPENDENCYPART_SIBL
(5,1),(5,17),0.00271549 # DEPENDENCYPART_SIBL
(5,1),(5,18),0.0173171 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.136857 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.0993611 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.0130507 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.00941775 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.0178114 # DEPENDENCYPART_SIBL
(5,2),(5,10),-0.0176897 # DEPENDENCYPART_SIBL
(5,2),(5,11),-0.00916999 # DEPENDENCYPART_SIBL
(5,2),(5,13),-0.057613 # DEPENDENCYPART_SIBL
(5,2),(5,17),0.00941775 # DEPENDENCYPART_SIBL
(5,2),(5,18),-0.0106552 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.0167805 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.0645251 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.0224372 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.0911523 # DEPENDENCYPART_SIBL
(5,3),(5,10),-0.0910306 # DEPENDENCYPART_SIBL
(5,3),(5,11),-0.0248471 # DEPENDENCYPART_SIBL
(5,3),(5,13),-0.0735387 # DEPENDENCYPART_SIBL
(5,3),(5,17),-0.0224372 # DEPENDENCYPART_SIBL
(5,3),(5,18),-0.025316 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.00206504 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.00296788 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.00693962 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.0068179 # DEPENDENCYPART_SIBL
(5,4),(5,11),-0.00991854 # DEPENDENCYPART_SIBL
(5,4),(5,13),-0.0168315 # DEPENDENCYPART_SIBL
(5,4),(5,17),-0.00296788 # DEPENDENCYPART_SIBL
(5,4),(5,18),0.000882028 # DEPENDENCYPART_SIBL
(5,6),(5,7),0.00123329 # DEPENDENCYPART_SIBL
(5,6),(5,8),0.0279845 # DEPENDENCYPART_SIBL
(5,6),(5,10),0.0279853 # DEPENDENCYPART_SIBL
(5,6),(5,11),-0.0349962 # DEPENDENCYPART_SIBL
(5,6),(5,13),-0.0537452 # DEPENDENCYPART_SIBL
(5,6),(5,17),0.00123329 # DEPENDENCYPART_SIBL
(5,6),(5,18),-0.0217143 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.00954943 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.00948503 # DEPENDENCYPART_SIBL
(5,7),(5,11),-0.0506159 # DEPENDENCYPART_SIBL
(5,7),(5,13),-0.0287539 # DEPENDENCYPART_SIBL
(5,7),(5,17),-0.0137602 # DEPENDENCYPART_SIBL
(5,7),(5,18),-0.0216496 # DEPENDENCYPART_SIBL
(5,8),(5,10),-0.0132662 # DEPENDENCYPART_SIBL
(5,8),(5,11),-0.018673 # DEPENDENCYPART_SIBL
(5,8),(5,13),-0.0228842 # DEPENDENCYPART_SIBL
(5,8),(5,17),0.0152551 # DEPENDENCYPART_SIBL
(5,8),(5,18),-0.0249826 # DEPENDENCYPART_SIBL
(5,10),(5,11),-0.017276 # DEPENDENCYPART_SIBL
(5,10),(5,13),-0.0229342 # DEPENDENCYPART_SIBL
(5,10),(5,17),0.0152551 # DEPENDENCYPART_SIBL
(5,10),(5,18),-0.0248964 # DEPENDENCYPART_SIBL
(5,11),(5,13),-0.0346146 # DEPENDENCYPART_SIBL
(5,11),(5,17),-0.00342318 # DEPENDENCYPART_SIBL
(5,11),(5,18),-0.0149772 # DEPENDENCYPART_SIBL
(5,13),(5,17),0.0059064 # DEPENDENCYPART_SIBL
(5,13),(5,18),-0.0299684 # DEPENDENCYPART_SIBL
(5,17),(5,18),-0.0216496 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.0369427 # DEPENDENCYPART_SIBL
(6,4),(6,7),0.016806 # DEPENDENCYPART_SIBL
(6,4),(6,8),0.0102294 # DEPENDENCYPART_SIBL
(6,4),(6,10),0.0102294 # DEPENDENCYPART_SIBL
(6,4),(6,13),0.0081823 # DEPENDENCYPART_SIBL
(6,5),(6,7),-0.0123933 # DEPENDENCYPART_SIBL
(6,5),(6,8),0.00215929 # DEPENDENCYPART_SIBL
(6,5),(6,10),0.00216137 # DEPENDENCYPART_SIBL
(6,5),(6,13),-0.00472535 # DEPENDENCYPART_SIBL
(6,7),(6,8),0.0288533 # DEPENDENCYPART_SIBL
(6,7),(6,10),0.0289177 # DEPENDENCYPART_SIBL
(6,7),(6,13),-0.00939667 # DEPENDENCYPART_SIBL
(6,8),(6,10),-0.01297 # DEPENDENCYPART_SIBL
(6,8),(6,13),-0.0222608 # DEPENDENCYPART_SIBL
(6,10),(6,13),-0.0223108 # DEPENDENCYPART_SIBL
(7,1),(7,2),0.00721493 # DEPENDENCYPART_SIBL
(7,1),(7,3),0.0036967 # DEPENDENCYPART_SIBL
(7,1),(7,4),0.0129833 # DEPENDENCYPART_SIBL
(7,1),(7,5),-0.0500007 # DEPENDENCYPART_SIBL
