# _root_ 25 urtetik beherako gazteen langabezi tasa ebn %%16,2koa zen ekainean eta euro eremukoa %%17,2koa .
#goldHeads=2,4,2,6,6,9,9,9,11,9,0,13,11,11,14,
#predictedHeads=2,9,4,5,6,9,9,9,11,11,0,13,11,12,14,
(6,1),-1.04491 # DEPENDENCYPART_ARC
(6,2),-1.35674 # DEPENDENCYPART_ARC
(6,3),-0.0531488 # DEPENDENCYPART_ARC
(6,4),0.404746 # DEPENDENCYPART_ARC
(6,5),0.875456 # DEPENDENCYPART_ARC
(6,7),-0.47337 # DEPENDENCYPART_ARC
(6,8),-0.848149 # DEPENDENCYPART_ARC
(6,9),-1.74188 # DEPENDENCYPART_ARC
(6,10),-1.58637 # DEPENDENCYPART_ARC
(6,11),-1.61043 # DEPENDENCYPART_ARC
(6,12),-1.22931 # DEPENDENCYPART_ARC
(6,13),-1.71808 # DEPENDENCYPART_ARC
(6,14),-3.61351 # DEPENDENCYPART_ARC
(6,15),-1.78283 # DEPENDENCYPART_ARC
(7,2),-2.99779 # DEPENDENCYPART_ARC
(7,3),-0.983603 # DEPENDENCYPART_ARC
(7,4),-0.852999 # DEPENDENCYPART_ARC
(7,5),-0.312807 # DEPENDENCYPART_ARC
(7,6),-1.37301 # DEPENDENCYPART_ARC
(7,8),-0.215964 # DEPENDENCYPART_ARC
(7,9),-0.625432 # DEPENDENCYPART_ARC
(7,10),-1.6751 # DEPENDENCYPART_ARC
(7,11),-1.77747 # DEPENDENCYPART_ARC
(7,12),-1.13762 # DEPENDENCYPART_ARC
(7,13),-2.15378 # DEPENDENCYPART_ARC
(8,1),-0.334542 # DEPENDENCYPART_ARC
(8,2),-3.1937 # DEPENDENCYPART_ARC
(8,3),0.327689 # DEPENDENCYPART_ARC
(8,4),0.534846 # DEPENDENCYPART_ARC
(8,5),-0.554575 # DEPENDENCYPART_ARC
(8,6),-2.37409 # DEPENDENCYPART_ARC
(8,7),-2.52225 # DEPENDENCYPART_ARC
(8,9),-0.608671 # DEPENDENCYPART_ARC
(8,10),-2.2371 # DEPENDENCYPART_ARC
(8,11),-2.05921 # DEPENDENCYPART_ARC
(8,12),-0.868975 # DEPENDENCYPART_ARC
(8,13),-3.60348 # DEPENDENCYPART_ARC
(8,14),-5.38704 # DEPENDENCYPART_ARC
(8,15),-1.24413 # DEPENDENCYPART_ARC
(9,1),-1.06314 # DEPENDENCYPART_ARC
(9,2),-0.542732 # DEPENDENCYPART_ARC
(9,3),-1.07433 # DEPENDENCYPART_ARC
(9,4),-1.25257 # DEPENDENCYPART_ARC
(9,5),-0.719589 # DEPENDENCYPART_ARC
(9,6),0.52142 # DEPENDENCYPART_ARC
(9,7),0.937946 # DEPENDENCYPART_ARC
(9,8),1.44149 # DEPENDENCYPART_ARC
(9,10),0.712674 # DEPENDENCYPART_ARC
(9,11),-0.583778 # DEPENDENCYPART_ARC
(9,12),-0.938345 # DEPENDENCYPART_ARC
(9,13),-0.823906 # DEPENDENCYPART_ARC
(9,14),-1.49718 # DEPENDENCYPART_ARC
(10,5),-1.27448 # DEPENDENCYPART_ARC
(10,6),-2.94071 # DEPENDENCYPART_ARC
(10,7),-2.88091 # DEPENDENCYPART_ARC
(10,8),-0.83239 # DEPENDENCYPART_ARC
(10,9),-0.255558 # DEPENDENCYPART_ARC
(10,11),-0.690093 # DEPENDENCYPART_ARC
(10,12),-0.745302 # DEPENDENCYPART_ARC
(10,13),-1.44754 # DEPENDENCYPART_ARC
(10,14),-4.14111 # DEPENDENCYPART_ARC
(10,15),-1.3571 # DEPENDENCYPART_ARC
(11,1),-0.986929 # DEPENDENCYPART_ARC
(11,2),-1.67549 # DEPENDENCYPART_ARC
(11,3),-1.59434 # DEPENDENCYPART_ARC
(11,4),-1.36143 # DEPENDENCYPART_ARC
(11,5),-1.07368 # DEPENDENCYPART_ARC
(11,6),-0.883667 # DEPENDENCYPART_ARC
(11,7),-1.25163 # DEPENDENCYPART_ARC
(11,8),-0.482252 # DEPENDENCYPART_ARC
(11,9),-0.0907996 # DEPENDENCYPART_ARC
(11,10),1.50431 # DEPENDENCYPART_ARC
(11,12),1.08899 # DEPENDENCYPART_ARC
(11,13),0.880387 # DEPENDENCYPART_ARC
(11,14),-1.09236 # DEPENDENCYPART_ARC
(12,9),-1.73269 # DEPENDENCYPART_ARC
(12,10),-1.1772 # DEPENDENCYPART_ARC
(12,13),0.241124 # DEPENDENCYPART_ARC
(12,14),-0.0452904 # DEPENDENCYPART_ARC
(12,15),-1.01926 # DEPENDENCYPART_ARC
(13,3),-0.549235 # DEPENDENCYPART_ARC
(13,4),-0.681255 # DEPENDENCYPART_ARC
(13,5),-0.954517 # DEPENDENCYPART_ARC
(13,6),-4.14028 # DEPENDENCYPART_ARC
(13,7),-4.61161 # DEPENDENCYPART_ARC
(13,8),-2.29866 # DEPENDENCYPART_ARC
(13,9),-1.79006 # DEPENDENCYPART_ARC
(13,10),-1.64278 # DEPENDENCYPART_ARC
(13,11),-0.0991292 # DEPENDENCYPART_ARC
(13,12),0.999205 # DEPENDENCYPART_ARC
(13,14),-3.60004 # DEPENDENCYPART_ARC
(13,15),-0.871544 # DEPENDENCYPART_ARC
(14,10),-1.35183 # DEPENDENCYPART_ARC
(14,12),-1.14944 # DEPENDENCYPART_ARC
(14,13),-0.537408 # DEPENDENCYPART_ARC
(14,15),1.84867 # DEPENDENCYPART_ARC
(15,12),-0.891162 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.0390032 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.0390019 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.0390019 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.0390019 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.0390019 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.0390019 # DEPENDENCYPART_SIBL
(0,1),(0,8),-0.0390019 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.0896273 # DEPENDENCYPART_SIBL
(0,1),(0,10),-0.0390019 # DEPENDENCYPART_SIBL
(0,1),(0,11),-0.0885235 # DEPENDENCYPART_SIBL
(0,1),(0,12),-0.0390019 # DEPENDENCYPART_SIBL
(0,1),(0,13),-0.0390019 # DEPENDENCYPART_SIBL
(0,1),(0,14),-0.0529303 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.170215 # DEPENDENCYPART_SIBL
(0,2),(0,3),0.0509018 # DEPENDENCYPART_SIBL
(0,2),(0,4),0.0509018 # DEPENDENCYPART_SIBL
(0,2),(0,5),0.0509018 # DEPENDENCYPART_SIBL
(0,2),(0,6),0.0509018 # DEPENDENCYPART_SIBL
(0,2),(0,7),0.0509018 # DEPENDENCYPART_SIBL
(0,2),(0,8),0.0509018 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.0561244 # DEPENDENCYPART_SIBL
(0,2),(0,10),0.0509018 # DEPENDENCYPART_SIBL
(0,2),(0,11),-0.0876111 # DEPENDENCYPART_SIBL
(0,2),(0,12),0.0509018 # DEPENDENCYPART_SIBL
(0,2),(0,13),0.0509018 # DEPENDENCYPART_SIBL
(0,2),(0,14),0.00876903 # DEPENDENCYPART_SIBL
(0,2),(0,15),-0.174999 # DEPENDENCYPART_SIBL
(0,3),(0,4),0.0509439 # DEPENDENCYPART_SIBL
(0,3),(0,5),0.0509439 # DEPENDENCYPART_SIBL
(0,3),(0,6),0.0509439 # DEPENDENCYPART_SIBL
(0,3),(0,7),0.0509439 # DEPENDENCYPART_SIBL
(0,3),(0,8),0.0509439 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.0561075 # DEPENDENCYPART_SIBL
(0,3),(0,10),0.0509439 # DEPENDENCYPART_SIBL
(0,3),(0,11),-0.0875943 # DEPENDENCYPART_SIBL
(0,3),(0,12),0.0509439 # DEPENDENCYPART_SIBL
(0,3),(0,13),0.0509439 # DEPENDENCYPART_SIBL
(0,3),(0,14),0.00878585 # DEPENDENCYPART_SIBL
(0,3),(0,15),-0.174982 # DEPENDENCYPART_SIBL
(0,4),(0,5),0.0509439 # DEPENDENCYPART_SIBL
(0,4),(0,6),0.0509439 # DEPENDENCYPART_SIBL
(0,4),(0,7),0.0509439 # DEPENDENCYPART_SIBL
(0,4),(0,8),0.0509439 # DEPENDENCYPART_SIBL
(0,4),(0,9),-0.0561075 # DEPENDENCYPART_SIBL
(0,4),(0,10),0.0509439 # DEPENDENCYPART_SIBL
(0,4),(0,11),-0.0875943 # DEPENDENCYPART_SIBL
(0,4),(0,12),0.0509439 # DEPENDENCYPART_SIBL
(0,4),(0,13),0.0509439 # DEPENDENCYPART_SIBL
(0,4),(0,14),0.00878585 # DEPENDENCYPART_SIBL
(0,4),(0,15),-0.174982 # DEPENDENCYPART_SIBL
(0,5),(0,6),0.0509439 # DEPENDENCYPART_SIBL
(0,5),(0,7),0.0509439 # DEPENDENCYPART_SIBL
(0,5),(0,8),0.0509439 # DEPENDENCYPART_SIBL
(0,5),(0,9),-0.0561075 # DEPENDENCYPART_SIBL
(0,5),(0,10),0.0509439 # DEPENDENCYPART_SIBL
(0,5),(0,11),-0.0875943 # DEPENDENCYPART_SIBL
(0,5),(0,12),0.0509439 # DEPENDENCYPART_SIBL
(0,5),(0,13),0.0509439 # DEPENDENCYPART_SIBL
(0,5),(0,14),0.00878585 # DEPENDENCYPART_SIBL
(0,5),(0,15),-0.174982 # DEPENDENCYPART_SIBL
(0,6),(0,7),0.0509439 # DEPENDENCYPART_SIBL
(0,6),(0,8),0.0509439 # DEPENDENCYPART_SIBL
(0,6),(0,9),-0.0561075 # DEPENDENCYPART_SIBL
(0,6),(0,10),0.0509439 # DEPENDENCYPART_SIBL
(0,6),(0,11),-0.0875943 # DEPENDENCYPART_SIBL
(0,6),(0,12),0.0509439 # DEPENDENCYPART_SIBL
(0,6),(0,13),0.0509439 # DEPENDENCYPART_SIBL
(0,6),(0,14),0.00878585 # DEPENDENCYPART_SIBL
(0,6),(0,15),-0.174982 # DEPENDENCYPART_SIBL
(0,7),(0,8),0.0509439 # DEPENDENCYPART_SIBL
(0,7),(0,9),-0.0561075 # DEPENDENCYPART_SIBL
(0,7),(0,10),0.0509439 # DEPENDENCYPART_SIBL
(0,7),(0,11),-0.0875943 # DEPENDENCYPART_SIBL
(0,7),(0,12),0.0509439 # DEPENDENCYPART_SIBL
(0,7),(0,13),0.0509439 # DEPENDENCYPART_SIBL
(0,7),(0,14),0.00878585 # DEPENDENCYPART_SIBL
(0,7),(0,15),-0.174982 # DEPENDENCYPART_SIBL
(0,8),(0,9),-0.0561075 # DEPENDENCYPART_SIBL
(0,8),(0,10),0.0509439 # DEPENDENCYPART_SIBL
(0,8),(0,11),-0.0875943 # DEPENDENCYPART_SIBL
(0,8),(0,12),0.0509439 # DEPENDENCYPART_SIBL
(0,8),(0,13),0.0509439 # DEPENDENCYPART_SIBL
(0,8),(0,14),0.00878585 # DEPENDENCYPART_SIBL
(0,8),(0,15),-0.174982 # DEPENDENCYPART_SIBL
(0,9),(0,10),0.00611675 # DEPENDENCYPART_SIBL
(0,9),(0,11),-0.0950532 # DEPENDENCYPART_SIBL
(0,9),(0,12),0.00611675 # DEPENDENCYPART_SIBL
(0,9),(0,13),0.00611675 # DEPENDENCYPART_SIBL
(0,9),(0,14),-0.0388193 # DEPENDENCYPART_SIBL
(0,9),(0,15),-0.0712416 # DEPENDENCYPART_SIBL
(0,10),(0,11),-0.0876038 # DEPENDENCYPART_SIBL
(0,10),(0,12),0.0509203 # DEPENDENCYPART_SIBL
(0,10),(0,13),0.0509203 # DEPENDENCYPART_SIBL
(0,10),(0,14),0.00877634 # DEPENDENCYPART_SIBL
(0,10),(0,15),-0.174992 # DEPENDENCYPART_SIBL
(0,11),(0,12),-0.0223684 # DEPENDENCYPART_SIBL
(0,11),(0,13),-0.0223684 # DEPENDENCYPART_SIBL
(0,11),(0,14),0.0350372 # DEPENDENCYPART_SIBL
(0,11),(0,15),-0.0473547 # DEPENDENCYPART_SIBL
(0,12),(0,13),0.0509439 # DEPENDENCYPART_SIBL
(0,12),(0,14),0.00878585 # DEPENDENCYPART_SIBL
(0,12),(0,15),-0.174982 # DEPENDENCYPART_SIBL
(0,13),(0,14),0.00878585 # DEPENDENCYPART_SIBL
(0,13),(0,15),-0.174982 # DEPENDENCYPART_SIBL
(0,14),(0,15),-0.132282 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0819381 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0819381 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.0256054 # DEPENDENCYPART_SIBL
(2,1),(2,11),-0.0142599 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.00731255 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.0149513 # DEPENDENCYPART_SIBL
(2,3),(2,11),-0.00858356 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.0149513 # DEPENDENCYPART_SIBL
(2,4),(2,11),-0.00858356 # DEPENDENCYPART_SIBL
(2,9),(2,11),-0.0381812 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0256847 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0733133 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0733133 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.0733158 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.0733133 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.0733133 # DEPENDENCYPART_SIBL
(3,1),(3,11),-0.0123952 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.00968166 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.00956178 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.00381815 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.00956178 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.00956178 # DEPENDENCYPART_SIBL
(3,2),(3,11),0.00711494 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0073091 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0073091 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0073091 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.0073091 # DEPENDENCYPART_SIBL
(3,4),(3,11),-0.00858012 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0073091 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.0073091 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0073091 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.00858012 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.0073091 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.0073091 # DEPENDENCYPART_SIBL
(3,6),(3,11),-0.00858012 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.0073091 # DEPENDENCYPART_SIBL
(3,7),(3,11),-0.00858012 # DEPENDENCYPART_SIBL
(3,8),(3,11),-0.00858012 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.0256847 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.0261352 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.0733133 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.0733158 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.0733133 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.0733133 # DEPENDENCYPART_SIBL
(4,1),(4,9),0.0274701 # DEPENDENCYPART_SIBL
(4,1),(4,11),-0.0123952 # DEPENDENCYPART_SIBL
(4,1),(4,14),-0.0394839 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.00301868 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.00956178 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.00381815 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.00956178 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.00956178 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.00668586 # DEPENDENCYPART_SIBL
(4,2),(4,11),0.00711494 # DEPENDENCYPART_SIBL
(4,2),(4,14),-0.00195913 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.00621019 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.000466565 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.00621019 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.00621019 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.00668586 # DEPENDENCYPART_SIBL
(4,3),(4,11),0.00711494 # DEPENDENCYPART_SIBL
(4,3),(4,14),-0.00195913 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0073091 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.0073091 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.0073091 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.0149479 # DEPENDENCYPART_SIBL
(4,5),(4,11),-0.00858012 # DEPENDENCYPART_SIBL
(4,5),(4,14),0.00247909 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.0073091 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.0073091 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.0149479 # DEPENDENCYPART_SIBL
(4,6),(4,11),-0.00858012 # DEPENDENCYPART_SIBL
(4,6),(4,14),0.00247909 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.0073091 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.0149479 # DEPENDENCYPART_SIBL
(4,7),(4,11),-0.00858012 # DEPENDENCYPART_SIBL
(4,7),(4,14),0.00247909 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.0149479 # DEPENDENCYPART_SIBL
(4,8),(4,11),-0.00858012 # DEPENDENCYPART_SIBL
(4,8),(4,14),0.00247909 # DEPENDENCYPART_SIBL
(4,9),(4,11),-0.0381812 # DEPENDENCYPART_SIBL
(4,9),(4,14),-0.00411863 # DEPENDENCYPART_SIBL
(4,11),(4,14),0.0682805 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.0256847 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.0261352 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.0243441 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.0733158 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.0733133 # DEPENDENCYPART_SIBL
(5,1),(5,8),-0.0733133 # DEPENDENCYPART_SIBL
(5,1),(5,10),-0.0733133 # DEPENDENCYPART_SIBL
(5,1),(5,13),-0.0733133 # DEPENDENCYPART_SIBL
(5,1),(5,14),-0.0394839 # DEPENDENCYPART_SIBL
(5,1),(5,15),-0.0278782 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.00532855 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.00808594 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.00381815 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.00956178 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.00956178 # DEPENDENCYPART_SIBL
(5,2),(5,10),-0.00956178 # DEPENDENCYPART_SIBL
(5,2),(5,13),-0.00956178 # DEPENDENCYPART_SIBL
(5,2),(5,14),-0.00195913 # DEPENDENCYPART_SIBL
(5,2),(5,15),-0.0274133 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.0105887 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.000466565 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.00621019 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.00621019 # DEPENDENCYPART_SIBL
(5,3),(5,10),-0.00621019 # DEPENDENCYPART_SIBL
(5,3),(5,13),-0.00621019 # DEPENDENCYPART_SIBL
(5,3),(5,14),-0.00195913 # DEPENDENCYPART_SIBL
(5,3),(5,15),-0.0274133 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.000466565 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.00621019 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.00621019 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.00621019 # DEPENDENCYPART_SIBL
(5,4),(5,13),-0.00621019 # DEPENDENCYPART_SIBL
(5,4),(5,14),-0.00195913 # DEPENDENCYPART_SIBL
(5,4),(5,15),-0.0274133 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.0073091 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.0073091 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.0073091 # DEPENDENCYPART_SIBL
(5,6),(5,13),-0.0073091 # DEPENDENCYPART_SIBL
(5,6),(5,14),0.00247909 # DEPENDENCYPART_SIBL
(5,6),(5,15),-0.0887528 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.0073091 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.0073091 # DEPENDENCYPART_SIBL
(5,7),(5,13),-0.0073091 # DEPENDENCYPART_SIBL
(5,7),(5,14),0.00247909 # DEPENDENCYPART_SIBL
(5,7),(5,15),-0.0887528 # DEPENDENCYPART_SIBL
(5,8),(5,10),-0.0073091 # DEPENDENCYPART_SIBL
(5,8),(5,13),-0.0073091 # DEPENDENCYPART_SIBL
(5,8),(5,14),0.00247909 # DEPENDENCYPART_SIBL
(5,8),(5,15),-0.0887528 # DEPENDENCYPART_SIBL
(5,10),(5,13),-0.00731379 # DEPENDENCYPART_SIBL
(5,10),(5,14),0.00247909 # DEPENDENCYPART_SIBL
(5,10),(5,15),-0.0887528 # DEPENDENCYPART_SIBL
(5,13),(5,14),0.00247909 # DEPENDENCYPART_SIBL
(5,13),(5,15),-0.0887528 # DEPENDENCYPART_SIBL
(5,14),(5,15),-0.129497 # DEPENDENCYPART_SIBL
(6,1),(6,2),0.0256773 # DEPENDENCYPART_SIBL
(6,1),(6,3),0.0261278 # DEPENDENCYPART_SIBL
(6,1),(6,4),0.0243367 # DEPENDENCYPART_SIBL
(6,1),(6,5),0.0261278 # DEPENDENCYPART_SIBL
(6,1),(6,7),-0.0733133 # DEPENDENCYPART_SIBL
(6,1),(6,8),-0.0733133 # DEPENDENCYPART_SIBL
(6,1),(6,9),0.0274701 # DEPENDENCYPART_SIBL
(6,1),(6,10),-0.0733133 # DEPENDENCYPART_SIBL
(6,1),(6,11),-0.0131925 # DEPENDENCYPART_SIBL
(6,1),(6,12),-0.0733133 # DEPENDENCYPART_SIBL
(6,1),(6,13),-0.0733133 # DEPENDENCYPART_SIBL
(6,1),(6,14),-0.0394839 # DEPENDENCYPART_SIBL
(6,1),(6,15),-0.0278782 # DEPENDENCYPART_SIBL
(6,2),(6,3),-0.00545272 # DEPENDENCYPART_SIBL
(6,2),(6,4),-0.00821012 # DEPENDENCYPART_SIBL
(6,2),(6,5),-0.00545272 # DEPENDENCYPART_SIBL
(6,2),(6,7),-0.00430633 # DEPENDENCYPART_SIBL
(6,2),(6,8),-0.00430633 # DEPENDENCYPART_SIBL
(6,2),(6,9),-0.00143041 # DEPENDENCYPART_SIBL
(6,2),(6,10),-0.00430633 # DEPENDENCYPART_SIBL
(6,2),(6,11),0.0115412 # DEPENDENCYPART_SIBL
(6,2),(6,12),-0.00430633 # DEPENDENCYPART_SIBL
(6,2),(6,13),-0.00430633 # DEPENDENCYPART_SIBL
(6,2),(6,14),0.00329632 # DEPENDENCYPART_SIBL
(6,2),(6,15),-0.0221578 # DEPENDENCYPART_SIBL
(6,3),(6,4),-0.0107129 # DEPENDENCYPART_SIBL
(6,3),(6,5),-0.00795548 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.000954737 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.000954737 # DEPENDENCYPART_SIBL
(6,3),(6,9),-0.00143041 # DEPENDENCYPART_SIBL
(6,3),(6,10),-0.000954737 # DEPENDENCYPART_SIBL
(6,3),(6,11),0.0115412 # DEPENDENCYPART_SIBL
(6,3),(6,12),-0.000954737 # DEPENDENCYPART_SIBL
(6,3),(6,13),-0.000954737 # DEPENDENCYPART_SIBL
(6,3),(6,14),0.00329632 # DEPENDENCYPART_SIBL
(6,3),(6,15),-0.0221578 # DEPENDENCYPART_SIBL
(6,4),(6,5),-0.00795548 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.000954737 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.000954737 # DEPENDENCYPART_SIBL
(6,4),(6,9),-0.00143041 # DEPENDENCYPART_SIBL
(6,4),(6,10),-0.000954737 # DEPENDENCYPART_SIBL
(6,4),(6,11),0.0115412 # DEPENDENCYPART_SIBL
(6,4),(6,12),-0.000954737 # DEPENDENCYPART_SIBL
(6,4),(6,13),-0.000954737 # DEPENDENCYPART_SIBL
(6,4),(6,14),0.00329632 # DEPENDENCYPART_SIBL
(6,4),(6,15),-0.0221578 # DEPENDENCYPART_SIBL
(6,5),(6,7),-0.000954737 # DEPENDENCYPART_SIBL
