# _root_ hori guztia " bazterketarik gabe , inor bakartu gabe , betorik gabe eta indarkeriarik gabe " egin behar_dela gaineratu zuen ibarretxek .
#goldHeads=17,1,2,13,14,5,8,13,14,9,13,14,17,13,14,15,18,19,0,19,19,21,
#predictedHeads=0,1,2,8,4,5,8,18,8,9,13,11,19,13,14,15,18,19,0,19,19,21,
(11,5),-1.46341 # DEPENDENCYPART_ARC
(11,6),-1.71681 # DEPENDENCYPART_ARC
(11,7),-1.61323 # DEPENDENCYPART_ARC
(11,8),-1.08874 # DEPENDENCYPART_ARC
(11,9),-0.974386 # DEPENDENCYPART_ARC
(11,10),-0.400613 # DEPENDENCYPART_ARC
(11,12),0.514329 # DEPENDENCYPART_ARC
(11,13),-0.574906 # DEPENDENCYPART_ARC
(11,14),-0.658975 # DEPENDENCYPART_ARC
(11,15),-0.736044 # DEPENDENCYPART_ARC
(11,17),-0.824021 # DEPENDENCYPART_ARC
(11,18),-0.768165 # DEPENDENCYPART_ARC
(11,22),-0.94601 # DEPENDENCYPART_ARC
(12,8),-1.39943 # DEPENDENCYPART_ARC
(12,9),-0.910225 # DEPENDENCYPART_ARC
(12,11),-0.417935 # DEPENDENCYPART_ARC
(12,13),-0.198941 # DEPENDENCYPART_ARC
(12,14),-1.02616 # DEPENDENCYPART_ARC
(13,1),-1.2193 # DEPENDENCYPART_ARC
(13,4),-0.583605 # DEPENDENCYPART_ARC
(13,5),-0.748156 # DEPENDENCYPART_ARC
(13,8),-0.279058 # DEPENDENCYPART_ARC
(13,9),-0.602235 # DEPENDENCYPART_ARC
(13,10),-1.20925 # DEPENDENCYPART_ARC
(13,11),0.208909 # DEPENDENCYPART_ARC
(13,12),0.390594 # DEPENDENCYPART_ARC
(13,14),0.853888 # DEPENDENCYPART_ARC
(13,15),-0.556639 # DEPENDENCYPART_ARC
(13,17),-0.260866 # DEPENDENCYPART_ARC
(13,18),0.219504 # DEPENDENCYPART_ARC
(13,19),-0.213141 # DEPENDENCYPART_ARC
(14,5),-2.0072 # DEPENDENCYPART_ARC
(14,10),-2.35008 # DEPENDENCYPART_ARC
(14,13),-0.779837 # DEPENDENCYPART_ARC
(14,15),0.426653 # DEPENDENCYPART_ARC
(14,17),-0.897182 # DEPENDENCYPART_ARC
(14,18),-0.910932 # DEPENDENCYPART_ARC
(14,19),-1.78017 # DEPENDENCYPART_ARC
(14,20),-0.982401 # DEPENDENCYPART_ARC
(14,22),-1.05638 # DEPENDENCYPART_ARC
(15,11),-1.43137 # DEPENDENCYPART_ARC
(15,12),-0.935146 # DEPENDENCYPART_ARC
(15,13),-0.960148 # DEPENDENCYPART_ARC
(15,14),-0.496955 # DEPENDENCYPART_ARC
(15,16),0.99828 # DEPENDENCYPART_ARC
(15,21),-0.750323 # DEPENDENCYPART_ARC
(16,14),-0.92318 # DEPENDENCYPART_ARC
(16,17),0.140432 # DEPENDENCYPART_ARC
(16,19),-0.534177 # DEPENDENCYPART_ARC
(17,1),-1.4454 # DEPENDENCYPART_ARC
(17,4),-1.01371 # DEPENDENCYPART_ARC
(17,5),-1.52358 # DEPENDENCYPART_ARC
(17,6),-1.5892 # DEPENDENCYPART_ARC
(17,8),-0.66634 # DEPENDENCYPART_ARC
(17,9),-1.15641 # DEPENDENCYPART_ARC
(17,10),-1.58315 # DEPENDENCYPART_ARC
(17,11),-0.49624 # DEPENDENCYPART_ARC
(17,12),-0.868634 # DEPENDENCYPART_ARC
(17,13),-0.0207557 # DEPENDENCYPART_ARC
(17,14),-0.0446596 # DEPENDENCYPART_ARC
(17,15),-0.418618 # DEPENDENCYPART_ARC
(17,18),-0.018186 # DEPENDENCYPART_ARC
(17,19),-0.380821 # DEPENDENCYPART_ARC
(17,20),-0.984217 # DEPENDENCYPART_ARC
(17,21),-0.41605 # DEPENDENCYPART_ARC
(18,4),-0.665522 # DEPENDENCYPART_ARC
(18,5),-1.14518 # DEPENDENCYPART_ARC
(18,8),0.195778 # DEPENDENCYPART_ARC
(18,9),-0.936279 # DEPENDENCYPART_ARC
(18,11),-0.249557 # DEPENDENCYPART_ARC
(18,12),-0.62403 # DEPENDENCYPART_ARC
(18,13),-0.309924 # DEPENDENCYPART_ARC
(18,14),0.0510208 # DEPENDENCYPART_ARC
(18,15),-0.223418 # DEPENDENCYPART_ARC
(18,17),1.67364 # DEPENDENCYPART_ARC
(18,19),-0.258507 # DEPENDENCYPART_ARC
(18,20),-0.972997 # DEPENDENCYPART_ARC
(19,4),-1.3623 # DEPENDENCYPART_ARC
(19,5),-1.5735 # DEPENDENCYPART_ARC
(19,6),-1.50116 # DEPENDENCYPART_ARC
(19,8),-0.637676 # DEPENDENCYPART_ARC
(19,9),-1.28826 # DEPENDENCYPART_ARC
(19,10),-1.66017 # DEPENDENCYPART_ARC
(19,11),-0.847859 # DEPENDENCYPART_ARC
(19,12),-1.11508 # DEPENDENCYPART_ARC
(19,13),-0.0939054 # DEPENDENCYPART_ARC
(19,14),-0.770633 # DEPENDENCYPART_ARC
(19,15),-0.750217 # DEPENDENCYPART_ARC
(19,17),0.0408761 # DEPENDENCYPART_ARC
(19,18),0.937865 # DEPENDENCYPART_ARC
(19,20),1.25004 # DEPENDENCYPART_ARC
(19,21),0.792383 # DEPENDENCYPART_ARC
(20,17),-1.80394 # DEPENDENCYPART_ARC
(20,21),-0.524076 # DEPENDENCYPART_ARC
(21,19),-0.777858 # DEPENDENCYPART_ARC
(21,22),1.54809 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.0505916 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.16973 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.00570721 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.03792 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.146083 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.0175415 # DEPENDENCYPART_SIBL
(0,1),(0,8),-0.102114 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.03792 # DEPENDENCYPART_SIBL
(0,1),(0,10),-0.146083 # DEPENDENCYPART_SIBL
(0,1),(0,11),-0.00570721 # DEPENDENCYPART_SIBL
(0,1),(0,12),-0.03792 # DEPENDENCYPART_SIBL
(0,1),(0,13),-0.0718853 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.03792 # DEPENDENCYPART_SIBL
(0,1),(0,16),-0.16973 # DEPENDENCYPART_SIBL
(0,1),(0,17),-0.109984 # DEPENDENCYPART_SIBL
(0,1),(0,18),-0.102159 # DEPENDENCYPART_SIBL
(0,1),(0,19),-0.104954 # DEPENDENCYPART_SIBL
(0,1),(0,20),-0.0735346 # DEPENDENCYPART_SIBL
(0,1),(0,21),-0.00571746 # DEPENDENCYPART_SIBL
(0,1),(0,22),-0.152674 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.15286 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.0141064 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.0376571 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.128657 # DEPENDENCYPART_SIBL
(0,2),(0,7),-0.0174244 # DEPENDENCYPART_SIBL
(0,2),(0,8),-0.122693 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.0376571 # DEPENDENCYPART_SIBL
(0,2),(0,10),-0.128657 # DEPENDENCYPART_SIBL
(0,2),(0,11),-0.0141064 # DEPENDENCYPART_SIBL
(0,2),(0,12),-0.0376571 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.0772658 # DEPENDENCYPART_SIBL
(0,2),(0,15),-0.0376571 # DEPENDENCYPART_SIBL
(0,2),(0,16),-0.15286 # DEPENDENCYPART_SIBL
(0,2),(0,17),-0.129093 # DEPENDENCYPART_SIBL
(0,2),(0,18),-0.122738 # DEPENDENCYPART_SIBL
(0,2),(0,19),-0.125533 # DEPENDENCYPART_SIBL
(0,2),(0,20),-0.0734023 # DEPENDENCYPART_SIBL
(0,2),(0,21),-0.0141167 # DEPENDENCYPART_SIBL
(0,2),(0,22),-0.135763 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.133325 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.0939152 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.216774 # DEPENDENCYPART_SIBL
(0,3),(0,7),-0.0659765 # DEPENDENCYPART_SIBL
(0,3),(0,8),-0.0442218 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.0939152 # DEPENDENCYPART_SIBL
(0,3),(0,10),-0.216774 # DEPENDENCYPART_SIBL
(0,3),(0,11),-0.133324 # DEPENDENCYPART_SIBL
(0,3),(0,12),-0.0939152 # DEPENDENCYPART_SIBL
(0,3),(0,13),-0.231979 # DEPENDENCYPART_SIBL
(0,3),(0,15),-0.0939152 # DEPENDENCYPART_SIBL
(0,3),(0,16),-0.181443 # DEPENDENCYPART_SIBL
(0,3),(0,17),-0.0526463 # DEPENDENCYPART_SIBL
(0,3),(0,18),-0.0442824 # DEPENDENCYPART_SIBL
(0,3),(0,19),0.00947407 # DEPENDENCYPART_SIBL
(0,3),(0,20),-0.0355825 # DEPENDENCYPART_SIBL
(0,3),(0,21),-0.133783 # DEPENDENCYPART_SIBL
(0,3),(0,22),-0.161528 # DEPENDENCYPART_SIBL
(0,4),(0,5),0.0169246 # DEPENDENCYPART_SIBL
(0,4),(0,6),-0.13484 # DEPENDENCYPART_SIBL
(0,4),(0,7),-0.00154639 # DEPENDENCYPART_SIBL
(0,4),(0,8),-0.112279 # DEPENDENCYPART_SIBL
(0,4),(0,9),0.0169246 # DEPENDENCYPART_SIBL
(0,4),(0,10),-0.13484 # DEPENDENCYPART_SIBL
(0,4),(0,11),0.0509439 # DEPENDENCYPART_SIBL
(0,4),(0,12),0.0169246 # DEPENDENCYPART_SIBL
(0,4),(0,13),-0.0875943 # DEPENDENCYPART_SIBL
(0,4),(0,15),0.0169246 # DEPENDENCYPART_SIBL
(0,4),(0,16),-0.198273 # DEPENDENCYPART_SIBL
(0,4),(0,17),-0.15112 # DEPENDENCYPART_SIBL
(0,4),(0,18),-0.112336 # DEPENDENCYPART_SIBL
(0,4),(0,19),-0.114114 # DEPENDENCYPART_SIBL
(0,4),(0,20),-0.0808976 # DEPENDENCYPART_SIBL
(0,4),(0,21),0.0538254 # DEPENDENCYPART_SIBL
(0,4),(0,22),-0.174982 # DEPENDENCYPART_SIBL
(0,5),(0,6),-0.0718061 # DEPENDENCYPART_SIBL
(0,5),(0,7),0.0810573 # DEPENDENCYPART_SIBL
(0,5),(0,8),-0.0297779 # DEPENDENCYPART_SIBL
(0,5),(0,9),-0.020595 # DEPENDENCYPART_SIBL
(0,5),(0,10),-0.0718061 # DEPENDENCYPART_SIBL
(0,5),(0,11),0.0861527 # DEPENDENCYPART_SIBL
(0,5),(0,12),-0.020595 # DEPENDENCYPART_SIBL
(0,5),(0,13),-0.0616311 # DEPENDENCYPART_SIBL
(0,5),(0,15),-0.020595 # DEPENDENCYPART_SIBL
(0,5),(0,16),-0.112444 # DEPENDENCYPART_SIBL
(0,5),(0,17),-0.036369 # DEPENDENCYPART_SIBL
(0,5),(0,18),-0.0298233 # DEPENDENCYPART_SIBL
(0,5),(0,19),-0.0309305 # DEPENDENCYPART_SIBL
(0,5),(0,20),-0.0626637 # DEPENDENCYPART_SIBL
(0,5),(0,21),0.0861425 # DEPENDENCYPART_SIBL
(0,5),(0,22),-0.0925101 # DEPENDENCYPART_SIBL
(0,6),(0,7),-0.19069 # DEPENDENCYPART_SIBL
(0,6),(0,8),-0.293028 # DEPENDENCYPART_SIBL
(0,6),(0,9),-0.298008 # DEPENDENCYPART_SIBL
(0,6),(0,10),-0.413823 # DEPENDENCYPART_SIBL
(0,6),(0,11),-0.202026 # DEPENDENCYPART_SIBL
(0,6),(0,12),-0.298008 # DEPENDENCYPART_SIBL
(0,6),(0,13),-0.226163 # DEPENDENCYPART_SIBL
(0,6),(0,15),-0.298008 # DEPENDENCYPART_SIBL
(0,6),(0,16),-0.370046 # DEPENDENCYPART_SIBL
(0,6),(0,17),-0.327759 # DEPENDENCYPART_SIBL
(0,6),(0,18),-0.293103 # DEPENDENCYPART_SIBL
(0,6),(0,19),-0.261656 # DEPENDENCYPART_SIBL
(0,6),(0,20),-0.231843 # DEPENDENCYPART_SIBL
(0,6),(0,21),-0.202261 # DEPENDENCYPART_SIBL
(0,6),(0,22),-0.340789 # DEPENDENCYPART_SIBL
(0,7),(0,8),-0.0040503 # DEPENDENCYPART_SIBL
(0,7),(0,9),0.0444263 # DEPENDENCYPART_SIBL
(0,7),(0,10),0.0629898 # DEPENDENCYPART_SIBL
(0,7),(0,11),0.060239 # DEPENDENCYPART_SIBL
(0,7),(0,12),0.0444263 # DEPENDENCYPART_SIBL
(0,7),(0,13),-0.00695431 # DEPENDENCYPART_SIBL
(0,7),(0,15),0.0444263 # DEPENDENCYPART_SIBL
(0,7),(0,16),0.00395281 # DEPENDENCYPART_SIBL
(0,7),(0,17),-0.0172957 # DEPENDENCYPART_SIBL
(0,7),(0,18),-0.00409574 # DEPENDENCYPART_SIBL
(0,7),(0,19),-0.00520299 # DEPENDENCYPART_SIBL
(0,7),(0,20),-0.00128594 # DEPENDENCYPART_SIBL
(0,7),(0,21),0.0602288 # DEPENDENCYPART_SIBL
(0,7),(0,22),0.0231624 # DEPENDENCYPART_SIBL
(0,8),(0,9),-0.0372032 # DEPENDENCYPART_SIBL
(0,8),(0,10),-0.0464622 # DEPENDENCYPART_SIBL
(0,8),(0,11),-0.00562242 # DEPENDENCYPART_SIBL
(0,8),(0,12),-0.0372032 # DEPENDENCYPART_SIBL
(0,8),(0,13),-0.126699 # DEPENDENCYPART_SIBL
(0,8),(0,15),-0.0372032 # DEPENDENCYPART_SIBL
(0,8),(0,16),-0.0808903 # DEPENDENCYPART_SIBL
(0,8),(0,17),-0.133654 # DEPENDENCYPART_SIBL
(0,8),(0,18),-0.118286 # DEPENDENCYPART_SIBL
(0,8),(0,19),-0.161003 # DEPENDENCYPART_SIBL
(0,8),(0,20),0.000497043 # DEPENDENCYPART_SIBL
(0,8),(0,21),-0.00563743 # DEPENDENCYPART_SIBL
(0,8),(0,22),-0.0693041 # DEPENDENCYPART_SIBL
(0,9),(0,10),-0.0718061 # DEPENDENCYPART_SIBL
(0,9),(0,11),0.0861527 # DEPENDENCYPART_SIBL
(0,9),(0,12),-0.020595 # DEPENDENCYPART_SIBL
(0,9),(0,13),-0.0616311 # DEPENDENCYPART_SIBL
(0,9),(0,15),-0.020595 # DEPENDENCYPART_SIBL
(0,9),(0,16),-0.112444 # DEPENDENCYPART_SIBL
(0,9),(0,17),-0.036369 # DEPENDENCYPART_SIBL
(0,9),(0,18),-0.0298233 # DEPENDENCYPART_SIBL
(0,9),(0,19),-0.0309305 # DEPENDENCYPART_SIBL
(0,9),(0,20),-0.0626637 # DEPENDENCYPART_SIBL
(0,9),(0,21),0.0861425 # DEPENDENCYPART_SIBL
(0,9),(0,22),-0.0925101 # DEPENDENCYPART_SIBL
(0,10),(0,11),-0.202026 # DEPENDENCYPART_SIBL
(0,10),(0,12),-0.298008 # DEPENDENCYPART_SIBL
(0,10),(0,13),-0.226163 # DEPENDENCYPART_SIBL
(0,10),(0,15),-0.298008 # DEPENDENCYPART_SIBL
(0,10),(0,16),-0.370046 # DEPENDENCYPART_SIBL
(0,10),(0,17),-0.327759 # DEPENDENCYPART_SIBL
(0,10),(0,18),-0.293103 # DEPENDENCYPART_SIBL
(0,10),(0,19),-0.261656 # DEPENDENCYPART_SIBL
(0,10),(0,20),-0.231843 # DEPENDENCYPART_SIBL
(0,10),(0,21),-0.202261 # DEPENDENCYPART_SIBL
(0,10),(0,22),-0.340789 # DEPENDENCYPART_SIBL
(0,11),(0,12),0.0169246 # DEPENDENCYPART_SIBL
(0,11),(0,13),-0.0875943 # DEPENDENCYPART_SIBL
(0,11),(0,15),0.0169246 # DEPENDENCYPART_SIBL
(0,11),(0,16),-0.198273 # DEPENDENCYPART_SIBL
(0,11),(0,17),-0.15112 # DEPENDENCYPART_SIBL
(0,11),(0,18),-0.112336 # DEPENDENCYPART_SIBL
(0,11),(0,19),-0.114114 # DEPENDENCYPART_SIBL
(0,11),(0,20),-0.0808976 # DEPENDENCYPART_SIBL
(0,11),(0,21),0.0538254 # DEPENDENCYPART_SIBL
(0,11),(0,22),-0.174982 # DEPENDENCYPART_SIBL
(0,12),(0,13),-0.0616311 # DEPENDENCYPART_SIBL
(0,12),(0,15),-0.020595 # DEPENDENCYPART_SIBL
(0,12),(0,16),-0.112444 # DEPENDENCYPART_SIBL
(0,12),(0,17),-0.036369 # DEPENDENCYPART_SIBL
(0,12),(0,18),-0.0298233 # DEPENDENCYPART_SIBL
(0,12),(0,19),-0.0309305 # DEPENDENCYPART_SIBL
(0,12),(0,20),-0.0626637 # DEPENDENCYPART_SIBL
(0,12),(0,21),0.0861425 # DEPENDENCYPART_SIBL
(0,12),(0,22),-0.0925101 # DEPENDENCYPART_SIBL
(0,13),(0,15),0.0690293 # DEPENDENCYPART_SIBL
(0,13),(0,16),-0.0798852 # DEPENDENCYPART_SIBL
(0,13),(0,17),-0.0422199 # DEPENDENCYPART_SIBL
(0,13),(0,18),-0.0324521 # DEPENDENCYPART_SIBL
(0,13),(0,19),-0.0611281 # DEPENDENCYPART_SIBL
(0,13),(0,20),-0.0263214 # DEPENDENCYPART_SIBL
(0,13),(0,21),-0.022385 # DEPENDENCYPART_SIBL
(0,13),(0,22),-0.0473547 # DEPENDENCYPART_SIBL
(0,15),(0,16),-0.112444 # DEPENDENCYPART_SIBL
(0,15),(0,17),-0.036369 # DEPENDENCYPART_SIBL
(0,15),(0,18),-0.0298233 # DEPENDENCYPART_SIBL
(0,15),(0,19),-0.0309305 # DEPENDENCYPART_SIBL
(0,15),(0,20),-0.0626637 # DEPENDENCYPART_SIBL
(0,15),(0,21),0.0861425 # DEPENDENCYPART_SIBL
(0,15),(0,22),-0.0925101 # DEPENDENCYPART_SIBL
(0,16),(0,17),-0.0526463 # DEPENDENCYPART_SIBL
(0,16),(0,18),-0.0442824 # DEPENDENCYPART_SIBL
(0,16),(0,19),0.00947407 # DEPENDENCYPART_SIBL
(0,16),(0,20),-0.0355825 # DEPENDENCYPART_SIBL
(0,16),(0,21),-0.133783 # DEPENDENCYPART_SIBL
(0,16),(0,22),-0.161528 # DEPENDENCYPART_SIBL
(0,17),(0,18),-0.199058 # DEPENDENCYPART_SIBL
(0,17),(0,19),-0.240669 # DEPENDENCYPART_SIBL
(0,17),(0,20),0.0117185 # DEPENDENCYPART_SIBL
(0,17),(0,21),-0.0617854 # DEPENDENCYPART_SIBL
(0,17),(0,22),-0.122823 # DEPENDENCYPART_SIBL
(0,18),(0,19),-0.162021 # DEPENDENCYPART_SIBL
(0,18),(0,20),-0.0020521 # DEPENDENCYPART_SIBL
(0,18),(0,21),-0.00752682 # DEPENDENCYPART_SIBL
(0,18),(0,22),-0.0703141 # DEPENDENCYPART_SIBL
(0,19),(0,20),-0.00793025 # DEPENDENCYPART_SIBL
(0,19),(0,21),-0.0128132 # DEPENDENCYPART_SIBL
(0,19),(0,22),-0.0764799 # DEPENDENCYPART_SIBL
(0,20),(0,21),0.00466681 # DEPENDENCYPART_SIBL
(0,20),(0,22),-0.114021 # DEPENDENCYPART_SIBL
(0,21),(0,22),-0.175122 # DEPENDENCYPART_SIBL
(1,2),(1,19),-0.0315686 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.0187116 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.0594754 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.0372493 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.0397243 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.0594754 # DEPENDENCYPART_SIBL
(4,1),(4,17),-0.0450498 # DEPENDENCYPART_SIBL
(4,1),(4,18),-0.0397865 # DEPENDENCYPART_SIBL
(4,1),(4,19),-0.0397244 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.00482899 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.017231 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.0262983 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.00482899 # DEPENDENCYPART_SIBL
(4,3),(4,17),-0.0319216 # DEPENDENCYPART_SIBL
(4,3),(4,18),-0.026361 # DEPENDENCYPART_SIBL
(4,3),(4,19),-0.0265512 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.106362 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.0190929 # DEPENDENCYPART_SIBL
(4,5),(4,9),0.00998779 # DEPENDENCYPART_SIBL
(4,5),(4,17),-0.0166099 # DEPENDENCYPART_SIBL
(4,5),(4,18),-0.0190942 # DEPENDENCYPART_SIBL
(4,5),(4,19),-0.0190929 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.0372475 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.139353 # DEPENDENCYPART_SIBL
(4,6),(4,17),-0.048857 # DEPENDENCYPART_SIBL
(4,6),(4,18),-0.037279 # DEPENDENCYPART_SIBL
(4,6),(4,19),-0.0251706 # DEPENDENCYPART_SIBL
(4,8),(4,9),0.00769726 # DEPENDENCYPART_SIBL
(4,8),(4,17),-0.00126957 # DEPENDENCYPART_SIBL
(4,8),(4,18),-0.0124597 # DEPENDENCYPART_SIBL
(4,8),(4,19),-0.0267088 # DEPENDENCYPART_SIBL
(4,9),(4,17),-0.0166099 # DEPENDENCYPART_SIBL
(4,9),(4,18),-0.0190942 # DEPENDENCYPART_SIBL
(4,9),(4,19),-0.0190929 # DEPENDENCYPART_SIBL
(4,17),(4,18),-0.0189251 # DEPENDENCYPART_SIBL
(4,17),(4,19),-0.0320674 # DEPENDENCYPART_SIBL
(4,18),(4,19),-0.0267178 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.00874874 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.0118233 # DEPENDENCYPART_SIBL
(5,4),(5,10),0.00874874 # DEPENDENCYPART_SIBL
(5,4),(5,12),-0.0118233 # DEPENDENCYPART_SIBL
(5,4),(5,15),-0.0118233 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.160147 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.232393 # DEPENDENCYPART_SIBL
(5,6),(5,12),-0.160147 # DEPENDENCYPART_SIBL
(5,6),(5,15),-0.160147 # DEPENDENCYPART_SIBL
(5,9),(5,10),-0.037499 # DEPENDENCYPART_SIBL
(5,9),(5,12),-0.00498136 # DEPENDENCYPART_SIBL
(5,9),(5,15),-0.00498136 # DEPENDENCYPART_SIBL
(5,10),(5,12),-0.160147 # DEPENDENCYPART_SIBL
(5,10),(5,15),-0.160147 # DEPENDENCYPART_SIBL
(5,12),(5,15),-0.00498136 # DEPENDENCYPART_SIBL
(6,4),(6,18),0.156802 # DEPENDENCYPART_SIBL
(7,4),(7,5),-0.0359402 # DEPENDENCYPART_SIBL
(8,1),(8,2),-0.0304551 # DEPENDENCYPART_SIBL
(8,1),(8,4),-0.000645041 # DEPENDENCYPART_SIBL
(8,1),(8,5),-0.0968299 # DEPENDENCYPART_SIBL
(8,1),(8,6),-0.0703272 # DEPENDENCYPART_SIBL
(8,1),(8,7),-0.0116258 # DEPENDENCYPART_SIBL
(8,1),(8,9),-0.0615124 # DEPENDENCYPART_SIBL
(8,1),(8,10),0.0100049 # DEPENDENCYPART_SIBL
(8,1),(8,11),-0.0130784 # DEPENDENCYPART_SIBL
