# _root_ ehiztariek oihu_egin ziguten , otsoarengandik apartatzeko esanaz , eta eztarriek ez zieten bere belarriei gure lasaitzeko eta ez tiratzeko hitzik entzuten utzi .
#goldHeads=2,9,2,3,6,7,2,7,0,22,22,22,14,22,20,17,20,19,17,21,22,9,22,
#predictedHeads=2,9,2,3,6,7,9,7,0,16,22,22,14,16,16,17,22,19,20,21,22,9,22,
(7,4),-1.04306 # DEPENDENCYPART_ARC
(7,5),0.391588 # DEPENDENCYPART_ARC
(7,6),1.07149 # DEPENDENCYPART_ARC
(7,8),1.08581 # DEPENDENCYPART_ARC
(7,9),-0.833889 # DEPENDENCYPART_ARC
(7,10),-1.30654 # DEPENDENCYPART_ARC
(7,11),-1.18627 # DEPENDENCYPART_ARC
(7,12),-2.55366 # DEPENDENCYPART_ARC
(7,14),-1.50291 # DEPENDENCYPART_ARC
(7,15),-1.91721 # DEPENDENCYPART_ARC
(7,16),-1.99226 # DEPENDENCYPART_ARC
(7,17),-0.774757 # DEPENDENCYPART_ARC
(7,20),-1.53808 # DEPENDENCYPART_ARC
(7,21),-1.99353 # DEPENDENCYPART_ARC
(7,22),-2.35642 # DEPENDENCYPART_ARC
(8,2),-1.26417 # DEPENDENCYPART_ARC
(8,3),-1.52404 # DEPENDENCYPART_ARC
(8,6),-1.00025 # DEPENDENCYPART_ARC
(8,7),-0.410962 # DEPENDENCYPART_ARC
(9,1),-0.708212 # DEPENDENCYPART_ARC
(9,2),0.12897 # DEPENDENCYPART_ARC
(9,3),-1.34226 # DEPENDENCYPART_ARC
(9,4),-1.45953 # DEPENDENCYPART_ARC
(9,5),-0.511716 # DEPENDENCYPART_ARC
(9,6),0.117754 # DEPENDENCYPART_ARC
(9,7),0.181423 # DEPENDENCYPART_ARC
(9,8),-0.460345 # DEPENDENCYPART_ARC
(9,10),0.967435 # DEPENDENCYPART_ARC
(9,11),-0.557112 # DEPENDENCYPART_ARC
(9,12),-0.87215 # DEPENDENCYPART_ARC
(9,14),-0.447729 # DEPENDENCYPART_ARC
(9,16),-0.297891 # DEPENDENCYPART_ARC
(9,17),-0.58332 # DEPENDENCYPART_ARC
(9,19),-0.407356 # DEPENDENCYPART_ARC
(9,20),-0.975864 # DEPENDENCYPART_ARC
(9,21),-0.359133 # DEPENDENCYPART_ARC
(9,22),-0.559674 # DEPENDENCYPART_ARC
(10,8),-1.32779 # DEPENDENCYPART_ARC
(10,9),-0.0336914 # DEPENDENCYPART_ARC
(10,11),-1.09994 # DEPENDENCYPART_ARC
(10,12),-1.35198 # DEPENDENCYPART_ARC
(10,13),-1.94137 # DEPENDENCYPART_ARC
(11,10),-0.700774 # DEPENDENCYPART_ARC
(11,14),-1.03251 # DEPENDENCYPART_ARC
(12,10),-0.282859 # DEPENDENCYPART_ARC
(12,11),-0.593779 # DEPENDENCYPART_ARC
(12,14),-1.26344 # DEPENDENCYPART_ARC
(14,8),-1.31755 # DEPENDENCYPART_ARC
(14,9),-0.441187 # DEPENDENCYPART_ARC
(14,10),-1.59308 # DEPENDENCYPART_ARC
(14,12),-0.832609 # DEPENDENCYPART_ARC
(14,13),1.3906 # DEPENDENCYPART_ARC
(14,15),-0.477937 # DEPENDENCYPART_ARC
(14,23),-1.48915 # DEPENDENCYPART_ARC
(15,16),-0.0576923 # DEPENDENCYPART_ARC
(15,19),-0.898054 # DEPENDENCYPART_ARC
(16,1),-1.12071 # DEPENDENCYPART_ARC
(16,2),-0.918646 # DEPENDENCYPART_ARC
(16,4),-1.47539 # DEPENDENCYPART_ARC
(16,5),-0.653724 # DEPENDENCYPART_ARC
(16,6),-0.588646 # DEPENDENCYPART_ARC
(16,7),-0.421738 # DEPENDENCYPART_ARC
(16,8),-1.4646 # DEPENDENCYPART_ARC
(16,9),-0.527216 # DEPENDENCYPART_ARC
(16,10),0.275461 # DEPENDENCYPART_ARC
(16,11),-0.305442 # DEPENDENCYPART_ARC
(16,12),-1.18789 # DEPENDENCYPART_ARC
(16,13),-0.775953 # DEPENDENCYPART_ARC
(16,14),1.08451 # DEPENDENCYPART_ARC
(16,15),0.85525 # DEPENDENCYPART_ARC
(16,17),-0.0676876 # DEPENDENCYPART_ARC
(16,18),-0.895529 # DEPENDENCYPART_ARC
(16,19),-1.34944 # DEPENDENCYPART_ARC
(16,20),-1.77735 # DEPENDENCYPART_ARC
(16,21),-1.42913 # DEPENDENCYPART_ARC
(16,22),-1.84215 # DEPENDENCYPART_ARC
(17,6),-0.692383 # DEPENDENCYPART_ARC
(17,7),-0.895514 # DEPENDENCYPART_ARC
(17,9),-0.244238 # DEPENDENCYPART_ARC
(17,14),-0.49462 # DEPENDENCYPART_ARC
(17,15),-0.198578 # DEPENDENCYPART_ARC
(17,16),1.34832 # DEPENDENCYPART_ARC
(17,18),0.252131 # DEPENDENCYPART_ARC
(17,19),0.113835 # DEPENDENCYPART_ARC
(17,20),-0.368384 # DEPENDENCYPART_ARC
(17,21),0.311319 # DEPENDENCYPART_ARC
(17,22),-0.0517748 # DEPENDENCYPART_ARC
(18,19),-0.249315 # DEPENDENCYPART_ARC
(18,20),-0.903527 # DEPENDENCYPART_ARC
(19,1),-1.27747 # DEPENDENCYPART_ARC
(19,2),-0.974309 # DEPENDENCYPART_ARC
(19,4),-1.38171 # DEPENDENCYPART_ARC
(19,5),-0.679755 # DEPENDENCYPART_ARC
(19,6),-0.621885 # DEPENDENCYPART_ARC
(19,7),-0.477533 # DEPENDENCYPART_ARC
(19,8),-1.53747 # DEPENDENCYPART_ARC
(19,9),-0.520253 # DEPENDENCYPART_ARC
(19,10),0.112232 # DEPENDENCYPART_ARC
(19,11),-0.532359 # DEPENDENCYPART_ARC
(19,12),-1.35065 # DEPENDENCYPART_ARC
(19,13),-1.13255 # DEPENDENCYPART_ARC
(19,14),0.240574 # DEPENDENCYPART_ARC
(19,15),-0.452019 # DEPENDENCYPART_ARC
(19,16),-0.118622 # DEPENDENCYPART_ARC
(19,17),-0.0529945 # DEPENDENCYPART_ARC
(19,18),0.736051 # DEPENDENCYPART_ARC
(19,20),-0.599356 # DEPENDENCYPART_ARC
(19,21),-1.01162 # DEPENDENCYPART_ARC
(19,22),-1.51617 # DEPENDENCYPART_ARC
(20,16),-0.358914 # DEPENDENCYPART_ARC
(20,17),-0.438574 # DEPENDENCYPART_ARC
(20,18),-0.555858 # DEPENDENCYPART_ARC
(20,19),1.14264 # DEPENDENCYPART_ARC
(20,21),-0.0414666 # DEPENDENCYPART_ARC
(20,22),-1.374 # DEPENDENCYPART_ARC
(20,23),-0.821941 # DEPENDENCYPART_ARC
(21,5),-0.717584 # DEPENDENCYPART_ARC
(21,7),-0.502861 # DEPENDENCYPART_ARC
(21,9),-0.945871 # DEPENDENCYPART_ARC
(21,10),0.195807 # DEPENDENCYPART_ARC
(21,11),-0.820337 # DEPENDENCYPART_ARC
(21,12),-1.29893 # DEPENDENCYPART_ARC
(21,13),-1.30209 # DEPENDENCYPART_ARC
(21,14),-0.172184 # DEPENDENCYPART_ARC
(21,15),-0.70719 # DEPENDENCYPART_ARC
(21,16),-0.400279 # DEPENDENCYPART_ARC
(21,17),-0.363037 # DEPENDENCYPART_ARC
(21,18),-0.43167 # DEPENDENCYPART_ARC
(21,19),0.415064 # DEPENDENCYPART_ARC
(21,20),1.90718 # DEPENDENCYPART_ARC
(21,22),-0.272971 # DEPENDENCYPART_ARC
(21,23),-0.333105 # DEPENDENCYPART_ARC
(22,1),-0.887333 # DEPENDENCYPART_ARC
(22,5),-0.773063 # DEPENDENCYPART_ARC
(22,6),-0.246244 # DEPENDENCYPART_ARC
(22,7),-0.228383 # DEPENDENCYPART_ARC
(22,8),-1.24118 # DEPENDENCYPART_ARC
(22,9),-0.237989 # DEPENDENCYPART_ARC
(22,10),-0.00316129 # DEPENDENCYPART_ARC
(22,11),-0.380539 # DEPENDENCYPART_ARC
(22,12),-0.125479 # DEPENDENCYPART_ARC
(22,13),-1.30205 # DEPENDENCYPART_ARC
(22,14),-0.0302937 # DEPENDENCYPART_ARC
(22,15),-0.685682 # DEPENDENCYPART_ARC
(22,16),-0.586388 # DEPENDENCYPART_ARC
(22,17),0.087781 # DEPENDENCYPART_ARC
(22,18),-0.0247563 # DEPENDENCYPART_ARC
(22,19),-0.0543341 # DEPENDENCYPART_ARC
(22,20),0.580688 # DEPENDENCYPART_ARC
(22,21),1.8023 # DEPENDENCYPART_ARC
(22,23),1.83333 # DEPENDENCYPART_ARC
(23,21),-0.975589 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.112279 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.0589078 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.13484 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.112279 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.112279 # DEPENDENCYPART_SIBL
(0,1),(0,8),-0.13484 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.0875943 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.00180103 # DEPENDENCYPART_SIBL
(0,1),(0,16),-0.112279 # DEPENDENCYPART_SIBL
(0,1),(0,17),-0.0875943 # DEPENDENCYPART_SIBL
(0,1),(0,18),0.0553243 # DEPENDENCYPART_SIBL
(0,1),(0,19),-0.112279 # DEPENDENCYPART_SIBL
(0,1),(0,20),0.0497337 # DEPENDENCYPART_SIBL
(0,1),(0,21),-0.113449 # DEPENDENCYPART_SIBL
(0,1),(0,22),-0.132784 # DEPENDENCYPART_SIBL
(0,1),(0,23),-0.174982 # DEPENDENCYPART_SIBL
(0,2),(0,3),0.00681347 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.0464622 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.117133 # DEPENDENCYPART_SIBL
(0,2),(0,7),-0.117719 # DEPENDENCYPART_SIBL
(0,2),(0,8),-0.0464622 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.126699 # DEPENDENCYPART_SIBL
(0,2),(0,15),-0.0092515 # DEPENDENCYPART_SIBL
(0,2),(0,16),-0.117133 # DEPENDENCYPART_SIBL
(0,2),(0,17),-0.126699 # DEPENDENCYPART_SIBL
(0,2),(0,18),0.00430564 # DEPENDENCYPART_SIBL
(0,2),(0,19),-0.117133 # DEPENDENCYPART_SIBL
(0,2),(0,20),-0.0059824 # DEPENDENCYPART_SIBL
(0,2),(0,21),-0.118303 # DEPENDENCYPART_SIBL
(0,2),(0,22),-0.153906 # DEPENDENCYPART_SIBL
(0,2),(0,23),-0.0693041 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.0716099 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.0137375 # DEPENDENCYPART_SIBL
(0,3),(0,7),-0.0127757 # DEPENDENCYPART_SIBL
(0,3),(0,8),-0.0716099 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.0452578 # DEPENDENCYPART_SIBL
(0,3),(0,15),0.0138963 # DEPENDENCYPART_SIBL
(0,3),(0,16),-0.0137375 # DEPENDENCYPART_SIBL
(0,3),(0,17),-0.0452578 # DEPENDENCYPART_SIBL
(0,3),(0,18),0.0224017 # DEPENDENCYPART_SIBL
(0,3),(0,19),-0.0137375 # DEPENDENCYPART_SIBL
(0,3),(0,20),0.00712724 # DEPENDENCYPART_SIBL
(0,3),(0,21),-0.0150255 # DEPENDENCYPART_SIBL
(0,3),(0,22),-0.0366993 # DEPENDENCYPART_SIBL
(0,3),(0,23),-0.0802417 # DEPENDENCYPART_SIBL
(0,4),(0,6),-0.293028 # DEPENDENCYPART_SIBL
(0,4),(0,7),-0.293028 # DEPENDENCYPART_SIBL
(0,4),(0,8),-0.413823 # DEPENDENCYPART_SIBL
(0,4),(0,9),-0.226163 # DEPENDENCYPART_SIBL
(0,4),(0,15),-0.191264 # DEPENDENCYPART_SIBL
(0,4),(0,16),-0.293028 # DEPENDENCYPART_SIBL
(0,4),(0,17),-0.226163 # DEPENDENCYPART_SIBL
(0,4),(0,18),-0.107489 # DEPENDENCYPART_SIBL
(0,4),(0,19),-0.293028 # DEPENDENCYPART_SIBL
(0,4),(0,20),-0.202386 # DEPENDENCYPART_SIBL
(0,4),(0,21),-0.294198 # DEPENDENCYPART_SIBL
(0,4),(0,22),-0.31777 # DEPENDENCYPART_SIBL
(0,4),(0,23),-0.340789 # DEPENDENCYPART_SIBL
(0,6),(0,7),-0.117719 # DEPENDENCYPART_SIBL
(0,6),(0,8),-0.0464622 # DEPENDENCYPART_SIBL
(0,6),(0,9),-0.126699 # DEPENDENCYPART_SIBL
(0,6),(0,15),-0.0092515 # DEPENDENCYPART_SIBL
(0,6),(0,16),-0.117133 # DEPENDENCYPART_SIBL
(0,6),(0,17),-0.126699 # DEPENDENCYPART_SIBL
(0,6),(0,18),0.00430564 # DEPENDENCYPART_SIBL
(0,6),(0,19),-0.117133 # DEPENDENCYPART_SIBL
(0,6),(0,20),-0.0059824 # DEPENDENCYPART_SIBL
(0,6),(0,21),-0.118303 # DEPENDENCYPART_SIBL
(0,6),(0,22),-0.153906 # DEPENDENCYPART_SIBL
(0,6),(0,23),-0.0693041 # DEPENDENCYPART_SIBL
(0,7),(0,8),-0.0464622 # DEPENDENCYPART_SIBL
(0,7),(0,9),-0.126699 # DEPENDENCYPART_SIBL
(0,7),(0,15),-0.0092515 # DEPENDENCYPART_SIBL
(0,7),(0,16),-0.117133 # DEPENDENCYPART_SIBL
(0,7),(0,17),-0.126699 # DEPENDENCYPART_SIBL
(0,7),(0,18),0.00430564 # DEPENDENCYPART_SIBL
(0,7),(0,19),-0.117133 # DEPENDENCYPART_SIBL
(0,7),(0,20),-0.0059824 # DEPENDENCYPART_SIBL
(0,7),(0,21),-0.118303 # DEPENDENCYPART_SIBL
(0,7),(0,22),-0.153906 # DEPENDENCYPART_SIBL
(0,7),(0,23),-0.0693041 # DEPENDENCYPART_SIBL
(0,8),(0,9),-0.226163 # DEPENDENCYPART_SIBL
(0,8),(0,15),-0.191264 # DEPENDENCYPART_SIBL
(0,8),(0,16),-0.293028 # DEPENDENCYPART_SIBL
(0,8),(0,17),-0.226163 # DEPENDENCYPART_SIBL
(0,8),(0,18),-0.107489 # DEPENDENCYPART_SIBL
(0,8),(0,19),-0.293028 # DEPENDENCYPART_SIBL
(0,8),(0,20),-0.202386 # DEPENDENCYPART_SIBL
(0,8),(0,21),-0.294198 # DEPENDENCYPART_SIBL
(0,8),(0,22),-0.31777 # DEPENDENCYPART_SIBL
(0,8),(0,23),-0.340789 # DEPENDENCYPART_SIBL
(0,9),(0,15),0.0734988 # DEPENDENCYPART_SIBL
(0,9),(0,16),-0.032339 # DEPENDENCYPART_SIBL
(0,9),(0,17),-0.0395181 # DEPENDENCYPART_SIBL
(0,9),(0,18),0.0189221 # DEPENDENCYPART_SIBL
(0,9),(0,19),-0.032339 # DEPENDENCYPART_SIBL
(0,9),(0,20),-0.0227283 # DEPENDENCYPART_SIBL
(0,9),(0,21),-0.0352224 # DEPENDENCYPART_SIBL
(0,9),(0,22),-0.0443884 # DEPENDENCYPART_SIBL
(0,9),(0,23),-0.0473547 # DEPENDENCYPART_SIBL
(0,15),(0,16),-0.0103307 # DEPENDENCYPART_SIBL
(0,15),(0,17),-0.0108289 # DEPENDENCYPART_SIBL
(0,15),(0,18),0.122444 # DEPENDENCYPART_SIBL
(0,15),(0,19),-0.0103307 # DEPENDENCYPART_SIBL
(0,15),(0,20),0.0535835 # DEPENDENCYPART_SIBL
(0,15),(0,21),-0.0115008 # DEPENDENCYPART_SIBL
(0,15),(0,22),-0.0319797 # DEPENDENCYPART_SIBL
(0,15),(0,23),0.0189735 # DEPENDENCYPART_SIBL
(0,16),(0,17),-0.126699 # DEPENDENCYPART_SIBL
(0,16),(0,18),0.00430564 # DEPENDENCYPART_SIBL
(0,16),(0,19),-0.117133 # DEPENDENCYPART_SIBL
(0,16),(0,20),-0.0059824 # DEPENDENCYPART_SIBL
(0,16),(0,21),-0.118303 # DEPENDENCYPART_SIBL
(0,16),(0,22),-0.153906 # DEPENDENCYPART_SIBL
(0,16),(0,23),-0.0693041 # DEPENDENCYPART_SIBL
(0,17),(0,18),0.0189221 # DEPENDENCYPART_SIBL
(0,17),(0,19),-0.032339 # DEPENDENCYPART_SIBL
(0,17),(0,20),-0.0227283 # DEPENDENCYPART_SIBL
(0,17),(0,21),-0.0352224 # DEPENDENCYPART_SIBL
(0,17),(0,22),-0.0443884 # DEPENDENCYPART_SIBL
(0,17),(0,23),-0.0473547 # DEPENDENCYPART_SIBL
(0,18),(0,19),-0.0925869 # DEPENDENCYPART_SIBL
(0,18),(0,20),0.00999374 # DEPENDENCYPART_SIBL
(0,18),(0,21),-0.093757 # DEPENDENCYPART_SIBL
(0,18),(0,22),-0.112755 # DEPENDENCYPART_SIBL
(0,18),(0,23),-0.0912671 # DEPENDENCYPART_SIBL
(0,19),(0,20),-0.0059824 # DEPENDENCYPART_SIBL
(0,19),(0,21),-0.118303 # DEPENDENCYPART_SIBL
(0,19),(0,22),-0.153906 # DEPENDENCYPART_SIBL
(0,19),(0,23),-0.0693041 # DEPENDENCYPART_SIBL
(0,20),(0,21),-0.113466 # DEPENDENCYPART_SIBL
(0,20),(0,22),-0.132801 # DEPENDENCYPART_SIBL
(0,20),(0,23),-0.174982 # DEPENDENCYPART_SIBL
(0,21),(0,22),-0.123281 # DEPENDENCYPART_SIBL
(0,21),(0,23),-0.0597548 # DEPENDENCYPART_SIBL
(0,22),(0,23),-0.0347967 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.0309221 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.0764692 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.0756152 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0228538 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.0201186 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.00577106 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.00315175 # DEPENDENCYPART_SIBL
(2,1),(2,9),-0.0221216 # DEPENDENCYPART_SIBL
(2,1),(2,11),0.00514746 # DEPENDENCYPART_SIBL
(2,1),(2,12),0.0186696 # DEPENDENCYPART_SIBL
(2,1),(2,17),-0.0221216 # DEPENDENCYPART_SIBL
(2,1),(2,18),0.00514746 # DEPENDENCYPART_SIBL
(2,1),(2,19),-0.00577106 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.0278605 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.0195367 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.0218367 # DEPENDENCYPART_SIBL
(2,3),(2,9),0.00726549 # DEPENDENCYPART_SIBL
(2,3),(2,11),-0.0461343 # DEPENDENCYPART_SIBL
(2,3),(2,12),-0.135571 # DEPENDENCYPART_SIBL
(2,3),(2,17),0.00726549 # DEPENDENCYPART_SIBL
(2,3),(2,18),-0.0461343 # DEPENDENCYPART_SIBL
(2,3),(2,19),0.0195367 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.0153158 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.0149396 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.0177629 # DEPENDENCYPART_SIBL
(2,5),(2,11),-0.00796143 # DEPENDENCYPART_SIBL
(2,5),(2,12),-0.0230292 # DEPENDENCYPART_SIBL
(2,5),(2,17),-0.0177629 # DEPENDENCYPART_SIBL
(2,5),(2,18),-0.00796143 # DEPENDENCYPART_SIBL
(2,5),(2,19),-0.0153158 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.0228666 # DEPENDENCYPART_SIBL
(2,6),(2,9),-0.0409922 # DEPENDENCYPART_SIBL
(2,6),(2,11),-0.0194965 # DEPENDENCYPART_SIBL
(2,6),(2,12),0.0292044 # DEPENDENCYPART_SIBL
(2,6),(2,17),-0.0409922 # DEPENDENCYPART_SIBL
(2,6),(2,18),-0.0194965 # DEPENDENCYPART_SIBL
(2,6),(2,19),-0.0220715 # DEPENDENCYPART_SIBL
(2,7),(2,9),-0.0418639 # DEPENDENCYPART_SIBL
(2,7),(2,11),-0.0203682 # DEPENDENCYPART_SIBL
(2,7),(2,12),0.0283328 # DEPENDENCYPART_SIBL
(2,7),(2,17),-0.0418639 # DEPENDENCYPART_SIBL
(2,7),(2,18),-0.0203682 # DEPENDENCYPART_SIBL
(2,7),(2,19),-0.0229432 # DEPENDENCYPART_SIBL
(2,9),(2,11),-0.0273455 # DEPENDENCYPART_SIBL
(2,9),(2,12),-0.00893568 # DEPENDENCYPART_SIBL
(2,9),(2,17),-0.0146909 # DEPENDENCYPART_SIBL
(2,9),(2,18),-0.0273455 # DEPENDENCYPART_SIBL
(2,9),(2,19),-0.0256127 # DEPENDENCYPART_SIBL
(2,11),(2,12),0.0816093 # DEPENDENCYPART_SIBL
(2,11),(2,17),0.0167442 # DEPENDENCYPART_SIBL
(2,11),(2,18),0.0658681 # DEPENDENCYPART_SIBL
(2,11),(2,19),-0.0100983 # DEPENDENCYPART_SIBL
(2,12),(2,17),0.00677418 # DEPENDENCYPART_SIBL
(2,12),(2,18),-0.0436934 # DEPENDENCYPART_SIBL
(2,12),(2,19),0.0245284 # DEPENDENCYPART_SIBL
(2,17),(2,18),-0.0273455 # DEPENDENCYPART_SIBL
(2,17),(2,19),-0.0256127 # DEPENDENCYPART_SIBL
(2,18),(2,19),-0.0100983 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.029705 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.071277 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0330925 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.0308262 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.0961931 # DEPENDENCYPART_SIBL
(4,2),(4,22),0.397911 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.0393022 # DEPENDENCYPART_SIBL
(4,3),(4,22),0.136189 # DEPENDENCYPART_SIBL
(4,5),(4,22),-0.0168103 # DEPENDENCYPART_SIBL
(5,1),(5,2),-0.0131457 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.00316401 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.0259473 # DEPENDENCYPART_SIBL
(5,1),(5,6),0.0206767 # DEPENDENCYPART_SIBL
(5,1),(5,8),0.0483478 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.00744624 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.012718 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.0209873 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.00298676 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.0171764 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.0216438 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.00803387 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.0374452 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.00342551 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.0764692 # DEPENDENCYPART_SIBL
(6,1),(6,2),0.00025934 # DEPENDENCYPART_SIBL
(6,1),(6,3),0.00776527 # DEPENDENCYPART_SIBL
(6,1),(6,4),-0.0719613 # DEPENDENCYPART_SIBL
(6,1),(6,5),-0.0272028 # DEPENDENCYPART_SIBL
(6,1),(6,7),-0.00315175 # DEPENDENCYPART_SIBL
(6,1),(6,8),0.00593605 # DEPENDENCYPART_SIBL
(6,1),(6,10),-0.0201186 # DEPENDENCYPART_SIBL
(6,1),(6,11),0.00514746 # DEPENDENCYPART_SIBL
(6,1),(6,12),0.0186696 # DEPENDENCYPART_SIBL
(6,1),(6,14),-0.0201186 # DEPENDENCYPART_SIBL
(6,1),(6,15),-0.0586532 # DEPENDENCYPART_SIBL
(6,1),(6,16),-0.00577106 # DEPENDENCYPART_SIBL
(6,1),(6,17),-0.0221216 # DEPENDENCYPART_SIBL
(6,1),(6,20),-0.0201186 # DEPENDENCYPART_SIBL
(6,1),(6,21),-0.00577855 # DEPENDENCYPART_SIBL
