# _root_ orain , sasoi hura udazkenean enarak_bezala ostendu eta urrundu denean , etxetxoak egiteari ekin diot berriro .
#goldHeads=14,3,7,3,7,7,8,14,8,9,10,13,14,0,14,14,16,
#predictedHeads=14,3,5,3,7,7,8,0,8,9,10,13,14,0,14,14,16,
(0,2),(0,17),-0.340789 # DEPENDENCYPART_SIBL
(0,3),(0,4),0.00804559 # DEPENDENCYPART_SIBL
(0,3),(0,5),0.0509439 # DEPENDENCYPART_SIBL
(0,3),(0,6),0.0509439 # DEPENDENCYPART_SIBL
(0,3),(0,7),-0.112279 # DEPENDENCYPART_SIBL
(0,3),(0,8),-0.0875943 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.112279 # DEPENDENCYPART_SIBL
(0,3),(0,10),-0.0610106 # DEPENDENCYPART_SIBL
(0,3),(0,11),-0.13484 # DEPENDENCYPART_SIBL
(0,3),(0,12),0.0509439 # DEPENDENCYPART_SIBL
(0,3),(0,13),-0.113235 # DEPENDENCYPART_SIBL
(0,3),(0,14),-0.118746 # DEPENDENCYPART_SIBL
(0,3),(0,15),-0.0544341 # DEPENDENCYPART_SIBL
(0,3),(0,16),0.0179126 # DEPENDENCYPART_SIBL
(0,3),(0,17),-0.174982 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.0151248 # DEPENDENCYPART_SIBL
(0,4),(0,6),-0.0151248 # DEPENDENCYPART_SIBL
(0,4),(0,7),-0.122514 # DEPENDENCYPART_SIBL
(0,4),(0,8),-0.074103 # DEPENDENCYPART_SIBL
(0,4),(0,9),-0.122514 # DEPENDENCYPART_SIBL
(0,4),(0,10),-0.0579599 # DEPENDENCYPART_SIBL
(0,4),(0,11),-0.128081 # DEPENDENCYPART_SIBL
(0,4),(0,12),-0.0151248 # DEPENDENCYPART_SIBL
(0,4),(0,13),-0.122522 # DEPENDENCYPART_SIBL
(0,4),(0,14),-0.128328 # DEPENDENCYPART_SIBL
(0,4),(0,15),-0.0513836 # DEPENDENCYPART_SIBL
(0,4),(0,16),-0.0322494 # DEPENDENCYPART_SIBL
(0,4),(0,17),-0.135133 # DEPENDENCYPART_SIBL
(0,5),(0,6),0.0507301 # DEPENDENCYPART_SIBL
(0,5),(0,7),-0.112279 # DEPENDENCYPART_SIBL
(0,5),(0,8),-0.0875943 # DEPENDENCYPART_SIBL
(0,5),(0,9),-0.112279 # DEPENDENCYPART_SIBL
(0,5),(0,10),-0.0610106 # DEPENDENCYPART_SIBL
(0,5),(0,11),-0.13484 # DEPENDENCYPART_SIBL
(0,5),(0,12),0.0507301 # DEPENDENCYPART_SIBL
(0,5),(0,13),-0.113235 # DEPENDENCYPART_SIBL
(0,5),(0,14),-0.118746 # DEPENDENCYPART_SIBL
(0,5),(0,15),-0.0544341 # DEPENDENCYPART_SIBL
(0,5),(0,16),0.0179126 # DEPENDENCYPART_SIBL
(0,5),(0,17),-0.174982 # DEPENDENCYPART_SIBL
(0,6),(0,7),-0.112279 # DEPENDENCYPART_SIBL
(0,6),(0,8),-0.0875943 # DEPENDENCYPART_SIBL
(0,6),(0,9),-0.112279 # DEPENDENCYPART_SIBL
(0,6),(0,10),-0.0610106 # DEPENDENCYPART_SIBL
(0,6),(0,11),-0.13484 # DEPENDENCYPART_SIBL
(0,6),(0,12),0.0509439 # DEPENDENCYPART_SIBL
(0,6),(0,13),-0.113235 # DEPENDENCYPART_SIBL
(0,6),(0,14),-0.118746 # DEPENDENCYPART_SIBL
(0,6),(0,15),-0.0544341 # DEPENDENCYPART_SIBL
(0,6),(0,16),0.0179126 # DEPENDENCYPART_SIBL
(0,6),(0,17),-0.174982 # DEPENDENCYPART_SIBL
(0,7),(0,8),-0.126699 # DEPENDENCYPART_SIBL
(0,7),(0,9),-0.117133 # DEPENDENCYPART_SIBL
(0,7),(0,10),0.00197408 # DEPENDENCYPART_SIBL
(0,7),(0,11),-0.0464622 # DEPENDENCYPART_SIBL
(0,7),(0,12),-0.00562242 # DEPENDENCYPART_SIBL
(0,7),(0,13),-0.118198 # DEPENDENCYPART_SIBL
(0,7),(0,14),-0.12301 # DEPENDENCYPART_SIBL
(0,7),(0,15),0.0122435 # DEPENDENCYPART_SIBL
(0,7),(0,16),-0.0353304 # DEPENDENCYPART_SIBL
(0,7),(0,17),-0.0693041 # DEPENDENCYPART_SIBL
(0,8),(0,9),-0.032339 # DEPENDENCYPART_SIBL
(0,8),(0,10),-0.00607449 # DEPENDENCYPART_SIBL
(0,8),(0,11),0.0156699 # DEPENDENCYPART_SIBL
(0,8),(0,12),-0.0223684 # DEPENDENCYPART_SIBL
(0,8),(0,13),-0.0323585 # DEPENDENCYPART_SIBL
(0,8),(0,14),-0.0503651 # DEPENDENCYPART_SIBL
(0,8),(0,15),0.000501842 # DEPENDENCYPART_SIBL
(0,8),(0,16),0.0716388 # DEPENDENCYPART_SIBL
(0,8),(0,17),-0.0473547 # DEPENDENCYPART_SIBL
(0,9),(0,10),0.00197408 # DEPENDENCYPART_SIBL
(0,9),(0,11),-0.0464622 # DEPENDENCYPART_SIBL
(0,9),(0,12),-0.00562242 # DEPENDENCYPART_SIBL
(0,9),(0,13),-0.118198 # DEPENDENCYPART_SIBL
(0,9),(0,14),-0.12301 # DEPENDENCYPART_SIBL
(0,9),(0,15),0.0122435 # DEPENDENCYPART_SIBL
(0,9),(0,16),-0.0353304 # DEPENDENCYPART_SIBL
(0,9),(0,17),-0.0693041 # DEPENDENCYPART_SIBL
(0,10),(0,11),-0.0716617 # DEPENDENCYPART_SIBL
(0,10),(0,12),0.004081 # DEPENDENCYPART_SIBL
(0,10),(0,13),-0.0209465 # DEPENDENCYPART_SIBL
(0,10),(0,14),-0.0246665 # DEPENDENCYPART_SIBL
(0,10),(0,15),-0.0875031 # DEPENDENCYPART_SIBL
(0,10),(0,16),0.0191135 # DEPENDENCYPART_SIBL
(0,10),(0,17),-0.0802886 # DEPENDENCYPART_SIBL
(0,11),(0,12),-0.202026 # DEPENDENCYPART_SIBL
(0,11),(0,13),-0.293036 # DEPENDENCYPART_SIBL
(0,11),(0,14),-0.298842 # DEPENDENCYPART_SIBL
(0,11),(0,15),-0.189868 # DEPENDENCYPART_SIBL
(0,11),(0,16),-0.296863 # DEPENDENCYPART_SIBL
(0,11),(0,17),-0.340789 # DEPENDENCYPART_SIBL
(0,12),(0,13),-0.113235 # DEPENDENCYPART_SIBL
(0,12),(0,14),-0.118746 # DEPENDENCYPART_SIBL
(0,12),(0,15),-0.0544341 # DEPENDENCYPART_SIBL
(0,12),(0,16),0.0179126 # DEPENDENCYPART_SIBL
(0,12),(0,17),-0.174982 # DEPENDENCYPART_SIBL
(0,13),(0,14),-0.12301 # DEPENDENCYPART_SIBL
(0,13),(0,15),0.0122435 # DEPENDENCYPART_SIBL
(0,13),(0,16),-0.0353304 # DEPENDENCYPART_SIBL
(0,13),(0,17),-0.0693041 # DEPENDENCYPART_SIBL
(0,14),(0,15),0.00847049 # DEPENDENCYPART_SIBL
(0,14),(0,16),-0.0391017 # DEPENDENCYPART_SIBL
(0,14),(0,17),-0.0750202 # DEPENDENCYPART_SIBL
(0,15),(0,16),0.0194343 # DEPENDENCYPART_SIBL
(0,15),(0,17),-0.0808807 # DEPENDENCYPART_SIBL
(0,16),(0,17),-0.0649938 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0686267 # DEPENDENCYPART_SIBL
(1,2),(1,8),-0.0489033 # DEPENDENCYPART_SIBL
(1,2),(1,16),-0.154019 # DEPENDENCYPART_SIBL
(1,3),(1,8),0.0183927 # DEPENDENCYPART_SIBL
(1,3),(1,16),0.0136146 # DEPENDENCYPART_SIBL
(1,8),(1,16),0.00608854 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.015725 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.0164524 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.00710326 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0268704 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.0268704 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.0117071 # DEPENDENCYPART_SIBL
(3,1),(3,10),0.0297722 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0149514 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0562268 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0562268 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.0342394 # DEPENDENCYPART_SIBL
(3,2),(3,10),-0.0148245 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0208407 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0208407 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.0226315 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.0497439 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.00752287 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.00858012 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.00152209 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.00858012 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.00152209 # DEPENDENCYPART_SIBL
(3,8),(3,10),0.00342296 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.0427074 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.0193719 # DEPENDENCYPART_SIBL
(4,5),(4,14),-0.0195898 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.0193719 # DEPENDENCYPART_SIBL
(4,6),(4,14),-0.0195898 # DEPENDENCYPART_SIBL
(4,9),(4,14),-0.0175174 # DEPENDENCYPART_SIBL
(5,1),(5,2),-0.0164524 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.0329134 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.0266164 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.0268704 # DEPENDENCYPART_SIBL
(5,1),(5,17),0.0180432 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.115615 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.0463008 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.0562268 # DEPENDENCYPART_SIBL
(5,2),(5,17),-0.0822575 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.00895862 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.00621019 # DEPENDENCYPART_SIBL
(5,3),(5,17),-0.0274133 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.0715497 # DEPENDENCYPART_SIBL
(5,4),(5,17),-0.0327328 # DEPENDENCYPART_SIBL
(5,6),(5,17),-0.0887528 # DEPENDENCYPART_SIBL
(6,1),(6,2),-0.0164524 # DEPENDENCYPART_SIBL
(6,1),(6,3),0.0329134 # DEPENDENCYPART_SIBL
(6,1),(6,4),0.0266164 # DEPENDENCYPART_SIBL
(6,1),(6,5),0.0329134 # DEPENDENCYPART_SIBL
(6,1),(6,7),0.0114885 # DEPENDENCYPART_SIBL
(6,1),(6,9),0.0114885 # DEPENDENCYPART_SIBL
(6,1),(6,10),0.0297722 # DEPENDENCYPART_SIBL
(6,1),(6,17),0.0180432 # DEPENDENCYPART_SIBL
(6,2),(6,3),-0.115615 # DEPENDENCYPART_SIBL
(6,2),(6,4),-0.0463008 # DEPENDENCYPART_SIBL
(6,2),(6,5),-0.115615 # DEPENDENCYPART_SIBL
(6,2),(6,7),-0.0374452 # DEPENDENCYPART_SIBL
(6,2),(6,9),-0.0374452 # DEPENDENCYPART_SIBL
(6,2),(6,10),-0.0148245 # DEPENDENCYPART_SIBL
(6,2),(6,17),-0.0822575 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.00895862 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.000473384 # DEPENDENCYPART_SIBL
(6,3),(6,7),0.0206767 # DEPENDENCYPART_SIBL
(6,3),(6,9),0.0206767 # DEPENDENCYPART_SIBL
(6,3),(6,10),0.0429096 # DEPENDENCYPART_SIBL
(6,3),(6,17),-0.0274133 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.0393238 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.0411413 # DEPENDENCYPART_SIBL
(6,4),(6,9),-0.0411413 # DEPENDENCYPART_SIBL
(6,4),(6,10),-0.0241891 # DEPENDENCYPART_SIBL
(6,4),(6,17),-0.0327328 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.0206767 # DEPENDENCYPART_SIBL
(6,5),(6,9),0.0206767 # DEPENDENCYPART_SIBL
(6,5),(6,10),0.0455539 # DEPENDENCYPART_SIBL
(6,5),(6,17),-0.0274133 # DEPENDENCYPART_SIBL
(6,7),(6,9),-0.0113514 # DEPENDENCYPART_SIBL
(6,7),(6,10),0.0302937 # DEPENDENCYPART_SIBL
(6,7),(6,17),-0.0694 # DEPENDENCYPART_SIBL
(6,9),(6,10),0.0302937 # DEPENDENCYPART_SIBL
(6,9),(6,17),-0.0694 # DEPENDENCYPART_SIBL
(6,10),(6,17),-0.0549361 # DEPENDENCYPART_SIBL
(7,1),(7,2),-0.0373874 # DEPENDENCYPART_SIBL
(7,1),(7,3),-0.0257427 # DEPENDENCYPART_SIBL
(7,1),(7,4),-0.0252504 # DEPENDENCYPART_SIBL
(7,1),(7,5),-0.0147723 # DEPENDENCYPART_SIBL
(7,1),(7,6),-0.0257427 # DEPENDENCYPART_SIBL
(7,1),(7,8),-0.0146068 # DEPENDENCYPART_SIBL
(7,1),(7,9),-0.000688485 # DEPENDENCYPART_SIBL
(7,1),(7,10),0.0731648 # DEPENDENCYPART_SIBL
(7,1),(7,11),0.00988163 # DEPENDENCYPART_SIBL
(7,1),(7,12),0.0137189 # DEPENDENCYPART_SIBL
(7,1),(7,13),-0.00294466 # DEPENDENCYPART_SIBL
(7,1),(7,14),-0.000688489 # DEPENDENCYPART_SIBL
(7,1),(7,15),0.0443644 # DEPENDENCYPART_SIBL
(7,1),(7,16),-0.0142795 # DEPENDENCYPART_SIBL
(7,2),(7,3),-0.174817 # DEPENDENCYPART_SIBL
(7,2),(7,4),-0.114626 # DEPENDENCYPART_SIBL
(7,2),(7,5),-0.163846 # DEPENDENCYPART_SIBL
(7,2),(7,6),-0.174817 # DEPENDENCYPART_SIBL
(7,2),(7,8),-0.0452097 # DEPENDENCYPART_SIBL
(7,2),(7,9),-0.0159077 # DEPENDENCYPART_SIBL
(7,2),(7,10),0.00538991 # DEPENDENCYPART_SIBL
(7,2),(7,11),-0.00549256 # DEPENDENCYPART_SIBL
(7,2),(7,12),-0.00323158 # DEPENDENCYPART_SIBL
(7,2),(7,13),-0.0181639 # DEPENDENCYPART_SIBL
(7,2),(7,14),-0.0159077 # DEPENDENCYPART_SIBL
(7,2),(7,15),-0.0110623 # DEPENDENCYPART_SIBL
(7,2),(7,16),-0.00490238 # DEPENDENCYPART_SIBL
(7,3),(7,4),-0.028899 # DEPENDENCYPART_SIBL
(7,3),(7,5),0.000376939 # DEPENDENCYPART_SIBL
(7,3),(7,6),-0.0272028 # DEPENDENCYPART_SIBL
(7,3),(7,8),-0.0221216 # DEPENDENCYPART_SIBL
(7,3),(7,9),-0.00577106 # DEPENDENCYPART_SIBL
(7,3),(7,10),0.0289109 # DEPENDENCYPART_SIBL
(7,3),(7,11),0.00593605 # DEPENDENCYPART_SIBL
(7,3),(7,12),-0.0201186 # DEPENDENCYPART_SIBL
(7,3),(7,13),-0.00944285 # DEPENDENCYPART_SIBL
(7,3),(7,14),-0.00633877 # DEPENDENCYPART_SIBL
(7,3),(7,15),-0.00478131 # DEPENDENCYPART_SIBL
(7,3),(7,16),-0.0145224 # DEPENDENCYPART_SIBL
(7,4),(7,5),0.0346794 # DEPENDENCYPART_SIBL
(7,4),(7,6),0.023709 # DEPENDENCYPART_SIBL
(7,4),(7,8),-0.0331988 # DEPENDENCYPART_SIBL
(7,4),(7,9),-0.0102649 # DEPENDENCYPART_SIBL
(7,4),(7,10),0.0393078 # DEPENDENCYPART_SIBL
(7,4),(7,11),0.00344271 # DEPENDENCYPART_SIBL
(7,4),(7,12),-0.00384527 # DEPENDENCYPART_SIBL
(7,4),(7,13),-0.0125211 # DEPENDENCYPART_SIBL
(7,4),(7,14),-0.0102681 # DEPENDENCYPART_SIBL
(7,4),(7,15),0.0227334 # DEPENDENCYPART_SIBL
(7,4),(7,16),-0.0145401 # DEPENDENCYPART_SIBL
(7,5),(7,6),-0.00341391 # DEPENDENCYPART_SIBL
(7,5),(7,8),-0.00616966 # DEPENDENCYPART_SIBL
(7,5),(7,9),-0.000481954 # DEPENDENCYPART_SIBL
(7,5),(7,10),0.0394886 # DEPENDENCYPART_SIBL
(7,5),(7,11),0.0112252 # DEPENDENCYPART_SIBL
(7,5),(7,12),-0.0148711 # DEPENDENCYPART_SIBL
(7,5),(7,13),-0.00415374 # DEPENDENCYPART_SIBL
(7,5),(7,14),-0.00104966 # DEPENDENCYPART_SIBL
(7,5),(7,15),0.0057963 # DEPENDENCYPART_SIBL
(7,5),(7,16),-0.00923333 # DEPENDENCYPART_SIBL
(7,6),(7,8),-0.0221216 # DEPENDENCYPART_SIBL
