# _root_ aparicio ez zen atzoko bileran izan , haren menpeko juan chozas_lan idazkaria baizik , eta chozasek auzia bideratu beharra dagoela onartu du .
#goldHeads=6,6,6,5,6,13,6,9,12,12,10,13,15,13,0,21,18,19,20,21,15,21,22,
#predictedHeads=6,6,6,5,6,13,6,9,10,12,12,15,15,13,0,21,18,19,20,21,15,21,22,
(18,7),-1.86051 # DEPENDENCYPART_ARC
(18,8),-1.22038 # DEPENDENCYPART_ARC
(18,9),-0.825174 # DEPENDENCYPART_ARC
(18,10),-0.743934 # DEPENDENCYPART_ARC
(18,11),-0.818861 # DEPENDENCYPART_ARC
(18,12),-0.484193 # DEPENDENCYPART_ARC
(18,13),-0.168466 # DEPENDENCYPART_ARC
(18,14),-1.44457 # DEPENDENCYPART_ARC
(18,15),-0.191364 # DEPENDENCYPART_ARC
(18,16),0.799096 # DEPENDENCYPART_ARC
(18,17),1.92926 # DEPENDENCYPART_ARC
(18,19),0.686668 # DEPENDENCYPART_ARC
(18,20),-0.0128969 # DEPENDENCYPART_ARC
(18,21),-0.297113 # DEPENDENCYPART_ARC
(18,22),-0.686808 # DEPENDENCYPART_ARC
(19,13),-0.724897 # DEPENDENCYPART_ARC
(19,14),-1.33035 # DEPENDENCYPART_ARC
(19,15),-0.58537 # DEPENDENCYPART_ARC
(19,16),-2.31197 # DEPENDENCYPART_ARC
(19,17),-1.39393 # DEPENDENCYPART_ARC
(19,18),1.24978 # DEPENDENCYPART_ARC
(19,20),-0.764889 # DEPENDENCYPART_ARC
(19,21),-2.38036 # DEPENDENCYPART_ARC
(19,22),-1.22826 # DEPENDENCYPART_ARC
(19,23),-1.23601 # DEPENDENCYPART_ARC
(20,4),-0.936336 # DEPENDENCYPART_ARC
(20,5),-0.850807 # DEPENDENCYPART_ARC
(20,6),-1.35495 # DEPENDENCYPART_ARC
(20,8),-1.49106 # DEPENDENCYPART_ARC
(20,9),-1.30679 # DEPENDENCYPART_ARC
(20,10),-0.932422 # DEPENDENCYPART_ARC
(20,11),-1.21407 # DEPENDENCYPART_ARC
(20,12),0.093621 # DEPENDENCYPART_ARC
(20,13),-0.604845 # DEPENDENCYPART_ARC
(20,14),-1.11671 # DEPENDENCYPART_ARC
(20,15),-0.282141 # DEPENDENCYPART_ARC
(20,16),-0.0248664 # DEPENDENCYPART_ARC
(20,17),0.926124 # DEPENDENCYPART_ARC
(20,18),0.325915 # DEPENDENCYPART_ARC
(20,19),2.30803 # DEPENDENCYPART_ARC
(20,21),-0.527784 # DEPENDENCYPART_ARC
(20,22),-1.85607 # DEPENDENCYPART_ARC
(21,1),-0.255511 # DEPENDENCYPART_ARC
(21,4),-0.870798 # DEPENDENCYPART_ARC
(21,5),0.428998 # DEPENDENCYPART_ARC
(21,6),-0.832219 # DEPENDENCYPART_ARC
(21,7),-1.58832 # DEPENDENCYPART_ARC
(21,8),-1.05472 # DEPENDENCYPART_ARC
(21,9),-0.555023 # DEPENDENCYPART_ARC
(21,10),-0.679856 # DEPENDENCYPART_ARC
(21,11),-0.671442 # DEPENDENCYPART_ARC
(21,12),-0.34834 # DEPENDENCYPART_ARC
(21,13),-0.204904 # DEPENDENCYPART_ARC
(21,15),-0.272615 # DEPENDENCYPART_ARC
(21,16),0.334557 # DEPENDENCYPART_ARC
(21,17),0.142147 # DEPENDENCYPART_ARC
(21,18),0.00187331 # DEPENDENCYPART_ARC
(21,19),0.917673 # DEPENDENCYPART_ARC
(21,20),1.49597 # DEPENDENCYPART_ARC
(21,22),0.99881 # DEPENDENCYPART_ARC
(21,23),-0.299009 # DEPENDENCYPART_ARC
(22,19),-1.07328 # DEPENDENCYPART_ARC
(22,21),-1.43165 # DEPENDENCYPART_ARC
(22,23),1.59272 # DEPENDENCYPART_ARC
(0,1),(0,2),0.0553243 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.0830616 # DEPENDENCYPART_SIBL
(0,1),(0,4),0.0256664 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.0983313 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.13484 # DEPENDENCYPART_SIBL
(0,1),(0,13),-0.0103326 # DEPENDENCYPART_SIBL
(0,1),(0,14),-0.13484 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.0875943 # DEPENDENCYPART_SIBL
(0,1),(0,16),0.0509439 # DEPENDENCYPART_SIBL
(0,1),(0,18),-0.11228 # DEPENDENCYPART_SIBL
(0,1),(0,19),0.042375 # DEPENDENCYPART_SIBL
(0,1),(0,20),-0.0489429 # DEPENDENCYPART_SIBL
(0,1),(0,21),-0.14129 # DEPENDENCYPART_SIBL
(0,1),(0,22),-0.0730112 # DEPENDENCYPART_SIBL
(0,1),(0,23),-0.174982 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.0618734 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.0278791 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.0595341 # DEPENDENCYPART_SIBL
(0,2),(0,7),-0.0841936 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.0698688 # DEPENDENCYPART_SIBL
(0,2),(0,14),-0.0841936 # DEPENDENCYPART_SIBL
(0,2),(0,15),-0.106674 # DEPENDENCYPART_SIBL
(0,2),(0,16),0.0106538 # DEPENDENCYPART_SIBL
(0,2),(0,18),-0.0925888 # DEPENDENCYPART_SIBL
(0,2),(0,19),0.00605926 # DEPENDENCYPART_SIBL
(0,2),(0,20),-0.062465 # DEPENDENCYPART_SIBL
(0,2),(0,21),-0.106246 # DEPENDENCYPART_SIBL
(0,2),(0,22),-0.0690317 # DEPENDENCYPART_SIBL
(0,2),(0,23),-0.0912671 # DEPENDENCYPART_SIBL
(0,3),(0,4),0.0414096 # DEPENDENCYPART_SIBL
(0,3),(0,6),0.0490579 # DEPENDENCYPART_SIBL
(0,3),(0,7),-0.0397155 # DEPENDENCYPART_SIBL
(0,3),(0,13),-0.0253969 # DEPENDENCYPART_SIBL
(0,3),(0,14),-0.0397155 # DEPENDENCYPART_SIBL
(0,3),(0,15),-0.0587639 # DEPENDENCYPART_SIBL
(0,3),(0,16),0.0381781 # DEPENDENCYPART_SIBL
(0,3),(0,18),0.029447 # DEPENDENCYPART_SIBL
(0,3),(0,19),0.0293105 # DEPENDENCYPART_SIBL
(0,3),(0,20),0.0201034 # DEPENDENCYPART_SIBL
(0,3),(0,21),0.0150304 # DEPENDENCYPART_SIBL
(0,3),(0,22),-0.103917 # DEPENDENCYPART_SIBL
(0,3),(0,23),-0.045241 # DEPENDENCYPART_SIBL
(0,4),(0,6),-0.00925028 # DEPENDENCYPART_SIBL
(0,4),(0,7),-0.0737934 # DEPENDENCYPART_SIBL
(0,4),(0,13),-0.0364172 # DEPENDENCYPART_SIBL
(0,4),(0,14),-0.0737934 # DEPENDENCYPART_SIBL
(0,4),(0,15),-0.0669307 # DEPENDENCYPART_SIBL
(0,4),(0,16),0.0831733 # DEPENDENCYPART_SIBL
(0,4),(0,18),-0.0313592 # DEPENDENCYPART_SIBL
(0,4),(0,19),0.0765044 # DEPENDENCYPART_SIBL
(0,4),(0,20),-0.00833355 # DEPENDENCYPART_SIBL
(0,4),(0,21),-0.0462193 # DEPENDENCYPART_SIBL
(0,4),(0,22),-0.0766289 # DEPENDENCYPART_SIBL
(0,4),(0,23),-0.0944381 # DEPENDENCYPART_SIBL
(0,6),(0,7),-0.0270911 # DEPENDENCYPART_SIBL
(0,6),(0,13),-0.0267373 # DEPENDENCYPART_SIBL
(0,6),(0,14),-0.0270911 # DEPENDENCYPART_SIBL
(0,6),(0,15),-0.142404 # DEPENDENCYPART_SIBL
(0,6),(0,16),0.049652 # DEPENDENCYPART_SIBL
(0,6),(0,18),-0.0891969 # DEPENDENCYPART_SIBL
(0,6),(0,19),0.0446406 # DEPENDENCYPART_SIBL
(0,6),(0,20),-0.0344165 # DEPENDENCYPART_SIBL
(0,6),(0,21),-0.104777 # DEPENDENCYPART_SIBL
(0,6),(0,22),0.0537918 # DEPENDENCYPART_SIBL
(0,6),(0,23),-0.0450233 # DEPENDENCYPART_SIBL
(0,7),(0,13),-0.125077 # DEPENDENCYPART_SIBL
(0,7),(0,14),-0.413823 # DEPENDENCYPART_SIBL
(0,7),(0,15),-0.226163 # DEPENDENCYPART_SIBL
(0,7),(0,16),-0.202026 # DEPENDENCYPART_SIBL
(0,7),(0,18),-0.29303 # DEPENDENCYPART_SIBL
(0,7),(0,19),-0.198371 # DEPENDENCYPART_SIBL
(0,7),(0,20),-0.211259 # DEPENDENCYPART_SIBL
(0,7),(0,21),-0.293767 # DEPENDENCYPART_SIBL
(0,7),(0,22),-0.254856 # DEPENDENCYPART_SIBL
(0,7),(0,23),-0.340789 # DEPENDENCYPART_SIBL
(0,13),(0,14),-0.0521169 # DEPENDENCYPART_SIBL
(0,13),(0,15),-0.0423602 # DEPENDENCYPART_SIBL
(0,13),(0,16),-0.0529561 # DEPENDENCYPART_SIBL
(0,13),(0,18),-0.0473269 # DEPENDENCYPART_SIBL
(0,13),(0,19),-0.0586119 # DEPENDENCYPART_SIBL
(0,13),(0,20),-0.0399972 # DEPENDENCYPART_SIBL
(0,13),(0,21),-0.0585843 # DEPENDENCYPART_SIBL
(0,13),(0,22),-0.0443846 # DEPENDENCYPART_SIBL
(0,13),(0,23),-0.09783 # DEPENDENCYPART_SIBL
(0,14),(0,15),-0.226163 # DEPENDENCYPART_SIBL
(0,14),(0,16),-0.202026 # DEPENDENCYPART_SIBL
(0,14),(0,18),-0.29303 # DEPENDENCYPART_SIBL
(0,14),(0,19),-0.198371 # DEPENDENCYPART_SIBL
(0,14),(0,20),-0.211259 # DEPENDENCYPART_SIBL
(0,14),(0,21),-0.293767 # DEPENDENCYPART_SIBL
(0,14),(0,22),-0.254856 # DEPENDENCYPART_SIBL
(0,14),(0,23),-0.340789 # DEPENDENCYPART_SIBL
(0,15),(0,16),-0.0223684 # DEPENDENCYPART_SIBL
(0,15),(0,18),-0.0323409 # DEPENDENCYPART_SIBL
(0,15),(0,19),-0.0290804 # DEPENDENCYPART_SIBL
(0,15),(0,20),-0.0834836 # DEPENDENCYPART_SIBL
(0,15),(0,21),-0.0440672 # DEPENDENCYPART_SIBL
(0,15),(0,22),-0.0180094 # DEPENDENCYPART_SIBL
(0,15),(0,23),-0.0473547 # DEPENDENCYPART_SIBL
(0,16),(0,18),-0.11228 # DEPENDENCYPART_SIBL
(0,16),(0,19),0.042375 # DEPENDENCYPART_SIBL
(0,16),(0,20),-0.0489429 # DEPENDENCYPART_SIBL
(0,16),(0,21),-0.14129 # DEPENDENCYPART_SIBL
(0,16),(0,22),-0.0730112 # DEPENDENCYPART_SIBL
(0,16),(0,23),-0.174982 # DEPENDENCYPART_SIBL
(0,18),(0,19),-0.0106338 # DEPENDENCYPART_SIBL
(0,18),(0,20),-0.0570554 # DEPENDENCYPART_SIBL
(0,18),(0,21),-0.13272 # DEPENDENCYPART_SIBL
(0,18),(0,22),-0.0101621 # DEPENDENCYPART_SIBL
(0,18),(0,23),-0.0693041 # DEPENDENCYPART_SIBL
(0,19),(0,20),-0.0428252 # DEPENDENCYPART_SIBL
(0,19),(0,21),-0.141307 # DEPENDENCYPART_SIBL
(0,19),(0,22),-0.07305 # DEPENDENCYPART_SIBL
(0,19),(0,23),-0.174987 # DEPENDENCYPART_SIBL
(0,20),(0,21),-0.192941 # DEPENDENCYPART_SIBL
(0,20),(0,22),-0.0836496 # DEPENDENCYPART_SIBL
(0,20),(0,23),-0.107666 # DEPENDENCYPART_SIBL
(0,21),(0,22),-0.0448142 # DEPENDENCYPART_SIBL
(0,21),(0,23),-0.129709 # DEPENDENCYPART_SIBL
(0,22),(0,23),-0.0585579 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0776308 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.033567 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.00818966 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.0235146 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.152994 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.0086012 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.0168235 # DEPENDENCYPART_SIBL
(5,1),(5,6),0.0124098 # DEPENDENCYPART_SIBL
(5,1),(5,7),0.0508519 # DEPENDENCYPART_SIBL
(5,1),(5,8),-0.0125131 # DEPENDENCYPART_SIBL
(5,1),(5,10),-0.0122786 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.14869 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.026645 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.0621587 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.0144517 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.0129742 # DEPENDENCYPART_SIBL
(5,2),(5,10),-0.00374234 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.0078439 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.0134625 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.00913912 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.0304204 # DEPENDENCYPART_SIBL
(5,3),(5,10),-0.0354013 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.0368295 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.0438602 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.016338 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.0180578 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.0829804 # DEPENDENCYPART_SIBL
(5,6),(5,8),0.0242318 # DEPENDENCYPART_SIBL
(5,6),(5,10),0.0204414 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.0826506 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.0493486 # DEPENDENCYPART_SIBL
(5,8),(5,10),-0.0116196 # DEPENDENCYPART_SIBL
(6,1),(6,2),0.0251579 # DEPENDENCYPART_SIBL
(6,1),(6,3),0.0428624 # DEPENDENCYPART_SIBL
(6,1),(6,4),-0.00489261 # DEPENDENCYPART_SIBL
(6,1),(6,5),-0.0197356 # DEPENDENCYPART_SIBL
(6,1),(6,7),0.0391094 # DEPENDENCYPART_SIBL
(6,1),(6,8),-0.0309276 # DEPENDENCYPART_SIBL
(6,1),(6,9),-0.00716863 # DEPENDENCYPART_SIBL
(6,1),(6,10),-0.0264838 # DEPENDENCYPART_SIBL
(6,1),(6,11),-0.00716863 # DEPENDENCYPART_SIBL
(6,1),(6,12),-0.00609756 # DEPENDENCYPART_SIBL
(6,1),(6,13),-0.00745542 # DEPENDENCYPART_SIBL
(6,1),(6,14),0.0391094 # DEPENDENCYPART_SIBL
(6,1),(6,15),-0.0288558 # DEPENDENCYPART_SIBL
(6,1),(6,17),0.0148144 # DEPENDENCYPART_SIBL
(6,1),(6,18),0.0309902 # DEPENDENCYPART_SIBL
(6,1),(6,19),0.00403188 # DEPENDENCYPART_SIBL
(6,1),(6,20),-0.0135891 # DEPENDENCYPART_SIBL
(6,1),(6,21),0.015537 # DEPENDENCYPART_SIBL
(6,1),(6,22),0.0140773 # DEPENDENCYPART_SIBL
(6,2),(6,3),0.457395 # DEPENDENCYPART_SIBL
(6,2),(6,4),0.0962783 # DEPENDENCYPART_SIBL
(6,2),(6,5),0.0601491 # DEPENDENCYPART_SIBL
(6,2),(6,7),0.0513119 # DEPENDENCYPART_SIBL
(6,2),(6,8),-0.0697894 # DEPENDENCYPART_SIBL
(6,2),(6,9),-0.00389032 # DEPENDENCYPART_SIBL
(6,2),(6,10),-0.0127117 # DEPENDENCYPART_SIBL
(6,2),(6,11),-0.00389032 # DEPENDENCYPART_SIBL
(6,2),(6,12),-0.00590752 # DEPENDENCYPART_SIBL
(6,2),(6,13),-0.100786 # DEPENDENCYPART_SIBL
(6,2),(6,14),0.0513119 # DEPENDENCYPART_SIBL
(6,2),(6,15),-0.0617374 # DEPENDENCYPART_SIBL
(6,2),(6,17),0.00351513 # DEPENDENCYPART_SIBL
(6,2),(6,18),0.0304736 # DEPENDENCYPART_SIBL
(6,2),(6,19),-0.00669375 # DEPENDENCYPART_SIBL
(6,2),(6,20),-0.0206493 # DEPENDENCYPART_SIBL
(6,2),(6,21),0.0267468 # DEPENDENCYPART_SIBL
(6,2),(6,22),-0.27559 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.0395023 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.0423444 # DEPENDENCYPART_SIBL
(6,3),(6,7),0.0555291 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.0342165 # DEPENDENCYPART_SIBL
(6,3),(6,9),-0.0016645 # DEPENDENCYPART_SIBL
(6,3),(6,10),-0.0104859 # DEPENDENCYPART_SIBL
(6,3),(6,11),-0.0016645 # DEPENDENCYPART_SIBL
(6,3),(6,12),-0.00368169 # DEPENDENCYPART_SIBL
(6,3),(6,13),-0.0718303 # DEPENDENCYPART_SIBL
(6,3),(6,14),0.0555291 # DEPENDENCYPART_SIBL
(6,3),(6,15),-0.067596 # DEPENDENCYPART_SIBL
(6,3),(6,17),0.00574095 # DEPENDENCYPART_SIBL
(6,3),(6,18),0.0120496 # DEPENDENCYPART_SIBL
(6,3),(6,19),-0.00436505 # DEPENDENCYPART_SIBL
(6,3),(6,20),-0.0101163 # DEPENDENCYPART_SIBL
(6,3),(6,21),0.00832685 # DEPENDENCYPART_SIBL
(6,3),(6,22),-0.0849702 # DEPENDENCYPART_SIBL
(6,4),(6,5),-0.0337724 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.0387323 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.0328465 # DEPENDENCYPART_SIBL
(6,4),(6,9),-0.0336046 # DEPENDENCYPART_SIBL
(6,4),(6,10),-0.0446705 # DEPENDENCYPART_SIBL
(6,4),(6,11),-0.0336046 # DEPENDENCYPART_SIBL
(6,4),(6,12),-0.0356218 # DEPENDENCYPART_SIBL
(6,4),(6,13),-0.0702082 # DEPENDENCYPART_SIBL
(6,4),(6,14),-0.0387323 # DEPENDENCYPART_SIBL
(6,4),(6,15),-0.0617264 # DEPENDENCYPART_SIBL
(6,4),(6,17),-0.0261992 # DEPENDENCYPART_SIBL
(6,4),(6,18),-0.015403 # DEPENDENCYPART_SIBL
(6,4),(6,19),-0.0387174 # DEPENDENCYPART_SIBL
(6,4),(6,20),-0.0375968 # DEPENDENCYPART_SIBL
(6,4),(6,21),-0.0190998 # DEPENDENCYPART_SIBL
(6,4),(6,22),0.0187506 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.046155 # DEPENDENCYPART_SIBL
(6,5),(6,8),-0.0275886 # DEPENDENCYPART_SIBL
(6,5),(6,9),-0.0213657 # DEPENDENCYPART_SIBL
(6,5),(6,10),-0.0406809 # DEPENDENCYPART_SIBL
(6,5),(6,11),-0.0213657 # DEPENDENCYPART_SIBL
(6,5),(6,12),-0.0202947 # DEPENDENCYPART_SIBL
(6,5),(6,13),-0.00411639 # DEPENDENCYPART_SIBL
(6,5),(6,14),0.046155 # DEPENDENCYPART_SIBL
(6,5),(6,15),-0.0255168 # DEPENDENCYPART_SIBL
(6,5),(6,17),0.00061733 # DEPENDENCYPART_SIBL
(6,5),(6,18),0.0393216 # DEPENDENCYPART_SIBL
(6,5),(6,19),-0.0101652 # DEPENDENCYPART_SIBL
(6,5),(6,20),-0.0102572 # DEPENDENCYPART_SIBL
(6,5),(6,21),0.0238683 # DEPENDENCYPART_SIBL
(6,5),(6,22),0.0309374 # DEPENDENCYPART_SIBL
(6,7),(6,8),-0.106084 # DEPENDENCYPART_SIBL
(6,7),(6,9),-0.11544 # DEPENDENCYPART_SIBL
