# _root_ elkartasun taldeak ugaritu arren zeregin asko dagoela ere argi dute , eta beraz , jarraitu beharra dagoela .
#goldHeads=2,3,7,3,7,5,10,0,10,12,10,0,0,13,16,17,12,17,
#predictedHeads=2,3,12,0,7,5,10,0,10,12,10,0,0,13,16,17,12,17,
(12,15),-0.331288 # DEPENDENCYPART_ARC
(12,16),-0.545919 # DEPENDENCYPART_ARC
(12,17),-0.414955 # DEPENDENCYPART_ARC
(13,10),-1.0716 # DEPENDENCYPART_ARC
(13,14),0.802981 # DEPENDENCYPART_ARC
(13,15),-0.648155 # DEPENDENCYPART_ARC
(13,16),-1.14192 # DEPENDENCYPART_ARC
(13,17),-0.729913 # DEPENDENCYPART_ARC
(14,7),-0.905494 # DEPENDENCYPART_ARC
(14,10),-0.948469 # DEPENDENCYPART_ARC
(14,12),-0.827747 # DEPENDENCYPART_ARC
(14,15),-0.335981 # DEPENDENCYPART_ARC
(14,16),-1.19189 # DEPENDENCYPART_ARC
(14,17),-0.787783 # DEPENDENCYPART_ARC
(15,1),-1.54324 # DEPENDENCYPART_ARC
(15,2),-0.822676 # DEPENDENCYPART_ARC
(15,3),-1.07894 # DEPENDENCYPART_ARC
(15,5),-1.2394 # DEPENDENCYPART_ARC
(15,6),-1.61498 # DEPENDENCYPART_ARC
(15,7),-0.385137 # DEPENDENCYPART_ARC
(15,8),-0.753552 # DEPENDENCYPART_ARC
(15,9),-1.02857 # DEPENDENCYPART_ARC
(15,10),-0.445195 # DEPENDENCYPART_ARC
(15,11),-1.23863 # DEPENDENCYPART_ARC
(15,12),-0.0931929 # DEPENDENCYPART_ARC
(15,13),0.0112389 # DEPENDENCYPART_ARC
(15,14),-0.3833 # DEPENDENCYPART_ARC
(15,16),0.572594 # DEPENDENCYPART_ARC
(15,17),0.0546461 # DEPENDENCYPART_ARC
(16,3),-0.67943 # DEPENDENCYPART_ARC
(16,9),-0.831314 # DEPENDENCYPART_ARC
(16,11),-1.16878 # DEPENDENCYPART_ARC
(16,12),-0.536171 # DEPENDENCYPART_ARC
(16,14),-0.614517 # DEPENDENCYPART_ARC
(16,15),1.3887 # DEPENDENCYPART_ARC
(16,17),-0.786648 # DEPENDENCYPART_ARC
(16,18),-0.69028 # DEPENDENCYPART_ARC
(17,1),-1.30231 # DEPENDENCYPART_ARC
(17,2),-0.891246 # DEPENDENCYPART_ARC
(17,3),-1.01048 # DEPENDENCYPART_ARC
(17,5),-1.09808 # DEPENDENCYPART_ARC
(17,7),-1.41113 # DEPENDENCYPART_ARC
(17,9),-0.732521 # DEPENDENCYPART_ARC
(17,10),-1.70645 # DEPENDENCYPART_ARC
(17,11),-1.35577 # DEPENDENCYPART_ARC
(17,12),-0.714756 # DEPENDENCYPART_ARC
(17,13),-0.12979 # DEPENDENCYPART_ARC
(17,14),-1.01063 # DEPENDENCYPART_ARC
(17,15),0.0463898 # DEPENDENCYPART_ARC
(17,16),2.05082 # DEPENDENCYPART_ARC
(17,18),1.43959 # DEPENDENCYPART_ARC
(18,16),-1.04575 # DEPENDENCYPART_ARC
(0,1),(0,2),0.0476314 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.113602 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.0569846 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.00231853 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.0502663 # DEPENDENCYPART_SIBL
(0,1),(0,8),-0.032103 # DEPENDENCYPART_SIBL
(0,1),(0,9),0.0324172 # DEPENDENCYPART_SIBL
(0,1),(0,10),-0.0471875 # DEPENDENCYPART_SIBL
(0,1),(0,11),-0.136164 # DEPENDENCYPART_SIBL
(0,1),(0,12),-0.0889177 # DEPENDENCYPART_SIBL
(0,1),(0,13),-0.0173217 # DEPENDENCYPART_SIBL
(0,1),(0,14),-0.136164 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.112607 # DEPENDENCYPART_SIBL
(0,1),(0,16),0.0390666 # DEPENDENCYPART_SIBL
(0,1),(0,17),-0.0502663 # DEPENDENCYPART_SIBL
(0,1),(0,18),-0.176306 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.11228 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.0556612 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.000995173 # DEPENDENCYPART_SIBL
(0,2),(0,7),-0.0489429 # DEPENDENCYPART_SIBL
(0,2),(0,8),-0.0307797 # DEPENDENCYPART_SIBL
(0,2),(0,9),0.0337406 # DEPENDENCYPART_SIBL
(0,2),(0,10),-0.0458642 # DEPENDENCYPART_SIBL
(0,2),(0,11),-0.13484 # DEPENDENCYPART_SIBL
(0,2),(0,12),-0.0875943 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.0159983 # DEPENDENCYPART_SIBL
(0,2),(0,14),-0.13484 # DEPENDENCYPART_SIBL
(0,2),(0,15),-0.111285 # DEPENDENCYPART_SIBL
(0,2),(0,16),0.0422178 # DEPENDENCYPART_SIBL
(0,2),(0,17),-0.0489429 # DEPENDENCYPART_SIBL
(0,2),(0,18),-0.174982 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.0491037 # DEPENDENCYPART_SIBL
(0,3),(0,6),0.00239319 # DEPENDENCYPART_SIBL
(0,3),(0,7),-0.0570554 # DEPENDENCYPART_SIBL
(0,3),(0,8),0.0601582 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.0207814 # DEPENDENCYPART_SIBL
(0,3),(0,10),-0.054151 # DEPENDENCYPART_SIBL
(0,3),(0,11),-0.0464622 # DEPENDENCYPART_SIBL
(0,3),(0,12),-0.126699 # DEPENDENCYPART_SIBL
(0,3),(0,13),-0.00356892 # DEPENDENCYPART_SIBL
(0,3),(0,14),-0.0464622 # DEPENDENCYPART_SIBL
(0,3),(0,15),-0.114886 # DEPENDENCYPART_SIBL
(0,3),(0,16),-0.0106338 # DEPENDENCYPART_SIBL
(0,3),(0,17),-0.0570554 # DEPENDENCYPART_SIBL
(0,3),(0,18),-0.0693041 # DEPENDENCYPART_SIBL
(0,4),(0,6),0.0637481 # DEPENDENCYPART_SIBL
(0,4),(0,7),0.0151463 # DEPENDENCYPART_SIBL
(0,4),(0,8),0.217576 # DEPENDENCYPART_SIBL
(0,4),(0,9),0.15064 # DEPENDENCYPART_SIBL
(0,4),(0,10),0.00452612 # DEPENDENCYPART_SIBL
(0,4),(0,11),-0.00221829 # DEPENDENCYPART_SIBL
(0,4),(0,12),0.0691346 # DEPENDENCYPART_SIBL
(0,4),(0,13),0.208895 # DEPENDENCYPART_SIBL
(0,4),(0,14),-0.00221829 # DEPENDENCYPART_SIBL
(0,4),(0,15),0.0333407 # DEPENDENCYPART_SIBL
(0,4),(0,16),-0.00896037 # DEPENDENCYPART_SIBL
(0,4),(0,17),0.0151463 # DEPENDENCYPART_SIBL
(0,4),(0,18),-0.0461492 # DEPENDENCYPART_SIBL
(0,6),(0,7),-0.067931 # DEPENDENCYPART_SIBL
(0,6),(0,8),-0.00765606 # DEPENDENCYPART_SIBL
(0,6),(0,9),-0.0111973 # DEPENDENCYPART_SIBL
(0,6),(0,10),-0.0661313 # DEPENDENCYPART_SIBL
(0,6),(0,11),-0.127788 # DEPENDENCYPART_SIBL
(0,6),(0,12),-0.0687864 # DEPENDENCYPART_SIBL
(0,6),(0,13),-0.00408631 # DEPENDENCYPART_SIBL
(0,6),(0,14),-0.127788 # DEPENDENCYPART_SIBL
(0,6),(0,15),-0.115372 # DEPENDENCYPART_SIBL
(0,6),(0,16),-0.0189139 # DEPENDENCYPART_SIBL
(0,6),(0,17),-0.067931 # DEPENDENCYPART_SIBL
(0,6),(0,18),-0.134894 # DEPENDENCYPART_SIBL
(0,7),(0,8),-0.0447478 # DEPENDENCYPART_SIBL
(0,7),(0,9),-0.0526707 # DEPENDENCYPART_SIBL
(0,7),(0,10),-0.0999551 # DEPENDENCYPART_SIBL
(0,7),(0,11),-0.0779092 # DEPENDENCYPART_SIBL
(0,7),(0,12),-0.0841896 # DEPENDENCYPART_SIBL
(0,7),(0,13),-0.0396605 # DEPENDENCYPART_SIBL
(0,7),(0,14),-0.0779092 # DEPENDENCYPART_SIBL
(0,7),(0,15),-0.176519 # DEPENDENCYPART_SIBL
(0,7),(0,16),-0.0352271 # DEPENDENCYPART_SIBL
(0,7),(0,17),-0.101196 # DEPENDENCYPART_SIBL
(0,7),(0,18),-0.107666 # DEPENDENCYPART_SIBL
(0,8),(0,9),0.206959 # DEPENDENCYPART_SIBL
(0,8),(0,10),0.0431045 # DEPENDENCYPART_SIBL
(0,8),(0,11),0.0365151 # DEPENDENCYPART_SIBL
(0,8),(0,12),-0.0685651 # DEPENDENCYPART_SIBL
(0,8),(0,13),0.0962356 # DEPENDENCYPART_SIBL
(0,8),(0,14),0.0365151 # DEPENDENCYPART_SIBL
(0,8),(0,15),0.0290468 # DEPENDENCYPART_SIBL
(0,8),(0,16),-0.0535015 # DEPENDENCYPART_SIBL
(0,8),(0,17),0.0505586 # DEPENDENCYPART_SIBL
(0,8),(0,18),-0.0225006 # DEPENDENCYPART_SIBL
(0,9),(0,10),-0.0204439 # DEPENDENCYPART_SIBL
(0,9),(0,11),-0.0788627 # DEPENDENCYPART_SIBL
(0,9),(0,12),-0.0684649 # DEPENDENCYPART_SIBL
(0,9),(0,13),-0.027571 # DEPENDENCYPART_SIBL
(0,9),(0,14),-0.0788627 # DEPENDENCYPART_SIBL
(0,9),(0,15),-0.0315266 # DEPENDENCYPART_SIBL
(0,9),(0,16),0.0753929 # DEPENDENCYPART_SIBL
(0,9),(0,17),-0.0180722 # DEPENDENCYPART_SIBL
(0,9),(0,18),-0.0991126 # DEPENDENCYPART_SIBL
(0,10),(0,11),-0.0700228 # DEPENDENCYPART_SIBL
(0,10),(0,12),-0.100114 # DEPENDENCYPART_SIBL
(0,10),(0,13),-0.0472142 # DEPENDENCYPART_SIBL
(0,10),(0,14),-0.0700228 # DEPENDENCYPART_SIBL
(0,10),(0,15),-0.159299 # DEPENDENCYPART_SIBL
(0,10),(0,16),-0.0269879 # DEPENDENCYPART_SIBL
(0,10),(0,17),-0.104069 # DEPENDENCYPART_SIBL
(0,10),(0,18),-0.0990609 # DEPENDENCYPART_SIBL
(0,11),(0,12),-0.226163 # DEPENDENCYPART_SIBL
(0,11),(0,13),-0.149322 # DEPENDENCYPART_SIBL
(0,11),(0,14),-0.413823 # DEPENDENCYPART_SIBL
(0,11),(0,15),-0.291913 # DEPENDENCYPART_SIBL
(0,11),(0,16),-0.198371 # DEPENDENCYPART_SIBL
(0,11),(0,17),-0.211259 # DEPENDENCYPART_SIBL
(0,11),(0,18),-0.340789 # DEPENDENCYPART_SIBL
(0,12),(0,13),0.0943566 # DEPENDENCYPART_SIBL
(0,12),(0,14),0.0156699 # DEPENDENCYPART_SIBL
(0,12),(0,15),-0.0258672 # DEPENDENCYPART_SIBL
(0,12),(0,16),-0.0290804 # DEPENDENCYPART_SIBL
(0,12),(0,17),-0.0834836 # DEPENDENCYPART_SIBL
(0,12),(0,18),-0.0473547 # DEPENDENCYPART_SIBL
(0,13),(0,14),-0.0152699 # DEPENDENCYPART_SIBL
(0,13),(0,15),0.0284082 # DEPENDENCYPART_SIBL
(0,13),(0,16),-0.0258364 # DEPENDENCYPART_SIBL
(0,13),(0,17),0.0126045 # DEPENDENCYPART_SIBL
(0,13),(0,18),-0.0570051 # DEPENDENCYPART_SIBL
(0,14),(0,15),-0.291913 # DEPENDENCYPART_SIBL
(0,14),(0,16),-0.198371 # DEPENDENCYPART_SIBL
(0,14),(0,17),-0.211259 # DEPENDENCYPART_SIBL
(0,14),(0,18),-0.340789 # DEPENDENCYPART_SIBL
(0,15),(0,16),-0.0185623 # DEPENDENCYPART_SIBL
(0,15),(0,17),-0.0649819 # DEPENDENCYPART_SIBL
(0,15),(0,18),-0.0822947 # DEPENDENCYPART_SIBL
(0,16),(0,17),-0.0428252 # DEPENDENCYPART_SIBL
(0,16),(0,18),-0.174987 # DEPENDENCYPART_SIBL
(0,17),(0,18),-0.107666 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.000916321 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.019892 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.0062414 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.0188471 # DEPENDENCYPART_SIBL
(2,1),(2,9),-0.036704 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.00638306 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.0301459 # DEPENDENCYPART_SIBL
(2,3),(2,9),0.010524 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.000785746 # DEPENDENCYPART_SIBL
(2,5),(2,9),0.020602 # DEPENDENCYPART_SIBL
(2,6),(2,9),0.0201545 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.0206163 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.0281283 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0191006 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.0459159 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.00972212 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.09047 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.0307869 # DEPENDENCYPART_SIBL
(3,1),(3,10),-0.0549618 # DEPENDENCYPART_SIBL
(3,1),(3,11),0.00906945 # DEPENDENCYPART_SIBL
(3,1),(3,12),-0.0210777 # DEPENDENCYPART_SIBL
(3,1),(3,17),-0.00972212 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0316915 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0109978 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.041656 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.00546078 # DEPENDENCYPART_SIBL
(3,2),(3,8),0.0940332 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.0265324 # DEPENDENCYPART_SIBL
(3,2),(3,10),-0.0507005 # DEPENDENCYPART_SIBL
(3,2),(3,11),0.00935273 # DEPENDENCYPART_SIBL
(3,2),(3,12),-0.0181981 # DEPENDENCYPART_SIBL
(3,2),(3,17),-0.00546078 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0191534 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.00716192 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0243478 # DEPENDENCYPART_SIBL
(3,4),(3,8),0.0302179 # DEPENDENCYPART_SIBL
(3,4),(3,9),0.027953 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.0470793 # DEPENDENCYPART_SIBL
(3,4),(3,11),-0.0405854 # DEPENDENCYPART_SIBL
(3,4),(3,12),0.0105424 # DEPENDENCYPART_SIBL
(3,4),(3,17),-0.0243478 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.000116756 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.0585047 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0401203 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.00644232 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.074523 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.0287287 # DEPENDENCYPART_SIBL
(3,5),(3,12),-0.0177629 # DEPENDENCYPART_SIBL
(3,5),(3,17),-0.0585047 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.02681 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.0140215 # DEPENDENCYPART_SIBL
(3,6),(3,9),0.0118466 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.0442963 # DEPENDENCYPART_SIBL
(3,6),(3,11),-0.0569169 # DEPENDENCYPART_SIBL
(3,6),(3,12),0.0125658 # DEPENDENCYPART_SIBL
(3,6),(3,17),-0.02681 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.0475556 # DEPENDENCYPART_SIBL
(3,7),(3,9),0.00263716 # DEPENDENCYPART_SIBL
(3,7),(3,10),-0.0305035 # DEPENDENCYPART_SIBL
(3,7),(3,11),-0.0109166 # DEPENDENCYPART_SIBL
(3,7),(3,12),-0.0283961 # DEPENDENCYPART_SIBL
(3,7),(3,17),-0.0125878 # DEPENDENCYPART_SIBL
(3,8),(3,9),0.0636172 # DEPENDENCYPART_SIBL
(3,8),(3,10),-0.0237339 # DEPENDENCYPART_SIBL
(3,8),(3,11),-0.0102427 # DEPENDENCYPART_SIBL
(3,8),(3,12),-0.0237263 # DEPENDENCYPART_SIBL
(3,8),(3,17),-0.00332474 # DEPENDENCYPART_SIBL
(3,9),(3,10),-0.046074 # DEPENDENCYPART_SIBL
(3,9),(3,11),-0.0615973 # DEPENDENCYPART_SIBL
(3,9),(3,12),-0.0144679 # DEPENDENCYPART_SIBL
(3,9),(3,17),-0.0250854 # DEPENDENCYPART_SIBL
(3,10),(3,11),0.000104432 # DEPENDENCYPART_SIBL
(3,10),(3,12),-0.0503087 # DEPENDENCYPART_SIBL
(3,10),(3,17),-0.00838073 # DEPENDENCYPART_SIBL
(3,11),(3,12),-0.0468171 # DEPENDENCYPART_SIBL
(3,11),(3,17),-0.0410168 # DEPENDENCYPART_SIBL
(3,12),(3,17),-0.0421371 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.0263612 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.051284 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.0532498 # DEPENDENCYPART_SIBL
(5,1),(5,2),-0.00793243 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.0131457 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.000331653 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.0188428 # DEPENDENCYPART_SIBL
(5,1),(5,7),0.00182979 # DEPENDENCYPART_SIBL
(5,1),(5,8),-0.00510624 # DEPENDENCYPART_SIBL
(5,1),(5,9),-0.0366997 # DEPENDENCYPART_SIBL
(5,1),(5,15),0.0162196 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.013497 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.000341947 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.0199027 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.000770615 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.00651396 # DEPENDENCYPART_SIBL
(5,2),(5,9),-0.0377623 # DEPENDENCYPART_SIBL
(5,2),(5,15),0.0161619 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.0450564 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.0189777 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.115772 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.0168026 # DEPENDENCYPART_SIBL
(5,3),(5,9),1.827e-05 # DEPENDENCYPART_SIBL
(5,3),(5,15),0.0167975 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.0386699 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.014753 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.000520897 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.0293237 # DEPENDENCYPART_SIBL
(5,4),(5,15),-0.010787 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.0301509 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.0181613 # DEPENDENCYPART_SIBL
(5,6),(5,9),0.0201545 # DEPENDENCYPART_SIBL
(5,6),(5,15),-0.0685551 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.024964 # DEPENDENCYPART_SIBL
(5,7),(5,9),0.0118819 # DEPENDENCYPART_SIBL
(5,7),(5,15),-0.0326478 # DEPENDENCYPART_SIBL
(5,8),(5,9),0.0739927 # DEPENDENCYPART_SIBL
(5,8),(5,15),-0.00627366 # DEPENDENCYPART_SIBL
(5,9),(5,15),-0.0166927 # DEPENDENCYPART_SIBL
(7,1),(7,2),-0.0452401 # DEPENDENCYPART_SIBL
(7,1),(7,3),0.0141986 # DEPENDENCYPART_SIBL
(7,1),(7,4),-0.0133872 # DEPENDENCYPART_SIBL
(7,1),(7,5),-0.0451496 # DEPENDENCYPART_SIBL
(7,1),(7,6),-0.015273 # DEPENDENCYPART_SIBL
(7,1),(7,8),0.0259842 # DEPENDENCYPART_SIBL
(7,1),(7,9),-0.0120202 # DEPENDENCYPART_SIBL
(7,1),(7,10),-0.0430979 # DEPENDENCYPART_SIBL
(7,1),(7,12),0.00380543 # DEPENDENCYPART_SIBL
(7,1),(7,15),-0.00463708 # DEPENDENCYPART_SIBL
(7,1),(7,16),-0.0101019 # DEPENDENCYPART_SIBL
(7,1),(7,17),-0.0126956 # DEPENDENCYPART_SIBL
(7,2),(7,3),0.0147493 # DEPENDENCYPART_SIBL
(7,2),(7,4),-0.0124631 # DEPENDENCYPART_SIBL
(7,2),(7,5),-0.0393154 # DEPENDENCYPART_SIBL
(7,2),(7,6),-0.014371 # DEPENDENCYPART_SIBL
(7,2),(7,8),0.0266992 # DEPENDENCYPART_SIBL
(7,2),(7,9),-0.0109597 # DEPENDENCYPART_SIBL
(7,2),(7,10),-0.0420341 # DEPENDENCYPART_SIBL
(7,2),(7,12),0.00417876 # DEPENDENCYPART_SIBL
(7,2),(7,15),-0.00232979 # DEPENDENCYPART_SIBL
(7,2),(7,16),-0.00709338 # DEPENDENCYPART_SIBL
(7,2),(7,17),-0.0116318 # DEPENDENCYPART_SIBL
(7,3),(7,4),0.0261537 # DEPENDENCYPART_SIBL
(7,3),(7,5),-0.0071406 # DEPENDENCYPART_SIBL
(7,3),(7,6),-0.00414331 # DEPENDENCYPART_SIBL
(7,3),(7,8),0.00442595 # DEPENDENCYPART_SIBL
(7,3),(7,9),-0.000545577 # DEPENDENCYPART_SIBL
(7,3),(7,10),0.0619037 # DEPENDENCYPART_SIBL
(7,3),(7,12),0.00846084 # DEPENDENCYPART_SIBL
(7,3),(7,15),-0.0142185 # DEPENDENCYPART_SIBL
(7,3),(7,16),-0.0135825 # DEPENDENCYPART_SIBL
(7,3),(7,17),0.044874 # DEPENDENCYPART_SIBL
