# _root_ " ez dizkiegu gauzak errazak jarriko andaluzian " , esan zuen torresek , eta polizia lanean ari_dela gehitu zuen .
#goldHeads=0,6,6,6,6,10,6,7,8,14,10,10,12,0,17,17,18,14,18,19,
#predictedHeads=0,6,6,6,6,10,6,7,8,0,10,10,12,0,17,17,18,14,18,19,
(14,12),0.292756 # DEPENDENCYPART_ARC
(14,13),-0.53755 # DEPENDENCYPART_ARC
(14,15),0.175227 # DEPENDENCYPART_ARC
(14,16),-0.359325 # DEPENDENCYPART_ARC
(14,17),0.146372 # DEPENDENCYPART_ARC
(14,18),0.223065 # DEPENDENCYPART_ARC
(15,5),-2.76745 # DEPENDENCYPART_ARC
(15,7),-2.74463 # DEPENDENCYPART_ARC
(15,12),-2.59329 # DEPENDENCYPART_ARC
(15,13),-1.60866 # DEPENDENCYPART_ARC
(15,14),-0.815213 # DEPENDENCYPART_ARC
(15,16),-0.297636 # DEPENDENCYPART_ARC
(15,17),-1.88243 # DEPENDENCYPART_ARC
(15,19),-1.41976 # DEPENDENCYPART_ARC
(15,20),-1.4874 # DEPENDENCYPART_ARC
(16,5),-2.417 # DEPENDENCYPART_ARC
(16,7),-2.76325 # DEPENDENCYPART_ARC
(16,9),-1.43973 # DEPENDENCYPART_ARC
(16,10),-1.15893 # DEPENDENCYPART_ARC
(16,12),-2.61927 # DEPENDENCYPART_ARC
(16,13),-1.12942 # DEPENDENCYPART_ARC
(16,14),-0.371544 # DEPENDENCYPART_ARC
(16,15),-0.458279 # DEPENDENCYPART_ARC
(16,17),-0.832792 # DEPENDENCYPART_ARC
(16,18),-2.55821 # DEPENDENCYPART_ARC
(16,19),-1.55288 # DEPENDENCYPART_ARC
(16,20),-1.41483 # DEPENDENCYPART_ARC
(17,4),-0.886773 # DEPENDENCYPART_ARC
(17,6),-0.449364 # DEPENDENCYPART_ARC
(17,10),-0.723094 # DEPENDENCYPART_ARC
(17,11),-1.55086 # DEPENDENCYPART_ARC
(17,12),-0.600989 # DEPENDENCYPART_ARC
(17,14),-0.367345 # DEPENDENCYPART_ARC
(17,15),0.884043 # DEPENDENCYPART_ARC
(17,16),1.50252 # DEPENDENCYPART_ARC
(17,18),0.146174 # DEPENDENCYPART_ARC
(17,19),-0.965429 # DEPENDENCYPART_ARC
(18,4),-0.976949 # DEPENDENCYPART_ARC
(18,5),-1.13377 # DEPENDENCYPART_ARC
(18,6),-0.45413 # DEPENDENCYPART_ARC
(18,7),-0.790774 # DEPENDENCYPART_ARC
(18,9),-1.51827 # DEPENDENCYPART_ARC
(18,10),-0.412364 # DEPENDENCYPART_ARC
(18,11),-1.11427 # DEPENDENCYPART_ARC
(18,12),-0.190318 # DEPENDENCYPART_ARC
(18,13),-1.41246 # DEPENDENCYPART_ARC
(18,14),-0.155063 # DEPENDENCYPART_ARC
(18,15),0.504235 # DEPENDENCYPART_ARC
(18,16),0.757424 # DEPENDENCYPART_ARC
(18,17),1.07496 # DEPENDENCYPART_ARC
(18,19),0.973999 # DEPENDENCYPART_ARC
(18,20),-0.42722 # DEPENDENCYPART_ARC
(19,15),-0.972025 # DEPENDENCYPART_ARC
(19,16),-1.03808 # DEPENDENCYPART_ARC
(19,18),-1.57658 # DEPENDENCYPART_ARC
(19,20),1.55117 # DEPENDENCYPART_ARC
(0,1),(0,2),0.0517151 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.000239346 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.154027 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.0141519 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.0442218 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.133325 # DEPENDENCYPART_SIBL
(0,1),(0,8),-0.181443 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.216774 # DEPENDENCYPART_SIBL
(0,1),(0,10),0.0620517 # DEPENDENCYPART_SIBL
(0,1),(0,11),-0.0355825 # DEPENDENCYPART_SIBL
(0,1),(0,12),-0.133324 # DEPENDENCYPART_SIBL
(0,1),(0,13),-0.216774 # DEPENDENCYPART_SIBL
(0,1),(0,14),-0.231979 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.122978 # DEPENDENCYPART_SIBL
(0,1),(0,16),-0.133891 # DEPENDENCYPART_SIBL
(0,1),(0,17),-0.0458674 # DEPENDENCYPART_SIBL
(0,1),(0,18),-0.0295154 # DEPENDENCYPART_SIBL
(0,1),(0,19),-0.0355825 # DEPENDENCYPART_SIBL
(0,1),(0,20),-0.161528 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.0418793 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.00863863 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.00298405 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.0925869 # DEPENDENCYPART_SIBL
(0,2),(0,7),0.0106533 # DEPENDENCYPART_SIBL
(0,2),(0,8),-0.111664 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.0841936 # DEPENDENCYPART_SIBL
(0,2),(0,10),-0.13003 # DEPENDENCYPART_SIBL
(0,2),(0,11),-0.0593763 # DEPENDENCYPART_SIBL
(0,2),(0,12),0.0106538 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.0841936 # DEPENDENCYPART_SIBL
(0,2),(0,14),-0.106674 # DEPENDENCYPART_SIBL
(0,2),(0,15),0.0210027 # DEPENDENCYPART_SIBL
(0,2),(0,16),0.0105701 # DEPENDENCYPART_SIBL
(0,2),(0,17),-0.0932718 # DEPENDENCYPART_SIBL
(0,2),(0,18),-0.0879549 # DEPENDENCYPART_SIBL
(0,2),(0,19),-0.0593763 # DEPENDENCYPART_SIBL
(0,2),(0,20),-0.0912671 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.0113436 # DEPENDENCYPART_SIBL
(0,3),(0,5),0.0153712 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.0128778 # DEPENDENCYPART_SIBL
(0,3),(0,7),0.0054262 # DEPENDENCYPART_SIBL
(0,3),(0,8),-0.105821 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.0716099 # DEPENDENCYPART_SIBL
(0,3),(0,10),-0.0492972 # DEPENDENCYPART_SIBL
(0,3),(0,11),-0.106315 # DEPENDENCYPART_SIBL
(0,3),(0,12),0.00542671 # DEPENDENCYPART_SIBL
(0,3),(0,13),-0.0716099 # DEPENDENCYPART_SIBL
(0,3),(0,14),-0.0452578 # DEPENDENCYPART_SIBL
(0,3),(0,15),0.00853354 # DEPENDENCYPART_SIBL
(0,3),(0,16),0.00476942 # DEPENDENCYPART_SIBL
(0,3),(0,17),-0.0107742 # DEPENDENCYPART_SIBL
(0,3),(0,18),-0.00914847 # DEPENDENCYPART_SIBL
(0,3),(0,19),-0.106315 # DEPENDENCYPART_SIBL
(0,3),(0,20),-0.0802417 # DEPENDENCYPART_SIBL
(0,4),(0,5),0.0149785 # DEPENDENCYPART_SIBL
(0,4),(0,6),-0.114568 # DEPENDENCYPART_SIBL
(0,4),(0,7),0.0472864 # DEPENDENCYPART_SIBL
(0,4),(0,8),-0.200638 # DEPENDENCYPART_SIBL
(0,4),(0,9),-0.137206 # DEPENDENCYPART_SIBL
(0,4),(0,10),-0.163045 # DEPENDENCYPART_SIBL
(0,4),(0,11),-0.0832632 # DEPENDENCYPART_SIBL
(0,4),(0,12),0.0478516 # DEPENDENCYPART_SIBL
(0,4),(0,13),-0.137206 # DEPENDENCYPART_SIBL
(0,4),(0,14),-0.08996 # DEPENDENCYPART_SIBL
(0,4),(0,15),0.0581322 # DEPENDENCYPART_SIBL
(0,4),(0,16),0.0458706 # DEPENDENCYPART_SIBL
(0,4),(0,17),-0.118946 # DEPENDENCYPART_SIBL
(0,4),(0,18),-0.113656 # DEPENDENCYPART_SIBL
(0,4),(0,19),-0.0832632 # DEPENDENCYPART_SIBL
(0,4),(0,20),-0.177348 # DEPENDENCYPART_SIBL
(0,5),(0,6),-0.098332 # DEPENDENCYPART_SIBL
(0,5),(0,7),-0.00442247 # DEPENDENCYPART_SIBL
(0,5),(0,8),-0.0966864 # DEPENDENCYPART_SIBL
(0,5),(0,9),-0.072892 # DEPENDENCYPART_SIBL
(0,5),(0,10),-0.132572 # DEPENDENCYPART_SIBL
(0,5),(0,11),-0.0483271 # DEPENDENCYPART_SIBL
(0,5),(0,12),-0.00442196 # DEPENDENCYPART_SIBL
(0,5),(0,13),-0.072892 # DEPENDENCYPART_SIBL
(0,5),(0,14),-0.0649171 # DEPENDENCYPART_SIBL
(0,5),(0,15),0.00592692 # DEPENDENCYPART_SIBL
(0,5),(0,16),-0.00460519 # DEPENDENCYPART_SIBL
(0,5),(0,17),-0.0990168 # DEPENDENCYPART_SIBL
(0,5),(0,18),-0.0937 # DEPENDENCYPART_SIBL
(0,5),(0,19),-0.0483271 # DEPENDENCYPART_SIBL
(0,5),(0,20),-0.0798058 # DEPENDENCYPART_SIBL
(0,6),(0,7),-0.00577235 # DEPENDENCYPART_SIBL
(0,6),(0,8),-0.0810397 # DEPENDENCYPART_SIBL
(0,6),(0,9),-0.0466116 # DEPENDENCYPART_SIBL
(0,6),(0,10),-0.216135 # DEPENDENCYPART_SIBL
(0,6),(0,11),0.000347641 # DEPENDENCYPART_SIBL
(0,6),(0,12),-0.00577183 # DEPENDENCYPART_SIBL
(0,6),(0,13),-0.0466116 # DEPENDENCYPART_SIBL
(0,6),(0,14),-0.127072 # DEPENDENCYPART_SIBL
(0,6),(0,15),0.00437711 # DEPENDENCYPART_SIBL
(0,6),(0,16),-0.00620973 # DEPENDENCYPART_SIBL
(0,6),(0,17),-0.117969 # DEPENDENCYPART_SIBL
(0,6),(0,18),-0.112902 # DEPENDENCYPART_SIBL
(0,6),(0,19),0.000347641 # DEPENDENCYPART_SIBL
(0,6),(0,20),-0.0694535 # DEPENDENCYPART_SIBL
(0,7),(0,8),-0.198274 # DEPENDENCYPART_SIBL
(0,7),(0,9),-0.134841 # DEPENDENCYPART_SIBL
(0,7),(0,10),-0.157064 # DEPENDENCYPART_SIBL
(0,7),(0,11),-0.0808988 # DEPENDENCYPART_SIBL
(0,7),(0,12),0.0509408 # DEPENDENCYPART_SIBL
(0,7),(0,13),-0.134841 # DEPENDENCYPART_SIBL
(0,7),(0,14),-0.0875955 # DEPENDENCYPART_SIBL
(0,7),(0,15),0.0612214 # DEPENDENCYPART_SIBL
(0,7),(0,16),0.0489597 # DEPENDENCYPART_SIBL
(0,7),(0,17),-0.112965 # DEPENDENCYPART_SIBL
(0,7),(0,18),-0.107675 # DEPENDENCYPART_SIBL
(0,7),(0,19),-0.0808988 # DEPENDENCYPART_SIBL
(0,7),(0,20),-0.174984 # DEPENDENCYPART_SIBL
(0,8),(0,9),-0.216774 # DEPENDENCYPART_SIBL
(0,8),(0,10),0.0620517 # DEPENDENCYPART_SIBL
(0,8),(0,11),-0.0355825 # DEPENDENCYPART_SIBL
(0,8),(0,12),-0.133324 # DEPENDENCYPART_SIBL
(0,8),(0,13),-0.216774 # DEPENDENCYPART_SIBL
(0,8),(0,14),-0.231979 # DEPENDENCYPART_SIBL
(0,8),(0,15),-0.122978 # DEPENDENCYPART_SIBL
(0,8),(0,16),-0.133891 # DEPENDENCYPART_SIBL
(0,8),(0,17),-0.0458674 # DEPENDENCYPART_SIBL
(0,8),(0,18),-0.0295154 # DEPENDENCYPART_SIBL
(0,8),(0,19),-0.0355825 # DEPENDENCYPART_SIBL
(0,8),(0,20),-0.161528 # DEPENDENCYPART_SIBL
(0,9),(0,10),-0.2508 # DEPENDENCYPART_SIBL
(0,9),(0,11),-0.231843 # DEPENDENCYPART_SIBL
(0,9),(0,12),-0.202026 # DEPENDENCYPART_SIBL
(0,9),(0,13),-0.413823 # DEPENDENCYPART_SIBL
(0,9),(0,14),-0.226163 # DEPENDENCYPART_SIBL
(0,9),(0,15),-0.191679 # DEPENDENCYPART_SIBL
(0,9),(0,16),-0.202593 # DEPENDENCYPART_SIBL
(0,9),(0,17),-0.294332 # DEPENDENCYPART_SIBL
(0,9),(0,18),-0.282222 # DEPENDENCYPART_SIBL
(0,9),(0,19),-0.231843 # DEPENDENCYPART_SIBL
(0,9),(0,20),-0.340789 # DEPENDENCYPART_SIBL
(0,10),(0,11),-0.0364422 # DEPENDENCYPART_SIBL
(0,10),(0,12),-0.0539013 # DEPENDENCYPART_SIBL
(0,10),(0,13),-0.0717055 # DEPENDENCYPART_SIBL
(0,10),(0,14),-0.162379 # DEPENDENCYPART_SIBL
(0,10),(0,15),-0.0437524 # DEPENDENCYPART_SIBL
(0,10),(0,16),-0.0543392 # DEPENDENCYPART_SIBL
(0,10),(0,17),-0.179891 # DEPENDENCYPART_SIBL
(0,10),(0,18),-0.174824 # DEPENDENCYPART_SIBL
(0,10),(0,19),-0.0364422 # DEPENDENCYPART_SIBL
(0,10),(0,20),-0.0942395 # DEPENDENCYPART_SIBL
(0,11),(0,12),-0.00459371 # DEPENDENCYPART_SIBL
(0,11),(0,13),-0.107806 # DEPENDENCYPART_SIBL
(0,11),(0,14),-0.0512831 # DEPENDENCYPART_SIBL
(0,11),(0,15),-0.0064294 # DEPENDENCYPART_SIBL
(0,11),(0,16),-0.00561245 # DEPENDENCYPART_SIBL
(0,11),(0,17),-0.0355609 # DEPENDENCYPART_SIBL
(0,11),(0,18),-0.0339352 # DEPENDENCYPART_SIBL
(0,11),(0,19),-0.107281 # DEPENDENCYPART_SIBL
(0,11),(0,20),-0.114021 # DEPENDENCYPART_SIBL
(0,12),(0,13),-0.13484 # DEPENDENCYPART_SIBL
(0,12),(0,14),-0.0875943 # DEPENDENCYPART_SIBL
(0,12),(0,15),0.0612244 # DEPENDENCYPART_SIBL
(0,12),(0,16),0.0489628 # DEPENDENCYPART_SIBL
(0,12),(0,17),-0.112963 # DEPENDENCYPART_SIBL
(0,12),(0,18),-0.107674 # DEPENDENCYPART_SIBL
(0,12),(0,19),-0.0808976 # DEPENDENCYPART_SIBL
(0,12),(0,20),-0.174982 # DEPENDENCYPART_SIBL
(0,13),(0,14),-0.226163 # DEPENDENCYPART_SIBL
(0,13),(0,15),-0.191679 # DEPENDENCYPART_SIBL
(0,13),(0,16),-0.202593 # DEPENDENCYPART_SIBL
(0,13),(0,17),-0.294332 # DEPENDENCYPART_SIBL
(0,13),(0,18),-0.282222 # DEPENDENCYPART_SIBL
(0,13),(0,19),-0.231843 # DEPENDENCYPART_SIBL
(0,13),(0,20),-0.340789 # DEPENDENCYPART_SIBL
(0,14),(0,15),0.0143032 # DEPENDENCYPART_SIBL
(0,14),(0,16),-0.0231861 # DEPENDENCYPART_SIBL
(0,14),(0,17),-0.033754 # DEPENDENCYPART_SIBL
(0,14),(0,18),-0.0244968 # DEPENDENCYPART_SIBL
(0,14),(0,19),-0.0263214 # DEPENDENCYPART_SIBL
(0,14),(0,20),-0.0473547 # DEPENDENCYPART_SIBL
(0,15),(0,16),0.0928195 # DEPENDENCYPART_SIBL
(0,15),(0,17),-0.0841857 # DEPENDENCYPART_SIBL
(0,15),(0,18),-0.0788962 # DEPENDENCYPART_SIBL
(0,15),(0,19),-0.0499954 # DEPENDENCYPART_SIBL
(0,15),(0,20),-0.14408 # DEPENDENCYPART_SIBL
(0,16),(0,17),-0.109171 # DEPENDENCYPART_SIBL
(0,16),(0,18),-0.103882 # DEPENDENCYPART_SIBL
(0,16),(0,19),-0.0810367 # DEPENDENCYPART_SIBL
(0,16),(0,20),-0.175 # DEPENDENCYPART_SIBL
(0,17),(0,18),-0.112902 # DEPENDENCYPART_SIBL
(0,17),(0,19),0.000397305 # DEPENDENCYPART_SIBL
(0,17),(0,20),-0.0693441 # DEPENDENCYPART_SIBL
(0,18),(0,19),-7.21085e-05 # DEPENDENCYPART_SIBL
(0,18),(0,20),-0.069433 # DEPENDENCYPART_SIBL
(0,19),(0,20),-0.114021 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.0158544 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.0214101 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0294015 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.0342325 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.0294015 # DEPENDENCYPART_SIBL
(3,2),(3,11),-0.0983927 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.0195991 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.0530625 # DEPENDENCYPART_SIBL
(3,4),(3,11),0.00503985 # DEPENDENCYPART_SIBL
(3,5),(3,7),0.0103951 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.00953116 # DEPENDENCYPART_SIBL
(3,7),(3,11),0.00503985 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.124589 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.0081145 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.0910669 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.00329801 # DEPENDENCYPART_SIBL
(4,2),(4,11),-0.0867741 # DEPENDENCYPART_SIBL
(4,2),(4,14),-0.00659923 # DEPENDENCYPART_SIBL
(4,2),(4,15),-0.00329801 # DEPENDENCYPART_SIBL
(4,2),(4,16),-0.00351042 # DEPENDENCYPART_SIBL
(4,2),(4,17),0.091184 # DEPENDENCYPART_SIBL
(4,2),(4,18),0.087735 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0305971 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.0212099 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.0300525 # DEPENDENCYPART_SIBL
(4,3),(4,11),-0.0356915 # DEPENDENCYPART_SIBL
(4,3),(4,14),-0.00551976 # DEPENDENCYPART_SIBL
(4,3),(4,15),-0.0300535 # DEPENDENCYPART_SIBL
(4,3),(4,16),-0.0308155 # DEPENDENCYPART_SIBL
(4,3),(4,17),0.021327 # DEPENDENCYPART_SIBL
(4,3),(4,18),0.0207701 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0451055 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.00923954 # DEPENDENCYPART_SIBL
(4,5),(4,11),0.00084767 # DEPENDENCYPART_SIBL
(4,5),(4,14),-0.0776447 # DEPENDENCYPART_SIBL
(4,5),(4,15),-0.00867562 # DEPENDENCYPART_SIBL
(4,5),(4,16),-0.00897445 # DEPENDENCYPART_SIBL
(4,5),(4,17),-0.0448745 # DEPENDENCYPART_SIBL
(4,5),(4,18),-0.0450929 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.00694698 # DEPENDENCYPART_SIBL
(4,6),(4,11),0.0561108 # DEPENDENCYPART_SIBL
(4,6),(4,14),-0.00801417 # DEPENDENCYPART_SIBL
(4,6),(4,15),-0.00644971 # DEPENDENCYPART_SIBL
(4,6),(4,16),-0.00681849 # DEPENDENCYPART_SIBL
(4,6),(4,17),-0.0113522 # DEPENDENCYPART_SIBL
(4,6),(4,18),-0.0116539 # DEPENDENCYPART_SIBL
(4,7),(4,11),0.00871189 # DEPENDENCYPART_SIBL
(4,7),(4,14),-0.00858012 # DEPENDENCYPART_SIBL
(4,7),(4,15),-0.00733249 # DEPENDENCYPART_SIBL
(4,7),(4,16),-0.00926458 # DEPENDENCYPART_SIBL
(4,7),(4,17),-0.0358674 # DEPENDENCYPART_SIBL
(4,7),(4,18),-0.036113 # DEPENDENCYPART_SIBL
(4,11),(4,14),0.0264432 # DEPENDENCYPART_SIBL
(4,11),(4,15),0.0334799 # DEPENDENCYPART_SIBL
(4,11),(4,16),0.0446459 # DEPENDENCYPART_SIBL
(4,11),(4,17),0.0333812 # DEPENDENCYPART_SIBL
(4,11),(4,18),0.0294717 # DEPENDENCYPART_SIBL
(4,14),(4,15),0.00664322 # DEPENDENCYPART_SIBL
(4,14),(4,16),-0.00471336 # DEPENDENCYPART_SIBL
(4,14),(4,17),-0.0234592 # DEPENDENCYPART_SIBL
(4,14),(4,18),-0.0223283 # DEPENDENCYPART_SIBL
(4,15),(4,16),-0.00646813 # DEPENDENCYPART_SIBL
(4,15),(4,17),-0.0379918 # DEPENDENCYPART_SIBL
(4,15),(4,18),-0.0382375 # DEPENDENCYPART_SIBL
(4,16),(4,17),-0.0320587 # DEPENDENCYPART_SIBL
(4,16),(4,18),-0.0323044 # DEPENDENCYPART_SIBL
(4,17),(4,18),-0.0117643 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.0234812 # DEPENDENCYPART_SIBL
(6,2),(6,3),0.307224 # DEPENDENCYPART_SIBL
(6,2),(6,4),0.0421003 # DEPENDENCYPART_SIBL
(6,2),(6,5),0.0425834 # DEPENDENCYPART_SIBL
(6,2),(6,7),-0.0212949 # DEPENDENCYPART_SIBL
(6,2),(6,9),0.0632395 # DEPENDENCYPART_SIBL
(6,2),(6,10),-0.0126391 # DEPENDENCYPART_SIBL
(6,2),(6,11),-0.248771 # DEPENDENCYPART_SIBL
(6,2),(6,12),-0.0212949 # DEPENDENCYPART_SIBL
(6,2),(6,13),0.0632395 # DEPENDENCYPART_SIBL
(6,2),(6,14),-0.0355248 # DEPENDENCYPART_SIBL
(6,2),(6,16),-0.017538 # DEPENDENCYPART_SIBL
(6,2),(6,17),0.0364396 # DEPENDENCYPART_SIBL
(6,2),(6,18),0.0334329 # DEPENDENCYPART_SIBL
(6,2),(6,19),-0.248771 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.00594195 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.00511356 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.0128792 # DEPENDENCYPART_SIBL
(6,3),(6,9),0.0505828 # DEPENDENCYPART_SIBL
(6,3),(6,10),0.00904563 # DEPENDENCYPART_SIBL
(6,3),(6,11),-0.0911284 # DEPENDENCYPART_SIBL
(6,3),(6,12),-0.0128792 # DEPENDENCYPART_SIBL
(6,3),(6,13),0.0505828 # DEPENDENCYPART_SIBL
