# _root_ " antidemokratiko " eta " baztertzailetzat " jo zuen udalbiltza erakundea , eta haren xedeak lurraldetasuna , subiranotasuna eta eraikuntza nazionala direla azpimarratu zuen .
#goldHeads=0,4,2,8,4,4,6,13,8,11,8,11,0,15,22,19,16,19,22,19,20,23,13,23,24,
#predictedHeads=0,4,2,8,4,8,6,13,8,11,8,11,0,15,22,19,16,19,22,19,22,23,13,23,24,
(13,9),-1.08912 # DEPENDENCYPART_ARC
(13,10),-0.36339 # DEPENDENCYPART_ARC
(13,11),0.0681765 # DEPENDENCYPART_ARC
(13,12),-0.371448 # DEPENDENCYPART_ARC
(13,14),-0.988385 # DEPENDENCYPART_ARC
(13,15),0.0263023 # DEPENDENCYPART_ARC
(13,16),-0.36483 # DEPENDENCYPART_ARC
(13,17),-0.793636 # DEPENDENCYPART_ARC
(13,18),-0.704116 # DEPENDENCYPART_ARC
(13,19),-0.881195 # DEPENDENCYPART_ARC
(13,20),-1.35127 # DEPENDENCYPART_ARC
(13,22),-0.501461 # DEPENDENCYPART_ARC
(13,23),-0.114099 # DEPENDENCYPART_ARC
(14,13),-0.581789 # DEPENDENCYPART_ARC
(14,15),-0.440382 # DEPENDENCYPART_ARC
(14,16),-1.18974 # DEPENDENCYPART_ARC
(14,23),-1.3904 # DEPENDENCYPART_ARC
(15,2),-1.07245 # DEPENDENCYPART_ARC
(15,6),-1.6328 # DEPENDENCYPART_ARC
(15,10),-0.79573 # DEPENDENCYPART_ARC
(15,11),-2.2217 # DEPENDENCYPART_ARC
(15,12),-1.01719 # DEPENDENCYPART_ARC
(15,13),-0.171703 # DEPENDENCYPART_ARC
(15,14),0.634812 # DEPENDENCYPART_ARC
(15,16),-0.892267 # DEPENDENCYPART_ARC
(15,17),-0.70923 # DEPENDENCYPART_ARC
(15,21),-2.20072 # DEPENDENCYPART_ARC
(16,2),-1.05364 # DEPENDENCYPART_ARC
(16,4),-1.16842 # DEPENDENCYPART_ARC
(16,6),-1.46183 # DEPENDENCYPART_ARC
(16,10),-0.512813 # DEPENDENCYPART_ARC
(16,11),-2.01136 # DEPENDENCYPART_ARC
(16,12),-1.47556 # DEPENDENCYPART_ARC
(16,13),-0.849671 # DEPENDENCYPART_ARC
(16,14),-0.491011 # DEPENDENCYPART_ARC
(16,15),-0.140749 # DEPENDENCYPART_ARC
(16,17),1.19592 # DEPENDENCYPART_ARC
(16,18),-0.822565 # DEPENDENCYPART_ARC
(16,19),-1.22639 # DEPENDENCYPART_ARC
(16,20),-1.28956 # DEPENDENCYPART_ARC
(16,21),-2.70052 # DEPENDENCYPART_ARC
(16,22),-1.88403 # DEPENDENCYPART_ARC
(16,23),-1.89071 # DEPENDENCYPART_ARC
(16,25),-1.14416 # DEPENDENCYPART_ARC
(17,15),-1.0302 # DEPENDENCYPART_ARC
(17,18),-0.478627 # DEPENDENCYPART_ARC
(17,22),-0.725818 # DEPENDENCYPART_ARC
(18,2),-1.14342 # DEPENDENCYPART_ARC
(18,6),-1.54076 # DEPENDENCYPART_ARC
(18,12),-1.6454 # DEPENDENCYPART_ARC
(18,14),-1.2707 # DEPENDENCYPART_ARC
(18,15),-1.89224 # DEPENDENCYPART_ARC
(18,16),-1.61084 # DEPENDENCYPART_ARC
(18,17),-0.0715098 # DEPENDENCYPART_ARC
(18,19),-0.718063 # DEPENDENCYPART_ARC
(18,20),-1.45863 # DEPENDENCYPART_ARC
(18,21),-2.90781 # DEPENDENCYPART_ARC
(18,24),-1.63709 # DEPENDENCYPART_ARC
(19,4),-0.480076 # DEPENDENCYPART_ARC
(19,8),-0.459207 # DEPENDENCYPART_ARC
(19,10),-0.937854 # DEPENDENCYPART_ARC
(19,11),-0.445811 # DEPENDENCYPART_ARC
(19,13),-0.498222 # DEPENDENCYPART_ARC
(19,14),-1.13205 # DEPENDENCYPART_ARC
(19,15),-0.443565 # DEPENDENCYPART_ARC
(19,16),0.366496 # DEPENDENCYPART_ARC
(19,17),-1.07214 # DEPENDENCYPART_ARC
(19,18),2.23107 # DEPENDENCYPART_ARC
(19,20),1.44649 # DEPENDENCYPART_ARC
(19,21),-0.0563841 # DEPENDENCYPART_ARC
(19,22),-0.328537 # DEPENDENCYPART_ARC
(19,23),-0.225105 # DEPENDENCYPART_ARC
(20,2),-1.91806 # DEPENDENCYPART_ARC
(20,6),-2.16111 # DEPENDENCYPART_ARC
(20,14),-2.28729 # DEPENDENCYPART_ARC
(20,17),-1.95651 # DEPENDENCYPART_ARC
(20,18),-1.56643 # DEPENDENCYPART_ARC
(20,19),-0.653606 # DEPENDENCYPART_ARC
(20,21),1.65438 # DEPENDENCYPART_ARC
(20,22),-1.09902 # DEPENDENCYPART_ARC
(20,23),-1.0642 # DEPENDENCYPART_ARC
(20,24),-1.11362 # DEPENDENCYPART_ARC
(20,25),-1.12798 # DEPENDENCYPART_ARC
(21,16),-1.10304 # DEPENDENCYPART_ARC
(21,18),-0.791129 # DEPENDENCYPART_ARC
(21,19),-0.563639 # DEPENDENCYPART_ARC
(21,20),-0.224319 # DEPENDENCYPART_ARC
(21,22),-0.981889 # DEPENDENCYPART_ARC
(22,4),-0.17895 # DEPENDENCYPART_ARC
(22,8),-1.09574 # DEPENDENCYPART_ARC
(22,10),-1.25352 # DEPENDENCYPART_ARC
(22,11),0.0703729 # DEPENDENCYPART_ARC
(22,12),-1.12921 # DEPENDENCYPART_ARC
(22,13),-0.255965 # DEPENDENCYPART_ARC
(22,14),-1.37796 # DEPENDENCYPART_ARC
(22,15),0.434341 # DEPENDENCYPART_ARC
(22,16),0.30426 # DEPENDENCYPART_ARC
(22,17),-0.989652 # DEPENDENCYPART_ARC
(22,18),0.764404 # DEPENDENCYPART_ARC
(22,19),0.0404007 # DEPENDENCYPART_ARC
(22,20),1.00838 # DEPENDENCYPART_ARC
(22,21),1.66873 # DEPENDENCYPART_ARC
(22,23),-0.45742 # DEPENDENCYPART_ARC
(22,24),-1.36277 # DEPENDENCYPART_ARC
(23,4),-0.479946 # DEPENDENCYPART_ARC
(23,8),-0.911157 # DEPENDENCYPART_ARC
(23,10),-0.754324 # DEPENDENCYPART_ARC
(23,11),-0.273272 # DEPENDENCYPART_ARC
(23,12),-1.6122 # DEPENDENCYPART_ARC
(23,13),-0.527877 # DEPENDENCYPART_ARC
(23,14),-1.48138 # DEPENDENCYPART_ARC
(23,15),0.115246 # DEPENDENCYPART_ARC
(23,16),-0.0541389 # DEPENDENCYPART_ARC
(23,17),-1.50918 # DEPENDENCYPART_ARC
(23,18),0.191851 # DEPENDENCYPART_ARC
(23,19),-0.09974 # DEPENDENCYPART_ARC
(23,20),-0.0754456 # DEPENDENCYPART_ARC
(23,21),-0.544583 # DEPENDENCYPART_ARC
(23,22),1.54876 # DEPENDENCYPART_ARC
(23,24),1.25721 # DEPENDENCYPART_ARC
(23,25),-0.258444 # DEPENDENCYPART_ARC
(24,20),-0.963221 # DEPENDENCYPART_ARC
(24,25),1.55956 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.0141519 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.181443 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.231979 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.181443 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.0141519 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.181443 # DEPENDENCYPART_SIBL
(0,1),(0,8),0.0023585 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.0355825 # DEPENDENCYPART_SIBL
(0,1),(0,10),-0.133802 # DEPENDENCYPART_SIBL
(0,1),(0,11),-0.133324 # DEPENDENCYPART_SIBL
(0,1),(0,12),-0.216774 # DEPENDENCYPART_SIBL
(0,1),(0,13),-0.231979 # DEPENDENCYPART_SIBL
(0,1),(0,14),-0.0222977 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.133324 # DEPENDENCYPART_SIBL
(0,1),(0,17),-0.216774 # DEPENDENCYPART_SIBL
(0,1),(0,18),-0.133325 # DEPENDENCYPART_SIBL
(0,1),(0,19),-0.231979 # DEPENDENCYPART_SIBL
(0,1),(0,20),-0.109298 # DEPENDENCYPART_SIBL
(0,1),(0,21),-0.0141519 # DEPENDENCYPART_SIBL
(0,1),(0,22),-0.0828038 # DEPENDENCYPART_SIBL
(0,1),(0,23),-0.00231334 # DEPENDENCYPART_SIBL
(0,1),(0,24),-0.0355825 # DEPENDENCYPART_SIBL
(0,1),(0,25),-0.161528 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.0966864 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.0649171 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.0966864 # DEPENDENCYPART_SIBL
(0,2),(0,6),0.0109805 # DEPENDENCYPART_SIBL
(0,2),(0,7),-0.0966864 # DEPENDENCYPART_SIBL
(0,2),(0,8),-0.0556229 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.0483271 # DEPENDENCYPART_SIBL
(0,2),(0,10),-0.00459709 # DEPENDENCYPART_SIBL
(0,2),(0,11),-0.00442196 # DEPENDENCYPART_SIBL
(0,2),(0,12),-0.072892 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.0649171 # DEPENDENCYPART_SIBL
(0,2),(0,14),0.0450374 # DEPENDENCYPART_SIBL
(0,2),(0,15),-0.00442196 # DEPENDENCYPART_SIBL
(0,2),(0,17),-0.072892 # DEPENDENCYPART_SIBL
(0,2),(0,18),-0.00442196 # DEPENDENCYPART_SIBL
(0,2),(0,19),-0.0649171 # DEPENDENCYPART_SIBL
(0,2),(0,20),0.0196042 # DEPENDENCYPART_SIBL
(0,2),(0,21),0.0109805 # DEPENDENCYPART_SIBL
(0,2),(0,22),-0.0445277 # DEPENDENCYPART_SIBL
(0,2),(0,23),-0.0929456 # DEPENDENCYPART_SIBL
(0,2),(0,24),-0.0483271 # DEPENDENCYPART_SIBL
(0,2),(0,25),-0.0798058 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.231979 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.181443 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.0141519 # DEPENDENCYPART_SIBL
(0,3),(0,7),-0.181443 # DEPENDENCYPART_SIBL
(0,3),(0,8),0.0023585 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.0355825 # DEPENDENCYPART_SIBL
(0,3),(0,10),-0.133802 # DEPENDENCYPART_SIBL
(0,3),(0,11),-0.133324 # DEPENDENCYPART_SIBL
(0,3),(0,12),-0.216774 # DEPENDENCYPART_SIBL
(0,3),(0,13),-0.231979 # DEPENDENCYPART_SIBL
(0,3),(0,14),-0.0222977 # DEPENDENCYPART_SIBL
(0,3),(0,15),-0.133324 # DEPENDENCYPART_SIBL
(0,3),(0,17),-0.216774 # DEPENDENCYPART_SIBL
(0,3),(0,18),-0.133325 # DEPENDENCYPART_SIBL
(0,3),(0,19),-0.231979 # DEPENDENCYPART_SIBL
(0,3),(0,20),-0.109298 # DEPENDENCYPART_SIBL
(0,3),(0,21),-0.0141519 # DEPENDENCYPART_SIBL
(0,3),(0,22),-0.0828038 # DEPENDENCYPART_SIBL
(0,3),(0,23),-0.00231334 # DEPENDENCYPART_SIBL
(0,3),(0,24),-0.0355825 # DEPENDENCYPART_SIBL
(0,3),(0,25),-0.161528 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.0798852 # DEPENDENCYPART_SIBL
(0,4),(0,6),0.0259329 # DEPENDENCYPART_SIBL
(0,4),(0,7),-0.0798852 # DEPENDENCYPART_SIBL
(0,4),(0,8),0.0197852 # DEPENDENCYPART_SIBL
(0,4),(0,9),-0.0263214 # DEPENDENCYPART_SIBL
(0,4),(0,10),-0.0225434 # DEPENDENCYPART_SIBL
(0,4),(0,11),-0.0223684 # DEPENDENCYPART_SIBL
(0,4),(0,12),0.0156699 # DEPENDENCYPART_SIBL
(0,4),(0,13),-0.0395181 # DEPENDENCYPART_SIBL
(0,4),(0,14),0.0310509 # DEPENDENCYPART_SIBL
(0,4),(0,15),-0.0223684 # DEPENDENCYPART_SIBL
(0,4),(0,17),0.0156699 # DEPENDENCYPART_SIBL
(0,4),(0,18),-0.0223684 # DEPENDENCYPART_SIBL
(0,4),(0,19),-0.0395181 # DEPENDENCYPART_SIBL
(0,4),(0,20),0.00164434 # DEPENDENCYPART_SIBL
(0,4),(0,21),0.0259329 # DEPENDENCYPART_SIBL
(0,4),(0,22),-0.0667702 # DEPENDENCYPART_SIBL
(0,4),(0,23),-0.0260641 # DEPENDENCYPART_SIBL
(0,4),(0,24),-0.0263214 # DEPENDENCYPART_SIBL
(0,4),(0,25),-0.0473547 # DEPENDENCYPART_SIBL
(0,5),(0,6),-0.0141519 # DEPENDENCYPART_SIBL
(0,5),(0,7),-0.181443 # DEPENDENCYPART_SIBL
(0,5),(0,8),0.0023585 # DEPENDENCYPART_SIBL
(0,5),(0,9),-0.0355825 # DEPENDENCYPART_SIBL
(0,5),(0,10),-0.133802 # DEPENDENCYPART_SIBL
(0,5),(0,11),-0.133324 # DEPENDENCYPART_SIBL
(0,5),(0,12),-0.216774 # DEPENDENCYPART_SIBL
(0,5),(0,13),-0.231979 # DEPENDENCYPART_SIBL
(0,5),(0,14),-0.0222977 # DEPENDENCYPART_SIBL
(0,5),(0,15),-0.133324 # DEPENDENCYPART_SIBL
(0,5),(0,17),-0.216774 # DEPENDENCYPART_SIBL
(0,5),(0,18),-0.133325 # DEPENDENCYPART_SIBL
(0,5),(0,19),-0.231979 # DEPENDENCYPART_SIBL
(0,5),(0,20),-0.109298 # DEPENDENCYPART_SIBL
(0,5),(0,21),-0.0141519 # DEPENDENCYPART_SIBL
(0,5),(0,22),-0.0828038 # DEPENDENCYPART_SIBL
(0,5),(0,23),-0.00231334 # DEPENDENCYPART_SIBL
(0,5),(0,24),-0.0355825 # DEPENDENCYPART_SIBL
(0,5),(0,25),-0.161528 # DEPENDENCYPART_SIBL
(0,6),(0,7),-0.0966864 # DEPENDENCYPART_SIBL
(0,6),(0,8),-0.0556229 # DEPENDENCYPART_SIBL
(0,6),(0,9),-0.0483271 # DEPENDENCYPART_SIBL
(0,6),(0,10),-0.00459709 # DEPENDENCYPART_SIBL
(0,6),(0,11),-0.00442196 # DEPENDENCYPART_SIBL
(0,6),(0,12),-0.072892 # DEPENDENCYPART_SIBL
(0,6),(0,13),-0.0649171 # DEPENDENCYPART_SIBL
(0,6),(0,14),0.0450374 # DEPENDENCYPART_SIBL
(0,6),(0,15),-0.00442196 # DEPENDENCYPART_SIBL
(0,6),(0,17),-0.072892 # DEPENDENCYPART_SIBL
(0,6),(0,18),-0.00442196 # DEPENDENCYPART_SIBL
(0,6),(0,19),-0.0649171 # DEPENDENCYPART_SIBL
(0,6),(0,20),0.0196042 # DEPENDENCYPART_SIBL
(0,6),(0,21),0.0109805 # DEPENDENCYPART_SIBL
(0,6),(0,22),-0.0445277 # DEPENDENCYPART_SIBL
(0,6),(0,23),-0.0929456 # DEPENDENCYPART_SIBL
(0,6),(0,24),-0.0483271 # DEPENDENCYPART_SIBL
(0,6),(0,25),-0.0798058 # DEPENDENCYPART_SIBL
(0,7),(0,8),0.0023585 # DEPENDENCYPART_SIBL
(0,7),(0,9),-0.0355825 # DEPENDENCYPART_SIBL
(0,7),(0,10),-0.133802 # DEPENDENCYPART_SIBL
(0,7),(0,11),-0.133324 # DEPENDENCYPART_SIBL
(0,7),(0,12),-0.216774 # DEPENDENCYPART_SIBL
(0,7),(0,13),-0.231979 # DEPENDENCYPART_SIBL
(0,7),(0,14),-0.0222977 # DEPENDENCYPART_SIBL
(0,7),(0,15),-0.133324 # DEPENDENCYPART_SIBL
(0,7),(0,17),-0.216774 # DEPENDENCYPART_SIBL
(0,7),(0,18),-0.133325 # DEPENDENCYPART_SIBL
(0,7),(0,19),-0.231979 # DEPENDENCYPART_SIBL
(0,7),(0,20),-0.109298 # DEPENDENCYPART_SIBL
(0,7),(0,21),-0.0141519 # DEPENDENCYPART_SIBL
(0,7),(0,22),-0.0828038 # DEPENDENCYPART_SIBL
(0,7),(0,23),-0.00231334 # DEPENDENCYPART_SIBL
(0,7),(0,24),-0.0355825 # DEPENDENCYPART_SIBL
(0,7),(0,25),-0.161528 # DEPENDENCYPART_SIBL
(0,8),(0,9),-0.0203063 # DEPENDENCYPART_SIBL
(0,8),(0,10),-0.0223053 # DEPENDENCYPART_SIBL
(0,8),(0,11),-0.0218423 # DEPENDENCYPART_SIBL
(0,8),(0,12),-0.0587361 # DEPENDENCYPART_SIBL
(0,8),(0,13),-0.15184 # DEPENDENCYPART_SIBL
(0,8),(0,14),-0.0120969 # DEPENDENCYPART_SIBL
(0,8),(0,15),-0.0218423 # DEPENDENCYPART_SIBL
(0,8),(0,17),-0.0587361 # DEPENDENCYPART_SIBL
(0,8),(0,18),-0.0218423 # DEPENDENCYPART_SIBL
(0,8),(0,19),-0.15184 # DEPENDENCYPART_SIBL
(0,8),(0,20),0.00218189 # DEPENDENCYPART_SIBL
(0,8),(0,21),-0.0163138 # DEPENDENCYPART_SIBL
(0,8),(0,22),-0.0633816 # DEPENDENCYPART_SIBL
(0,8),(0,23),-0.140434 # DEPENDENCYPART_SIBL
(0,8),(0,24),-0.0203063 # DEPENDENCYPART_SIBL
(0,8),(0,25),-0.0806904 # DEPENDENCYPART_SIBL
(0,9),(0,10),-0.00496251 # DEPENDENCYPART_SIBL
(0,9),(0,11),-0.00459371 # DEPENDENCYPART_SIBL
(0,9),(0,12),-0.107806 # DEPENDENCYPART_SIBL
(0,9),(0,13),-0.0512831 # DEPENDENCYPART_SIBL
(0,9),(0,14),-0.00385784 # DEPENDENCYPART_SIBL
(0,9),(0,15),-0.00459371 # DEPENDENCYPART_SIBL
(0,9),(0,17),-0.107806 # DEPENDENCYPART_SIBL
(0,9),(0,18),-0.00459371 # DEPENDENCYPART_SIBL
(0,9),(0,19),-0.0512831 # DEPENDENCYPART_SIBL
(0,9),(0,20),0.0279783 # DEPENDENCYPART_SIBL
(0,9),(0,21),-0.00329704 # DEPENDENCYPART_SIBL
(0,9),(0,22),-0.0213105 # DEPENDENCYPART_SIBL
(0,9),(0,23),-0.0331585 # DEPENDENCYPART_SIBL
(0,9),(0,24),-0.107281 # DEPENDENCYPART_SIBL
(0,9),(0,25),-0.114021 # DEPENDENCYPART_SIBL
(0,10),(0,11),0.0532235 # DEPENDENCYPART_SIBL
(0,10),(0,12),-0.13484 # DEPENDENCYPART_SIBL
(0,10),(0,13),-0.087685 # DEPENDENCYPART_SIBL
(0,10),(0,14),0.00545698 # DEPENDENCYPART_SIBL
(0,10),(0,15),0.0532235 # DEPENDENCYPART_SIBL
(0,10),(0,17),-0.13484 # DEPENDENCYPART_SIBL
(0,10),(0,18),0.0532235 # DEPENDENCYPART_SIBL
(0,10),(0,19),-0.087685 # DEPENDENCYPART_SIBL
(0,10),(0,20),0.118964 # DEPENDENCYPART_SIBL
(0,10),(0,21),0.0183951 # DEPENDENCYPART_SIBL
(0,10),(0,22),-0.0391894 # DEPENDENCYPART_SIBL
(0,10),(0,23),-0.111564 # DEPENDENCYPART_SIBL
(0,10),(0,24),-0.0808976 # DEPENDENCYPART_SIBL
(0,10),(0,25),-0.174982 # DEPENDENCYPART_SIBL
(0,11),(0,12),-0.13484 # DEPENDENCYPART_SIBL
(0,11),(0,13),-0.0875943 # DEPENDENCYPART_SIBL
(0,11),(0,14),0.00545713 # DEPENDENCYPART_SIBL
(0,11),(0,15),0.0509439 # DEPENDENCYPART_SIBL
(0,11),(0,17),-0.13484 # DEPENDENCYPART_SIBL
(0,11),(0,18),0.0509439 # DEPENDENCYPART_SIBL
(0,11),(0,19),-0.0875943 # DEPENDENCYPART_SIBL
(0,11),(0,20),0.116684 # DEPENDENCYPART_SIBL
(0,11),(0,21),0.0183951 # DEPENDENCYPART_SIBL
(0,11),(0,22),-0.0391876 # DEPENDENCYPART_SIBL
(0,11),(0,23),-0.114324 # DEPENDENCYPART_SIBL
(0,11),(0,24),-0.0808976 # DEPENDENCYPART_SIBL
(0,11),(0,25),-0.174982 # DEPENDENCYPART_SIBL
(0,12),(0,13),-0.226163 # DEPENDENCYPART_SIBL
(0,12),(0,14),-0.180421 # DEPENDENCYPART_SIBL
(0,12),(0,15),-0.202026 # DEPENDENCYPART_SIBL
(0,12),(0,17),-0.413823 # DEPENDENCYPART_SIBL
(0,12),(0,18),-0.202026 # DEPENDENCYPART_SIBL
(0,12),(0,19),-0.226163 # DEPENDENCYPART_SIBL
(0,12),(0,20),-0.178 # DEPENDENCYPART_SIBL
(0,12),(0,21),-0.132739 # DEPENDENCYPART_SIBL
(0,12),(0,22),-0.191606 # DEPENDENCYPART_SIBL
(0,12),(0,23),-0.265737 # DEPENDENCYPART_SIBL
(0,12),(0,24),-0.231843 # DEPENDENCYPART_SIBL
(0,12),(0,25),-0.340789 # DEPENDENCYPART_SIBL
(0,13),(0,14),0.0310509 # DEPENDENCYPART_SIBL
(0,13),(0,15),-0.0223684 # DEPENDENCYPART_SIBL
(0,13),(0,17),0.0156699 # DEPENDENCYPART_SIBL
(0,13),(0,18),-0.0223684 # DEPENDENCYPART_SIBL
(0,13),(0,19),-0.0395181 # DEPENDENCYPART_SIBL
(0,13),(0,20),0.00164434 # DEPENDENCYPART_SIBL
(0,13),(0,21),0.0259329 # DEPENDENCYPART_SIBL
(0,13),(0,22),-0.0667702 # DEPENDENCYPART_SIBL
(0,13),(0,23),-0.0260641 # DEPENDENCYPART_SIBL
(0,13),(0,24),-0.0263214 # DEPENDENCYPART_SIBL
(0,13),(0,25),-0.0473547 # DEPENDENCYPART_SIBL
(0,14),(0,15),-0.0171792 # DEPENDENCYPART_SIBL
(0,14),(0,17),-0.137291 # DEPENDENCYPART_SIBL
(0,14),(0,18),-0.0171792 # DEPENDENCYPART_SIBL
(0,14),(0,19),-0.076388 # DEPENDENCYPART_SIBL
(0,14),(0,20),0.00684689 # DEPENDENCYPART_SIBL
(0,14),(0,21),-0.0450753 # DEPENDENCYPART_SIBL
(0,14),(0,22),-0.0570746 # DEPENDENCYPART_SIBL
(0,14),(0,23),-0.119575 # DEPENDENCYPART_SIBL
(0,14),(0,24),-0.0747865 # DEPENDENCYPART_SIBL
(0,14),(0,25),-0.141104 # DEPENDENCYPART_SIBL
(0,15),(0,17),-0.13484 # DEPENDENCYPART_SIBL
(0,15),(0,18),0.0509439 # DEPENDENCYPART_SIBL
(0,15),(0,19),-0.0875943 # DEPENDENCYPART_SIBL
(0,15),(0,20),0.116684 # DEPENDENCYPART_SIBL
(0,15),(0,21),0.0183951 # DEPENDENCYPART_SIBL
(0,15),(0,22),-0.0391876 # DEPENDENCYPART_SIBL
(0,15),(0,23),-0.114324 # DEPENDENCYPART_SIBL
(0,15),(0,24),-0.0808976 # DEPENDENCYPART_SIBL
(0,15),(0,25),-0.174982 # DEPENDENCYPART_SIBL
(0,17),(0,18),-0.202026 # DEPENDENCYPART_SIBL
(0,17),(0,19),-0.226163 # DEPENDENCYPART_SIBL
(0,17),(0,20),-0.178 # DEPENDENCYPART_SIBL
