# _root_ gasteizek onartu egingo luke eaeko kuotetara iristen ez den diru kopuru bat , kontuan_hartuz forcem_espainiako langileen prestakuntzarako erakundeak ere eaen jarduten duela , hobetuzekin_batera .
#goldHeads=2,0,2,2,6,7,10,7,7,2,10,10,12,2,16,17,18,21,0,21,0,14,22,21,24,
#predictedHeads=2,0,2,2,6,7,10,7,7,14,10,11,12,2,16,18,18,21,0,21,2,21,22,21,24,
(0,1),(0,8),0.0553243 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.0683864 # DEPENDENCYPART_SIBL
(0,1),(0,12),-0.00105084 # DEPENDENCYPART_SIBL
(0,1),(0,13),-0.13484 # DEPENDENCYPART_SIBL
(0,1),(0,14),-0.116356 # DEPENDENCYPART_SIBL
(0,1),(0,19),-0.0307797 # DEPENDENCYPART_SIBL
(0,1),(0,20),0.0584384 # DEPENDENCYPART_SIBL
(0,1),(0,21),-0.112651 # DEPENDENCYPART_SIBL
(0,1),(0,22),-0.068156 # DEPENDENCYPART_SIBL
(0,1),(0,23),-0.13484 # DEPENDENCYPART_SIBL
(0,1),(0,24),0.0506956 # DEPENDENCYPART_SIBL
(0,1),(0,25),-0.174982 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.172595 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.0273567 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.0393308 # DEPENDENCYPART_SIBL
(0,2),(0,7),-0.162693 # DEPENDENCYPART_SIBL
(0,2),(0,8),-0.0280911 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.042804 # DEPENDENCYPART_SIBL
(0,2),(0,12),-0.0248221 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.106882 # DEPENDENCYPART_SIBL
(0,2),(0,14),-0.161915 # DEPENDENCYPART_SIBL
(0,2),(0,19),0.0142723 # DEPENDENCYPART_SIBL
(0,2),(0,20),-0.0393264 # DEPENDENCYPART_SIBL
(0,2),(0,21),-0.157082 # DEPENDENCYPART_SIBL
(0,2),(0,22),-0.0217699 # DEPENDENCYPART_SIBL
(0,2),(0,23),-0.106882 # DEPENDENCYPART_SIBL
(0,2),(0,24),-0.0393255 # DEPENDENCYPART_SIBL
(0,2),(0,25),-0.129709 # DEPENDENCYPART_SIBL
(0,3),(0,4),0.0103823 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.01352 # DEPENDENCYPART_SIBL
(0,3),(0,7),-0.131951 # DEPENDENCYPART_SIBL
(0,3),(0,8),-0.00133215 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.00839126 # DEPENDENCYPART_SIBL
(0,3),(0,12),0.00193244 # DEPENDENCYPART_SIBL
(0,3),(0,13),-0.0520903 # DEPENDENCYPART_SIBL
(0,3),(0,14),-0.131173 # DEPENDENCYPART_SIBL
(0,3),(0,19),0.0545247 # DEPENDENCYPART_SIBL
(0,3),(0,20),-0.0135156 # DEPENDENCYPART_SIBL
(0,3),(0,21),-0.126339 # DEPENDENCYPART_SIBL
(0,3),(0,22),0.0159691 # DEPENDENCYPART_SIBL
(0,3),(0,23),-0.0520903 # DEPENDENCYPART_SIBL
(0,3),(0,24),-0.0135148 # DEPENDENCYPART_SIBL
(0,3),(0,25),-0.0749322 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.00282672 # DEPENDENCYPART_SIBL
(0,4),(0,7),-0.0158508 # DEPENDENCYPART_SIBL
(0,4),(0,8),0.0223951 # DEPENDENCYPART_SIBL
(0,4),(0,9),-0.101663 # DEPENDENCYPART_SIBL
(0,4),(0,12),0.0100517 # DEPENDENCYPART_SIBL
(0,4),(0,13),-0.0716166 # DEPENDENCYPART_SIBL
(0,4),(0,14),-0.0191779 # DEPENDENCYPART_SIBL
(0,4),(0,19),-0.000988164 # DEPENDENCYPART_SIBL
(0,4),(0,20),0.00474248 # DEPENDENCYPART_SIBL
(0,4),(0,21),-0.0163127 # DEPENDENCYPART_SIBL
(0,4),(0,22),-0.102619 # DEPENDENCYPART_SIBL
(0,4),(0,23),-0.0716166 # DEPENDENCYPART_SIBL
(0,4),(0,24),0.00177111 # DEPENDENCYPART_SIBL
(0,4),(0,25),-0.0802484 # DEPENDENCYPART_SIBL
(0,5),(0,7),-0.113859 # DEPENDENCYPART_SIBL
(0,5),(0,8),0.0552853 # DEPENDENCYPART_SIBL
(0,5),(0,9),-0.0674082 # DEPENDENCYPART_SIBL
(0,5),(0,12),-0.00109658 # DEPENDENCYPART_SIBL
(0,5),(0,13),-0.134879 # DEPENDENCYPART_SIBL
(0,5),(0,14),-0.116312 # DEPENDENCYPART_SIBL
(0,5),(0,19),-0.034436 # DEPENDENCYPART_SIBL
(0,5),(0,20),0.0573829 # DEPENDENCYPART_SIBL
(0,5),(0,21),-0.112607 # DEPENDENCYPART_SIBL
(0,5),(0,22),-0.0671778 # DEPENDENCYPART_SIBL
(0,5),(0,23),-0.134879 # DEPENDENCYPART_SIBL
(0,5),(0,24),0.0496401 # DEPENDENCYPART_SIBL
(0,5),(0,25),-0.175021 # DEPENDENCYPART_SIBL
(0,7),(0,8),0.00377147 # DEPENDENCYPART_SIBL
(0,7),(0,9),-0.00943998 # DEPENDENCYPART_SIBL
(0,7),(0,12),0.00702634 # DEPENDENCYPART_SIBL
(0,7),(0,13),-0.0469964 # DEPENDENCYPART_SIBL
(0,7),(0,14),-0.122502 # DEPENDENCYPART_SIBL
(0,7),(0,19),0.059624 # DEPENDENCYPART_SIBL
(0,7),(0,20),-0.00638595 # DEPENDENCYPART_SIBL
(0,7),(0,21),-0.117668 # DEPENDENCYPART_SIBL
(0,7),(0,22),0.0115942 # DEPENDENCYPART_SIBL
(0,7),(0,23),-0.0469964 # DEPENDENCYPART_SIBL
(0,7),(0,24),-0.00638508 # DEPENDENCYPART_SIBL
(0,7),(0,25),-0.0698382 # DEPENDENCYPART_SIBL
(0,8),(0,9),-0.0364029 # DEPENDENCYPART_SIBL
(0,8),(0,12),-0.0227234 # DEPENDENCYPART_SIBL
(0,8),(0,13),-0.0841936 # DEPENDENCYPART_SIBL
(0,8),(0,14),-0.0953877 # DEPENDENCYPART_SIBL
(0,8),(0,19),-0.0473857 # DEPENDENCYPART_SIBL
(0,8),(0,20),0.0106529 # DEPENDENCYPART_SIBL
(0,8),(0,21),-0.0925869 # DEPENDENCYPART_SIBL
(0,8),(0,22),-0.0465462 # DEPENDENCYPART_SIBL
(0,8),(0,23),-0.0841936 # DEPENDENCYPART_SIBL
(0,8),(0,24),0.0106538 # DEPENDENCYPART_SIBL
(0,8),(0,25),-0.0912671 # DEPENDENCYPART_SIBL
(0,9),(0,12),0.00533141 # DEPENDENCYPART_SIBL
(0,9),(0,13),-0.0734125 # DEPENDENCYPART_SIBL
(0,9),(0,14),-0.0283569 # DEPENDENCYPART_SIBL
(0,9),(0,19),-0.0123007 # DEPENDENCYPART_SIBL
(0,9),(0,20),-0.0116872 # DEPENDENCYPART_SIBL
(0,9),(0,21),-0.0254917 # DEPENDENCYPART_SIBL
(0,9),(0,22),-0.106748 # DEPENDENCYPART_SIBL
(0,9),(0,23),-0.0734125 # DEPENDENCYPART_SIBL
(0,9),(0,24),-0.0146586 # DEPENDENCYPART_SIBL
(0,9),(0,25),-0.0820089 # DEPENDENCYPART_SIBL
(0,12),(0,13),-0.127294 # DEPENDENCYPART_SIBL
(0,12),(0,14),-0.128337 # DEPENDENCYPART_SIBL
(0,12),(0,19),-0.0111645 # DEPENDENCYPART_SIBL
(0,12),(0,20),-0.0118016 # DEPENDENCYPART_SIBL
(0,12),(0,21),-0.124874 # DEPENDENCYPART_SIBL
(0,12),(0,22),-0.0615939 # DEPENDENCYPART_SIBL
(0,12),(0,23),-0.127294 # DEPENDENCYPART_SIBL
(0,12),(0,24),-0.0118007 # DEPENDENCYPART_SIBL
(0,12),(0,25),-0.134395 # DEPENDENCYPART_SIBL
(0,13),(0,14),-0.291756 # DEPENDENCYPART_SIBL
(0,13),(0,19),-0.070263 # DEPENDENCYPART_SIBL
(0,13),(0,20),-0.202027 # DEPENDENCYPART_SIBL
(0,13),(0,21),-0.293028 # DEPENDENCYPART_SIBL
(0,13),(0,22),-0.198185 # DEPENDENCYPART_SIBL
(0,13),(0,23),-0.413823 # DEPENDENCYPART_SIBL
(0,13),(0,24),-0.202026 # DEPENDENCYPART_SIBL
(0,13),(0,25),-0.340789 # DEPENDENCYPART_SIBL
(0,14),(0,19),0.0601582 # DEPENDENCYPART_SIBL
(0,14),(0,20),-0.0056233 # DEPENDENCYPART_SIBL
(0,14),(0,21),-0.117133 # DEPENDENCYPART_SIBL
(0,14),(0,22),0.0128822 # DEPENDENCYPART_SIBL
(0,14),(0,23),-0.0464622 # DEPENDENCYPART_SIBL
(0,14),(0,24),-0.00562242 # DEPENDENCYPART_SIBL
(0,14),(0,25),-0.0693041 # DEPENDENCYPART_SIBL
(0,19),(0,20),-0.0478468 # DEPENDENCYPART_SIBL
(0,19),(0,21),0.0234466 # DEPENDENCYPART_SIBL
(0,19),(0,22),0.00764294 # DEPENDENCYPART_SIBL
(0,19),(0,23),0.0365151 # DEPENDENCYPART_SIBL
(0,19),(0,24),-0.0478457 # DEPENDENCYPART_SIBL
(0,19),(0,25),-0.0225006 # DEPENDENCYPART_SIBL
(0,20),(0,21),-0.11228 # DEPENDENCYPART_SIBL
(0,20),(0,22),-0.0671409 # DEPENDENCYPART_SIBL
(0,20),(0,23),-0.136129 # DEPENDENCYPART_SIBL
(0,20),(0,24),0.0530976 # DEPENDENCYPART_SIBL
(0,20),(0,25),-0.175628 # DEPENDENCYPART_SIBL
(0,21),(0,22),0.0128822 # DEPENDENCYPART_SIBL
(0,21),(0,23),-0.0464622 # DEPENDENCYPART_SIBL
(0,21),(0,24),-0.00562242 # DEPENDENCYPART_SIBL
(0,21),(0,25),-0.0693041 # DEPENDENCYPART_SIBL
(0,22),(0,23),-0.0912842 # DEPENDENCYPART_SIBL
(0,22),(0,24),-0.00841021 # DEPENDENCYPART_SIBL
(0,22),(0,25),-0.0992354 # DEPENDENCYPART_SIBL
(0,23),(0,24),-0.202026 # DEPENDENCYPART_SIBL
(0,23),(0,25),-0.340789 # DEPENDENCYPART_SIBL
(0,24),(0,25),-0.174982 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0179435 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.0461357 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.0267764 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.00786109 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.00160203 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.00379194 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.0230343 # DEPENDENCYPART_SIBL
(2,1),(2,10),-0.0118702 # DEPENDENCYPART_SIBL
(2,1),(2,11),-0.0172623 # DEPENDENCYPART_SIBL
(2,1),(2,14),0.0148959 # DEPENDENCYPART_SIBL
(2,1),(2,15),-0.00786109 # DEPENDENCYPART_SIBL
(2,1),(2,16),-0.00403001 # DEPENDENCYPART_SIBL
(2,1),(2,17),-0.00793546 # DEPENDENCYPART_SIBL
(2,1),(2,18),0.00984951 # DEPENDENCYPART_SIBL
(2,1),(2,20),-0.0132841 # DEPENDENCYPART_SIBL
(2,1),(2,21),0.00975202 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.0663576 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.0372358 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.0308943 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.0044504 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.00204329 # DEPENDENCYPART_SIBL
(2,3),(2,9),0.0636263 # DEPENDENCYPART_SIBL
(2,3),(2,10),-0.0313925 # DEPENDENCYPART_SIBL
(2,3),(2,11),-0.0334645 # DEPENDENCYPART_SIBL
(2,3),(2,14),0.000457947 # DEPENDENCYPART_SIBL
(2,3),(2,15),-0.0308943 # DEPENDENCYPART_SIBL
(2,3),(2,16),-0.0308952 # DEPENDENCYPART_SIBL
(2,3),(2,17),-0.0308943 # DEPENDENCYPART_SIBL
(2,3),(2,18),-0.0323482 # DEPENDENCYPART_SIBL
(2,3),(2,20),-0.0243203 # DEPENDENCYPART_SIBL
(2,3),(2,21),0.00113621 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.00261586 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.0129113 # DEPENDENCYPART_SIBL
(2,4),(2,7),0.00535033 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.0525593 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.132221 # DEPENDENCYPART_SIBL
(2,4),(2,10),0.011398 # DEPENDENCYPART_SIBL
(2,4),(2,11),0.00554121 # DEPENDENCYPART_SIBL
(2,4),(2,14),0.00838396 # DEPENDENCYPART_SIBL
(2,4),(2,15),0.0129113 # DEPENDENCYPART_SIBL
(2,4),(2,16),0.0129097 # DEPENDENCYPART_SIBL
(2,4),(2,17),0.0129112 # DEPENDENCYPART_SIBL
(2,4),(2,18),0.0111753 # DEPENDENCYPART_SIBL
(2,4),(2,20),0.0254298 # DEPENDENCYPART_SIBL
(2,4),(2,21),0.00840544 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.0160222 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.0279239 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.012443 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.0139638 # DEPENDENCYPART_SIBL
(2,5),(2,10),-0.0166829 # DEPENDENCYPART_SIBL
(2,5),(2,11),-0.0191081 # DEPENDENCYPART_SIBL
(2,5),(2,14),-0.0253369 # DEPENDENCYPART_SIBL
(2,5),(2,15),-0.0160222 # DEPENDENCYPART_SIBL
(2,5),(2,16),-0.0160319 # DEPENDENCYPART_SIBL
(2,5),(2,17),-0.0160222 # DEPENDENCYPART_SIBL
(2,5),(2,18),-0.0114447 # DEPENDENCYPART_SIBL
(2,5),(2,20),0.00256749 # DEPENDENCYPART_SIBL
(2,5),(2,21),-0.0244333 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.0249288 # DEPENDENCYPART_SIBL
(2,6),(2,8),-0.00992386 # DEPENDENCYPART_SIBL
(2,6),(2,9),-0.0114446 # DEPENDENCYPART_SIBL
(2,6),(2,10),-0.0129107 # DEPENDENCYPART_SIBL
(2,6),(2,11),-0.0153359 # DEPENDENCYPART_SIBL
(2,6),(2,14),-0.0223417 # DEPENDENCYPART_SIBL
(2,6),(2,15),-0.01225 # DEPENDENCYPART_SIBL
(2,6),(2,16),-0.0122597 # DEPENDENCYPART_SIBL
(2,6),(2,17),-0.01225 # DEPENDENCYPART_SIBL
(2,6),(2,18),-0.00767244 # DEPENDENCYPART_SIBL
(2,6),(2,20),0.0063397 # DEPENDENCYPART_SIBL
(2,6),(2,21),-0.0214382 # DEPENDENCYPART_SIBL
(2,7),(2,8),-0.0149271 # DEPENDENCYPART_SIBL
(2,7),(2,9),0.0321546 # DEPENDENCYPART_SIBL
(2,7),(2,10),-0.0419259 # DEPENDENCYPART_SIBL
(2,7),(2,11),-0.043998 # DEPENDENCYPART_SIBL
(2,7),(2,14),-0.011238 # DEPENDENCYPART_SIBL
(2,7),(2,15),-0.0414277 # DEPENDENCYPART_SIBL
(2,7),(2,16),-0.0414287 # DEPENDENCYPART_SIBL
