# _root_ beraz , koazerbatuek materiaren antolamenduaren nolabaiteko hastapen-forma eskaintzen digutela ikusten dugu , nahiz_eta antolamendu hau oraindik oso primitiboa eta erabat ezegonkorra izan .
#goldHeads=10,3,8,5,7,7,8,10,8,0,10,11,10,22,14,22,0,19,22,21,19,10,22,
#predictedHeads=0,3,8,5,7,7,8,10,8,0,10,11,0,22,14,18,18,19,22,21,19,10,22,
(16,1),-0.948906 # DEPENDENCYPART_ARC
(16,13),-0.8923 # DEPENDENCYPART_ARC
(16,14),-1.034 # DEPENDENCYPART_ARC
(16,15),-0.395746 # DEPENDENCYPART_ARC
(16,17),-0.237321 # DEPENDENCYPART_ARC
(16,20),-1.19646 # DEPENDENCYPART_ARC
(17,1),-0.859673 # DEPENDENCYPART_ARC
(17,13),-0.948559 # DEPENDENCYPART_ARC
(17,14),-1.10765 # DEPENDENCYPART_ARC
(17,15),-0.958479 # DEPENDENCYPART_ARC
(17,16),-0.0796168 # DEPENDENCYPART_ARC
(17,18),-0.41757 # DEPENDENCYPART_ARC
(17,19),-0.826907 # DEPENDENCYPART_ARC
(17,20),-1.07034 # DEPENDENCYPART_ARC
(18,14),-1.00079 # DEPENDENCYPART_ARC
(18,16),-0.156423 # DEPENDENCYPART_ARC
(18,17),0.761786 # DEPENDENCYPART_ARC
(18,20),-1.00977 # DEPENDENCYPART_ARC
(18,21),-1.48511 # DEPENDENCYPART_ARC
(19,5),-1.67868 # DEPENDENCYPART_ARC
(19,6),-0.606916 # DEPENDENCYPART_ARC
(19,8),-0.512092 # DEPENDENCYPART_ARC
(19,10),-0.534943 # DEPENDENCYPART_ARC
(19,14),-0.770038 # DEPENDENCYPART_ARC
(19,15),-1.13494 # DEPENDENCYPART_ARC
(19,16),-0.356332 # DEPENDENCYPART_ARC
(19,17),-0.244725 # DEPENDENCYPART_ARC
(19,18),0.9315 # DEPENDENCYPART_ARC
(19,20),-0.040057 # DEPENDENCYPART_ARC
(19,21),0.104342 # DEPENDENCYPART_ARC
(19,22),-0.272657 # DEPENDENCYPART_ARC
(20,13),-1.56092 # DEPENDENCYPART_ARC
(20,19),-0.761714 # DEPENDENCYPART_ARC
(20,21),-0.37087 # DEPENDENCYPART_ARC
(21,14),-1.28532 # DEPENDENCYPART_ARC
(21,16),-0.703342 # DEPENDENCYPART_ARC
(21,17),-0.365006 # DEPENDENCYPART_ARC
(21,19),-0.657186 # DEPENDENCYPART_ARC
(21,20),0.446889 # DEPENDENCYPART_ARC
(21,22),-0.207857 # DEPENDENCYPART_ARC
(22,3),-0.813768 # DEPENDENCYPART_ARC
(22,4),-1.31212 # DEPENDENCYPART_ARC
(22,5),-1.25132 # DEPENDENCYPART_ARC
(22,6),-1.18538 # DEPENDENCYPART_ARC
(22,7),-0.608828 # DEPENDENCYPART_ARC
(22,8),-0.834181 # DEPENDENCYPART_ARC
(22,10),-0.834139 # DEPENDENCYPART_ARC
(22,11),-0.794295 # DEPENDENCYPART_ARC
(22,12),-1.39497 # DEPENDENCYPART_ARC
(22,13),-0.006818 # DEPENDENCYPART_ARC
(22,14),-0.255385 # DEPENDENCYPART_ARC
(22,15),-0.847593 # DEPENDENCYPART_ARC
(22,16),-0.507573 # DEPENDENCYPART_ARC
(22,17),-0.53592 # DEPENDENCYPART_ARC
(22,18),-0.513622 # DEPENDENCYPART_ARC
(22,19),0.211897 # DEPENDENCYPART_ARC
(22,20),0.216876 # DEPENDENCYPART_ARC
(22,21),0.731629 # DEPENDENCYPART_ARC
(22,23),1.73033 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.0152699 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.0201806 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.0201806 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.0201806 # DEPENDENCYPART_SIBL
(0,1),(0,6),0.0832141 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.0201806 # DEPENDENCYPART_SIBL
(0,1),(0,8),0.00161758 # DEPENDENCYPART_SIBL
(0,1),(0,9),0.00996335 # DEPENDENCYPART_SIBL
(0,1),(0,10),0.0205778 # DEPENDENCYPART_SIBL
(0,1),(0,11),0.00676161 # DEPENDENCYPART_SIBL
(0,1),(0,12),-0.0152699 # DEPENDENCYPART_SIBL
(0,1),(0,13),0.101044 # DEPENDENCYPART_SIBL
(0,1),(0,15),0.0553476 # DEPENDENCYPART_SIBL
(0,1),(0,16),0.0828499 # DEPENDENCYPART_SIBL
(0,1),(0,17),0.0704611 # DEPENDENCYPART_SIBL
(0,1),(0,18),0.0647013 # DEPENDENCYPART_SIBL
(0,1),(0,19),0.0217425 # DEPENDENCYPART_SIBL
(0,1),(0,20),0.0743441 # DEPENDENCYPART_SIBL
(0,1),(0,21),0.0647013 # DEPENDENCYPART_SIBL
(0,1),(0,22),0.0494335 # DEPENDENCYPART_SIBL
(0,1),(0,23),-0.0570051 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.202026 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.202026 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.202026 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.291017 # DEPENDENCYPART_SIBL
(0,2),(0,7),-0.202026 # DEPENDENCYPART_SIBL
(0,2),(0,8),-0.302525 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.200902 # DEPENDENCYPART_SIBL
(0,2),(0,10),-0.257702 # DEPENDENCYPART_SIBL
(0,2),(0,11),-0.207224 # DEPENDENCYPART_SIBL
(0,2),(0,12),-0.413823 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.15377 # DEPENDENCYPART_SIBL
(0,2),(0,15),-0.177388 # DEPENDENCYPART_SIBL
(0,2),(0,16),-0.292808 # DEPENDENCYPART_SIBL
(0,2),(0,17),-0.298727 # DEPENDENCYPART_SIBL
(0,2),(0,18),-0.132739 # DEPENDENCYPART_SIBL
(0,2),(0,19),-0.226163 # DEPENDENCYPART_SIBL
(0,2),(0,20),-0.297159 # DEPENDENCYPART_SIBL
(0,2),(0,21),-0.132739 # DEPENDENCYPART_SIBL
(0,2),(0,22),-0.270085 # DEPENDENCYPART_SIBL
(0,2),(0,23),-0.340789 # DEPENDENCYPART_SIBL
(0,3),(0,4),0.0509393 # DEPENDENCYPART_SIBL
(0,3),(0,5),0.0509393 # DEPENDENCYPART_SIBL
(0,3),(0,6),0.0263976 # DEPENDENCYPART_SIBL
(0,3),(0,7),0.0509393 # DEPENDENCYPART_SIBL
(0,3),(0,8),-0.118885 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.0588962 # DEPENDENCYPART_SIBL
(0,3),(0,10),-0.106423 # DEPENDENCYPART_SIBL
(0,3),(0,11),-0.0668073 # DEPENDENCYPART_SIBL
(0,3),(0,12),-0.134842 # DEPENDENCYPART_SIBL
(0,3),(0,13),-0.0362357 # DEPENDENCYPART_SIBL
(0,3),(0,15),0.00995346 # DEPENDENCYPART_SIBL
(0,3),(0,16),0.025727 # DEPENDENCYPART_SIBL
(0,3),(0,17),0.0201807 # DEPENDENCYPART_SIBL
(0,3),(0,18),0.0183937 # DEPENDENCYPART_SIBL
(0,3),(0,19),-0.0875969 # DEPENDENCYPART_SIBL
(0,3),(0,20),0.020656 # DEPENDENCYPART_SIBL
(0,3),(0,21),0.0183937 # DEPENDENCYPART_SIBL
(0,3),(0,22),-0.0983333 # DEPENDENCYPART_SIBL
(0,3),(0,23),-0.174984 # DEPENDENCYPART_SIBL
(0,4),(0,5),0.0509439 # DEPENDENCYPART_SIBL
(0,4),(0,6),0.0263997 # DEPENDENCYPART_SIBL
(0,4),(0,7),0.0509439 # DEPENDENCYPART_SIBL
(0,4),(0,8),-0.119073 # DEPENDENCYPART_SIBL
(0,4),(0,9),-0.0588941 # DEPENDENCYPART_SIBL
(0,4),(0,10),-0.106611 # DEPENDENCYPART_SIBL
(0,4),(0,11),-0.0668052 # DEPENDENCYPART_SIBL
(0,4),(0,12),-0.13484 # DEPENDENCYPART_SIBL
(0,4),(0,13),-0.0362331 # DEPENDENCYPART_SIBL
(0,4),(0,15),0.0099555 # DEPENDENCYPART_SIBL
(0,4),(0,16),0.025729 # DEPENDENCYPART_SIBL
(0,4),(0,17),0.0201828 # DEPENDENCYPART_SIBL
(0,4),(0,18),0.0183942 # DEPENDENCYPART_SIBL
(0,4),(0,19),-0.0875943 # DEPENDENCYPART_SIBL
(0,4),(0,20),0.0206581 # DEPENDENCYPART_SIBL
(0,4),(0,21),0.0183942 # DEPENDENCYPART_SIBL
(0,4),(0,22),-0.0985207 # DEPENDENCYPART_SIBL
(0,4),(0,23),-0.174982 # DEPENDENCYPART_SIBL
(0,5),(0,6),0.0263997 # DEPENDENCYPART_SIBL
(0,5),(0,7),0.0509439 # DEPENDENCYPART_SIBL
(0,5),(0,8),-0.118883 # DEPENDENCYPART_SIBL
(0,5),(0,9),-0.0588941 # DEPENDENCYPART_SIBL
(0,5),(0,10),-0.106421 # DEPENDENCYPART_SIBL
(0,5),(0,11),-0.0668052 # DEPENDENCYPART_SIBL
(0,5),(0,12),-0.13484 # DEPENDENCYPART_SIBL
(0,5),(0,13),-0.0362331 # DEPENDENCYPART_SIBL
(0,5),(0,15),0.0099555 # DEPENDENCYPART_SIBL
(0,5),(0,16),0.025729 # DEPENDENCYPART_SIBL
(0,5),(0,17),0.0201828 # DEPENDENCYPART_SIBL
(0,5),(0,18),0.0183958 # DEPENDENCYPART_SIBL
(0,5),(0,19),-0.0875943 # DEPENDENCYPART_SIBL
(0,5),(0,20),0.0206581 # DEPENDENCYPART_SIBL
(0,5),(0,21),0.0183958 # DEPENDENCYPART_SIBL
(0,5),(0,22),-0.0983313 # DEPENDENCYPART_SIBL
(0,5),(0,23),-0.174982 # DEPENDENCYPART_SIBL
(0,6),(0,7),0.0922294 # DEPENDENCYPART_SIBL
(0,6),(0,8),-0.0269893 # DEPENDENCYPART_SIBL
(0,6),(0,9),-0.0425949 # DEPENDENCYPART_SIBL
(0,6),(0,10),-0.0259835 # DEPENDENCYPART_SIBL
(0,6),(0,11),-0.030974 # DEPENDENCYPART_SIBL
(0,6),(0,12),-0.0684996 # DEPENDENCYPART_SIBL
(0,6),(0,13),-0.0289398 # DEPENDENCYPART_SIBL
(0,6),(0,15),0.0617465 # DEPENDENCYPART_SIBL
(0,6),(0,16),-0.0135154 # DEPENDENCYPART_SIBL
(0,6),(0,17),-0.0186977 # DEPENDENCYPART_SIBL
(0,6),(0,18),0.0626179 # DEPENDENCYPART_SIBL
(0,6),(0,19),-0.0567968 # DEPENDENCYPART_SIBL
(0,6),(0,20),-0.0179549 # DEPENDENCYPART_SIBL
(0,6),(0,21),0.0626179 # DEPENDENCYPART_SIBL
(0,6),(0,22),0.00170272 # DEPENDENCYPART_SIBL
(0,6),(0,23),-0.0891443 # DEPENDENCYPART_SIBL
(0,7),(0,8),-0.118883 # DEPENDENCYPART_SIBL
(0,7),(0,9),-0.0588941 # DEPENDENCYPART_SIBL
(0,7),(0,10),-0.106421 # DEPENDENCYPART_SIBL
(0,7),(0,11),-0.0668052 # DEPENDENCYPART_SIBL
(0,7),(0,12),-0.13484 # DEPENDENCYPART_SIBL
(0,7),(0,13),-0.0362331 # DEPENDENCYPART_SIBL
(0,7),(0,15),0.0099555 # DEPENDENCYPART_SIBL
(0,7),(0,16),0.025729 # DEPENDENCYPART_SIBL
(0,7),(0,17),0.0201828 # DEPENDENCYPART_SIBL
(0,7),(0,18),0.0183958 # DEPENDENCYPART_SIBL
(0,7),(0,19),-0.0875943 # DEPENDENCYPART_SIBL
(0,7),(0,20),0.0206581 # DEPENDENCYPART_SIBL
(0,7),(0,21),0.0183958 # DEPENDENCYPART_SIBL
(0,7),(0,22),-0.0983313 # DEPENDENCYPART_SIBL
(0,7),(0,23),-0.174982 # DEPENDENCYPART_SIBL
(0,8),(0,9),0.00530105 # DEPENDENCYPART_SIBL
(0,8),(0,10),-0.120501 # DEPENDENCYPART_SIBL
(0,8),(0,11),-0.0034248 # DEPENDENCYPART_SIBL
(0,8),(0,12),-0.0491481 # DEPENDENCYPART_SIBL
(0,8),(0,13),-0.0259956 # DEPENDENCYPART_SIBL
(0,8),(0,15),0.00425974 # DEPENDENCYPART_SIBL
(0,8),(0,16),-0.0320886 # DEPENDENCYPART_SIBL
(0,8),(0,17),-0.0376994 # DEPENDENCYPART_SIBL
(0,8),(0,18),-0.00278366 # DEPENDENCYPART_SIBL
(0,8),(0,19),-0.129385 # DEPENDENCYPART_SIBL
(0,8),(0,20),-0.0362279 # DEPENDENCYPART_SIBL
(0,8),(0,21),-0.00278366 # DEPENDENCYPART_SIBL
(0,8),(0,22),-0.0854383 # DEPENDENCYPART_SIBL
(0,8),(0,23),-0.0719899 # DEPENDENCYPART_SIBL
(0,9),(0,10),-0.0134615 # DEPENDENCYPART_SIBL
(0,9),(0,11),-0.093409 # DEPENDENCYPART_SIBL
(0,9),(0,12),-0.0716099 # DEPENDENCYPART_SIBL
(0,9),(0,13),-0.0179971 # DEPENDENCYPART_SIBL
(0,9),(0,15),0.0139757 # DEPENDENCYPART_SIBL
(0,9),(0,16),0.021512 # DEPENDENCYPART_SIBL
(0,9),(0,17),0.0131944 # DEPENDENCYPART_SIBL
(0,9),(0,18),0.0153712 # DEPENDENCYPART_SIBL
(0,9),(0,19),-0.0452578 # DEPENDENCYPART_SIBL
(0,9),(0,20),0.0176057 # DEPENDENCYPART_SIBL
(0,9),(0,21),0.0153712 # DEPENDENCYPART_SIBL
(0,9),(0,22),0.00876421 # DEPENDENCYPART_SIBL
(0,9),(0,23),-0.0802417 # DEPENDENCYPART_SIBL
(0,10),(0,11),-0.0111249 # DEPENDENCYPART_SIBL
(0,10),(0,12),-0.0558979 # DEPENDENCYPART_SIBL
(0,10),(0,13),-0.0447412 # DEPENDENCYPART_SIBL
(0,10),(0,15),-0.00246587 # DEPENDENCYPART_SIBL
(0,10),(0,16),-0.0388142 # DEPENDENCYPART_SIBL
(0,10),(0,17),-0.044425 # DEPENDENCYPART_SIBL
(0,10),(0,18),-0.00975806 # DEPENDENCYPART_SIBL
(0,10),(0,19),-0.148708 # DEPENDENCYPART_SIBL
(0,10),(0,20),-0.0429535 # DEPENDENCYPART_SIBL
(0,10),(0,21),-0.00975806 # DEPENDENCYPART_SIBL
(0,10),(0,22),-0.0906003 # DEPENDENCYPART_SIBL
(0,10),(0,23),-0.0787276 # DEPENDENCYPART_SIBL
(0,11),(0,12),-0.0828242 # DEPENDENCYPART_SIBL
(0,11),(0,13),-0.00981864 # DEPENDENCYPART_SIBL
(0,11),(0,15),0.0117693 # DEPENDENCYPART_SIBL
(0,11),(0,16),0.0165075 # DEPENDENCYPART_SIBL
(0,11),(0,17),0.00818986 # DEPENDENCYPART_SIBL
(0,11),(0,18),0.0103807 # DEPENDENCYPART_SIBL
(0,11),(0,19),-0.0228321 # DEPENDENCYPART_SIBL
(0,11),(0,20),0.0126012 # DEPENDENCYPART_SIBL
(0,11),(0,21),0.0103807 # DEPENDENCYPART_SIBL
(0,11),(0,22),-0.0012475 # DEPENDENCYPART_SIBL
(0,11),(0,23),-0.0902826 # DEPENDENCYPART_SIBL
(0,12),(0,13),-0.15377 # DEPENDENCYPART_SIBL
(0,12),(0,15),-0.177388 # DEPENDENCYPART_SIBL
(0,12),(0,16),-0.292808 # DEPENDENCYPART_SIBL
(0,12),(0,17),-0.298727 # DEPENDENCYPART_SIBL
(0,12),(0,18),-0.132739 # DEPENDENCYPART_SIBL
(0,12),(0,19),-0.226163 # DEPENDENCYPART_SIBL
(0,12),(0,20),-0.297159 # DEPENDENCYPART_SIBL
(0,12),(0,21),-0.132739 # DEPENDENCYPART_SIBL
(0,12),(0,22),-0.270085 # DEPENDENCYPART_SIBL
(0,12),(0,23),-0.340789 # DEPENDENCYPART_SIBL
(0,13),(0,15),0.0173667 # DEPENDENCYPART_SIBL
(0,13),(0,16),0.050306 # DEPENDENCYPART_SIBL
(0,13),(0,17),0.0379172 # DEPENDENCYPART_SIBL
(0,13),(0,18),0.0262568 # DEPENDENCYPART_SIBL
(0,13),(0,19),-0.0330447 # DEPENDENCYPART_SIBL
(0,13),(0,20),0.0418002 # DEPENDENCYPART_SIBL
(0,13),(0,21),0.0262568 # DEPENDENCYPART_SIBL
(0,13),(0,22),-0.00924766 # DEPENDENCYPART_SIBL
(0,13),(0,23),-0.0986088 # DEPENDENCYPART_SIBL
(0,15),(0,16),-0.0337869 # DEPENDENCYPART_SIBL
(0,15),(0,17),-0.0410217 # DEPENDENCYPART_SIBL
(0,15),(0,18),-0.0511377 # DEPENDENCYPART_SIBL
(0,15),(0,19),-0.0784477 # DEPENDENCYPART_SIBL
(0,15),(0,20),-0.0379038 # DEPENDENCYPART_SIBL
(0,15),(0,21),-0.0511377 # DEPENDENCYPART_SIBL
(0,15),(0,22),-0.118196 # DEPENDENCYPART_SIBL
(0,15),(0,23),-0.141891 # DEPENDENCYPART_SIBL
(0,16),(0,17),-0.0254809 # DEPENDENCYPART_SIBL
(0,16),(0,18),0.0561679 # DEPENDENCYPART_SIBL
(0,16),(0,19),-0.0632522 # DEPENDENCYPART_SIBL
(0,16),(0,20),-0.0247381 # DEPENDENCYPART_SIBL
(0,16),(0,21),0.0561679 # DEPENDENCYPART_SIBL
(0,16),(0,22),-0.00796585 # DEPENDENCYPART_SIBL
(0,16),(0,23),-0.0967082 # DEPENDENCYPART_SIBL
(0,17),(0,18),0.0462973 # DEPENDENCYPART_SIBL
(0,17),(0,19),-0.072114 # DEPENDENCYPART_SIBL
(0,17),(0,20),-0.0318251 # DEPENDENCYPART_SIBL
(0,17),(0,21),0.0462973 # DEPENDENCYPART_SIBL
(0,17),(0,22),-0.031421 # DEPENDENCYPART_SIBL
(0,17),(0,23),-0.104427 # DEPENDENCYPART_SIBL
(0,18),(0,19),-0.0649171 # DEPENDENCYPART_SIBL
(0,18),(0,20),0.0118543 # DEPENDENCYPART_SIBL
(0,18),(0,21),0.0109805 # DEPENDENCYPART_SIBL
(0,18),(0,22),-0.0796229 # DEPENDENCYPART_SIBL
(0,18),(0,23),-0.0798058 # DEPENDENCYPART_SIBL
(0,19),(0,20),0.0723145 # DEPENDENCYPART_SIBL
(0,19),(0,21),0.0259329 # DEPENDENCYPART_SIBL
(0,19),(0,22),-0.00250673 # DEPENDENCYPART_SIBL
(0,19),(0,23),-0.0473547 # DEPENDENCYPART_SIBL
(0,20),(0,21),0.0608012 # DEPENDENCYPART_SIBL
(0,20),(0,22),0.000942022 # DEPENDENCYPART_SIBL
(0,20),(0,23),-0.0899689 # DEPENDENCYPART_SIBL
(0,21),(0,22),-0.0796229 # DEPENDENCYPART_SIBL
(0,21),(0,23),-0.0798058 # DEPENDENCYPART_SIBL
(0,22),(0,23),-0.0450233 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0709788 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.0709788 # DEPENDENCYPART_SIBL
(1,2),(1,8),-0.0961026 # DEPENDENCYPART_SIBL
(1,2),(1,10),-0.082455 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.100073 # DEPENDENCYPART_SIBL
(1,3),(1,8),-0.10366 # DEPENDENCYPART_SIBL
(1,3),(1,10),-0.094937 # DEPENDENCYPART_SIBL
(1,4),(1,8),-0.104229 # DEPENDENCYPART_SIBL
(1,4),(1,10),-0.0955066 # DEPENDENCYPART_SIBL
(1,8),(1,10),-0.0898773 # DEPENDENCYPART_SIBL
(2,3),(2,10),-0.00494092 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0562268 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0562268 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.046404 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.0562268 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.0147614 # DEPENDENCYPART_SIBL
