# _root_ proposamenak pse , pp eta uaren babesa jaso zuen ; eajk eta eak kontra bozkatu zuten , eta iu-eb abstenitu egin zen .
#goldHeads=8,5,2,5,15,7,8,0,8,9,12,15,12,15,18,15,16,0,20,18,20,21,22,
#predictedHeads=8,5,2,5,8,7,8,18,8,9,12,15,12,15,18,15,16,0,20,18,20,20,22,
(8,13),-0.437194 # DEPENDENCYPART_ARC
(8,14),-1.23394 # DEPENDENCYPART_ARC
(8,15),-1.00084 # DEPENDENCYPART_ARC
(8,16),-1.47264 # DEPENDENCYPART_ARC
(8,17),-1.2733 # DEPENDENCYPART_ARC
(8,18),-0.724964 # DEPENDENCYPART_ARC
(8,19),-1.39563 # DEPENDENCYPART_ARC
(8,20),-0.892365 # DEPENDENCYPART_ARC
(8,21),-1.33673 # DEPENDENCYPART_ARC
(8,22),-2.27477 # DEPENDENCYPART_ARC
(9,5),-0.837574 # DEPENDENCYPART_ARC
(9,6),-0.788813 # DEPENDENCYPART_ARC
(9,7),-0.704116 # DEPENDENCYPART_ARC
(9,10),0.971048 # DEPENDENCYPART_ARC
(9,12),-0.996331 # DEPENDENCYPART_ARC
(9,14),-1.01979 # DEPENDENCYPART_ARC
(9,16),-0.821059 # DEPENDENCYPART_ARC
(9,18),-0.996153 # DEPENDENCYPART_ARC
(10,8),-0.551767 # DEPENDENCYPART_ARC
(10,15),-0.731132 # DEPENDENCYPART_ARC
(10,16),-0.687702 # DEPENDENCYPART_ARC
(10,20),-0.683507 # DEPENDENCYPART_ARC
(10,21),-0.856071 # DEPENDENCYPART_ARC
(11,8),-1.55724 # DEPENDENCYPART_ARC
(11,13),-4.0354 # DEPENDENCYPART_ARC
(12,1),-1.40922 # DEPENDENCYPART_ARC
(12,2),-0.43668 # DEPENDENCYPART_ARC
(12,4),0.186292 # DEPENDENCYPART_ARC
(12,5),-0.471924 # DEPENDENCYPART_ARC
(12,6),-0.853643 # DEPENDENCYPART_ARC
(12,7),-0.559877 # DEPENDENCYPART_ARC
(12,8),0.109144 # DEPENDENCYPART_ARC
(12,9),-1.05076 # DEPENDENCYPART_ARC
(12,11),2.13608 # DEPENDENCYPART_ARC
(12,13),2.53642 # DEPENDENCYPART_ARC
(12,14),-0.481404 # DEPENDENCYPART_ARC
(12,15),0.0678222 # DEPENDENCYPART_ARC
(12,16),-0.65802 # DEPENDENCYPART_ARC
(12,17),-0.482997 # DEPENDENCYPART_ARC
(12,18),-0.209528 # DEPENDENCYPART_ARC
(12,20),-0.719654 # DEPENDENCYPART_ARC
(12,21),-0.353457 # DEPENDENCYPART_ARC
(13,14),-0.0275416 # DEPENDENCYPART_ARC
(13,15),-3.213 # DEPENDENCYPART_ARC
(14,12),-0.906982 # DEPENDENCYPART_ARC
(14,15),-0.303655 # DEPENDENCYPART_ARC
(14,17),-0.479713 # DEPENDENCYPART_ARC
(15,1),-0.0556426 # DEPENDENCYPART_ARC
(15,2),-1.22798 # DEPENDENCYPART_ARC
(15,3),-1.61423 # DEPENDENCYPART_ARC
(15,4),-1.33965 # DEPENDENCYPART_ARC
(15,5),-0.268703 # DEPENDENCYPART_ARC
(15,6),-1.32681 # DEPENDENCYPART_ARC
(15,7),-0.395302 # DEPENDENCYPART_ARC
(15,8),-0.335765 # DEPENDENCYPART_ARC
(15,9),-0.98488 # DEPENDENCYPART_ARC
(15,11),0.77456 # DEPENDENCYPART_ARC
(15,12),0.209301 # DEPENDENCYPART_ARC
(15,13),1.61806 # DEPENDENCYPART_ARC
(15,14),0.909756 # DEPENDENCYPART_ARC
(15,16),1.35997 # DEPENDENCYPART_ARC
(15,17),-0.47999 # DEPENDENCYPART_ARC
(15,18),-0.463208 # DEPENDENCYPART_ARC
(15,19),-0.75386 # DEPENDENCYPART_ARC
(15,20),-0.465106 # DEPENDENCYPART_ARC
(15,21),-0.898881 # DEPENDENCYPART_ARC
(15,22),-1.38998 # DEPENDENCYPART_ARC
(16,11),-0.746468 # DEPENDENCYPART_ARC
(16,13),-0.488058 # DEPENDENCYPART_ARC
(16,14),-0.737226 # DEPENDENCYPART_ARC
(16,17),1.26 # DEPENDENCYPART_ARC
(16,18),-0.866153 # DEPENDENCYPART_ARC
(16,19),-1.4539 # DEPENDENCYPART_ARC
(16,20),-1.01484 # DEPENDENCYPART_ARC
(16,22),-0.863018 # DEPENDENCYPART_ARC
(17,11),-1.09471 # DEPENDENCYPART_ARC
(17,12),-0.818144 # DEPENDENCYPART_ARC
(17,13),-1.12058 # DEPENDENCYPART_ARC
(17,16),-0.505707 # DEPENDENCYPART_ARC
(17,18),-0.332659 # DEPENDENCYPART_ARC
(18,1),-1.63576 # DEPENDENCYPART_ARC
(18,2),-1.01915 # DEPENDENCYPART_ARC
(18,4),-0.534252 # DEPENDENCYPART_ARC
(18,5),-0.326055 # DEPENDENCYPART_ARC
(18,6),-1.26585 # DEPENDENCYPART_ARC
(18,7),-1.18605 # DEPENDENCYPART_ARC
(18,8),0.0735151 # DEPENDENCYPART_ARC
(18,11),-0.302134 # DEPENDENCYPART_ARC
(18,12),-0.508274 # DEPENDENCYPART_ARC
(18,13),-0.433495 # DEPENDENCYPART_ARC
(18,14),-0.573795 # DEPENDENCYPART_ARC
(18,15),0.674694 # DEPENDENCYPART_ARC
(18,16),-0.782023 # DEPENDENCYPART_ARC
(18,17),-0.446057 # DEPENDENCYPART_ARC
(18,19),0.371414 # DEPENDENCYPART_ARC
(18,20),-0.0458494 # DEPENDENCYPART_ARC
(18,21),0.442205 # DEPENDENCYPART_ARC
(18,22),-0.734559 # DEPENDENCYPART_ARC
(19,17),-1.64157 # DEPENDENCYPART_ARC
(19,20),-0.591809 # DEPENDENCYPART_ARC
(20,4),-1.66711 # DEPENDENCYPART_ARC
(20,5),-0.392501 # DEPENDENCYPART_ARC
(20,6),-1.5588 # DEPENDENCYPART_ARC
(20,7),-0.817137 # DEPENDENCYPART_ARC
(20,8),-1.00412 # DEPENDENCYPART_ARC
(20,9),-1.38961 # DEPENDENCYPART_ARC
(20,11),-0.262836 # DEPENDENCYPART_ARC
(20,12),-0.137762 # DEPENDENCYPART_ARC
(20,13),-0.035719 # DEPENDENCYPART_ARC
(20,14),-0.780729 # DEPENDENCYPART_ARC
(20,15),-0.556567 # DEPENDENCYPART_ARC
(20,16),-0.900724 # DEPENDENCYPART_ARC
(20,17),-1.1462 # DEPENDENCYPART_ARC
(20,18),-0.126378 # DEPENDENCYPART_ARC
(20,19),1.91103 # DEPENDENCYPART_ARC
(20,21),1.65199 # DEPENDENCYPART_ARC
(20,22),0.934399 # DEPENDENCYPART_ARC
(21,1),-0.904462 # DEPENDENCYPART_ARC
(21,2),-2.36526 # DEPENDENCYPART_ARC
(21,4),-2.30094 # DEPENDENCYPART_ARC
(21,5),-0.557335 # DEPENDENCYPART_ARC
(21,6),-2.34306 # DEPENDENCYPART_ARC
(21,7),-1.69796 # DEPENDENCYPART_ARC
(21,8),-0.729956 # DEPENDENCYPART_ARC
(21,11),-0.518744 # DEPENDENCYPART_ARC
(21,12),-0.440334 # DEPENDENCYPART_ARC
(21,13),-0.264925 # DEPENDENCYPART_ARC
(21,14),-0.89171 # DEPENDENCYPART_ARC
(21,15),-0.658745 # DEPENDENCYPART_ARC
(21,16),-1.13195 # DEPENDENCYPART_ARC
(21,17),-1.3405 # DEPENDENCYPART_ARC
(21,18),-0.155639 # DEPENDENCYPART_ARC
(21,19),0.423052 # DEPENDENCYPART_ARC
(21,20),0.80348 # DEPENDENCYPART_ARC
(21,22),0.606601 # DEPENDENCYPART_ARC
(21,23),-0.793551 # DEPENDENCYPART_ARC
(22,19),-0.936019 # DEPENDENCYPART_ARC
(22,21),-1.12222 # DEPENDENCYPART_ARC
(22,23),1.62291 # DEPENDENCYPART_ARC
(23,21),-0.953661 # DEPENDENCYPART_ARC
(0,1),(0,2),0.0507359 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.13484 # DEPENDENCYPART_SIBL
(0,1),(0,4),0.050528 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.0875943 # DEPENDENCYPART_SIBL
(0,1),(0,8),-0.121995 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.0808976 # DEPENDENCYPART_SIBL
(0,1),(0,10),-0.141916 # DEPENDENCYPART_SIBL
(0,1),(0,11),0.05002 # DEPENDENCYPART_SIBL
(0,1),(0,12),-0.0875943 # DEPENDENCYPART_SIBL
(0,1),(0,14),0.0253097 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.112412 # DEPENDENCYPART_SIBL
(0,1),(0,16),-0.0353032 # DEPENDENCYPART_SIBL
(0,1),(0,17),-0.13484 # DEPENDENCYPART_SIBL
(0,1),(0,18),-0.0875943 # DEPENDENCYPART_SIBL
(0,1),(0,19),0.0507624 # DEPENDENCYPART_SIBL
(0,1),(0,20),-0.112304 # DEPENDENCYPART_SIBL
(0,1),(0,21),-0.151145 # DEPENDENCYPART_SIBL
(0,1),(0,22),-0.0830616 # DEPENDENCYPART_SIBL
(0,1),(0,23),-0.174982 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.134841 # DEPENDENCYPART_SIBL
(0,2),(0,4),0.0497769 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.0875953 # DEPENDENCYPART_SIBL
(0,2),(0,8),-0.12197 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.0808985 # DEPENDENCYPART_SIBL
(0,2),(0,10),-0.141917 # DEPENDENCYPART_SIBL
(0,2),(0,11),0.049269 # DEPENDENCYPART_SIBL
(0,2),(0,12),-0.0875953 # DEPENDENCYPART_SIBL
(0,2),(0,14),0.0253087 # DEPENDENCYPART_SIBL
(0,2),(0,15),-0.112387 # DEPENDENCYPART_SIBL
(0,2),(0,16),-0.0353041 # DEPENDENCYPART_SIBL
(0,2),(0,17),-0.134841 # DEPENDENCYPART_SIBL
(0,2),(0,18),-0.0875953 # DEPENDENCYPART_SIBL
(0,2),(0,19),0.0500114 # DEPENDENCYPART_SIBL
(0,2),(0,20),-0.112279 # DEPENDENCYPART_SIBL
(0,2),(0,21),-0.151121 # DEPENDENCYPART_SIBL
(0,2),(0,22),-0.0830626 # DEPENDENCYPART_SIBL
(0,2),(0,23),-0.174983 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.202284 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.226163 # DEPENDENCYPART_SIBL
(0,3),(0,8),-0.30362 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.231843 # DEPENDENCYPART_SIBL
(0,3),(0,10),-0.288626 # DEPENDENCYPART_SIBL
(0,3),(0,11),-0.206429 # DEPENDENCYPART_SIBL
(0,3),(0,12),-0.226163 # DEPENDENCYPART_SIBL
(0,3),(0,14),-0.291204 # DEPENDENCYPART_SIBL
(0,3),(0,15),-0.286632 # DEPENDENCYPART_SIBL
(0,3),(0,16),-0.181658 # DEPENDENCYPART_SIBL
(0,3),(0,17),-0.413823 # DEPENDENCYPART_SIBL
(0,3),(0,18),-0.226163 # DEPENDENCYPART_SIBL
(0,3),(0,19),-0.202026 # DEPENDENCYPART_SIBL
(0,3),(0,20),-0.293028 # DEPENDENCYPART_SIBL
(0,3),(0,21),-0.327759 # DEPENDENCYPART_SIBL
(0,3),(0,22),-0.229299 # DEPENDENCYPART_SIBL
(0,3),(0,23),-0.340789 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.0879991 # DEPENDENCYPART_SIBL
(0,4),(0,8),-0.122364 # DEPENDENCYPART_SIBL
(0,4),(0,9),-0.081292 # DEPENDENCYPART_SIBL
(0,4),(0,10),-0.14231 # DEPENDENCYPART_SIBL
(0,4),(0,11),0.0494516 # DEPENDENCYPART_SIBL
(0,4),(0,12),-0.0879991 # DEPENDENCYPART_SIBL
(0,4),(0,14),0.0249152 # DEPENDENCYPART_SIBL
(0,4),(0,15),-0.112781 # DEPENDENCYPART_SIBL
(0,4),(0,16),-0.0356976 # DEPENDENCYPART_SIBL
(0,4),(0,17),-0.135235 # DEPENDENCYPART_SIBL
(0,4),(0,18),-0.0879991 # DEPENDENCYPART_SIBL
(0,4),(0,19),0.050194 # DEPENDENCYPART_SIBL
(0,4),(0,20),-0.112673 # DEPENDENCYPART_SIBL
(0,4),(0,21),-0.151514 # DEPENDENCYPART_SIBL
(0,4),(0,22),-0.0834561 # DEPENDENCYPART_SIBL
(0,4),(0,23),-0.175377 # DEPENDENCYPART_SIBL
(0,5),(0,8),-0.0444317 # DEPENDENCYPART_SIBL
(0,5),(0,9),-0.0263214 # DEPENDENCYPART_SIBL
(0,5),(0,10),-0.0168816 # DEPENDENCYPART_SIBL
(0,5),(0,11),-0.0225084 # DEPENDENCYPART_SIBL
(0,5),(0,12),-0.0395181 # DEPENDENCYPART_SIBL
(0,5),(0,14),0.0841555 # DEPENDENCYPART_SIBL
(0,5),(0,15),-0.0325516 # DEPENDENCYPART_SIBL
(0,5),(0,16),0.0450443 # DEPENDENCYPART_SIBL
(0,5),(0,17),0.0156699 # DEPENDENCYPART_SIBL
(0,5),(0,18),-0.0395181 # DEPENDENCYPART_SIBL
(0,5),(0,19),-0.0223684 # DEPENDENCYPART_SIBL
(0,5),(0,20),-0.032339 # DEPENDENCYPART_SIBL
(0,5),(0,21),-0.0422199 # DEPENDENCYPART_SIBL
(0,5),(0,22),-0.0425565 # DEPENDENCYPART_SIBL
(0,5),(0,23),-0.0473547 # DEPENDENCYPART_SIBL
(0,8),(0,9),0.0024893 # DEPENDENCYPART_SIBL
(0,8),(0,10),-0.0224278 # DEPENDENCYPART_SIBL
(0,8),(0,11),-0.00380821 # DEPENDENCYPART_SIBL
(0,8),(0,12),-0.121331 # DEPENDENCYPART_SIBL
(0,8),(0,14),-0.0276273 # DEPENDENCYPART_SIBL
(0,8),(0,15),-0.11579 # DEPENDENCYPART_SIBL
(0,8),(0,16),0.0458904 # DEPENDENCYPART_SIBL
(0,8),(0,17),-0.044158 # DEPENDENCYPART_SIBL
(0,8),(0,18),-0.121331 # DEPENDENCYPART_SIBL
(0,8),(0,19),-0.00366779 # DEPENDENCYPART_SIBL
(0,8),(0,20),-0.115725 # DEPENDENCYPART_SIBL
(0,8),(0,21),-0.132245 # DEPENDENCYPART_SIBL
(0,8),(0,22),-0.00212258 # DEPENDENCYPART_SIBL
(0,8),(0,23),-0.0669999 # DEPENDENCYPART_SIBL
(0,9),(0,10),-0.0871789 # DEPENDENCYPART_SIBL
(0,9),(0,11),-0.00106834 # DEPENDENCYPART_SIBL
(0,9),(0,12),-0.0512831 # DEPENDENCYPART_SIBL
(0,9),(0,14),-0.00496732 # DEPENDENCYPART_SIBL
(0,9),(0,15),-0.0399564 # DEPENDENCYPART_SIBL
(0,9),(0,16),-0.0868284 # DEPENDENCYPART_SIBL
(0,9),(0,17),-0.107806 # DEPENDENCYPART_SIBL
(0,9),(0,18),-0.0512831 # DEPENDENCYPART_SIBL
(0,9),(0,19),-0.00459371 # DEPENDENCYPART_SIBL
(0,9),(0,20),-0.0385243 # DEPENDENCYPART_SIBL
(0,9),(0,21),-0.034992 # DEPENDENCYPART_SIBL
(0,9),(0,22),-0.130691 # DEPENDENCYPART_SIBL
(0,9),(0,23),-0.114021 # DEPENDENCYPART_SIBL
(0,10),(0,11),-0.0562144 # DEPENDENCYPART_SIBL
(0,10),(0,12),-0.0853386 # DEPENDENCYPART_SIBL
(0,10),(0,14),-0.086538 # DEPENDENCYPART_SIBL
(0,10),(0,15),-0.0028056 # DEPENDENCYPART_SIBL
(0,10),(0,16),-0.0164819 # DEPENDENCYPART_SIBL
(0,10),(0,17),-0.122252 # DEPENDENCYPART_SIBL
(0,10),(0,18),-0.0853386 # DEPENDENCYPART_SIBL
(0,10),(0,19),-0.0537377 # DEPENDENCYPART_SIBL
(0,10),(0,20),-0.00597344 # DEPENDENCYPART_SIBL
(0,10),(0,21),-0.0278553 # DEPENDENCYPART_SIBL
(0,10),(0,22),-0.0643559 # DEPENDENCYPART_SIBL
(0,10),(0,23),-0.0776858 # DEPENDENCYPART_SIBL
(0,11),(0,12),-0.0788484 # DEPENDENCYPART_SIBL
(0,11),(0,14),0.0240455 # DEPENDENCYPART_SIBL
(0,11),(0,15),-0.115131 # DEPENDENCYPART_SIBL
(0,11),(0,16),-0.0364649 # DEPENDENCYPART_SIBL
(0,11),(0,17),-0.135383 # DEPENDENCYPART_SIBL
(0,11),(0,18),-0.0788484 # DEPENDENCYPART_SIBL
(0,11),(0,19),0.0481879 # DEPENDENCYPART_SIBL
(0,11),(0,20),-0.115023 # DEPENDENCYPART_SIBL
(0,11),(0,21),-0.153935 # DEPENDENCYPART_SIBL
(0,11),(0,22),-0.0842233 # DEPENDENCYPART_SIBL
(0,11),(0,23),-0.175525 # DEPENDENCYPART_SIBL
(0,12),(0,14),0.0841555 # DEPENDENCYPART_SIBL
(0,12),(0,15),-0.0325516 # DEPENDENCYPART_SIBL
(0,12),(0,16),0.0450443 # DEPENDENCYPART_SIBL
(0,12),(0,17),0.0156699 # DEPENDENCYPART_SIBL
(0,12),(0,18),-0.0395181 # DEPENDENCYPART_SIBL
(0,12),(0,19),-0.0223684 # DEPENDENCYPART_SIBL
(0,12),(0,20),-0.032339 # DEPENDENCYPART_SIBL
(0,12),(0,21),-0.0422199 # DEPENDENCYPART_SIBL
(0,12),(0,22),-0.0425565 # DEPENDENCYPART_SIBL
(0,12),(0,23),-0.0473547 # DEPENDENCYPART_SIBL
(0,14),(0,15),-0.0204398 # DEPENDENCYPART_SIBL
(0,14),(0,16),-0.0192531 # DEPENDENCYPART_SIBL
(0,14),(0,17),-0.0684749 # DEPENDENCYPART_SIBL
(0,14),(0,18),-0.0567721 # DEPENDENCYPART_SIBL
(0,14),(0,19),0.0924022 # DEPENDENCYPART_SIBL
(0,14),(0,20),-0.020379 # DEPENDENCYPART_SIBL
(0,14),(0,21),-0.0269702 # DEPENDENCYPART_SIBL
(0,14),(0,22),-0.0700839 # DEPENDENCYPART_SIBL
(0,14),(0,23),-0.0891196 # DEPENDENCYPART_SIBL
(0,15),(0,16),0.0431598 # DEPENDENCYPART_SIBL
(0,15),(0,17),-0.0466957 # DEPENDENCYPART_SIBL
(0,15),(0,18),-0.126933 # DEPENDENCYPART_SIBL
(0,15),(0,19),-0.00585587 # DEPENDENCYPART_SIBL
(0,15),(0,20),-0.117717 # DEPENDENCYPART_SIBL
(0,15),(0,21),-0.134237 # DEPENDENCYPART_SIBL
(0,15),(0,22),-0.00504018 # DEPENDENCYPART_SIBL
(0,15),(0,23),-0.0695375 # DEPENDENCYPART_SIBL
(0,16),(0,17),-0.0747204 # DEPENDENCYPART_SIBL
(0,16),(0,18),-0.0218807 # DEPENDENCYPART_SIBL
(0,16),(0,19),-0.0244267 # DEPENDENCYPART_SIBL
(0,16),(0,20),-0.0275176 # DEPENDENCYPART_SIBL
(0,16),(0,21),-0.0202951 # DEPENDENCYPART_SIBL
(0,16),(0,22),-0.135589 # DEPENDENCYPART_SIBL
(0,16),(0,23),-0.0873356 # DEPENDENCYPART_SIBL
(0,17),(0,18),-0.226163 # DEPENDENCYPART_SIBL
(0,17),(0,19),-0.202026 # DEPENDENCYPART_SIBL
(0,17),(0,20),-0.293028 # DEPENDENCYPART_SIBL
(0,17),(0,21),-0.327759 # DEPENDENCYPART_SIBL
(0,17),(0,22),-0.229299 # DEPENDENCYPART_SIBL
(0,17),(0,23),-0.340789 # DEPENDENCYPART_SIBL
(0,18),(0,19),-0.0223684 # DEPENDENCYPART_SIBL
(0,18),(0,20),-0.032339 # DEPENDENCYPART_SIBL
(0,18),(0,21),-0.0422199 # DEPENDENCYPART_SIBL
(0,18),(0,22),-0.0425565 # DEPENDENCYPART_SIBL
(0,18),(0,23),-0.0473547 # DEPENDENCYPART_SIBL
(0,19),(0,20),-0.112279 # DEPENDENCYPART_SIBL
(0,19),(0,21),-0.15112 # DEPENDENCYPART_SIBL
(0,19),(0,22),-0.0830616 # DEPENDENCYPART_SIBL
(0,19),(0,23),-0.174982 # DEPENDENCYPART_SIBL
(0,20),(0,21),-0.133654 # DEPENDENCYPART_SIBL
(0,20),(0,22),-0.00411435 # DEPENDENCYPART_SIBL
(0,20),(0,23),-0.0693041 # DEPENDENCYPART_SIBL
(0,21),(0,22),0.00542738 # DEPENDENCYPART_SIBL
(0,21),(0,23),-0.122823 # DEPENDENCYPART_SIBL
(0,22),(0,23),-0.045241 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0816293 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0493508 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.00367878 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.00513094 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0464247 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.0463511 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.00800114 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.0259473 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.00705929 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.00688109 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.03424 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.056228 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.00582113 # DEPENDENCYPART_SIBL
(5,1),(5,2),-0.0123372 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.0518421 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.0273762 # DEPENDENCYPART_SIBL
(5,1),(5,6),0.0643889 # DEPENDENCYPART_SIBL
(5,1),(5,7),0.0527398 # DEPENDENCYPART_SIBL
(5,1),(5,8),-0.0734834 # DEPENDENCYPART_SIBL
(5,1),(5,9),-0.0500476 # DEPENDENCYPART_SIBL
(5,1),(5,12),0.000114664 # DEPENDENCYPART_SIBL
(5,1),(5,15),-0.0779807 # DEPENDENCYPART_SIBL
(5,1),(5,18),0.000114664 # DEPENDENCYPART_SIBL
(5,1),(5,20),-0.0766299 # DEPENDENCYPART_SIBL
(5,1),(5,21),-0.104052 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.0515404 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.0299406 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.0520805 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.0404314 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.0814484 # DEPENDENCYPART_SIBL
(5,2),(5,9),-0.0523661 # DEPENDENCYPART_SIBL
(5,2),(5,12),-0.00621645 # DEPENDENCYPART_SIBL
(5,2),(5,15),-0.0859458 # DEPENDENCYPART_SIBL
(5,2),(5,18),-0.00621645 # DEPENDENCYPART_SIBL
(5,2),(5,20),-0.084595 # DEPENDENCYPART_SIBL
(5,2),(5,21),-0.112017 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.121581 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.0723837 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.0767945 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.0807198 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.030074 # DEPENDENCYPART_SIBL
(5,3),(5,12),-0.0649103 # DEPENDENCYPART_SIBL
(5,3),(5,15),-0.0859339 # DEPENDENCYPART_SIBL
(5,3),(5,18),-0.0649103 # DEPENDENCYPART_SIBL
(5,3),(5,20),-0.0827801 # DEPENDENCYPART_SIBL
(5,3),(5,21),-0.11868 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.0458251 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.0304795 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.0887338 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.0631157 # DEPENDENCYPART_SIBL
(5,4),(5,12),-0.0116784 # DEPENDENCYPART_SIBL
(5,4),(5,15),-0.0932312 # DEPENDENCYPART_SIBL
