# _root_ esteban olaizola_gipuzkoako_kofradien_federazioko lehendakariaren ustez , " itsasontzi zaharrak dira , baina teknologia puntakoa dute " , esan du .
#goldHeads=9,1,1,3,4,5,9,7,11,9,17,14,12,11,14,15,0,17,18,
#predictedHeads=2,3,4,9,4,5,9,7,11,9,0,14,14,11,14,15,0,17,18,
(10,13),-1.1516 # DEPENDENCYPART_ARC
(10,14),-0.801064 # DEPENDENCYPART_ARC
(11,1),-0.95625 # DEPENDENCYPART_ARC
(11,2),-2.26307 # DEPENDENCYPART_ARC
(11,3),-1.44518 # DEPENDENCYPART_ARC
(11,4),-1.06661 # DEPENDENCYPART_ARC
(11,7),-0.390421 # DEPENDENCYPART_ARC
(11,8),-1.00161 # DEPENDENCYPART_ARC
(11,9),0.647895 # DEPENDENCYPART_ARC
(11,10),-0.427507 # DEPENDENCYPART_ARC
(11,12),-0.0720223 # DEPENDENCYPART_ARC
(11,13),-0.938002 # DEPENDENCYPART_ARC
(11,14),0.219537 # DEPENDENCYPART_ARC
(11,16),-0.689353 # DEPENDENCYPART_ARC
(11,17),-0.606715 # DEPENDENCYPART_ARC
(12,5),-1.82527 # DEPENDENCYPART_ARC
(12,8),-2.29063 # DEPENDENCYPART_ARC
(12,9),-2.26436 # DEPENDENCYPART_ARC
(12,10),-1.20994 # DEPENDENCYPART_ARC
(12,11),-0.48344 # DEPENDENCYPART_ARC
(12,13),-0.808158 # DEPENDENCYPART_ARC
(12,14),-1.38805 # DEPENDENCYPART_ARC
(12,17),-2.64311 # DEPENDENCYPART_ARC
(12,18),-1.52139 # DEPENDENCYPART_ARC
(12,19),-1.43189 # DEPENDENCYPART_ARC
(13,4),-1.3744 # DEPENDENCYPART_ARC
(13,7),-1.2855 # DEPENDENCYPART_ARC
(13,11),-0.478466 # DEPENDENCYPART_ARC
(13,12),-0.21964 # DEPENDENCYPART_ARC
(13,14),-1.01162 # DEPENDENCYPART_ARC
(13,16),-0.496765 # DEPENDENCYPART_ARC
(13,17),-1.75536 # DEPENDENCYPART_ARC
(14,2),-0.402822 # DEPENDENCYPART_ARC
(14,3),-1.21258 # DEPENDENCYPART_ARC
(14,4),0.0323879 # DEPENDENCYPART_ARC
(14,5),-1.16424 # DEPENDENCYPART_ARC
(14,7),0.0237534 # DEPENDENCYPART_ARC
(14,8),-1.01153 # DEPENDENCYPART_ARC
(14,9),-0.583354 # DEPENDENCYPART_ARC
(14,10),-0.896375 # DEPENDENCYPART_ARC
(14,11),-0.531747 # DEPENDENCYPART_ARC
(14,12),1.44375 # DEPENDENCYPART_ARC
(14,13),1.20308 # DEPENDENCYPART_ARC
(14,15),1.21761 # DEPENDENCYPART_ARC
(14,16),0.151111 # DEPENDENCYPART_ARC
(14,17),-0.579658 # DEPENDENCYPART_ARC
(14,18),-1.65062 # DEPENDENCYPART_ARC
(15,12),-1.09375 # DEPENDENCYPART_ARC
(15,14),-0.0993538 # DEPENDENCYPART_ARC
(15,16),1.02312 # DEPENDENCYPART_ARC
(15,17),-0.854861 # DEPENDENCYPART_ARC
(16,9),-0.643207 # DEPENDENCYPART_ARC
(16,11),-0.578634 # DEPENDENCYPART_ARC
(16,14),-0.482499 # DEPENDENCYPART_ARC
(16,17),-0.493341 # DEPENDENCYPART_ARC
(17,1),-0.941647 # DEPENDENCYPART_ARC
(17,2),-1.59221 # DEPENDENCYPART_ARC
(17,3),-1.40957 # DEPENDENCYPART_ARC
(17,4),-0.796672 # DEPENDENCYPART_ARC
(17,5),-0.551815 # DEPENDENCYPART_ARC
(17,7),-0.908825 # DEPENDENCYPART_ARC
(17,8),-1.25992 # DEPENDENCYPART_ARC
(17,9),-0.0751568 # DEPENDENCYPART_ARC
(17,10),-0.936842 # DEPENDENCYPART_ARC
(17,11),-0.337122 # DEPENDENCYPART_ARC
(17,12),-0.157406 # DEPENDENCYPART_ARC
(17,13),-0.918993 # DEPENDENCYPART_ARC
(17,14),0.272373 # DEPENDENCYPART_ARC
(17,16),-0.45637 # DEPENDENCYPART_ARC
(17,18),0.999921 # DEPENDENCYPART_ARC
(17,19),-0.341103 # DEPENDENCYPART_ARC
(18,19),1.61936 # DEPENDENCYPART_ARC
(0,1),(0,2),0.0474494 # DEPENDENCYPART_SIBL
(0,1),(0,4),0.032165 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.134888 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.19832 # DEPENDENCYPART_SIBL
(0,1),(0,7),0.0474494 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.025852 # DEPENDENCYPART_SIBL
(0,1),(0,10),-0.134888 # DEPENDENCYPART_SIBL
(0,1),(0,11),-0.066482 # DEPENDENCYPART_SIBL
(0,1),(0,13),0.018347 # DEPENDENCYPART_SIBL
(0,1),(0,14),-0.0459115 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.19832 # DEPENDENCYPART_SIBL
(0,1),(0,16),-0.134888 # DEPENDENCYPART_SIBL
(0,1),(0,17),-0.157111 # DEPENDENCYPART_SIBL
(0,1),(0,18),-0.0730585 # DEPENDENCYPART_SIBL
(0,1),(0,19),-0.17503 # DEPENDENCYPART_SIBL
(0,2),(0,4),0.0356719 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.13484 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.198273 # DEPENDENCYPART_SIBL
(0,2),(0,7),0.0509439 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.0258046 # DEPENDENCYPART_SIBL
(0,2),(0,10),-0.13484 # DEPENDENCYPART_SIBL
(0,2),(0,11),-0.0664346 # DEPENDENCYPART_SIBL
(0,2),(0,13),0.0183958 # DEPENDENCYPART_SIBL
(0,2),(0,14),-0.0458642 # DEPENDENCYPART_SIBL
(0,2),(0,15),-0.198273 # DEPENDENCYPART_SIBL
(0,2),(0,16),-0.13484 # DEPENDENCYPART_SIBL
(0,2),(0,17),-0.157063 # DEPENDENCYPART_SIBL
(0,2),(0,18),-0.0730112 # DEPENDENCYPART_SIBL
(0,2),(0,19),-0.174982 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.100531 # DEPENDENCYPART_SIBL
(0,4),(0,6),-0.162807 # DEPENDENCYPART_SIBL
(0,4),(0,7),0.127252 # DEPENDENCYPART_SIBL
(0,4),(0,9),0.0036177 # DEPENDENCYPART_SIBL
(0,4),(0,10),-0.100531 # DEPENDENCYPART_SIBL
(0,4),(0,11),-0.0266436 # DEPENDENCYPART_SIBL
(0,4),(0,13),0.0526114 # DEPENDENCYPART_SIBL
(0,4),(0,14),-0.015704 # DEPENDENCYPART_SIBL
(0,4),(0,15),-0.162807 # DEPENDENCYPART_SIBL
(0,4),(0,16),-0.100531 # DEPENDENCYPART_SIBL
(0,4),(0,17),-0.125852 # DEPENDENCYPART_SIBL
(0,4),(0,18),-0.0362734 # DEPENDENCYPART_SIBL
(0,4),(0,19),-0.139517 # DEPENDENCYPART_SIBL
(0,5),(0,6),-0.370046 # DEPENDENCYPART_SIBL
(0,5),(0,7),-0.202026 # DEPENDENCYPART_SIBL
(0,5),(0,9),-0.171166 # DEPENDENCYPART_SIBL
(0,5),(0,10),-0.413823 # DEPENDENCYPART_SIBL
(0,5),(0,11),-0.179412 # DEPENDENCYPART_SIBL
(0,5),(0,13),-0.132739 # DEPENDENCYPART_SIBL
(0,5),(0,14),-0.204229 # DEPENDENCYPART_SIBL
(0,5),(0,15),-0.370046 # DEPENDENCYPART_SIBL
(0,5),(0,16),-0.413823 # DEPENDENCYPART_SIBL
(0,5),(0,17),-0.2508 # DEPENDENCYPART_SIBL
(0,5),(0,18),-0.254856 # DEPENDENCYPART_SIBL
(0,5),(0,19),-0.340789 # DEPENDENCYPART_SIBL
(0,6),(0,7),-0.133324 # DEPENDENCYPART_SIBL
(0,6),(0,9),-0.0584486 # DEPENDENCYPART_SIBL
(0,6),(0,10),-0.216774 # DEPENDENCYPART_SIBL
(0,6),(0,11),-0.139757 # DEPENDENCYPART_SIBL
(0,6),(0,13),-0.0141519 # DEPENDENCYPART_SIBL
(0,6),(0,14),-0.0923413 # DEPENDENCYPART_SIBL
(0,6),(0,15),-0.181443 # DEPENDENCYPART_SIBL
(0,6),(0,16),-0.216774 # DEPENDENCYPART_SIBL
(0,6),(0,17),0.0620517 # DEPENDENCYPART_SIBL
(0,6),(0,18),-0.0559298 # DEPENDENCYPART_SIBL
(0,6),(0,19),-0.161528 # DEPENDENCYPART_SIBL
(0,7),(0,9),-0.0258049 # DEPENDENCYPART_SIBL
(0,7),(0,10),-0.13484 # DEPENDENCYPART_SIBL
(0,7),(0,11),-0.0664349 # DEPENDENCYPART_SIBL
(0,7),(0,13),0.0183955 # DEPENDENCYPART_SIBL
(0,7),(0,14),-0.0458644 # DEPENDENCYPART_SIBL
(0,7),(0,15),-0.198273 # DEPENDENCYPART_SIBL
(0,7),(0,16),-0.13484 # DEPENDENCYPART_SIBL
(0,7),(0,17),-0.157063 # DEPENDENCYPART_SIBL
(0,7),(0,18),-0.0730114 # DEPENDENCYPART_SIBL
(0,7),(0,19),-0.174983 # DEPENDENCYPART_SIBL
(0,9),(0,10),-0.0379141 # DEPENDENCYPART_SIBL
(0,9),(0,11),-0.106089 # DEPENDENCYPART_SIBL
(0,9),(0,13),-0.0138915 # DEPENDENCYPART_SIBL
(0,9),(0,14),-0.0594271 # DEPENDENCYPART_SIBL
(0,9),(0,15),-0.103694 # DEPENDENCYPART_SIBL
(0,9),(0,16),-0.0379141 # DEPENDENCYPART_SIBL
(0,9),(0,17),-0.249584 # DEPENDENCYPART_SIBL
(0,9),(0,18),-0.065995 # DEPENDENCYPART_SIBL
(0,9),(0,19),-0.0796136 # DEPENDENCYPART_SIBL
(0,10),(0,11),-0.179412 # DEPENDENCYPART_SIBL
(0,10),(0,13),-0.132739 # DEPENDENCYPART_SIBL
(0,10),(0,14),-0.204229 # DEPENDENCYPART_SIBL
(0,10),(0,15),-0.370046 # DEPENDENCYPART_SIBL
(0,10),(0,16),-0.413823 # DEPENDENCYPART_SIBL
(0,10),(0,17),-0.2508 # DEPENDENCYPART_SIBL
(0,10),(0,18),-0.254856 # DEPENDENCYPART_SIBL
(0,10),(0,19),-0.340789 # DEPENDENCYPART_SIBL
(0,11),(0,13),0.0385678 # DEPENDENCYPART_SIBL
(0,11),(0,14),-0.0410027 # DEPENDENCYPART_SIBL
(0,11),(0,15),-0.0630317 # DEPENDENCYPART_SIBL
(0,11),(0,16),0.0388895 # DEPENDENCYPART_SIBL
(0,11),(0,17),-0.165455 # DEPENDENCYPART_SIBL
(0,11),(0,18),-0.0344311 # DEPENDENCYPART_SIBL
(0,11),(0,19),-0.0365986 # DEPENDENCYPART_SIBL
(0,13),(0,14),-0.0533795 # DEPENDENCYPART_SIBL
(0,13),(0,15),-0.0966864 # DEPENDENCYPART_SIBL
(0,13),(0,16),-0.072892 # DEPENDENCYPART_SIBL
(0,13),(0,17),-0.132572 # DEPENDENCYPART_SIBL
(0,13),(0,18),-0.0533296 # DEPENDENCYPART_SIBL
(0,13),(0,19),-0.0798058 # DEPENDENCYPART_SIBL
(0,14),(0,15),-0.12334 # DEPENDENCYPART_SIBL
(0,14),(0,16),-0.0700228 # DEPENDENCYPART_SIBL
(0,14),(0,17),-0.243407 # DEPENDENCYPART_SIBL
(0,14),(0,18),-0.084456 # DEPENDENCYPART_SIBL
(0,14),(0,19),-0.0990609 # DEPENDENCYPART_SIBL
(0,15),(0,16),-0.216774 # DEPENDENCYPART_SIBL
(0,15),(0,17),0.0620517 # DEPENDENCYPART_SIBL
(0,15),(0,18),-0.0559298 # DEPENDENCYPART_SIBL
(0,15),(0,19),-0.161528 # DEPENDENCYPART_SIBL
(0,16),(0,17),-0.2508 # DEPENDENCYPART_SIBL
(0,16),(0,18),-0.254856 # DEPENDENCYPART_SIBL
(0,16),(0,19),-0.340789 # DEPENDENCYPART_SIBL
(0,17),(0,18),-0.0431661 # DEPENDENCYPART_SIBL
(0,17),(0,19),-0.0942395 # DEPENDENCYPART_SIBL
(0,18),(0,19),-0.0585579 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.0030042 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.00815913 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0330497 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0185138 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.0180132 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0330497 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.0605413 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.00771147 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0317807 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.0483478 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.0080158 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0846925 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.00695857 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.028174 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.023558 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.0255434 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.231056 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.00229303 # DEPENDENCYPART_SIBL
(4,1),(4,8),0.0176805 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.0137352 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.207376 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.00154046 # DEPENDENCYPART_SIBL
(4,2),(4,8),0.0119888 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.207376 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.00154066 # DEPENDENCYPART_SIBL
(4,3),(4,8),0.0119886 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.0739738 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.0395172 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.00581752 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.003535 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.0258815 # DEPENDENCYPART_SIBL
(5,1),(5,7),0.285259 # DEPENDENCYPART_SIBL
(5,1),(5,8),0.0928409 # DEPENDENCYPART_SIBL
(5,1),(5,9),0.138538 # DEPENDENCYPART_SIBL
(5,1),(5,12),0.280269 # DEPENDENCYPART_SIBL
(5,1),(5,17),0.139383 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.0259362 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.28884 # DEPENDENCYPART_SIBL
(5,3),(5,8),0.0946572 # DEPENDENCYPART_SIBL
(5,3),(5,9),0.140377 # DEPENDENCYPART_SIBL
(5,3),(5,12),0.28385 # DEPENDENCYPART_SIBL
(5,3),(5,17),0.143721 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.0623931 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.0155696 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.0366806 # DEPENDENCYPART_SIBL
(5,6),(5,12),-0.0623931 # DEPENDENCYPART_SIBL
(5,6),(5,17),0.110862 # DEPENDENCYPART_SIBL
(5,7),(5,8),0.0468563 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.00615633 # DEPENDENCYPART_SIBL
(5,7),(5,12),0.0743163 # DEPENDENCYPART_SIBL
(5,7),(5,17),-0.0198107 # DEPENDENCYPART_SIBL
(5,8),(5,9),0.00144259 # DEPENDENCYPART_SIBL
(5,8),(5,12),0.0382351 # DEPENDENCYPART_SIBL
(5,8),(5,17),-0.00728454 # DEPENDENCYPART_SIBL
(5,9),(5,12),0.0233509 # DEPENDENCYPART_SIBL
(5,9),(5,17),-0.0261261 # DEPENDENCYPART_SIBL
(5,12),(5,17),-0.0198107 # DEPENDENCYPART_SIBL
(6,2),(6,7),0.163873 # DEPENDENCYPART_SIBL
(6,2),(6,8),0.0423452 # DEPENDENCYPART_SIBL
(6,7),(6,8),0.0382931 # DEPENDENCYPART_SIBL
(7,1),(7,2),-0.0180183 # DEPENDENCYPART_SIBL
(7,1),(7,3),-0.0200038 # DEPENDENCYPART_SIBL
(7,1),(7,4),-0.0274286 # DEPENDENCYPART_SIBL
(7,1),(7,5),-0.0271186 # DEPENDENCYPART_SIBL
(7,1),(7,6),0.010449 # DEPENDENCYPART_SIBL
(7,1),(7,8),-0.00771409 # DEPENDENCYPART_SIBL
(7,1),(7,9),-0.0216012 # DEPENDENCYPART_SIBL
(7,1),(7,10),0.0605386 # DEPENDENCYPART_SIBL
(7,1),(7,11),0.0088487 # DEPENDENCYPART_SIBL
(7,1),(7,12),-0.0129938 # DEPENDENCYPART_SIBL
(7,1),(7,13),-0.00771409 # DEPENDENCYPART_SIBL
(7,1),(7,14),-0.0298759 # DEPENDENCYPART_SIBL
(7,1),(7,17),0.0097473 # DEPENDENCYPART_SIBL
(7,1),(7,19),-0.0275858 # DEPENDENCYPART_SIBL
(7,2),(7,3),-0.00982206 # DEPENDENCYPART_SIBL
(7,2),(7,4),-0.0168976 # DEPENDENCYPART_SIBL
(7,2),(7,5),-0.0259522 # DEPENDENCYPART_SIBL
(7,2),(7,6),0.0116154 # DEPENDENCYPART_SIBL
(7,2),(7,8),-0.00801842 # DEPENDENCYPART_SIBL
(7,2),(7,9),-0.0218592 # DEPENDENCYPART_SIBL
(7,2),(7,10),0.0483452 # DEPENDENCYPART_SIBL
(7,2),(7,11),0.010337 # DEPENDENCYPART_SIBL
(7,2),(7,12),-0.0117248 # DEPENDENCYPART_SIBL
(7,2),(7,13),-0.00801842 # DEPENDENCYPART_SIBL
(7,2),(7,14),-0.0284908 # DEPENDENCYPART_SIBL
(7,2),(7,17),0.0110495 # DEPENDENCYPART_SIBL
(7,2),(7,19),-0.0274159 # DEPENDENCYPART_SIBL
(7,3),(7,4),-0.0168979 # DEPENDENCYPART_SIBL
(7,3),(7,5),-0.0259522 # DEPENDENCYPART_SIBL
(7,3),(7,6),0.0116154 # DEPENDENCYPART_SIBL
(7,3),(7,8),-0.00801862 # DEPENDENCYPART_SIBL
(7,3),(7,9),-0.0218594 # DEPENDENCYPART_SIBL
(7,3),(7,10),0.048345 # DEPENDENCYPART_SIBL
(7,3),(7,11),0.0103368 # DEPENDENCYPART_SIBL
(7,3),(7,12),-0.011725 # DEPENDENCYPART_SIBL
(7,3),(7,13),-0.00801862 # DEPENDENCYPART_SIBL
(7,3),(7,14),-0.028491 # DEPENDENCYPART_SIBL
(7,3),(7,17),0.0110489 # DEPENDENCYPART_SIBL
(7,3),(7,19),-0.0274161 # DEPENDENCYPART_SIBL
(7,4),(7,5),-0.0288241 # DEPENDENCYPART_SIBL
(7,4),(7,6),0.00878033 # DEPENDENCYPART_SIBL
(7,4),(7,8),-0.0158962 # DEPENDENCYPART_SIBL
(7,4),(7,9),-0.0257734 # DEPENDENCYPART_SIBL
(7,4),(7,10),0.0343853 # DEPENDENCYPART_SIBL
(7,4),(7,11),0.00577956 # DEPENDENCYPART_SIBL
(7,4),(7,12),-0.0137835 # DEPENDENCYPART_SIBL
(7,4),(7,13),-0.0158962 # DEPENDENCYPART_SIBL
(7,4),(7,14),-0.0332654 # DEPENDENCYPART_SIBL
(7,4),(7,17),0.0261115 # DEPENDENCYPART_SIBL
(7,4),(7,19),-0.0561771 # DEPENDENCYPART_SIBL
(7,5),(7,6),-0.0615541 # DEPENDENCYPART_SIBL
(7,5),(7,8),-0.0372862 # DEPENDENCYPART_SIBL
(7,5),(7,9),-0.0190291 # DEPENDENCYPART_SIBL
(7,5),(7,10),-0.00398529 # DEPENDENCYPART_SIBL
(7,5),(7,11),-0.0399078 # DEPENDENCYPART_SIBL
(7,5),(7,12),-0.0636376 # DEPENDENCYPART_SIBL
(7,5),(7,13),-0.0363075 # DEPENDENCYPART_SIBL
(7,5),(7,14),-0.0158162 # DEPENDENCYPART_SIBL
(7,5),(7,17),-0.0395862 # DEPENDENCYPART_SIBL
(7,5),(7,19),-0.0896683 # DEPENDENCYPART_SIBL
(7,6),(7,8),-0.0299075 # DEPENDENCYPART_SIBL
(7,6),(7,9),-0.00820984 # DEPENDENCYPART_SIBL
(7,6),(7,10),-0.0209364 # DEPENDENCYPART_SIBL
(7,6),(7,11),-0.0126763 # DEPENDENCYPART_SIBL
(7,6),(7,12),-0.0479222 # DEPENDENCYPART_SIBL
(7,6),(7,13),-0.0294181 # DEPENDENCYPART_SIBL
(7,6),(7,14),-0.00304831 # DEPENDENCYPART_SIBL
(7,6),(7,17),-0.0247252 # DEPENDENCYPART_SIBL
(7,6),(7,19),-0.0778592 # DEPENDENCYPART_SIBL
(7,8),(7,9),-0.00666824 # DEPENDENCYPART_SIBL
(7,8),(7,10),-0.116849 # DEPENDENCYPART_SIBL
(7,8),(7,11),-0.0394325 # DEPENDENCYPART_SIBL
(7,8),(7,12),-0.00867562 # DEPENDENCYPART_SIBL
(7,8),(7,13),0.00097613 # DEPENDENCYPART_SIBL
(7,8),(7,14),-0.0075815 # DEPENDENCYPART_SIBL
(7,8),(7,17),-0.0467432 # DEPENDENCYPART_SIBL
(7,8),(7,19),-0.0776367 # DEPENDENCYPART_SIBL
(7,9),(7,10),-0.045089 # DEPENDENCYPART_SIBL
(7,9),(7,11),-0.0243297 # DEPENDENCYPART_SIBL
(7,9),(7,12),0.00125061 # DEPENDENCYPART_SIBL
(7,9),(7,13),-0.00774386 # DEPENDENCYPART_SIBL
(7,9),(7,14),0.0114184 # DEPENDENCYPART_SIBL
(7,9),(7,17),-0.050422 # DEPENDENCYPART_SIBL
(7,9),(7,19),-0.0530859 # DEPENDENCYPART_SIBL
(7,10),(7,11),-0.0332004 # DEPENDENCYPART_SIBL
(7,10),(7,12),-0.049334 # DEPENDENCYPART_SIBL
(7,10),(7,13),-0.028174 # DEPENDENCYPART_SIBL
(7,10),(7,14),-0.0156678 # DEPENDENCYPART_SIBL
(7,10),(7,17),-0.0167548 # DEPENDENCYPART_SIBL
(7,10),(7,19),-0.224837 # DEPENDENCYPART_SIBL
(7,11),(7,12),-0.0239799 # DEPENDENCYPART_SIBL
(7,11),(7,13),0.00347463 # DEPENDENCYPART_SIBL
(7,11),(7,14),-0.00847928 # DEPENDENCYPART_SIBL
(7,11),(7,17),-0.0492243 # DEPENDENCYPART_SIBL
(7,11),(7,19),-0.0585738 # DEPENDENCYPART_SIBL
(7,12),(7,13),-0.00483983 # DEPENDENCYPART_SIBL
(7,12),(7,14),-0.0110039 # DEPENDENCYPART_SIBL
(7,12),(7,17),-0.0417208 # DEPENDENCYPART_SIBL
(7,12),(7,19),-0.0887528 # DEPENDENCYPART_SIBL
(7,13),(7,14),-0.0075815 # DEPENDENCYPART_SIBL
(7,13),(7,17),-0.0467432 # DEPENDENCYPART_SIBL
(7,13),(7,19),-0.0776367 # DEPENDENCYPART_SIBL
(7,14),(7,17),-0.0282742 # DEPENDENCYPART_SIBL
(7,14),(7,19),-0.0616213 # DEPENDENCYPART_SIBL
