# _root_ urtero bezalaxe jarri dira , ailegatu bezain agudo , plaza_erdian danborra eta turutarekin abisua emanez .
#goldHeads=3,1,0,3,4,3,6,7,8,15,12,15,12,15,3,15,
#predictedHeads=3,3,0,3,4,3,6,7,8,11,12,14,12,15,3,15,
(7,11),-1.04184 # DEPENDENCYPART_ARC
(7,12),-0.828367 # DEPENDENCYPART_ARC
(7,13),-1.06162 # DEPENDENCYPART_ARC
(7,14),-1.03902 # DEPENDENCYPART_ARC
(8,6),-1.01898 # DEPENDENCYPART_ARC
(8,7),-0.181814 # DEPENDENCYPART_ARC
(8,9),0.986116 # DEPENDENCYPART_ARC
(8,10),-0.653839 # DEPENDENCYPART_ARC
(8,11),-0.633111 # DEPENDENCYPART_ARC
(8,12),-0.457064 # DEPENDENCYPART_ARC
(8,13),-0.72687 # DEPENDENCYPART_ARC
(8,14),-0.706423 # DEPENDENCYPART_ARC
(9,4),-1.4862 # DEPENDENCYPART_ARC
(9,6),-1.04666 # DEPENDENCYPART_ARC
(9,10),-0.613129 # DEPENDENCYPART_ARC
(9,15),-1.14652 # DEPENDENCYPART_ARC
(10,1),-1.58318 # DEPENDENCYPART_ARC
(10,2),-1.45746 # DEPENDENCYPART_ARC
(10,5),-1.72639 # DEPENDENCYPART_ARC
(10,7),-1.24204 # DEPENDENCYPART_ARC
(10,8),-0.978529 # DEPENDENCYPART_ARC
(10,9),-0.11132 # DEPENDENCYPART_ARC
(10,11),0.206497 # DEPENDENCYPART_ARC
(10,13),-1.09709 # DEPENDENCYPART_ARC
(10,14),-0.901188 # DEPENDENCYPART_ARC
(10,15),-1.112 # DEPENDENCYPART_ARC
(10,16),-1.06259 # DEPENDENCYPART_ARC
(11,1),-1.16581 # DEPENDENCYPART_ARC
(11,2),-1.19194 # DEPENDENCYPART_ARC
(11,3),-1.3814 # DEPENDENCYPART_ARC
(11,5),-1.50238 # DEPENDENCYPART_ARC
(11,6),-0.880612 # DEPENDENCYPART_ARC
(11,7),-1.0291 # DEPENDENCYPART_ARC
(11,8),-0.89555 # DEPENDENCYPART_ARC
(11,9),-0.971414 # DEPENDENCYPART_ARC
(11,10),1.29181 # DEPENDENCYPART_ARC
(11,12),-0.697022 # DEPENDENCYPART_ARC
(11,13),-1.59497 # DEPENDENCYPART_ARC
(11,16),-1.56425 # DEPENDENCYPART_ARC
(12,1),-0.872951 # DEPENDENCYPART_ARC
(12,2),-0.862444 # DEPENDENCYPART_ARC
(12,3),-0.723309 # DEPENDENCYPART_ARC
(12,6),-0.688071 # DEPENDENCYPART_ARC
(12,7),-0.888123 # DEPENDENCYPART_ARC
(12,8),-0.821562 # DEPENDENCYPART_ARC
(12,9),-1.39939 # DEPENDENCYPART_ARC
(12,10),0.0437858 # DEPENDENCYPART_ARC
(12,11),1.52892 # DEPENDENCYPART_ARC
(12,13),1.44022 # DEPENDENCYPART_ARC
(12,14),0.243438 # DEPENDENCYPART_ARC
(12,15),-0.261511 # DEPENDENCYPART_ARC
(13,1),-1.89318 # DEPENDENCYPART_ARC
(13,11),-2.46092 # DEPENDENCYPART_ARC
(13,12),-0.456255 # DEPENDENCYPART_ARC
(13,14),-0.308794 # DEPENDENCYPART_ARC
(13,15),-1.88319 # DEPENDENCYPART_ARC
(13,16),-1.35915 # DEPENDENCYPART_ARC
(14,1),-0.759406 # DEPENDENCYPART_ARC
(14,2),-0.840118 # DEPENDENCYPART_ARC
(14,3),-1.33535 # DEPENDENCYPART_ARC
(14,9),-1.48257 # DEPENDENCYPART_ARC
(14,10),-0.124149 # DEPENDENCYPART_ARC
(14,11),-2.09001 # DEPENDENCYPART_ARC
(14,12),0.00205134 # DEPENDENCYPART_ARC
(14,13),-0.450156 # DEPENDENCYPART_ARC
(14,15),-0.854082 # DEPENDENCYPART_ARC
(14,16),-0.839218 # DEPENDENCYPART_ARC
(15,1),-0.903305 # DEPENDENCYPART_ARC
(15,2),-0.956318 # DEPENDENCYPART_ARC
(15,3),-1.18253 # DEPENDENCYPART_ARC
(15,4),-0.979901 # DEPENDENCYPART_ARC
(15,5),-1.64729 # DEPENDENCYPART_ARC
(15,6),-0.642262 # DEPENDENCYPART_ARC
(15,7),-0.437972 # DEPENDENCYPART_ARC
(15,8),-0.522995 # DEPENDENCYPART_ARC
(15,9),-1.6575 # DEPENDENCYPART_ARC
(15,10),0.0181863 # DEPENDENCYPART_ARC
(15,11),0.196814 # DEPENDENCYPART_ARC
(15,12),0.0739 # DEPENDENCYPART_ARC
(15,13),0.816831 # DEPENDENCYPART_ARC
(15,14),1.97772 # DEPENDENCYPART_ARC
(15,16),1.66247 # DEPENDENCYPART_ARC
(16,14),-0.865909 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.02102 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.0148453 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.0114066 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.0688933 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.0187748 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.0170201 # DEPENDENCYPART_SIBL
(0,1),(0,8),-0.0133741 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.0688933 # DEPENDENCYPART_SIBL
(0,1),(0,10),0.0917784 # DEPENDENCYPART_SIBL
(0,1),(0,11),0.0873574 # DEPENDENCYPART_SIBL
(0,1),(0,12),-0.0573072 # DEPENDENCYPART_SIBL
(0,1),(0,13),0.0917784 # DEPENDENCYPART_SIBL
(0,1),(0,14),0.0917784 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.0173485 # DEPENDENCYPART_SIBL
(0,1),(0,16),-0.089538 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.0179177 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.0109882 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.0684749 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.0218472 # DEPENDENCYPART_SIBL
(0,2),(0,7),-0.0166017 # DEPENDENCYPART_SIBL
(0,2),(0,8),-0.0129557 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.0684749 # DEPENDENCYPART_SIBL
(0,2),(0,10),0.0924022 # DEPENDENCYPART_SIBL
(0,2),(0,11),0.0879812 # DEPENDENCYPART_SIBL
(0,2),(0,12),-0.0567721 # DEPENDENCYPART_SIBL
(0,2),(0,13),0.0924022 # DEPENDENCYPART_SIBL
(0,2),(0,14),0.0924022 # DEPENDENCYPART_SIBL
(0,2),(0,15),-0.0204209 # DEPENDENCYPART_SIBL
(0,2),(0,16),-0.0891196 # DEPENDENCYPART_SIBL
(0,3),(0,4),0.0136171 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.0553582 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.135853 # DEPENDENCYPART_SIBL
(0,3),(0,7),-0.0406769 # DEPENDENCYPART_SIBL
(0,3),(0,8),-0.0379295 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.0553582 # DEPENDENCYPART_SIBL
(0,3),(0,10),-0.0142728 # DEPENDENCYPART_SIBL
(0,3),(0,11),-0.0180949 # DEPENDENCYPART_SIBL
(0,3),(0,12),-0.137781 # DEPENDENCYPART_SIBL
(0,3),(0,13),-0.0142728 # DEPENDENCYPART_SIBL
(0,3),(0,14),-0.0142728 # DEPENDENCYPART_SIBL
(0,3),(0,15),-0.134385 # DEPENDENCYPART_SIBL
(0,3),(0,16),-0.0779641 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.0331486 # DEPENDENCYPART_SIBL
(0,4),(0,6),-0.00217786 # DEPENDENCYPART_SIBL
(0,4),(0,7),0.0577942 # DEPENDENCYPART_SIBL
(0,4),(0,8),0.0605256 # DEPENDENCYPART_SIBL
(0,4),(0,9),-0.0331486 # DEPENDENCYPART_SIBL
(0,4),(0,10),0.0348568 # DEPENDENCYPART_SIBL
(0,4),(0,11),0.0342405 # DEPENDENCYPART_SIBL
(0,4),(0,12),-0.0306443 # DEPENDENCYPART_SIBL
(0,4),(0,13),0.0348568 # DEPENDENCYPART_SIBL
(0,4),(0,14),0.0348568 # DEPENDENCYPART_SIBL
(0,4),(0,15),-0.000709736 # DEPENDENCYPART_SIBL
(0,4),(0,16),-0.053613 # DEPENDENCYPART_SIBL
(0,5),(0,6),-0.294496 # DEPENDENCYPART_SIBL
(0,5),(0,7),-0.293728 # DEPENDENCYPART_SIBL
(0,5),(0,8),-0.290997 # DEPENDENCYPART_SIBL
(0,5),(0,9),-0.413823 # DEPENDENCYPART_SIBL
(0,5),(0,10),-0.202026 # DEPENDENCYPART_SIBL
(0,5),(0,11),-0.204684 # DEPENDENCYPART_SIBL
(0,5),(0,12),-0.226163 # DEPENDENCYPART_SIBL
(0,5),(0,13),-0.202026 # DEPENDENCYPART_SIBL
(0,5),(0,14),-0.202026 # DEPENDENCYPART_SIBL
(0,5),(0,15),-0.293028 # DEPENDENCYPART_SIBL
(0,5),(0,16),-0.340789 # DEPENDENCYPART_SIBL
(0,6),(0,7),-0.0358535 # DEPENDENCYPART_SIBL
(0,6),(0,8),-0.0331061 # DEPENDENCYPART_SIBL
(0,6),(0,9),-0.0553798 # DEPENDENCYPART_SIBL
(0,6),(0,10),-0.009663 # DEPENDENCYPART_SIBL
(0,6),(0,11),-0.0134851 # DEPENDENCYPART_SIBL
(0,6),(0,12),-0.130919 # DEPENDENCYPART_SIBL
(0,6),(0,13),-0.009663 # DEPENDENCYPART_SIBL
(0,6),(0,14),-0.009663 # DEPENDENCYPART_SIBL
(0,6),(0,15),-0.121224 # DEPENDENCYPART_SIBL
(0,6),(0,16),-0.0782216 # DEPENDENCYPART_SIBL
(0,7),(0,8),-0.0249934 # DEPENDENCYPART_SIBL
(0,7),(0,9),-0.0732564 # DEPENDENCYPART_SIBL
(0,7),(0,10),0.0851956 # DEPENDENCYPART_SIBL
(0,7),(0,11),0.0807746 # DEPENDENCYPART_SIBL
(0,7),(0,12),-0.0618233 # DEPENDENCYPART_SIBL
(0,7),(0,13),0.0851956 # DEPENDENCYPART_SIBL
(0,7),(0,14),0.0851956 # DEPENDENCYPART_SIBL
(0,7),(0,15),-0.0276462 # DEPENDENCYPART_SIBL
(0,7),(0,16),-0.0939011 # DEPENDENCYPART_SIBL
(0,8),(0,9),-0.0684749 # DEPENDENCYPART_SIBL
(0,8),(0,10),0.0924022 # DEPENDENCYPART_SIBL
(0,8),(0,11),0.0879812 # DEPENDENCYPART_SIBL
(0,8),(0,12),-0.0567721 # DEPENDENCYPART_SIBL
(0,8),(0,13),0.0924022 # DEPENDENCYPART_SIBL
(0,8),(0,14),0.0924022 # DEPENDENCYPART_SIBL
(0,8),(0,15),-0.0204209 # DEPENDENCYPART_SIBL
(0,8),(0,16),-0.0891196 # DEPENDENCYPART_SIBL
(0,9),(0,10),-0.202026 # DEPENDENCYPART_SIBL
(0,9),(0,11),-0.204684 # DEPENDENCYPART_SIBL
(0,9),(0,12),-0.226163 # DEPENDENCYPART_SIBL
(0,9),(0,13),-0.202026 # DEPENDENCYPART_SIBL
(0,9),(0,14),-0.202026 # DEPENDENCYPART_SIBL
(0,9),(0,15),-0.293028 # DEPENDENCYPART_SIBL
(0,9),(0,16),-0.340789 # DEPENDENCYPART_SIBL
(0,10),(0,11),0.0504845 # DEPENDENCYPART_SIBL
(0,10),(0,12),-0.0875943 # DEPENDENCYPART_SIBL
(0,10),(0,13),0.0509439 # DEPENDENCYPART_SIBL
(0,10),(0,14),0.0509439 # DEPENDENCYPART_SIBL
(0,10),(0,15),-0.112279 # DEPENDENCYPART_SIBL
(0,10),(0,16),-0.174982 # DEPENDENCYPART_SIBL
(0,11),(0,12),-0.0875943 # DEPENDENCYPART_SIBL
(0,11),(0,13),0.0509439 # DEPENDENCYPART_SIBL
(0,11),(0,14),0.0509439 # DEPENDENCYPART_SIBL
(0,11),(0,15),-0.112279 # DEPENDENCYPART_SIBL
(0,11),(0,16),-0.174982 # DEPENDENCYPART_SIBL
(0,12),(0,13),-0.0223684 # DEPENDENCYPART_SIBL
(0,12),(0,14),-0.0223684 # DEPENDENCYPART_SIBL
(0,12),(0,15),-0.032339 # DEPENDENCYPART_SIBL
(0,12),(0,16),-0.0473547 # DEPENDENCYPART_SIBL
(0,13),(0,14),0.0509439 # DEPENDENCYPART_SIBL
(0,13),(0,15),-0.112279 # DEPENDENCYPART_SIBL
(0,13),(0,16),-0.174982 # DEPENDENCYPART_SIBL
(0,14),(0,15),-0.112279 # DEPENDENCYPART_SIBL
(0,14),(0,16),-0.174982 # DEPENDENCYPART_SIBL
(0,15),(0,16),-0.069305 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.0369254 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0349811 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.00878956 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.00895271 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.0103977 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.0163343 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.00822404 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.00821868 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.153405 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.153405 # DEPENDENCYPART_SIBL
(2,7),(2,8),-0.0116006 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.0444481 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.0474234 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0210171 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.00337289 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.0158898 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.00830534 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.0210171 # DEPENDENCYPART_SIBL
(3,1),(3,10),0.00156926 # DEPENDENCYPART_SIBL
(3,1),(3,11),0.0117846 # DEPENDENCYPART_SIBL
(3,1),(3,12),-0.0158456 # DEPENDENCYPART_SIBL
(3,1),(3,13),0.00156926 # DEPENDENCYPART_SIBL
(3,1),(3,14),0.00156926 # DEPENDENCYPART_SIBL
(3,1),(3,15),-0.000526536 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0343663 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0220702 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.00146134 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.0111801 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.0130151 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.0220702 # DEPENDENCYPART_SIBL
(3,2),(3,10),-0.00167609 # DEPENDENCYPART_SIBL
(3,2),(3,11),0.00853923 # DEPENDENCYPART_SIBL
(3,2),(3,12),-0.0182007 # DEPENDENCYPART_SIBL
(3,2),(3,13),-0.00167609 # DEPENDENCYPART_SIBL
(3,2),(3,14),-0.00167609 # DEPENDENCYPART_SIBL
(3,2),(3,15),-0.00536076 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.0452469 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.0482369 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.144928 # DEPENDENCYPART_SIBL
(3,4),(3,8),0.144928 # DEPENDENCYPART_SIBL
(3,4),(3,9),0.0452469 # DEPENDENCYPART_SIBL
(3,4),(3,10),0.0608935 # DEPENDENCYPART_SIBL
(3,4),(3,11),0.06909 # DEPENDENCYPART_SIBL
(3,4),(3,12),0.000524127 # DEPENDENCYPART_SIBL
(3,4),(3,13),0.0608935 # DEPENDENCYPART_SIBL
(3,4),(3,14),0.0608935 # DEPENDENCYPART_SIBL
(3,4),(3,15),0.048195 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0422036 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.171361 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.171361 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.276303 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.095583 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.0914717 # DEPENDENCYPART_SIBL
(3,5),(3,12),-0.0518504 # DEPENDENCYPART_SIBL
(3,5),(3,13),-0.095583 # DEPENDENCYPART_SIBL
(3,5),(3,14),-0.095583 # DEPENDENCYPART_SIBL
(3,5),(3,15),-0.0422454 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.0186908 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.0186854 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.0510225 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.0459381 # DEPENDENCYPART_SIBL
(3,6),(3,11),-0.0422147 # DEPENDENCYPART_SIBL
(3,6),(3,12),-0.0473398 # DEPENDENCYPART_SIBL
(3,6),(3,13),-0.0459381 # DEPENDENCYPART_SIBL
(3,6),(3,14),-0.0459381 # DEPENDENCYPART_SIBL
(3,6),(3,15),-0.027402 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.0167972 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.0705157 # DEPENDENCYPART_SIBL
(3,7),(3,10),-0.000416903 # DEPENDENCYPART_SIBL
(3,7),(3,11),0.00310689 # DEPENDENCYPART_SIBL
(3,7),(3,12),-0.0284068 # DEPENDENCYPART_SIBL
(3,7),(3,13),-0.000416903 # DEPENDENCYPART_SIBL
(3,7),(3,14),-0.000416903 # DEPENDENCYPART_SIBL
(3,7),(3,15),-0.0357904 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.0638539 # DEPENDENCYPART_SIBL
(3,8),(3,10),0.00787924 # DEPENDENCYPART_SIBL
(3,8),(3,11),0.011403 # DEPENDENCYPART_SIBL
(3,8),(3,12),-0.0212057 # DEPENDENCYPART_SIBL
(3,8),(3,13),0.00787924 # DEPENDENCYPART_SIBL
(3,8),(3,14),0.00787924 # DEPENDENCYPART_SIBL
(3,8),(3,15),-0.0275976 # DEPENDENCYPART_SIBL
(3,9),(3,10),-0.095583 # DEPENDENCYPART_SIBL
(3,9),(3,11),-0.0914717 # DEPENDENCYPART_SIBL
(3,9),(3,12),-0.0518504 # DEPENDENCYPART_SIBL
(3,9),(3,13),-0.095583 # DEPENDENCYPART_SIBL
(3,9),(3,14),-0.095583 # DEPENDENCYPART_SIBL
(3,9),(3,15),-0.0422454 # DEPENDENCYPART_SIBL
(3,10),(3,11),-0.000830443 # DEPENDENCYPART_SIBL
(3,10),(3,12),-0.025415 # DEPENDENCYPART_SIBL
(3,10),(3,13),-0.0107342 # DEPENDENCYPART_SIBL
(3,10),(3,14),-0.0107342 # DEPENDENCYPART_SIBL
(3,10),(3,15),-0.0206216 # DEPENDENCYPART_SIBL
(3,11),(3,12),-0.025415 # DEPENDENCYPART_SIBL
(3,11),(3,13),-0.0107342 # DEPENDENCYPART_SIBL
(3,11),(3,14),-0.0107342 # DEPENDENCYPART_SIBL
(3,11),(3,15),-0.0206216 # DEPENDENCYPART_SIBL
(3,12),(3,13),-0.00398115 # DEPENDENCYPART_SIBL
(3,12),(3,14),-0.00398115 # DEPENDENCYPART_SIBL
(3,12),(3,15),-0.0336369 # DEPENDENCYPART_SIBL
(3,13),(3,14),-0.0107342 # DEPENDENCYPART_SIBL
(3,13),(3,15),-0.0206216 # DEPENDENCYPART_SIBL
(3,14),(3,15),-0.0206216 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.0429764 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.00308072 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.045867 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.0273875 # DEPENDENCYPART_SIBL
(4,2),(4,8),0.025638 # DEPENDENCYPART_SIBL
(4,2),(4,12),0.0131635 # DEPENDENCYPART_SIBL
(4,2),(4,15),0.0458682 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.022515 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.0456583 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.0163141 # DEPENDENCYPART_SIBL
(4,3),(4,8),0.016336 # DEPENDENCYPART_SIBL
(4,3),(4,12),0.0175564 # DEPENDENCYPART_SIBL
(4,3),(4,15),0.0510118 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.112111 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.169272 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.169272 # DEPENDENCYPART_SIBL
(4,5),(4,12),-0.0969727 # DEPENDENCYPART_SIBL
(4,5),(4,15),-0.112111 # DEPENDENCYPART_SIBL
(4,6),(4,7),0.0433359 # DEPENDENCYPART_SIBL
(4,6),(4,8),0.0433413 # DEPENDENCYPART_SIBL
(4,6),(4,12),0.00500037 # DEPENDENCYPART_SIBL
(4,6),(4,15),-0.00283612 # DEPENDENCYPART_SIBL
(4,7),(4,8),0.00433338 # DEPENDENCYPART_SIBL
(4,7),(4,12),-0.0116986 # DEPENDENCYPART_SIBL
(4,7),(4,15),-0.0278696 # DEPENDENCYPART_SIBL
(4,8),(4,12),-0.011429 # DEPENDENCYPART_SIBL
(4,8),(4,15),-0.0267685 # DEPENDENCYPART_SIBL
(4,12),(4,15),-0.0340103 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.02589 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.38178 # DEPENDENCYPART_SIBL
(5,3),(5,15),0.387133 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.138874 # DEPENDENCYPART_SIBL
(5,4),(5,15),0.13753 # DEPENDENCYPART_SIBL
(5,6),(5,15),0.00573629 # DEPENDENCYPART_SIBL
(6,1),(6,2),-0.0413672 # DEPENDENCYPART_SIBL
(6,1),(6,3),-0.00486773 # DEPENDENCYPART_SIBL
(6,1),(6,4),0.0286308 # DEPENDENCYPART_SIBL
(6,1),(6,5),-0.0462711 # DEPENDENCYPART_SIBL
(6,1),(6,7),-0.00445373 # DEPENDENCYPART_SIBL
(6,1),(6,8),-0.0286489 # DEPENDENCYPART_SIBL
(6,1),(6,9),-0.0200352 # DEPENDENCYPART_SIBL
(6,1),(6,10),-0.00866366 # DEPENDENCYPART_SIBL
(6,1),(6,11),0.00155166 # DEPENDENCYPART_SIBL
(6,1),(6,12),-0.0185343 # DEPENDENCYPART_SIBL
(6,1),(6,13),-0.00866366 # DEPENDENCYPART_SIBL
(6,1),(6,14),-0.00866366 # DEPENDENCYPART_SIBL
(6,1),(6,15),-0.00263286 # DEPENDENCYPART_SIBL
(6,2),(6,3),0.000983222 # DEPENDENCYPART_SIBL
(6,2),(6,4),0.0305812 # DEPENDENCYPART_SIBL
(6,2),(6,5),-0.0443208 # DEPENDENCYPART_SIBL
(6,2),(6,7),-0.00916346 # DEPENDENCYPART_SIBL
(6,2),(6,8),-0.0333586 # DEPENDENCYPART_SIBL
(6,2),(6,9),-0.0210883 # DEPENDENCYPART_SIBL
(6,2),(6,10),-0.011909 # DEPENDENCYPART_SIBL
(6,2),(6,11),-0.00169369 # DEPENDENCYPART_SIBL
(6,2),(6,12),-0.0208895 # DEPENDENCYPART_SIBL
(6,2),(6,13),-0.011909 # DEPENDENCYPART_SIBL
(6,2),(6,14),-0.011909 # DEPENDENCYPART_SIBL
(6,2),(6,15),-0.00746708 # DEPENDENCYPART_SIBL
(6,3),(6,4),-0.0144958 # DEPENDENCYPART_SIBL
(6,3),(6,5),-0.0895871 # DEPENDENCYPART_SIBL
(6,3),(6,7),0.0520851 # DEPENDENCYPART_SIBL
(6,3),(6,8),0.0330299 # DEPENDENCYPART_SIBL
(6,3),(6,9),-0.00936343 # DEPENDENCYPART_SIBL
(6,3),(6,10),-0.00654893 # DEPENDENCYPART_SIBL
(6,3),(6,11),-0.00041808 # DEPENDENCYPART_SIBL
