# _root_ aurtengo ekoizpenen erakusketez_gainera , bertso txapelketak eta lete , valverde eta lertxundiren kantaldiek hartuko dute lekurik nabarmenena .
#goldHeads=2,3,14,3,6,7,14,11,8,11,13,11,7,0,14,14,16,17,
#predictedHeads=2,3,7,3,6,7,14,11,8,11,13,11,14,0,14,14,16,17,
(13,1),0.10428 # DEPENDENCYPART_ARC
(13,2),-0.441555 # DEPENDENCYPART_ARC
(13,5),-0.662113 # DEPENDENCYPART_ARC
(13,6),-2.81586 # DEPENDENCYPART_ARC
(13,7),-0.173498 # DEPENDENCYPART_ARC
(13,8),-0.65978 # DEPENDENCYPART_ARC
(13,9),-1.39239 # DEPENDENCYPART_ARC
(13,10),-0.52291 # DEPENDENCYPART_ARC
(13,11),0.220903 # DEPENDENCYPART_ARC
(13,12),1.48802 # DEPENDENCYPART_ARC
(13,14),-0.998102 # DEPENDENCYPART_ARC
(13,15),-1.22583 # DEPENDENCYPART_ARC
(13,16),-1.33653 # DEPENDENCYPART_ARC
(13,17),-0.783146 # DEPENDENCYPART_ARC
(13,18),-1.32977 # DEPENDENCYPART_ARC
(14,1),-0.653517 # DEPENDENCYPART_ARC
(14,2),-1.6392 # DEPENDENCYPART_ARC
(14,3),-1.1958 # DEPENDENCYPART_ARC
(14,4),-1.8525 # DEPENDENCYPART_ARC
(14,5),-0.635768 # DEPENDENCYPART_ARC
(14,6),-0.0726308 # DEPENDENCYPART_ARC
(14,7),-0.234896 # DEPENDENCYPART_ARC
(14,8),-1.34552 # DEPENDENCYPART_ARC
(14,9),-1.67082 # DEPENDENCYPART_ARC
(14,10),-0.458862 # DEPENDENCYPART_ARC
(14,11),0.111511 # DEPENDENCYPART_ARC
(14,12),-0.599499 # DEPENDENCYPART_ARC
(14,13),1.84686 # DEPENDENCYPART_ARC
(14,15),1.60561 # DEPENDENCYPART_ARC
(14,16),0.456996 # DEPENDENCYPART_ARC
(14,17),-0.179077 # DEPENDENCYPART_ARC
(15,3),-0.532529 # DEPENDENCYPART_ARC
(15,10),-0.906775 # DEPENDENCYPART_ARC
(15,12),-0.921535 # DEPENDENCYPART_ARC
(15,13),-0.206496 # DEPENDENCYPART_ARC
(15,16),-0.976374 # DEPENDENCYPART_ARC
(15,17),-1.92959 # DEPENDENCYPART_ARC
(16,1),-0.214641 # DEPENDENCYPART_ARC
(16,7),-0.901817 # DEPENDENCYPART_ARC
(16,9),-1.68249 # DEPENDENCYPART_ARC
(16,10),-1.13304 # DEPENDENCYPART_ARC
(16,11),-0.813835 # DEPENDENCYPART_ARC
(16,12),-1.03765 # DEPENDENCYPART_ARC
(16,13),-1.68981 # DEPENDENCYPART_ARC
(16,14),-0.303945 # DEPENDENCYPART_ARC
(16,15),-0.892905 # DEPENDENCYPART_ARC
(16,17),1.97155 # DEPENDENCYPART_ARC
(16,18),-0.603828 # DEPENDENCYPART_ARC
(17,13),-2.10266 # DEPENDENCYPART_ARC
(17,14),-0.768869 # DEPENDENCYPART_ARC
(17,16),-0.856454 # DEPENDENCYPART_ARC
(17,18),1.70618 # DEPENDENCYPART_ARC
(0,1),(0,2),0.0808115 # DEPENDENCYPART_SIBL
(0,1),(0,3),0.0808115 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.0730098 # DEPENDENCYPART_SIBL
(0,1),(0,5),0.0808115 # DEPENDENCYPART_SIBL
(0,1),(0,6),0.0808115 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.061307 # DEPENDENCYPART_SIBL
(0,1),(0,8),0.0808115 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.0730098 # DEPENDENCYPART_SIBL
(0,1),(0,10),0.0808115 # DEPENDENCYPART_SIBL
(0,1),(0,11),-0.061307 # DEPENDENCYPART_SIBL
(0,1),(0,12),0.0808115 # DEPENDENCYPART_SIBL
(0,1),(0,13),0.0808115 # DEPENDENCYPART_SIBL
(0,1),(0,14),-0.0352792 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.0663496 # DEPENDENCYPART_SIBL
(0,1),(0,16),0.0770047 # DEPENDENCYPART_SIBL
(0,1),(0,17),0.0581077 # DEPENDENCYPART_SIBL
(0,1),(0,18),-0.0936545 # DEPENDENCYPART_SIBL
(0,2),(0,3),0.0509439 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.13484 # DEPENDENCYPART_SIBL
(0,2),(0,5),0.0509439 # DEPENDENCYPART_SIBL
(0,2),(0,6),0.0509439 # DEPENDENCYPART_SIBL
(0,2),(0,7),-0.0875943 # DEPENDENCYPART_SIBL
(0,2),(0,8),0.0509439 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.13484 # DEPENDENCYPART_SIBL
(0,2),(0,10),0.0509439 # DEPENDENCYPART_SIBL
(0,2),(0,11),-0.0875943 # DEPENDENCYPART_SIBL
(0,2),(0,12),0.0509439 # DEPENDENCYPART_SIBL
(0,2),(0,13),0.0509439 # DEPENDENCYPART_SIBL
(0,2),(0,14),-0.121855 # DEPENDENCYPART_SIBL
(0,2),(0,15),-0.0728182 # DEPENDENCYPART_SIBL
(0,2),(0,16),0.043531 # DEPENDENCYPART_SIBL
(0,2),(0,17),0.0183958 # DEPENDENCYPART_SIBL
(0,2),(0,18),-0.174982 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.13484 # DEPENDENCYPART_SIBL
(0,3),(0,5),0.0509439 # DEPENDENCYPART_SIBL
(0,3),(0,6),0.0509439 # DEPENDENCYPART_SIBL
(0,3),(0,7),-0.0875943 # DEPENDENCYPART_SIBL
(0,3),(0,8),0.0509439 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.13484 # DEPENDENCYPART_SIBL
(0,3),(0,10),0.0509439 # DEPENDENCYPART_SIBL
(0,3),(0,11),-0.0875943 # DEPENDENCYPART_SIBL
(0,3),(0,12),0.0509439 # DEPENDENCYPART_SIBL
(0,3),(0,13),0.0509439 # DEPENDENCYPART_SIBL
(0,3),(0,14),-0.121855 # DEPENDENCYPART_SIBL
(0,3),(0,15),-0.0728182 # DEPENDENCYPART_SIBL
(0,3),(0,16),0.043531 # DEPENDENCYPART_SIBL
(0,3),(0,17),0.0183958 # DEPENDENCYPART_SIBL
(0,3),(0,18),-0.174982 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.202026 # DEPENDENCYPART_SIBL
(0,4),(0,6),-0.202026 # DEPENDENCYPART_SIBL
(0,4),(0,7),-0.226163 # DEPENDENCYPART_SIBL
(0,4),(0,8),-0.202026 # DEPENDENCYPART_SIBL
(0,4),(0,9),-0.413823 # DEPENDENCYPART_SIBL
(0,4),(0,10),-0.202026 # DEPENDENCYPART_SIBL
(0,4),(0,11),-0.226163 # DEPENDENCYPART_SIBL
(0,4),(0,12),-0.202026 # DEPENDENCYPART_SIBL
(0,4),(0,13),-0.202026 # DEPENDENCYPART_SIBL
(0,4),(0,14),-0.298108 # DEPENDENCYPART_SIBL
(0,4),(0,15),-0.221187 # DEPENDENCYPART_SIBL
(0,4),(0,16),-0.205833 # DEPENDENCYPART_SIBL
(0,4),(0,17),-0.132739 # DEPENDENCYPART_SIBL
(0,4),(0,18),-0.340789 # DEPENDENCYPART_SIBL
(0,5),(0,6),0.0509439 # DEPENDENCYPART_SIBL
(0,5),(0,7),-0.0875943 # DEPENDENCYPART_SIBL
(0,5),(0,8),0.0509439 # DEPENDENCYPART_SIBL
(0,5),(0,9),-0.13484 # DEPENDENCYPART_SIBL
(0,5),(0,10),0.0509439 # DEPENDENCYPART_SIBL
(0,5),(0,11),-0.0875943 # DEPENDENCYPART_SIBL
(0,5),(0,12),0.0509439 # DEPENDENCYPART_SIBL
(0,5),(0,13),0.0509439 # DEPENDENCYPART_SIBL
(0,5),(0,14),-0.121855 # DEPENDENCYPART_SIBL
(0,5),(0,15),-0.0728182 # DEPENDENCYPART_SIBL
(0,5),(0,16),0.043531 # DEPENDENCYPART_SIBL
(0,5),(0,17),0.0183958 # DEPENDENCYPART_SIBL
(0,5),(0,18),-0.174982 # DEPENDENCYPART_SIBL
(0,6),(0,7),-0.0875943 # DEPENDENCYPART_SIBL
(0,6),(0,8),0.0509439 # DEPENDENCYPART_SIBL
(0,6),(0,9),-0.13484 # DEPENDENCYPART_SIBL
(0,6),(0,10),0.0509439 # DEPENDENCYPART_SIBL
(0,6),(0,11),-0.0875943 # DEPENDENCYPART_SIBL
(0,6),(0,12),0.0509439 # DEPENDENCYPART_SIBL
(0,6),(0,13),0.0509439 # DEPENDENCYPART_SIBL
(0,6),(0,14),-0.121855 # DEPENDENCYPART_SIBL
(0,6),(0,15),-0.0728182 # DEPENDENCYPART_SIBL
(0,6),(0,16),0.043531 # DEPENDENCYPART_SIBL
(0,6),(0,17),0.0183958 # DEPENDENCYPART_SIBL
(0,6),(0,18),-0.174982 # DEPENDENCYPART_SIBL
(0,7),(0,8),-0.0223684 # DEPENDENCYPART_SIBL
(0,7),(0,9),0.0156699 # DEPENDENCYPART_SIBL
(0,7),(0,10),-0.0223684 # DEPENDENCYPART_SIBL
(0,7),(0,11),-0.0395181 # DEPENDENCYPART_SIBL
(0,7),(0,12),-0.0223684 # DEPENDENCYPART_SIBL
(0,7),(0,13),-0.0223684 # DEPENDENCYPART_SIBL
(0,7),(0,14),-0.0376683 # DEPENDENCYPART_SIBL
(0,7),(0,15),-0.0387246 # DEPENDENCYPART_SIBL
(0,7),(0,16),-0.0282793 # DEPENDENCYPART_SIBL
(0,7),(0,17),0.0259329 # DEPENDENCYPART_SIBL
(0,7),(0,18),-0.0473547 # DEPENDENCYPART_SIBL
(0,8),(0,9),-0.13484 # DEPENDENCYPART_SIBL
(0,8),(0,10),0.0509439 # DEPENDENCYPART_SIBL
(0,8),(0,11),-0.0875943 # DEPENDENCYPART_SIBL
(0,8),(0,12),0.0509439 # DEPENDENCYPART_SIBL
(0,8),(0,13),0.0509439 # DEPENDENCYPART_SIBL
(0,8),(0,14),-0.121855 # DEPENDENCYPART_SIBL
(0,8),(0,15),-0.0728182 # DEPENDENCYPART_SIBL
(0,8),(0,16),0.043531 # DEPENDENCYPART_SIBL
(0,8),(0,17),0.0183958 # DEPENDENCYPART_SIBL
(0,8),(0,18),-0.174982 # DEPENDENCYPART_SIBL
(0,9),(0,10),-0.202026 # DEPENDENCYPART_SIBL
(0,9),(0,11),-0.226163 # DEPENDENCYPART_SIBL
(0,9),(0,12),-0.202026 # DEPENDENCYPART_SIBL
(0,9),(0,13),-0.202026 # DEPENDENCYPART_SIBL
(0,9),(0,14),-0.298108 # DEPENDENCYPART_SIBL
(0,9),(0,15),-0.221187 # DEPENDENCYPART_SIBL
(0,9),(0,16),-0.205833 # DEPENDENCYPART_SIBL
(0,9),(0,17),-0.132739 # DEPENDENCYPART_SIBL
(0,9),(0,18),-0.340789 # DEPENDENCYPART_SIBL
(0,10),(0,11),-0.0875943 # DEPENDENCYPART_SIBL
(0,10),(0,12),0.0509439 # DEPENDENCYPART_SIBL
(0,10),(0,13),0.0509439 # DEPENDENCYPART_SIBL
(0,10),(0,14),-0.121855 # DEPENDENCYPART_SIBL
(0,10),(0,15),-0.0728182 # DEPENDENCYPART_SIBL
(0,10),(0,16),0.043531 # DEPENDENCYPART_SIBL
(0,10),(0,17),0.0183958 # DEPENDENCYPART_SIBL
(0,10),(0,18),-0.174982 # DEPENDENCYPART_SIBL
(0,11),(0,12),-0.0223684 # DEPENDENCYPART_SIBL
(0,11),(0,13),-0.0223684 # DEPENDENCYPART_SIBL
(0,11),(0,14),-0.0376683 # DEPENDENCYPART_SIBL
(0,11),(0,15),-0.0387246 # DEPENDENCYPART_SIBL
(0,11),(0,16),-0.0282793 # DEPENDENCYPART_SIBL
(0,11),(0,17),0.0259329 # DEPENDENCYPART_SIBL
(0,11),(0,18),-0.0473547 # DEPENDENCYPART_SIBL
(0,12),(0,13),0.0509439 # DEPENDENCYPART_SIBL
(0,12),(0,14),-0.121855 # DEPENDENCYPART_SIBL
(0,12),(0,15),-0.0728182 # DEPENDENCYPART_SIBL
(0,12),(0,16),0.043531 # DEPENDENCYPART_SIBL
(0,12),(0,17),0.0183958 # DEPENDENCYPART_SIBL
(0,12),(0,18),-0.174982 # DEPENDENCYPART_SIBL
(0,13),(0,14),-0.121855 # DEPENDENCYPART_SIBL
(0,13),(0,15),-0.0728182 # DEPENDENCYPART_SIBL
(0,13),(0,16),0.043531 # DEPENDENCYPART_SIBL
(0,13),(0,17),0.0183958 # DEPENDENCYPART_SIBL
(0,13),(0,18),-0.174982 # DEPENDENCYPART_SIBL
(0,14),(0,15),-0.00571582 # DEPENDENCYPART_SIBL
(0,14),(0,16),-0.0104213 # DEPENDENCYPART_SIBL
(0,14),(0,17),-0.000765904 # DEPENDENCYPART_SIBL
(0,14),(0,18),-0.0699722 # DEPENDENCYPART_SIBL
(0,15),(0,16),0.00805421 # DEPENDENCYPART_SIBL
(0,15),(0,17),0.0147085 # DEPENDENCYPART_SIBL
(0,15),(0,18),-0.0730602 # DEPENDENCYPART_SIBL
(0,16),(0,17),0.0170598 # DEPENDENCYPART_SIBL
(0,16),(0,18),-0.176318 # DEPENDENCYPART_SIBL
(0,17),(0,18),-0.0798058 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.00965755 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.0235146 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.0235146 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0312564 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.0112729 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.0312625 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.0312564 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.0244399 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.0312564 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0816293 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.0073091 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.0073091 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.00858012 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.0073091 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.049334 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.049334 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.0281902 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.049334 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.0073091 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.00858012 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.0073091 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.00858012 # DEPENDENCYPART_SIBL
(2,6),(2,8),-0.0073091 # DEPENDENCYPART_SIBL
(2,7),(2,8),-0.00388583 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0684722 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.0112729 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0312625 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.0312564 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.0244399 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.0312564 # DEPENDENCYPART_SIBL
(3,1),(3,11),0.0244399 # DEPENDENCYPART_SIBL
(3,1),(3,14),0.0191062 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0483478 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.00627617 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.00621019 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.00711494 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.00621019 # DEPENDENCYPART_SIBL
(3,2),(3,11),0.00711494 # DEPENDENCYPART_SIBL
(3,2),(3,14),0.0243935 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.049334 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.049334 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0281902 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.049334 # DEPENDENCYPART_SIBL
(3,4),(3,11),-0.0281902 # DEPENDENCYPART_SIBL
(3,4),(3,14),-0.0372966 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0073091 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.00858012 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0073091 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.00858012 # DEPENDENCYPART_SIBL
(3,5),(3,14),-0.0374146 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.00858012 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.0073091 # DEPENDENCYPART_SIBL
(3,6),(3,11),-0.00858012 # DEPENDENCYPART_SIBL
(3,6),(3,14),-0.0374146 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.00388583 # DEPENDENCYPART_SIBL
(3,7),(3,11),0.0140485 # DEPENDENCYPART_SIBL
(3,7),(3,14),-0.0233304 # DEPENDENCYPART_SIBL
(3,8),(3,11),-0.00858012 # DEPENDENCYPART_SIBL
(3,8),(3,14),-0.0374146 # DEPENDENCYPART_SIBL
(3,11),(3,14),-0.0233304 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.0141349 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.289296 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.289362 # DEPENDENCYPART_SIBL
(4,2),(4,16),0.289326 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.289296 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.289362 # DEPENDENCYPART_SIBL
(4,3),(4,16),0.289326 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.0743166 # DEPENDENCYPART_SIBL
(4,5),(4,16),0.0731146 # DEPENDENCYPART_SIBL
(4,6),(4,16),0.0731146 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.0684722 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.0684722 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.00334684 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.0312564 # DEPENDENCYPART_SIBL
(5,1),(5,7),0.0244399 # DEPENDENCYPART_SIBL
(5,1),(5,8),-0.0312564 # DEPENDENCYPART_SIBL
(5,1),(5,10),-0.0312564 # DEPENDENCYPART_SIBL
(5,1),(5,11),0.0244399 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.00783131 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.0259473 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.00621019 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.00711494 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.00621019 # DEPENDENCYPART_SIBL
(5,2),(5,10),-0.00621019 # DEPENDENCYPART_SIBL
(5,2),(5,11),0.00711494 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.0259473 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.00621019 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.00711494 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.00621019 # DEPENDENCYPART_SIBL
(5,3),(5,10),-0.00621019 # DEPENDENCYPART_SIBL
(5,3),(5,11),0.00711494 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.0562268 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.0342394 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.0562268 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.0562268 # DEPENDENCYPART_SIBL
(5,4),(5,11),-0.0342394 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.00858012 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.0073091 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.0073091 # DEPENDENCYPART_SIBL
(5,6),(5,11),-0.00858012 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.00388583 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.00388583 # DEPENDENCYPART_SIBL
(5,7),(5,11),0.0140485 # DEPENDENCYPART_SIBL
(5,8),(5,10),-0.0073091 # DEPENDENCYPART_SIBL
(5,8),(5,11),-0.00858012 # DEPENDENCYPART_SIBL
(5,10),(5,11),-0.00858012 # DEPENDENCYPART_SIBL
(6,1),(6,2),0.0684722 # DEPENDENCYPART_SIBL
(6,1),(6,3),0.0684722 # DEPENDENCYPART_SIBL
(6,1),(6,4),0.00334684 # DEPENDENCYPART_SIBL
(6,1),(6,5),0.0684722 # DEPENDENCYPART_SIBL
(6,1),(6,7),0.0244399 # DEPENDENCYPART_SIBL
(6,1),(6,8),-0.0312564 # DEPENDENCYPART_SIBL
(6,1),(6,9),0.0112729 # DEPENDENCYPART_SIBL
(6,1),(6,10),-0.0312564 # DEPENDENCYPART_SIBL
(6,1),(6,11),0.0244399 # DEPENDENCYPART_SIBL
(6,1),(6,12),-0.0312564 # DEPENDENCYPART_SIBL
(6,2),(6,3),-0.00783131 # DEPENDENCYPART_SIBL
(6,2),(6,4),-0.0259473 # DEPENDENCYPART_SIBL
(6,2),(6,5),-0.00783131 # DEPENDENCYPART_SIBL
(6,2),(6,7),0.00711494 # DEPENDENCYPART_SIBL
(6,2),(6,8),-0.00621019 # DEPENDENCYPART_SIBL
(6,2),(6,9),0.0483478 # DEPENDENCYPART_SIBL
(6,2),(6,10),-0.00621019 # DEPENDENCYPART_SIBL
(6,2),(6,11),0.00711494 # DEPENDENCYPART_SIBL
(6,2),(6,12),-0.00621019 # DEPENDENCYPART_SIBL
(6,3),(6,4),-0.0259473 # DEPENDENCYPART_SIBL
(6,3),(6,5),-0.00783131 # DEPENDENCYPART_SIBL
(6,3),(6,7),0.00711494 # DEPENDENCYPART_SIBL
