# _root_ hura ikustean arkitektoa izan behar_nuen burutazioa sartu zitzaion aitari , etxetxoak ganbarara bazterreratu eta traste_artean zapuztu , potortu eta hautsatu ziren arte .
#goldHeads=2,7,4,5,6,7,0,7,7,9,13,13,14,7,16,14,16,14,7,14,20,21,22,
#predictedHeads=2,5,4,5,6,7,0,7,7,9,13,13,14,7,16,14,16,19,0,19,20,20,22,
(6,2),-0.836482 # DEPENDENCYPART_ARC
(6,3),-2.25591 # DEPENDENCYPART_ARC
(6,4),-0.0155712 # DEPENDENCYPART_ARC
(6,5),1.21967 # DEPENDENCYPART_ARC
(6,8),-0.708519 # DEPENDENCYPART_ARC
(7,1),-0.567048 # DEPENDENCYPART_ARC
(7,2),0.309975 # DEPENDENCYPART_ARC
(7,3),0.0953145 # DEPENDENCYPART_ARC
(7,4),-0.292723 # DEPENDENCYPART_ARC
(7,5),0.332055 # DEPENDENCYPART_ARC
(7,6),1.61262 # DEPENDENCYPART_ARC
(7,8),1.76111 # DEPENDENCYPART_ARC
(7,9),0.858494 # DEPENDENCYPART_ARC
(7,10),-0.564096 # DEPENDENCYPART_ARC
(7,11),-0.71867 # DEPENDENCYPART_ARC
(7,12),-0.15729 # DEPENDENCYPART_ARC
(7,13),-0.230569 # DEPENDENCYPART_ARC
(7,14),-0.197273 # DEPENDENCYPART_ARC
(7,15),-0.694476 # DEPENDENCYPART_ARC
(7,16),-0.218038 # DEPENDENCYPART_ARC
(7,18),-0.615797 # DEPENDENCYPART_ARC
(7,19),-0.240428 # DEPENDENCYPART_ARC
(7,20),-1.21349 # DEPENDENCYPART_ARC
(7,21),-1.03577 # DEPENDENCYPART_ARC
(7,22),-0.784898 # DEPENDENCYPART_ARC
(8,6),-0.732021 # DEPENDENCYPART_ARC
(9,3),-2.50416 # DEPENDENCYPART_ARC
(9,4),-1.14277 # DEPENDENCYPART_ARC
(9,5),-0.587391 # DEPENDENCYPART_ARC
(9,6),-1.93745 # DEPENDENCYPART_ARC
(9,7),-0.304837 # DEPENDENCYPART_ARC
(9,8),-0.644044 # DEPENDENCYPART_ARC
(9,10),1.19015 # DEPENDENCYPART_ARC
(9,11),-0.829873 # DEPENDENCYPART_ARC
(9,12),-0.936261 # DEPENDENCYPART_ARC
(10,11),-0.445936 # DEPENDENCYPART_ARC
(11,9),-1.76958 # DEPENDENCYPART_ARC
(11,10),-0.205123 # DEPENDENCYPART_ARC
(11,12),-0.242727 # DEPENDENCYPART_ARC
(11,15),-1.60706 # DEPENDENCYPART_ARC
(11,23),-1.57547 # DEPENDENCYPART_ARC
(12,7),-1.33268 # DEPENDENCYPART_ARC
(12,9),-2.1382 # DEPENDENCYPART_ARC
(12,10),-0.921352 # DEPENDENCYPART_ARC
(12,11),-0.677232 # DEPENDENCYPART_ARC
(12,13),-0.489027 # DEPENDENCYPART_ARC
(12,15),-1.35231 # DEPENDENCYPART_ARC
(12,23),-1.25897 # DEPENDENCYPART_ARC
(13,1),-0.820298 # DEPENDENCYPART_ARC
(13,3),-0.625372 # DEPENDENCYPART_ARC
(13,4),-1.1324 # DEPENDENCYPART_ARC
(13,5),-0.858978 # DEPENDENCYPART_ARC
(13,6),-0.345548 # DEPENDENCYPART_ARC
(13,7),-0.827328 # DEPENDENCYPART_ARC
(13,8),-1.09761 # DEPENDENCYPART_ARC
(13,9),-0.114757 # DEPENDENCYPART_ARC
(13,10),-1.37226 # DEPENDENCYPART_ARC
(13,11),0.808672 # DEPENDENCYPART_ARC
(13,12),1.68917 # DEPENDENCYPART_ARC
(13,14),-0.0107518 # DEPENDENCYPART_ARC
(13,15),-0.366514 # DEPENDENCYPART_ARC
(13,16),-0.322824 # DEPENDENCYPART_ARC
(13,17),-0.830502 # DEPENDENCYPART_ARC
(13,18),-0.624098 # DEPENDENCYPART_ARC
(13,20),-0.829849 # DEPENDENCYPART_ARC
(13,21),-1.15561 # DEPENDENCYPART_ARC
(13,22),-1.1472 # DEPENDENCYPART_ARC
(14,2),-1.16067 # DEPENDENCYPART_ARC
(14,3),-1.331 # DEPENDENCYPART_ARC
(14,4),-0.901374 # DEPENDENCYPART_ARC
(14,5),-1.01469 # DEPENDENCYPART_ARC
(14,6),-0.924663 # DEPENDENCYPART_ARC
(14,7),-0.18341 # DEPENDENCYPART_ARC
(14,9),-0.417048 # DEPENDENCYPART_ARC
(14,10),-1.37988 # DEPENDENCYPART_ARC
(14,11),-0.393927 # DEPENDENCYPART_ARC
(14,12),-0.309569 # DEPENDENCYPART_ARC
(14,13),1.93962 # DEPENDENCYPART_ARC
(14,15),0.803566 # DEPENDENCYPART_ARC
(14,16),0.288547 # DEPENDENCYPART_ARC
(14,17),-0.57321 # DEPENDENCYPART_ARC
(14,18),-0.247309 # DEPENDENCYPART_ARC
(14,19),-0.502096 # DEPENDENCYPART_ARC
(14,20),0.0239117 # DEPENDENCYPART_ARC
(14,22),-1.12974 # DEPENDENCYPART_ARC
(15,13),-0.655958 # DEPENDENCYPART_ARC
(15,14),-0.565872 # DEPENDENCYPART_ARC
(15,16),-0.753656 # DEPENDENCYPART_ARC
(15,17),-0.49287 # DEPENDENCYPART_ARC
(15,21),-1.89582 # DEPENDENCYPART_ARC
(15,23),-1.286 # DEPENDENCYPART_ARC
(16,1),-0.561217 # DEPENDENCYPART_ARC
(16,2),-0.509741 # DEPENDENCYPART_ARC
(16,3),-0.628158 # DEPENDENCYPART_ARC
(16,5),-0.917515 # DEPENDENCYPART_ARC
(16,6),-0.369223 # DEPENDENCYPART_ARC
(16,7),-0.777142 # DEPENDENCYPART_ARC
(16,8),-0.867097 # DEPENDENCYPART_ARC
(16,9),-0.452853 # DEPENDENCYPART_ARC
(16,10),-1.53758 # DEPENDENCYPART_ARC
(16,11),0.0366779 # DEPENDENCYPART_ARC
(16,12),0.320133 # DEPENDENCYPART_ARC
(16,13),-0.209857 # DEPENDENCYPART_ARC
(16,14),0.117534 # DEPENDENCYPART_ARC
(16,15),1.84192 # DEPENDENCYPART_ARC
(16,17),1.15467 # DEPENDENCYPART_ARC
(16,18),0.108832 # DEPENDENCYPART_ARC
(16,19),-0.36883 # DEPENDENCYPART_ARC
(16,20),-0.3097 # DEPENDENCYPART_ARC
(16,21),-0.208786 # DEPENDENCYPART_ARC
(16,22),-0.639359 # DEPENDENCYPART_ARC
(17,13),-1.00822 # DEPENDENCYPART_ARC
(17,15),-0.866602 # DEPENDENCYPART_ARC
(17,16),-0.0661973 # DEPENDENCYPART_ARC
(17,18),-0.103179 # DEPENDENCYPART_ARC
(17,20),-0.733878 # DEPENDENCYPART_ARC
(18,1),-0.979759 # DEPENDENCYPART_ARC
(18,5),-1.22707 # DEPENDENCYPART_ARC
(18,7),-1.22351 # DEPENDENCYPART_ARC
(18,8),-1.4575 # DEPENDENCYPART_ARC
(18,9),-0.967967 # DEPENDENCYPART_ARC
(18,11),-0.641879 # DEPENDENCYPART_ARC
(18,12),-0.732168 # DEPENDENCYPART_ARC
(18,13),-0.912492 # DEPENDENCYPART_ARC
(18,14),-0.126028 # DEPENDENCYPART_ARC
(18,15),-0.126825 # DEPENDENCYPART_ARC
(18,16),-0.235348 # DEPENDENCYPART_ARC
(18,17),-0.596579 # DEPENDENCYPART_ARC
(18,19),0.101508 # DEPENDENCYPART_ARC
(18,20),-0.135869 # DEPENDENCYPART_ARC
(18,21),-0.107129 # DEPENDENCYPART_ARC
(18,22),-0.357819 # DEPENDENCYPART_ARC
(19,2),-1.38945 # DEPENDENCYPART_ARC
(19,4),-1.33402 # DEPENDENCYPART_ARC
(19,7),-0.60569 # DEPENDENCYPART_ARC
(19,11),-1.18267 # DEPENDENCYPART_ARC
(19,12),-1.45382 # DEPENDENCYPART_ARC
(19,13),-0.0681015 # DEPENDENCYPART_ARC
(19,14),-0.30009 # DEPENDENCYPART_ARC
(19,15),-0.693059 # DEPENDENCYPART_ARC
(19,16),0.334851 # DEPENDENCYPART_ARC
(19,17),-0.888051 # DEPENDENCYPART_ARC
(19,18),1.62936 # DEPENDENCYPART_ARC
(19,20),1.35202 # DEPENDENCYPART_ARC
(19,21),-0.124387 # DEPENDENCYPART_ARC
(19,22),-0.376221 # DEPENDENCYPART_ARC
(20,14),-0.900031 # DEPENDENCYPART_ARC
(20,15),-0.800406 # DEPENDENCYPART_ARC
(20,16),-0.974973 # DEPENDENCYPART_ARC
(20,17),-1.74369 # DEPENDENCYPART_ARC
(20,18),-0.369231 # DEPENDENCYPART_ARC
(20,19),-0.276463 # DEPENDENCYPART_ARC
(20,21),2.18696 # DEPENDENCYPART_ARC
(20,22),0.479219 # DEPENDENCYPART_ARC
(21,22),0.20099 # DEPENDENCYPART_ARC
(22,17),-1.90704 # DEPENDENCYPART_ARC
(22,18),-1.04722 # DEPENDENCYPART_ARC
(22,19),-0.931162 # DEPENDENCYPART_ARC
(22,20),-0.765144 # DEPENDENCYPART_ARC
(22,21),-1.22836 # DEPENDENCYPART_ARC
(22,23),1.61822 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.122514 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.0151248 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.105921 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.122514 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.0151248 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.124461 # DEPENDENCYPART_SIBL
(0,1),(0,8),-0.0578045 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.0151248 # DEPENDENCYPART_SIBL
(0,1),(0,10),-0.128081 # DEPENDENCYPART_SIBL
(0,1),(0,13),-0.122514 # DEPENDENCYPART_SIBL
(0,1),(0,14),-0.074103 # DEPENDENCYPART_SIBL
(0,1),(0,16),-0.122514 # DEPENDENCYPART_SIBL
(0,1),(0,17),-0.128081 # DEPENDENCYPART_SIBL
(0,1),(0,18),-0.122514 # DEPENDENCYPART_SIBL
(0,1),(0,19),-0.074103 # DEPENDENCYPART_SIBL
(0,1),(0,20),-0.122514 # DEPENDENCYPART_SIBL
(0,1),(0,21),-0.0645075 # DEPENDENCYPART_SIBL
(0,1),(0,22),-0.0223214 # DEPENDENCYPART_SIBL
(0,1),(0,23),-0.135133 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.00562242 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.0787225 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.117133 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.00562242 # DEPENDENCYPART_SIBL
(0,2),(0,7),-0.11908 # DEPENDENCYPART_SIBL
(0,2),(0,8),0.00731177 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.00562242 # DEPENDENCYPART_SIBL
(0,2),(0,10),-0.0464622 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.117133 # DEPENDENCYPART_SIBL
(0,2),(0,14),-0.126699 # DEPENDENCYPART_SIBL
(0,2),(0,16),-0.117133 # DEPENDENCYPART_SIBL
(0,2),(0,17),-0.0464622 # DEPENDENCYPART_SIBL
(0,2),(0,18),-0.117133 # DEPENDENCYPART_SIBL
(0,2),(0,19),-0.126699 # DEPENDENCYPART_SIBL
(0,2),(0,20),-0.117133 # DEPENDENCYPART_SIBL
(0,2),(0,21),-0.0149872 # DEPENDENCYPART_SIBL
(0,2),(0,22),-0.0162993 # DEPENDENCYPART_SIBL
(0,2),(0,23),-0.0693041 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.0983313 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.112279 # DEPENDENCYPART_SIBL
(0,3),(0,6),0.0509439 # DEPENDENCYPART_SIBL
(0,3),(0,7),-0.114408 # DEPENDENCYPART_SIBL
(0,3),(0,8),-0.0609775 # DEPENDENCYPART_SIBL
(0,3),(0,9),0.0509439 # DEPENDENCYPART_SIBL
(0,3),(0,10),-0.13484 # DEPENDENCYPART_SIBL
(0,3),(0,13),-0.112279 # DEPENDENCYPART_SIBL
(0,3),(0,14),-0.0875943 # DEPENDENCYPART_SIBL
(0,3),(0,16),-0.112279 # DEPENDENCYPART_SIBL
(0,3),(0,17),-0.13484 # DEPENDENCYPART_SIBL
(0,3),(0,18),-0.112279 # DEPENDENCYPART_SIBL
(0,3),(0,19),-0.0875943 # DEPENDENCYPART_SIBL
(0,3),(0,20),-0.112279 # DEPENDENCYPART_SIBL
(0,3),(0,21),-0.0690615 # DEPENDENCYPART_SIBL
(0,3),(0,22),0.0410465 # DEPENDENCYPART_SIBL
(0,3),(0,23),-0.174982 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.0891901 # DEPENDENCYPART_SIBL
(0,4),(0,6),0.049652 # DEPENDENCYPART_SIBL
(0,4),(0,7),-0.0911365 # DEPENDENCYPART_SIBL
(0,4),(0,8),0.0721809 # DEPENDENCYPART_SIBL
(0,4),(0,9),0.049652 # DEPENDENCYPART_SIBL
(0,4),(0,10),-0.0270911 # DEPENDENCYPART_SIBL
(0,4),(0,13),-0.0891901 # DEPENDENCYPART_SIBL
(0,4),(0,14),-0.142404 # DEPENDENCYPART_SIBL
(0,4),(0,16),-0.0891901 # DEPENDENCYPART_SIBL
(0,4),(0,17),-0.0270911 # DEPENDENCYPART_SIBL
(0,4),(0,18),-0.0891901 # DEPENDENCYPART_SIBL
(0,4),(0,19),-0.142404 # DEPENDENCYPART_SIBL
(0,4),(0,20),-0.0891901 # DEPENDENCYPART_SIBL
(0,4),(0,21),0.0488454 # DEPENDENCYPART_SIBL
(0,4),(0,22),0.038491 # DEPENDENCYPART_SIBL
(0,4),(0,23),-0.0450233 # DEPENDENCYPART_SIBL
(0,5),(0,6),-0.00562242 # DEPENDENCYPART_SIBL
(0,5),(0,7),-0.11908 # DEPENDENCYPART_SIBL
(0,5),(0,8),0.00731177 # DEPENDENCYPART_SIBL
(0,5),(0,9),-0.00562242 # DEPENDENCYPART_SIBL
(0,5),(0,10),-0.0464622 # DEPENDENCYPART_SIBL
(0,5),(0,13),-0.117133 # DEPENDENCYPART_SIBL
(0,5),(0,14),-0.126699 # DEPENDENCYPART_SIBL
(0,5),(0,16),-0.117133 # DEPENDENCYPART_SIBL
(0,5),(0,17),-0.0464622 # DEPENDENCYPART_SIBL
(0,5),(0,18),-0.117133 # DEPENDENCYPART_SIBL
(0,5),(0,19),-0.126699 # DEPENDENCYPART_SIBL
(0,5),(0,20),-0.117133 # DEPENDENCYPART_SIBL
(0,5),(0,21),-0.0149872 # DEPENDENCYPART_SIBL
(0,5),(0,22),-0.0162993 # DEPENDENCYPART_SIBL
(0,5),(0,23),-0.0693041 # DEPENDENCYPART_SIBL
(0,6),(0,7),-0.114408 # DEPENDENCYPART_SIBL
(0,6),(0,8),-0.0609775 # DEPENDENCYPART_SIBL
(0,6),(0,9),0.0509439 # DEPENDENCYPART_SIBL
(0,6),(0,10),-0.13484 # DEPENDENCYPART_SIBL
(0,6),(0,13),-0.112279 # DEPENDENCYPART_SIBL
(0,6),(0,14),-0.0875943 # DEPENDENCYPART_SIBL
(0,6),(0,16),-0.112279 # DEPENDENCYPART_SIBL
(0,6),(0,17),-0.13484 # DEPENDENCYPART_SIBL
(0,6),(0,18),-0.112279 # DEPENDENCYPART_SIBL
(0,6),(0,19),-0.0875943 # DEPENDENCYPART_SIBL
(0,6),(0,20),-0.112279 # DEPENDENCYPART_SIBL
(0,6),(0,21),-0.0690615 # DEPENDENCYPART_SIBL
(0,6),(0,22),0.0410465 # DEPENDENCYPART_SIBL
(0,6),(0,23),-0.174982 # DEPENDENCYPART_SIBL
(0,7),(0,8),0.00433095 # DEPENDENCYPART_SIBL
(0,7),(0,9),-0.00975137 # DEPENDENCYPART_SIBL
(0,7),(0,10),-0.0491071 # DEPENDENCYPART_SIBL
(0,7),(0,13),-0.119978 # DEPENDENCYPART_SIBL
(0,7),(0,14),-0.131473 # DEPENDENCYPART_SIBL
(0,7),(0,16),-0.119978 # DEPENDENCYPART_SIBL
(0,7),(0,17),-0.0491071 # DEPENDENCYPART_SIBL
(0,7),(0,18),-0.119978 # DEPENDENCYPART_SIBL
(0,7),(0,19),-0.131473 # DEPENDENCYPART_SIBL
(0,7),(0,20),-0.119978 # DEPENDENCYPART_SIBL
(0,7),(0,21),-0.0179904 # DEPENDENCYPART_SIBL
(0,7),(0,22),-0.0204282 # DEPENDENCYPART_SIBL
(0,7),(0,23),-0.0719265 # DEPENDENCYPART_SIBL
(0,8),(0,9),-0.00561808 # DEPENDENCYPART_SIBL
(0,8),(0,10),-0.0716722 # DEPENDENCYPART_SIBL
(0,8),(0,13),-0.0142425 # DEPENDENCYPART_SIBL
(0,8),(0,14),-0.0466772 # DEPENDENCYPART_SIBL
(0,8),(0,16),-0.0142425 # DEPENDENCYPART_SIBL
(0,8),(0,17),-0.0716722 # DEPENDENCYPART_SIBL
(0,8),(0,18),-0.0142425 # DEPENDENCYPART_SIBL
(0,8),(0,19),-0.0466772 # DEPENDENCYPART_SIBL
(0,8),(0,20),-0.0142425 # DEPENDENCYPART_SIBL
(0,8),(0,21),-0.10328 # DEPENDENCYPART_SIBL
(0,8),(0,22),-0.0370055 # DEPENDENCYPART_SIBL
(0,8),(0,23),-0.0803004 # DEPENDENCYPART_SIBL
(0,9),(0,10),-0.13484 # DEPENDENCYPART_SIBL
(0,9),(0,13),-0.112279 # DEPENDENCYPART_SIBL
(0,9),(0,14),-0.0875943 # DEPENDENCYPART_SIBL
(0,9),(0,16),-0.112279 # DEPENDENCYPART_SIBL
(0,9),(0,17),-0.13484 # DEPENDENCYPART_SIBL
(0,9),(0,18),-0.112279 # DEPENDENCYPART_SIBL
(0,9),(0,19),-0.0875943 # DEPENDENCYPART_SIBL
(0,9),(0,20),-0.112279 # DEPENDENCYPART_SIBL
(0,9),(0,21),-0.0690615 # DEPENDENCYPART_SIBL
(0,9),(0,22),0.0410465 # DEPENDENCYPART_SIBL
(0,9),(0,23),-0.174982 # DEPENDENCYPART_SIBL
(0,10),(0,13),-0.293028 # DEPENDENCYPART_SIBL
(0,10),(0,14),-0.226163 # DEPENDENCYPART_SIBL
(0,10),(0,16),-0.293028 # DEPENDENCYPART_SIBL
(0,10),(0,17),-0.413823 # DEPENDENCYPART_SIBL
(0,10),(0,18),-0.293028 # DEPENDENCYPART_SIBL
(0,10),(0,19),-0.226163 # DEPENDENCYPART_SIBL
(0,10),(0,20),-0.293028 # DEPENDENCYPART_SIBL
(0,10),(0,21),-0.206852 # DEPENDENCYPART_SIBL
(0,10),(0,22),-0.209683 # DEPENDENCYPART_SIBL
(0,10),(0,23),-0.340789 # DEPENDENCYPART_SIBL
(0,13),(0,14),-0.126699 # DEPENDENCYPART_SIBL
(0,13),(0,16),-0.117133 # DEPENDENCYPART_SIBL
(0,13),(0,17),-0.0464622 # DEPENDENCYPART_SIBL
(0,13),(0,18),-0.117133 # DEPENDENCYPART_SIBL
(0,13),(0,19),-0.126699 # DEPENDENCYPART_SIBL
(0,13),(0,20),-0.117133 # DEPENDENCYPART_SIBL
(0,13),(0,21),-0.0149872 # DEPENDENCYPART_SIBL
(0,13),(0,22),-0.0162993 # DEPENDENCYPART_SIBL
(0,13),(0,23),-0.0693041 # DEPENDENCYPART_SIBL
(0,14),(0,16),-0.032339 # DEPENDENCYPART_SIBL
(0,14),(0,17),0.0156699 # DEPENDENCYPART_SIBL
(0,14),(0,18),-0.032339 # DEPENDENCYPART_SIBL
(0,14),(0,19),-0.0395181 # DEPENDENCYPART_SIBL
(0,14),(0,20),-0.032339 # DEPENDENCYPART_SIBL
(0,14),(0,21),-0.0230141 # DEPENDENCYPART_SIBL
(0,14),(0,22),-0.0311586 # DEPENDENCYPART_SIBL
(0,14),(0,23),-0.0473547 # DEPENDENCYPART_SIBL
(0,16),(0,17),-0.0464622 # DEPENDENCYPART_SIBL
(0,16),(0,18),-0.117133 # DEPENDENCYPART_SIBL
(0,16),(0,19),-0.126699 # DEPENDENCYPART_SIBL
(0,16),(0,20),-0.117133 # DEPENDENCYPART_SIBL
(0,16),(0,21),-0.0149872 # DEPENDENCYPART_SIBL
(0,16),(0,22),-0.0162993 # DEPENDENCYPART_SIBL
(0,16),(0,23),-0.0693041 # DEPENDENCYPART_SIBL
(0,17),(0,18),-0.293028 # DEPENDENCYPART_SIBL
(0,17),(0,19),-0.226163 # DEPENDENCYPART_SIBL
(0,17),(0,20),-0.293028 # DEPENDENCYPART_SIBL
(0,17),(0,21),-0.206852 # DEPENDENCYPART_SIBL
(0,17),(0,22),-0.209683 # DEPENDENCYPART_SIBL
(0,17),(0,23),-0.340789 # DEPENDENCYPART_SIBL
(0,18),(0,19),-0.126699 # DEPENDENCYPART_SIBL
(0,18),(0,20),-0.117133 # DEPENDENCYPART_SIBL
(0,18),(0,21),-0.0149872 # DEPENDENCYPART_SIBL
(0,18),(0,22),-0.0162993 # DEPENDENCYPART_SIBL
(0,18),(0,23),-0.0693041 # DEPENDENCYPART_SIBL
(0,19),(0,20),-0.032339 # DEPENDENCYPART_SIBL
(0,19),(0,21),-0.0230141 # DEPENDENCYPART_SIBL
(0,19),(0,22),-0.0311586 # DEPENDENCYPART_SIBL
(0,19),(0,23),-0.0473547 # DEPENDENCYPART_SIBL
(0,20),(0,21),-0.0149872 # DEPENDENCYPART_SIBL
(0,20),(0,22),-0.0162993 # DEPENDENCYPART_SIBL
(0,20),(0,23),-0.0693041 # DEPENDENCYPART_SIBL
(0,21),(0,22),-0.0394147 # DEPENDENCYPART_SIBL
(0,21),(0,23),-0.0867941 # DEPENDENCYPART_SIBL
(0,22),(0,23),-0.178152 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.00241761 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.0137151 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.00883725 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.00241761 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.033302 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.0144424 # DEPENDENCYPART_SIBL
(2,1),(2,19),-0.0317712 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0542295 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.0153158 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.0147462 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.018834 # DEPENDENCYPART_SIBL
(2,3),(2,10),-0.0287287 # DEPENDENCYPART_SIBL
(2,3),(2,19),-0.0177629 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.0279741 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.0816881 # DEPENDENCYPART_SIBL
(2,4),(2,8),0.184065 # DEPENDENCYPART_SIBL
(2,4),(2,10),0.0149668 # DEPENDENCYPART_SIBL
(2,4),(2,19),0.0175161 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.0453893 # DEPENDENCYPART_SIBL
(2,5),(2,8),0.0422987 # DEPENDENCYPART_SIBL
(2,5),(2,10),-0.0484521 # DEPENDENCYPART_SIBL
(2,5),(2,19),-0.0409922 # DEPENDENCYPART_SIBL
(2,6),(2,8),-0.018834 # DEPENDENCYPART_SIBL
(2,6),(2,10),-0.0287287 # DEPENDENCYPART_SIBL
(2,6),(2,19),-0.0177629 # DEPENDENCYPART_SIBL
(2,8),(2,10),-0.0462287 # DEPENDENCYPART_SIBL
(2,8),(2,19),-0.010593 # DEPENDENCYPART_SIBL
(2,10),(2,19),-0.0468171 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.0224214 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0439218 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0213399 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.0177953 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.0363902 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.0416873 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.0654905 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.0415159 # DEPENDENCYPART_SIBL
(4,1),(4,8),0.0662979 # DEPENDENCYPART_SIBL
