# _root_ - abuztuaren 9an , berriozarren espainiako ejerzitoaren_aurka armaz burututako ekintza , zeinaren ondorioz francisco_casanova vicente tenienteordea hilik gertatu zen .
#goldHeads=0,3,9,3,9,7,9,9,10,0,10,13,18,16,14,18,18,10,18,19,
#predictedHeads=0,3,18,3,9,7,8,9,10,18,10,13,18,16,14,18,18,0,18,19,
(7,4),-1.52898 # DEPENDENCYPART_ARC
(7,5),-1.61318 # DEPENDENCYPART_ARC
(7,6),1.87143 # DEPENDENCYPART_ARC
(7,8),-0.269316 # DEPENDENCYPART_ARC
(7,14),-1.51731 # DEPENDENCYPART_ARC
(8,2),-1.09943 # DEPENDENCYPART_ARC
(8,4),-1.59425 # DEPENDENCYPART_ARC
(8,5),-1.96911 # DEPENDENCYPART_ARC
(8,6),0.158403 # DEPENDENCYPART_ARC
(8,7),0.932977 # DEPENDENCYPART_ARC
(8,9),-0.11593 # DEPENDENCYPART_ARC
(8,10),-0.695293 # DEPENDENCYPART_ARC
(8,11),-0.568002 # DEPENDENCYPART_ARC
(8,12),-1.79015 # DEPENDENCYPART_ARC
(8,14),-1.16477 # DEPENDENCYPART_ARC
(8,18),-1.75724 # DEPENDENCYPART_ARC
(9,2),-0.944863 # DEPENDENCYPART_ARC
(9,3),-0.35495 # DEPENDENCYPART_ARC
(9,4),-1.78804 # DEPENDENCYPART_ARC
(9,5),0.362691 # DEPENDENCYPART_ARC
(9,6),-0.612806 # DEPENDENCYPART_ARC
(9,7),0.594398 # DEPENDENCYPART_ARC
(9,8),1.62308 # DEPENDENCYPART_ARC
(9,10),-0.507678 # DEPENDENCYPART_ARC
(9,11),-0.572949 # DEPENDENCYPART_ARC
(9,13),-1.78312 # DEPENDENCYPART_ARC
(9,14),-2.9691 # DEPENDENCYPART_ARC
(9,15),-1.65014 # DEPENDENCYPART_ARC
(9,16),-1.88044 # DEPENDENCYPART_ARC
(9,17),-1.81853 # DEPENDENCYPART_ARC
(9,18),-1.25231 # DEPENDENCYPART_ARC
(9,19),-2.27977 # DEPENDENCYPART_ARC
(10,2),-0.627433 # DEPENDENCYPART_ARC
(10,4),-1.50123 # DEPENDENCYPART_ARC
(10,5),-2.29796 # DEPENDENCYPART_ARC
(10,6),-0.0677187 # DEPENDENCYPART_ARC
(10,7),-0.888905 # DEPENDENCYPART_ARC
(10,8),-1.3939 # DEPENDENCYPART_ARC
(10,9),2.14262 # DEPENDENCYPART_ARC
(10,11),1.1521 # DEPENDENCYPART_ARC
(10,12),-1.97401 # DEPENDENCYPART_ARC
(10,13),-1.12891 # DEPENDENCYPART_ARC
(10,14),-1.37796 # DEPENDENCYPART_ARC
(10,15),-0.523378 # DEPENDENCYPART_ARC
(10,16),-1.74372 # DEPENDENCYPART_ARC
(10,17),-0.876188 # DEPENDENCYPART_ARC
(10,18),-2.04612 # DEPENDENCYPART_ARC
(10,20),-1.05981 # DEPENDENCYPART_ARC
(11,9),-0.842986 # DEPENDENCYPART_ARC
(11,10),-0.518575 # DEPENDENCYPART_ARC
(11,13),-1.03817 # DEPENDENCYPART_ARC
(11,16),-0.830392 # DEPENDENCYPART_ARC
(11,18),-1.189 # DEPENDENCYPART_ARC
(12,11),-0.47825 # DEPENDENCYPART_ARC
(12,13),0.244354 # DEPENDENCYPART_ARC
(13,5),-2.51786 # DEPENDENCYPART_ARC
(13,6),-0.832487 # DEPENDENCYPART_ARC
(13,7),-1.00534 # DEPENDENCYPART_ARC
(13,8),-2.07048 # DEPENDENCYPART_ARC
(13,9),-0.285511 # DEPENDENCYPART_ARC
(13,10),-1.99799 # DEPENDENCYPART_ARC
(13,11),-0.993143 # DEPENDENCYPART_ARC
(13,12),1.03798 # DEPENDENCYPART_ARC
(13,14),-0.409219 # DEPENDENCYPART_ARC
(13,15),-0.560716 # DEPENDENCYPART_ARC
(13,16),-1.52776 # DEPENDENCYPART_ARC
(13,17),-1.31566 # DEPENDENCYPART_ARC
(13,19),-1.54943 # DEPENDENCYPART_ARC
(14,10),-3.72662 # DEPENDENCYPART_ARC
(14,11),-1.54475 # DEPENDENCYPART_ARC
(14,13),-2.07297 # DEPENDENCYPART_ARC
(14,15),0.735755 # DEPENDENCYPART_ARC
(14,16),-1.57033 # DEPENDENCYPART_ARC
(15,10),-2.31957 # DEPENDENCYPART_ARC
(15,13),-1.10836 # DEPENDENCYPART_ARC
(15,14),-0.399783 # DEPENDENCYPART_ARC
(15,16),0.632667 # DEPENDENCYPART_ARC
(16,5),-2.44466 # DEPENDENCYPART_ARC
(16,6),-0.847146 # DEPENDENCYPART_ARC
(16,9),-0.463064 # DEPENDENCYPART_ARC
(16,10),-2.33488 # DEPENDENCYPART_ARC
(16,11),-1.93274 # DEPENDENCYPART_ARC
(16,12),-1.22849 # DEPENDENCYPART_ARC
(16,13),-1.72838 # DEPENDENCYPART_ARC
(16,14),0.247439 # DEPENDENCYPART_ARC
(16,15),0.55947 # DEPENDENCYPART_ARC
(16,17),-0.29551 # DEPENDENCYPART_ARC
(16,19),-1.57054 # DEPENDENCYPART_ARC
(16,20),-1.41236 # DEPENDENCYPART_ARC
(17,13),-1.12054 # DEPENDENCYPART_ARC
(17,16),-0.302958 # DEPENDENCYPART_ARC
(17,18),-0.248162 # DEPENDENCYPART_ARC
(18,2),-0.65621 # DEPENDENCYPART_ARC
(18,3),0.0934625 # DEPENDENCYPART_ARC
(18,4),-1.68589 # DEPENDENCYPART_ARC
(18,5),0.286546 # DEPENDENCYPART_ARC
(18,6),-1.0822 # DEPENDENCYPART_ARC
(18,7),0.0168763 # DEPENDENCYPART_ARC
(18,8),-0.244496 # DEPENDENCYPART_ARC
(18,9),-0.756055 # DEPENDENCYPART_ARC
(18,10),0.24461 # DEPENDENCYPART_ARC
(18,11),-1.44423 # DEPENDENCYPART_ARC
(18,12),-1.1521 # DEPENDENCYPART_ARC
(18,13),0.570962 # DEPENDENCYPART_ARC
(18,14),-0.14024 # DEPENDENCYPART_ARC
(18,15),0.295878 # DEPENDENCYPART_ARC
(18,16),1.47239 # DEPENDENCYPART_ARC
(18,17),1.12221 # DEPENDENCYPART_ARC
(18,19),1.27861 # DEPENDENCYPART_ARC
(18,20),-0.42718 # DEPENDENCYPART_ARC
(19,15),-1.05279 # DEPENDENCYPART_ARC
(19,16),-0.838382 # DEPENDENCYPART_ARC
(19,17),-0.939059 # DEPENDENCYPART_ARC
(19,18),-1.17026 # DEPENDENCYPART_ARC
(19,20),1.61879 # DEPENDENCYPART_ARC
(20,18),-0.907633 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.00835215 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.00835154 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.255132 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.00835154 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.0083524 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.00835154 # DEPENDENCYPART_SIBL
(0,1),(0,8),-0.00835154 # DEPENDENCYPART_SIBL
(0,1),(0,9),0.0287583 # DEPENDENCYPART_SIBL
(0,1),(0,10),-0.00912235 # DEPENDENCYPART_SIBL
(0,1),(0,11),-0.255132 # DEPENDENCYPART_SIBL
(0,1),(0,12),-0.0304728 # DEPENDENCYPART_SIBL
(0,1),(0,13),-0.0143306 # DEPENDENCYPART_SIBL
(0,1),(0,14),-0.00835154 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.00835154 # DEPENDENCYPART_SIBL
(0,1),(0,16),-0.00835154 # DEPENDENCYPART_SIBL
(0,1),(0,17),-0.167534 # DEPENDENCYPART_SIBL
(0,1),(0,18),0.0520312 # DEPENDENCYPART_SIBL
(0,1),(0,19),-0.103493 # DEPENDENCYPART_SIBL
(0,1),(0,20),-0.20449 # DEPENDENCYPART_SIBL
(0,2),(0,3),0.0509438 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.13484 # DEPENDENCYPART_SIBL
(0,2),(0,5),0.0509438 # DEPENDENCYPART_SIBL
(0,2),(0,6),0.0509409 # DEPENDENCYPART_SIBL
(0,2),(0,7),0.0509438 # DEPENDENCYPART_SIBL
(0,2),(0,8),0.0509438 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.112279 # DEPENDENCYPART_SIBL
(0,2),(0,10),0.0490391 # DEPENDENCYPART_SIBL
(0,2),(0,11),-0.13484 # DEPENDENCYPART_SIBL
(0,2),(0,12),0.00878579 # DEPENDENCYPART_SIBL
(0,2),(0,13),0.0487797 # DEPENDENCYPART_SIBL
(0,2),(0,14),0.0509438 # DEPENDENCYPART_SIBL
(0,2),(0,15),0.0509438 # DEPENDENCYPART_SIBL
(0,2),(0,16),0.0509438 # DEPENDENCYPART_SIBL
(0,2),(0,17),0.0261128 # DEPENDENCYPART_SIBL
(0,2),(0,18),-0.104739 # DEPENDENCYPART_SIBL
(0,2),(0,19),-0.0830617 # DEPENDENCYPART_SIBL
(0,2),(0,20),-0.174982 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.13484 # DEPENDENCYPART_SIBL
(0,3),(0,5),0.0509439 # DEPENDENCYPART_SIBL
(0,3),(0,6),0.050941 # DEPENDENCYPART_SIBL
(0,3),(0,7),0.0509439 # DEPENDENCYPART_SIBL
(0,3),(0,8),0.0509439 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.112279 # DEPENDENCYPART_SIBL
(0,3),(0,10),0.0490392 # DEPENDENCYPART_SIBL
(0,3),(0,11),-0.13484 # DEPENDENCYPART_SIBL
(0,3),(0,12),0.00878584 # DEPENDENCYPART_SIBL
(0,3),(0,13),0.0487798 # DEPENDENCYPART_SIBL
(0,3),(0,14),0.0509439 # DEPENDENCYPART_SIBL
(0,3),(0,15),0.0509439 # DEPENDENCYPART_SIBL
(0,3),(0,16),0.0509439 # DEPENDENCYPART_SIBL
(0,3),(0,17),0.0261129 # DEPENDENCYPART_SIBL
(0,3),(0,18),-0.104739 # DEPENDENCYPART_SIBL
(0,3),(0,19),-0.0830616 # DEPENDENCYPART_SIBL
(0,3),(0,20),-0.174982 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.202026 # DEPENDENCYPART_SIBL
(0,4),(0,6),-0.202027 # DEPENDENCYPART_SIBL
(0,4),(0,7),-0.202026 # DEPENDENCYPART_SIBL
(0,4),(0,8),-0.202026 # DEPENDENCYPART_SIBL
(0,4),(0,9),-0.293028 # DEPENDENCYPART_SIBL
(0,4),(0,10),-0.203284 # DEPENDENCYPART_SIBL
(0,4),(0,11),-0.413823 # DEPENDENCYPART_SIBL
(0,4),(0,12),-0.177376 # DEPENDENCYPART_SIBL
(0,4),(0,13),-0.213114 # DEPENDENCYPART_SIBL
(0,4),(0,14),-0.202026 # DEPENDENCYPART_SIBL
(0,4),(0,15),-0.202026 # DEPENDENCYPART_SIBL
(0,4),(0,16),-0.202026 # DEPENDENCYPART_SIBL
(0,4),(0,17),-0.29172 # DEPENDENCYPART_SIBL
(0,4),(0,18),-0.277095 # DEPENDENCYPART_SIBL
(0,4),(0,19),-0.229299 # DEPENDENCYPART_SIBL
(0,4),(0,20),-0.340789 # DEPENDENCYPART_SIBL
(0,5),(0,6),0.050941 # DEPENDENCYPART_SIBL
(0,5),(0,7),0.0509439 # DEPENDENCYPART_SIBL
(0,5),(0,8),0.0509439 # DEPENDENCYPART_SIBL
(0,5),(0,9),-0.112279 # DEPENDENCYPART_SIBL
(0,5),(0,10),0.0490392 # DEPENDENCYPART_SIBL
(0,5),(0,11),-0.13484 # DEPENDENCYPART_SIBL
(0,5),(0,12),0.00878584 # DEPENDENCYPART_SIBL
(0,5),(0,13),0.0487798 # DEPENDENCYPART_SIBL
(0,5),(0,14),0.0509439 # DEPENDENCYPART_SIBL
(0,5),(0,15),0.0509439 # DEPENDENCYPART_SIBL
(0,5),(0,16),0.0509439 # DEPENDENCYPART_SIBL
(0,5),(0,17),0.0261129 # DEPENDENCYPART_SIBL
(0,5),(0,18),-0.104739 # DEPENDENCYPART_SIBL
(0,5),(0,19),-0.0830616 # DEPENDENCYPART_SIBL
(0,5),(0,20),-0.174982 # DEPENDENCYPART_SIBL
(0,6),(0,7),0.0431389 # DEPENDENCYPART_SIBL
(0,6),(0,8),0.0431389 # DEPENDENCYPART_SIBL
(0,6),(0,9),-0.115345 # DEPENDENCYPART_SIBL
(0,6),(0,10),0.0412343 # DEPENDENCYPART_SIBL
(0,6),(0,11),-0.137905 # DEPENDENCYPART_SIBL
(0,6),(0,12),0.00572068 # DEPENDENCYPART_SIBL
(0,6),(0,13),0.0409748 # DEPENDENCYPART_SIBL
(0,6),(0,14),0.0431389 # DEPENDENCYPART_SIBL
(0,6),(0,15),0.0431389 # DEPENDENCYPART_SIBL
(0,6),(0,16),0.0431389 # DEPENDENCYPART_SIBL
(0,6),(0,17),0.0230477 # DEPENDENCYPART_SIBL
(0,6),(0,18),-0.107805 # DEPENDENCYPART_SIBL
(0,6),(0,19),-0.0861268 # DEPENDENCYPART_SIBL
(0,6),(0,20),-0.178047 # DEPENDENCYPART_SIBL
(0,7),(0,8),0.0509439 # DEPENDENCYPART_SIBL
(0,7),(0,9),-0.112279 # DEPENDENCYPART_SIBL
(0,7),(0,10),0.0490392 # DEPENDENCYPART_SIBL
(0,7),(0,11),-0.13484 # DEPENDENCYPART_SIBL
(0,7),(0,12),0.00878584 # DEPENDENCYPART_SIBL
(0,7),(0,13),0.0487798 # DEPENDENCYPART_SIBL
(0,7),(0,14),0.0509439 # DEPENDENCYPART_SIBL
(0,7),(0,15),0.0509439 # DEPENDENCYPART_SIBL
(0,7),(0,16),0.0509439 # DEPENDENCYPART_SIBL
(0,7),(0,17),0.0261129 # DEPENDENCYPART_SIBL
(0,7),(0,18),-0.104739 # DEPENDENCYPART_SIBL
(0,7),(0,19),-0.0830616 # DEPENDENCYPART_SIBL
(0,7),(0,20),-0.174982 # DEPENDENCYPART_SIBL
(0,8),(0,9),-0.112279 # DEPENDENCYPART_SIBL
(0,8),(0,10),0.0490392 # DEPENDENCYPART_SIBL
(0,8),(0,11),-0.13484 # DEPENDENCYPART_SIBL
(0,8),(0,12),0.00878584 # DEPENDENCYPART_SIBL
(0,8),(0,13),0.0487798 # DEPENDENCYPART_SIBL
(0,8),(0,14),0.0509439 # DEPENDENCYPART_SIBL
(0,8),(0,15),0.0509439 # DEPENDENCYPART_SIBL
(0,8),(0,16),0.0509439 # DEPENDENCYPART_SIBL
(0,8),(0,17),0.0261129 # DEPENDENCYPART_SIBL
(0,8),(0,18),-0.104739 # DEPENDENCYPART_SIBL
(0,8),(0,19),-0.0830616 # DEPENDENCYPART_SIBL
(0,8),(0,20),-0.174982 # DEPENDENCYPART_SIBL
(0,9),(0,10),-0.00815727 # DEPENDENCYPART_SIBL
(0,9),(0,11),-0.0464623 # DEPENDENCYPART_SIBL
(0,9),(0,12),0.00696235 # DEPENDENCYPART_SIBL
(0,9),(0,13),-0.008702 # DEPENDENCYPART_SIBL
(0,9),(0,14),-0.00562255 # DEPENDENCYPART_SIBL
(0,9),(0,15),-0.00562255 # DEPENDENCYPART_SIBL
(0,9),(0,16),-0.00562255 # DEPENDENCYPART_SIBL
(0,9),(0,17),-0.0293551 # DEPENDENCYPART_SIBL
(0,9),(0,18),-0.10697 # DEPENDENCYPART_SIBL
(0,9),(0,19),-0.00411548 # DEPENDENCYPART_SIBL
(0,9),(0,20),-0.0693041 # DEPENDENCYPART_SIBL
(0,10),(0,11),-0.136359 # DEPENDENCYPART_SIBL
(0,10),(0,12),0.00726738 # DEPENDENCYPART_SIBL
(0,10),(0,13),0.0456399 # DEPENDENCYPART_SIBL
(0,10),(0,14),0.047804 # DEPENDENCYPART_SIBL
(0,10),(0,15),0.047804 # DEPENDENCYPART_SIBL
(0,10),(0,16),0.047804 # DEPENDENCYPART_SIBL
(0,10),(0,17),0.0245944 # DEPENDENCYPART_SIBL
(0,10),(0,18),-0.107771 # DEPENDENCYPART_SIBL
(0,10),(0,19),-0.0845859 # DEPENDENCYPART_SIBL
(0,10),(0,20),-0.176501 # DEPENDENCYPART_SIBL
(0,11),(0,12),-0.177376 # DEPENDENCYPART_SIBL
(0,11),(0,13),-0.213114 # DEPENDENCYPART_SIBL
(0,11),(0,14),-0.202026 # DEPENDENCYPART_SIBL
(0,11),(0,15),-0.202026 # DEPENDENCYPART_SIBL
(0,11),(0,16),-0.202026 # DEPENDENCYPART_SIBL
(0,11),(0,17),-0.29172 # DEPENDENCYPART_SIBL
(0,11),(0,18),-0.277095 # DEPENDENCYPART_SIBL
(0,11),(0,19),-0.229299 # DEPENDENCYPART_SIBL
(0,11),(0,20),-0.340789 # DEPENDENCYPART_SIBL
(0,12),(0,13),-0.011865 # DEPENDENCYPART_SIBL
(0,12),(0,14),-0.0107028 # DEPENDENCYPART_SIBL
(0,12),(0,15),-0.0107028 # DEPENDENCYPART_SIBL
(0,12),(0,16),-0.0107028 # DEPENDENCYPART_SIBL
(0,12),(0,17),-0.0254545 # DEPENDENCYPART_SIBL
(0,12),(0,18),-0.108487 # DEPENDENCYPART_SIBL
(0,12),(0,19),-0.0772276 # DEPENDENCYPART_SIBL
(0,12),(0,20),-0.132282 # DEPENDENCYPART_SIBL
(0,13),(0,14),0.0705784 # DEPENDENCYPART_SIBL
(0,13),(0,15),0.0705784 # DEPENDENCYPART_SIBL
(0,13),(0,16),0.0705784 # DEPENDENCYPART_SIBL
(0,13),(0,17),0.047344 # DEPENDENCYPART_SIBL
(0,13),(0,18),-0.0867164 # DEPENDENCYPART_SIBL
(0,13),(0,19),-0.0618288 # DEPENDENCYPART_SIBL
(0,13),(0,20),-0.153749 # DEPENDENCYPART_SIBL
(0,14),(0,15),0.0509439 # DEPENDENCYPART_SIBL
(0,14),(0,16),0.0509439 # DEPENDENCYPART_SIBL
(0,14),(0,17),0.0261129 # DEPENDENCYPART_SIBL
(0,14),(0,18),-0.104739 # DEPENDENCYPART_SIBL
(0,14),(0,19),-0.0830616 # DEPENDENCYPART_SIBL
(0,14),(0,20),-0.174982 # DEPENDENCYPART_SIBL
(0,15),(0,16),0.0509439 # DEPENDENCYPART_SIBL
(0,15),(0,17),0.0261129 # DEPENDENCYPART_SIBL
(0,15),(0,18),-0.104739 # DEPENDENCYPART_SIBL
(0,15),(0,19),-0.0830616 # DEPENDENCYPART_SIBL
(0,15),(0,20),-0.174982 # DEPENDENCYPART_SIBL
(0,16),(0,17),0.0261129 # DEPENDENCYPART_SIBL
(0,16),(0,18),-0.104739 # DEPENDENCYPART_SIBL
(0,16),(0,19),-0.0830616 # DEPENDENCYPART_SIBL
(0,16),(0,20),-0.174982 # DEPENDENCYPART_SIBL
(0,17),(0,18),-0.0101377 # DEPENDENCYPART_SIBL
(0,17),(0,19),-0.070084 # DEPENDENCYPART_SIBL
(0,17),(0,20),-0.0891197 # DEPENDENCYPART_SIBL
(0,18),(0,19),-0.00943878 # DEPENDENCYPART_SIBL
(0,18),(0,20),-0.0711813 # DEPENDENCYPART_SIBL
(0,19),(0,20),-0.045241 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.0151531 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0410292 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0179608 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.0410292 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.0410296 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.0410292 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.0410292 # DEPENDENCYPART_SIBL
(2,1),(2,9),-0.026277 # DEPENDENCYPART_SIBL
(2,1),(2,10),-0.0447199 # DEPENDENCYPART_SIBL
(2,1),(2,18),-0.0264959 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0816293 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.0073091 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.00731195 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.0073091 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.0073091 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.0358669 # DEPENDENCYPART_SIBL
(2,3),(2,10),-0.00938169 # DEPENDENCYPART_SIBL
(2,3),(2,18),-0.0376243 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.049334 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.0493349 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.049334 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.049334 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.0372475 # DEPENDENCYPART_SIBL
(2,4),(2,10),-0.0513591 # DEPENDENCYPART_SIBL
(2,4),(2,18),-0.0363932 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.00731195 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.0073091 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.0073091 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.0358669 # DEPENDENCYPART_SIBL
(2,5),(2,10),-0.00938169 # DEPENDENCYPART_SIBL
(2,5),(2,18),-0.0376243 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.00898502 # DEPENDENCYPART_SIBL
(2,6),(2,8),-0.00898502 # DEPENDENCYPART_SIBL
(2,6),(2,9),-0.0358679 # DEPENDENCYPART_SIBL
(2,6),(2,10),-0.0110576 # DEPENDENCYPART_SIBL
(2,6),(2,18),-0.0376253 # DEPENDENCYPART_SIBL
(2,7),(2,8),-0.0073091 # DEPENDENCYPART_SIBL
(2,7),(2,9),-0.0358669 # DEPENDENCYPART_SIBL
(2,7),(2,10),-0.00938169 # DEPENDENCYPART_SIBL
(2,7),(2,18),-0.0376243 # DEPENDENCYPART_SIBL
(2,8),(2,9),-0.0358669 # DEPENDENCYPART_SIBL
(2,8),(2,10),-0.00938169 # DEPENDENCYPART_SIBL
(2,8),(2,18),-0.0376243 # DEPENDENCYPART_SIBL
(2,9),(2,10),-0.00906981 # DEPENDENCYPART_SIBL
(2,9),(2,18),-0.0116259 # DEPENDENCYPART_SIBL
(2,10),(2,18),-0.0385391 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0429676 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.00802225 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.049334 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.015725 # DEPENDENCYPART_SIBL
(4,8),(4,18),-0.0180085 # DEPENDENCYPART_SIBL
(4,9),(4,18),0.00498653 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.0267607 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.00513101 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.00802225 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.00802225 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.0562274 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.0562268 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.0562268 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.00898502 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.00898502 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.0073091 # DEPENDENCYPART_SIBL
(6,2),(6,4),-0.0267607 # DEPENDENCYPART_SIBL
(6,2),(6,5),-0.00390084 # DEPENDENCYPART_SIBL
(6,2),(6,7),-0.00802226 # DEPENDENCYPART_SIBL
(6,2),(6,8),-0.00802226 # DEPENDENCYPART_SIBL
(6,4),(6,5),-0.115615 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.0562268 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.0562268 # DEPENDENCYPART_SIBL
(6,5),(6,7),-0.00621019 # DEPENDENCYPART_SIBL
(6,5),(6,8),-0.00621019 # DEPENDENCYPART_SIBL
(6,7),(6,8),-0.00730928 # DEPENDENCYPART_SIBL
(7,2),(7,4),-0.0267607 # DEPENDENCYPART_SIBL
(7,2),(7,5),-0.00390084 # DEPENDENCYPART_SIBL
(7,2),(7,6),-0.0124277 # DEPENDENCYPART_SIBL
(7,2),(7,8),-0.00802225 # DEPENDENCYPART_SIBL
(7,2),(7,14),-0.00802225 # DEPENDENCYPART_SIBL
(7,4),(7,5),-0.115615 # DEPENDENCYPART_SIBL
(7,4),(7,6),-0.118073 # DEPENDENCYPART_SIBL
(7,4),(7,8),-0.0562268 # DEPENDENCYPART_SIBL
(7,4),(7,14),-0.0562268 # DEPENDENCYPART_SIBL
(7,5),(7,6),-0.0163582 # DEPENDENCYPART_SIBL
(7,5),(7,8),-0.00621019 # DEPENDENCYPART_SIBL
(7,5),(7,14),-0.00621019 # DEPENDENCYPART_SIBL
(7,6),(7,8),-0.0111797 # DEPENDENCYPART_SIBL
