# _root_ berdin egiten dute elefante eta zaldi gidariek , zeintzuek praktikaz hezitzen dituzte abere hoiek , hezitzeko zientziatik ezertxo_ere jakin gabe .
#goldHeads=2,0,2,5,7,5,2,7,11,11,7,11,11,13,14,17,19,19,11,19,20,
#predictedHeads=2,0,2,5,7,5,11,7,11,11,0,11,11,13,14,17,19,19,11,19,20,
(10,12),-1.14619 # DEPENDENCYPART_ARC
(10,13),-0.787443 # DEPENDENCYPART_ARC
(10,21),-1.29175 # DEPENDENCYPART_ARC
(11,1),-0.90629 # DEPENDENCYPART_ARC
(11,2),-0.747362 # DEPENDENCYPART_ARC
(11,3),-0.716361 # DEPENDENCYPART_ARC
(11,4),-0.873818 # DEPENDENCYPART_ARC
(11,5),-0.149452 # DEPENDENCYPART_ARC
(11,6),-0.588624 # DEPENDENCYPART_ARC
(11,7),0.549957 # DEPENDENCYPART_ARC
(11,8),-1.26793 # DEPENDENCYPART_ARC
(11,9),0.525061 # DEPENDENCYPART_ARC
(11,10),1.78166 # DEPENDENCYPART_ARC
(11,12),1.62856 # DEPENDENCYPART_ARC
(11,13),-0.152496 # DEPENDENCYPART_ARC
(11,14),-0.866926 # DEPENDENCYPART_ARC
(11,15),-0.644812 # DEPENDENCYPART_ARC
(11,16),-0.666771 # DEPENDENCYPART_ARC
(11,17),-0.531806 # DEPENDENCYPART_ARC
(11,18),-0.714004 # DEPENDENCYPART_ARC
(11,19),-0.571926 # DEPENDENCYPART_ARC
(11,20),-0.80127 # DEPENDENCYPART_ARC
(12,10),-0.385277 # DEPENDENCYPART_ARC
(12,13),-0.702453 # DEPENDENCYPART_ARC
(13,1),-1.72246 # DEPENDENCYPART_ARC
(13,2),-1.28083 # DEPENDENCYPART_ARC
(13,5),-0.696673 # DEPENDENCYPART_ARC
(13,8),-1.64607 # DEPENDENCYPART_ARC
(13,9),-1.29527 # DEPENDENCYPART_ARC
(13,10),-0.828462 # DEPENDENCYPART_ARC
(13,11),-0.0315144 # DEPENDENCYPART_ARC
(13,12),-0.510173 # DEPENDENCYPART_ARC
(13,14),1.3023 # DEPENDENCYPART_ARC
(13,15),-0.357844 # DEPENDENCYPART_ARC
(13,16),-0.655712 # DEPENDENCYPART_ARC
(13,17),-0.834766 # DEPENDENCYPART_ARC
(13,19),-0.771389 # DEPENDENCYPART_ARC
(13,20),-0.833124 # DEPENDENCYPART_ARC
(13,21),-1.29933 # DEPENDENCYPART_ARC
(14,11),-0.494143 # DEPENDENCYPART_ARC
(14,15),1.02625 # DEPENDENCYPART_ARC
(14,16),-0.622552 # DEPENDENCYPART_ARC
(14,17),-0.504579 # DEPENDENCYPART_ARC
(14,19),-0.872085 # DEPENDENCYPART_ARC
(15,12),-1.13034 # DEPENDENCYPART_ARC
(15,16),-0.203151 # DEPENDENCYPART_ARC
(16,1),-1.04083 # DEPENDENCYPART_ARC
(16,2),-0.93533 # DEPENDENCYPART_ARC
(16,4),-1.42729 # DEPENDENCYPART_ARC
(16,5),-0.618385 # DEPENDENCYPART_ARC
(16,6),-1.23341 # DEPENDENCYPART_ARC
(16,7),-0.845177 # DEPENDENCYPART_ARC
(16,8),-1.58142 # DEPENDENCYPART_ARC
(16,10),-0.254936 # DEPENDENCYPART_ARC
(16,11),-0.841135 # DEPENDENCYPART_ARC
(16,12),-1.2598 # DEPENDENCYPART_ARC
(16,13),-0.244159 # DEPENDENCYPART_ARC
(16,14),-0.374925 # DEPENDENCYPART_ARC
(16,15),-0.502555 # DEPENDENCYPART_ARC
(16,17),-0.883405 # DEPENDENCYPART_ARC
(16,18),-0.948556 # DEPENDENCYPART_ARC
(16,19),-1.0107 # DEPENDENCYPART_ARC
(16,20),-1.14661 # DEPENDENCYPART_ARC
(17,13),-0.459164 # DEPENDENCYPART_ARC
(17,14),-2.87488 # DEPENDENCYPART_ARC
(17,15),-0.824924 # DEPENDENCYPART_ARC
(17,16),1.80797 # DEPENDENCYPART_ARC
(17,19),-1.50278 # DEPENDENCYPART_ARC
(17,20),-0.980346 # DEPENDENCYPART_ARC
(17,21),-1.16554 # DEPENDENCYPART_ARC
(18,16),-0.13418 # DEPENDENCYPART_ARC
(18,17),-0.0782145 # DEPENDENCYPART_ARC
(19,2),-0.870022 # DEPENDENCYPART_ARC
(19,4),-1.37903 # DEPENDENCYPART_ARC
(19,5),-0.386408 # DEPENDENCYPART_ARC
(19,6),-1.23156 # DEPENDENCYPART_ARC
(19,7),-0.797738 # DEPENDENCYPART_ARC
(19,10),-0.872482 # DEPENDENCYPART_ARC
(19,11),-0.921247 # DEPENDENCYPART_ARC
(19,12),-1.20219 # DEPENDENCYPART_ARC
(19,13),-0.630833 # DEPENDENCYPART_ARC
(19,14),-0.992568 # DEPENDENCYPART_ARC
(19,15),-1.367 # DEPENDENCYPART_ARC
(19,16),-0.405855 # DEPENDENCYPART_ARC
(19,17),0.767615 # DEPENDENCYPART_ARC
(19,18),1.20577 # DEPENDENCYPART_ARC
(19,20),1.12834 # DEPENDENCYPART_ARC
(19,21),-0.142416 # DEPENDENCYPART_ARC
(20,17),-1.32525 # DEPENDENCYPART_ARC
(20,19),-0.599698 # DEPENDENCYPART_ARC
(20,21),1.39277 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.141848 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.044802 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.00442196 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.0649171 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.00442196 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.00442196 # DEPENDENCYPART_SIBL
(0,1),(0,8),-0.072892 # DEPENDENCYPART_SIBL
(0,1),(0,9),0.0491916 # DEPENDENCYPART_SIBL
(0,1),(0,10),-0.00442196 # DEPENDENCYPART_SIBL
(0,1),(0,11),-0.098332 # DEPENDENCYPART_SIBL
(0,1),(0,12),-0.0381215 # DEPENDENCYPART_SIBL
(0,1),(0,13),-0.00442196 # DEPENDENCYPART_SIBL
(0,1),(0,14),0.0491916 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.072892 # DEPENDENCYPART_SIBL
(0,1),(0,16),-0.098332 # DEPENDENCYPART_SIBL
(0,1),(0,17),-0.00442196 # DEPENDENCYPART_SIBL
(0,1),(0,18),0.00482323 # DEPENDENCYPART_SIBL
(0,1),(0,19),-0.0961536 # DEPENDENCYPART_SIBL
(0,1),(0,20),0.00880078 # DEPENDENCYPART_SIBL
(0,1),(0,21),-0.0798058 # DEPENDENCYPART_SIBL
(0,2),(0,3),0.0087887 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.0272907 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.175524 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.0272907 # DEPENDENCYPART_SIBL
(0,2),(0,7),-0.0272907 # DEPENDENCYPART_SIBL
(0,2),(0,8),-0.0774389 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.0146895 # DEPENDENCYPART_SIBL
(0,2),(0,10),-0.0272907 # DEPENDENCYPART_SIBL
(0,2),(0,11),-0.146953 # DEPENDENCYPART_SIBL
(0,2),(0,12),0.0160441 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.0272907 # DEPENDENCYPART_SIBL
(0,2),(0,14),-0.0146895 # DEPENDENCYPART_SIBL
(0,2),(0,15),-0.0774389 # DEPENDENCYPART_SIBL
(0,2),(0,16),-0.146953 # DEPENDENCYPART_SIBL
(0,2),(0,17),-0.0272907 # DEPENDENCYPART_SIBL
(0,2),(0,18),-0.0319483 # DEPENDENCYPART_SIBL
(0,2),(0,19),-0.14619 # DEPENDENCYPART_SIBL
(0,2),(0,20),-0.0628961 # DEPENDENCYPART_SIBL
(0,2),(0,21),-0.0969816 # DEPENDENCYPART_SIBL
(0,3),(0,4),0.011861 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.0638247 # DEPENDENCYPART_SIBL
(0,3),(0,6),0.011861 # DEPENDENCYPART_SIBL
(0,3),(0,7),0.011861 # DEPENDENCYPART_SIBL
(0,3),(0,8),-0.0652573 # DEPENDENCYPART_SIBL
(0,3),(0,9),0.0143361 # DEPENDENCYPART_SIBL
(0,3),(0,10),0.011861 # DEPENDENCYPART_SIBL
(0,3),(0,11),0.00127251 # DEPENDENCYPART_SIBL
(0,3),(0,12),-0.10035 # DEPENDENCYPART_SIBL
(0,3),(0,13),0.011861 # DEPENDENCYPART_SIBL
(0,3),(0,14),0.0143361 # DEPENDENCYPART_SIBL
(0,3),(0,15),-0.0652573 # DEPENDENCYPART_SIBL
(0,3),(0,16),0.00127251 # DEPENDENCYPART_SIBL
(0,3),(0,17),0.011861 # DEPENDENCYPART_SIBL
(0,3),(0,18),0.0147129 # DEPENDENCYPART_SIBL
(0,3),(0,19),0.00750226 # DEPENDENCYPART_SIBL
(0,3),(0,20),0.00988072 # DEPENDENCYPART_SIBL
(0,3),(0,21),-0.0730602 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.0875943 # DEPENDENCYPART_SIBL
(0,4),(0,6),0.0509439 # DEPENDENCYPART_SIBL
(0,4),(0,7),0.0509439 # DEPENDENCYPART_SIBL
(0,4),(0,8),-0.13484 # DEPENDENCYPART_SIBL
(0,4),(0,9),0.00878585 # DEPENDENCYPART_SIBL
(0,4),(0,10),0.0509439 # DEPENDENCYPART_SIBL
(0,4),(0,11),-0.112279 # DEPENDENCYPART_SIBL
(0,4),(0,12),-0.0653964 # DEPENDENCYPART_SIBL
(0,4),(0,13),0.0509439 # DEPENDENCYPART_SIBL
(0,4),(0,14),0.00878585 # DEPENDENCYPART_SIBL
(0,4),(0,15),-0.13484 # DEPENDENCYPART_SIBL
(0,4),(0,16),-0.112279 # DEPENDENCYPART_SIBL
(0,4),(0,17),0.0509439 # DEPENDENCYPART_SIBL
(0,4),(0,18),-0.00154627 # DEPENDENCYPART_SIBL
(0,4),(0,19),-0.112677 # DEPENDENCYPART_SIBL
(0,4),(0,20),0.0169246 # DEPENDENCYPART_SIBL
(0,4),(0,21),-0.174982 # DEPENDENCYPART_SIBL
(0,5),(0,6),-0.0223684 # DEPENDENCYPART_SIBL
(0,5),(0,7),-0.0223684 # DEPENDENCYPART_SIBL
(0,5),(0,8),0.0156699 # DEPENDENCYPART_SIBL
(0,5),(0,9),0.0350372 # DEPENDENCYPART_SIBL
(0,5),(0,10),-0.0223684 # DEPENDENCYPART_SIBL
(0,5),(0,11),-0.032339 # DEPENDENCYPART_SIBL
(0,5),(0,12),-0.0146835 # DEPENDENCYPART_SIBL
(0,5),(0,13),-0.0223684 # DEPENDENCYPART_SIBL
(0,5),(0,14),0.0350372 # DEPENDENCYPART_SIBL
(0,5),(0,15),0.0156699 # DEPENDENCYPART_SIBL
(0,5),(0,16),-0.032339 # DEPENDENCYPART_SIBL
(0,5),(0,17),-0.0223684 # DEPENDENCYPART_SIBL
(0,5),(0,18),0.0737537 # DEPENDENCYPART_SIBL
(0,5),(0,19),-0.0290006 # DEPENDENCYPART_SIBL
(0,5),(0,20),0.0690293 # DEPENDENCYPART_SIBL
(0,5),(0,21),-0.0473547 # DEPENDENCYPART_SIBL
(0,6),(0,7),0.0509439 # DEPENDENCYPART_SIBL
(0,6),(0,8),-0.13484 # DEPENDENCYPART_SIBL
(0,6),(0,9),0.00878585 # DEPENDENCYPART_SIBL
(0,6),(0,10),0.0509439 # DEPENDENCYPART_SIBL
(0,6),(0,11),-0.112279 # DEPENDENCYPART_SIBL
(0,6),(0,12),-0.0653964 # DEPENDENCYPART_SIBL
(0,6),(0,13),0.0509439 # DEPENDENCYPART_SIBL
(0,6),(0,14),0.00878585 # DEPENDENCYPART_SIBL
(0,6),(0,15),-0.13484 # DEPENDENCYPART_SIBL
(0,6),(0,16),-0.112279 # DEPENDENCYPART_SIBL
(0,6),(0,17),0.0509439 # DEPENDENCYPART_SIBL
(0,6),(0,18),-0.00154627 # DEPENDENCYPART_SIBL
(0,6),(0,19),-0.112677 # DEPENDENCYPART_SIBL
(0,6),(0,20),0.0169246 # DEPENDENCYPART_SIBL
(0,6),(0,21),-0.174982 # DEPENDENCYPART_SIBL
(0,7),(0,8),-0.13484 # DEPENDENCYPART_SIBL
(0,7),(0,9),0.00878585 # DEPENDENCYPART_SIBL
(0,7),(0,10),0.0509439 # DEPENDENCYPART_SIBL
(0,7),(0,11),-0.112279 # DEPENDENCYPART_SIBL
(0,7),(0,12),-0.0653964 # DEPENDENCYPART_SIBL
(0,7),(0,13),0.0509439 # DEPENDENCYPART_SIBL
(0,7),(0,14),0.00878585 # DEPENDENCYPART_SIBL
(0,7),(0,15),-0.13484 # DEPENDENCYPART_SIBL
(0,7),(0,16),-0.112279 # DEPENDENCYPART_SIBL
(0,7),(0,17),0.0509439 # DEPENDENCYPART_SIBL
(0,7),(0,18),-0.00154627 # DEPENDENCYPART_SIBL
(0,7),(0,19),-0.112677 # DEPENDENCYPART_SIBL
(0,7),(0,20),0.0169246 # DEPENDENCYPART_SIBL
(0,7),(0,21),-0.174982 # DEPENDENCYPART_SIBL
(0,8),(0,9),-0.177376 # DEPENDENCYPART_SIBL
(0,8),(0,10),-0.202026 # DEPENDENCYPART_SIBL
(0,8),(0,11),-0.293028 # DEPENDENCYPART_SIBL
(0,8),(0,12),-0.212726 # DEPENDENCYPART_SIBL
(0,8),(0,13),-0.202026 # DEPENDENCYPART_SIBL
(0,8),(0,14),-0.177376 # DEPENDENCYPART_SIBL
(0,8),(0,15),-0.413823 # DEPENDENCYPART_SIBL
(0,8),(0,16),-0.293028 # DEPENDENCYPART_SIBL
(0,8),(0,17),-0.202026 # DEPENDENCYPART_SIBL
(0,8),(0,18),-0.190299 # DEPENDENCYPART_SIBL
(0,8),(0,19),-0.29308 # DEPENDENCYPART_SIBL
(0,8),(0,20),-0.298008 # DEPENDENCYPART_SIBL
(0,8),(0,21),-0.340789 # DEPENDENCYPART_SIBL
(0,9),(0,10),-0.0107028 # DEPENDENCYPART_SIBL
(0,9),(0,11),-0.119157 # DEPENDENCYPART_SIBL
(0,9),(0,12),-0.0612509 # DEPENDENCYPART_SIBL
(0,9),(0,13),-0.0107028 # DEPENDENCYPART_SIBL
(0,9),(0,14),-0.0329796 # DEPENDENCYPART_SIBL
(0,9),(0,15),-0.125177 # DEPENDENCYPART_SIBL
(0,9),(0,16),-0.119157 # DEPENDENCYPART_SIBL
(0,9),(0,17),-0.0107028 # DEPENDENCYPART_SIBL
(0,9),(0,18),-0.0139437 # DEPENDENCYPART_SIBL
(0,9),(0,19),-0.118328 # DEPENDENCYPART_SIBL
(0,9),(0,20),-0.0317168 # DEPENDENCYPART_SIBL
(0,9),(0,21),-0.132282 # DEPENDENCYPART_SIBL
(0,10),(0,11),-0.112279 # DEPENDENCYPART_SIBL
(0,10),(0,12),-0.0653964 # DEPENDENCYPART_SIBL
(0,10),(0,13),0.0509439 # DEPENDENCYPART_SIBL
(0,10),(0,14),0.00878585 # DEPENDENCYPART_SIBL
(0,10),(0,15),-0.13484 # DEPENDENCYPART_SIBL
(0,10),(0,16),-0.112279 # DEPENDENCYPART_SIBL
(0,10),(0,17),0.0509439 # DEPENDENCYPART_SIBL
(0,10),(0,18),-0.00154627 # DEPENDENCYPART_SIBL
(0,10),(0,19),-0.112677 # DEPENDENCYPART_SIBL
(0,10),(0,20),0.0169246 # DEPENDENCYPART_SIBL
(0,10),(0,21),-0.174982 # DEPENDENCYPART_SIBL
(0,11),(0,12),0.00119754 # DEPENDENCYPART_SIBL
(0,11),(0,13),-0.00562242 # DEPENDENCYPART_SIBL
(0,11),(0,14),0.00696244 # DEPENDENCYPART_SIBL
(0,11),(0,15),-0.0464622 # DEPENDENCYPART_SIBL
(0,11),(0,16),-0.117133 # DEPENDENCYPART_SIBL
(0,11),(0,17),-0.00562242 # DEPENDENCYPART_SIBL
(0,11),(0,18),-0.0089245 # DEPENDENCYPART_SIBL
(0,11),(0,19),-0.116371 # DEPENDENCYPART_SIBL
(0,11),(0,20),-0.0372032 # DEPENDENCYPART_SIBL
(0,11),(0,21),-0.0693041 # DEPENDENCYPART_SIBL
(0,12),(0,13),0.0174902 # DEPENDENCYPART_SIBL
(0,12),(0,14),0.0173513 # DEPENDENCYPART_SIBL
(0,12),(0,15),-0.0743439 # DEPENDENCYPART_SIBL
(0,12),(0,16),-0.0142104 # DEPENDENCYPART_SIBL
(0,12),(0,17),0.0174902 # DEPENDENCYPART_SIBL
(0,12),(0,18),0.0128457 # DEPENDENCYPART_SIBL
(0,12),(0,19),-0.00798061 # DEPENDENCYPART_SIBL
(0,12),(0,20),0.0118298 # DEPENDENCYPART_SIBL
(0,12),(0,21),-0.0832346 # DEPENDENCYPART_SIBL
(0,13),(0,14),0.00878585 # DEPENDENCYPART_SIBL
(0,13),(0,15),-0.13484 # DEPENDENCYPART_SIBL
(0,13),(0,16),-0.112279 # DEPENDENCYPART_SIBL
(0,13),(0,17),0.0509439 # DEPENDENCYPART_SIBL
(0,13),(0,18),-0.00154627 # DEPENDENCYPART_SIBL
(0,13),(0,19),-0.112677 # DEPENDENCYPART_SIBL
(0,13),(0,20),0.0169246 # DEPENDENCYPART_SIBL
(0,13),(0,21),-0.174982 # DEPENDENCYPART_SIBL
(0,14),(0,15),-0.125177 # DEPENDENCYPART_SIBL
(0,14),(0,16),-0.119157 # DEPENDENCYPART_SIBL
(0,14),(0,17),-0.0107028 # DEPENDENCYPART_SIBL
(0,14),(0,18),-0.0139437 # DEPENDENCYPART_SIBL
(0,14),(0,19),-0.118328 # DEPENDENCYPART_SIBL
(0,14),(0,20),-0.0317168 # DEPENDENCYPART_SIBL
(0,14),(0,21),-0.132282 # DEPENDENCYPART_SIBL
(0,15),(0,16),-0.293028 # DEPENDENCYPART_SIBL
(0,15),(0,17),-0.202026 # DEPENDENCYPART_SIBL
(0,15),(0,18),-0.190299 # DEPENDENCYPART_SIBL
(0,15),(0,19),-0.29308 # DEPENDENCYPART_SIBL
(0,15),(0,20),-0.298008 # DEPENDENCYPART_SIBL
(0,15),(0,21),-0.340789 # DEPENDENCYPART_SIBL
(0,16),(0,17),-0.00562242 # DEPENDENCYPART_SIBL
(0,16),(0,18),-0.0089245 # DEPENDENCYPART_SIBL
(0,16),(0,19),-0.116371 # DEPENDENCYPART_SIBL
(0,16),(0,20),-0.0372032 # DEPENDENCYPART_SIBL
(0,16),(0,21),-0.0693041 # DEPENDENCYPART_SIBL
(0,17),(0,18),-0.00154627 # DEPENDENCYPART_SIBL
(0,17),(0,19),-0.112677 # DEPENDENCYPART_SIBL
(0,17),(0,20),0.0169246 # DEPENDENCYPART_SIBL
(0,17),(0,21),-0.174982 # DEPENDENCYPART_SIBL
(0,18),(0,19),-0.00432667 # DEPENDENCYPART_SIBL
(0,18),(0,20),0.04443 # DEPENDENCYPART_SIBL
(0,18),(0,21),0.0231915 # DEPENDENCYPART_SIBL
(0,19),(0,20),-0.031614 # DEPENDENCYPART_SIBL
(0,19),(0,21),-0.0634544 # DEPENDENCYPART_SIBL
(0,20),(0,21),-0.0925101 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0778523 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.00483949 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.00110453 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.00483949 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.00483949 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.0125568 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.00483949 # DEPENDENCYPART_SIBL
(2,1),(2,11),0.0162874 # DEPENDENCYPART_SIBL
(2,1),(2,12),-0.00928707 # DEPENDENCYPART_SIBL
(2,1),(2,13),0.00483949 # DEPENDENCYPART_SIBL
(2,1),(2,16),0.0162874 # DEPENDENCYPART_SIBL
(2,1),(2,17),0.00483949 # DEPENDENCYPART_SIBL
(2,1),(2,19),0.0255384 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.0549026 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.0348196 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.0549026 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.0549026 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.0323582 # DEPENDENCYPART_SIBL
(2,3),(2,10),0.0549026 # DEPENDENCYPART_SIBL
(2,3),(2,11),0.050646 # DEPENDENCYPART_SIBL
(2,3),(2,12),-0.133159 # DEPENDENCYPART_SIBL
(2,3),(2,13),0.0549026 # DEPENDENCYPART_SIBL
(2,3),(2,16),0.050646 # DEPENDENCYPART_SIBL
(2,3),(2,17),0.0549026 # DEPENDENCYPART_SIBL
(2,3),(2,19),0.0666836 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0216348 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.0104183 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.0104183 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.0294278 # DEPENDENCYPART_SIBL
(2,4),(2,10),-0.0104183 # DEPENDENCYPART_SIBL
(2,4),(2,11),-0.021252 # DEPENDENCYPART_SIBL
(2,4),(2,12),-0.0196083 # DEPENDENCYPART_SIBL
(2,4),(2,13),-0.0104183 # DEPENDENCYPART_SIBL
(2,4),(2,16),-0.021252 # DEPENDENCYPART_SIBL
(2,4),(2,17),-0.0104183 # DEPENDENCYPART_SIBL
(2,4),(2,19),-0.016679 # DEPENDENCYPART_SIBL
(2,5),(2,6),0.00401012 # DEPENDENCYPART_SIBL
(2,5),(2,7),0.00401012 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.0184833 # DEPENDENCYPART_SIBL
(2,5),(2,10),0.00401012 # DEPENDENCYPART_SIBL
(2,5),(2,11),-0.0381771 # DEPENDENCYPART_SIBL
(2,5),(2,12),-0.00982111 # DEPENDENCYPART_SIBL
(2,5),(2,13),0.00401012 # DEPENDENCYPART_SIBL
(2,5),(2,16),-0.0381771 # DEPENDENCYPART_SIBL
(2,5),(2,17),0.00401012 # DEPENDENCYPART_SIBL
(2,5),(2,19),-0.0321032 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.0104183 # DEPENDENCYPART_SIBL
(2,6),(2,8),-0.0294278 # DEPENDENCYPART_SIBL
(2,6),(2,10),-0.0104183 # DEPENDENCYPART_SIBL
(2,6),(2,11),-0.021252 # DEPENDENCYPART_SIBL
(2,6),(2,12),-0.0196083 # DEPENDENCYPART_SIBL
(2,6),(2,13),-0.0104183 # DEPENDENCYPART_SIBL
(2,6),(2,16),-0.021252 # DEPENDENCYPART_SIBL
