# _root_ agian , bizpahiru urte gehiago izan zitzakeen , kirolariak erretiratu baina profesionariek gailurra jotzen duteneko adina .
#goldHeads=6,3,4,6,4,0,6,7,10,11,16,14,14,11,14,4,16,
#predictedHeads=6,3,4,6,4,0,6,7,10,11,0,14,14,11,14,14,16,
(6,4),0.985712 # DEPENDENCYPART_ARC
(6,5),0.651316 # DEPENDENCYPART_ARC
(6,7),1.5276 # DEPENDENCYPART_ARC
(6,8),-0.541614 # DEPENDENCYPART_ARC
(6,9),-0.910929 # DEPENDENCYPART_ARC
(6,10),-0.555226 # DEPENDENCYPART_ARC
(6,11),-0.599134 # DEPENDENCYPART_ARC
(6,12),-1.09872 # DEPENDENCYPART_ARC
(6,13),-0.930223 # DEPENDENCYPART_ARC
(6,14),-0.891753 # DEPENDENCYPART_ARC
(6,15),-0.65941 # DEPENDENCYPART_ARC
(6,16),-0.500322 # DEPENDENCYPART_ARC
(7,4),-0.572131 # DEPENDENCYPART_ARC
(7,8),1.18404 # DEPENDENCYPART_ARC
(7,9),-1.06486 # DEPENDENCYPART_ARC
(7,11),-0.503049 # DEPENDENCYPART_ARC
(7,12),-1.05864 # DEPENDENCYPART_ARC
(7,15),-0.813995 # DEPENDENCYPART_ARC
(8,6),-0.723411 # DEPENDENCYPART_ARC
(8,7),-0.459608 # DEPENDENCYPART_ARC
(8,9),-0.587886 # DEPENDENCYPART_ARC
(8,10),-0.941176 # DEPENDENCYPART_ARC
(8,14),-1.01636 # DEPENDENCYPART_ARC
(9,2),-1.59789 # DEPENDENCYPART_ARC
(9,3),-0.710777 # DEPENDENCYPART_ARC
(9,4),-0.730029 # DEPENDENCYPART_ARC
(9,6),-0.910486 # DEPENDENCYPART_ARC
(9,7),-1.25668 # DEPENDENCYPART_ARC
(9,8),-0.191123 # DEPENDENCYPART_ARC
(9,10),-0.378155 # DEPENDENCYPART_ARC
(9,11),-0.552515 # DEPENDENCYPART_ARC
(9,12),-0.856638 # DEPENDENCYPART_ARC
(9,13),-1.21824 # DEPENDENCYPART_ARC
(9,14),-1.51405 # DEPENDENCYPART_ARC
(9,15),-1.66921 # DEPENDENCYPART_ARC
(9,16),-1.15686 # DEPENDENCYPART_ARC
(9,17),-1.24003 # DEPENDENCYPART_ARC
(10,1),-1.0171 # DEPENDENCYPART_ARC
(10,2),-1.63022 # DEPENDENCYPART_ARC
(10,3),-1.12116 # DEPENDENCYPART_ARC
(10,4),-0.839701 # DEPENDENCYPART_ARC
(10,5),-1.34367 # DEPENDENCYPART_ARC
(10,6),-0.630865 # DEPENDENCYPART_ARC
(10,7),-1.12314 # DEPENDENCYPART_ARC
(10,8),-1.2484 # DEPENDENCYPART_ARC
(10,9),1.55595 # DEPENDENCYPART_ARC
(10,11),0.0141551 # DEPENDENCYPART_ARC
(10,12),-0.485058 # DEPENDENCYPART_ARC
(10,13),-0.501387 # DEPENDENCYPART_ARC
(10,14),-0.72503 # DEPENDENCYPART_ARC
(10,15),-0.339984 # DEPENDENCYPART_ARC
(10,16),-0.662218 # DEPENDENCYPART_ARC
(11,1),-0.927825 # DEPENDENCYPART_ARC
(11,3),-1.10945 # DEPENDENCYPART_ARC
(11,4),-0.961032 # DEPENDENCYPART_ARC
(11,6),-0.449676 # DEPENDENCYPART_ARC
(11,7),-1.08468 # DEPENDENCYPART_ARC
(11,8),-1.12749 # DEPENDENCYPART_ARC
(11,9),-0.433403 # DEPENDENCYPART_ARC
(11,10),1.55129 # DEPENDENCYPART_ARC
(11,12),-0.321542 # DEPENDENCYPART_ARC
(11,13),-0.670935 # DEPENDENCYPART_ARC
(11,14),-0.208911 # DEPENDENCYPART_ARC
(11,15),-1.17006 # DEPENDENCYPART_ARC
(11,16),-1.11661 # DEPENDENCYPART_ARC
(12,8),-1.84948 # DEPENDENCYPART_ARC
(12,9),-1.6163 # DEPENDENCYPART_ARC
(12,10),-0.535377 # DEPENDENCYPART_ARC
(12,11),-0.334425 # DEPENDENCYPART_ARC
(12,13),-0.566555 # DEPENDENCYPART_ARC
(12,15),-1.90584 # DEPENDENCYPART_ARC
(12,16),-1.79802 # DEPENDENCYPART_ARC
(12,17),-1.32658 # DEPENDENCYPART_ARC
(13,1),-0.957215 # DEPENDENCYPART_ARC
(13,4),-0.700588 # DEPENDENCYPART_ARC
(13,6),-1.37743 # DEPENDENCYPART_ARC
(13,8),-1.49749 # DEPENDENCYPART_ARC
(13,9),-1.75543 # DEPENDENCYPART_ARC
(13,10),-0.463488 # DEPENDENCYPART_ARC
(13,11),-0.498165 # DEPENDENCYPART_ARC
(13,12),-0.509847 # DEPENDENCYPART_ARC
(13,14),-0.607855 # DEPENDENCYPART_ARC
(13,15),-0.541643 # DEPENDENCYPART_ARC
(13,16),-1.2413 # DEPENDENCYPART_ARC
(13,17),-1.08645 # DEPENDENCYPART_ARC
(14,1),-0.702201 # DEPENDENCYPART_ARC
(14,2),-1.72533 # DEPENDENCYPART_ARC
(14,4),-0.824096 # DEPENDENCYPART_ARC
(14,5),-0.9839 # DEPENDENCYPART_ARC
(14,6),-0.772479 # DEPENDENCYPART_ARC
(14,7),-1.12648 # DEPENDENCYPART_ARC
(14,8),-1.71682 # DEPENDENCYPART_ARC
(14,9),-0.0981851 # DEPENDENCYPART_ARC
(14,10),-0.732025 # DEPENDENCYPART_ARC
(14,11),-0.261563 # DEPENDENCYPART_ARC
(14,12),0.837718 # DEPENDENCYPART_ARC
(14,13),1.60766 # DEPENDENCYPART_ARC
(14,15),2.36353 # DEPENDENCYPART_ARC
(14,16),0.404917 # DEPENDENCYPART_ARC
(15,12),-0.949838 # DEPENDENCYPART_ARC
(15,13),-0.929032 # DEPENDENCYPART_ARC
(15,16),-1.11586 # DEPENDENCYPART_ARC
(16,1),-1.18659 # DEPENDENCYPART_ARC
(16,6),-1.71046 # DEPENDENCYPART_ARC
(16,10),-1.02027 # DEPENDENCYPART_ARC
(16,11),-1.15797 # DEPENDENCYPART_ARC
(16,12),-2.52339 # DEPENDENCYPART_ARC
(16,13),-2.42073 # DEPENDENCYPART_ARC
(16,14),-0.456739 # DEPENDENCYPART_ARC
(16,15),-0.784524 # DEPENDENCYPART_ARC
(16,17),1.40638 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.0523667 # DEPENDENCYPART_SIBL
(0,1),(0,3),0.0763568 # DEPENDENCYPART_SIBL
(0,1),(0,4),0.109138 # DEPENDENCYPART_SIBL
(0,1),(0,5),0.0750499 # DEPENDENCYPART_SIBL
(0,1),(0,6),0.00458097 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.0293903 # DEPENDENCYPART_SIBL
(0,1),(0,8),-0.0523667 # DEPENDENCYPART_SIBL
(0,1),(0,9),0.122817 # DEPENDENCYPART_SIBL
(0,1),(0,10),-0.0149097 # DEPENDENCYPART_SIBL
(0,1),(0,11),-0.0402084 # DEPENDENCYPART_SIBL
(0,1),(0,12),0.122817 # DEPENDENCYPART_SIBL
(0,1),(0,13),0.122817 # DEPENDENCYPART_SIBL
(0,1),(0,14),-0.0293623 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.0293903 # DEPENDENCYPART_SIBL
(0,1),(0,16),0.12281 # DEPENDENCYPART_SIBL
(0,1),(0,17),-0.0730114 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.177376 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.21747 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.17979 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.270085 # DEPENDENCYPART_SIBL
(0,2),(0,7),-0.200902 # DEPENDENCYPART_SIBL
(0,2),(0,8),-0.413823 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.202026 # DEPENDENCYPART_SIBL
(0,2),(0,10),-0.293028 # DEPENDENCYPART_SIBL
(0,2),(0,11),-0.179412 # DEPENDENCYPART_SIBL
(0,2),(0,12),-0.202026 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.202026 # DEPENDENCYPART_SIBL
(0,2),(0,14),-0.307572 # DEPENDENCYPART_SIBL
(0,2),(0,15),-0.200902 # DEPENDENCYPART_SIBL
(0,2),(0,16),-0.202033 # DEPENDENCYPART_SIBL
(0,2),(0,17),-0.340789 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.0170079 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.0332431 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.102564 # DEPENDENCYPART_SIBL
(0,3),(0,7),-0.0547705 # DEPENDENCYPART_SIBL
(0,3),(0,8),-0.125177 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.0107028 # DEPENDENCYPART_SIBL
(0,3),(0,10),-0.119157 # DEPENDENCYPART_SIBL
(0,3),(0,11),-0.0553044 # DEPENDENCYPART_SIBL
(0,3),(0,12),-0.0107028 # DEPENDENCYPART_SIBL
(0,3),(0,13),-0.0107028 # DEPENDENCYPART_SIBL
(0,3),(0,14),-0.13361 # DEPENDENCYPART_SIBL
(0,3),(0,15),-0.0547705 # DEPENDENCYPART_SIBL
(0,3),(0,16),-0.0107098 # DEPENDENCYPART_SIBL
(0,3),(0,17),-0.132282 # DEPENDENCYPART_SIBL
(0,4),(0,5),0.0131863 # DEPENDENCYPART_SIBL
(0,4),(0,6),-0.104445 # DEPENDENCYPART_SIBL
(0,4),(0,7),-0.0583404 # DEPENDENCYPART_SIBL
(0,4),(0,8),-0.132346 # DEPENDENCYPART_SIBL
(0,4),(0,9),0.0458296 # DEPENDENCYPART_SIBL
(0,4),(0,10),-0.118392 # DEPENDENCYPART_SIBL
(0,4),(0,11),-0.0620386 # DEPENDENCYPART_SIBL
(0,4),(0,12),0.0458296 # DEPENDENCYPART_SIBL
(0,4),(0,13),0.0458296 # DEPENDENCYPART_SIBL
(0,4),(0,14),-0.132942 # DEPENDENCYPART_SIBL
(0,4),(0,15),-0.0583404 # DEPENDENCYPART_SIBL
(0,4),(0,16),0.045816 # DEPENDENCYPART_SIBL
(0,4),(0,17),-0.172488 # DEPENDENCYPART_SIBL
(0,5),(0,6),-0.103279 # DEPENDENCYPART_SIBL
(0,5),(0,7),-0.0547712 # DEPENDENCYPART_SIBL
(0,5),(0,8),-0.125177 # DEPENDENCYPART_SIBL
(0,5),(0,9),-0.0117186 # DEPENDENCYPART_SIBL
(0,5),(0,10),-0.119872 # DEPENDENCYPART_SIBL
(0,5),(0,11),-0.0557279 # DEPENDENCYPART_SIBL
(0,5),(0,12),-0.0117186 # DEPENDENCYPART_SIBL
(0,5),(0,13),-0.0117186 # DEPENDENCYPART_SIBL
(0,5),(0,14),-0.134325 # DEPENDENCYPART_SIBL
(0,5),(0,15),-0.0547712 # DEPENDENCYPART_SIBL
(0,5),(0,16),-0.0117255 # DEPENDENCYPART_SIBL
(0,5),(0,17),-0.132283 # DEPENDENCYPART_SIBL
(0,6),(0,7),0.0730824 # DEPENDENCYPART_SIBL
(0,6),(0,8),-0.0270911 # DEPENDENCYPART_SIBL
(0,6),(0,9),0.049652 # DEPENDENCYPART_SIBL
(0,6),(0,10),-0.0891901 # DEPENDENCYPART_SIBL
(0,6),(0,11),-0.135922 # DEPENDENCYPART_SIBL
(0,6),(0,12),0.049652 # DEPENDENCYPART_SIBL
(0,6),(0,13),0.049652 # DEPENDENCYPART_SIBL
(0,6),(0,14),-0.116392 # DEPENDENCYPART_SIBL
(0,6),(0,15),0.0730824 # DEPENDENCYPART_SIBL
(0,6),(0,16),0.049645 # DEPENDENCYPART_SIBL
(0,6),(0,17),-0.0450233 # DEPENDENCYPART_SIBL
(0,7),(0,8),-0.0716099 # DEPENDENCYPART_SIBL
(0,7),(0,9),0.00542671 # DEPENDENCYPART_SIBL
(0,7),(0,10),-0.0137375 # DEPENDENCYPART_SIBL
(0,7),(0,11),-0.0449816 # DEPENDENCYPART_SIBL
(0,7),(0,12),0.00542671 # DEPENDENCYPART_SIBL
(0,7),(0,13),0.00542671 # DEPENDENCYPART_SIBL
(0,7),(0,14),-0.0283083 # DEPENDENCYPART_SIBL
(0,7),(0,15),-0.0911635 # DEPENDENCYPART_SIBL
(0,7),(0,16),0.00541583 # DEPENDENCYPART_SIBL
(0,7),(0,17),-0.0802417 # DEPENDENCYPART_SIBL
(0,8),(0,9),-0.202026 # DEPENDENCYPART_SIBL
(0,8),(0,10),-0.293028 # DEPENDENCYPART_SIBL
(0,8),(0,11),-0.179412 # DEPENDENCYPART_SIBL
(0,8),(0,12),-0.202026 # DEPENDENCYPART_SIBL
(0,8),(0,13),-0.202026 # DEPENDENCYPART_SIBL
(0,8),(0,14),-0.307572 # DEPENDENCYPART_SIBL
(0,8),(0,15),-0.200902 # DEPENDENCYPART_SIBL
(0,8),(0,16),-0.202033 # DEPENDENCYPART_SIBL
(0,8),(0,17),-0.340789 # DEPENDENCYPART_SIBL
(0,9),(0,10),-0.112279 # DEPENDENCYPART_SIBL
(0,9),(0,11),-0.0664346 # DEPENDENCYPART_SIBL
(0,9),(0,12),0.0509439 # DEPENDENCYPART_SIBL
(0,9),(0,13),0.0509439 # DEPENDENCYPART_SIBL
(0,9),(0,14),-0.126828 # DEPENDENCYPART_SIBL
(0,9),(0,15),-0.0588941 # DEPENDENCYPART_SIBL
(0,9),(0,16),0.0509303 # DEPENDENCYPART_SIBL
(0,9),(0,17),-0.174982 # DEPENDENCYPART_SIBL
(0,10),(0,11),-0.117786 # DEPENDENCYPART_SIBL
(0,10),(0,12),-0.00562242 # DEPENDENCYPART_SIBL
(0,10),(0,13),-0.00562242 # DEPENDENCYPART_SIBL
(0,10),(0,14),-0.144336 # DEPENDENCYPART_SIBL
(0,10),(0,15),0.00821328 # DEPENDENCYPART_SIBL
(0,10),(0,16),-0.00562941 # DEPENDENCYPART_SIBL
(0,10),(0,17),-0.0693041 # DEPENDENCYPART_SIBL
(0,11),(0,12),-0.0588435 # DEPENDENCYPART_SIBL
(0,11),(0,13),-0.0588435 # DEPENDENCYPART_SIBL
(0,11),(0,14),-0.121171 # DEPENDENCYPART_SIBL
(0,11),(0,15),-0.0243998 # DEPENDENCYPART_SIBL
(0,11),(0,16),-0.0588505 # DEPENDENCYPART_SIBL
(0,11),(0,17),-0.0365986 # DEPENDENCYPART_SIBL
(0,12),(0,13),0.0509439 # DEPENDENCYPART_SIBL
(0,12),(0,14),-0.126828 # DEPENDENCYPART_SIBL
(0,12),(0,15),-0.0588941 # DEPENDENCYPART_SIBL
(0,12),(0,16),0.0509303 # DEPENDENCYPART_SIBL
(0,12),(0,17),-0.174982 # DEPENDENCYPART_SIBL
(0,13),(0,14),-0.126828 # DEPENDENCYPART_SIBL
(0,13),(0,15),-0.0588941 # DEPENDENCYPART_SIBL
(0,13),(0,16),0.0509303 # DEPENDENCYPART_SIBL
(0,13),(0,17),-0.174982 # DEPENDENCYPART_SIBL
(0,14),(0,15),-0.00565111 # DEPENDENCYPART_SIBL
(0,14),(0,16),-0.0194602 # DEPENDENCYPART_SIBL
(0,14),(0,17),-0.0840292 # DEPENDENCYPART_SIBL
(0,15),(0,16),0.00541583 # DEPENDENCYPART_SIBL
(0,15),(0,17),-0.0802417 # DEPENDENCYPART_SIBL
(0,16),(0,17),-0.174986 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.0282811 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.0470606 # DEPENDENCYPART_SIBL
(2,3),(2,14),-0.041255 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.0477755 # DEPENDENCYPART_SIBL
(2,5),(2,14),-0.0419698 # DEPENDENCYPART_SIBL
(2,6),(2,14),-0.00699401 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.0100461 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.00155008 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0123644 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.017902 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.0272189 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.0102911 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.0306111 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.0395604 # DEPENDENCYPART_SIBL
(4,1),(4,11),0.00289716 # DEPENDENCYPART_SIBL
(4,1),(4,13),-0.0395604 # DEPENDENCYPART_SIBL
(4,1),(4,14),0.0378494 # DEPENDENCYPART_SIBL
(4,1),(4,16),-0.0404954 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.0417071 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0224053 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.0160635 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.0597544 # DEPENDENCYPART_SIBL
(4,2),(4,11),-0.0269806 # DEPENDENCYPART_SIBL
(4,2),(4,13),-0.0597544 # DEPENDENCYPART_SIBL
(4,2),(4,14),-0.0400824 # DEPENDENCYPART_SIBL
(4,2),(4,16),-0.0606893 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0629741 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.0588953 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.103386 # DEPENDENCYPART_SIBL
(4,3),(4,11),-0.0512729 # DEPENDENCYPART_SIBL
(4,3),(4,13),-0.103386 # DEPENDENCYPART_SIBL
(4,3),(4,14),-0.0703406 # DEPENDENCYPART_SIBL
(4,3),(4,16),-0.106191 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.0441806 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.0114232 # DEPENDENCYPART_SIBL
(4,5),(4,11),-0.0200284 # DEPENDENCYPART_SIBL
(4,5),(4,13),-0.0114232 # DEPENDENCYPART_SIBL
(4,5),(4,14),-0.0917208 # DEPENDENCYPART_SIBL
(4,5),(4,16),-0.0114232 # DEPENDENCYPART_SIBL
(4,7),(4,9),0.0281327 # DEPENDENCYPART_SIBL
(4,7),(4,11),0.0229515 # DEPENDENCYPART_SIBL
(4,7),(4,13),0.0281327 # DEPENDENCYPART_SIBL
(4,7),(4,14),0.0240425 # DEPENDENCYPART_SIBL
(4,7),(4,16),0.0281314 # DEPENDENCYPART_SIBL
(4,9),(4,11),-0.00131036 # DEPENDENCYPART_SIBL
(4,9),(4,13),-0.0087331 # DEPENDENCYPART_SIBL
(4,9),(4,14),-0.0389682 # DEPENDENCYPART_SIBL
(4,9),(4,16),-0.0087353 # DEPENDENCYPART_SIBL
(4,11),(4,13),-0.0266008 # DEPENDENCYPART_SIBL
(4,11),(4,14),-0.0456962 # DEPENDENCYPART_SIBL
(4,11),(4,16),-0.0266008 # DEPENDENCYPART_SIBL
(4,13),(4,14),-0.0389682 # DEPENDENCYPART_SIBL
(4,13),(4,16),-0.0087353 # DEPENDENCYPART_SIBL
(4,14),(4,16),-0.00818279 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.0122752 # DEPENDENCYPART_SIBL
(5,1),(5,6),0.0598084 # DEPENDENCYPART_SIBL
(5,1),(5,10),0.0474975 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.0061471 # DEPENDENCYPART_SIBL
(5,4),(5,10),0.000946647 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.0253613 # DEPENDENCYPART_SIBL
(6,1),(6,2),-0.0394956 # DEPENDENCYPART_SIBL
(6,1),(6,3),-0.0225505 # DEPENDENCYPART_SIBL
(6,1),(6,4),-0.0183501 # DEPENDENCYPART_SIBL
(6,1),(6,5),-0.0325917 # DEPENDENCYPART_SIBL
(6,1),(6,7),0.0790046 # DEPENDENCYPART_SIBL
(6,1),(6,8),-0.000519688 # DEPENDENCYPART_SIBL
(6,1),(6,9),0.011778 # DEPENDENCYPART_SIBL
(6,1),(6,10),0.0824633 # DEPENDENCYPART_SIBL
(6,1),(6,11),-0.0181007 # DEPENDENCYPART_SIBL
(6,1),(6,12),0.011778 # DEPENDENCYPART_SIBL
(6,1),(6,13),0.011778 # DEPENDENCYPART_SIBL
(6,1),(6,14),0.0814447 # DEPENDENCYPART_SIBL
(6,1),(6,15),0.0790046 # DEPENDENCYPART_SIBL
(6,1),(6,16),0.011778 # DEPENDENCYPART_SIBL
(6,2),(6,3),-0.11476 # DEPENDENCYPART_SIBL
(6,2),(6,4),-0.189943 # DEPENDENCYPART_SIBL
(6,2),(6,5),-0.116065 # DEPENDENCYPART_SIBL
(6,2),(6,7),-0.0144202 # DEPENDENCYPART_SIBL
(6,2),(6,8),-0.0109306 # DEPENDENCYPART_SIBL
(6,2),(6,9),0.00295057 # DEPENDENCYPART_SIBL
(6,2),(6,10),-0.0116172 # DEPENDENCYPART_SIBL
(6,2),(6,11),-0.0444769 # DEPENDENCYPART_SIBL
(6,2),(6,12),0.00295057 # DEPENDENCYPART_SIBL
(6,2),(6,13),0.00295057 # DEPENDENCYPART_SIBL
(6,2),(6,14),-0.0121516 # DEPENDENCYPART_SIBL
(6,2),(6,15),-0.0144202 # DEPENDENCYPART_SIBL
(6,2),(6,16),0.00295057 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.00186829 # DEPENDENCYPART_SIBL
(6,3),(6,5),-0.0256485 # DEPENDENCYPART_SIBL
(6,3),(6,7),0.0557281 # DEPENDENCYPART_SIBL
(6,3),(6,8),0.049127 # DEPENDENCYPART_SIBL
(6,3),(6,9),0.0633408 # DEPENDENCYPART_SIBL
(6,3),(6,10),0.04024 # DEPENDENCYPART_SIBL
(6,3),(6,11),0.00871857 # DEPENDENCYPART_SIBL
(6,3),(6,12),0.0633408 # DEPENDENCYPART_SIBL
(6,3),(6,13),0.0633408 # DEPENDENCYPART_SIBL
(6,3),(6,14),0.0397053 # DEPENDENCYPART_SIBL
(6,3),(6,15),0.0557281 # DEPENDENCYPART_SIBL
(6,3),(6,16),0.0624059 # DEPENDENCYPART_SIBL
(6,4),(6,5),-0.00397857 # DEPENDENCYPART_SIBL
(6,4),(6,7),0.0198055 # DEPENDENCYPART_SIBL
(6,4),(6,8),0.0399315 # DEPENDENCYPART_SIBL
(6,4),(6,9),-0.0277001 # DEPENDENCYPART_SIBL
(6,4),(6,10),0.0356447 # DEPENDENCYPART_SIBL
(6,4),(6,11),0.0291278 # DEPENDENCYPART_SIBL
(6,4),(6,12),-0.0277001 # DEPENDENCYPART_SIBL
(6,4),(6,13),-0.0277001 # DEPENDENCYPART_SIBL
(6,4),(6,14),0.033552 # DEPENDENCYPART_SIBL
(6,4),(6,15),0.0198055 # DEPENDENCYPART_SIBL
(6,4),(6,16),-0.0277001 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.0992285 # DEPENDENCYPART_SIBL
(6,5),(6,8),0.0594364 # DEPENDENCYPART_SIBL
(6,5),(6,9),0.0908639 # DEPENDENCYPART_SIBL
(6,5),(6,10),0.053791 # DEPENDENCYPART_SIBL
(6,5),(6,11),0.0231865 # DEPENDENCYPART_SIBL
(6,5),(6,12),0.0908639 # DEPENDENCYPART_SIBL
(6,5),(6,13),0.0908639 # DEPENDENCYPART_SIBL
(6,5),(6,14),0.0532562 # DEPENDENCYPART_SIBL
(6,5),(6,15),0.0992285 # DEPENDENCYPART_SIBL
(6,5),(6,16),0.0899289 # DEPENDENCYPART_SIBL
(6,7),(6,8),-0.0598643 # DEPENDENCYPART_SIBL
(6,7),(6,9),-0.0215417 # DEPENDENCYPART_SIBL
(6,7),(6,10),0.0140675 # DEPENDENCYPART_SIBL
(6,7),(6,11),-0.0381742 # DEPENDENCYPART_SIBL
(6,7),(6,12),-0.0215417 # DEPENDENCYPART_SIBL
(6,7),(6,13),-0.0215417 # DEPENDENCYPART_SIBL
(6,7),(6,14),0.0136809 # DEPENDENCYPART_SIBL
(6,7),(6,15),-0.16897 # DEPENDENCYPART_SIBL
(6,7),(6,16),-0.021543 # DEPENDENCYPART_SIBL
(6,8),(6,9),-0.11544 # DEPENDENCYPART_SIBL
(6,8),(6,10),-0.0331751 # DEPENDENCYPART_SIBL
(6,8),(6,11),-0.0728124 # DEPENDENCYPART_SIBL
(6,8),(6,12),-0.11544 # DEPENDENCYPART_SIBL
(6,8),(6,13),-0.11544 # DEPENDENCYPART_SIBL
(6,8),(6,14),-0.0335505 # DEPENDENCYPART_SIBL
(6,8),(6,15),-0.0919705 # DEPENDENCYPART_SIBL
(6,8),(6,16),-0.11544 # DEPENDENCYPART_SIBL
(6,9),(6,10),-0.0155885 # DEPENDENCYPART_SIBL
(6,9),(6,11),-0.0488179 # DEPENDENCYPART_SIBL
(6,9),(6,12),-0.052315 # DEPENDENCYPART_SIBL
(6,9),(6,13),-0.052315 # DEPENDENCYPART_SIBL
(6,9),(6,14),-0.015904 # DEPENDENCYPART_SIBL
(6,9),(6,15),-0.0470144 # DEPENDENCYPART_SIBL
(6,9),(6,16),-0.0523171 # DEPENDENCYPART_SIBL
(6,10),(6,11),-0.0854163 # DEPENDENCYPART_SIBL
(6,10),(6,12),-0.0681338 # DEPENDENCYPART_SIBL
(6,10),(6,13),-0.0681338 # DEPENDENCYPART_SIBL
(6,10),(6,14),-0.0271292 # DEPENDENCYPART_SIBL
(6,10),(6,15),0.00716703 # DEPENDENCYPART_SIBL
(6,10),(6,16),-0.0681338 # DEPENDENCYPART_SIBL
(6,11),(6,12),-0.0486384 # DEPENDENCYPART_SIBL
