# _root_ politikarien_artean , jordi pujol_kataluniako erkidegoko presidentea egon zen , eta pp eta pscko ordezkariak ere han ziren .
#goldHeads=7,1,6,3,6,7,10,7,8,0,12,14,12,17,0,17,10,17,
#predictedHeads=7,1,5,3,6,7,10,7,8,0,12,14,12,17,0,17,10,17,
(12,6),-0.547606 # DEPENDENCYPART_ARC
(12,7),-0.149028 # DEPENDENCYPART_ARC
(12,8),-1.19478 # DEPENDENCYPART_ARC
(12,9),-1.36894 # DEPENDENCYPART_ARC
(12,10),-0.417305 # DEPENDENCYPART_ARC
(12,11),1.94764 # DEPENDENCYPART_ARC
(12,13),1.76449 # DEPENDENCYPART_ARC
(12,14),0.659288 # DEPENDENCYPART_ARC
(12,15),-0.1625 # DEPENDENCYPART_ARC
(12,16),-0.796274 # DEPENDENCYPART_ARC
(12,17),-0.214861 # DEPENDENCYPART_ARC
(13,11),-1.39259 # DEPENDENCYPART_ARC
(13,14),-0.313854 # DEPENDENCYPART_ARC
(13,17),-1.98553 # DEPENDENCYPART_ARC
(14,4),-0.562375 # DEPENDENCYPART_ARC
(14,6),-1.73967 # DEPENDENCYPART_ARC
(14,7),-1.01281 # DEPENDENCYPART_ARC
(14,9),-1.52584 # DEPENDENCYPART_ARC
(14,10),-0.392288 # DEPENDENCYPART_ARC
(14,11),-0.381231 # DEPENDENCYPART_ARC
(14,12),0.122412 # DEPENDENCYPART_ARC
(14,13),1.86804 # DEPENDENCYPART_ARC
(14,15),-0.644301 # DEPENDENCYPART_ARC
(14,16),-0.789144 # DEPENDENCYPART_ARC
(14,17),-1.80243 # DEPENDENCYPART_ARC
(14,18),-1.13149 # DEPENDENCYPART_ARC
(15,7),-1.15675 # DEPENDENCYPART_ARC
(15,17),-0.726741 # DEPENDENCYPART_ARC
(16,12),-0.797743 # DEPENDENCYPART_ARC
(16,14),-0.834378 # DEPENDENCYPART_ARC
(16,15),-0.165486 # DEPENDENCYPART_ARC
(16,17),0.291969 # DEPENDENCYPART_ARC
(16,18),-0.215718 # DEPENDENCYPART_ARC
(17,1),-1.17999 # DEPENDENCYPART_ARC
(17,4),-1.32111 # DEPENDENCYPART_ARC
(17,5),-1.87887 # DEPENDENCYPART_ARC
(17,6),-0.772625 # DEPENDENCYPART_ARC
(17,7),-1.06995 # DEPENDENCYPART_ARC
(17,9),-1.4014 # DEPENDENCYPART_ARC
(17,10),-0.515094 # DEPENDENCYPART_ARC
(17,11),-0.789775 # DEPENDENCYPART_ARC
(17,12),-0.456257 # DEPENDENCYPART_ARC
(17,13),-0.921896 # DEPENDENCYPART_ARC
(17,14),0.0838033 # DEPENDENCYPART_ARC
(17,15),-0.346194 # DEPENDENCYPART_ARC
(17,16),0.87749 # DEPENDENCYPART_ARC
(17,18),1.64428 # DEPENDENCYPART_ARC
(18,14),-1.32495 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.13484 # DEPENDENCYPART_SIBL
(0,1),(0,3),0.0509439 # DEPENDENCYPART_SIBL
(0,1),(0,4),0.0509439 # DEPENDENCYPART_SIBL
(0,1),(0,5),0.0509439 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.108666 # DEPENDENCYPART_SIBL
(0,1),(0,8),-0.0830616 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.13484 # DEPENDENCYPART_SIBL
(0,1),(0,10),-0.0875943 # DEPENDENCYPART_SIBL
(0,1),(0,11),0.0507094 # DEPENDENCYPART_SIBL
(0,1),(0,12),-0.0875943 # DEPENDENCYPART_SIBL
(0,1),(0,13),0.0509439 # DEPENDENCYPART_SIBL
(0,1),(0,14),0.0512899 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.0307797 # DEPENDENCYPART_SIBL
(0,1),(0,16),0.0628372 # DEPENDENCYPART_SIBL
(0,1),(0,17),-0.0421074 # DEPENDENCYPART_SIBL
(0,1),(0,18),-0.174982 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.202026 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.202026 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.202026 # DEPENDENCYPART_SIBL
(0,2),(0,7),-0.293227 # DEPENDENCYPART_SIBL
(0,2),(0,8),-0.229299 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.413823 # DEPENDENCYPART_SIBL
(0,2),(0,10),-0.226163 # DEPENDENCYPART_SIBL
(0,2),(0,11),-0.202284 # DEPENDENCYPART_SIBL
(0,2),(0,12),-0.226163 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.202026 # DEPENDENCYPART_SIBL
(0,2),(0,14),-0.203076 # DEPENDENCYPART_SIBL
(0,2),(0,15),-0.070263 # DEPENDENCYPART_SIBL
(0,2),(0,16),-0.262281 # DEPENDENCYPART_SIBL
(0,2),(0,17),-0.189894 # DEPENDENCYPART_SIBL
(0,2),(0,18),-0.340789 # DEPENDENCYPART_SIBL
(0,3),(0,4),0.0509439 # DEPENDENCYPART_SIBL
(0,3),(0,5),0.0509439 # DEPENDENCYPART_SIBL
(0,3),(0,7),-0.108666 # DEPENDENCYPART_SIBL
(0,3),(0,8),-0.0830616 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.13484 # DEPENDENCYPART_SIBL
(0,3),(0,10),-0.0875943 # DEPENDENCYPART_SIBL
(0,3),(0,11),0.0507094 # DEPENDENCYPART_SIBL
(0,3),(0,12),-0.0875943 # DEPENDENCYPART_SIBL
(0,3),(0,13),0.0509439 # DEPENDENCYPART_SIBL
(0,3),(0,14),0.0512899 # DEPENDENCYPART_SIBL
(0,3),(0,15),-0.0307797 # DEPENDENCYPART_SIBL
(0,3),(0,16),0.0628372 # DEPENDENCYPART_SIBL
(0,3),(0,17),-0.0421074 # DEPENDENCYPART_SIBL
(0,3),(0,18),-0.174982 # DEPENDENCYPART_SIBL
(0,4),(0,5),0.0509439 # DEPENDENCYPART_SIBL
(0,4),(0,7),-0.108666 # DEPENDENCYPART_SIBL
(0,4),(0,8),-0.0830616 # DEPENDENCYPART_SIBL
(0,4),(0,9),-0.13484 # DEPENDENCYPART_SIBL
(0,4),(0,10),-0.0875943 # DEPENDENCYPART_SIBL
(0,4),(0,11),0.0507094 # DEPENDENCYPART_SIBL
(0,4),(0,12),-0.0875943 # DEPENDENCYPART_SIBL
(0,4),(0,13),0.0509439 # DEPENDENCYPART_SIBL
(0,4),(0,14),0.0512899 # DEPENDENCYPART_SIBL
(0,4),(0,15),-0.0307797 # DEPENDENCYPART_SIBL
(0,4),(0,16),0.0628372 # DEPENDENCYPART_SIBL
(0,4),(0,17),-0.0421074 # DEPENDENCYPART_SIBL
(0,4),(0,18),-0.174982 # DEPENDENCYPART_SIBL
(0,5),(0,7),-0.108666 # DEPENDENCYPART_SIBL
(0,5),(0,8),-0.0830616 # DEPENDENCYPART_SIBL
(0,5),(0,9),-0.13484 # DEPENDENCYPART_SIBL
(0,5),(0,10),-0.0875943 # DEPENDENCYPART_SIBL
(0,5),(0,11),0.0507094 # DEPENDENCYPART_SIBL
(0,5),(0,12),-0.0875943 # DEPENDENCYPART_SIBL
(0,5),(0,13),0.0509439 # DEPENDENCYPART_SIBL
(0,5),(0,14),0.0512899 # DEPENDENCYPART_SIBL
(0,5),(0,15),-0.0307797 # DEPENDENCYPART_SIBL
(0,5),(0,16),0.0628372 # DEPENDENCYPART_SIBL
(0,5),(0,17),-0.0421074 # DEPENDENCYPART_SIBL
(0,5),(0,18),-0.174982 # DEPENDENCYPART_SIBL
(0,7),(0,8),-0.00234551 # DEPENDENCYPART_SIBL
(0,7),(0,9),-0.0388006 # DEPENDENCYPART_SIBL
(0,7),(0,10),-0.0957252 # DEPENDENCYPART_SIBL
(0,7),(0,11),0.00155831 # DEPENDENCYPART_SIBL
(0,7),(0,12),-0.0957252 # DEPENDENCYPART_SIBL
(0,7),(0,13),0.00178856 # DEPENDENCYPART_SIBL
(0,7),(0,14),0.000737562 # DEPENDENCYPART_SIBL
(0,7),(0,15),0.0862229 # DEPENDENCYPART_SIBL
(0,7),(0,16),0.021793 # DEPENDENCYPART_SIBL
(0,7),(0,17),-0.0585816 # DEPENDENCYPART_SIBL
(0,7),(0,18),-0.0616419 # DEPENDENCYPART_SIBL
(0,8),(0,9),-0.0397155 # DEPENDENCYPART_SIBL
(0,8),(0,10),-0.0587639 # DEPENDENCYPART_SIBL
(0,8),(0,11),0.0379188 # DEPENDENCYPART_SIBL
(0,8),(0,12),-0.0587639 # DEPENDENCYPART_SIBL
(0,8),(0,13),0.0381781 # DEPENDENCYPART_SIBL
(0,8),(0,14),0.0351709 # DEPENDENCYPART_SIBL
(0,8),(0,15),-0.0116693 # DEPENDENCYPART_SIBL
(0,8),(0,16),0.0788759 # DEPENDENCYPART_SIBL
(0,8),(0,17),0.0178314 # DEPENDENCYPART_SIBL
(0,8),(0,18),-0.045241 # DEPENDENCYPART_SIBL
(0,9),(0,10),-0.226163 # DEPENDENCYPART_SIBL
(0,9),(0,11),-0.202284 # DEPENDENCYPART_SIBL
(0,9),(0,12),-0.226163 # DEPENDENCYPART_SIBL
(0,9),(0,13),-0.202026 # DEPENDENCYPART_SIBL
(0,9),(0,14),-0.203076 # DEPENDENCYPART_SIBL
(0,9),(0,15),-0.070263 # DEPENDENCYPART_SIBL
(0,9),(0,16),-0.262281 # DEPENDENCYPART_SIBL
(0,9),(0,17),-0.189894 # DEPENDENCYPART_SIBL
(0,9),(0,18),-0.340789 # DEPENDENCYPART_SIBL
(0,10),(0,11),-0.0229412 # DEPENDENCYPART_SIBL
(0,10),(0,12),-0.0395181 # DEPENDENCYPART_SIBL
(0,10),(0,13),-0.0223684 # DEPENDENCYPART_SIBL
(0,10),(0,14),-0.0255066 # DEPENDENCYPART_SIBL
(0,10),(0,15),0.0989293 # DEPENDENCYPART_SIBL
(0,10),(0,16),0.107876 # DEPENDENCYPART_SIBL
(0,10),(0,17),-0.0808352 # DEPENDENCYPART_SIBL
(0,10),(0,18),-0.0473547 # DEPENDENCYPART_SIBL
(0,11),(0,12),-0.0879991 # DEPENDENCYPART_SIBL
(0,11),(0,13),0.050194 # DEPENDENCYPART_SIBL
(0,11),(0,14),0.05054 # DEPENDENCYPART_SIBL
(0,11),(0,15),-0.0311793 # DEPENDENCYPART_SIBL
(0,11),(0,16),0.0624428 # DEPENDENCYPART_SIBL
(0,11),(0,17),-0.0427538 # DEPENDENCYPART_SIBL
(0,11),(0,18),-0.175377 # DEPENDENCYPART_SIBL
(0,12),(0,13),-0.0223684 # DEPENDENCYPART_SIBL
(0,12),(0,14),-0.0255066 # DEPENDENCYPART_SIBL
(0,12),(0,15),0.0989293 # DEPENDENCYPART_SIBL
(0,12),(0,16),0.107876 # DEPENDENCYPART_SIBL
(0,12),(0,17),-0.0808352 # DEPENDENCYPART_SIBL
(0,12),(0,18),-0.0473547 # DEPENDENCYPART_SIBL
(0,13),(0,14),0.0512899 # DEPENDENCYPART_SIBL
(0,13),(0,15),-0.0307797 # DEPENDENCYPART_SIBL
(0,13),(0,16),0.0628372 # DEPENDENCYPART_SIBL
(0,13),(0,17),-0.0421074 # DEPENDENCYPART_SIBL
(0,13),(0,18),-0.174982 # DEPENDENCYPART_SIBL
(0,14),(0,15),-0.0309578 # DEPENDENCYPART_SIBL
(0,14),(0,16),0.0628046 # DEPENDENCYPART_SIBL
(0,14),(0,17),-0.04214 # DEPENDENCYPART_SIBL
(0,14),(0,18),-0.175015 # DEPENDENCYPART_SIBL
(0,15),(0,16),0.154975 # DEPENDENCYPART_SIBL
(0,15),(0,17),0.0600221 # DEPENDENCYPART_SIBL
(0,15),(0,18),-0.0225006 # DEPENDENCYPART_SIBL
(0,16),(0,17),0.0571262 # DEPENDENCYPART_SIBL
(0,16),(0,18),-0.000863131 # DEPENDENCYPART_SIBL
(0,17),(0,18),-0.112795 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.049334 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.049334 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.049334 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.049334 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.0389318 # DEPENDENCYPART_SIBL
(1,2),(1,8),-0.0731775 # DEPENDENCYPART_SIBL
(1,2),(1,10),-0.0281902 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.0073091 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.0073091 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.00752673 # DEPENDENCYPART_SIBL
(1,3),(1,7),-0.0360584 # DEPENDENCYPART_SIBL
(1,3),(1,8),-0.00744781 # DEPENDENCYPART_SIBL
(1,3),(1,10),-0.00858012 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.0073091 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.00752673 # DEPENDENCYPART_SIBL
(1,4),(1,7),-0.0360584 # DEPENDENCYPART_SIBL
(1,4),(1,8),-0.00744781 # DEPENDENCYPART_SIBL
(1,4),(1,10),-0.00858012 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.00752673 # DEPENDENCYPART_SIBL
(1,5),(1,7),-0.0360584 # DEPENDENCYPART_SIBL
(1,5),(1,8),-0.00744781 # DEPENDENCYPART_SIBL
(1,5),(1,10),-0.00858012 # DEPENDENCYPART_SIBL
(1,6),(1,7),-0.0363772 # DEPENDENCYPART_SIBL
(1,6),(1,8),-0.00744781 # DEPENDENCYPART_SIBL
(1,6),(1,10),-0.00874135 # DEPENDENCYPART_SIBL
(1,7),(1,8),0.0294874 # DEPENDENCYPART_SIBL
(1,7),(1,10),0.00496927 # DEPENDENCYPART_SIBL
(1,8),(1,10),-0.0227958 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.161639 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.0259473 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.00621019 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.00621019 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.00691283 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0562268 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0562268 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0562268 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0073091 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.00752673 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.00752673 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.0259473 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.00783131 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.00621019 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.00691283 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.115615 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0562268 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0562268 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.00621019 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.00691283 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.00752673 # DEPENDENCYPART_SIBL
(5,1),(5,2),-0.0259473 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.00783131 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.00783131 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.00691283 # DEPENDENCYPART_SIBL
(5,1),(5,8),0.0311031 # DEPENDENCYPART_SIBL
(5,1),(5,10),0.00711494 # DEPENDENCYPART_SIBL
(5,1),(5,11),-0.00753171 # DEPENDENCYPART_SIBL
(5,1),(5,17),-0.0167846 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.115615 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.115615 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.0562268 # DEPENDENCYPART_SIBL
(5,2),(5,8),0.00960198 # DEPENDENCYPART_SIBL
(5,2),(5,10),-0.0342394 # DEPENDENCYPART_SIBL
(5,2),(5,11),-0.0577929 # DEPENDENCYPART_SIBL
(5,2),(5,17),-0.0149088 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.00783131 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.00691283 # DEPENDENCYPART_SIBL
(5,3),(5,8),0.0311031 # DEPENDENCYPART_SIBL
(5,3),(5,10),0.00711494 # DEPENDENCYPART_SIBL
(5,3),(5,11),-0.00753171 # DEPENDENCYPART_SIBL
(5,3),(5,17),-0.0167846 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.00691283 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.0311031 # DEPENDENCYPART_SIBL
(5,4),(5,10),0.00711494 # DEPENDENCYPART_SIBL
(5,4),(5,11),-0.00753171 # DEPENDENCYPART_SIBL
(5,4),(5,17),-0.0167846 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.00744781 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.00874135 # DEPENDENCYPART_SIBL
(5,6),(5,11),-0.00756718 # DEPENDENCYPART_SIBL
(5,6),(5,17),-0.0133724 # DEPENDENCYPART_SIBL
(5,8),(5,10),-0.0227958 # DEPENDENCYPART_SIBL
(5,8),(5,11),0.0506708 # DEPENDENCYPART_SIBL
(5,8),(5,17),0.011012 # DEPENDENCYPART_SIBL
(5,10),(5,11),-0.00404136 # DEPENDENCYPART_SIBL
(5,10),(5,17),-0.0163961 # DEPENDENCYPART_SIBL
(5,11),(5,17),-0.0134696 # DEPENDENCYPART_SIBL
(6,1),(6,2),-0.0220944 # DEPENDENCYPART_SIBL
(6,1),(6,3),0.00323602 # DEPENDENCYPART_SIBL
(6,1),(6,4),0.00323602 # DEPENDENCYPART_SIBL
(6,1),(6,5),0.00323602 # DEPENDENCYPART_SIBL
(6,1),(6,7),0.018421 # DEPENDENCYPART_SIBL
(6,1),(6,8),0.0299389 # DEPENDENCYPART_SIBL
(6,1),(6,9),0.0586403 # DEPENDENCYPART_SIBL
(6,1),(6,10),0.00590154 # DEPENDENCYPART_SIBL
(6,1),(6,11),-0.00924815 # DEPENDENCYPART_SIBL
(6,1),(6,12),0.00590154 # DEPENDENCYPART_SIBL
(6,1),(6,14),-0.0162447 # DEPENDENCYPART_SIBL
(6,1),(6,17),-0.0179488 # DEPENDENCYPART_SIBL
(6,1),(6,18),-0.0227447 # DEPENDENCYPART_SIBL
(6,2),(6,3),-0.11226 # DEPENDENCYPART_SIBL
(6,2),(6,4),-0.11226 # DEPENDENCYPART_SIBL
(6,2),(6,5),-0.11226 # DEPENDENCYPART_SIBL
(6,2),(6,7),-0.0243389 # DEPENDENCYPART_SIBL
(6,2),(6,8),0.00939321 # DEPENDENCYPART_SIBL
(6,2),(6,9),0.00904792 # DEPENDENCYPART_SIBL
(6,2),(6,10),-0.0343703 # DEPENDENCYPART_SIBL
(6,2),(6,11),-0.0581739 # DEPENDENCYPART_SIBL
(6,2),(6,12),-0.0343703 # DEPENDENCYPART_SIBL
(6,2),(6,14),-0.0567061 # DEPENDENCYPART_SIBL
(6,2),(6,17),-0.0151176 # DEPENDENCYPART_SIBL
(6,2),(6,18),-0.0794463 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.00323602 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.00323602 # DEPENDENCYPART_SIBL
(6,3),(6,7),0.018421 # DEPENDENCYPART_SIBL
(6,3),(6,8),0.0299389 # DEPENDENCYPART_SIBL
(6,3),(6,9),0.0586403 # DEPENDENCYPART_SIBL
(6,3),(6,10),0.00590154 # DEPENDENCYPART_SIBL
(6,3),(6,11),-0.00924815 # DEPENDENCYPART_SIBL
(6,3),(6,12),0.00590154 # DEPENDENCYPART_SIBL
(6,3),(6,14),-0.0162447 # DEPENDENCYPART_SIBL
(6,3),(6,17),-0.0179488 # DEPENDENCYPART_SIBL
(6,3),(6,18),-0.0227447 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.00323602 # DEPENDENCYPART_SIBL
(6,4),(6,7),0.018421 # DEPENDENCYPART_SIBL
(6,4),(6,8),0.0299389 # DEPENDENCYPART_SIBL
(6,4),(6,9),0.0586403 # DEPENDENCYPART_SIBL
(6,4),(6,10),0.00590154 # DEPENDENCYPART_SIBL
(6,4),(6,11),-0.00924815 # DEPENDENCYPART_SIBL
(6,4),(6,12),0.00590154 # DEPENDENCYPART_SIBL
(6,4),(6,14),-0.0162447 # DEPENDENCYPART_SIBL
(6,4),(6,17),-0.0179488 # DEPENDENCYPART_SIBL
(6,4),(6,18),-0.0227447 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.018421 # DEPENDENCYPART_SIBL
(6,5),(6,8),0.0299389 # DEPENDENCYPART_SIBL
(6,5),(6,9),0.0586403 # DEPENDENCYPART_SIBL
(6,5),(6,10),0.00590154 # DEPENDENCYPART_SIBL
(6,5),(6,11),-0.00924815 # DEPENDENCYPART_SIBL
(6,5),(6,12),0.00590154 # DEPENDENCYPART_SIBL
(6,5),(6,14),-0.0162447 # DEPENDENCYPART_SIBL
(6,5),(6,17),-0.0179488 # DEPENDENCYPART_SIBL
(6,5),(6,18),-0.0227447 # DEPENDENCYPART_SIBL
(6,7),(6,8),0.0294874 # DEPENDENCYPART_SIBL
(6,7),(6,9),-0.0765076 # DEPENDENCYPART_SIBL
(6,7),(6,10),0.00496533 # DEPENDENCYPART_SIBL
(6,7),(6,11),-0.00671985 # DEPENDENCYPART_SIBL
(6,7),(6,12),0.00496533 # DEPENDENCYPART_SIBL
(6,7),(6,14),-0.00667906 # DEPENDENCYPART_SIBL
(6,7),(6,17),-0.00475149 # DEPENDENCYPART_SIBL
(6,7),(6,18),-0.0694379 # DEPENDENCYPART_SIBL
