# _root_ horren berri zuzena eta zehatza izateko asmoak bultzatuta , karrantzako_udaleko ordezkaritza bat langraizko kartzelan fernando_diezekin biltzen ahaleginduko da , eta horretarako egin dute eskaera .
#goldHeads=2,6,4,2,4,7,8,20,8,11,17,11,14,16,16,17,20,17,18,0,22,20,22,22,24,
#predictedHeads=2,6,4,2,4,7,8,17,8,11,17,11,14,16,16,17,20,17,18,0,22,20,22,22,24,
(14,10),0.0398175 # DEPENDENCYPART_ARC
(14,11),-0.397324 # DEPENDENCYPART_ARC
(14,12),-2.13814 # DEPENDENCYPART_ARC
(14,13),1.52494 # DEPENDENCYPART_ARC
(14,15),-1.64557 # DEPENDENCYPART_ARC
(14,18),-1.99768 # DEPENDENCYPART_ARC
(14,25),-1.58016 # DEPENDENCYPART_ARC
(15,3),-2.20066 # DEPENDENCYPART_ARC
(15,10),0.0113428 # DEPENDENCYPART_ARC
(15,11),-0.650617 # DEPENDENCYPART_ARC
(15,12),-3.10422 # DEPENDENCYPART_ARC
(15,13),0.703806 # DEPENDENCYPART_ARC
(15,14),-0.579112 # DEPENDENCYPART_ARC
(15,16),-0.473772 # DEPENDENCYPART_ARC
(15,18),-1.4069 # DEPENDENCYPART_ARC
(15,25),-1.13195 # DEPENDENCYPART_ARC
(16,1),-0.939602 # DEPENDENCYPART_ARC
(16,2),-0.714308 # DEPENDENCYPART_ARC
(16,3),-1.21861 # DEPENDENCYPART_ARC
(16,4),-0.183725 # DEPENDENCYPART_ARC
(16,5),-1.20478 # DEPENDENCYPART_ARC
(16,6),-0.565614 # DEPENDENCYPART_ARC
(16,7),0.197518 # DEPENDENCYPART_ARC
(16,8),-0.557001 # DEPENDENCYPART_ARC
(16,10),-0.151625 # DEPENDENCYPART_ARC
(16,11),-0.116748 # DEPENDENCYPART_ARC
(16,12),-0.54675 # DEPENDENCYPART_ARC
(16,13),-0.33991 # DEPENDENCYPART_ARC
(16,14),1.01374 # DEPENDENCYPART_ARC
(16,15),1.85028 # DEPENDENCYPART_ARC
(16,17),0.584781 # DEPENDENCYPART_ARC
(16,18),0.180634 # DEPENDENCYPART_ARC
(16,19),-0.793027 # DEPENDENCYPART_ARC
(16,20),-0.717637 # DEPENDENCYPART_ARC
(16,22),-1.10324 # DEPENDENCYPART_ARC
(16,23),-1.26234 # DEPENDENCYPART_ARC
(16,24),-0.792669 # DEPENDENCYPART_ARC
(17,1),-1.10462 # DEPENDENCYPART_ARC
(17,2),-0.635895 # DEPENDENCYPART_ARC
(17,3),-1.11355 # DEPENDENCYPART_ARC
(17,4),-0.0425305 # DEPENDENCYPART_ARC
(17,5),-1.06326 # DEPENDENCYPART_ARC
(17,6),-0.822667 # DEPENDENCYPART_ARC
(17,7),-0.143528 # DEPENDENCYPART_ARC
(17,8),-0.133573 # DEPENDENCYPART_ARC
(17,9),-1.65242 # DEPENDENCYPART_ARC
(17,10),-0.0595088 # DEPENDENCYPART_ARC
(17,11),-0.3262 # DEPENDENCYPART_ARC
(17,12),-0.67451 # DEPENDENCYPART_ARC
(17,13),-0.557028 # DEPENDENCYPART_ARC
(17,14),0.670524 # DEPENDENCYPART_ARC
(17,15),0.290153 # DEPENDENCYPART_ARC
(17,16),1.1095 # DEPENDENCYPART_ARC
(17,18),1.01879 # DEPENDENCYPART_ARC
(17,19),-0.493782 # DEPENDENCYPART_ARC
(17,20),-0.760732 # DEPENDENCYPART_ARC
(17,22),-0.851417 # DEPENDENCYPART_ARC
(17,23),-1.20706 # DEPENDENCYPART_ARC
(17,24),-0.362712 # DEPENDENCYPART_ARC
(18,15),-0.627406 # DEPENDENCYPART_ARC
(18,17),-0.724537 # DEPENDENCYPART_ARC
(18,19),1.19449 # DEPENDENCYPART_ARC
(18,20),-0.717902 # DEPENDENCYPART_ARC
(18,22),-1.30828 # DEPENDENCYPART_ARC
(18,23),-0.970853 # DEPENDENCYPART_ARC
(19,16),-1.03485 # DEPENDENCYPART_ARC
(19,17),-0.955996 # DEPENDENCYPART_ARC
(19,18),-0.629753 # DEPENDENCYPART_ARC
(19,20),-0.288599 # DEPENDENCYPART_ARC
(20,4),-0.122156 # DEPENDENCYPART_ARC
(20,6),-1.38983 # DEPENDENCYPART_ARC
(20,8),-1.00384 # DEPENDENCYPART_ARC
(20,13),-1.448 # DEPENDENCYPART_ARC
(20,15),-1.06632 # DEPENDENCYPART_ARC
(20,16),-0.114782 # DEPENDENCYPART_ARC
(20,17),0.400028 # DEPENDENCYPART_ARC
(20,18),-0.707738 # DEPENDENCYPART_ARC
(20,19),-0.481715 # DEPENDENCYPART_ARC
(20,21),-0.392912 # DEPENDENCYPART_ARC
(20,22),0.189134 # DEPENDENCYPART_ARC
(20,23),-0.835347 # DEPENDENCYPART_ARC
(20,24),-0.637655 # DEPENDENCYPART_ARC
(21,22),0.123967 # DEPENDENCYPART_ARC
(21,24),-0.520653 # DEPENDENCYPART_ARC
(22,2),-1.54391 # DEPENDENCYPART_ARC
(22,4),-0.2519 # DEPENDENCYPART_ARC
(22,6),-1.0994 # DEPENDENCYPART_ARC
(22,7),-0.84594 # DEPENDENCYPART_ARC
(22,10),-0.698292 # DEPENDENCYPART_ARC
(22,11),-1.23731 # DEPENDENCYPART_ARC
(22,13),-1.68785 # DEPENDENCYPART_ARC
(22,14),-0.360911 # DEPENDENCYPART_ARC
(22,15),-0.555379 # DEPENDENCYPART_ARC
(22,16),-1.19672 # DEPENDENCYPART_ARC
(22,17),-0.318326 # DEPENDENCYPART_ARC
(22,18),-0.813127 # DEPENDENCYPART_ARC
(22,19),-1.2555 # DEPENDENCYPART_ARC
(22,20),-0.362625 # DEPENDENCYPART_ARC
(22,21),0.590129 # DEPENDENCYPART_ARC
(22,23),1.26539 # DEPENDENCYPART_ARC
(22,24),0.528083 # DEPENDENCYPART_ARC
(23,21),-0.44757 # DEPENDENCYPART_ARC
(23,24),-1.19766 # DEPENDENCYPART_ARC
(24,16),-1.39562 # DEPENDENCYPART_ARC
(24,17),-1.22706 # DEPENDENCYPART_ARC
(24,19),-1.54764 # DEPENDENCYPART_ARC
(24,21),-2.03058 # DEPENDENCYPART_ARC
(24,22),-0.254496 # DEPENDENCYPART_ARC
(24,23),-1.28384 # DEPENDENCYPART_ARC
(24,25),1.3887 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.0071072 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.0416153 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.0697579 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.04456 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.12119 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.00621766 # DEPENDENCYPART_SIBL
(0,1),(0,8),-0.121104 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.125699 # DEPENDENCYPART_SIBL
(0,1),(0,16),-0.122578 # DEPENDENCYPART_SIBL
(0,1),(0,17),-0.121104 # DEPENDENCYPART_SIBL
(0,1),(0,18),-0.0522802 # DEPENDENCYPART_SIBL
(0,1),(0,19),-0.125699 # DEPENDENCYPART_SIBL
(0,1),(0,20),-0.0697579 # DEPENDENCYPART_SIBL
(0,1),(0,21),-0.0372393 # DEPENDENCYPART_SIBL
(0,1),(0,22),-0.127504 # DEPENDENCYPART_SIBL
(0,1),(0,23),-0.0683178 # DEPENDENCYPART_SIBL
(0,1),(0,24),-0.00695387 # DEPENDENCYPART_SIBL
(0,1),(0,25),-0.132805 # DEPENDENCYPART_SIBL
(0,2),(0,3),0.0170806 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.0848026 # DEPENDENCYPART_SIBL
(0,2),(0,5),0.0170805 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.110502 # DEPENDENCYPART_SIBL
(0,2),(0,7),0.051703 # DEPENDENCYPART_SIBL
(0,2),(0,8),-0.116853 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.136157 # DEPENDENCYPART_SIBL
(0,2),(0,16),-0.118503 # DEPENDENCYPART_SIBL
(0,2),(0,17),-0.116853 # DEPENDENCYPART_SIBL
(0,2),(0,18),-0.0325461 # DEPENDENCYPART_SIBL
(0,2),(0,19),-0.136157 # DEPENDENCYPART_SIBL
(0,2),(0,20),-0.0848026 # DEPENDENCYPART_SIBL
(0,2),(0,21),0.0292704 # DEPENDENCYPART_SIBL
(0,2),(0,22),-0.155694 # DEPENDENCYPART_SIBL
(0,2),(0,23),-0.0639369 # DEPENDENCYPART_SIBL
(0,2),(0,24),0.0458921 # DEPENDENCYPART_SIBL
(0,2),(0,25),-0.176298 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.064921 # DEPENDENCYPART_SIBL
(0,3),(0,5),0.0109766 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.0994911 # DEPENDENCYPART_SIBL
(0,3),(0,7),0.00128813 # DEPENDENCYPART_SIBL
(0,3),(0,8),-0.0988839 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.0729018 # DEPENDENCYPART_SIBL
(0,3),(0,16),-0.100417 # DEPENDENCYPART_SIBL
(0,3),(0,17),-0.0988839 # DEPENDENCYPART_SIBL
(0,3),(0,18),-0.0330828 # DEPENDENCYPART_SIBL
(0,3),(0,19),-0.0729018 # DEPENDENCYPART_SIBL
(0,3),(0,20),-0.064921 # DEPENDENCYPART_SIBL
(0,3),(0,21),0.0491833 # DEPENDENCYPART_SIBL
(0,3),(0,22),-0.114172 # DEPENDENCYPART_SIBL
(0,3),(0,23),-0.0448062 # DEPENDENCYPART_SIBL
(0,3),(0,24),0.000552034 # DEPENDENCYPART_SIBL
(0,3),(0,25),-0.0798156 # DEPENDENCYPART_SIBL
(0,4),(0,5),0.0259329 # DEPENDENCYPART_SIBL
(0,4),(0,6),-0.0325737 # DEPENDENCYPART_SIBL
(0,4),(0,7),-0.0224143 # DEPENDENCYPART_SIBL
(0,4),(0,8),-0.032339 # DEPENDENCYPART_SIBL
(0,4),(0,9),0.0156699 # DEPENDENCYPART_SIBL
(0,4),(0,16),-0.033853 # DEPENDENCYPART_SIBL
(0,4),(0,17),-0.032339 # DEPENDENCYPART_SIBL
(0,4),(0,18),0.0163256 # DEPENDENCYPART_SIBL
(0,4),(0,19),0.0156699 # DEPENDENCYPART_SIBL
(0,4),(0,20),-0.0395181 # DEPENDENCYPART_SIBL
(0,4),(0,21),0.0350372 # DEPENDENCYPART_SIBL
(0,4),(0,22),-0.0422199 # DEPENDENCYPART_SIBL
(0,4),(0,23),-0.0387246 # DEPENDENCYPART_SIBL
(0,4),(0,24),-0.023124 # DEPENDENCYPART_SIBL
(0,4),(0,25),-0.0473547 # DEPENDENCYPART_SIBL
(0,5),(0,6),-0.0989488 # DEPENDENCYPART_SIBL
(0,5),(0,7),0.00170336 # DEPENDENCYPART_SIBL
(0,5),(0,8),-0.0983416 # DEPENDENCYPART_SIBL
(0,5),(0,9),-0.0728923 # DEPENDENCYPART_SIBL
(0,5),(0,16),-0.099875 # DEPENDENCYPART_SIBL
(0,5),(0,17),-0.0983416 # DEPENDENCYPART_SIBL
(0,5),(0,18),-0.0330884 # DEPENDENCYPART_SIBL
(0,5),(0,19),-0.0728923 # DEPENDENCYPART_SIBL
(0,5),(0,20),-0.0649174 # DEPENDENCYPART_SIBL
(0,5),(0,21),0.0478302 # DEPENDENCYPART_SIBL
(0,5),(0,22),-0.11363 # DEPENDENCYPART_SIBL
(0,5),(0,23),-0.0448117 # DEPENDENCYPART_SIBL
(0,5),(0,24),0.000967259 # DEPENDENCYPART_SIBL
(0,5),(0,25),-0.0798062 # DEPENDENCYPART_SIBL
(0,6),(0,7),-0.00636266 # DEPENDENCYPART_SIBL
(0,6),(0,8),-0.117382 # DEPENDENCYPART_SIBL
(0,6),(0,9),-0.0465715 # DEPENDENCYPART_SIBL
(0,6),(0,16),-0.115319 # DEPENDENCYPART_SIBL
(0,6),(0,17),-0.117382 # DEPENDENCYPART_SIBL
(0,6),(0,18),-0.0288544 # DEPENDENCYPART_SIBL
(0,6),(0,19),-0.0465715 # DEPENDENCYPART_SIBL
(0,6),(0,20),-0.126794 # DEPENDENCYPART_SIBL
(0,6),(0,21),0.00686746 # DEPENDENCYPART_SIBL
(0,6),(0,22),-0.133902 # DEPENDENCYPART_SIBL
(0,6),(0,23),-0.00494473 # DEPENDENCYPART_SIBL
(0,6),(0,24),-0.00707944 # DEPENDENCYPART_SIBL
(0,6),(0,25),-0.0694131 # DEPENDENCYPART_SIBL
(0,7),(0,8),-0.112796 # DEPENDENCYPART_SIBL
(0,7),(0,9),-0.134842 # DEPENDENCYPART_SIBL
(0,7),(0,16),-0.114446 # DEPENDENCYPART_SIBL
(0,7),(0,17),-0.112796 # DEPENDENCYPART_SIBL
(0,7),(0,18),-0.0414016 # DEPENDENCYPART_SIBL
(0,7),(0,19),-0.134842 # DEPENDENCYPART_SIBL
(0,7),(0,20),-0.0876098 # DEPENDENCYPART_SIBL
(0,7),(0,21),0.00877396 # DEPENDENCYPART_SIBL
(0,7),(0,22),-0.151638 # DEPENDENCYPART_SIBL
(0,7),(0,23),-0.0728202 # DEPENDENCYPART_SIBL
(0,7),(0,24),0.0439332 # DEPENDENCYPART_SIBL
(0,7),(0,25),-0.174984 # DEPENDENCYPART_SIBL
(0,8),(0,9),-0.0464622 # DEPENDENCYPART_SIBL
(0,8),(0,16),-0.115071 # DEPENDENCYPART_SIBL
(0,8),(0,17),-0.117133 # DEPENDENCYPART_SIBL
(0,8),(0,18),-0.028308 # DEPENDENCYPART_SIBL
(0,8),(0,19),-0.0464622 # DEPENDENCYPART_SIBL
(0,8),(0,20),-0.126699 # DEPENDENCYPART_SIBL
(0,8),(0,21),0.00696244 # DEPENDENCYPART_SIBL
(0,8),(0,22),-0.133654 # DEPENDENCYPART_SIBL
(0,8),(0,23),-0.0043983 # DEPENDENCYPART_SIBL
(0,8),(0,24),-0.00640383 # DEPENDENCYPART_SIBL
(0,8),(0,25),-0.0693041 # DEPENDENCYPART_SIBL
(0,9),(0,16),-0.295058 # DEPENDENCYPART_SIBL
(0,9),(0,17),-0.293028 # DEPENDENCYPART_SIBL
(0,9),(0,18),-0.206064 # DEPENDENCYPART_SIBL
(0,9),(0,19),-0.413823 # DEPENDENCYPART_SIBL
(0,9),(0,20),-0.226163 # DEPENDENCYPART_SIBL
(0,9),(0,21),-0.178079 # DEPENDENCYPART_SIBL
(0,9),(0,22),-0.327759 # DEPENDENCYPART_SIBL
(0,9),(0,23),-0.221187 # DEPENDENCYPART_SIBL
(0,9),(0,24),-0.203797 # DEPENDENCYPART_SIBL
(0,9),(0,25),-0.340789 # DEPENDENCYPART_SIBL
(0,16),(0,17),-0.142432 # DEPENDENCYPART_SIBL
(0,16),(0,18),-0.039493 # DEPENDENCYPART_SIBL
(0,16),(0,19),-0.0570765 # DEPENDENCYPART_SIBL
(0,16),(0,20),-0.138816 # DEPENDENCYPART_SIBL
(0,16),(0,21),-0.00361656 # DEPENDENCYPART_SIBL
(0,16),(0,22),-0.158952 # DEPENDENCYPART_SIBL
(0,16),(0,23),-0.0155833 # DEPENDENCYPART_SIBL
(0,16),(0,24),-0.0170434 # DEPENDENCYPART_SIBL
(0,16),(0,25),-0.0799183 # DEPENDENCYPART_SIBL
(0,17),(0,18),-0.028308 # DEPENDENCYPART_SIBL
(0,17),(0,19),-0.0464622 # DEPENDENCYPART_SIBL
(0,17),(0,20),-0.126699 # DEPENDENCYPART_SIBL
(0,17),(0,21),0.00696244 # DEPENDENCYPART_SIBL
(0,17),(0,22),-0.133654 # DEPENDENCYPART_SIBL
(0,17),(0,23),-0.0043983 # DEPENDENCYPART_SIBL
(0,17),(0,24),-0.00640383 # DEPENDENCYPART_SIBL
(0,17),(0,25),-0.0693041 # DEPENDENCYPART_SIBL
(0,18),(0,19),-0.0655862 # DEPENDENCYPART_SIBL
(0,18),(0,20),-0.0911826 # DEPENDENCYPART_SIBL
(0,18),(0,21),-0.000163396 # DEPENDENCYPART_SIBL
(0,18),(0,22),-0.0186597 # DEPENDENCYPART_SIBL
(0,18),(0,23),-0.113208 # DEPENDENCYPART_SIBL
(0,18),(0,24),0.0022225 # DEPENDENCYPART_SIBL
(0,18),(0,25),-0.0856939 # DEPENDENCYPART_SIBL
(0,19),(0,20),-0.226163 # DEPENDENCYPART_SIBL
(0,19),(0,21),-0.178079 # DEPENDENCYPART_SIBL
(0,19),(0,22),-0.327759 # DEPENDENCYPART_SIBL
(0,19),(0,23),-0.221187 # DEPENDENCYPART_SIBL
(0,19),(0,24),-0.203797 # DEPENDENCYPART_SIBL
(0,19),(0,25),-0.340789 # DEPENDENCYPART_SIBL
(0,20),(0,21),0.0350372 # DEPENDENCYPART_SIBL
(0,20),(0,22),-0.0422199 # DEPENDENCYPART_SIBL
(0,20),(0,23),-0.0387246 # DEPENDENCYPART_SIBL
(0,20),(0,24),-0.023124 # DEPENDENCYPART_SIBL
(0,20),(0,25),-0.0473547 # DEPENDENCYPART_SIBL
(0,21),(0,22),-0.137072 # DEPENDENCYPART_SIBL
(0,21),(0,23),-0.0724338 # DEPENDENCYPART_SIBL
(0,21),(0,24),-0.0163731 # DEPENDENCYPART_SIBL
(0,21),(0,25),-0.136921 # DEPENDENCYPART_SIBL
(0,22),(0,23),-0.000744187 # DEPENDENCYPART_SIBL
(0,22),(0,24),-0.0625527 # DEPENDENCYPART_SIBL
(0,22),(0,25),-0.122823 # DEPENDENCYPART_SIBL
(0,23),(0,24),0.0151348 # DEPENDENCYPART_SIBL
(0,23),(0,25),-0.0730602 # DEPENDENCYPART_SIBL
(0,24),(0,25),-0.175926 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.103619 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0243437 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.101591 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.0870771 # DEPENDENCYPART_SIBL
(2,1),(2,12),-0.0213226 # DEPENDENCYPART_SIBL
(2,1),(2,20),-0.0243437 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0734019 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.00522719 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.00696627 # DEPENDENCYPART_SIBL
(2,3),(2,12),0.235675 # DEPENDENCYPART_SIBL
(2,3),(2,20),-0.0734019 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.0170726 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.00407151 # DEPENDENCYPART_SIBL
(2,4),(2,12),0.138004 # DEPENDENCYPART_SIBL
(2,4),(2,20),0.0139624 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.00596152 # DEPENDENCYPART_SIBL
(2,5),(2,12),0.225883 # DEPENDENCYPART_SIBL
(2,5),(2,20),-0.0804806 # DEPENDENCYPART_SIBL
(2,7),(2,12),0.0462873 # DEPENDENCYPART_SIBL
(2,7),(2,20),-0.00860191 # DEPENDENCYPART_SIBL
(2,12),(2,20),0.006614 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0118148 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.0389178 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.010605 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.035407 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.0487061 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.00532152 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.0168148 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.00545887 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.00954505 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.00357026 # DEPENDENCYPART_SIBL
(4,1),(4,10),0.00545918 # DEPENDENCYPART_SIBL
(4,1),(4,11),0.00545918 # DEPENDENCYPART_SIBL
(4,1),(4,12),0.177484 # DEPENDENCYPART_SIBL
(4,1),(4,14),0.00545918 # DEPENDENCYPART_SIBL
(4,1),(4,15),0.00545918 # DEPENDENCYPART_SIBL
(4,1),(4,16),-0.0098687 # DEPENDENCYPART_SIBL
(4,1),(4,17),-0.00954505 # DEPENDENCYPART_SIBL
(4,1),(4,20),0.0462631 # DEPENDENCYPART_SIBL
(4,1),(4,22),-0.0341407 # DEPENDENCYPART_SIBL
(4,1),(4,24),-0.00372197 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.0894279 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.00637402 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0947357 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.0548916 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.0834207 # DEPENDENCYPART_SIBL
