# _root_ ybarra eta gonzalezen_arabera , bbvak banku bakar bezala egingo du lan bere unitate eta negozio guztietan , " espainiako merkatuan jada ezagunenetakoa den marka bakarrarekin " .
#goldHeads=2,9,2,3,9,9,6,7,0,9,9,13,2,9,2,15,16,17,20,23,23,23,24,9,24,25,26,
#predictedHeads=2,9,2,3,9,9,6,7,0,9,9,13,14,9,14,15,16,17,20,23,23,0,24,9,24,25,26,
(25,21),-0.583118 # DEPENDENCYPART_ARC
(25,24),-0.479243 # DEPENDENCYPART_ARC
(25,26),1.02125 # DEPENDENCYPART_ARC
(26,27),1.43762 # DEPENDENCYPART_ARC
(0,22),-0.713288 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.0875943 # DEPENDENCYPART_SIBL
(0,1),(0,3),0.0509439 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.13484 # DEPENDENCYPART_SIBL
(0,1),(0,5),0.0509439 # DEPENDENCYPART_SIBL
(0,1),(0,7),0.0183502 # DEPENDENCYPART_SIBL
(0,1),(0,8),0.0457426 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.126558 # DEPENDENCYPART_SIBL
(0,1),(0,10),-0.0730112 # DEPENDENCYPART_SIBL
(0,1),(0,11),0.0672795 # DEPENDENCYPART_SIBL
(0,1),(0,13),0.0509439 # DEPENDENCYPART_SIBL
(0,1),(0,14),-0.0875943 # DEPENDENCYPART_SIBL
(0,1),(0,16),0.00878585 # DEPENDENCYPART_SIBL
(0,1),(0,17),-0.13484 # DEPENDENCYPART_SIBL
(0,1),(0,18),-0.198273 # DEPENDENCYPART_SIBL
(0,1),(0,19),0.050941 # DEPENDENCYPART_SIBL
(0,1),(0,21),0.0246835 # DEPENDENCYPART_SIBL
(0,1),(0,22),-0.0188216 # DEPENDENCYPART_SIBL
(0,1),(0,23),-0.0404153 # DEPENDENCYPART_SIBL
(0,1),(0,24),0.0509439 # DEPENDENCYPART_SIBL
(0,1),(0,25),0.0183958 # DEPENDENCYPART_SIBL
(0,1),(0,26),-0.198273 # DEPENDENCYPART_SIBL
(0,1),(0,27),-0.174982 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.0223684 # DEPENDENCYPART_SIBL
(0,2),(0,4),0.0156699 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.0223684 # DEPENDENCYPART_SIBL
(0,2),(0,7),0.0259329 # DEPENDENCYPART_SIBL
(0,2),(0,8),0.100534 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.055662 # DEPENDENCYPART_SIBL
(0,2),(0,10),-0.0180094 # DEPENDENCYPART_SIBL
(0,2),(0,11),-0.0173011 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.0223684 # DEPENDENCYPART_SIBL
(0,2),(0,14),-0.0395181 # DEPENDENCYPART_SIBL
(0,2),(0,16),0.0350372 # DEPENDENCYPART_SIBL
(0,2),(0,17),0.0156699 # DEPENDENCYPART_SIBL
(0,2),(0,18),-0.0798852 # DEPENDENCYPART_SIBL
(0,2),(0,19),-0.0223692 # DEPENDENCYPART_SIBL
(0,2),(0,21),0.0832917 # DEPENDENCYPART_SIBL
(0,2),(0,22),0.022097 # DEPENDENCYPART_SIBL
(0,2),(0,23),-0.0851749 # DEPENDENCYPART_SIBL
(0,2),(0,24),-0.0223684 # DEPENDENCYPART_SIBL
(0,2),(0,25),0.0259329 # DEPENDENCYPART_SIBL
(0,2),(0,26),-0.0798852 # DEPENDENCYPART_SIBL
(0,2),(0,27),-0.0473547 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.13484 # DEPENDENCYPART_SIBL
(0,3),(0,5),0.0509439 # DEPENDENCYPART_SIBL
(0,3),(0,7),0.0183502 # DEPENDENCYPART_SIBL
(0,3),(0,8),0.0457426 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.126558 # DEPENDENCYPART_SIBL
(0,3),(0,10),-0.0730112 # DEPENDENCYPART_SIBL
(0,3),(0,11),0.0672795 # DEPENDENCYPART_SIBL
(0,3),(0,13),0.0509439 # DEPENDENCYPART_SIBL
(0,3),(0,14),-0.0875943 # DEPENDENCYPART_SIBL
(0,3),(0,16),0.00878585 # DEPENDENCYPART_SIBL
(0,3),(0,17),-0.13484 # DEPENDENCYPART_SIBL
(0,3),(0,18),-0.198273 # DEPENDENCYPART_SIBL
(0,3),(0,19),0.050941 # DEPENDENCYPART_SIBL
(0,3),(0,21),0.0246835 # DEPENDENCYPART_SIBL
(0,3),(0,22),-0.0188216 # DEPENDENCYPART_SIBL
(0,3),(0,23),-0.0404153 # DEPENDENCYPART_SIBL
(0,3),(0,24),0.0509439 # DEPENDENCYPART_SIBL
(0,3),(0,25),0.0183958 # DEPENDENCYPART_SIBL
(0,3),(0,26),-0.198273 # DEPENDENCYPART_SIBL
(0,3),(0,27),-0.174982 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.202026 # DEPENDENCYPART_SIBL
(0,4),(0,7),-0.132739 # DEPENDENCYPART_SIBL
(0,4),(0,8),-0.24192 # DEPENDENCYPART_SIBL
(0,4),(0,9),-0.292299 # DEPENDENCYPART_SIBL
(0,4),(0,10),-0.254856 # DEPENDENCYPART_SIBL
(0,4),(0,11),-0.192692 # DEPENDENCYPART_SIBL
(0,4),(0,13),-0.202026 # DEPENDENCYPART_SIBL
(0,4),(0,14),-0.226163 # DEPENDENCYPART_SIBL
(0,4),(0,16),-0.177376 # DEPENDENCYPART_SIBL
(0,4),(0,17),-0.413823 # DEPENDENCYPART_SIBL
(0,4),(0,18),-0.370046 # DEPENDENCYPART_SIBL
(0,4),(0,19),-0.202027 # DEPENDENCYPART_SIBL
(0,4),(0,21),-0.292066 # DEPENDENCYPART_SIBL
(0,4),(0,22),-0.157299 # DEPENDENCYPART_SIBL
(0,4),(0,23),-0.186957 # DEPENDENCYPART_SIBL
(0,4),(0,24),-0.202026 # DEPENDENCYPART_SIBL
(0,4),(0,25),-0.132739 # DEPENDENCYPART_SIBL
(0,4),(0,26),-0.370046 # DEPENDENCYPART_SIBL
(0,4),(0,27),-0.340789 # DEPENDENCYPART_SIBL
(0,5),(0,7),0.0183502 # DEPENDENCYPART_SIBL
(0,5),(0,8),0.0457426 # DEPENDENCYPART_SIBL
(0,5),(0,9),-0.126558 # DEPENDENCYPART_SIBL
(0,5),(0,10),-0.0730112 # DEPENDENCYPART_SIBL
(0,5),(0,11),0.0672795 # DEPENDENCYPART_SIBL
(0,5),(0,13),0.0509439 # DEPENDENCYPART_SIBL
(0,5),(0,14),-0.0875943 # DEPENDENCYPART_SIBL
(0,5),(0,16),0.00878585 # DEPENDENCYPART_SIBL
(0,5),(0,17),-0.13484 # DEPENDENCYPART_SIBL
(0,5),(0,18),-0.198273 # DEPENDENCYPART_SIBL
(0,5),(0,19),0.050941 # DEPENDENCYPART_SIBL
(0,5),(0,21),0.0246835 # DEPENDENCYPART_SIBL
(0,5),(0,22),-0.0188216 # DEPENDENCYPART_SIBL
(0,5),(0,23),-0.0404153 # DEPENDENCYPART_SIBL
(0,5),(0,24),0.0509439 # DEPENDENCYPART_SIBL
(0,5),(0,25),0.0183958 # DEPENDENCYPART_SIBL
(0,5),(0,26),-0.198273 # DEPENDENCYPART_SIBL
(0,5),(0,27),-0.174982 # DEPENDENCYPART_SIBL
(0,7),(0,8),0.0389768 # DEPENDENCYPART_SIBL
(0,7),(0,9),-0.112734 # DEPENDENCYPART_SIBL
(0,7),(0,10),-0.0533836 # DEPENDENCYPART_SIBL
(0,7),(0,11),-0.00179642 # DEPENDENCYPART_SIBL
(0,7),(0,13),-0.00702154 # DEPENDENCYPART_SIBL
(0,7),(0,14),-0.0649208 # DEPENDENCYPART_SIBL
(0,7),(0,16),0.0501836 # DEPENDENCYPART_SIBL
(0,7),(0,17),-0.072892 # DEPENDENCYPART_SIBL
(0,7),(0,18),-0.0966864 # DEPENDENCYPART_SIBL
(0,7),(0,19),-0.00702239 # DEPENDENCYPART_SIBL
(0,7),(0,21),0.0152481 # DEPENDENCYPART_SIBL
(0,7),(0,22),-0.0063341 # DEPENDENCYPART_SIBL
(0,7),(0,23),-0.0496644 # DEPENDENCYPART_SIBL
(0,7),(0,24),-0.00702154 # DEPENDENCYPART_SIBL
(0,7),(0,25),0.0109805 # DEPENDENCYPART_SIBL
(0,7),(0,26),-0.0966864 # DEPENDENCYPART_SIBL
(0,7),(0,27),-0.0798058 # DEPENDENCYPART_SIBL
(0,8),(0,9),-0.0236413 # DEPENDENCYPART_SIBL
(0,8),(0,10),-0.0451862 # DEPENDENCYPART_SIBL
(0,8),(0,11),0.141376 # DEPENDENCYPART_SIBL
(0,8),(0,13),0.136035 # DEPENDENCYPART_SIBL
(0,8),(0,14),-0.0368079 # DEPENDENCYPART_SIBL
(0,8),(0,16),0.0878841 # DEPENDENCYPART_SIBL
(0,8),(0,17),-0.0420074 # DEPENDENCYPART_SIBL
(0,8),(0,18),-0.0826562 # DEPENDENCYPART_SIBL
(0,8),(0,19),0.136034 # DEPENDENCYPART_SIBL
(0,8),(0,21),0.00900978 # DEPENDENCYPART_SIBL
(0,8),(0,22),0.0560575 # DEPENDENCYPART_SIBL
(0,8),(0,23),0.0493156 # DEPENDENCYPART_SIBL
(0,8),(0,24),0.136035 # DEPENDENCYPART_SIBL
(0,8),(0,25),0.089369 # DEPENDENCYPART_SIBL
(0,8),(0,26),-0.0826562 # DEPENDENCYPART_SIBL
(0,8),(0,27),-0.0626453 # DEPENDENCYPART_SIBL
(0,9),(0,10),-0.00808719 # DEPENDENCYPART_SIBL
(0,9),(0,11),-0.00924003 # DEPENDENCYPART_SIBL
(0,9),(0,13),-0.0135148 # DEPENDENCYPART_SIBL
(0,9),(0,14),-0.132338 # DEPENDENCYPART_SIBL
(0,9),(0,16),0.00133434 # DEPENDENCYPART_SIBL
(0,9),(0,17),-0.0520903 # DEPENDENCYPART_SIBL
(0,9),(0,18),-0.0865184 # DEPENDENCYPART_SIBL
(0,9),(0,19),-0.0135156 # DEPENDENCYPART_SIBL
(0,9),(0,21),-0.0357631 # DEPENDENCYPART_SIBL
(0,9),(0,22),-0.0205517 # DEPENDENCYPART_SIBL
(0,9),(0,23),-0.0671399 # DEPENDENCYPART_SIBL
(0,9),(0,24),-0.0135148 # DEPENDENCYPART_SIBL
(0,9),(0,25),-0.00572589 # DEPENDENCYPART_SIBL
(0,9),(0,26),-0.0865184 # DEPENDENCYPART_SIBL
(0,9),(0,27),-0.0749322 # DEPENDENCYPART_SIBL
(0,10),(0,11),0.0186474 # DEPENDENCYPART_SIBL
(0,10),(0,13),0.0135633 # DEPENDENCYPART_SIBL
(0,10),(0,14),0.0005745 # DEPENDENCYPART_SIBL
(0,10),(0,16),0.0257376 # DEPENDENCYPART_SIBL
(0,10),(0,17),-0.0521989 # DEPENDENCYPART_SIBL
(0,10),(0,18),-0.0840088 # DEPENDENCYPART_SIBL
(0,10),(0,19),0.013239 # DEPENDENCYPART_SIBL
(0,10),(0,21),0.0151939 # DEPENDENCYPART_SIBL
(0,10),(0,22),0.00767168 # DEPENDENCYPART_SIBL
(0,10),(0,23),0.00997673 # DEPENDENCYPART_SIBL
(0,10),(0,24),0.0135633 # DEPENDENCYPART_SIBL
(0,10),(0,25),0.0202345 # DEPENDENCYPART_SIBL
(0,10),(0,26),-0.0840088 # DEPENDENCYPART_SIBL
(0,10),(0,27),-0.0585579 # DEPENDENCYPART_SIBL
(0,11),(0,13),0.0300945 # DEPENDENCYPART_SIBL
(0,11),(0,14),-0.0968196 # DEPENDENCYPART_SIBL
(0,11),(0,16),-0.000144758 # DEPENDENCYPART_SIBL
(0,11),(0,17),-0.143771 # DEPENDENCYPART_SIBL
(0,11),(0,18),-0.207203 # DEPENDENCYPART_SIBL
(0,11),(0,19),0.0300916 # DEPENDENCYPART_SIBL
(0,11),(0,21),0.0157439 # DEPENDENCYPART_SIBL
(0,11),(0,22),-0.0277522 # DEPENDENCYPART_SIBL
(0,11),(0,23),-0.0493459 # DEPENDENCYPART_SIBL
(0,11),(0,24),0.0300945 # DEPENDENCYPART_SIBL
(0,11),(0,25),0.00722413 # DEPENDENCYPART_SIBL
(0,11),(0,26),-0.207203 # DEPENDENCYPART_SIBL
(0,11),(0,27),-0.183913 # DEPENDENCYPART_SIBL
(0,13),(0,14),-0.0875943 # DEPENDENCYPART_SIBL
(0,13),(0,16),0.00878585 # DEPENDENCYPART_SIBL
(0,13),(0,17),-0.13484 # DEPENDENCYPART_SIBL
(0,13),(0,18),-0.198273 # DEPENDENCYPART_SIBL
(0,13),(0,19),0.050941 # DEPENDENCYPART_SIBL
(0,13),(0,21),0.0246835 # DEPENDENCYPART_SIBL
(0,13),(0,22),-0.0188216 # DEPENDENCYPART_SIBL
(0,13),(0,23),-0.0404153 # DEPENDENCYPART_SIBL
(0,13),(0,24),0.0509439 # DEPENDENCYPART_SIBL
(0,13),(0,25),0.0183958 # DEPENDENCYPART_SIBL
(0,13),(0,26),-0.198273 # DEPENDENCYPART_SIBL
(0,13),(0,27),-0.174982 # DEPENDENCYPART_SIBL
(0,14),(0,16),0.0350372 # DEPENDENCYPART_SIBL
(0,14),(0,17),0.0156699 # DEPENDENCYPART_SIBL
(0,14),(0,18),-0.0798852 # DEPENDENCYPART_SIBL
(0,14),(0,19),-0.0223692 # DEPENDENCYPART_SIBL
(0,14),(0,21),0.0832917 # DEPENDENCYPART_SIBL
(0,14),(0,22),0.022097 # DEPENDENCYPART_SIBL
(0,14),(0,23),-0.0851749 # DEPENDENCYPART_SIBL
(0,14),(0,24),-0.0223684 # DEPENDENCYPART_SIBL
(0,14),(0,25),0.0259329 # DEPENDENCYPART_SIBL
(0,14),(0,26),-0.0798852 # DEPENDENCYPART_SIBL
(0,14),(0,27),-0.0473547 # DEPENDENCYPART_SIBL
(0,16),(0,17),-0.125177 # DEPENDENCYPART_SIBL
(0,16),(0,18),-0.14938 # DEPENDENCYPART_SIBL
(0,16),(0,19),-0.0107037 # DEPENDENCYPART_SIBL
(0,16),(0,21),-0.0262346 # DEPENDENCYPART_SIBL
(0,16),(0,22),-0.0226079 # DEPENDENCYPART_SIBL
(0,16),(0,23),-0.056223 # DEPENDENCYPART_SIBL
(0,16),(0,24),-0.0107028 # DEPENDENCYPART_SIBL
(0,16),(0,25),-0.0409402 # DEPENDENCYPART_SIBL
(0,16),(0,26),-0.14938 # DEPENDENCYPART_SIBL
(0,16),(0,27),-0.132282 # DEPENDENCYPART_SIBL
(0,17),(0,18),-0.370046 # DEPENDENCYPART_SIBL
(0,17),(0,19),-0.202027 # DEPENDENCYPART_SIBL
(0,17),(0,21),-0.292066 # DEPENDENCYPART_SIBL
(0,17),(0,22),-0.157299 # DEPENDENCYPART_SIBL
(0,17),(0,23),-0.186957 # DEPENDENCYPART_SIBL
(0,17),(0,24),-0.202026 # DEPENDENCYPART_SIBL
(0,17),(0,25),-0.132739 # DEPENDENCYPART_SIBL
(0,17),(0,26),-0.370046 # DEPENDENCYPART_SIBL
(0,17),(0,27),-0.340789 # DEPENDENCYPART_SIBL
(0,18),(0,19),-0.133325 # DEPENDENCYPART_SIBL
(0,18),(0,21),-0.0882429 # DEPENDENCYPART_SIBL
(0,18),(0,22),-0.0339369 # DEPENDENCYPART_SIBL
(0,18),(0,23),-0.0811773 # DEPENDENCYPART_SIBL
(0,18),(0,24),-0.133324 # DEPENDENCYPART_SIBL
(0,18),(0,25),-0.0141519 # DEPENDENCYPART_SIBL
(0,18),(0,26),-0.181443 # DEPENDENCYPART_SIBL
(0,18),(0,27),-0.161528 # DEPENDENCYPART_SIBL
(0,19),(0,21),0.0216184 # DEPENDENCYPART_SIBL
(0,19),(0,22),-0.0218867 # DEPENDENCYPART_SIBL
(0,19),(0,23),-0.0434805 # DEPENDENCYPART_SIBL
(0,19),(0,24),0.0431389 # DEPENDENCYPART_SIBL
(0,19),(0,25),0.0153287 # DEPENDENCYPART_SIBL
(0,19),(0,26),-0.201338 # DEPENDENCYPART_SIBL
(0,19),(0,27),-0.178047 # DEPENDENCYPART_SIBL
(0,21),(0,22),0.027164 # DEPENDENCYPART_SIBL
(0,21),(0,23),-0.000408261 # DEPENDENCYPART_SIBL
(0,21),(0,24),0.0864777 # DEPENDENCYPART_SIBL
(0,21),(0,25),0.060372 # DEPENDENCYPART_SIBL
(0,21),(0,26),-0.111244 # DEPENDENCYPART_SIBL
(0,21),(0,27),-0.0912335 # DEPENDENCYPART_SIBL
