# _root_ jarritako helburuetan lan_egiteko , hamabost kidek osatutako batzorde iraunkorra izendatu zen , eta horiek bost lan batzordetan lan_egin dute ordutik_hona .
#goldHeads=2,3,10,3,6,7,8,10,8,13,10,11,0,16,17,18,16,13,18,18,20,
#predictedHeads=2,3,10,3,6,7,8,10,8,13,10,11,0,18,16,17,18,13,18,18,20,
(0,1),(0,18),-0.107886 # DEPENDENCYPART_SIBL
(0,1),(0,19),-0.00440669 # DEPENDENCYPART_SIBL
(0,1),(0,20),-0.0290739 # DEPENDENCYPART_SIBL
(0,1),(0,21),-0.0693125 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.113976 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.13484 # DEPENDENCYPART_SIBL
(0,2),(0,5),0.00862835 # DEPENDENCYPART_SIBL
(0,2),(0,6),0.0505429 # DEPENDENCYPART_SIBL
(0,2),(0,7),-0.112279 # DEPENDENCYPART_SIBL
(0,2),(0,9),0.0183577 # DEPENDENCYPART_SIBL
(0,2),(0,10),-0.112279 # DEPENDENCYPART_SIBL
(0,2),(0,11),-0.0830616 # DEPENDENCYPART_SIBL
(0,2),(0,12),-0.13484 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.0875943 # DEPENDENCYPART_SIBL
(0,2),(0,14),0.00878576 # DEPENDENCYPART_SIBL
(0,2),(0,15),0.00878577 # DEPENDENCYPART_SIBL
(0,2),(0,18),-0.111346 # DEPENDENCYPART_SIBL
(0,2),(0,19),-0.0728182 # DEPENDENCYPART_SIBL
(0,2),(0,20),0.0264197 # DEPENDENCYPART_SIBL
(0,2),(0,21),-0.174982 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.0464679 # DEPENDENCYPART_SIBL
(0,3),(0,5),0.00688986 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.00568647 # DEPENDENCYPART_SIBL
(0,3),(0,7),-0.117146 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.000185357 # DEPENDENCYPART_SIBL
(0,3),(0,10),-0.117146 # DEPENDENCYPART_SIBL
(0,3),(0,11),-0.0044888 # DEPENDENCYPART_SIBL
(0,3),(0,12),-0.0464679 # DEPENDENCYPART_SIBL
(0,3),(0,13),-0.126729 # DEPENDENCYPART_SIBL
(0,3),(0,14),0.00688985 # DEPENDENCYPART_SIBL
(0,3),(0,15),0.0068898 # DEPENDENCYPART_SIBL
(0,3),(0,18),-0.107885 # DEPENDENCYPART_SIBL
(0,3),(0,19),-0.00477275 # DEPENDENCYPART_SIBL
(0,3),(0,20),-0.0290712 # DEPENDENCYPART_SIBL
(0,3),(0,21),-0.0693098 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.177376 # DEPENDENCYPART_SIBL
(0,4),(0,6),-0.202033 # DEPENDENCYPART_SIBL
(0,4),(0,7),-0.293028 # DEPENDENCYPART_SIBL
(0,4),(0,9),-0.132739 # DEPENDENCYPART_SIBL
(0,4),(0,10),-0.293028 # DEPENDENCYPART_SIBL
(0,4),(0,11),-0.229299 # DEPENDENCYPART_SIBL
(0,4),(0,12),-0.413823 # DEPENDENCYPART_SIBL
(0,4),(0,13),-0.226163 # DEPENDENCYPART_SIBL
(0,4),(0,14),-0.177376 # DEPENDENCYPART_SIBL
(0,4),(0,15),-0.177376 # DEPENDENCYPART_SIBL
(0,4),(0,18),-0.295053 # DEPENDENCYPART_SIBL
(0,4),(0,19),-0.221187 # DEPENDENCYPART_SIBL
(0,4),(0,20),-0.290997 # DEPENDENCYPART_SIBL
(0,4),(0,21),-0.340789 # DEPENDENCYPART_SIBL
(0,5),(0,6),-0.0107099 # DEPENDENCYPART_SIBL
(0,5),(0,7),-0.119157 # DEPENDENCYPART_SIBL
(0,5),(0,9),-0.0409402 # DEPENDENCYPART_SIBL
(0,5),(0,10),-0.119157 # DEPENDENCYPART_SIBL
(0,5),(0,11),-0.0772276 # DEPENDENCYPART_SIBL
(0,5),(0,12),-0.125177 # DEPENDENCYPART_SIBL
(0,5),(0,13),-0.0685676 # DEPENDENCYPART_SIBL
(0,5),(0,14),-0.0282919 # DEPENDENCYPART_SIBL
(0,5),(0,15),-0.0329796 # DEPENDENCYPART_SIBL
(0,5),(0,18),-0.118212 # DEPENDENCYPART_SIBL
(0,5),(0,19),-0.0677957 # DEPENDENCYPART_SIBL
(0,5),(0,20),-0.0251651 # DEPENDENCYPART_SIBL
(0,5),(0,21),-0.132282 # DEPENDENCYPART_SIBL
(0,6),(0,7),-0.109661 # DEPENDENCYPART_SIBL
(0,6),(0,9),0.0183504 # DEPENDENCYPART_SIBL
(0,6),(0,10),-0.109661 # DEPENDENCYPART_SIBL
(0,6),(0,11),-0.0830689 # DEPENDENCYPART_SIBL
(0,6),(0,12),-0.134865 # DEPENDENCYPART_SIBL
(0,6),(0,13),-0.0822776 # DEPENDENCYPART_SIBL
(0,6),(0,14),0.00877848 # DEPENDENCYPART_SIBL
(0,6),(0,15),0.00877848 # DEPENDENCYPART_SIBL
(0,6),(0,18),-0.108728 # DEPENDENCYPART_SIBL
(0,6),(0,19),-0.0728255 # DEPENDENCYPART_SIBL
(0,6),(0,20),0.0264124 # DEPENDENCYPART_SIBL
(0,6),(0,21),-0.175 # DEPENDENCYPART_SIBL
(0,7),(0,9),-0.000877541 # DEPENDENCYPART_SIBL
(0,7),(0,10),-0.117831 # DEPENDENCYPART_SIBL
(0,7),(0,11),-0.00565859 # DEPENDENCYPART_SIBL
(0,7),(0,12),-0.0471601 # DEPENDENCYPART_SIBL
(0,7),(0,13),-0.127397 # DEPENDENCYPART_SIBL
(0,7),(0,14),0.00626455 # DEPENDENCYPART_SIBL
(0,7),(0,15),0.0062645 # DEPENDENCYPART_SIBL
(0,7),(0,18),-0.108569 # DEPENDENCYPART_SIBL
(0,7),(0,19),-0.00594254 # DEPENDENCYPART_SIBL
(0,7),(0,20),-0.0297634 # DEPENDENCYPART_SIBL
(0,7),(0,21),-0.0700019 # DEPENDENCYPART_SIBL
(0,9),(0,10),-0.098332 # DEPENDENCYPART_SIBL
(0,9),(0,11),-0.0565032 # DEPENDENCYPART_SIBL
(0,9),(0,12),-0.072892 # DEPENDENCYPART_SIBL
(0,9),(0,13),-0.0649171 # DEPENDENCYPART_SIBL
(0,9),(0,14),0.0587864 # DEPENDENCYPART_SIBL
(0,9),(0,15),0.0491916 # DEPENDENCYPART_SIBL
(0,9),(0,18),-0.0966886 # DEPENDENCYPART_SIBL
(0,9),(0,19),-0.044802 # DEPENDENCYPART_SIBL
(0,9),(0,20),0.0163176 # DEPENDENCYPART_SIBL
(0,9),(0,21),-0.0798058 # DEPENDENCYPART_SIBL
(0,10),(0,11),-0.00509702 # DEPENDENCYPART_SIBL
(0,10),(0,12),-0.0469058 # DEPENDENCYPART_SIBL
(0,10),(0,13),-0.127143 # DEPENDENCYPART_SIBL
(0,10),(0,14),0.00651887 # DEPENDENCYPART_SIBL
(0,10),(0,15),0.00651883 # DEPENDENCYPART_SIBL
(0,10),(0,18),-0.108315 # DEPENDENCYPART_SIBL
(0,10),(0,19),-0.00538097 # DEPENDENCYPART_SIBL
(0,10),(0,20),-0.0296132 # DEPENDENCYPART_SIBL
(0,10),(0,21),-0.0697476 # DEPENDENCYPART_SIBL
(0,11),(0,12),-0.0397155 # DEPENDENCYPART_SIBL
(0,11),(0,13),-0.0587639 # DEPENDENCYPART_SIBL
(0,11),(0,14),0.0318405 # DEPENDENCYPART_SIBL
(0,11),(0,15),0.0336694 # DEPENDENCYPART_SIBL
(0,11),(0,18),0.0288106 # DEPENDENCYPART_SIBL
(0,11),(0,19),-0.0971891 # DEPENDENCYPART_SIBL
(0,11),(0,20),0.0484096 # DEPENDENCYPART_SIBL
(0,11),(0,21),-0.045241 # DEPENDENCYPART_SIBL
(0,12),(0,13),-0.226163 # DEPENDENCYPART_SIBL
(0,12),(0,14),-0.177376 # DEPENDENCYPART_SIBL
(0,12),(0,15),-0.177376 # DEPENDENCYPART_SIBL
(0,12),(0,18),-0.295053 # DEPENDENCYPART_SIBL
(0,12),(0,19),-0.221187 # DEPENDENCYPART_SIBL
(0,12),(0,20),-0.290997 # DEPENDENCYPART_SIBL
(0,12),(0,21),-0.340789 # DEPENDENCYPART_SIBL
(0,13),(0,14),0.0350371 # DEPENDENCYPART_SIBL
(0,13),(0,15),0.0350372 # DEPENDENCYPART_SIBL
(0,13),(0,18),-0.0397003 # DEPENDENCYPART_SIBL
(0,13),(0,19),-0.0387246 # DEPENDENCYPART_SIBL
(0,13),(0,20),0.0843623 # DEPENDENCYPART_SIBL
(0,13),(0,21),-0.0473547 # DEPENDENCYPART_SIBL
(0,14),(0,15),-0.0376688 # DEPENDENCYPART_SIBL
(0,14),(0,18),-0.129623 # DEPENDENCYPART_SIBL
(0,14),(0,19),-0.0721217 # DEPENDENCYPART_SIBL
(0,14),(0,20),-0.0303271 # DEPENDENCYPART_SIBL
(0,14),(0,21),-0.135577 # DEPENDENCYPART_SIBL
(0,15),(0,18),-0.118212 # DEPENDENCYPART_SIBL
(0,15),(0,19),-0.0677957 # DEPENDENCYPART_SIBL
(0,15),(0,20),-0.0251651 # DEPENDENCYPART_SIBL
(0,15),(0,21),-0.132282 # DEPENDENCYPART_SIBL
(0,18),(0,19),-0.00536465 # DEPENDENCYPART_SIBL
(0,18),(0,20),-0.0300284 # DEPENDENCYPART_SIBL
(0,18),(0,21),-0.070267 # DEPENDENCYPART_SIBL
(0,19),(0,20),0.0208096 # DEPENDENCYPART_SIBL
(0,19),(0,21),-0.0730602 # DEPENDENCYPART_SIBL
(0,20),(0,21),-0.0891196 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0179538 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.028735 # DEPENDENCYPART_SIBL
(1,2),(1,5),0.00468974 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.0135776 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.00786448 # DEPENDENCYPART_SIBL
(1,2),(1,11),-0.0239236 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.0488208 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.00881095 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.0438367 # DEPENDENCYPART_SIBL
(1,3),(1,9),-0.0334839 # DEPENDENCYPART_SIBL
(1,3),(1,11),0.0491684 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.0994794 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.0950738 # DEPENDENCYPART_SIBL
(1,4),(1,9),-0.0644396 # DEPENDENCYPART_SIBL
(1,4),(1,11),-0.0803894 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.022079 # DEPENDENCYPART_SIBL
(1,5),(1,9),-0.0487964 # DEPENDENCYPART_SIBL
(1,5),(1,11),-0.00432842 # DEPENDENCYPART_SIBL
(1,6),(1,9),-0.00257526 # DEPENDENCYPART_SIBL
(1,6),(1,11),-0.0186344 # DEPENDENCYPART_SIBL
(1,9),(1,11),0.0156572 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0201309 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.0100163 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0328958 # DEPENDENCYPART_SIBL
(2,1),(2,15),0.0257208 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0765788 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.0276321 # DEPENDENCYPART_SIBL
(2,3),(2,15),0.0277893 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0796571 # DEPENDENCYPART_SIBL
(2,4),(2,15),-0.0794998 # DEPENDENCYPART_SIBL
(2,5),(2,15),-0.0583099 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.0133061 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.00226915 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.0149613 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.000283503 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.00798264 # DEPENDENCYPART_SIBL
(3,1),(3,10),-0.000283503 # DEPENDENCYPART_SIBL
(3,1),(3,11),0.100486 # DEPENDENCYPART_SIBL
(3,1),(3,13),0.00260835 # DEPENDENCYPART_SIBL
(3,1),(3,18),-0.00878634 # DEPENDENCYPART_SIBL
(3,1),(3,19),0.0955786 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0110971 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.00280299 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.00895871 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.0194189 # DEPENDENCYPART_SIBL
(3,2),(3,10),-0.00893961 # DEPENDENCYPART_SIBL
(3,2),(3,11),-0.00581603 # DEPENDENCYPART_SIBL
(3,2),(3,13),-0.0214979 # DEPENDENCYPART_SIBL
(3,2),(3,18),-0.0123736 # DEPENDENCYPART_SIBL
(3,2),(3,19),-0.0211773 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0965789 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0397683 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.0958243 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.0397683 # DEPENDENCYPART_SIBL
(3,4),(3,11),-0.0812401 # DEPENDENCYPART_SIBL
(3,4),(3,13),-0.047636 # DEPENDENCYPART_SIBL
(3,4),(3,18),-0.0493287 # DEPENDENCYPART_SIBL
(3,4),(3,19),-0.0982156 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.00495836 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.00708858 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.00495806 # DEPENDENCYPART_SIBL
(3,6),(3,11),-0.0186664 # DEPENDENCYPART_SIBL
(3,6),(3,13),-0.00182891 # DEPENDENCYPART_SIBL
(3,6),(3,18),-0.0113704 # DEPENDENCYPART_SIBL
(3,6),(3,19),-0.0339142 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.038049 # DEPENDENCYPART_SIBL
(3,7),(3,10),-0.0222821 # DEPENDENCYPART_SIBL
(3,7),(3,11),0.0498879 # DEPENDENCYPART_SIBL
(3,7),(3,13),-0.0410221 # DEPENDENCYPART_SIBL
(3,7),(3,18),-0.0261767 # DEPENDENCYPART_SIBL
(3,7),(3,19),0.00117753 # DEPENDENCYPART_SIBL
(3,8),(3,10),-0.0157054 # DEPENDENCYPART_SIBL
(3,8),(3,11),-0.0240493 # DEPENDENCYPART_SIBL
(3,8),(3,13),-0.0178617 # DEPENDENCYPART_SIBL
(3,8),(3,18),-0.0221178 # DEPENDENCYPART_SIBL
(3,8),(3,19),-0.0392971 # DEPENDENCYPART_SIBL
(3,10),(3,11),0.0499974 # DEPENDENCYPART_SIBL
(3,10),(3,13),-0.0410221 # DEPENDENCYPART_SIBL
(3,10),(3,18),-0.0261767 # DEPENDENCYPART_SIBL
(3,10),(3,19),0.00128707 # DEPENDENCYPART_SIBL
(3,11),(3,13),-0.0587614 # DEPENDENCYPART_SIBL
(3,11),(3,18),0.0305692 # DEPENDENCYPART_SIBL
(3,11),(3,19),-0.177486 # DEPENDENCYPART_SIBL
(3,13),(3,18),-0.0358374 # DEPENDENCYPART_SIBL
(3,13),(3,19),-0.0351377 # DEPENDENCYPART_SIBL
(3,18),(3,19),0.00124193 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.0129516 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.0196976 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.0779408 # DEPENDENCYPART_SIBL
(4,1),(4,18),0.368134 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.04153 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.0396729 # DEPENDENCYPART_SIBL
(4,2),(4,18),0.153473 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.0786799 # DEPENDENCYPART_SIBL
(4,3),(4,18),0.370208 # DEPENDENCYPART_SIBL
(4,5),(4,18),-0.0419641 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.0172043 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.0540339 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.0116516 # DEPENDENCYPART_SIBL
(6,1),(6,2),0.0264459 # DEPENDENCYPART_SIBL
(6,1),(6,3),-0.044639 # DEPENDENCYPART_SIBL
(6,1),(6,4),-0.0138392 # DEPENDENCYPART_SIBL
(6,1),(6,5),0.0685168 # DEPENDENCYPART_SIBL
