# _root_ ildo horretan , ppk eta pse-eek ere " joko bikoitza " egiten dutela esan du , eta euren testua ehren babesa lortzeko aldatzea leporatu die .
#goldHeads=14,1,2,5,12,5,0,7,12,9,10,14,12,17,14,15,0,19,23,21,22,23,24,17,24,25,
#predictedHeads=14,1,2,5,12,5,0,7,12,9,10,14,12,17,14,15,0,19,24,21,22,23,24,17,24,25,
(12,18),-1.31392 # DEPENDENCYPART_ARC
(12,19),-1.28653 # DEPENDENCYPART_ARC
(12,20),-1.72318 # DEPENDENCYPART_ARC
(12,21),-1.3486 # DEPENDENCYPART_ARC
(12,22),-0.793821 # DEPENDENCYPART_ARC
(12,23),-1.1087 # DEPENDENCYPART_ARC
(12,24),-1.83152 # DEPENDENCYPART_ARC
(12,25),-2.68668 # DEPENDENCYPART_ARC
(13,14),-0.97552 # DEPENDENCYPART_ARC
(13,15),-0.956547 # DEPENDENCYPART_ARC
(14,1),0.13961 # DEPENDENCYPART_ARC
(14,2),-0.989522 # DEPENDENCYPART_ARC
(14,3),-0.930383 # DEPENDENCYPART_ARC
(14,4),0.0227729 # DEPENDENCYPART_ARC
(14,5),-0.318737 # DEPENDENCYPART_ARC
(14,6),-0.140676 # DEPENDENCYPART_ARC
(14,7),-0.65565 # DEPENDENCYPART_ARC
(14,9),-0.445986 # DEPENDENCYPART_ARC
(14,10),-1.06341 # DEPENDENCYPART_ARC
(14,12),0.331266 # DEPENDENCYPART_ARC
(14,13),-0.0590815 # DEPENDENCYPART_ARC
(14,15),1.01475 # DEPENDENCYPART_ARC
(14,16),-0.442075 # DEPENDENCYPART_ARC
(14,17),-0.45573 # DEPENDENCYPART_ARC
(14,18),-0.914034 # DEPENDENCYPART_ARC
(14,19),-0.56367 # DEPENDENCYPART_ARC
(14,20),-0.978985 # DEPENDENCYPART_ARC
(14,21),-0.870446 # DEPENDENCYPART_ARC
(14,22),-0.17174 # DEPENDENCYPART_ARC
(14,23),-0.677775 # DEPENDENCYPART_ARC
(14,24),-1.11634 # DEPENDENCYPART_ARC
(14,25),-1.971 # DEPENDENCYPART_ARC
(15,16),1.30068 # DEPENDENCYPART_ARC
(15,20),-1.6336 # DEPENDENCYPART_ARC
(15,24),-1.37412 # DEPENDENCYPART_ARC
(16,12),-0.997549 # DEPENDENCYPART_ARC
(16,13),-1.14745 # DEPENDENCYPART_ARC
(16,15),-0.499597 # DEPENDENCYPART_ARC
(16,17),-0.284005 # DEPENDENCYPART_ARC
(16,24),-1.2148 # DEPENDENCYPART_ARC
(17,1),-0.642088 # DEPENDENCYPART_ARC
(17,4),-1.09694 # DEPENDENCYPART_ARC
(17,5),-0.510942 # DEPENDENCYPART_ARC
(17,6),-0.989477 # DEPENDENCYPART_ARC
(17,9),-0.689454 # DEPENDENCYPART_ARC
(17,12),0.0346827 # DEPENDENCYPART_ARC
(17,13),-0.936267 # DEPENDENCYPART_ARC
(17,14),0.707619 # DEPENDENCYPART_ARC
(17,15),-0.77519 # DEPENDENCYPART_ARC
(17,16),-0.357588 # DEPENDENCYPART_ARC
(17,18),-0.463987 # DEPENDENCYPART_ARC
(17,19),-0.317631 # DEPENDENCYPART_ARC
(17,20),-0.710871 # DEPENDENCYPART_ARC
(17,21),-0.59378 # DEPENDENCYPART_ARC
(17,22),0.505012 # DEPENDENCYPART_ARC
(17,23),0.361991 # DEPENDENCYPART_ARC
(17,24),0.14738 # DEPENDENCYPART_ARC
(18,19),-0.840737 # DEPENDENCYPART_ARC
(18,22),-1.51737 # DEPENDENCYPART_ARC
(19,5),-0.728456 # DEPENDENCYPART_ARC
(19,10),-2.31562 # DEPENDENCYPART_ARC
(19,14),-1.00228 # DEPENDENCYPART_ARC
(19,16),-1.13816 # DEPENDENCYPART_ARC
(19,17),-0.518795 # DEPENDENCYPART_ARC
(19,18),1.83025 # DEPENDENCYPART_ARC
(19,20),-0.197936 # DEPENDENCYPART_ARC
(19,21),-1.15666 # DEPENDENCYPART_ARC
(19,25),-1.49502 # DEPENDENCYPART_ARC
(20,19),-2.64123 # DEPENDENCYPART_ARC
(20,21),-0.959768 # DEPENDENCYPART_ARC
(20,22),-1.54396 # DEPENDENCYPART_ARC
(21,5),-0.576135 # DEPENDENCYPART_ARC
(21,10),-2.36193 # DEPENDENCYPART_ARC
(21,16),-1.53861 # DEPENDENCYPART_ARC
(21,17),-0.810261 # DEPENDENCYPART_ARC
(21,18),0.396478 # DEPENDENCYPART_ARC
(21,19),-1.72189 # DEPENDENCYPART_ARC
(21,20),1.12741 # DEPENDENCYPART_ARC
(21,22),-0.147301 # DEPENDENCYPART_ARC
(21,23),-1.40999 # DEPENDENCYPART_ARC
(21,25),-1.16057 # DEPENDENCYPART_ARC
(21,26),-1.34501 # DEPENDENCYPART_ARC
(22,1),-0.748128 # DEPENDENCYPART_ARC
(22,4),-1.67839 # DEPENDENCYPART_ARC
(22,5),-0.14038 # DEPENDENCYPART_ARC
(22,6),-1.89455 # DEPENDENCYPART_ARC
(22,7),-0.773261 # DEPENDENCYPART_ARC
(22,9),-0.924173 # DEPENDENCYPART_ARC
(22,10),-2.02053 # DEPENDENCYPART_ARC
(22,12),-0.934905 # DEPENDENCYPART_ARC
(22,13),-2.2626 # DEPENDENCYPART_ARC
(22,14),-0.967367 # DEPENDENCYPART_ARC
(22,15),-1.92183 # DEPENDENCYPART_ARC
(22,16),-1.56104 # DEPENDENCYPART_ARC
(22,17),-0.314347 # DEPENDENCYPART_ARC
(22,18),-1.13814 # DEPENDENCYPART_ARC
(22,19),0.501579 # DEPENDENCYPART_ARC
(22,20),0.350006 # DEPENDENCYPART_ARC
(22,21),1.86454 # DEPENDENCYPART_ARC
(22,23),-0.350395 # DEPENDENCYPART_ARC
(22,24),-1.98941 # DEPENDENCYPART_ARC
(22,25),-3.86657 # DEPENDENCYPART_ARC
(23,1),-0.484092 # DEPENDENCYPART_ARC
(23,4),-1.61833 # DEPENDENCYPART_ARC
(23,5),-0.566335 # DEPENDENCYPART_ARC
(23,6),-1.83336 # DEPENDENCYPART_ARC
(23,9),-0.992438 # DEPENDENCYPART_ARC
(23,10),-1.33152 # DEPENDENCYPART_ARC
(23,12),-0.996216 # DEPENDENCYPART_ARC
(23,13),-1.70057 # DEPENDENCYPART_ARC
(23,14),-0.886127 # DEPENDENCYPART_ARC
(23,15),-1.60357 # DEPENDENCYPART_ARC
(23,16),-1.51449 # DEPENDENCYPART_ARC
(23,17),-0.494658 # DEPENDENCYPART_ARC
(23,18),-0.907646 # DEPENDENCYPART_ARC
(23,19),0.609383 # DEPENDENCYPART_ARC
(23,20),0.0866576 # DEPENDENCYPART_ARC
(23,21),0.997934 # DEPENDENCYPART_ARC
(23,22),1.75182 # DEPENDENCYPART_ARC
(23,24),-0.625087 # DEPENDENCYPART_ARC
(23,25),-2.69988 # DEPENDENCYPART_ARC
(24,1),-0.374159 # DEPENDENCYPART_ARC
(24,5),-0.287366 # DEPENDENCYPART_ARC
(24,6),-0.884735 # DEPENDENCYPART_ARC
(24,9),-1.30809 # DEPENDENCYPART_ARC
(24,10),-1.40644 # DEPENDENCYPART_ARC
(24,12),-0.926736 # DEPENDENCYPART_ARC
(24,13),-1.27898 # DEPENDENCYPART_ARC
(24,14),-0.480642 # DEPENDENCYPART_ARC
(24,15),-0.947258 # DEPENDENCYPART_ARC
(24,16),-1.43678 # DEPENDENCYPART_ARC
(24,17),-0.285652 # DEPENDENCYPART_ARC
(24,18),-1.03027 # DEPENDENCYPART_ARC
(24,19),0.259807 # DEPENDENCYPART_ARC
(24,20),0.362302 # DEPENDENCYPART_ARC
(24,21),-0.00987933 # DEPENDENCYPART_ARC
(24,22),0.787997 # DEPENDENCYPART_ARC
(24,23),1.32284 # DEPENDENCYPART_ARC
(24,25),0.789231 # DEPENDENCYPART_ARC
(24,26),-0.420182 # DEPENDENCYPART_ARC
(25,23),-1.06783 # DEPENDENCYPART_ARC
(25,26),1.58922 # DEPENDENCYPART_ARC
(0,1),(0,2),0.0158291 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.127635 # DEPENDENCYPART_SIBL
(0,1),(0,4),0.0572455 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.0702973 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.0134827 # DEPENDENCYPART_SIBL
(0,1),(0,8),-0.191066 # DEPENDENCYPART_SIBL
(0,1),(0,10),0.0255246 # DEPENDENCYPART_SIBL
(0,1),(0,11),-0.191066 # DEPENDENCYPART_SIBL
(0,1),(0,12),-0.150654 # DEPENDENCYPART_SIBL
(0,1),(0,13),-0.0555344 # DEPENDENCYPART_SIBL
(0,1),(0,14),-0.147764 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.0674286 # DEPENDENCYPART_SIBL
(0,1),(0,16),-0.127635 # DEPENDENCYPART_SIBL
(0,1),(0,17),-0.0702973 # DEPENDENCYPART_SIBL
(0,1),(0,18),0.0055936 # DEPENDENCYPART_SIBL
(0,1),(0,20),0.05752 # DEPENDENCYPART_SIBL
(0,1),(0,22),-0.099217 # DEPENDENCYPART_SIBL
(0,1),(0,23),-0.102648 # DEPENDENCYPART_SIBL
(0,1),(0,24),-0.0986082 # DEPENDENCYPART_SIBL
(0,1),(0,25),-0.0536176 # DEPENDENCYPART_SIBL
(0,1),(0,26),-0.167776 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.126584 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.0118065 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.0610995 # DEPENDENCYPART_SIBL
(0,2),(0,7),-0.00412555 # DEPENDENCYPART_SIBL
(0,2),(0,8),-0.150703 # DEPENDENCYPART_SIBL
(0,2),(0,10),-0.0422435 # DEPENDENCYPART_SIBL
(0,2),(0,11),-0.150703 # DEPENDENCYPART_SIBL
(0,2),(0,12),-0.162411 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.0557815 # DEPENDENCYPART_SIBL
(0,2),(0,14),-0.122147 # DEPENDENCYPART_SIBL
(0,2),(0,15),-0.0772209 # DEPENDENCYPART_SIBL
(0,2),(0,16),-0.126584 # DEPENDENCYPART_SIBL
(0,2),(0,17),-0.0610995 # DEPENDENCYPART_SIBL
(0,2),(0,18),-0.0143371 # DEPENDENCYPART_SIBL
(0,2),(0,20),-0.0117807 # DEPENDENCYPART_SIBL
(0,2),(0,22),-0.120377 # DEPENDENCYPART_SIBL
(0,2),(0,23),-0.119896 # DEPENDENCYPART_SIBL
(0,2),(0,24),-0.115856 # DEPENDENCYPART_SIBL
(0,2),(0,25),-0.0552294 # DEPENDENCYPART_SIBL
(0,2),(0,26),-0.133606 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.202164 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.226163 # DEPENDENCYPART_SIBL
(0,3),(0,7),-0.070263 # DEPENDENCYPART_SIBL
(0,3),(0,8),-0.370046 # DEPENDENCYPART_SIBL
(0,3),(0,10),-0.133303 # DEPENDENCYPART_SIBL
(0,3),(0,11),-0.370046 # DEPENDENCYPART_SIBL
(0,3),(0,12),-0.3587 # DEPENDENCYPART_SIBL
(0,3),(0,13),-0.194776 # DEPENDENCYPART_SIBL
(0,3),(0,14),-0.2508 # DEPENDENCYPART_SIBL
(0,3),(0,15),-0.254856 # DEPENDENCYPART_SIBL
(0,3),(0,16),-0.413823 # DEPENDENCYPART_SIBL
(0,3),(0,17),-0.226163 # DEPENDENCYPART_SIBL
(0,3),(0,18),-0.190339 # DEPENDENCYPART_SIBL
(0,3),(0,20),-0.202026 # DEPENDENCYPART_SIBL
(0,3),(0,22),-0.293686 # DEPENDENCYPART_SIBL
(0,3),(0,23),-0.293991 # DEPENDENCYPART_SIBL
(0,3),(0,24),-0.290247 # DEPENDENCYPART_SIBL
(0,3),(0,25),-0.20118 # DEPENDENCYPART_SIBL
(0,3),(0,26),-0.340789 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.087595 # DEPENDENCYPART_SIBL
(0,4),(0,7),-0.0307804 # DEPENDENCYPART_SIBL
(0,4),(0,8),-0.198273 # DEPENDENCYPART_SIBL
(0,4),(0,10),0.018316 # DEPENDENCYPART_SIBL
(0,4),(0,11),-0.198273 # DEPENDENCYPART_SIBL
(0,4),(0,12),-0.162608 # DEPENDENCYPART_SIBL
(0,4),(0,13),-0.0611234 # DEPENDENCYPART_SIBL
(0,4),(0,14),-0.15938 # DEPENDENCYPART_SIBL
(0,4),(0,15),-0.0730177 # DEPENDENCYPART_SIBL
(0,4),(0,16),-0.134841 # DEPENDENCYPART_SIBL
(0,4),(0,17),-0.087595 # DEPENDENCYPART_SIBL
(0,4),(0,18),-0.00161633 # DEPENDENCYPART_SIBL
(0,4),(0,20),0.0450607 # DEPENDENCYPART_SIBL
(0,4),(0,22),-0.111171 # DEPENDENCYPART_SIBL
(0,4),(0,23),-0.114602 # DEPENDENCYPART_SIBL
(0,4),(0,24),-0.110562 # DEPENDENCYPART_SIBL
(0,4),(0,25),-0.0592066 # DEPENDENCYPART_SIBL
(0,4),(0,26),-0.174983 # DEPENDENCYPART_SIBL
(0,5),(0,7),0.0989293 # DEPENDENCYPART_SIBL
(0,5),(0,8),-0.0798852 # DEPENDENCYPART_SIBL
(0,5),(0,10),0.0259329 # DEPENDENCYPART_SIBL
(0,5),(0,11),-0.0798852 # DEPENDENCYPART_SIBL
(0,5),(0,12),-0.105127 # DEPENDENCYPART_SIBL
(0,5),(0,13),-0.00513891 # DEPENDENCYPART_SIBL
(0,5),(0,14),-0.141699 # DEPENDENCYPART_SIBL
(0,5),(0,15),-0.0180094 # DEPENDENCYPART_SIBL
(0,5),(0,16),0.0156699 # DEPENDENCYPART_SIBL
(0,5),(0,17),-0.0395181 # DEPENDENCYPART_SIBL
(0,5),(0,18),0.0737 # DEPENDENCYPART_SIBL
(0,5),(0,20),-0.0223684 # DEPENDENCYPART_SIBL
(0,5),(0,22),-0.0328328 # DEPENDENCYPART_SIBL
(0,5),(0,23),-0.0323555 # DEPENDENCYPART_SIBL
(0,5),(0,24),-0.0381902 # DEPENDENCYPART_SIBL
(0,5),(0,25),-0.00425577 # DEPENDENCYPART_SIBL
(0,5),(0,26),-0.0473547 # DEPENDENCYPART_SIBL
(0,7),(0,8),-0.0487562 # DEPENDENCYPART_SIBL
(0,7),(0,10),0.0667779 # DEPENDENCYPART_SIBL
(0,7),(0,11),-0.0487562 # DEPENDENCYPART_SIBL
(0,7),(0,12),-0.0542398 # DEPENDENCYPART_SIBL
(0,7),(0,13),0.0131014 # DEPENDENCYPART_SIBL
(0,7),(0,14),-0.00607028 # DEPENDENCYPART_SIBL
(0,7),(0,15),0.00103333 # DEPENDENCYPART_SIBL
(0,7),(0,16),0.0365151 # DEPENDENCYPART_SIBL
(0,7),(0,17),-0.0685651 # DEPENDENCYPART_SIBL
(0,7),(0,18),0.0733793 # DEPENDENCYPART_SIBL
(0,7),(0,20),-0.0478457 # DEPENDENCYPART_SIBL
(0,7),(0,22),0.0229364 # DEPENDENCYPART_SIBL
(0,7),(0,23),0.0234302 # DEPENDENCYPART_SIBL
(0,7),(0,24),0.0165803 # DEPENDENCYPART_SIBL
(0,7),(0,25),0.0139122 # DEPENDENCYPART_SIBL
(0,7),(0,26),-0.0225006 # DEPENDENCYPART_SIBL
(0,8),(0,10),-0.0152805 # DEPENDENCYPART_SIBL
(0,8),(0,11),-0.181443 # DEPENDENCYPART_SIBL
(0,8),(0,12),-0.123478 # DEPENDENCYPART_SIBL
(0,8),(0,13),0.0159743 # DEPENDENCYPART_SIBL
(0,8),(0,14),0.0620517 # DEPENDENCYPART_SIBL
(0,8),(0,15),-0.0559298 # DEPENDENCYPART_SIBL
(0,8),(0,16),-0.216774 # DEPENDENCYPART_SIBL
(0,8),(0,17),-0.231979 # DEPENDENCYPART_SIBL
(0,8),(0,18),-0.065625 # DEPENDENCYPART_SIBL
(0,8),(0,20),-0.133324 # DEPENDENCYPART_SIBL
(0,8),(0,22),-0.0449036 # DEPENDENCYPART_SIBL
(0,8),(0,23),-0.0448444 # DEPENDENCYPART_SIBL
(0,8),(0,24),-0.0421392 # DEPENDENCYPART_SIBL
(0,8),(0,25),-0.000517223 # DEPENDENCYPART_SIBL
(0,8),(0,26),-0.161528 # DEPENDENCYPART_SIBL
(0,10),(0,11),-0.0966864 # DEPENDENCYPART_SIBL
(0,10),(0,12),-0.141911 # DEPENDENCYPART_SIBL
(0,10),(0,13),-0.0327877 # DEPENDENCYPART_SIBL
(0,10),(0,14),-0.132636 # DEPENDENCYPART_SIBL
(0,10),(0,15),-0.0533296 # DEPENDENCYPART_SIBL
(0,10),(0,16),-0.072892 # DEPENDENCYPART_SIBL
(0,10),(0,17),-0.0649171 # DEPENDENCYPART_SIBL
(0,10),(0,18),0.00478273 # DEPENDENCYPART_SIBL
(0,10),(0,20),-0.005713 # DEPENDENCYPART_SIBL
(0,10),(0,22),-0.0988448 # DEPENDENCYPART_SIBL
(0,10),(0,23),-0.0984018 # DEPENDENCYPART_SIBL
(0,10),(0,24),-0.0943615 # DEPENDENCYPART_SIBL
(0,10),(0,25),-0.032162 # DEPENDENCYPART_SIBL
(0,10),(0,26),-0.0798058 # DEPENDENCYPART_SIBL
(0,11),(0,12),-0.123478 # DEPENDENCYPART_SIBL
(0,11),(0,13),0.0159743 # DEPENDENCYPART_SIBL
(0,11),(0,14),0.0620517 # DEPENDENCYPART_SIBL
(0,11),(0,15),-0.0559298 # DEPENDENCYPART_SIBL
(0,11),(0,16),-0.216774 # DEPENDENCYPART_SIBL
(0,11),(0,17),-0.231979 # DEPENDENCYPART_SIBL
(0,11),(0,18),-0.065625 # DEPENDENCYPART_SIBL
(0,11),(0,20),-0.133324 # DEPENDENCYPART_SIBL
(0,11),(0,22),-0.0449036 # DEPENDENCYPART_SIBL
(0,11),(0,23),-0.0448444 # DEPENDENCYPART_SIBL
(0,11),(0,24),-0.0421392 # DEPENDENCYPART_SIBL
(0,11),(0,25),-0.000517223 # DEPENDENCYPART_SIBL
(0,11),(0,26),-0.161528 # DEPENDENCYPART_SIBL
(0,12),(0,13),0.0195242 # DEPENDENCYPART_SIBL
(0,12),(0,14),-0.245803 # DEPENDENCYPART_SIBL
(0,12),(0,15),0.014481 # DEPENDENCYPART_SIBL
(0,12),(0,16),-0.0774389 # DEPENDENCYPART_SIBL
(0,12),(0,17),-0.175524 # DEPENDENCYPART_SIBL
(0,12),(0,18),-0.0319923 # DEPENDENCYPART_SIBL
(0,12),(0,20),-0.0272907 # DEPENDENCYPART_SIBL
(0,12),(0,22),-0.147603 # DEPENDENCYPART_SIBL
(0,12),(0,23),-0.146959 # DEPENDENCYPART_SIBL
(0,12),(0,24),-0.144488 # DEPENDENCYPART_SIBL
(0,12),(0,25),0.0195184 # DEPENDENCYPART_SIBL
(0,12),(0,26),-0.0969816 # DEPENDENCYPART_SIBL
(0,13),(0,14),-0.0499864 # DEPENDENCYPART_SIBL
(0,13),(0,15),-0.119027 # DEPENDENCYPART_SIBL
(0,13),(0,16),-0.0716722 # DEPENDENCYPART_SIBL
(0,13),(0,17),-0.0468811 # DEPENDENCYPART_SIBL
(0,13),(0,18),0.0148209 # DEPENDENCYPART_SIBL
(0,13),(0,20),0.00289835 # DEPENDENCYPART_SIBL
(0,13),(0,22),-0.0223202 # DEPENDENCYPART_SIBL
(0,13),(0,23),-0.0144989 # DEPENDENCYPART_SIBL
(0,13),(0,24),-0.0111151 # DEPENDENCYPART_SIBL
(0,13),(0,25),-0.0936284 # DEPENDENCYPART_SIBL
(0,13),(0,26),-0.0803077 # DEPENDENCYPART_SIBL
(0,14),(0,15),-0.0431661 # DEPENDENCYPART_SIBL
(0,14),(0,16),-0.0717055 # DEPENDENCYPART_SIBL
(0,14),(0,17),-0.162379 # DEPENDENCYPART_SIBL
(0,14),(0,18),-0.0450223 # DEPENDENCYPART_SIBL
(0,14),(0,20),-0.0539013 # DEPENDENCYPART_SIBL
(0,14),(0,22),-0.179857 # DEPENDENCYPART_SIBL
(0,14),(0,23),-0.179213 # DEPENDENCYPART_SIBL
(0,14),(0,24),-0.176742 # DEPENDENCYPART_SIBL
(0,14),(0,25),-0.028018 # DEPENDENCYPART_SIBL
(0,14),(0,26),-0.0942395 # DEPENDENCYPART_SIBL
(0,15),(0,16),-0.0521989 # DEPENDENCYPART_SIBL
(0,15),(0,17),0.0005745 # DEPENDENCYPART_SIBL
(0,15),(0,18),0.0214055 # DEPENDENCYPART_SIBL
(0,15),(0,20),0.0135633 # DEPENDENCYPART_SIBL
(0,15),(0,22),-0.00167085 # DEPENDENCYPART_SIBL
(0,15),(0,23),0.00615054 # DEPENDENCYPART_SIBL
(0,15),(0,24),0.00953427 # DEPENDENCYPART_SIBL
(0,15),(0,25),-0.0857473 # DEPENDENCYPART_SIBL
(0,15),(0,26),-0.0585579 # DEPENDENCYPART_SIBL
(0,16),(0,17),-0.226163 # DEPENDENCYPART_SIBL
(0,16),(0,18),-0.190339 # DEPENDENCYPART_SIBL
(0,16),(0,20),-0.202026 # DEPENDENCYPART_SIBL
(0,16),(0,22),-0.293686 # DEPENDENCYPART_SIBL
(0,16),(0,23),-0.293991 # DEPENDENCYPART_SIBL
(0,16),(0,24),-0.290247 # DEPENDENCYPART_SIBL
(0,16),(0,25),-0.20118 # DEPENDENCYPART_SIBL
(0,16),(0,26),-0.340789 # DEPENDENCYPART_SIBL
(0,17),(0,18),0.0737 # DEPENDENCYPART_SIBL
(0,17),(0,20),-0.0223684 # DEPENDENCYPART_SIBL
(0,17),(0,22),-0.0328328 # DEPENDENCYPART_SIBL
(0,17),(0,23),-0.0323555 # DEPENDENCYPART_SIBL
(0,17),(0,24),-0.0381902 # DEPENDENCYPART_SIBL
(0,17),(0,25),-0.00425577 # DEPENDENCYPART_SIBL
(0,17),(0,26),-0.0473547 # DEPENDENCYPART_SIBL
(0,18),(0,20),0.0590191 # DEPENDENCYPART_SIBL
(0,18),(0,22),-0.00595415 # DEPENDENCYPART_SIBL
(0,18),(0,23),-0.00551107 # DEPENDENCYPART_SIBL
(0,18),(0,24),-0.00147078 # DEPENDENCYPART_SIBL
(0,18),(0,25),0.0122079 # DEPENDENCYPART_SIBL
(0,18),(0,26),0.0230466 # DEPENDENCYPART_SIBL
(0,20),(0,22),-0.108854 # DEPENDENCYPART_SIBL
(0,20),(0,23),-0.112285 # DEPENDENCYPART_SIBL
(0,20),(0,24),-0.108245 # DEPENDENCYPART_SIBL
(0,20),(0,25),-0.0592001 # DEPENDENCYPART_SIBL
(0,20),(0,26),-0.174982 # DEPENDENCYPART_SIBL
(0,22),(0,23),-0.117638 # DEPENDENCYPART_SIBL
(0,22),(0,24),-0.115166 # DEPENDENCYPART_SIBL
(0,22),(0,25),0.00459699 # DEPENDENCYPART_SIBL
(0,22),(0,26),-0.0693693 # DEPENDENCYPART_SIBL
(0,23),(0,24),-0.114699 # DEPENDENCYPART_SIBL
