# _root_ eh abstenitu egin zen , eta beste idazki bat aurkeztu zuen , " politikoa den arazoak behingoz irtenbide politikoa " behar_duela argudiatuz .
#goldHeads=2,6,2,2,4,0,8,10,8,6,10,10,11,15,16,21,21,21,18,18,22,10,22,
#predictedHeads=2,6,2,2,4,0,8,10,8,6,10,11,12,16,14,21,21,21,18,19,22,10,22,
(4,1),-0.891727 # DEPENDENCYPART_ARC
(4,2),-1.25006 # DEPENDENCYPART_ARC
(4,3),-0.950659 # DEPENDENCYPART_ARC
(4,5),1.29257 # DEPENDENCYPART_ARC
(4,6),-0.831202 # DEPENDENCYPART_ARC
(4,11),-0.816105 # DEPENDENCYPART_ARC
(5,2),-0.974888 # DEPENDENCYPART_ARC
(5,3),-0.8804 # DEPENDENCYPART_ARC
(5,4),-0.58244 # DEPENDENCYPART_ARC
(5,6),-0.258033 # DEPENDENCYPART_ARC
(5,7),-1.16447 # DEPENDENCYPART_ARC
(5,10),-1.02009 # DEPENDENCYPART_ARC
(5,21),-1.31441 # DEPENDENCYPART_ARC
(6,1),-0.525814 # DEPENDENCYPART_ARC
(6,2),0.247352 # DEPENDENCYPART_ARC
(6,3),0.605896 # DEPENDENCYPART_ARC
(6,4),-0.665479 # DEPENDENCYPART_ARC
(6,5),-0.336234 # DEPENDENCYPART_ARC
(6,7),-0.349571 # DEPENDENCYPART_ARC
(6,8),-0.608111 # DEPENDENCYPART_ARC
(6,9),-1.04207 # DEPENDENCYPART_ARC
(6,10),0.101726 # DEPENDENCYPART_ARC
(6,12),-0.683893 # DEPENDENCYPART_ARC
(6,16),-0.981833 # DEPENDENCYPART_ARC
(6,18),-1.67201 # DEPENDENCYPART_ARC
(6,21),-0.835245 # DEPENDENCYPART_ARC
(6,22),-0.96025 # DEPENDENCYPART_ARC
(7,6),-0.717694 # DEPENDENCYPART_ARC
(7,8),-0.353216 # DEPENDENCYPART_ARC
(7,9),-0.703963 # DEPENDENCYPART_ARC
(8,1),-0.976318 # DEPENDENCYPART_ARC
(8,2),-0.724894 # DEPENDENCYPART_ARC
(8,3),-0.755924 # DEPENDENCYPART_ARC
(8,5),-0.95061 # DEPENDENCYPART_ARC
(8,6),-0.277759 # DEPENDENCYPART_ARC
(8,7),1.21472 # DEPENDENCYPART_ARC
(8,9),1.97498 # DEPENDENCYPART_ARC
(8,11),-0.917675 # DEPENDENCYPART_ARC
(8,14),-0.379183 # DEPENDENCYPART_ARC
(8,21),-0.43075 # DEPENDENCYPART_ARC
(8,22),-0.295527 # DEPENDENCYPART_ARC
(9,8),-0.454806 # DEPENDENCYPART_ARC
(10,1),-0.006067 # DEPENDENCYPART_ARC
(10,2),-0.56148 # DEPENDENCYPART_ARC
(10,3),-0.342354 # DEPENDENCYPART_ARC
(10,4),-0.748997 # DEPENDENCYPART_ARC
(10,5),-1.23961 # DEPENDENCYPART_ARC
(10,6),-0.191526 # DEPENDENCYPART_ARC
(10,7),-0.385789 # DEPENDENCYPART_ARC
(10,8),0.887651 # DEPENDENCYPART_ARC
(10,9),0.187107 # DEPENDENCYPART_ARC
(10,11),1.48653 # DEPENDENCYPART_ARC
(10,12),-0.235536 # DEPENDENCYPART_ARC
(10,14),-0.698 # DEPENDENCYPART_ARC
(10,15),0.180071 # DEPENDENCYPART_ARC
(10,16),-0.462767 # DEPENDENCYPART_ARC
(10,17),-0.671866 # DEPENDENCYPART_ARC
(10,18),-1.1 # DEPENDENCYPART_ARC
(10,19),-0.957459 # DEPENDENCYPART_ARC
(10,21),-0.242062 # DEPENDENCYPART_ARC
(10,22),0.0924128 # DEPENDENCYPART_ARC
(11,8),-0.773141 # DEPENDENCYPART_ARC
(11,9),-0.906115 # DEPENDENCYPART_ARC
(11,12),1.07101 # DEPENDENCYPART_ARC
(11,15),-0.693745 # DEPENDENCYPART_ARC
(11,17),-0.965797 # DEPENDENCYPART_ARC
(12,10),-0.709517 # DEPENDENCYPART_ARC
(12,11),-0.452127 # DEPENDENCYPART_ARC
(12,13),1.05614 # DEPENDENCYPART_ARC
(12,14),-0.702452 # DEPENDENCYPART_ARC
(12,16),-0.746447 # DEPENDENCYPART_ARC
(12,21),-0.830082 # DEPENDENCYPART_ARC
(12,22),-0.759132 # DEPENDENCYPART_ARC
(13,14),-0.294841 # DEPENDENCYPART_ARC
(13,15),-0.733335 # DEPENDENCYPART_ARC
(13,22),-1.1322 # DEPENDENCYPART_ARC
(14,8),-1.39811 # DEPENDENCYPART_ARC
(14,13),-0.40976 # DEPENDENCYPART_ARC
(14,15),-0.501152 # DEPENDENCYPART_ARC
(14,16),-1.46225 # DEPENDENCYPART_ARC
(14,18),-1.45334 # DEPENDENCYPART_ARC
(14,22),-1.88515 # DEPENDENCYPART_ARC
(15,14),0.0281315 # DEPENDENCYPART_ARC
(15,16),-0.0308695 # DEPENDENCYPART_ARC
(15,17),-0.648485 # DEPENDENCYPART_ARC
(16,3),-1.15429 # DEPENDENCYPART_ARC
(16,6),-0.63347 # DEPENDENCYPART_ARC
(16,9),-2.80229 # DEPENDENCYPART_ARC
(16,10),-0.967296 # DEPENDENCYPART_ARC
(16,12),-1.23764 # DEPENDENCYPART_ARC
(16,14),-0.971999 # DEPENDENCYPART_ARC
(16,15),-0.753992 # DEPENDENCYPART_ARC
(16,17),-0.271137 # DEPENDENCYPART_ARC
(16,18),-1.4852 # DEPENDENCYPART_ARC
(16,19),-1.98959 # DEPENDENCYPART_ARC
(16,21),-2.10411 # DEPENDENCYPART_ARC
(16,23),-1.61776 # DEPENDENCYPART_ARC
(17,16),-0.41398 # DEPENDENCYPART_ARC
(17,18),-0.258693 # DEPENDENCYPART_ARC
(18,10),-1.22154 # DEPENDENCYPART_ARC
(18,12),-1.51851 # DEPENDENCYPART_ARC
(18,14),-1.65056 # DEPENDENCYPART_ARC
(18,16),-0.860296 # DEPENDENCYPART_ARC
(18,17),-0.0893462 # DEPENDENCYPART_ARC
(18,19),1.88589 # DEPENDENCYPART_ARC
(18,21),-0.395725 # DEPENDENCYPART_ARC
(18,23),-1.05202 # DEPENDENCYPART_ARC
(19,16),-1.55118 # DEPENDENCYPART_ARC
(19,17),-0.400547 # DEPENDENCYPART_ARC
(19,18),-0.646524 # DEPENDENCYPART_ARC
(19,20),1.02034 # DEPENDENCYPART_ARC
(21,8),-0.971408 # DEPENDENCYPART_ARC
(21,9),-1.70823 # DEPENDENCYPART_ARC
(21,10),-0.671488 # DEPENDENCYPART_ARC
(21,11),-1.72672 # DEPENDENCYPART_ARC
(21,14),-2.26543 # DEPENDENCYPART_ARC
(21,15),-0.475057 # DEPENDENCYPART_ARC
(21,16),0.285328 # DEPENDENCYPART_ARC
(21,17),-0.0330533 # DEPENDENCYPART_ARC
(21,18),-0.073385 # DEPENDENCYPART_ARC
(21,19),-1.6193 # DEPENDENCYPART_ARC
(21,22),1.43442 # DEPENDENCYPART_ARC
(22,2),-1.1519 # DEPENDENCYPART_ARC
(22,3),-1.59887 # DEPENDENCYPART_ARC
(22,6),-0.97966 # DEPENDENCYPART_ARC
(22,7),-1.29053 # DEPENDENCYPART_ARC
(22,8),-1.22372 # DEPENDENCYPART_ARC
(22,10),-1.14139 # DEPENDENCYPART_ARC
(22,11),-2.01677 # DEPENDENCYPART_ARC
(22,12),-1.38756 # DEPENDENCYPART_ARC
(22,14),-1.50137 # DEPENDENCYPART_ARC
(22,15),-1.31721 # DEPENDENCYPART_ARC
(22,16),0.106621 # DEPENDENCYPART_ARC
(22,17),-0.480062 # DEPENDENCYPART_ARC
(22,18),-0.454215 # DEPENDENCYPART_ARC
(22,19),-1.17881 # DEPENDENCYPART_ARC
(22,21),0.76639 # DEPENDENCYPART_ARC
(22,23),1.62845 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.0971848 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.136026 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.0760514 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.12783 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.0805841 # DEPENDENCYPART_SIBL
(0,1),(0,7),0.00648674 # DEPENDENCYPART_SIBL
(0,1),(0,9),0.00595936 # DEPENDENCYPART_SIBL
(0,1),(0,10),-0.082345 # DEPENDENCYPART_SIBL
(0,1),(0,11),-0.0738874 # DEPENDENCYPART_SIBL
(0,1),(0,12),-0.12783 # DEPENDENCYPART_SIBL
(0,1),(0,13),-0.191262 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.0603592 # DEPENDENCYPART_SIBL
(0,1),(0,17),0.0334299 # DEPENDENCYPART_SIBL
(0,1),(0,19),0.0166621 # DEPENDENCYPART_SIBL
(0,1),(0,20),-0.191262 # DEPENDENCYPART_SIBL
(0,1),(0,21),-0.0972924 # DEPENDENCYPART_SIBL
(0,1),(0,22),-0.0971848 # DEPENDENCYPART_SIBL
(0,1),(0,23),-0.167972 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.133654 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.00411435 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.0464622 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.126699 # DEPENDENCYPART_SIBL
(0,2),(0,7),0.00611805 # DEPENDENCYPART_SIBL
(0,2),(0,9),0.00756054 # DEPENDENCYPART_SIBL
(0,2),(0,10),-0.0944593 # DEPENDENCYPART_SIBL
(0,2),(0,11),0.000497043 # DEPENDENCYPART_SIBL
(0,2),(0,12),-0.0464622 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.0808903 # DEPENDENCYPART_SIBL
(0,2),(0,15),-0.00815195 # DEPENDENCYPART_SIBL
(0,2),(0,17),-0.0290655 # DEPENDENCYPART_SIBL
(0,2),(0,19),-0.00358419 # DEPENDENCYPART_SIBL
(0,2),(0,20),-0.0808903 # DEPENDENCYPART_SIBL
(0,2),(0,21),-0.121027 # DEPENDENCYPART_SIBL
(0,2),(0,22),-0.117133 # DEPENDENCYPART_SIBL
(0,2),(0,23),-0.0693041 # DEPENDENCYPART_SIBL
(0,3),(0,4),0.00542738 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.0987916 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.200006 # DEPENDENCYPART_SIBL
(0,3),(0,7),-0.0510952 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.0510903 # DEPENDENCYPART_SIBL
(0,3),(0,10),-0.174125 # DEPENDENCYPART_SIBL
(0,3),(0,11),0.0117185 # DEPENDENCYPART_SIBL
(0,3),(0,12),-0.0987916 # DEPENDENCYPART_SIBL
(0,3),(0,13),-0.13441 # DEPENDENCYPART_SIBL
(0,3),(0,15),-0.00612537 # DEPENDENCYPART_SIBL
(0,3),(0,17),-0.0833693 # DEPENDENCYPART_SIBL
(0,3),(0,19),-0.0573635 # DEPENDENCYPART_SIBL
(0,3),(0,20),-0.13441 # DEPENDENCYPART_SIBL
(0,3),(0,21),-0.204403 # DEPENDENCYPART_SIBL
(0,3),(0,22),-0.196799 # DEPENDENCYPART_SIBL
(0,3),(0,23),-0.122823 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.0397155 # DEPENDENCYPART_SIBL
(0,4),(0,6),-0.0587639 # DEPENDENCYPART_SIBL
(0,4),(0,7),0.029331 # DEPENDENCYPART_SIBL
(0,4),(0,9),0.024938 # DEPENDENCYPART_SIBL
(0,4),(0,10),0.0520333 # DEPENDENCYPART_SIBL
(0,4),(0,11),-0.0933588 # DEPENDENCYPART_SIBL
(0,4),(0,12),-0.0397155 # DEPENDENCYPART_SIBL
(0,4),(0,13),-0.0708188 # DEPENDENCYPART_SIBL
(0,4),(0,15),-0.0886883 # DEPENDENCYPART_SIBL
(0,4),(0,17),0.0484096 # DEPENDENCYPART_SIBL
(0,4),(0,19),0.0236615 # DEPENDENCYPART_SIBL
(0,4),(0,20),-0.0708188 # DEPENDENCYPART_SIBL
(0,4),(0,21),0.029276 # DEPENDENCYPART_SIBL
(0,4),(0,22),0.029449 # DEPENDENCYPART_SIBL
(0,4),(0,23),-0.045241 # DEPENDENCYPART_SIBL
(0,5),(0,6),-0.226163 # DEPENDENCYPART_SIBL
(0,5),(0,7),-0.18141 # DEPENDENCYPART_SIBL
(0,5),(0,9),-0.173746 # DEPENDENCYPART_SIBL
(0,5),(0,10),-0.236931 # DEPENDENCYPART_SIBL
(0,5),(0,11),-0.231843 # DEPENDENCYPART_SIBL
(0,5),(0,12),-0.413823 # DEPENDENCYPART_SIBL
(0,5),(0,13),-0.370046 # DEPENDENCYPART_SIBL
(0,5),(0,15),-0.203915 # DEPENDENCYPART_SIBL
(0,5),(0,17),-0.290997 # DEPENDENCYPART_SIBL
(0,5),(0,19),-0.13876 # DEPENDENCYPART_SIBL
(0,5),(0,20),-0.370046 # DEPENDENCYPART_SIBL
(0,5),(0,21),-0.293132 # DEPENDENCYPART_SIBL
(0,5),(0,22),-0.293028 # DEPENDENCYPART_SIBL
(0,5),(0,23),-0.340789 # DEPENDENCYPART_SIBL
(0,6),(0,7),0.0327891 # DEPENDENCYPART_SIBL
(0,6),(0,9),0.0364992 # DEPENDENCYPART_SIBL
(0,6),(0,10),-0.00275477 # DEPENDENCYPART_SIBL
(0,6),(0,11),-0.0263214 # DEPENDENCYPART_SIBL
(0,6),(0,12),0.0156699 # DEPENDENCYPART_SIBL
(0,6),(0,13),-0.0798852 # DEPENDENCYPART_SIBL
(0,6),(0,15),-0.0273539 # DEPENDENCYPART_SIBL
(0,6),(0,17),0.0843623 # DEPENDENCYPART_SIBL
(0,6),(0,19),0.0227692 # DEPENDENCYPART_SIBL
(0,6),(0,20),-0.0798852 # DEPENDENCYPART_SIBL
(0,6),(0,21),-0.0325982 # DEPENDENCYPART_SIBL
(0,6),(0,22),-0.032339 # DEPENDENCYPART_SIBL
(0,6),(0,23),-0.0473547 # DEPENDENCYPART_SIBL
(0,7),(0,9),-0.0824591 # DEPENDENCYPART_SIBL
(0,7),(0,10),-0.109587 # DEPENDENCYPART_SIBL
(0,7),(0,11),-0.078603 # DEPENDENCYPART_SIBL
(0,7),(0,12),-0.140558 # DEPENDENCYPART_SIBL
(0,7),(0,13),-0.163496 # DEPENDENCYPART_SIBL
(0,7),(0,15),-0.0724551 # DEPENDENCYPART_SIBL
(0,7),(0,17),-0.0338445 # DEPENDENCYPART_SIBL
(0,7),(0,19),-0.0527739 # DEPENDENCYPART_SIBL
(0,7),(0,20),-0.163496 # DEPENDENCYPART_SIBL
(0,7),(0,21),-0.132364 # DEPENDENCYPART_SIBL
(0,7),(0,22),-0.13226 # DEPENDENCYPART_SIBL
(0,7),(0,23),-0.146399 # DEPENDENCYPART_SIBL
(0,9),(0,10),-0.1022 # DEPENDENCYPART_SIBL
(0,9),(0,11),-0.0727237 # DEPENDENCYPART_SIBL
(0,9),(0,12),-0.127294 # DEPENDENCYPART_SIBL
(0,9),(0,13),-0.151494 # DEPENDENCYPART_SIBL
(0,9),(0,15),-0.0665459 # DEPENDENCYPART_SIBL
(0,9),(0,17),-0.0140699 # DEPENDENCYPART_SIBL
(0,9),(0,19),-0.0503162 # DEPENDENCYPART_SIBL
(0,9),(0,20),-0.151494 # DEPENDENCYPART_SIBL
(0,9),(0,21),-0.124978 # DEPENDENCYPART_SIBL
(0,9),(0,22),-0.124874 # DEPENDENCYPART_SIBL
(0,9),(0,23),-0.134395 # DEPENDENCYPART_SIBL
(0,10),(0,11),-0.00769578 # DEPENDENCYPART_SIBL
(0,10),(0,12),-0.0543436 # DEPENDENCYPART_SIBL
(0,10),(0,13),-0.0887717 # DEPENDENCYPART_SIBL
(0,10),(0,15),-0.0163447 # DEPENDENCYPART_SIBL
(0,10),(0,17),-0.0369469 # DEPENDENCYPART_SIBL
(0,10),(0,19),-0.0114656 # DEPENDENCYPART_SIBL
(0,10),(0,20),-0.0887717 # DEPENDENCYPART_SIBL
(0,10),(0,21),-0.129716 # DEPENDENCYPART_SIBL
(0,10),(0,22),-0.125822 # DEPENDENCYPART_SIBL
(0,10),(0,23),-0.0771855 # DEPENDENCYPART_SIBL
(0,11),(0,12),-0.107806 # DEPENDENCYPART_SIBL
(0,11),(0,13),-0.136776 # DEPENDENCYPART_SIBL
(0,11),(0,15),-0.112204 # DEPENDENCYPART_SIBL
(0,11),(0,17),-0.0047606 # DEPENDENCYPART_SIBL
(0,11),(0,19),-0.00646072 # DEPENDENCYPART_SIBL
(0,11),(0,20),-0.136776 # DEPENDENCYPART_SIBL
(0,11),(0,21),-0.0386973 # DEPENDENCYPART_SIBL
(0,11),(0,22),-0.0385243 # DEPENDENCYPART_SIBL
(0,11),(0,23),-0.114021 # DEPENDENCYPART_SIBL
(0,12),(0,13),-0.370046 # DEPENDENCYPART_SIBL
(0,12),(0,15),-0.203915 # DEPENDENCYPART_SIBL
(0,12),(0,17),-0.290997 # DEPENDENCYPART_SIBL
(0,12),(0,19),-0.13876 # DEPENDENCYPART_SIBL
(0,12),(0,20),-0.370046 # DEPENDENCYPART_SIBL
(0,12),(0,21),-0.293132 # DEPENDENCYPART_SIBL
(0,12),(0,22),-0.293028 # DEPENDENCYPART_SIBL
(0,12),(0,23),-0.340789 # DEPENDENCYPART_SIBL
(0,13),(0,15),-0.00882043 # DEPENDENCYPART_SIBL
(0,13),(0,17),-0.0871734 # DEPENDENCYPART_SIBL
(0,13),(0,19),-0.0213943 # DEPENDENCYPART_SIBL
(0,13),(0,20),-0.181443 # DEPENDENCYPART_SIBL
(0,13),(0,21),-0.0443255 # DEPENDENCYPART_SIBL
(0,13),(0,22),-0.0442218 # DEPENDENCYPART_SIBL
(0,13),(0,23),-0.161528 # DEPENDENCYPART_SIBL
(0,15),(0,17),0.0140619 # DEPENDENCYPART_SIBL
(0,15),(0,19),0.00918342 # DEPENDENCYPART_SIBL
(0,15),(0,20),-0.107588 # DEPENDENCYPART_SIBL
(0,15),(0,21),-0.0256647 # DEPENDENCYPART_SIBL
(0,15),(0,22),-0.0254917 # DEPENDENCYPART_SIBL
(0,15),(0,23),-0.0820089 # DEPENDENCYPART_SIBL
(0,17),(0,19),0.0594789 # DEPENDENCYPART_SIBL
(0,17),(0,20),-0.109131 # DEPENDENCYPART_SIBL
(0,17),(0,21),-0.0204887 # DEPENDENCYPART_SIBL
(0,17),(0,22),-0.020379 # DEPENDENCYPART_SIBL
(0,17),(0,23),-0.0891196 # DEPENDENCYPART_SIBL
(0,19),(0,20),-0.097933 # DEPENDENCYPART_SIBL
(0,19),(0,21),-0.096826 # DEPENDENCYPART_SIBL
(0,19),(0,22),-0.0965131 # DEPENDENCYPART_SIBL
(0,19),(0,23),-0.0810524 # DEPENDENCYPART_SIBL
(0,20),(0,21),-0.0443255 # DEPENDENCYPART_SIBL
(0,20),(0,22),-0.0442218 # DEPENDENCYPART_SIBL
(0,20),(0,23),-0.161528 # DEPENDENCYPART_SIBL
(0,21),(0,22),-0.118034 # DEPENDENCYPART_SIBL
(0,21),(0,23),-0.0701925 # DEPENDENCYPART_SIBL
(0,22),(0,23),-0.0693041 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.00127082 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.066799 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.0469492 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0180164 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.00249169 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.0613064 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.00318539 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.00696275 # DEPENDENCYPART_SIBL
(2,1),(2,11),0.0831836 # DEPENDENCYPART_SIBL
(2,1),(2,15),0.0667674 # DEPENDENCYPART_SIBL
(2,1),(2,18),0.00268265 # DEPENDENCYPART_SIBL
(2,1),(2,22),0.00833196 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.275585 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.000660887 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.0326728 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.0394398 # DEPENDENCYPART_SIBL
(2,3),(2,8),0.0111012 # DEPENDENCYPART_SIBL
(2,3),(2,10),0.0189059 # DEPENDENCYPART_SIBL
(2,3),(2,11),0.235158 # DEPENDENCYPART_SIBL
(2,3),(2,15),0.240714 # DEPENDENCYPART_SIBL
(2,3),(2,18),0.00995829 # DEPENDENCYPART_SIBL
(2,3),(2,22),0.0189075 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0417814 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.0587614 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.00579308 # DEPENDENCYPART_SIBL
(2,4),(2,8),0.0635837 # DEPENDENCYPART_SIBL
(2,4),(2,10),0.0396636 # DEPENDENCYPART_SIBL
(2,4),(2,11),-0.163985 # DEPENDENCYPART_SIBL
(2,4),(2,15),-0.139327 # DEPENDENCYPART_SIBL
(2,4),(2,18),0.060252 # DEPENDENCYPART_SIBL
(2,4),(2,22),0.0396952 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.0468171 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.110256 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.0970364 # DEPENDENCYPART_SIBL
(2,5),(2,10),-0.0283293 # DEPENDENCYPART_SIBL
(2,5),(2,11),-0.110546 # DEPENDENCYPART_SIBL
(2,5),(2,15),-0.0468908 # DEPENDENCYPART_SIBL
(2,5),(2,18),-0.098452 # DEPENDENCYPART_SIBL
(2,5),(2,22),-0.038407 # DEPENDENCYPART_SIBL
(2,6),(2,7),0.0148912 # DEPENDENCYPART_SIBL
(2,6),(2,8),0.00258793 # DEPENDENCYPART_SIBL
(2,6),(2,10),-0.0233116 # DEPENDENCYPART_SIBL
(2,6),(2,11),-0.0238388 # DEPENDENCYPART_SIBL
(2,6),(2,15),-0.00266899 # DEPENDENCYPART_SIBL
(2,6),(2,18),0.00144497 # DEPENDENCYPART_SIBL
(2,6),(2,22),-0.0256127 # DEPENDENCYPART_SIBL
(2,7),(2,8),-0.034956 # DEPENDENCYPART_SIBL
(2,7),(2,10),-0.0308729 # DEPENDENCYPART_SIBL
(2,7),(2,11),-0.0226364 # DEPENDENCYPART_SIBL
(2,7),(2,15),0.00382523 # DEPENDENCYPART_SIBL
(2,7),(2,18),-0.0360989 # DEPENDENCYPART_SIBL
(2,7),(2,22),-0.0308713 # DEPENDENCYPART_SIBL
(2,8),(2,10),-0.0179321 # DEPENDENCYPART_SIBL
(2,8),(2,11),-0.0261396 # DEPENDENCYPART_SIBL
(2,8),(2,15),-0.00650053 # DEPENDENCYPART_SIBL
(2,8),(2,18),-0.0159684 # DEPENDENCYPART_SIBL
(2,8),(2,22),-0.0153158 # DEPENDENCYPART_SIBL
(2,10),(2,11),0.00905074 # DEPENDENCYPART_SIBL
(2,10),(2,15),0.0309273 # DEPENDENCYPART_SIBL
(2,10),(2,18),-0.0470821 # DEPENDENCYPART_SIBL
(2,10),(2,22),-0.0223518 # DEPENDENCYPART_SIBL
(2,11),(2,15),-0.117867 # DEPENDENCYPART_SIBL
(2,11),(2,18),0.0287816 # DEPENDENCYPART_SIBL
(2,11),(2,22),-0.00382372 # DEPENDENCYPART_SIBL
(2,15),(2,18),-0.065058 # DEPENDENCYPART_SIBL
(2,15),(2,22),-0.0479276 # DEPENDENCYPART_SIBL
(2,18),(2,22),-0.0185762 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.0108271 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.0942222 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.00438448 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.0262266 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.0174561 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.0409708 # DEPENDENCYPART_SIBL
(3,1),(3,10),0.0530625 # DEPENDENCYPART_SIBL
(3,1),(3,11),0.127075 # DEPENDENCYPART_SIBL
(3,1),(3,12),0.00438448 # DEPENDENCYPART_SIBL
(3,1),(3,14),0.0101055 # DEPENDENCYPART_SIBL
(3,1),(3,15),0.11776 # DEPENDENCYPART_SIBL
(3,1),(3,18),0.040468 # DEPENDENCYPART_SIBL
(3,1),(3,22),0.0544317 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.00714341 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.077675 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0236494 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.0556793 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.00590581 # DEPENDENCYPART_SIBL
(3,2),(3,10),-0.0282982 # DEPENDENCYPART_SIBL
(3,2),(3,11),-0.0451784 # DEPENDENCYPART_SIBL
(3,2),(3,12),-0.077675 # DEPENDENCYPART_SIBL
