# _root_ jaurlaritzak prezioak hitzartzen dituztela irizten badio , europako_batzordera jotzeko asmoa du , hark azter dezan europako lehia askearen gaineko legedia betetzen den ala ez .
#goldHeads=5,3,5,3,11,5,6,9,10,11,0,11,14,11,14,17,20,17,18,21,23,21,14,21,24,
#predictedHeads=3,3,5,3,11,5,6,9,10,11,0,11,14,11,14,17,19,17,20,21,23,21,14,23,24,
(9,1),-1.18001 # DEPENDENCYPART_ARC
(9,2),-0.241339 # DEPENDENCYPART_ARC
(9,3),-1.09669 # DEPENDENCYPART_ARC
(9,4),-1.61236 # DEPENDENCYPART_ARC
(9,5),-0.716622 # DEPENDENCYPART_ARC
(9,6),-1.61829 # DEPENDENCYPART_ARC
(9,7),-1.1627 # DEPENDENCYPART_ARC
(9,8),1.63459 # DEPENDENCYPART_ARC
(9,10),-1.00008 # DEPENDENCYPART_ARC
(9,11),-1.60129 # DEPENDENCYPART_ARC
(9,12),-1.06022 # DEPENDENCYPART_ARC
(9,14),-1.32262 # DEPENDENCYPART_ARC
(9,15),-2.84226 # DEPENDENCYPART_ARC
(9,18),-2.17026 # DEPENDENCYPART_ARC
(9,21),-1.95879 # DEPENDENCYPART_ARC
(9,22),-3.37871 # DEPENDENCYPART_ARC
(9,23),-0.814048 # DEPENDENCYPART_ARC
(10,3),-1.26995 # DEPENDENCYPART_ARC
(10,5),-1.10042 # DEPENDENCYPART_ARC
(10,7),-1.14682 # DEPENDENCYPART_ARC
(10,8),0.277089 # DEPENDENCYPART_ARC
(10,9),1.94569 # DEPENDENCYPART_ARC
(10,11),-0.791925 # DEPENDENCYPART_ARC
(10,12),-0.569971 # DEPENDENCYPART_ARC
(10,13),-1.78593 # DEPENDENCYPART_ARC
(10,15),-1.72502 # DEPENDENCYPART_ARC
(11,1),-0.420308 # DEPENDENCYPART_ARC
(11,2),-0.711808 # DEPENDENCYPART_ARC
(11,3),-0.864981 # DEPENDENCYPART_ARC
(11,5),-0.787784 # DEPENDENCYPART_ARC
(11,7),-0.942416 # DEPENDENCYPART_ARC
(11,8),0.943899 # DEPENDENCYPART_ARC
(11,9),0.0539333 # DEPENDENCYPART_ARC
(11,10),1.91346 # DEPENDENCYPART_ARC
(11,12),1.21921 # DEPENDENCYPART_ARC
(11,14),-0.31175 # DEPENDENCYPART_ARC
(11,15),-0.841488 # DEPENDENCYPART_ARC
(11,17),-0.50862 # DEPENDENCYPART_ARC
(11,18),-1.38704 # DEPENDENCYPART_ARC
(11,19),-0.944363 # DEPENDENCYPART_ARC
(11,20),-0.335323 # DEPENDENCYPART_ARC
(11,21),-0.688371 # DEPENDENCYPART_ARC
(11,22),-0.979137 # DEPENDENCYPART_ARC
(11,23),-0.089874 # DEPENDENCYPART_ARC
(12,10),-1.03418 # DEPENDENCYPART_ARC
(12,11),-0.079698 # DEPENDENCYPART_ARC
(12,21),-1.3207 # DEPENDENCYPART_ARC
(13,9),-0.641981 # DEPENDENCYPART_ARC
(13,12),-0.191176 # DEPENDENCYPART_ARC
(13,14),-0.357753 # DEPENDENCYPART_ARC
(13,17),-1.13167 # DEPENDENCYPART_ARC
(13,21),-1.2176 # DEPENDENCYPART_ARC
(14,1),-0.902488 # DEPENDENCYPART_ARC
(14,2),-1.21344 # DEPENDENCYPART_ARC
(14,3),-1.10081 # DEPENDENCYPART_ARC
(14,4),-1.44466 # DEPENDENCYPART_ARC
(14,5),-0.931012 # DEPENDENCYPART_ARC
(14,6),-1.32129 # DEPENDENCYPART_ARC
(14,7),-1.50086 # DEPENDENCYPART_ARC
(14,8),-0.909109 # DEPENDENCYPART_ARC
(14,9),-0.306279 # DEPENDENCYPART_ARC
(14,10),-0.0641415 # DEPENDENCYPART_ARC
(14,11),-0.539489 # DEPENDENCYPART_ARC
(14,12),-1.01469 # DEPENDENCYPART_ARC
(14,13),0.728421 # DEPENDENCYPART_ARC
(14,15),2.49873 # DEPENDENCYPART_ARC
(14,16),0.121477 # DEPENDENCYPART_ARC
(14,17),-0.207008 # DEPENDENCYPART_ARC
(14,18),-1.21082 # DEPENDENCYPART_ARC
(14,19),-0.392604 # DEPENDENCYPART_ARC
(14,20),-0.45728 # DEPENDENCYPART_ARC
(14,21),-0.44206 # DEPENDENCYPART_ARC
(14,22),-0.48394 # DEPENDENCYPART_ARC
(14,23),-0.192595 # DEPENDENCYPART_ARC
(15,13),-0.752178 # DEPENDENCYPART_ARC
(15,16),-0.902855 # DEPENDENCYPART_ARC
(15,22),-1.16578 # DEPENDENCYPART_ARC
(16,14),-0.844502 # DEPENDENCYPART_ARC
(16,17),-0.926688 # DEPENDENCYPART_ARC
(17,12),-1.53563 # DEPENDENCYPART_ARC
(17,13),-1.94927 # DEPENDENCYPART_ARC
(17,14),-0.664389 # DEPENDENCYPART_ARC
(17,15),-0.988366 # DEPENDENCYPART_ARC
(17,16),0.792723 # DEPENDENCYPART_ARC
(17,18),1.85467 # DEPENDENCYPART_ARC
(17,19),-0.304701 # DEPENDENCYPART_ARC
(17,20),-0.664107 # DEPENDENCYPART_ARC
(17,22),-1.16725 # DEPENDENCYPART_ARC
(17,23),-0.552277 # DEPENDENCYPART_ARC
(17,25),-1.25606 # DEPENDENCYPART_ARC
(18,16),0.0279409 # DEPENDENCYPART_ARC
(18,17),-0.261598 # DEPENDENCYPART_ARC
(18,19),0.0712652 # DEPENDENCYPART_ARC
(18,20),-0.893839 # DEPENDENCYPART_ARC
(19,12),-1.71562 # DEPENDENCYPART_ARC
(19,13),-3.26565 # DEPENDENCYPART_ARC
(19,14),-1.40027 # DEPENDENCYPART_ARC
(19,16),-0.566568 # DEPENDENCYPART_ARC
(19,17),0.030317 # DEPENDENCYPART_ARC
(19,18),0.440293 # DEPENDENCYPART_ARC
(19,20),-1.10535 # DEPENDENCYPART_ARC
(19,22),-2.41223 # DEPENDENCYPART_ARC
(19,25),-1.44643 # DEPENDENCYPART_ARC
(20,13),-3.21936 # DEPENDENCYPART_ARC
(20,16),0.180837 # DEPENDENCYPART_ARC
(20,17),-0.15303 # DEPENDENCYPART_ARC
(20,18),-0.233316 # DEPENDENCYPART_ARC
(20,19),1.58729 # DEPENDENCYPART_ARC
(20,21),-0.609309 # DEPENDENCYPART_ARC
(20,22),-1.03974 # DEPENDENCYPART_ARC
(20,25),-1.24129 # DEPENDENCYPART_ARC
(21,1),-1.21244 # DEPENDENCYPART_ARC
(21,2),-1.41017 # DEPENDENCYPART_ARC
(21,3),-1.40732 # DEPENDENCYPART_ARC
(21,5),-1.33211 # DEPENDENCYPART_ARC
(21,7),-1.76678 # DEPENDENCYPART_ARC
(21,8),-1.28817 # DEPENDENCYPART_ARC
(21,9),-0.800817 # DEPENDENCYPART_ARC
(21,10),-0.771305 # DEPENDENCYPART_ARC
(21,11),-1.11972 # DEPENDENCYPART_ARC
(21,13),-0.366104 # DEPENDENCYPART_ARC
(21,14),-0.745749 # DEPENDENCYPART_ARC
(21,15),-1.10149 # DEPENDENCYPART_ARC
(21,16),-0.837306 # DEPENDENCYPART_ARC
(21,17),-0.177523 # DEPENDENCYPART_ARC
(21,18),-1.2215 # DEPENDENCYPART_ARC
(21,19),-0.0349175 # DEPENDENCYPART_ARC
(21,20),1.5923 # DEPENDENCYPART_ARC
(21,22),1.91736 # DEPENDENCYPART_ARC
(21,23),-0.515906 # DEPENDENCYPART_ARC
(21,24),-0.638122 # DEPENDENCYPART_ARC
(22,19),-0.458986 # DEPENDENCYPART_ARC
(22,20),-0.32213 # DEPENDENCYPART_ARC
(22,23),0.00274292 # DEPENDENCYPART_ARC
(22,24),-0.67378 # DEPENDENCYPART_ARC
(23,3),-0.727499 # DEPENDENCYPART_ARC
(23,5),-0.785289 # DEPENDENCYPART_ARC
(23,8),-0.859142 # DEPENDENCYPART_ARC
(23,9),-0.857 # DEPENDENCYPART_ARC
(23,10),-0.707258 # DEPENDENCYPART_ARC
(23,11),-1.38283 # DEPENDENCYPART_ARC
(23,13),-1.0775 # DEPENDENCYPART_ARC
(23,14),-0.544086 # DEPENDENCYPART_ARC
(23,16),-0.881358 # DEPENDENCYPART_ARC
(23,17),-0.806785 # DEPENDENCYPART_ARC
(23,19),-0.623992 # DEPENDENCYPART_ARC
(23,20),-0.173357 # DEPENDENCYPART_ARC
(23,21),0.311974 # DEPENDENCYPART_ARC
(23,22),0.342139 # DEPENDENCYPART_ARC
(23,24),0.6808 # DEPENDENCYPART_ARC
(24,25),1.23264 # DEPENDENCYPART_ARC
(0,1),(0,2),0.0505058 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.112925 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.059366 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.11245 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.0589031 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.134849 # DEPENDENCYPART_SIBL
(0,1),(0,8),0.0509349 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.11245 # DEPENDENCYPART_SIBL
(0,1),(0,10),0.0499651 # DEPENDENCYPART_SIBL
(0,1),(0,11),-0.046072 # DEPENDENCYPART_SIBL
(0,1),(0,12),-0.134849 # DEPENDENCYPART_SIBL
(0,1),(0,13),0.00877688 # DEPENDENCYPART_SIBL
(0,1),(0,14),-0.113286 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.0601659 # DEPENDENCYPART_SIBL
(0,1),(0,18),0.0183868 # DEPENDENCYPART_SIBL
(0,1),(0,21),-0.118189 # DEPENDENCYPART_SIBL
(0,1),(0,22),-0.0673784 # DEPENDENCYPART_SIBL
(0,1),(0,23),-0.0415179 # DEPENDENCYPART_SIBL
(0,1),(0,24),0.0553154 # DEPENDENCYPART_SIBL
(0,1),(0,25),-0.174991 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.112759 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.0593595 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.112284 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.0588967 # DEPENDENCYPART_SIBL
(0,2),(0,7),-0.134843 # DEPENDENCYPART_SIBL
(0,2),(0,8),0.0508649 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.112284 # DEPENDENCYPART_SIBL
(0,2),(0,10),0.0498951 # DEPENDENCYPART_SIBL
(0,2),(0,11),-0.0460596 # DEPENDENCYPART_SIBL
(0,2),(0,12),-0.134843 # DEPENDENCYPART_SIBL
(0,2),(0,13),0.0087833 # DEPENDENCYPART_SIBL
(0,2),(0,14),-0.11312 # DEPENDENCYPART_SIBL
(0,2),(0,15),-0.0601595 # DEPENDENCYPART_SIBL
(0,2),(0,18),0.0183932 # DEPENDENCYPART_SIBL
(0,2),(0,21),-0.118023 # DEPENDENCYPART_SIBL
(0,2),(0,22),-0.067372 # DEPENDENCYPART_SIBL
(0,2),(0,23),-0.0415624 # DEPENDENCYPART_SIBL
(0,2),(0,24),0.0553218 # DEPENDENCYPART_SIBL
(0,2),(0,25),-0.174985 # DEPENDENCYPART_SIBL
(0,3),(0,4),0.00715095 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.117609 # DEPENDENCYPART_SIBL
(0,3),(0,6),0.00773795 # DEPENDENCYPART_SIBL
(0,3),(0,7),-0.0469376 # DEPENDENCYPART_SIBL
(0,3),(0,8),-0.00681076 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.117609 # DEPENDENCYPART_SIBL
(0,3),(0,10),-0.00816872 # DEPENDENCYPART_SIBL
(0,3),(0,11),-0.0603902 # DEPENDENCYPART_SIBL
(0,3),(0,12),-0.0469376 # DEPENDENCYPART_SIBL
(0,3),(0,13),0.00648711 # DEPENDENCYPART_SIBL
(0,3),(0,14),-0.117149 # DEPENDENCYPART_SIBL
(0,3),(0,15),0.00547252 # DEPENDENCYPART_SIBL
(0,3),(0,18),-0.000573119 # DEPENDENCYPART_SIBL
(0,3),(0,21),-0.125804 # DEPENDENCYPART_SIBL
(0,3),(0,22),-0.00862728 # DEPENDENCYPART_SIBL
(0,3),(0,23),-0.0233595 # DEPENDENCYPART_SIBL
(0,3),(0,24),0.00383031 # DEPENDENCYPART_SIBL
(0,3),(0,25),-0.0697794 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.0151784 # DEPENDENCYPART_SIBL
(0,4),(0,6),-0.0918657 # DEPENDENCYPART_SIBL
(0,4),(0,7),-0.0718938 # DEPENDENCYPART_SIBL
(0,4),(0,8),0.00470994 # DEPENDENCYPART_SIBL
(0,4),(0,9),-0.0151784 # DEPENDENCYPART_SIBL
(0,4),(0,10),0.00315841 # DEPENDENCYPART_SIBL
(0,4),(0,11),-0.0161838 # DEPENDENCYPART_SIBL
(0,4),(0,12),-0.0718938 # DEPENDENCYPART_SIBL
(0,4),(0,13),0.0160748 # DEPENDENCYPART_SIBL
(0,4),(0,14),-0.0150092 # DEPENDENCYPART_SIBL
(0,4),(0,15),-0.0931095 # DEPENDENCYPART_SIBL
(0,4),(0,18),0.0151026 # DEPENDENCYPART_SIBL
(0,4),(0,21),-0.0233639 # DEPENDENCYPART_SIBL
(0,4),(0,22),-0.102381 # DEPENDENCYPART_SIBL
(0,4),(0,23),-0.0283044 # DEPENDENCYPART_SIBL
(0,4),(0,24),0.0221332 # DEPENDENCYPART_SIBL
(0,4),(0,25),-0.0805409 # DEPENDENCYPART_SIBL
(0,5),(0,6),0.00821328 # DEPENDENCYPART_SIBL
(0,5),(0,7),-0.0464622 # DEPENDENCYPART_SIBL
(0,5),(0,8),-0.00562244 # DEPENDENCYPART_SIBL
(0,5),(0,9),-0.117133 # DEPENDENCYPART_SIBL
(0,5),(0,10),-0.0069804 # DEPENDENCYPART_SIBL
(0,5),(0,11),-0.0599149 # DEPENDENCYPART_SIBL
(0,5),(0,12),-0.0464622 # DEPENDENCYPART_SIBL
(0,5),(0,13),0.00696244 # DEPENDENCYPART_SIBL
(0,5),(0,14),-0.116674 # DEPENDENCYPART_SIBL
(0,5),(0,15),0.00594785 # DEPENDENCYPART_SIBL
(0,5),(0,18),-9.77891e-05 # DEPENDENCYPART_SIBL
(0,5),(0,21),-0.125329 # DEPENDENCYPART_SIBL
(0,5),(0,22),-0.00815195 # DEPENDENCYPART_SIBL
(0,5),(0,23),-0.0228842 # DEPENDENCYPART_SIBL
(0,5),(0,24),0.00430564 # DEPENDENCYPART_SIBL
(0,5),(0,25),-0.0693041 # DEPENDENCYPART_SIBL
(0,6),(0,7),-0.0716099 # DEPENDENCYPART_SIBL
(0,6),(0,8),0.0054267 # DEPENDENCYPART_SIBL
(0,6),(0,9),-0.0137375 # DEPENDENCYPART_SIBL
(0,6),(0,10),0.00387518 # DEPENDENCYPART_SIBL
(0,6),(0,11),-0.0144154 # DEPENDENCYPART_SIBL
(0,6),(0,12),-0.0716099 # DEPENDENCYPART_SIBL
(0,6),(0,13),0.0163437 # DEPENDENCYPART_SIBL
(0,6),(0,14),-0.0135683 # DEPENDENCYPART_SIBL
(0,6),(0,15),-0.0924073 # DEPENDENCYPART_SIBL
(0,6),(0,18),0.0153712 # DEPENDENCYPART_SIBL
(0,6),(0,21),-0.021923 # DEPENDENCYPART_SIBL
(0,6),(0,22),-0.101657 # DEPENDENCYPART_SIBL
(0,6),(0,23),-0.0266493 # DEPENDENCYPART_SIBL
(0,6),(0,24),0.0224017 # DEPENDENCYPART_SIBL
(0,6),(0,25),-0.0802417 # DEPENDENCYPART_SIBL
(0,7),(0,8),-0.202026 # DEPENDENCYPART_SIBL
(0,7),(0,9),-0.2936 # DEPENDENCYPART_SIBL
(0,7),(0,10),-0.202941 # DEPENDENCYPART_SIBL
(0,7),(0,11),-0.237898 # DEPENDENCYPART_SIBL
(0,7),(0,12),-0.413823 # DEPENDENCYPART_SIBL
(0,7),(0,13),-0.177376 # DEPENDENCYPART_SIBL
(0,7),(0,14),-0.295506 # DEPENDENCYPART_SIBL
(0,7),(0,15),-0.201692 # DEPENDENCYPART_SIBL
(0,7),(0,18),-0.132739 # DEPENDENCYPART_SIBL
(0,7),(0,21),-0.303816 # DEPENDENCYPART_SIBL
(0,7),(0,22),-0.203915 # DEPENDENCYPART_SIBL
(0,7),(0,23),-0.160111 # DEPENDENCYPART_SIBL
(0,7),(0,24),-0.107489 # DEPENDENCYPART_SIBL
(0,7),(0,25),-0.340789 # DEPENDENCYPART_SIBL
(0,8),(0,9),-0.112279 # DEPENDENCYPART_SIBL
(0,8),(0,10),0.0499741 # DEPENDENCYPART_SIBL
(0,8),(0,11),-0.0460571 # DEPENDENCYPART_SIBL
(0,8),(0,12),-0.13484 # DEPENDENCYPART_SIBL
(0,8),(0,13),0.00878585 # DEPENDENCYPART_SIBL
(0,8),(0,14),-0.113115 # DEPENDENCYPART_SIBL
(0,8),(0,15),-0.0601569 # DEPENDENCYPART_SIBL
(0,8),(0,18),0.0183958 # DEPENDENCYPART_SIBL
(0,8),(0,21),-0.118017 # DEPENDENCYPART_SIBL
(0,8),(0,22),-0.0673694 # DEPENDENCYPART_SIBL
(0,8),(0,23),-0.0414725 # DEPENDENCYPART_SIBL
(0,8),(0,24),0.0553243 # DEPENDENCYPART_SIBL
(0,8),(0,25),-0.174982 # DEPENDENCYPART_SIBL
(0,9),(0,10),-0.0069804 # DEPENDENCYPART_SIBL
(0,9),(0,11),-0.0599149 # DEPENDENCYPART_SIBL
(0,9),(0,12),-0.0464622 # DEPENDENCYPART_SIBL
(0,9),(0,13),0.00696244 # DEPENDENCYPART_SIBL
(0,9),(0,14),-0.116674 # DEPENDENCYPART_SIBL
(0,9),(0,15),0.00594785 # DEPENDENCYPART_SIBL
(0,9),(0,18),-9.77891e-05 # DEPENDENCYPART_SIBL
(0,9),(0,21),-0.125329 # DEPENDENCYPART_SIBL
(0,9),(0,22),-0.00815195 # DEPENDENCYPART_SIBL
(0,9),(0,23),-0.0228842 # DEPENDENCYPART_SIBL
(0,9),(0,24),0.00430564 # DEPENDENCYPART_SIBL
(0,9),(0,25),-0.0693041 # DEPENDENCYPART_SIBL
(0,10),(0,11),-0.0464129 # DEPENDENCYPART_SIBL
(0,10),(0,12),-0.13544 # DEPENDENCYPART_SIBL
(0,10),(0,13),0.00843377 # DEPENDENCYPART_SIBL
(0,10),(0,14),-0.114685 # DEPENDENCYPART_SIBL
(0,10),(0,15),-0.0605086 # DEPENDENCYPART_SIBL
(0,10),(0,18),0.0180441 # DEPENDENCYPART_SIBL
(0,10),(0,21),-0.119588 # DEPENDENCYPART_SIBL
(0,10),(0,22),-0.0677211 # DEPENDENCYPART_SIBL
(0,10),(0,23),-0.0420181 # DEPENDENCYPART_SIBL
(0,10),(0,24),0.0549613 # DEPENDENCYPART_SIBL
(0,10),(0,25),-0.175582 # DEPENDENCYPART_SIBL
(0,11),(0,12),-0.0569644 # DEPENDENCYPART_SIBL
(0,11),(0,13),-0.0467655 # DEPENDENCYPART_SIBL
(0,11),(0,14),-0.158155 # DEPENDENCYPART_SIBL
(0,11),(0,15),-0.0643962 # DEPENDENCYPART_SIBL
(0,11),(0,18),-0.028737 # DEPENDENCYPART_SIBL
(0,11),(0,21),-0.164487 # DEPENDENCYPART_SIBL
(0,11),(0,22),-0.0734388 # DEPENDENCYPART_SIBL
(0,11),(0,23),-0.0463689 # DEPENDENCYPART_SIBL
(0,11),(0,24),-0.0228541 # DEPENDENCYPART_SIBL
(0,11),(0,25),-0.0845586 # DEPENDENCYPART_SIBL
(0,12),(0,13),-0.177376 # DEPENDENCYPART_SIBL
(0,12),(0,14),-0.295506 # DEPENDENCYPART_SIBL
(0,12),(0,15),-0.201692 # DEPENDENCYPART_SIBL
(0,12),(0,18),-0.132739 # DEPENDENCYPART_SIBL
(0,12),(0,21),-0.303816 # DEPENDENCYPART_SIBL
(0,12),(0,22),-0.203915 # DEPENDENCYPART_SIBL
(0,12),(0,23),-0.160111 # DEPENDENCYPART_SIBL
(0,12),(0,24),-0.107489 # DEPENDENCYPART_SIBL
(0,12),(0,25),-0.340789 # DEPENDENCYPART_SIBL
(0,13),(0,14),-0.120353 # DEPENDENCYPART_SIBL
(0,13),(0,15),-0.0555598 # DEPENDENCYPART_SIBL
(0,13),(0,18),-0.0409402 # DEPENDENCYPART_SIBL
(0,13),(0,21),-0.126684 # DEPENDENCYPART_SIBL
(0,13),(0,22),-0.0637739 # DEPENDENCYPART_SIBL
(0,13),(0,23),-0.0295032 # DEPENDENCYPART_SIBL
(0,13),(0,24),0.0132952 # DEPENDENCYPART_SIBL
(0,13),(0,25),-0.132282 # DEPENDENCYPART_SIBL
(0,14),(0,15),0.0047804 # DEPENDENCYPART_SIBL
(0,14),(0,18),-0.000485951 # DEPENDENCYPART_SIBL
(0,14),(0,21),-0.126208 # DEPENDENCYPART_SIBL
(0,14),(0,22),-0.0093194 # DEPENDENCYPART_SIBL
(0,14),(0,23),-0.0232723 # DEPENDENCYPART_SIBL
(0,14),(0,24),0.00391748 # DEPENDENCYPART_SIBL
(0,14),(0,25),-0.0696922 # DEPENDENCYPART_SIBL
(0,15),(0,18),0.0153431 # DEPENDENCYPART_SIBL
(0,15),(0,21),-0.026382 # DEPENDENCYPART_SIBL
(0,15),(0,22),-0.101713 # DEPENDENCYPART_SIBL
(0,15),(0,23),-0.0275209 # DEPENDENCYPART_SIBL
(0,15),(0,24),0.0223393 # DEPENDENCYPART_SIBL
(0,15),(0,25),-0.0802419 # DEPENDENCYPART_SIBL
(0,18),(0,21),-0.105858 # DEPENDENCYPART_SIBL
(0,18),(0,22),-0.0410868 # DEPENDENCYPART_SIBL
(0,18),(0,23),-0.0308146 # DEPENDENCYPART_SIBL
(0,18),(0,24),0.0191193 # DEPENDENCYPART_SIBL
(0,18),(0,25),-0.0798058 # DEPENDENCYPART_SIBL
(0,21),(0,22),-0.0244031 # DEPENDENCYPART_SIBL
(0,21),(0,23),-0.0384374 # DEPENDENCYPART_SIBL
(0,21),(0,24),-0.0111995 # DEPENDENCYPART_SIBL
(0,21),(0,25),-0.104337 # DEPENDENCYPART_SIBL
(0,22),(0,23),-0.0340174 # DEPENDENCYPART_SIBL
(0,22),(0,24),0.0206898 # DEPENDENCYPART_SIBL
(0,22),(0,25),-0.0820089 # DEPENDENCYPART_SIBL
(0,23),(0,24),0.03231 # DEPENDENCYPART_SIBL
(0,23),(0,25),-0.0911485 # DEPENDENCYPART_SIBL
(0,24),(0,25),-0.0912671 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.00168173 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.00152188 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.0611896 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0201753 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.0421359 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.0393417 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.0320125 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.0323009 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.0611891 # DEPENDENCYPART_SIBL
