# _root_ juan jose_ibarretxe_eaeko lehendakariaren ustez , herritarrek " sendotasun moralaz_gain beste zerbait espero_dute erakundeetatik etarekin amaitzeko , indakerkeriari eta heriotzari aurre_egiteko " .
#goldHeads=3,1,4,12,4,12,6,12,8,11,12,0,12,15,16,12,18,20,18,12,20,21,
#predictedHeads=3,3,4,12,4,12,6,9,12,9,12,0,15,15,12,15,18,20,18,12,20,21,
(6,7),1.30223 # DEPENDENCYPART_ARC
(6,8),-0.697425 # DEPENDENCYPART_ARC
(6,9),-1.65216 # DEPENDENCYPART_ARC
(6,10),-0.57778 # DEPENDENCYPART_ARC
(6,12),-1.9748 # DEPENDENCYPART_ARC
(6,13),-1.42296 # DEPENDENCYPART_ARC
(6,15),-1.82555 # DEPENDENCYPART_ARC
(6,18),-1.07734 # DEPENDENCYPART_ARC
(6,20),-1.92991 # DEPENDENCYPART_ARC
(7,1),-1.38646 # DEPENDENCYPART_ARC
(7,8),-0.567213 # DEPENDENCYPART_ARC
(8,1),-1.308 # DEPENDENCYPART_ARC
(8,3),-1.27406 # DEPENDENCYPART_ARC
(8,4),-1.21574 # DEPENDENCYPART_ARC
(8,5),-1.13041 # DEPENDENCYPART_ARC
(8,6),-1.00973 # DEPENDENCYPART_ARC
(8,7),-0.34162 # DEPENDENCYPART_ARC
(8,9),0.0797113 # DEPENDENCYPART_ARC
(8,10),-0.221347 # DEPENDENCYPART_ARC
(8,14),-0.948202 # DEPENDENCYPART_ARC
(9,4),-1.1874 # DEPENDENCYPART_ARC
(9,5),-1.63864 # DEPENDENCYPART_ARC
(9,6),-2.54884 # DEPENDENCYPART_ARC
(9,8),1.17076 # DEPENDENCYPART_ARC
(9,10),0.86937 # DEPENDENCYPART_ARC
(9,12),-2.2458 # DEPENDENCYPART_ARC
(9,13),-2.2342 # DEPENDENCYPART_ARC
(9,14),-2.40059 # DEPENDENCYPART_ARC
(9,18),-1.75837 # DEPENDENCYPART_ARC
(10,8),-1.04207 # DEPENDENCYPART_ARC
(10,9),-0.435535 # DEPENDENCYPART_ARC
(10,13),-0.688971 # DEPENDENCYPART_ARC
(10,15),-0.592883 # DEPENDENCYPART_ARC
(11,8),-0.144791 # DEPENDENCYPART_ARC
(11,9),-0.261954 # DEPENDENCYPART_ARC
(12,1),-0.445829 # DEPENDENCYPART_ARC
(12,3),-1.53999 # DEPENDENCYPART_ARC
(12,4),-0.198151 # DEPENDENCYPART_ARC
(12,6),0.412496 # DEPENDENCYPART_ARC
(12,8),-0.188679 # DEPENDENCYPART_ARC
(12,9),0.921085 # DEPENDENCYPART_ARC
(12,10),-0.107091 # DEPENDENCYPART_ARC
(12,11),1.839 # DEPENDENCYPART_ARC
(12,13),-0.0185984 # DEPENDENCYPART_ARC
(12,14),-0.2228 # DEPENDENCYPART_ARC
(12,15),0.358144 # DEPENDENCYPART_ARC
(12,17),-0.907364 # DEPENDENCYPART_ARC
(12,18),-0.798428 # DEPENDENCYPART_ARC
(12,19),-1.16097 # DEPENDENCYPART_ARC
(12,20),-0.485013 # DEPENDENCYPART_ARC
(13,4),-1.21728 # DEPENDENCYPART_ARC
(13,8),-0.594686 # DEPENDENCYPART_ARC
(13,9),-0.694099 # DEPENDENCYPART_ARC
(13,10),-0.491673 # DEPENDENCYPART_ARC
(13,11),-0.857913 # DEPENDENCYPART_ARC
(13,12),-0.997409 # DEPENDENCYPART_ARC
(13,14),-0.912083 # DEPENDENCYPART_ARC
(13,15),-1.82768 # DEPENDENCYPART_ARC
(13,16),-1.08895 # DEPENDENCYPART_ARC
(13,17),-1.44547 # DEPENDENCYPART_ARC
(13,18),-1.32153 # DEPENDENCYPART_ARC
(13,19),-1.43128 # DEPENDENCYPART_ARC
(13,20),-2.0908 # DEPENDENCYPART_ARC
(13,22),-1.59439 # DEPENDENCYPART_ARC
(14,13),-0.459824 # DEPENDENCYPART_ARC
(14,15),-1.26497 # DEPENDENCYPART_ARC
(14,16),-0.49996 # DEPENDENCYPART_ARC
(14,17),-1.24669 # DEPENDENCYPART_ARC
(14,19),-1.28125 # DEPENDENCYPART_ARC
(14,20),-2.36964 # DEPENDENCYPART_ARC
(15,1),-1.12577 # DEPENDENCYPART_ARC
(15,3),-1.94706 # DEPENDENCYPART_ARC
(15,4),-0.635841 # DEPENDENCYPART_ARC
(15,5),-1.7843 # DEPENDENCYPART_ARC
(15,6),-0.820646 # DEPENDENCYPART_ARC
(15,8),-0.41278 # DEPENDENCYPART_ARC
(15,9),-0.349051 # DEPENDENCYPART_ARC
(15,10),-0.984066 # DEPENDENCYPART_ARC
(15,11),0.0472341 # DEPENDENCYPART_ARC
(15,12),-2.04751 # DEPENDENCYPART_ARC
(15,13),0.81609 # DEPENDENCYPART_ARC
(15,14),1.14931 # DEPENDENCYPART_ARC
(15,16),0.879838 # DEPENDENCYPART_ARC
(15,17),-1.07125 # DEPENDENCYPART_ARC
(15,18),-0.859537 # DEPENDENCYPART_ARC
(15,19),-1.51397 # DEPENDENCYPART_ARC
(15,20),-1.14013 # DEPENDENCYPART_ARC
(16,12),-1.07487 # DEPENDENCYPART_ARC
(16,14),-1.04375 # DEPENDENCYPART_ARC
(16,15),-0.381361 # DEPENDENCYPART_ARC
(16,17),-0.561125 # DEPENDENCYPART_ARC
(16,20),-0.810116 # DEPENDENCYPART_ARC
(17,11),-1.86467 # DEPENDENCYPART_ARC
(17,12),-2.83169 # DEPENDENCYPART_ARC
(17,13),-1.89838 # DEPENDENCYPART_ARC
(17,14),-2.30541 # DEPENDENCYPART_ARC
(17,15),-1.55501 # DEPENDENCYPART_ARC
(17,16),-0.225214 # DEPENDENCYPART_ARC
(17,18),-0.637087 # DEPENDENCYPART_ARC
(17,19),-1.03432 # DEPENDENCYPART_ARC
(17,22),-1.4579 # DEPENDENCYPART_ARC
(18,1),-0.86117 # DEPENDENCYPART_ARC
(18,3),-0.823842 # DEPENDENCYPART_ARC
(18,4),-0.630983 # DEPENDENCYPART_ARC
(18,6),-0.384682 # DEPENDENCYPART_ARC
(18,8),-0.894151 # DEPENDENCYPART_ARC
(18,9),-1.38369 # DEPENDENCYPART_ARC
(18,12),-0.288426 # DEPENDENCYPART_ARC
(18,13),-0.827319 # DEPENDENCYPART_ARC
(18,14),-0.383515 # DEPENDENCYPART_ARC
(18,15),-0.22435 # DEPENDENCYPART_ARC
(18,16),-0.99708 # DEPENDENCYPART_ARC
(18,17),1.84267 # DEPENDENCYPART_ARC
(18,19),2.00832 # DEPENDENCYPART_ARC
(18,20),0.24283 # DEPENDENCYPART_ARC
(19,16),-1.87699 # DEPENDENCYPART_ARC
(19,17),-2.56591 # DEPENDENCYPART_ARC
(19,18),-0.386423 # DEPENDENCYPART_ARC
(19,20),-0.985203 # DEPENDENCYPART_ARC
(19,22),-1.32203 # DEPENDENCYPART_ARC
(20,3),-2.76603 # DEPENDENCYPART_ARC
(20,4),-0.568899 # DEPENDENCYPART_ARC
(20,6),-1.29219 # DEPENDENCYPART_ARC
(20,8),-0.949031 # DEPENDENCYPART_ARC
(20,9),-1.05281 # DEPENDENCYPART_ARC
(20,13),-0.550727 # DEPENDENCYPART_ARC
(20,14),-1.15337 # DEPENDENCYPART_ARC
(20,15),-0.243004 # DEPENDENCYPART_ARC
(20,17),0.540999 # DEPENDENCYPART_ARC
(20,18),0.0224069 # DEPENDENCYPART_ARC
(20,19),1.93854 # DEPENDENCYPART_ARC
(20,21),1.1664 # DEPENDENCYPART_ARC
(21,17),-1.29699 # DEPENDENCYPART_ARC
(21,19),-1.14955 # DEPENDENCYPART_ARC
(21,20),-0.423914 # DEPENDENCYPART_ARC
(21,22),1.46363 # DEPENDENCYPART_ARC
(22,19),-0.854136 # DEPENDENCYPART_ARC
(0,1),(0,3),0.0382551 # DEPENDENCYPART_SIBL
(0,1),(0,4),0.0046865 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.139117 # DEPENDENCYPART_SIBL
(0,1),(0,6),0.0361523 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.20255 # DEPENDENCYPART_SIBL
(0,1),(0,10),-0.0048007 # DEPENDENCYPART_SIBL
(0,1),(0,11),-0.00230271 # DEPENDENCYPART_SIBL
(0,1),(0,12),-0.11895 # DEPENDENCYPART_SIBL
(0,1),(0,13),0.0382557 # DEPENDENCYPART_SIBL
(0,1),(0,14),0.0382557 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.119398 # DEPENDENCYPART_SIBL
(0,1),(0,16),-0.139117 # DEPENDENCYPART_SIBL
(0,1),(0,17),0.0382557 # DEPENDENCYPART_SIBL
(0,1),(0,18),-0.0925598 # DEPENDENCYPART_SIBL
(0,1),(0,19),0.0382557 # DEPENDENCYPART_SIBL
(0,1),(0,20),-0.12023 # DEPENDENCYPART_SIBL
(0,1),(0,21),-0.20255 # DEPENDENCYPART_SIBL
(0,1),(0,22),-0.17926 # DEPENDENCYPART_SIBL
(0,3),(0,4),0.0111477 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.13484 # DEPENDENCYPART_SIBL
(0,3),(0,6),0.0488404 # DEPENDENCYPART_SIBL
(0,3),(0,7),-0.198273 # DEPENDENCYPART_SIBL
(0,3),(0,10),-0.000523468 # DEPENDENCYPART_SIBL
(0,3),(0,11),0.00197452 # DEPENDENCYPART_SIBL
(0,3),(0,12),-0.111831 # DEPENDENCYPART_SIBL
(0,3),(0,13),0.0509439 # DEPENDENCYPART_SIBL
(0,3),(0,14),0.0509439 # DEPENDENCYPART_SIBL
(0,3),(0,15),-0.112279 # DEPENDENCYPART_SIBL
(0,3),(0,16),-0.13484 # DEPENDENCYPART_SIBL
(0,3),(0,17),0.0509439 # DEPENDENCYPART_SIBL
(0,3),(0,18),-0.0875943 # DEPENDENCYPART_SIBL
(0,3),(0,19),0.0509439 # DEPENDENCYPART_SIBL
(0,3),(0,20),-0.11311 # DEPENDENCYPART_SIBL
(0,3),(0,21),-0.198273 # DEPENDENCYPART_SIBL
(0,3),(0,22),-0.174982 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.0341661 # DEPENDENCYPART_SIBL
(0,4),(0,6),0.168705 # DEPENDENCYPART_SIBL
(0,4),(0,7),-0.0736651 # DEPENDENCYPART_SIBL
(0,4),(0,10),0.0972294 # DEPENDENCYPART_SIBL
(0,4),(0,11),0.122328 # DEPENDENCYPART_SIBL
(0,4),(0,12),0.01128 # DEPENDENCYPART_SIBL
(0,4),(0,13),0.16871 # DEPENDENCYPART_SIBL
(0,4),(0,14),0.16871 # DEPENDENCYPART_SIBL
(0,4),(0,15),0.0108323 # DEPENDENCYPART_SIBL
(0,4),(0,16),-0.0341661 # DEPENDENCYPART_SIBL
(0,4),(0,17),0.16871 # DEPENDENCYPART_SIBL
(0,4),(0,18),-0.0136393 # DEPENDENCYPART_SIBL
(0,4),(0,19),0.16871 # DEPENDENCYPART_SIBL
(0,4),(0,20),0.0107768 # DEPENDENCYPART_SIBL
(0,4),(0,21),-0.0736651 # DEPENDENCYPART_SIBL
(0,4),(0,22),-0.0536542 # DEPENDENCYPART_SIBL
(0,5),(0,6),-0.202325 # DEPENDENCYPART_SIBL
(0,5),(0,7),-0.370046 # DEPENDENCYPART_SIBL
(0,5),(0,10),-0.18141 # DEPENDENCYPART_SIBL
(0,5),(0,11),-0.207845 # DEPENDENCYPART_SIBL
(0,5),(0,12),-0.292581 # DEPENDENCYPART_SIBL
(0,5),(0,13),-0.202026 # DEPENDENCYPART_SIBL
(0,5),(0,14),-0.202026 # DEPENDENCYPART_SIBL
(0,5),(0,15),-0.293028 # DEPENDENCYPART_SIBL
(0,5),(0,16),-0.413823 # DEPENDENCYPART_SIBL
(0,5),(0,17),-0.202026 # DEPENDENCYPART_SIBL
(0,5),(0,18),-0.226163 # DEPENDENCYPART_SIBL
(0,5),(0,19),-0.202026 # DEPENDENCYPART_SIBL
(0,5),(0,20),-0.294379 # DEPENDENCYPART_SIBL
(0,5),(0,21),-0.370046 # DEPENDENCYPART_SIBL
(0,5),(0,22),-0.340789 # DEPENDENCYPART_SIBL
(0,6),(0,7),-0.198278 # DEPENDENCYPART_SIBL
(0,6),(0,10),-0.000528404 # DEPENDENCYPART_SIBL
(0,6),(0,11),0.00196959 # DEPENDENCYPART_SIBL
(0,6),(0,12),-0.11215 # DEPENDENCYPART_SIBL
(0,6),(0,13),0.0509218 # DEPENDENCYPART_SIBL
(0,6),(0,14),0.0509218 # DEPENDENCYPART_SIBL
(0,6),(0,15),-0.112598 # DEPENDENCYPART_SIBL
(0,6),(0,16),-0.134845 # DEPENDENCYPART_SIBL
(0,6),(0,17),0.0509218 # DEPENDENCYPART_SIBL
(0,6),(0,18),-0.0875992 # DEPENDENCYPART_SIBL
(0,6),(0,19),0.0509218 # DEPENDENCYPART_SIBL
(0,6),(0,20),-0.11343 # DEPENDENCYPART_SIBL
(0,6),(0,21),-0.198278 # DEPENDENCYPART_SIBL
(0,6),(0,22),-0.174987 # DEPENDENCYPART_SIBL
(0,7),(0,10),-0.0216907 # DEPENDENCYPART_SIBL
(0,7),(0,11),-0.0746851 # DEPENDENCYPART_SIBL
(0,7),(0,12),-0.0437741 # DEPENDENCYPART_SIBL
(0,7),(0,13),-0.133324 # DEPENDENCYPART_SIBL
(0,7),(0,14),-0.133324 # DEPENDENCYPART_SIBL
(0,7),(0,15),-0.0442218 # DEPENDENCYPART_SIBL
(0,7),(0,16),-0.216774 # DEPENDENCYPART_SIBL
(0,7),(0,17),-0.133324 # DEPENDENCYPART_SIBL
(0,7),(0,18),-0.231979 # DEPENDENCYPART_SIBL
(0,7),(0,19),-0.133324 # DEPENDENCYPART_SIBL
(0,7),(0,20),-0.0454244 # DEPENDENCYPART_SIBL
(0,7),(0,21),-0.181443 # DEPENDENCYPART_SIBL
(0,7),(0,22),-0.161528 # DEPENDENCYPART_SIBL
(0,10),(0,11),-0.0190863 # DEPENDENCYPART_SIBL
(0,10),(0,12),-0.131813 # DEPENDENCYPART_SIBL
(0,10),(0,13),-0.0242551 # DEPENDENCYPART_SIBL
(0,10),(0,14),-0.0242551 # DEPENDENCYPART_SIBL
(0,10),(0,15),-0.13226 # DEPENDENCYPART_SIBL
(0,10),(0,16),-0.140558 # DEPENDENCYPART_SIBL
(0,10),(0,17),-0.0242551 # DEPENDENCYPART_SIBL
(0,10),(0,18),-0.0822281 # DEPENDENCYPART_SIBL
(0,10),(0,19),-0.0242551 # DEPENDENCYPART_SIBL
(0,10),(0,20),-0.132341 # DEPENDENCYPART_SIBL
(0,10),(0,21),-0.163496 # DEPENDENCYPART_SIBL
(0,10),(0,22),-0.146399 # DEPENDENCYPART_SIBL
(0,11),(0,12),-0.0069506 # DEPENDENCYPART_SIBL
(0,11),(0,13),0.0581365 # DEPENDENCYPART_SIBL
(0,11),(0,14),0.0581365 # DEPENDENCYPART_SIBL
(0,11),(0,15),-0.0073983 # DEPENDENCYPART_SIBL
(0,11),(0,16),0.0606689 # DEPENDENCYPART_SIBL
(0,11),(0,17),0.0581365 # DEPENDENCYPART_SIBL
(0,11),(0,18),-0.00856909 # DEPENDENCYPART_SIBL
(0,11),(0,19),0.0581365 # DEPENDENCYPART_SIBL
(0,11),(0,20),-0.00745345 # DEPENDENCYPART_SIBL
(0,11),(0,21),0.00178411 # DEPENDENCYPART_SIBL
(0,11),(0,22),0.0209936 # DEPENDENCYPART_SIBL
(0,12),(0,13),-0.00562648 # DEPENDENCYPART_SIBL
(0,12),(0,14),-0.00562648 # DEPENDENCYPART_SIBL
(0,12),(0,15),-0.117135 # DEPENDENCYPART_SIBL
(0,12),(0,16),-0.0464638 # DEPENDENCYPART_SIBL
(0,12),(0,17),-0.00562648 # DEPENDENCYPART_SIBL
(0,12),(0,18),-0.126701 # DEPENDENCYPART_SIBL
(0,12),(0,19),-0.00562648 # DEPENDENCYPART_SIBL
(0,12),(0,20),-0.117199 # DEPENDENCYPART_SIBL
(0,12),(0,21),-0.0808919 # DEPENDENCYPART_SIBL
(0,12),(0,22),-0.0693057 # DEPENDENCYPART_SIBL
(0,13),(0,14),0.0509439 # DEPENDENCYPART_SIBL
(0,13),(0,15),-0.112279 # DEPENDENCYPART_SIBL
(0,13),(0,16),-0.13484 # DEPENDENCYPART_SIBL
(0,13),(0,17),0.0509439 # DEPENDENCYPART_SIBL
(0,13),(0,18),-0.0875943 # DEPENDENCYPART_SIBL
(0,13),(0,19),0.0509439 # DEPENDENCYPART_SIBL
(0,13),(0,20),-0.11311 # DEPENDENCYPART_SIBL
(0,13),(0,21),-0.198273 # DEPENDENCYPART_SIBL
(0,13),(0,22),-0.174982 # DEPENDENCYPART_SIBL
(0,14),(0,15),-0.11228 # DEPENDENCYPART_SIBL
(0,14),(0,16),-0.13484 # DEPENDENCYPART_SIBL
(0,14),(0,17),0.0509439 # DEPENDENCYPART_SIBL
(0,14),(0,18),-0.0875943 # DEPENDENCYPART_SIBL
(0,14),(0,19),0.0509439 # DEPENDENCYPART_SIBL
(0,14),(0,20),-0.113112 # DEPENDENCYPART_SIBL
(0,14),(0,21),-0.198273 # DEPENDENCYPART_SIBL
(0,14),(0,22),-0.174982 # DEPENDENCYPART_SIBL
(0,15),(0,16),-0.0464622 # DEPENDENCYPART_SIBL
(0,15),(0,17),-0.00562242 # DEPENDENCYPART_SIBL
(0,15),(0,18),-0.126699 # DEPENDENCYPART_SIBL
(0,15),(0,19),-0.00562242 # DEPENDENCYPART_SIBL
(0,15),(0,20),-0.117198 # DEPENDENCYPART_SIBL
(0,15),(0,21),-0.0808903 # DEPENDENCYPART_SIBL
(0,15),(0,22),-0.0693041 # DEPENDENCYPART_SIBL
(0,16),(0,17),-0.202026 # DEPENDENCYPART_SIBL
(0,16),(0,18),-0.226163 # DEPENDENCYPART_SIBL
(0,16),(0,19),-0.202026 # DEPENDENCYPART_SIBL
(0,16),(0,20),-0.294379 # DEPENDENCYPART_SIBL
(0,16),(0,21),-0.370046 # DEPENDENCYPART_SIBL
(0,16),(0,22),-0.340789 # DEPENDENCYPART_SIBL
(0,17),(0,18),-0.0875943 # DEPENDENCYPART_SIBL
(0,17),(0,19),0.0509439 # DEPENDENCYPART_SIBL
(0,17),(0,20),-0.11311 # DEPENDENCYPART_SIBL
(0,17),(0,21),-0.198273 # DEPENDENCYPART_SIBL
(0,17),(0,22),-0.174982 # DEPENDENCYPART_SIBL
(0,18),(0,19),-0.0223684 # DEPENDENCYPART_SIBL
(0,18),(0,20),-0.0324193 # DEPENDENCYPART_SIBL
(0,18),(0,21),-0.0798852 # DEPENDENCYPART_SIBL
(0,18),(0,22),-0.0473547 # DEPENDENCYPART_SIBL
(0,19),(0,20),-0.11311 # DEPENDENCYPART_SIBL
(0,19),(0,21),-0.198273 # DEPENDENCYPART_SIBL
(0,19),(0,22),-0.174982 # DEPENDENCYPART_SIBL
(0,20),(0,21),-0.0816473 # DEPENDENCYPART_SIBL
(0,20),(0,22),-0.0700611 # DEPENDENCYPART_SIBL
(0,21),(0,22),-0.161528 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.00651101 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.00977256 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0477253 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.0780772 # DEPENDENCYPART_SIBL
(3,1),(3,6),3.90953e-05 # DEPENDENCYPART_SIBL
(3,1),(3,10),-0.1081 # DEPENDENCYPART_SIBL
(3,1),(3,12),0.0289913 # DEPENDENCYPART_SIBL
(3,1),(3,18),0.0110199 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0262704 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.0232154 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0109981 # DEPENDENCYPART_SIBL
(3,2),(3,10),-0.0376144 # DEPENDENCYPART_SIBL
(3,2),(3,12),-0.000200097 # DEPENDENCYPART_SIBL
(3,2),(3,18),0.015405 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.108005 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.0286793 # DEPENDENCYPART_SIBL
(3,4),(3,10),0.011657 # DEPENDENCYPART_SIBL
(3,4),(3,12),-0.0194771 # DEPENDENCYPART_SIBL
(3,4),(3,18),-0.00121112 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.05021 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.110341 # DEPENDENCYPART_SIBL
(3,5),(3,12),-0.0372475 # DEPENDENCYPART_SIBL
(3,5),(3,18),-0.0281902 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.0305643 # DEPENDENCYPART_SIBL
(3,6),(3,12),-0.0361815 # DEPENDENCYPART_SIBL
(3,6),(3,18),-0.00858012 # DEPENDENCYPART_SIBL
(3,10),(3,12),-0.0961549 # DEPENDENCYPART_SIBL
(3,10),(3,18),-0.0209668 # DEPENDENCYPART_SIBL
(3,12),(3,18),-0.00793982 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.194813 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.0293742 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.0312245 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0923377 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.0920446 # DEPENDENCYPART_SIBL
(4,6),(4,9),0.00407649 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.0117411 # DEPENDENCYPART_SIBL
(5,1),(5,6),0.291033 # DEPENDENCYPART_SIBL
(5,1),(5,10),-0.0086675 # DEPENDENCYPART_SIBL
(5,1),(5,12),0.159113 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.287123 # DEPENDENCYPART_SIBL
(5,3),(5,10),-0.0063174 # DEPENDENCYPART_SIBL
(5,3),(5,12),0.154408 # DEPENDENCYPART_SIBL
(5,6),(5,10),0.0147382 # DEPENDENCYPART_SIBL
(5,6),(5,12),-0.016133 # DEPENDENCYPART_SIBL
(5,10),(5,12),-0.0434837 # DEPENDENCYPART_SIBL
(6,1),(6,3),-0.0140169 # DEPENDENCYPART_SIBL
(6,1),(6,4),0.0158052 # DEPENDENCYPART_SIBL
(6,1),(6,5),-0.0256534 # DEPENDENCYPART_SIBL
(6,1),(6,7),0.121855 # DEPENDENCYPART_SIBL
(6,1),(6,8),0.00210186 # DEPENDENCYPART_SIBL
(6,1),(6,9),0.00210186 # DEPENDENCYPART_SIBL
(6,1),(6,10),-0.108181 # DEPENDENCYPART_SIBL
(6,1),(6,12),0.0287459 # DEPENDENCYPART_SIBL
(6,1),(6,13),0.00210186 # DEPENDENCYPART_SIBL
(6,1),(6,15),0.0294187 # DEPENDENCYPART_SIBL
(6,1),(6,18),0.0109381 # DEPENDENCYPART_SIBL
(6,1),(6,20),0.0311969 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.015868 # DEPENDENCYPART_SIBL
(6,3),(6,5),-0.0259502 # DEPENDENCYPART_SIBL
(6,3),(6,7),0.103579 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.00629256 # DEPENDENCYPART_SIBL
(6,3),(6,9),-0.00629256 # DEPENDENCYPART_SIBL
(6,3),(6,10),-0.108264 # DEPENDENCYPART_SIBL
(6,3),(6,12),0.0197578 # DEPENDENCYPART_SIBL
(6,3),(6,13),-0.00629256 # DEPENDENCYPART_SIBL
(6,3),(6,15),0.0204306 # DEPENDENCYPART_SIBL
(6,3),(6,18),0.00703293 # DEPENDENCYPART_SIBL
(6,3),(6,20),0.0222088 # DEPENDENCYPART_SIBL
(6,4),(6,5),-0.0164205 # DEPENDENCYPART_SIBL
(6,4),(6,7),0.0401684 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.0328098 # DEPENDENCYPART_SIBL
(6,4),(6,9),-0.0328098 # DEPENDENCYPART_SIBL
(6,4),(6,10),-0.0386612 # DEPENDENCYPART_SIBL
(6,4),(6,12),0.0331913 # DEPENDENCYPART_SIBL
(6,4),(6,13),-0.0328098 # DEPENDENCYPART_SIBL
(6,4),(6,15),0.0331913 # DEPENDENCYPART_SIBL
(6,4),(6,18),0.0210822 # DEPENDENCYPART_SIBL
(6,4),(6,20),0.0324586 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.0351706 # DEPENDENCYPART_SIBL
(6,5),(6,8),-0.0565879 # DEPENDENCYPART_SIBL
(6,5),(6,9),-0.0565879 # DEPENDENCYPART_SIBL
(6,5),(6,10),-0.0641449 # DEPENDENCYPART_SIBL
(6,5),(6,12),-0.0378882 # DEPENDENCYPART_SIBL
(6,5),(6,13),-0.0565879 # DEPENDENCYPART_SIBL
(6,5),(6,15),-0.0378882 # DEPENDENCYPART_SIBL
(6,5),(6,18),-0.0346001 # DEPENDENCYPART_SIBL
(6,5),(6,20),-0.0384523 # DEPENDENCYPART_SIBL
(6,7),(6,8),-0.0234151 # DEPENDENCYPART_SIBL
(6,7),(6,9),-0.0234151 # DEPENDENCYPART_SIBL
(6,7),(6,10),-0.0472701 # DEPENDENCYPART_SIBL
(6,7),(6,12),0.0433411 # DEPENDENCYPART_SIBL
(6,7),(6,13),-0.0234151 # DEPENDENCYPART_SIBL
