# _root_ plangintzak lan arloan dauden arazoei ez die aurre_egiten , ugtko kidearen ustez , eta ppk estatu mailan duen plangintza jarraitzen duela gehitu zuen .
#goldHeads=8,3,4,5,8,8,8,14,8,11,12,8,12,0,20,17,18,19,20,22,20,14,22,23,
#predictedHeads=8,3,4,5,8,8,8,14,8,11,12,8,12,0,16,17,18,19,20,22,20,14,22,23,
(22,3),-0.754185 # DEPENDENCYPART_ARC
(22,4),-1.01373 # DEPENDENCYPART_ARC
(22,5),-0.864132 # DEPENDENCYPART_ARC
(22,8),-0.968784 # DEPENDENCYPART_ARC
(22,9),-1.66893 # DEPENDENCYPART_ARC
(22,10),-1.43645 # DEPENDENCYPART_ARC
(22,11),-1.34116 # DEPENDENCYPART_ARC
(22,12),-0.613452 # DEPENDENCYPART_ARC
(22,13),-1.63899 # DEPENDENCYPART_ARC
(22,14),-0.457316 # DEPENDENCYPART_ARC
(22,15),0.167107 # DEPENDENCYPART_ARC
(22,16),-0.828828 # DEPENDENCYPART_ARC
(22,17),0.108893 # DEPENDENCYPART_ARC
(22,18),-0.565199 # DEPENDENCYPART_ARC
(22,19),0.140675 # DEPENDENCYPART_ARC
(22,20),0.328228 # DEPENDENCYPART_ARC
(22,21),0.120017 # DEPENDENCYPART_ARC
(22,23),1.24236 # DEPENDENCYPART_ARC
(22,24),-0.33606 # DEPENDENCYPART_ARC
(23,19),-1.19113 # DEPENDENCYPART_ARC
(23,20),-2.10733 # DEPENDENCYPART_ARC
(23,24),1.54983 # DEPENDENCYPART_ARC
(0,1),(0,2),0.0672464 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.0321082 # DEPENDENCYPART_SIBL
(0,1),(0,5),0.0509107 # DEPENDENCYPART_SIBL
(0,1),(0,6),0.0553111 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.0592134 # DEPENDENCYPART_SIBL
(0,1),(0,8),-0.112357 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.134853 # DEPENDENCYPART_SIBL
(0,1),(0,13),-0.134853 # DEPENDENCYPART_SIBL
(0,1),(0,14),-0.0876076 # DEPENDENCYPART_SIBL
(0,1),(0,18),0.0139486 # DEPENDENCYPART_SIBL
(0,1),(0,19),0.0506083 # DEPENDENCYPART_SIBL
(0,1),(0,20),-0.0963397 # DEPENDENCYPART_SIBL
(0,1),(0,21),-0.0671522 # DEPENDENCYPART_SIBL
(0,1),(0,22),-0.107687 # DEPENDENCYPART_SIBL
(0,1),(0,23),-0.0809108 # DEPENDENCYPART_SIBL
(0,1),(0,24),-0.174996 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.0410256 # DEPENDENCYPART_SIBL
(0,2),(0,5),0.0300945 # DEPENDENCYPART_SIBL
(0,2),(0,6),0.0463937 # DEPENDENCYPART_SIBL
(0,2),(0,7),-0.0681307 # DEPENDENCYPART_SIBL
(0,2),(0,8),-0.121275 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.143771 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.143771 # DEPENDENCYPART_SIBL
(0,2),(0,14),-0.0968196 # DEPENDENCYPART_SIBL
(0,2),(0,18),0.00503129 # DEPENDENCYPART_SIBL
(0,2),(0,19),0.0297921 # DEPENDENCYPART_SIBL
(0,2),(0,20),-0.105258 # DEPENDENCYPART_SIBL
(0,2),(0,21),-0.0760696 # DEPENDENCYPART_SIBL
(0,2),(0,22),-0.116605 # DEPENDENCYPART_SIBL
(0,2),(0,23),-0.0898282 # DEPENDENCYPART_SIBL
(0,2),(0,24),-0.183913 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.0278472 # DEPENDENCYPART_SIBL
(0,4),(0,6),-0.0296599 # DEPENDENCYPART_SIBL
(0,4),(0,7),-0.0701389 # DEPENDENCYPART_SIBL
(0,4),(0,8),-0.178721 # DEPENDENCYPART_SIBL
(0,4),(0,9),-0.0768523 # DEPENDENCYPART_SIBL
(0,4),(0,13),-0.0768523 # DEPENDENCYPART_SIBL
(0,4),(0,14),-0.0820522 # DEPENDENCYPART_SIBL
(0,4),(0,18),-0.0372181 # DEPENDENCYPART_SIBL
(0,4),(0,19),-0.0279402 # DEPENDENCYPART_SIBL
(0,4),(0,20),-0.161934 # DEPENDENCYPART_SIBL
(0,4),(0,21),-0.0740395 # DEPENDENCYPART_SIBL
(0,4),(0,22),-0.177184 # DEPENDENCYPART_SIBL
(0,4),(0,23),-0.0840501 # DEPENDENCYPART_SIBL
(0,4),(0,24),-0.106719 # DEPENDENCYPART_SIBL
(0,5),(0,6),0.0553243 # DEPENDENCYPART_SIBL
(0,5),(0,7),-0.0592001 # DEPENDENCYPART_SIBL
(0,5),(0,8),-0.112343 # DEPENDENCYPART_SIBL
(0,5),(0,9),-0.13484 # DEPENDENCYPART_SIBL
(0,5),(0,13),-0.13484 # DEPENDENCYPART_SIBL
(0,5),(0,14),-0.0875943 # DEPENDENCYPART_SIBL
(0,5),(0,18),0.0139619 # DEPENDENCYPART_SIBL
(0,5),(0,19),0.0506415 # DEPENDENCYPART_SIBL
(0,5),(0,20),-0.0963264 # DEPENDENCYPART_SIBL
(0,5),(0,21),-0.067139 # DEPENDENCYPART_SIBL
(0,5),(0,22),-0.107674 # DEPENDENCYPART_SIBL
(0,5),(0,23),-0.0808976 # DEPENDENCYPART_SIBL
(0,5),(0,24),-0.174982 # DEPENDENCYPART_SIBL
(0,6),(0,7),-0.042157 # DEPENDENCYPART_SIBL
(0,6),(0,8),-0.0926518 # DEPENDENCYPART_SIBL
(0,6),(0,9),-0.0841936 # DEPENDENCYPART_SIBL
(0,6),(0,13),-0.0841936 # DEPENDENCYPART_SIBL
(0,6),(0,14),-0.106674 # DEPENDENCYPART_SIBL
(0,6),(0,18),0.00522365 # DEPENDENCYPART_SIBL
(0,6),(0,19),0.0105623 # DEPENDENCYPART_SIBL
(0,6),(0,20),-0.0802807 # DEPENDENCYPART_SIBL
(0,6),(0,21),-0.0465462 # DEPENDENCYPART_SIBL
(0,6),(0,22),-0.0879549 # DEPENDENCYPART_SIBL
(0,6),(0,23),-0.0593763 # DEPENDENCYPART_SIBL
(0,6),(0,24),-0.0912671 # DEPENDENCYPART_SIBL
(0,7),(0,8),-0.0139047 # DEPENDENCYPART_SIBL
(0,7),(0,9),-0.0728406 # DEPENDENCYPART_SIBL
(0,7),(0,13),-0.0728406 # DEPENDENCYPART_SIBL
(0,7),(0,14),-0.0350853 # DEPENDENCYPART_SIBL
(0,7),(0,18),0.0544194 # DEPENDENCYPART_SIBL
(0,7),(0,19),0.0137124 # DEPENDENCYPART_SIBL
(0,7),(0,20),-0.00913255 # DEPENDENCYPART_SIBL
(0,7),(0,21),-0.103594 # DEPENDENCYPART_SIBL
(0,7),(0,22),-0.00925076 # DEPENDENCYPART_SIBL
(0,7),(0,23),-0.107296 # DEPENDENCYPART_SIBL
(0,7),(0,24),-0.0816248 # DEPENDENCYPART_SIBL
(0,8),(0,9),-0.0465316 # DEPENDENCYPART_SIBL
(0,8),(0,13),-0.0465316 # DEPENDENCYPART_SIBL
(0,8),(0,14),-0.126769 # DEPENDENCYPART_SIBL
(0,8),(0,18),0.0412831 # DEPENDENCYPART_SIBL
(0,8),(0,19),-0.00592307 # DEPENDENCYPART_SIBL
(0,8),(0,20),-0.0975007 # DEPENDENCYPART_SIBL
(0,8),(0,21),0.0128047 # DEPENDENCYPART_SIBL
(0,8),(0,22),-0.112821 # DEPENDENCYPART_SIBL
(0,8),(0,23),0.000419512 # DEPENDENCYPART_SIBL
(0,8),(0,24),-0.0693734 # DEPENDENCYPART_SIBL
(0,9),(0,13),-0.413823 # DEPENDENCYPART_SIBL
(0,9),(0,14),-0.226163 # DEPENDENCYPART_SIBL
(0,9),(0,18),-0.113486 # DEPENDENCYPART_SIBL
(0,9),(0,19),-0.202118 # DEPENDENCYPART_SIBL
(0,9),(0,20),-0.281751 # DEPENDENCYPART_SIBL
(0,9),(0,21),-0.198185 # DEPENDENCYPART_SIBL
(0,9),(0,22),-0.282222 # DEPENDENCYPART_SIBL
(0,9),(0,23),-0.231843 # DEPENDENCYPART_SIBL
(0,9),(0,24),-0.340789 # DEPENDENCYPART_SIBL
(0,13),(0,14),-0.226163 # DEPENDENCYPART_SIBL
(0,13),(0,18),-0.113486 # DEPENDENCYPART_SIBL
(0,13),(0,19),-0.202118 # DEPENDENCYPART_SIBL
(0,13),(0,20),-0.281751 # DEPENDENCYPART_SIBL
(0,13),(0,21),-0.198185 # DEPENDENCYPART_SIBL
(0,13),(0,22),-0.282222 # DEPENDENCYPART_SIBL
(0,13),(0,23),-0.231843 # DEPENDENCYPART_SIBL
(0,13),(0,24),-0.340789 # DEPENDENCYPART_SIBL
(0,14),(0,18),0.0111671 # DEPENDENCYPART_SIBL
(0,14),(0,19),-0.0224758 # DEPENDENCYPART_SIBL
(0,14),(0,20),0.000531509 # DEPENDENCYPART_SIBL
(0,14),(0,21),-0.0107449 # DEPENDENCYPART_SIBL
(0,14),(0,22),-0.0244968 # DEPENDENCYPART_SIBL
(0,14),(0,23),-0.0263214 # DEPENDENCYPART_SIBL
(0,14),(0,24),-0.0473547 # DEPENDENCYPART_SIBL
(0,18),(0,19),-0.0614189 # DEPENDENCYPART_SIBL
(0,18),(0,20),-0.184903 # DEPENDENCYPART_SIBL
(0,18),(0,21),-0.0841074 # DEPENDENCYPART_SIBL
(0,18),(0,22),-0.200153 # DEPENDENCYPART_SIBL
(0,18),(0,23),-0.0929992 # DEPENDENCYPART_SIBL
(0,18),(0,24),-0.115671 # DEPENDENCYPART_SIBL
(0,19),(0,20),-0.0935843 # DEPENDENCYPART_SIBL
(0,19),(0,21),-0.0671702 # DEPENDENCYPART_SIBL
(0,19),(0,22),-0.104932 # DEPENDENCYPART_SIBL
(0,19),(0,23),-0.0809288 # DEPENDENCYPART_SIBL
(0,19),(0,24),-0.175007 # DEPENDENCYPART_SIBL
(0,20),(0,21),0.0168534 # DEPENDENCYPART_SIBL
(0,20),(0,22),-0.0984342 # DEPENDENCYPART_SIBL
(0,20),(0,23),0.00387799 # DEPENDENCYPART_SIBL
(0,20),(0,24),-0.0630204 # DEPENDENCYPART_SIBL
(0,21),(0,22),-0.0316812 # DEPENDENCYPART_SIBL
(0,21),(0,23),-0.122099 # DEPENDENCYPART_SIBL
(0,21),(0,24),-0.0992354 # DEPENDENCYPART_SIBL
(0,22),(0,23),-7.21085e-05 # DEPENDENCYPART_SIBL
(0,22),(0,24),-0.069433 # DEPENDENCYPART_SIBL
(0,23),(0,24),-0.114021 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0114982 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.00257106 # DEPENDENCYPART_SIBL
(1,3),(1,7),-0.00304711 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0231687 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.0496176 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.00307166 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0263142 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.00200799 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.00298112 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.0100211 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.0543734 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.00184642 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0124051 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0101827 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.0452159 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.00115213 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.00334406 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0087512 # DEPENDENCYPART_SIBL
(3,5),(3,6),0.0449856 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.00250776 # DEPENDENCYPART_SIBL
(3,6),(3,7),0.00557816 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.0900428 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.0853469 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.00763239 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.00743618 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.0182491 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.00807735 # DEPENDENCYPART_SIBL
(4,1),(4,11),-0.00728951 # DEPENDENCYPART_SIBL
(4,1),(4,12),-0.0225563 # DEPENDENCYPART_SIBL
(4,1),(4,14),-0.0157281 # DEPENDENCYPART_SIBL
(4,1),(4,16),-0.00580469 # DEPENDENCYPART_SIBL
(4,1),(4,17),-0.0180892 # DEPENDENCYPART_SIBL
(4,1),(4,18),-0.00253557 # DEPENDENCYPART_SIBL
(4,1),(4,19),-0.00757682 # DEPENDENCYPART_SIBL
(4,1),(4,20),-0.00230799 # DEPENDENCYPART_SIBL
(4,1),(4,22),-0.0178096 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.0897015 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0108171 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.00513955 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.0122492 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.00367378 # DEPENDENCYPART_SIBL
(4,2),(4,11),-0.0104743 # DEPENDENCYPART_SIBL
(4,2),(4,12),-0.0257411 # DEPENDENCYPART_SIBL
(4,2),(4,14),-0.00986164 # DEPENDENCYPART_SIBL
(4,2),(4,16),-0.00898944 # DEPENDENCYPART_SIBL
(4,2),(4,17),-0.0212739 # DEPENDENCYPART_SIBL
(4,2),(4,18),-0.000238942 # DEPENDENCYPART_SIBL
(4,2),(4,19),-0.0107616 # DEPENDENCYPART_SIBL
(4,2),(4,20),0.00209558 # DEPENDENCYPART_SIBL
(4,2),(4,22),-0.013406 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.00500099 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.00316639 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.0239319 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.00393934 # DEPENDENCYPART_SIBL
(4,3),(4,11),-0.00465811 # DEPENDENCYPART_SIBL
(4,3),(4,12),-0.0199249 # DEPENDENCYPART_SIBL
(4,3),(4,14),-0.011459 # DEPENDENCYPART_SIBL
(4,3),(4,16),-0.00317329 # DEPENDENCYPART_SIBL
(4,3),(4,17),-0.0154578 # DEPENDENCYPART_SIBL
(4,3),(4,18),0.00173421 # DEPENDENCYPART_SIBL
(4,3),(4,19),-0.00494542 # DEPENDENCYPART_SIBL
(4,3),(4,20),0.00183001 # DEPENDENCYPART_SIBL
(4,3),(4,22),-0.0136716 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.00834299 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.00383145 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.00496041 # DEPENDENCYPART_SIBL
(4,5),(4,11),-0.0108075 # DEPENDENCYPART_SIBL
(4,5),(4,12),-0.0175924 # DEPENDENCYPART_SIBL
(4,5),(4,14),-0.0250695 # DEPENDENCYPART_SIBL
(4,5),(4,16),-0.0109837 # DEPENDENCYPART_SIBL
(4,5),(4,17),-0.0100435 # DEPENDENCYPART_SIBL
(4,5),(4,18),0.00595465 # DEPENDENCYPART_SIBL
(4,5),(4,19),-0.0113087 # DEPENDENCYPART_SIBL
(4,5),(4,20),0.010892 # DEPENDENCYPART_SIBL
(4,5),(4,22),-0.00569207 # DEPENDENCYPART_SIBL
(4,6),(4,7),0.0153632 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.0298331 # DEPENDENCYPART_SIBL
(4,6),(4,11),0.00454349 # DEPENDENCYPART_SIBL
(4,6),(4,12),0.00454144 # DEPENDENCYPART_SIBL
(4,6),(4,14),0.00819904 # DEPENDENCYPART_SIBL
(4,6),(4,16),0.00454349 # DEPENDENCYPART_SIBL
(4,6),(4,17),0.00205163 # DEPENDENCYPART_SIBL
(4,6),(4,18),0.000552074 # DEPENDENCYPART_SIBL
(4,6),(4,19),0.00430789 # DEPENDENCYPART_SIBL
(4,6),(4,20),-0.0249729 # DEPENDENCYPART_SIBL
(4,6),(4,22),-0.0305304 # DEPENDENCYPART_SIBL
