# _root_ era_berean , astrologiak egokitzat adierazitako egunetan pertsona ugarik betetzen ditu bere egin beharrak , zientzia horren ezagutza izpirik eduki gabe .
#goldHeads=0,1,5,5,6,9,9,7,0,9,12,9,12,13,17,15,19,17,9,19,20,
#predictedHeads=9,1,5,5,6,9,9,7,0,9,12,13,9,13,18,15,18,19,9,19,20,
(3,19),-1.68562 # DEPENDENCYPART_ARC
(4,1),-0.762592 # DEPENDENCYPART_ARC
(4,3),-0.017328 # DEPENDENCYPART_ARC
(4,8),-1.06001 # DEPENDENCYPART_ARC
(5,1),-0.212278 # DEPENDENCYPART_ARC
(5,2),-1.19893 # DEPENDENCYPART_ARC
(5,3),1.42768 # DEPENDENCYPART_ARC
(5,4),0.83122 # DEPENDENCYPART_ARC
(5,6),-0.641131 # DEPENDENCYPART_ARC
(5,7),-0.694289 # DEPENDENCYPART_ARC
(5,9),-0.999446 # DEPENDENCYPART_ARC
(5,10),-1.46803 # DEPENDENCYPART_ARC
(5,12),-0.556325 # DEPENDENCYPART_ARC
(5,13),-2.29428 # DEPENDENCYPART_ARC
(5,14),-0.947784 # DEPENDENCYPART_ARC
(5,15),-1.95336 # DEPENDENCYPART_ARC
(5,19),-0.74869 # DEPENDENCYPART_ARC
(6,1),-1.35108 # DEPENDENCYPART_ARC
(6,2),-1.33088 # DEPENDENCYPART_ARC
(6,3),-2.43097 # DEPENDENCYPART_ARC
(6,4),-1.09393 # DEPENDENCYPART_ARC
(6,5),2.11603 # DEPENDENCYPART_ARC
(6,7),-0.721615 # DEPENDENCYPART_ARC
(6,8),-1.58266 # DEPENDENCYPART_ARC
(6,10),-2.13851 # DEPENDENCYPART_ARC
(6,11),-2.21842 # DEPENDENCYPART_ARC
(7,1),-1.0887 # DEPENDENCYPART_ARC
(7,2),-1.67015 # DEPENDENCYPART_ARC
(7,3),-1.13144 # DEPENDENCYPART_ARC
(7,4),-1.12253 # DEPENDENCYPART_ARC
(7,5),0.231437 # DEPENDENCYPART_ARC
(7,6),0.544523 # DEPENDENCYPART_ARC
(7,8),1.72402 # DEPENDENCYPART_ARC
(7,9),-0.647621 # DEPENDENCYPART_ARC
(7,10),-0.927917 # DEPENDENCYPART_ARC
(7,11),-0.380384 # DEPENDENCYPART_ARC
(7,12),-0.852493 # DEPENDENCYPART_ARC
(7,13),-0.551325 # DEPENDENCYPART_ARC
(7,15),-0.793494 # DEPENDENCYPART_ARC
(7,17),-0.749682 # DEPENDENCYPART_ARC
(7,18),-0.459623 # DEPENDENCYPART_ARC
(7,19),-0.680644 # DEPENDENCYPART_ARC
(8,1),-0.86162 # DEPENDENCYPART_ARC
(8,3),-0.878772 # DEPENDENCYPART_ARC
(8,6),-0.171547 # DEPENDENCYPART_ARC
(8,7),-0.344935 # DEPENDENCYPART_ARC
(8,9),-0.264193 # DEPENDENCYPART_ARC
(9,1),-0.099336 # DEPENDENCYPART_ARC
(9,2),-1.48206 # DEPENDENCYPART_ARC
(9,3),0.822009 # DEPENDENCYPART_ARC
(9,4),-0.560626 # DEPENDENCYPART_ARC
(9,5),-0.684887 # DEPENDENCYPART_ARC
(9,6),0.968073 # DEPENDENCYPART_ARC
(9,7),0.929498 # DEPENDENCYPART_ARC
(9,8),0.950666 # DEPENDENCYPART_ARC
(9,10),1.03204 # DEPENDENCYPART_ARC
(9,11),-0.553145 # DEPENDENCYPART_ARC
(9,12),-0.232539 # DEPENDENCYPART_ARC
(9,13),-0.232449 # DEPENDENCYPART_ARC
(9,14),-0.715907 # DEPENDENCYPART_ARC
(9,15),-1.23012 # DEPENDENCYPART_ARC
(9,17),-1.2638 # DEPENDENCYPART_ARC
(9,18),-1.1361 # DEPENDENCYPART_ARC
(9,19),-0.573983 # DEPENDENCYPART_ARC
(9,20),-1.18535 # DEPENDENCYPART_ARC
(10,6),-0.54778 # DEPENDENCYPART_ARC
(10,7),-0.744744 # DEPENDENCYPART_ARC
(10,8),-0.769069 # DEPENDENCYPART_ARC
(10,12),-1.1078 # DEPENDENCYPART_ARC
(12,1),-0.494478 # DEPENDENCYPART_ARC
(12,2),-1.61718 # DEPENDENCYPART_ARC
(12,3),0.200446 # DEPENDENCYPART_ARC
(12,4),-0.831799 # DEPENDENCYPART_ARC
(12,5),-1.12477 # DEPENDENCYPART_ARC
(12,6),0.0133343 # DEPENDENCYPART_ARC
(12,7),-0.102769 # DEPENDENCYPART_ARC
(12,8),-0.445454 # DEPENDENCYPART_ARC
(12,9),-0.448215 # DEPENDENCYPART_ARC
(12,10),-0.628373 # DEPENDENCYPART_ARC
(12,11),0.154055 # DEPENDENCYPART_ARC
(12,13),0.576539 # DEPENDENCYPART_ARC
(12,14),-0.495215 # DEPENDENCYPART_ARC
(12,15),-1.13668 # DEPENDENCYPART_ARC
(12,17),-1.25538 # DEPENDENCYPART_ARC
(12,18),-1.20331 # DEPENDENCYPART_ARC
(12,19),-0.575048 # DEPENDENCYPART_ARC
(12,20),-1.46974 # DEPENDENCYPART_ARC
(13,4),-1.9241 # DEPENDENCYPART_ARC
(13,6),-2.08321 # DEPENDENCYPART_ARC
(13,7),-0.647231 # DEPENDENCYPART_ARC
(13,8),-2.51271 # DEPENDENCYPART_ARC
(13,9),-0.78672 # DEPENDENCYPART_ARC
(13,11),-0.214211 # DEPENDENCYPART_ARC
(13,12),1.3267 # DEPENDENCYPART_ARC
(13,14),1.12215 # DEPENDENCYPART_ARC
(13,15),-0.926675 # DEPENDENCYPART_ARC
(13,16),-0.896059 # DEPENDENCYPART_ARC
(13,17),-0.863353 # DEPENDENCYPART_ARC
(13,18),-1.29171 # DEPENDENCYPART_ARC
(13,19),-1.12739 # DEPENDENCYPART_ARC
(13,20),-0.799568 # DEPENDENCYPART_ARC
(13,21),-1.05935 # DEPENDENCYPART_ARC
(14,9),-1.23057 # DEPENDENCYPART_ARC
(14,10),-1.42387 # DEPENDENCYPART_ARC
(14,12),-0.882303 # DEPENDENCYPART_ARC
(14,15),-0.581698 # DEPENDENCYPART_ARC
(14,19),-1.10684 # DEPENDENCYPART_ARC
(15,12),-0.934983 # DEPENDENCYPART_ARC
(15,13),-1.3085 # DEPENDENCYPART_ARC
(15,14),-0.398732 # DEPENDENCYPART_ARC
(15,16),1.85049 # DEPENDENCYPART_ARC
(15,17),-0.776016 # DEPENDENCYPART_ARC
(15,18),-0.65001 # DEPENDENCYPART_ARC
(15,20),-0.941306 # DEPENDENCYPART_ARC
(15,21),-1.23195 # DEPENDENCYPART_ARC
(16,12),-0.992632 # DEPENDENCYPART_ARC
(16,17),-0.284303 # DEPENDENCYPART_ARC
(16,18),-0.99878 # DEPENDENCYPART_ARC
(17,13),-1.1641 # DEPENDENCYPART_ARC
(17,14),-1.45086 # DEPENDENCYPART_ARC
(17,15),-0.304275 # DEPENDENCYPART_ARC
(17,16),0.3532 # DEPENDENCYPART_ARC
(17,18),0.328836 # DEPENDENCYPART_ARC
(17,20),-0.771148 # DEPENDENCYPART_ARC
(17,21),-1.03768 # DEPENDENCYPART_ARC
(18,9),-1.66512 # DEPENDENCYPART_ARC
(18,13),-2.28553 # DEPENDENCYPART_ARC
(18,14),-1.47261 # DEPENDENCYPART_ARC
(18,15),-0.446115 # DEPENDENCYPART_ARC
(18,16),-0.74823 # DEPENDENCYPART_ARC
(18,17),0.902252 # DEPENDENCYPART_ARC
(18,19),-0.171791 # DEPENDENCYPART_ARC
(18,20),-0.443983 # DEPENDENCYPART_ARC
(18,21),-0.902154 # DEPENDENCYPART_ARC
(19,1),-0.41337 # DEPENDENCYPART_ARC
(19,3),-0.170125 # DEPENDENCYPART_ARC
(19,4),-1.075 # DEPENDENCYPART_ARC
(19,5),-1.42247 # DEPENDENCYPART_ARC
(19,6),-0.489304 # DEPENDENCYPART_ARC
(19,7),-0.786475 # DEPENDENCYPART_ARC
(19,8),-0.979954 # DEPENDENCYPART_ARC
(19,9),-1.0261 # DEPENDENCYPART_ARC
(19,10),-1.32747 # DEPENDENCYPART_ARC
(19,11),-1.34112 # DEPENDENCYPART_ARC
(19,12),-1.081 # DEPENDENCYPART_ARC
(19,13),-0.444171 # DEPENDENCYPART_ARC
(19,14),-1.75007 # DEPENDENCYPART_ARC
(19,15),-0.0806504 # DEPENDENCYPART_ARC
(19,16),-1.00498 # DEPENDENCYPART_ARC
(19,17),0.214037 # DEPENDENCYPART_ARC
(19,18),1.24235 # DEPENDENCYPART_ARC
(19,20),1.20485 # DEPENDENCYPART_ARC
(19,21),-0.200714 # DEPENDENCYPART_ARC
(20,15),-1.52539 # DEPENDENCYPART_ARC
(20,17),-1.3393 # DEPENDENCYPART_ARC
(20,18),-1.1987 # DEPENDENCYPART_ARC
(20,19),-0.710614 # DEPENDENCYPART_ARC
(20,21),1.41088 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.0361806 # DEPENDENCYPART_SIBL
(0,1),(0,3),0.124058 # DEPENDENCYPART_SIBL
(0,1),(0,4),0.0949293 # DEPENDENCYPART_SIBL
(0,1),(0,5),0.0656609 # DEPENDENCYPART_SIBL
(0,1),(0,6),0.124058 # DEPENDENCYPART_SIBL
(0,1),(0,7),0.123712 # DEPENDENCYPART_SIBL
(0,1),(0,8),0.0949293 # DEPENDENCYPART_SIBL
(0,1),(0,9),0.0581451 # DEPENDENCYPART_SIBL
(0,1),(0,10),-0.021402 # DEPENDENCYPART_SIBL
(0,1),(0,12),0.05907 # DEPENDENCYPART_SIBL
(0,1),(0,13),0.124058 # DEPENDENCYPART_SIBL
(0,1),(0,14),-0.0361806 # DEPENDENCYPART_SIBL
(0,1),(0,16),0.0926582 # DEPENDENCYPART_SIBL
(0,1),(0,17),0.124058 # DEPENDENCYPART_SIBL
(0,1),(0,18),0.124058 # DEPENDENCYPART_SIBL
(0,1),(0,19),0.0957214 # DEPENDENCYPART_SIBL
(0,1),(0,20),0.0127399 # DEPENDENCYPART_SIBL
(0,1),(0,21),-0.0568252 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.202026 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.132739 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.293065 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.202026 # DEPENDENCYPART_SIBL
(0,2),(0,7),-0.202706 # DEPENDENCYPART_SIBL
(0,2),(0,8),-0.132739 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.303816 # DEPENDENCYPART_SIBL
(0,2),(0,10),-0.194092 # DEPENDENCYPART_SIBL
(0,2),(0,12),-0.327759 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.202026 # DEPENDENCYPART_SIBL
(0,2),(0,14),-0.413823 # DEPENDENCYPART_SIBL
(0,2),(0,16),-0.178297 # DEPENDENCYPART_SIBL
(0,2),(0,17),-0.202026 # DEPENDENCYPART_SIBL
(0,2),(0,18),-0.202026 # DEPENDENCYPART_SIBL
(0,2),(0,19),-0.281144 # DEPENDENCYPART_SIBL
(0,2),(0,20),-0.298008 # DEPENDENCYPART_SIBL
(0,2),(0,21),-0.340789 # DEPENDENCYPART_SIBL
(0,3),(0,4),0.0183958 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.112315 # DEPENDENCYPART_SIBL
(0,3),(0,6),0.0509372 # DEPENDENCYPART_SIBL
(0,3),(0,7),0.0503997 # DEPENDENCYPART_SIBL
(0,3),(0,8),0.0183958 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.118017 # DEPENDENCYPART_SIBL
(0,3),(0,10),-0.0705183 # DEPENDENCYPART_SIBL
(0,3),(0,12),-0.15112 # DEPENDENCYPART_SIBL
(0,3),(0,13),0.0509439 # DEPENDENCYPART_SIBL
(0,3),(0,14),-0.13484 # DEPENDENCYPART_SIBL
(0,3),(0,16),0.0151263 # DEPENDENCYPART_SIBL
(0,3),(0,17),0.0509439 # DEPENDENCYPART_SIBL
(0,3),(0,18),0.0509439 # DEPENDENCYPART_SIBL
(0,3),(0,19),-0.100781 # DEPENDENCYPART_SIBL
(0,3),(0,20),0.0169246 # DEPENDENCYPART_SIBL
(0,3),(0,21),-0.174982 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.0983682 # DEPENDENCYPART_SIBL
(0,4),(0,6),-0.00442196 # DEPENDENCYPART_SIBL
(0,4),(0,7),-0.00464627 # DEPENDENCYPART_SIBL
(0,4),(0,8),0.0109805 # DEPENDENCYPART_SIBL
(0,4),(0,9),-0.105858 # DEPENDENCYPART_SIBL
(0,4),(0,10),-0.0398808 # DEPENDENCYPART_SIBL
(0,4),(0,12),-0.11362 # DEPENDENCYPART_SIBL
(0,4),(0,13),-0.00442196 # DEPENDENCYPART_SIBL
(0,4),(0,14),-0.072892 # DEPENDENCYPART_SIBL
(0,4),(0,16),0.0670777 # DEPENDENCYPART_SIBL
(0,4),(0,17),-0.00442196 # DEPENDENCYPART_SIBL
(0,4),(0,18),-0.00442196 # DEPENDENCYPART_SIBL
(0,4),(0,19),-0.0864421 # DEPENDENCYPART_SIBL
(0,4),(0,20),0.00880078 # DEPENDENCYPART_SIBL
(0,4),(0,21),-0.0798058 # DEPENDENCYPART_SIBL
(0,5),(0,6),-0.00562247 # DEPENDENCYPART_SIBL
(0,5),(0,7),-0.00594144 # DEPENDENCYPART_SIBL
(0,5),(0,8),-9.78358e-05 # DEPENDENCYPART_SIBL
(0,5),(0,9),-0.125329 # DEPENDENCYPART_SIBL
(0,5),(0,10),-0.0180783 # DEPENDENCYPART_SIBL
(0,5),(0,12),-0.133654 # DEPENDENCYPART_SIBL
(0,5),(0,13),-0.00562247 # DEPENDENCYPART_SIBL
(0,5),(0,14),-0.0464623 # DEPENDENCYPART_SIBL
(0,5),(0,16),0.0058426 # DEPENDENCYPART_SIBL
(0,5),(0,17),-0.00562247 # DEPENDENCYPART_SIBL
(0,5),(0,18),-0.00562247 # DEPENDENCYPART_SIBL
(0,5),(0,19),-0.105846 # DEPENDENCYPART_SIBL
(0,5),(0,20),-0.0372033 # DEPENDENCYPART_SIBL
(0,5),(0,21),-0.0693041 # DEPENDENCYPART_SIBL
(0,6),(0,7),0.0503802 # DEPENDENCYPART_SIBL
(0,6),(0,8),0.0183955 # DEPENDENCYPART_SIBL
(0,6),(0,9),-0.118023 # DEPENDENCYPART_SIBL
(0,6),(0,10),-0.0705185 # DEPENDENCYPART_SIBL
(0,6),(0,12),-0.151125 # DEPENDENCYPART_SIBL
(0,6),(0,13),0.0509243 # DEPENDENCYPART_SIBL
(0,6),(0,14),-0.13484 # DEPENDENCYPART_SIBL
(0,6),(0,16),0.0151261 # DEPENDENCYPART_SIBL
(0,6),(0,17),0.0509243 # DEPENDENCYPART_SIBL
(0,6),(0,18),0.0509243 # DEPENDENCYPART_SIBL
(0,6),(0,19),-0.100786 # DEPENDENCYPART_SIBL
(0,6),(0,20),0.0169241 # DEPENDENCYPART_SIBL
(0,6),(0,21),-0.174983 # DEPENDENCYPART_SIBL
(0,7),(0,8),0.0180648 # DEPENDENCYPART_SIBL
(0,7),(0,9),-0.118126 # DEPENDENCYPART_SIBL
(0,7),(0,10),-0.070616 # DEPENDENCYPART_SIBL
(0,7),(0,12),-0.151228 # DEPENDENCYPART_SIBL
(0,7),(0,13),0.0507012 # DEPENDENCYPART_SIBL
(0,7),(0,14),-0.134938 # DEPENDENCYPART_SIBL
(0,7),(0,16),0.0144775 # DEPENDENCYPART_SIBL
(0,7),(0,17),0.0507012 # DEPENDENCYPART_SIBL
(0,7),(0,18),0.0507012 # DEPENDENCYPART_SIBL
(0,7),(0,19),-0.100889 # DEPENDENCYPART_SIBL
(0,7),(0,20),0.0165538 # DEPENDENCYPART_SIBL
(0,7),(0,21),-0.17508 # DEPENDENCYPART_SIBL
(0,8),(0,9),-0.105858 # DEPENDENCYPART_SIBL
(0,8),(0,10),-0.0398808 # DEPENDENCYPART_SIBL
(0,8),(0,12),-0.11362 # DEPENDENCYPART_SIBL
(0,8),(0,13),-0.00442196 # DEPENDENCYPART_SIBL
(0,8),(0,14),-0.072892 # DEPENDENCYPART_SIBL
(0,8),(0,16),0.0670777 # DEPENDENCYPART_SIBL
(0,8),(0,17),-0.00442196 # DEPENDENCYPART_SIBL
(0,8),(0,18),-0.00442196 # DEPENDENCYPART_SIBL
(0,8),(0,19),-0.0864421 # DEPENDENCYPART_SIBL
(0,8),(0,20),0.00880078 # DEPENDENCYPART_SIBL
(0,8),(0,21),-0.0798058 # DEPENDENCYPART_SIBL
(0,9),(0,10),-0.0343291 # DEPENDENCYPART_SIBL
(0,9),(0,12),-0.153115 # DEPENDENCYPART_SIBL
(0,9),(0,13),-0.0211326 # DEPENDENCYPART_SIBL
(0,9),(0,14),-0.0814953 # DEPENDENCYPART_SIBL
(0,9),(0,16),-0.00966245 # DEPENDENCYPART_SIBL
(0,9),(0,17),-0.0211326 # DEPENDENCYPART_SIBL
(0,9),(0,18),-0.0211326 # DEPENDENCYPART_SIBL
(0,9),(0,19),-0.125307 # DEPENDENCYPART_SIBL
(0,9),(0,20),-0.0527084 # DEPENDENCYPART_SIBL
(0,9),(0,21),-0.104337 # DEPENDENCYPART_SIBL
(0,10),(0,12),0.0556998 # DEPENDENCYPART_SIBL
(0,10),(0,13),0.0262057 # DEPENDENCYPART_SIBL
(0,10),(0,14),-0.0562659 # DEPENDENCYPART_SIBL
(0,10),(0,16),0.0320269 # DEPENDENCYPART_SIBL
(0,10),(0,17),0.0262057 # DEPENDENCYPART_SIBL
(0,10),(0,18),0.0262057 # DEPENDENCYPART_SIBL
(0,10),(0,19),0.0600701 # DEPENDENCYPART_SIBL
(0,10),(0,20),0.0282688 # DEPENDENCYPART_SIBL
(0,10),(0,21),-0.0631129 # DEPENDENCYPART_SIBL
(0,12),(0,13),-0.0617688 # DEPENDENCYPART_SIBL
(0,12),(0,14),-0.0987916 # DEPENDENCYPART_SIBL
(0,12),(0,16),-0.0513706 # DEPENDENCYPART_SIBL
(0,12),(0,17),-0.0617688 # DEPENDENCYPART_SIBL
(0,12),(0,18),-0.0617688 # DEPENDENCYPART_SIBL
(0,12),(0,19),-0.186056 # DEPENDENCYPART_SIBL
(0,12),(0,20),-0.091718 # DEPENDENCYPART_SIBL
(0,12),(0,21),-0.122823 # DEPENDENCYPART_SIBL
(0,13),(0,14),-0.13484 # DEPENDENCYPART_SIBL
(0,13),(0,16),0.0151263 # DEPENDENCYPART_SIBL
(0,13),(0,17),0.0509439 # DEPENDENCYPART_SIBL
(0,13),(0,18),0.0509439 # DEPENDENCYPART_SIBL
(0,13),(0,19),-0.100781 # DEPENDENCYPART_SIBL
(0,13),(0,20),0.0169246 # DEPENDENCYPART_SIBL
(0,13),(0,21),-0.174982 # DEPENDENCYPART_SIBL
(0,14),(0,16),-0.178297 # DEPENDENCYPART_SIBL
(0,14),(0,17),-0.202026 # DEPENDENCYPART_SIBL
(0,14),(0,18),-0.202026 # DEPENDENCYPART_SIBL
(0,14),(0,19),-0.281144 # DEPENDENCYPART_SIBL
(0,14),(0,20),-0.298008 # DEPENDENCYPART_SIBL
(0,14),(0,21),-0.340789 # DEPENDENCYPART_SIBL
(0,16),(0,17),-0.006185 # DEPENDENCYPART_SIBL
(0,16),(0,18),-0.006185 # DEPENDENCYPART_SIBL
(0,16),(0,19),-0.109282 # DEPENDENCYPART_SIBL
(0,16),(0,20),-0.032239 # DEPENDENCYPART_SIBL
(0,16),(0,21),-0.132805 # DEPENDENCYPART_SIBL
(0,17),(0,18),0.0509438 # DEPENDENCYPART_SIBL
(0,17),(0,19),-0.100781 # DEPENDENCYPART_SIBL
(0,17),(0,20),0.0169246 # DEPENDENCYPART_SIBL
(0,17),(0,21),-0.174982 # DEPENDENCYPART_SIBL
(0,18),(0,19),-0.100781 # DEPENDENCYPART_SIBL
(0,18),(0,20),0.0169246 # DEPENDENCYPART_SIBL
(0,18),(0,21),-0.174982 # DEPENDENCYPART_SIBL
(0,19),(0,20),-0.0372034 # DEPENDENCYPART_SIBL
(0,19),(0,21),-0.0693042 # DEPENDENCYPART_SIBL
(0,20),(0,21),-0.0925101 # DEPENDENCYPART_SIBL
(1,2),(1,20),-0.15432 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.0473212 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.0139731 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.00765789 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.0137163 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0238603 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.0108301 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.027577 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.0238346 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.0238603 # DEPENDENCYPART_SIBL
(3,1),(3,10),-0.00202416 # DEPENDENCYPART_SIBL
(3,1),(3,13),-0.0273555 # DEPENDENCYPART_SIBL
(3,1),(3,19),0.0106017 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0288967 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0374452 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0564958 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.0565885 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.0288967 # DEPENDENCYPART_SIBL
(3,2),(3,10),-0.0225829 # DEPENDENCYPART_SIBL
(3,2),(3,13),-0.0562268 # DEPENDENCYPART_SIBL
(3,2),(3,19),-0.0375138 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0448741 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.00903582 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.00891632 # DEPENDENCYPART_SIBL
(3,4),(3,8),0.00097613 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.00851665 # DEPENDENCYPART_SIBL
(3,4),(3,13),-0.00867562 # DEPENDENCYPART_SIBL
(3,4),(3,19),-0.0448778 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.00674326 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.00681065 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.00150936 # DEPENDENCYPART_SIBL
(3,5),(3,10),0.0194244 # DEPENDENCYPART_SIBL
(3,5),(3,13),-0.00638306 # DEPENDENCYPART_SIBL
(3,5),(3,19),-0.011917 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.00768068 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.00484159 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.00583613 # DEPENDENCYPART_SIBL
(3,6),(3,13),-0.00733173 # DEPENDENCYPART_SIBL
(3,6),(3,19),-0.0362639 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.00506524 # DEPENDENCYPART_SIBL
(3,7),(3,10),-0.00583437 # DEPENDENCYPART_SIBL
(3,7),(3,13),-0.00742557 # DEPENDENCYPART_SIBL
(3,7),(3,19),-0.0362672 # DEPENDENCYPART_SIBL
(3,8),(3,10),-0.00851665 # DEPENDENCYPART_SIBL
(3,8),(3,13),-0.00867562 # DEPENDENCYPART_SIBL
(3,8),(3,19),-0.0448778 # DEPENDENCYPART_SIBL
(3,10),(3,13),0.0284149 # DEPENDENCYPART_SIBL
(3,10),(3,19),0.0348202 # DEPENDENCYPART_SIBL
(3,13),(3,19),-0.0362568 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.00929099 # DEPENDENCYPART_SIBL
(4,1),(4,8),0.0639464 # DEPENDENCYPART_SIBL
(4,3),(4,8),0.0445812 # DEPENDENCYPART_SIBL
(5,1),(5,2),-0.0413417 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.0345744 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.00988932 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.0215688 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.0101739 # DEPENDENCYPART_SIBL
(5,1),(5,9),-0.0355893 # DEPENDENCYPART_SIBL
(5,1),(5,10),-0.0113789 # DEPENDENCYPART_SIBL
(5,1),(5,12),-0.0182599 # DEPENDENCYPART_SIBL
(5,1),(5,13),-0.0215554 # DEPENDENCYPART_SIBL
(5,1),(5,14),-0.0433529 # DEPENDENCYPART_SIBL
(5,1),(5,15),-0.0303049 # DEPENDENCYPART_SIBL
(5,1),(5,19),-0.0302246 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.175876 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.0941344 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.00402308 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.000460296 # DEPENDENCYPART_SIBL
(5,2),(5,9),-0.0165778 # DEPENDENCYPART_SIBL
(5,2),(5,10),0.00927262 # DEPENDENCYPART_SIBL
(5,2),(5,12),-0.0030894 # DEPENDENCYPART_SIBL
(5,2),(5,13),-0.00396223 # DEPENDENCYPART_SIBL
(5,2),(5,14),-0.00549256 # DEPENDENCYPART_SIBL
(5,2),(5,15),-0.00821492 # DEPENDENCYPART_SIBL
(5,2),(5,19),-0.0109673 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.0153535 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.0236253 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.0164673 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.00723019 # DEPENDENCYPART_SIBL
(5,3),(5,10),0.0264838 # DEPENDENCYPART_SIBL
(5,3),(5,12),0.0506787 # DEPENDENCYPART_SIBL
(5,3),(5,13),-0.0234223 # DEPENDENCYPART_SIBL
(5,3),(5,14),0.00391873 # DEPENDENCYPART_SIBL
