# _root_ - oi , ez naute ni geroko ifernuek izutzen , orain honelako paradisuak dastatu ahal_izanez gero hemen - erantzun ohi nizun halakoetan .
#goldHeads=0,9,2,9,9,9,8,9,19,9,15,13,14,15,9,15,15,17,0,19,19,19,22,
#predictedHeads=0,0,2,9,9,9,8,9,0,9,12,13,14,15,19,15,15,17,0,19,19,19,22,
(5,11),-0.996891 # DEPENDENCYPART_ARC
(6,7),0.29891 # DEPENDENCYPART_ARC
(6,8),-0.995374 # DEPENDENCYPART_ARC
(6,9),-1.07518 # DEPENDENCYPART_ARC
(6,12),-0.757607 # DEPENDENCYPART_ARC
(7,8),-0.249645 # DEPENDENCYPART_ARC
(7,10),-0.284995 # DEPENDENCYPART_ARC
(8,3),-1.20778 # DEPENDENCYPART_ARC
(8,4),-0.835165 # DEPENDENCYPART_ARC
(8,6),-0.743996 # DEPENDENCYPART_ARC
(8,7),1.27569 # DEPENDENCYPART_ARC
(8,10),-0.498339 # DEPENDENCYPART_ARC
(8,11),-0.957877 # DEPENDENCYPART_ARC
(8,12),-1.7162 # DEPENDENCYPART_ARC
(8,15),-2.26596 # DEPENDENCYPART_ARC
(9,3),-1.20494 # DEPENDENCYPART_ARC
(9,4),0.705853 # DEPENDENCYPART_ARC
(9,5),0.608629 # DEPENDENCYPART_ARC
(9,6),0.21547 # DEPENDENCYPART_ARC
(9,7),0.390975 # DEPENDENCYPART_ARC
(9,8),2.08659 # DEPENDENCYPART_ARC
(9,10),1.28299 # DEPENDENCYPART_ARC
(9,11),-0.169129 # DEPENDENCYPART_ARC
(9,12),-0.885473 # DEPENDENCYPART_ARC
(9,13),-0.675098 # DEPENDENCYPART_ARC
(9,14),-0.418546 # DEPENDENCYPART_ARC
(9,15),-0.369956 # DEPENDENCYPART_ARC
(9,16),-0.744254 # DEPENDENCYPART_ARC
(9,17),-0.869924 # DEPENDENCYPART_ARC
(9,19),-0.671766 # DEPENDENCYPART_ARC
(9,20),-0.621262 # DEPENDENCYPART_ARC
(9,21),-1.19169 # DEPENDENCYPART_ARC
(10,5),-1.4377 # DEPENDENCYPART_ARC
(10,8),-0.994856 # DEPENDENCYPART_ARC
(10,9),-0.331256 # DEPENDENCYPART_ARC
(10,12),-1.03483 # DEPENDENCYPART_ARC
(10,14),-0.928156 # DEPENDENCYPART_ARC
(10,15),-1.01533 # DEPENDENCYPART_ARC
(11,9),-0.990039 # DEPENDENCYPART_ARC
(11,10),-0.388544 # DEPENDENCYPART_ARC
(11,12),-0.253613 # DEPENDENCYPART_ARC
(11,13),-0.784766 # DEPENDENCYPART_ARC
(11,16),-0.972899 # DEPENDENCYPART_ARC
(11,17),-0.902885 # DEPENDENCYPART_ARC
(12,8),-1.33886 # DEPENDENCYPART_ARC
(12,9),-0.914628 # DEPENDENCYPART_ARC
(12,11),0.266742 # DEPENDENCYPART_ARC
(12,13),-0.466594 # DEPENDENCYPART_ARC
(13,7),0.0746943 # DEPENDENCYPART_ARC
(13,8),-2.04171 # DEPENDENCYPART_ARC
(13,9),-0.908785 # DEPENDENCYPART_ARC
(13,10),-0.8908 # DEPENDENCYPART_ARC
(13,11),-0.382114 # DEPENDENCYPART_ARC
(13,12),1.64905 # DEPENDENCYPART_ARC
(13,14),-0.19088 # DEPENDENCYPART_ARC
(13,15),-1.49765 # DEPENDENCYPART_ARC
(13,16),-0.853969 # DEPENDENCYPART_ARC
(13,17),-0.999348 # DEPENDENCYPART_ARC
(13,19),-1.3212 # DEPENDENCYPART_ARC
(13,23),-1.35451 # DEPENDENCYPART_ARC
(14,3),-1.624 # DEPENDENCYPART_ARC
(14,4),-0.435066 # DEPENDENCYPART_ARC
(14,5),-0.826911 # DEPENDENCYPART_ARC
(14,6),-0.513057 # DEPENDENCYPART_ARC
(14,7),-0.79681 # DEPENDENCYPART_ARC
(14,8),-0.389817 # DEPENDENCYPART_ARC
(14,9),-0.602742 # DEPENDENCYPART_ARC
(14,10),-1.48789 # DEPENDENCYPART_ARC
(14,11),-0.0942645 # DEPENDENCYPART_ARC
(14,12),0.00577988 # DEPENDENCYPART_ARC
(14,13),1.35874 # DEPENDENCYPART_ARC
(14,15),1.03479 # DEPENDENCYPART_ARC
(14,16),-0.138538 # DEPENDENCYPART_ARC
(14,17),-0.576717 # DEPENDENCYPART_ARC
(14,19),-0.470372 # DEPENDENCYPART_ARC
(14,20),-0.780829 # DEPENDENCYPART_ARC
(14,21),-0.927137 # DEPENDENCYPART_ARC
(14,22),-1.01659 # DEPENDENCYPART_ARC
(15,5),-0.45331 # DEPENDENCYPART_ARC
(15,7),-0.742666 # DEPENDENCYPART_ARC
(15,8),-0.65799 # DEPENDENCYPART_ARC
(15,9),-0.758856 # DEPENDENCYPART_ARC
(15,11),-0.196461 # DEPENDENCYPART_ARC
(15,12),-0.291649 # DEPENDENCYPART_ARC
(15,13),0.407943 # DEPENDENCYPART_ARC
(15,14),1.07827 # DEPENDENCYPART_ARC
(15,16),0.765723 # DEPENDENCYPART_ARC
(15,17),-0.176052 # DEPENDENCYPART_ARC
(15,19),-0.967921 # DEPENDENCYPART_ARC
(15,21),-2.52333 # DEPENDENCYPART_ARC
(16,13),-1.19139 # DEPENDENCYPART_ARC
(16,14),-1.13738 # DEPENDENCYPART_ARC
(16,15),-0.462953 # DEPENDENCYPART_ARC
(16,17),-0.0975397 # DEPENDENCYPART_ARC
(17,14),-1.36201 # DEPENDENCYPART_ARC
(17,16),-0.339487 # DEPENDENCYPART_ARC
(17,18),0.892485 # DEPENDENCYPART_ARC
(18,15),-0.819183 # DEPENDENCYPART_ARC
(18,19),-0.277566 # DEPENDENCYPART_ARC
(19,3),-1.41603 # DEPENDENCYPART_ARC
(19,6),-0.634347 # DEPENDENCYPART_ARC
(19,7),-1.03323 # DEPENDENCYPART_ARC
(19,8),-1.04783 # DEPENDENCYPART_ARC
(19,9),-0.962874 # DEPENDENCYPART_ARC
(19,10),-1.60395 # DEPENDENCYPART_ARC
(19,11),-0.897671 # DEPENDENCYPART_ARC
(19,12),-0.863433 # DEPENDENCYPART_ARC
(19,13),-0.695935 # DEPENDENCYPART_ARC
(19,14),-0.6751 # DEPENDENCYPART_ARC
(19,15),-0.0419727 # DEPENDENCYPART_ARC
(19,16),-0.502632 # DEPENDENCYPART_ARC
(19,17),-0.281027 # DEPENDENCYPART_ARC
(19,20),0.880279 # DEPENDENCYPART_ARC
(19,21),0.926338 # DEPENDENCYPART_ARC
(19,22),-0.341396 # DEPENDENCYPART_ARC
(20,8),-0.99996 # DEPENDENCYPART_ARC
(20,9),-1.18237 # DEPENDENCYPART_ARC
(20,13),-1.02537 # DEPENDENCYPART_ARC
(20,14),-1.0991 # DEPENDENCYPART_ARC
(20,19),0.114961 # DEPENDENCYPART_ARC
(21,19),-1.47039 # DEPENDENCYPART_ARC
(21,22),-0.68837 # DEPENDENCYPART_ARC
(22,13),-1.98456 # DEPENDENCYPART_ARC
(22,16),-0.848074 # DEPENDENCYPART_ARC
(22,17),-0.819122 # DEPENDENCYPART_ARC
(22,19),-0.843043 # DEPENDENCYPART_ARC
(22,20),-0.561595 # DEPENDENCYPART_ARC
(22,23),1.39416 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.0549282 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.255132 # DEPENDENCYPART_SIBL
(0,1),(0,4),0.080824 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.0735718 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.0384459 # DEPENDENCYPART_SIBL
(0,1),(0,7),0.0083281 # DEPENDENCYPART_SIBL
(0,1),(0,9),0.0287583 # DEPENDENCYPART_SIBL
(0,1),(0,10),-0.255132 # DEPENDENCYPART_SIBL
(0,1),(0,11),-0.182942 # DEPENDENCYPART_SIBL
(0,1),(0,12),0.0083281 # DEPENDENCYPART_SIBL
(0,1),(0,13),-0.00835154 # DEPENDENCYPART_SIBL
(0,1),(0,14),0.0287583 # DEPENDENCYPART_SIBL
(0,1),(0,15),0.0287583 # DEPENDENCYPART_SIBL
(0,1),(0,16),-0.173964 # DEPENDENCYPART_SIBL
(0,1),(0,17),-0.149957 # DEPENDENCYPART_SIBL
(0,1),(0,18),-0.313596 # DEPENDENCYPART_SIBL
(0,1),(0,19),0.0395302 # DEPENDENCYPART_SIBL
(0,1),(0,20),-0.0529135 # DEPENDENCYPART_SIBL
(0,1),(0,21),-0.0735719 # DEPENDENCYPART_SIBL
(0,1),(0,22),0.0083281 # DEPENDENCYPART_SIBL
(0,1),(0,23),-0.20449 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.105642 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.0217467 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.079231 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.0191993 # DEPENDENCYPART_SIBL
(0,2),(0,7),-0.0332984 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.11892 # DEPENDENCYPART_SIBL
(0,2),(0,10),-0.105642 # DEPENDENCYPART_SIBL
(0,2),(0,11),-0.0657979 # DEPENDENCYPART_SIBL
(0,2),(0,12),-0.0332984 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.0481102 # DEPENDENCYPART_SIBL
(0,2),(0,14),-0.11892 # DEPENDENCYPART_SIBL
(0,2),(0,15),-0.11892 # DEPENDENCYPART_SIBL
(0,2),(0,16),-0.059203 # DEPENDENCYPART_SIBL
(0,2),(0,17),-0.0371974 # DEPENDENCYPART_SIBL
(0,2),(0,18),-0.165134 # DEPENDENCYPART_SIBL
(0,2),(0,19),-0.1165 # DEPENDENCYPART_SIBL
(0,2),(0,20),-0.0363998 # DEPENDENCYPART_SIBL
(0,2),(0,21),-0.079231 # DEPENDENCYPART_SIBL
(0,2),(0,22),-0.0332984 # DEPENDENCYPART_SIBL
(0,2),(0,23),-0.125543 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.107489 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.200902 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.169842 # DEPENDENCYPART_SIBL
(0,3),(0,7),-0.132739 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.293028 # DEPENDENCYPART_SIBL
(0,3),(0,10),-0.413823 # DEPENDENCYPART_SIBL
(0,3),(0,11),-0.305031 # DEPENDENCYPART_SIBL
(0,3),(0,12),-0.132739 # DEPENDENCYPART_SIBL
(0,3),(0,13),-0.202026 # DEPENDENCYPART_SIBL
(0,3),(0,14),-0.293028 # DEPENDENCYPART_SIBL
(0,3),(0,15),-0.293028 # DEPENDENCYPART_SIBL
(0,3),(0,16),-0.300424 # DEPENDENCYPART_SIBL
(0,3),(0,17),-0.274433 # DEPENDENCYPART_SIBL
(0,3),(0,18),-0.426709 # DEPENDENCYPART_SIBL
(0,3),(0,19),-0.286065 # DEPENDENCYPART_SIBL
(0,3),(0,20),-0.169252 # DEPENDENCYPART_SIBL
(0,3),(0,21),-0.200902 # DEPENDENCYPART_SIBL
(0,3),(0,22),-0.132739 # DEPENDENCYPART_SIBL
(0,3),(0,23),-0.340789 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.0418793 # DEPENDENCYPART_SIBL
(0,4),(0,6),-0.00355576 # DEPENDENCYPART_SIBL
(0,4),(0,7),-0.00298405 # DEPENDENCYPART_SIBL
(0,4),(0,9),-0.0925869 # DEPENDENCYPART_SIBL
(0,4),(0,10),-0.0841936 # DEPENDENCYPART_SIBL
(0,4),(0,11),-0.0373795 # DEPENDENCYPART_SIBL
(0,4),(0,12),-0.00298405 # DEPENDENCYPART_SIBL
(0,4),(0,13),0.0106538 # DEPENDENCYPART_SIBL
(0,4),(0,14),-0.0925869 # DEPENDENCYPART_SIBL
(0,4),(0,15),-0.0925869 # DEPENDENCYPART_SIBL
(0,4),(0,16),-0.0326437 # DEPENDENCYPART_SIBL
(0,4),(0,17),0.00680622 # DEPENDENCYPART_SIBL
(0,4),(0,18),-0.122673 # DEPENDENCYPART_SIBL
(0,4),(0,19),-0.0903257 # DEPENDENCYPART_SIBL
(0,4),(0,20),-0.00854485 # DEPENDENCYPART_SIBL
(0,4),(0,21),-0.0418793 # DEPENDENCYPART_SIBL
(0,4),(0,22),-0.00298405 # DEPENDENCYPART_SIBL
(0,4),(0,23),-0.0912671 # DEPENDENCYPART_SIBL
(0,5),(0,6),0.0203197 # DEPENDENCYPART_SIBL
(0,5),(0,7),0.0153712 # DEPENDENCYPART_SIBL
(0,5),(0,9),-0.0137375 # DEPENDENCYPART_SIBL
(0,5),(0,10),-0.0716099 # DEPENDENCYPART_SIBL
(0,5),(0,11),0.00284095 # DEPENDENCYPART_SIBL
(0,5),(0,12),0.0153712 # DEPENDENCYPART_SIBL
(0,5),(0,13),0.00542671 # DEPENDENCYPART_SIBL
(0,5),(0,14),-0.0137375 # DEPENDENCYPART_SIBL
(0,5),(0,15),-0.0137375 # DEPENDENCYPART_SIBL
(0,5),(0,16),0.0193012 # DEPENDENCYPART_SIBL
(0,5),(0,17),0.0408863 # DEPENDENCYPART_SIBL
(0,5),(0,18),-0.121118 # DEPENDENCYPART_SIBL
(0,5),(0,19),-0.0105212 # DEPENDENCYPART_SIBL
(0,5),(0,20),0.0159211 # DEPENDENCYPART_SIBL
(0,5),(0,21),-0.0911635 # DEPENDENCYPART_SIBL
(0,5),(0,22),0.0153712 # DEPENDENCYPART_SIBL
(0,5),(0,23),-0.0802417 # DEPENDENCYPART_SIBL
(0,6),(0,7),0.130695 # DEPENDENCYPART_SIBL
(0,6),(0,9),0.0427479 # DEPENDENCYPART_SIBL
(0,6),(0,10),0.125122 # DEPENDENCYPART_SIBL
(0,6),(0,11),0.0970414 # DEPENDENCYPART_SIBL
(0,6),(0,12),0.130695 # DEPENDENCYPART_SIBL
(0,6),(0,13),0.113343 # DEPENDENCYPART_SIBL
(0,6),(0,14),0.0427479 # DEPENDENCYPART_SIBL
(0,6),(0,15),0.0427479 # DEPENDENCYPART_SIBL
(0,6),(0,16),0.103599 # DEPENDENCYPART_SIBL
(0,6),(0,17),0.125394 # DEPENDENCYPART_SIBL
(0,6),(0,18),0.0459406 # DEPENDENCYPART_SIBL
(0,6),(0,19),0.0451684 # DEPENDENCYPART_SIBL
(0,6),(0,20),0.09593 # DEPENDENCYPART_SIBL
(0,6),(0,21),0.0552056 # DEPENDENCYPART_SIBL
(0,6),(0,22),0.130695 # DEPENDENCYPART_SIBL
(0,6),(0,23),0.0854052 # DEPENDENCYPART_SIBL
(0,7),(0,9),-0.098332 # DEPENDENCYPART_SIBL
(0,7),(0,10),-0.072892 # DEPENDENCYPART_SIBL
(0,7),(0,11),0.00596018 # DEPENDENCYPART_SIBL
(0,7),(0,12),0.0109805 # DEPENDENCYPART_SIBL
(0,7),(0,13),-0.00442196 # DEPENDENCYPART_SIBL
(0,7),(0,14),-0.098332 # DEPENDENCYPART_SIBL
(0,7),(0,15),-0.098332 # DEPENDENCYPART_SIBL
(0,7),(0,16),0.0127372 # DEPENDENCYPART_SIBL
(0,7),(0,17),0.034233 # DEPENDENCYPART_SIBL
(0,7),(0,18),-0.11211 # DEPENDENCYPART_SIBL
(0,7),(0,19),-0.0959115 # DEPENDENCYPART_SIBL
(0,7),(0,20),0.00931265 # DEPENDENCYPART_SIBL
(0,7),(0,21),-0.0317735 # DEPENDENCYPART_SIBL
(0,7),(0,22),0.0109805 # DEPENDENCYPART_SIBL
(0,7),(0,23),-0.0798058 # DEPENDENCYPART_SIBL
(0,9),(0,10),-0.0464622 # DEPENDENCYPART_SIBL
(0,9),(0,11),-0.0408752 # DEPENDENCYPART_SIBL
(0,9),(0,12),-9.77891e-05 # DEPENDENCYPART_SIBL
(0,9),(0,13),-0.00562242 # DEPENDENCYPART_SIBL
(0,9),(0,14),-0.117133 # DEPENDENCYPART_SIBL
(0,9),(0,15),-0.117133 # DEPENDENCYPART_SIBL
(0,9),(0,16),-0.0369508 # DEPENDENCYPART_SIBL
(0,9),(0,17),-0.0184399 # DEPENDENCYPART_SIBL
(0,9),(0,18),-0.0892813 # DEPENDENCYPART_SIBL
(0,9),(0,19),-0.128414 # DEPENDENCYPART_SIBL
(0,9),(0,20),-0.0182119 # DEPENDENCYPART_SIBL
(0,9),(0,21),0.00821326 # DEPENDENCYPART_SIBL
(0,9),(0,22),-9.77891e-05 # DEPENDENCYPART_SIBL
(0,9),(0,23),-0.0693041 # DEPENDENCYPART_SIBL
(0,10),(0,11),-0.305031 # DEPENDENCYPART_SIBL
(0,10),(0,12),-0.132739 # DEPENDENCYPART_SIBL
(0,10),(0,13),-0.202026 # DEPENDENCYPART_SIBL
(0,10),(0,14),-0.293028 # DEPENDENCYPART_SIBL
(0,10),(0,15),-0.293028 # DEPENDENCYPART_SIBL
(0,10),(0,16),-0.300424 # DEPENDENCYPART_SIBL
(0,10),(0,17),-0.274433 # DEPENDENCYPART_SIBL
(0,10),(0,18),-0.426709 # DEPENDENCYPART_SIBL
(0,10),(0,19),-0.286065 # DEPENDENCYPART_SIBL
(0,10),(0,20),-0.169252 # DEPENDENCYPART_SIBL
(0,10),(0,21),-0.200902 # DEPENDENCYPART_SIBL
(0,10),(0,22),-0.132739 # DEPENDENCYPART_SIBL
(0,10),(0,23),-0.340789 # DEPENDENCYPART_SIBL
(0,11),(0,12),0.0400251 # DEPENDENCYPART_SIBL
(0,11),(0,13),0.0595254 # DEPENDENCYPART_SIBL
(0,11),(0,14),-0.0540668 # DEPENDENCYPART_SIBL
(0,11),(0,15),-0.0540668 # DEPENDENCYPART_SIBL
(0,11),(0,16),-0.0442095 # DEPENDENCYPART_SIBL
(0,11),(0,17),-0.0256912 # DEPENDENCYPART_SIBL
(0,11),(0,18),-0.163058 # DEPENDENCYPART_SIBL
(0,11),(0,19),-0.0539329 # DEPENDENCYPART_SIBL
(0,11),(0,20),0.0590104 # DEPENDENCYPART_SIBL
(0,11),(0,21),-0.0685813 # DEPENDENCYPART_SIBL
(0,11),(0,22),0.0400251 # DEPENDENCYPART_SIBL
(0,11),(0,23),-0.121273 # DEPENDENCYPART_SIBL
(0,12),(0,13),-0.00442196 # DEPENDENCYPART_SIBL
(0,12),(0,14),-0.098332 # DEPENDENCYPART_SIBL
(0,12),(0,15),-0.098332 # DEPENDENCYPART_SIBL
(0,12),(0,16),0.0127372 # DEPENDENCYPART_SIBL
(0,12),(0,17),0.034233 # DEPENDENCYPART_SIBL
(0,12),(0,18),-0.11211 # DEPENDENCYPART_SIBL
(0,12),(0,19),-0.0959115 # DEPENDENCYPART_SIBL
(0,12),(0,20),0.00931265 # DEPENDENCYPART_SIBL
(0,12),(0,21),-0.0317735 # DEPENDENCYPART_SIBL
(0,12),(0,22),0.0109805 # DEPENDENCYPART_SIBL
(0,12),(0,23),-0.0798058 # DEPENDENCYPART_SIBL
(0,13),(0,14),-0.112279 # DEPENDENCYPART_SIBL
(0,13),(0,15),-0.112279 # DEPENDENCYPART_SIBL
(0,13),(0,16),0.0221008 # DEPENDENCYPART_SIBL
(0,13),(0,17),0.0572233 # DEPENDENCYPART_SIBL
(0,13),(0,18),-0.204316 # DEPENDENCYPART_SIBL
(0,13),(0,19),-0.111335 # DEPENDENCYPART_SIBL
(0,13),(0,20),-0.0187887 # DEPENDENCYPART_SIBL
(0,13),(0,21),-0.0588941 # DEPENDENCYPART_SIBL
(0,13),(0,22),0.0183958 # DEPENDENCYPART_SIBL
(0,13),(0,23),-0.174982 # DEPENDENCYPART_SIBL
(0,14),(0,15),-0.117133 # DEPENDENCYPART_SIBL
(0,14),(0,16),-0.0369508 # DEPENDENCYPART_SIBL
(0,14),(0,17),-0.0184399 # DEPENDENCYPART_SIBL
(0,14),(0,18),-0.0892813 # DEPENDENCYPART_SIBL
(0,14),(0,19),-0.128414 # DEPENDENCYPART_SIBL
(0,14),(0,20),-0.0182119 # DEPENDENCYPART_SIBL
(0,14),(0,21),0.00821326 # DEPENDENCYPART_SIBL
(0,14),(0,22),-9.77891e-05 # DEPENDENCYPART_SIBL
(0,14),(0,23),-0.0693041 # DEPENDENCYPART_SIBL
(0,15),(0,16),-0.0369508 # DEPENDENCYPART_SIBL
(0,15),(0,17),-0.0184399 # DEPENDENCYPART_SIBL
(0,15),(0,18),-0.0892813 # DEPENDENCYPART_SIBL
(0,15),(0,19),-0.128414 # DEPENDENCYPART_SIBL
(0,15),(0,20),-0.0182119 # DEPENDENCYPART_SIBL
(0,15),(0,21),0.00821326 # DEPENDENCYPART_SIBL
(0,15),(0,22),-9.77891e-05 # DEPENDENCYPART_SIBL
(0,15),(0,23),-0.0693041 # DEPENDENCYPART_SIBL
(0,16),(0,17),-0.00260821 # DEPENDENCYPART_SIBL
(0,16),(0,18),-0.129981 # DEPENDENCYPART_SIBL
(0,16),(0,19),-0.0496259 # DEPENDENCYPART_SIBL
(0,16),(0,20),0.0818767 # DEPENDENCYPART_SIBL
(0,16),(0,21),-0.0458929 # DEPENDENCYPART_SIBL
(0,16),(0,22),0.0592875 # DEPENDENCYPART_SIBL
(0,16),(0,23),-0.0922909 # DEPENDENCYPART_SIBL
(0,17),(0,18),-0.168224 # DEPENDENCYPART_SIBL
(0,17),(0,19),-0.0628466 # DEPENDENCYPART_SIBL
(0,17),(0,20),0.0596583 # DEPENDENCYPART_SIBL
(0,17),(0,21),-0.0679335 # DEPENDENCYPART_SIBL
(0,17),(0,22),0.0372794 # DEPENDENCYPART_SIBL
(0,17),(0,23),-0.130534 # DEPENDENCYPART_SIBL
(0,18),(0,19),0.0395302 # DEPENDENCYPART_SIBL
(0,18),(0,20),-0.0529135 # DEPENDENCYPART_SIBL
(0,18),(0,21),-0.0735719 # DEPENDENCYPART_SIBL
(0,18),(0,22),0.0083281 # DEPENDENCYPART_SIBL
(0,18),(0,23),-0.20449 # DEPENDENCYPART_SIBL
(0,19),(0,20),0.00922462 # DEPENDENCYPART_SIBL
(0,19),(0,21),0.0609651 # DEPENDENCYPART_SIBL
(0,19),(0,22),0.0272031 # DEPENDENCYPART_SIBL
(0,19),(0,23),-0.0424254 # DEPENDENCYPART_SIBL
(0,20),(0,21),-0.0398995 # DEPENDENCYPART_SIBL
(0,20),(0,22),-0.0131789 # DEPENDENCYPART_SIBL
(0,20),(0,23),-0.11531 # DEPENDENCYPART_SIBL
(0,21),(0,22),0.0153671 # DEPENDENCYPART_SIBL
(0,21),(0,23),-0.0802458 # DEPENDENCYPART_SIBL
(0,22),(0,23),-0.0798058 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.00149123 # DEPENDENCYPART_SIBL
(3,2),(3,14),0.130559 # DEPENDENCYPART_SIBL
(3,2),(3,15),0.130559 # DEPENDENCYPART_SIBL
(3,2),(3,19),0.130308 # DEPENDENCYPART_SIBL
(3,14),(3,15),0.00578644 # DEPENDENCYPART_SIBL
(3,14),(3,19),0.00121495 # DEPENDENCYPART_SIBL
(3,15),(3,19),0.00121495 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.0342325 # DEPENDENCYPART_SIBL
(5,4),(5,11),0.0242708 # DEPENDENCYPART_SIBL
(5,7),(5,11),0.0188556 # DEPENDENCYPART_SIBL
(6,7),(6,8),-0.00833957 # DEPENDENCYPART_SIBL
(6,7),(6,9),-0.0273698 # DEPENDENCYPART_SIBL
(6,7),(6,12),-0.00156034 # DEPENDENCYPART_SIBL
(6,8),(6,9),-0.0220573 # DEPENDENCYPART_SIBL
(6,8),(6,12),0.00881163 # DEPENDENCYPART_SIBL
(6,9),(6,12),-0.00673703 # DEPENDENCYPART_SIBL
(7,8),(7,10),-0.0530275 # DEPENDENCYPART_SIBL
(8,3),(8,4),0.00693978 # DEPENDENCYPART_SIBL
(8,3),(8,6),-0.0479363 # DEPENDENCYPART_SIBL
(8,3),(8,7),-0.0404959 # DEPENDENCYPART_SIBL
(8,3),(8,10),0.00342551 # DEPENDENCYPART_SIBL
(8,3),(8,11),-0.0473434 # DEPENDENCYPART_SIBL
(8,3),(8,12),-0.0288967 # DEPENDENCYPART_SIBL
(8,3),(8,15),-0.0374452 # DEPENDENCYPART_SIBL
(8,4),(8,6),0.0327366 # DEPENDENCYPART_SIBL
(8,4),(8,7),0.00819257 # DEPENDENCYPART_SIBL
(8,4),(8,10),0.0109367 # DEPENDENCYPART_SIBL
(8,4),(8,11),0.000313767 # DEPENDENCYPART_SIBL
(8,4),(8,12),0.0108371 # DEPENDENCYPART_SIBL
(8,4),(8,15),0.0915008 # DEPENDENCYPART_SIBL
(8,6),(8,7),0.017401 # DEPENDENCYPART_SIBL
(8,6),(8,10),0.00159817 # DEPENDENCYPART_SIBL
(8,6),(8,11),-0.0105072 # DEPENDENCYPART_SIBL
(8,6),(8,12),0.0254613 # DEPENDENCYPART_SIBL
(8,6),(8,15),0.00796093 # DEPENDENCYPART_SIBL
(8,7),(8,10),-0.0215244 # DEPENDENCYPART_SIBL
(8,7),(8,11),-0.0302835 # DEPENDENCYPART_SIBL
(8,7),(8,12),0.0295892 # DEPENDENCYPART_SIBL
(8,7),(8,15),-0.0197965 # DEPENDENCYPART_SIBL
(8,10),(8,11),-0.138055 # DEPENDENCYPART_SIBL
(8,10),(8,12),-0.028174 # DEPENDENCYPART_SIBL
(8,10),(8,15),-0.0372475 # DEPENDENCYPART_SIBL
(8,11),(8,12),0.0102748 # DEPENDENCYPART_SIBL
(8,11),(8,15),-0.0182254 # DEPENDENCYPART_SIBL
(8,12),(8,15),-0.0448741 # DEPENDENCYPART_SIBL
(9,3),(9,4),-0.0770864 # DEPENDENCYPART_SIBL
(9,3),(9,5),-0.0598924 # DEPENDENCYPART_SIBL
(9,3),(9,6),-0.108333 # DEPENDENCYPART_SIBL
