# _root_ ez zuen denbora asko behar_izan , ez zuen senitarteko askorekin hitzegin behar_izan , guztien arretaren iturria non zegoen zehazki asmatzeko .
#goldHeads=5,5,5,3,0,5,5,5,11,9,12,0,12,15,16,18,18,20,20,12,20,
#predictedHeads=5,5,5,3,0,5,12,12,11,9,12,0,12,15,16,18,18,12,20,12,20,
(13,8),-1.48184 # DEPENDENCYPART_ARC
(13,11),-0.949418 # DEPENDENCYPART_ARC
(13,12),-0.40985 # DEPENDENCYPART_ARC
(13,15),-1.03795 # DEPENDENCYPART_ARC
(13,16),-0.849565 # DEPENDENCYPART_ARC
(13,18),-0.712305 # DEPENDENCYPART_ARC
(13,20),-0.951592 # DEPENDENCYPART_ARC
(14,13),-0.285359 # DEPENDENCYPART_ARC
(15,11),-0.830107 # DEPENDENCYPART_ARC
(15,12),-1.17767 # DEPENDENCYPART_ARC
(15,13),-1.04957 # DEPENDENCYPART_ARC
(15,14),0.232741 # DEPENDENCYPART_ARC
(15,16),-0.0696231 # DEPENDENCYPART_ARC
(15,18),-1.67972 # DEPENDENCYPART_ARC
(15,19),-1.37038 # DEPENDENCYPART_ARC
(15,21),-1.51353 # DEPENDENCYPART_ARC
(16,9),-0.927425 # DEPENDENCYPART_ARC
(16,11),-0.844887 # DEPENDENCYPART_ARC
(16,12),-1.08217 # DEPENDENCYPART_ARC
(16,13),-1.34928 # DEPENDENCYPART_ARC
(16,15),1.13837 # DEPENDENCYPART_ARC
(16,18),-1.63375 # DEPENDENCYPART_ARC
(16,19),-1.28178 # DEPENDENCYPART_ARC
(16,20),-2.14547 # DEPENDENCYPART_ARC
(16,21),-1.46428 # DEPENDENCYPART_ARC
(17,19),-0.631051 # DEPENDENCYPART_ARC
(18,3),-1.1265 # DEPENDENCYPART_ARC
(18,9),-1.02671 # DEPENDENCYPART_ARC
(18,11),-0.854971 # DEPENDENCYPART_ARC
(18,12),-1.37756 # DEPENDENCYPART_ARC
(18,13),-1.17191 # DEPENDENCYPART_ARC
(18,14),-1.46403 # DEPENDENCYPART_ARC
(18,15),-0.310456 # DEPENDENCYPART_ARC
(18,16),1.19546 # DEPENDENCYPART_ARC
(18,17),0.826206 # DEPENDENCYPART_ARC
(18,19),0.249447 # DEPENDENCYPART_ARC
(18,20),-0.354303 # DEPENDENCYPART_ARC
(19,15),-1.10899 # DEPENDENCYPART_ARC
(19,16),-1.05961 # DEPENDENCYPART_ARC
(19,18),-0.170785 # DEPENDENCYPART_ARC
(19,20),-0.184086 # DEPENDENCYPART_ARC
(19,21),-0.352515 # DEPENDENCYPART_ARC
(20,3),-0.982901 # DEPENDENCYPART_ARC
(20,4),-1.10037 # DEPENDENCYPART_ARC
(20,5),-1.29316 # DEPENDENCYPART_ARC
(20,6),-1.49722 # DEPENDENCYPART_ARC
(20,7),-0.908318 # DEPENDENCYPART_ARC
(20,9),-0.887487 # DEPENDENCYPART_ARC
(20,10),-1.00911 # DEPENDENCYPART_ARC
(20,11),-0.624378 # DEPENDENCYPART_ARC
(20,12),-0.981077 # DEPENDENCYPART_ARC
(20,13),-1.58365 # DEPENDENCYPART_ARC
(20,14),-1.74795 # DEPENDENCYPART_ARC
(20,15),-1.24604 # DEPENDENCYPART_ARC
(20,16),0.525484 # DEPENDENCYPART_ARC
(20,17),-0.202349 # DEPENDENCYPART_ARC
(20,18),0.0583816 # DEPENDENCYPART_ARC
(20,19),0.836207 # DEPENDENCYPART_ARC
(20,21),1.48436 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.0593763 # DEPENDENCYPART_SIBL
(0,1),(0,3),0.0105615 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.0202897 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.0990887 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.0841936 # DEPENDENCYPART_SIBL
(0,1),(0,7),0.0447002 # DEPENDENCYPART_SIBL
(0,1),(0,8),-0.0593763 # DEPENDENCYPART_SIBL
(0,1),(0,9),0.0106538 # DEPENDENCYPART_SIBL
(0,1),(0,10),-0.0157289 # DEPENDENCYPART_SIBL
(0,1),(0,11),-0.0925869 # DEPENDENCYPART_SIBL
(0,1),(0,12),-0.0990887 # DEPENDENCYPART_SIBL
(0,1),(0,13),-0.0841936 # DEPENDENCYPART_SIBL
(0,1),(0,14),-0.0157289 # DEPENDENCYPART_SIBL
(0,1),(0,15),0.0106538 # DEPENDENCYPART_SIBL
(0,1),(0,16),0.00798186 # DEPENDENCYPART_SIBL
(0,1),(0,17),-0.0272099 # DEPENDENCYPART_SIBL
(0,1),(0,18),-0.0339902 # DEPENDENCYPART_SIBL
(0,1),(0,19),-0.0272315 # DEPENDENCYPART_SIBL
(0,1),(0,20),-0.0925869 # DEPENDENCYPART_SIBL
(0,1),(0,21),-0.0912671 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.00468601 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.00211602 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.045055 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.107806 # DEPENDENCYPART_SIBL
(0,2),(0,7),0.00121395 # DEPENDENCYPART_SIBL
(0,2),(0,8),-0.107281 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.00459371 # DEPENDENCYPART_SIBL
(0,2),(0,10),0.00524754 # DEPENDENCYPART_SIBL
(0,2),(0,11),-0.0385243 # DEPENDENCYPART_SIBL
(0,2),(0,12),-0.045055 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.107806 # DEPENDENCYPART_SIBL
(0,2),(0,14),0.00524754 # DEPENDENCYPART_SIBL
(0,2),(0,15),-0.00459371 # DEPENDENCYPART_SIBL
(0,2),(0,16),-0.00769404 # DEPENDENCYPART_SIBL
(0,2),(0,17),-0.00793898 # DEPENDENCYPART_SIBL
(0,2),(0,18),-0.0105812 # DEPENDENCYPART_SIBL
(0,2),(0,19),-0.00478798 # DEPENDENCYPART_SIBL
(0,2),(0,20),-0.0385243 # DEPENDENCYPART_SIBL
(0,2),(0,21),-0.114021 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.00114265 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.113179 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.134988 # DEPENDENCYPART_SIBL
(0,3),(0,7),0.0551768 # DEPENDENCYPART_SIBL
(0,3),(0,8),-0.081045 # DEPENDENCYPART_SIBL
(0,3),(0,9),0.0502031 # DEPENDENCYPART_SIBL
(0,3),(0,10),0.00863838 # DEPENDENCYPART_SIBL
(0,3),(0,11),-0.112426 # DEPENDENCYPART_SIBL
(0,3),(0,12),-0.113179 # DEPENDENCYPART_SIBL
(0,3),(0,13),-0.134988 # DEPENDENCYPART_SIBL
(0,3),(0,14),0.00863838 # DEPENDENCYPART_SIBL
(0,3),(0,15),0.0502031 # DEPENDENCYPART_SIBL
(0,3),(0,16),0.04663 # DEPENDENCYPART_SIBL
(0,3),(0,17),0.0262665 # DEPENDENCYPART_SIBL
(0,3),(0,18),-0.0247205 # DEPENDENCYPART_SIBL
(0,3),(0,19),0.0261889 # DEPENDENCYPART_SIBL
(0,3),(0,20),-0.112426 # DEPENDENCYPART_SIBL
(0,3),(0,21),-0.17513 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.124596 # DEPENDENCYPART_SIBL
(0,4),(0,6),-0.127788 # DEPENDENCYPART_SIBL
(0,4),(0,7),0.010684 # DEPENDENCYPART_SIBL
(0,4),(0,8),-0.0725446 # DEPENDENCYPART_SIBL
(0,4),(0,9),-0.0137715 # DEPENDENCYPART_SIBL
(0,4),(0,10),-0.0364172 # DEPENDENCYPART_SIBL
(0,4),(0,11),-0.118094 # DEPENDENCYPART_SIBL
(0,4),(0,12),-0.124596 # DEPENDENCYPART_SIBL
(0,4),(0,13),-0.127788 # DEPENDENCYPART_SIBL
(0,4),(0,14),-0.0364172 # DEPENDENCYPART_SIBL
(0,4),(0,15),-0.0137715 # DEPENDENCYPART_SIBL
(0,4),(0,16),-0.0164435 # DEPENDENCYPART_SIBL
(0,4),(0,17),-0.0224749 # DEPENDENCYPART_SIBL
(0,4),(0,18),-0.0409433 # DEPENDENCYPART_SIBL
(0,4),(0,19),-0.0224966 # DEPENDENCYPART_SIBL
(0,4),(0,20),-0.118094 # DEPENDENCYPART_SIBL
(0,4),(0,21),-0.134894 # DEPENDENCYPART_SIBL
(0,5),(0,6),-0.0465036 # DEPENDENCYPART_SIBL
(0,5),(0,7),0.00426428 # DEPENDENCYPART_SIBL
(0,5),(0,8),-0.0046414 # DEPENDENCYPART_SIBL
(0,5),(0,9),-0.00929108 # DEPENDENCYPART_SIBL
(0,5),(0,10),0.00692108 # DEPENDENCYPART_SIBL
(0,5),(0,11),-0.117241 # DEPENDENCYPART_SIBL
(0,5),(0,12),-0.126021 # DEPENDENCYPART_SIBL
(0,5),(0,13),-0.0465036 # DEPENDENCYPART_SIBL
(0,5),(0,14),0.00692108 # DEPENDENCYPART_SIBL
(0,5),(0,15),-0.00929108 # DEPENDENCYPART_SIBL
(0,5),(0,16),-0.0126717 # DEPENDENCYPART_SIBL
(0,5),(0,17),-0.0291126 # DEPENDENCYPART_SIBL
(0,5),(0,18),-0.0109471 # DEPENDENCYPART_SIBL
(0,5),(0,19),-0.0291342 # DEPENDENCYPART_SIBL
(0,5),(0,20),-0.117241 # DEPENDENCYPART_SIBL
(0,5),(0,21),-0.0693454 # DEPENDENCYPART_SIBL
(0,6),(0,7),-0.107489 # DEPENDENCYPART_SIBL
(0,6),(0,8),-0.231843 # DEPENDENCYPART_SIBL
(0,6),(0,9),-0.202026 # DEPENDENCYPART_SIBL
(0,6),(0,10),-0.177376 # DEPENDENCYPART_SIBL
(0,6),(0,11),-0.293028 # DEPENDENCYPART_SIBL
(0,6),(0,12),-0.294346 # DEPENDENCYPART_SIBL
(0,6),(0,13),-0.413823 # DEPENDENCYPART_SIBL
(0,6),(0,14),-0.177376 # DEPENDENCYPART_SIBL
(0,6),(0,15),-0.202026 # DEPENDENCYPART_SIBL
(0,6),(0,16),-0.206958 # DEPENDENCYPART_SIBL
(0,6),(0,17),-0.291003 # DEPENDENCYPART_SIBL
(0,6),(0,18),-0.172818 # DEPENDENCYPART_SIBL
(0,6),(0,19),-0.291346 # DEPENDENCYPART_SIBL
(0,6),(0,20),-0.293028 # DEPENDENCYPART_SIBL
(0,6),(0,21),-0.340789 # DEPENDENCYPART_SIBL
(0,7),(0,8),-0.0593763 # DEPENDENCYPART_SIBL
(0,7),(0,9),0.0106538 # DEPENDENCYPART_SIBL
(0,7),(0,10),-0.0157289 # DEPENDENCYPART_SIBL
(0,7),(0,11),-0.0925869 # DEPENDENCYPART_SIBL
(0,7),(0,12),-0.0990887 # DEPENDENCYPART_SIBL
(0,7),(0,13),-0.0841936 # DEPENDENCYPART_SIBL
(0,7),(0,14),-0.0157289 # DEPENDENCYPART_SIBL
(0,7),(0,15),0.0106538 # DEPENDENCYPART_SIBL
(0,7),(0,16),0.00798186 # DEPENDENCYPART_SIBL
(0,7),(0,17),-0.0272099 # DEPENDENCYPART_SIBL
(0,7),(0,18),-0.0339902 # DEPENDENCYPART_SIBL
(0,7),(0,19),-0.0272315 # DEPENDENCYPART_SIBL
(0,7),(0,20),-0.0925869 # DEPENDENCYPART_SIBL
(0,7),(0,21),-0.0912671 # DEPENDENCYPART_SIBL
(0,8),(0,9),-0.00459371 # DEPENDENCYPART_SIBL
(0,8),(0,10),0.00524754 # DEPENDENCYPART_SIBL
(0,8),(0,11),-0.0385243 # DEPENDENCYPART_SIBL
(0,8),(0,12),-0.045055 # DEPENDENCYPART_SIBL
(0,8),(0,13),-0.107806 # DEPENDENCYPART_SIBL
(0,8),(0,14),0.00524754 # DEPENDENCYPART_SIBL
(0,8),(0,15),-0.00459371 # DEPENDENCYPART_SIBL
(0,8),(0,16),-0.00769404 # DEPENDENCYPART_SIBL
(0,8),(0,17),-0.00793898 # DEPENDENCYPART_SIBL
(0,8),(0,18),-0.0105812 # DEPENDENCYPART_SIBL
(0,8),(0,19),-0.00478798 # DEPENDENCYPART_SIBL
(0,8),(0,20),-0.0385243 # DEPENDENCYPART_SIBL
(0,8),(0,21),-0.114021 # DEPENDENCYPART_SIBL
(0,9),(0,10),0.00878585 # DEPENDENCYPART_SIBL
(0,9),(0,11),-0.112279 # DEPENDENCYPART_SIBL
(0,9),(0,12),-0.113031 # DEPENDENCYPART_SIBL
(0,9),(0,13),-0.13484 # DEPENDENCYPART_SIBL
(0,9),(0,14),0.00878585 # DEPENDENCYPART_SIBL
(0,9),(0,15),0.0509439 # DEPENDENCYPART_SIBL
(0,9),(0,16),0.0473708 # DEPENDENCYPART_SIBL
(0,9),(0,17),0.026414 # DEPENDENCYPART_SIBL
(0,9),(0,18),-0.024573 # DEPENDENCYPART_SIBL
(0,9),(0,19),0.0263363 # DEPENDENCYPART_SIBL
(0,9),(0,20),-0.112279 # DEPENDENCYPART_SIBL
(0,9),(0,21),-0.174982 # DEPENDENCYPART_SIBL
(0,10),(0,11),-0.119157 # DEPENDENCYPART_SIBL
(0,10),(0,12),-0.125659 # DEPENDENCYPART_SIBL
(0,10),(0,13),-0.125177 # DEPENDENCYPART_SIBL
(0,10),(0,14),-0.0329796 # DEPENDENCYPART_SIBL
(0,10),(0,15),-0.0107028 # DEPENDENCYPART_SIBL
(0,10),(0,16),-0.0133748 # DEPENDENCYPART_SIBL
(0,10),(0,17),-0.0251708 # DEPENDENCYPART_SIBL
(0,10),(0,18),-0.0350567 # DEPENDENCYPART_SIBL
(0,10),(0,19),-0.0251925 # DEPENDENCYPART_SIBL
(0,10),(0,20),-0.119157 # DEPENDENCYPART_SIBL
(0,10),(0,21),-0.132282 # DEPENDENCYPART_SIBL
(0,11),(0,12),-0.125913 # DEPENDENCYPART_SIBL
(0,11),(0,13),-0.0464622 # DEPENDENCYPART_SIBL
(0,11),(0,14),0.00696244 # DEPENDENCYPART_SIBL
(0,11),(0,15),-0.00562242 # DEPENDENCYPART_SIBL
(0,11),(0,16),-0.009003 # DEPENDENCYPART_SIBL
(0,11),(0,17),-0.0290712 # DEPENDENCYPART_SIBL
(0,11),(0,18),-0.0108644 # DEPENDENCYPART_SIBL
(0,11),(0,19),-0.0290929 # DEPENDENCYPART_SIBL
(0,11),(0,20),-0.117133 # DEPENDENCYPART_SIBL
(0,11),(0,21),-0.0693041 # DEPENDENCYPART_SIBL
(0,12),(0,13),-0.0465036 # DEPENDENCYPART_SIBL
(0,12),(0,14),0.00692108 # DEPENDENCYPART_SIBL
(0,12),(0,15),-0.00929108 # DEPENDENCYPART_SIBL
(0,12),(0,16),-0.0126717 # DEPENDENCYPART_SIBL
(0,12),(0,17),-0.0291126 # DEPENDENCYPART_SIBL
(0,12),(0,18),-0.0109471 # DEPENDENCYPART_SIBL
(0,12),(0,19),-0.0291342 # DEPENDENCYPART_SIBL
(0,12),(0,20),-0.117241 # DEPENDENCYPART_SIBL
(0,12),(0,21),-0.0693454 # DEPENDENCYPART_SIBL
(0,13),(0,14),-0.177376 # DEPENDENCYPART_SIBL
(0,13),(0,15),-0.202026 # DEPENDENCYPART_SIBL
(0,13),(0,16),-0.206958 # DEPENDENCYPART_SIBL
(0,13),(0,17),-0.291003 # DEPENDENCYPART_SIBL
(0,13),(0,18),-0.172818 # DEPENDENCYPART_SIBL
(0,13),(0,19),-0.291346 # DEPENDENCYPART_SIBL
(0,13),(0,20),-0.293028 # DEPENDENCYPART_SIBL
(0,13),(0,21),-0.340789 # DEPENDENCYPART_SIBL
(0,14),(0,15),-0.0113263 # DEPENDENCYPART_SIBL
(0,14),(0,16),-0.0139983 # DEPENDENCYPART_SIBL
(0,14),(0,17),-0.0251708 # DEPENDENCYPART_SIBL
(0,14),(0,18),-0.0350567 # DEPENDENCYPART_SIBL
(0,14),(0,19),-0.0251925 # DEPENDENCYPART_SIBL
(0,14),(0,20),-0.119221 # DEPENDENCYPART_SIBL
(0,14),(0,21),-0.132282 # DEPENDENCYPART_SIBL
(0,15),(0,16),0.0473708 # DEPENDENCYPART_SIBL
(0,15),(0,17),0.026414 # DEPENDENCYPART_SIBL
(0,15),(0,18),-0.024573 # DEPENDENCYPART_SIBL
(0,15),(0,19),0.0263363 # DEPENDENCYPART_SIBL
(0,15),(0,20),-0.112279 # DEPENDENCYPART_SIBL
(0,15),(0,21),-0.174982 # DEPENDENCYPART_SIBL
(0,16),(0,17),0.026414 # DEPENDENCYPART_SIBL
(0,16),(0,18),-0.024573 # DEPENDENCYPART_SIBL
(0,16),(0,19),0.0263363 # DEPENDENCYPART_SIBL
(0,16),(0,20),-0.112279 # DEPENDENCYPART_SIBL
(0,16),(0,21),-0.174982 # DEPENDENCYPART_SIBL
(0,17),(0,18),0.0227157 # DEPENDENCYPART_SIBL
(0,17),(0,19),-0.013023 # DEPENDENCYPART_SIBL
(0,17),(0,20),-0.020994 # DEPENDENCYPART_SIBL
(0,17),(0,21),-0.0891595 # DEPENDENCYPART_SIBL
(0,18),(0,19),-0.0721772 # DEPENDENCYPART_SIBL
(0,18),(0,20),-0.190547 # DEPENDENCYPART_SIBL
(0,18),(0,21),-0.115769 # DEPENDENCYPART_SIBL
(0,19),(0,20),-0.0216199 # DEPENDENCYPART_SIBL
(0,19),(0,21),-0.0895986 # DEPENDENCYPART_SIBL
(0,20),(0,21),-0.0693041 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0312611 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0930634 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.0990422 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.000256937 # DEPENDENCYPART_SIBL
(2,3),(2,8),0.00741082 # DEPENDENCYPART_SIBL
(2,5),(2,8),0.034802 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.134078 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0106615 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.0914404 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.0109367 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.0866302 # DEPENDENCYPART_SIBL
(3,1),(3,10),-0.00294651 # DEPENDENCYPART_SIBL
(3,1),(3,12),0.0914404 # DEPENDENCYPART_SIBL
(3,1),(3,14),-0.010748 # DEPENDENCYPART_SIBL
(3,1),(3,20),0.0914705 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.01537 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.0218231 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.0085316 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.0394993 # DEPENDENCYPART_SIBL
(3,2),(3,10),-0.007655 # DEPENDENCYPART_SIBL
(3,2),(3,12),0.0218231 # DEPENDENCYPART_SIBL
(3,2),(3,14),-0.0154752 # DEPENDENCYPART_SIBL
(3,2),(3,20),0.0218539 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0705547 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.142979 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.0288986 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.0554067 # DEPENDENCYPART_SIBL
(3,4),(3,12),-0.0705547 # DEPENDENCYPART_SIBL
(3,4),(3,14),-0.0537951 # DEPENDENCYPART_SIBL
(3,4),(3,20),-0.0705499 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0764978 # DEPENDENCYPART_SIBL
(3,5),(3,8),0.0509824 # DEPENDENCYPART_SIBL
(3,5),(3,10),0.0269084 # DEPENDENCYPART_SIBL
(3,5),(3,12),-0.0126023 # DEPENDENCYPART_SIBL
(3,5),(3,14),0.02852 # DEPENDENCYPART_SIBL
(3,5),(3,20),-0.0114464 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.0699283 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.0805947 # DEPENDENCYPART_SIBL
(3,6),(3,12),-0.0308887 # DEPENDENCYPART_SIBL
(3,6),(3,14),-0.078983 # DEPENDENCYPART_SIBL
(3,6),(3,20),-0.0372475 # DEPENDENCYPART_SIBL
(3,8),(3,10),0.0353328 # DEPENDENCYPART_SIBL
(3,8),(3,12),0.0296993 # DEPENDENCYPART_SIBL
(3,8),(3,14),0.0369445 # DEPENDENCYPART_SIBL
(3,8),(3,20),0.0297331 # DEPENDENCYPART_SIBL
(3,10),(3,12),-0.0875478 # DEPENDENCYPART_SIBL
(3,10),(3,14),-0.0602335 # DEPENDENCYPART_SIBL
(3,10),(3,20),-0.0875429 # DEPENDENCYPART_SIBL
(3,12),(3,14),0.02852 # DEPENDENCYPART_SIBL
(3,12),(3,20),-0.0114464 # DEPENDENCYPART_SIBL
(3,14),(3,20),-0.0906263 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.0136357 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.324918 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.020005 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.0330265 # DEPENDENCYPART_SIBL
(5,1),(5,6),0.0600624 # DEPENDENCYPART_SIBL
(5,1),(5,7),0.281305 # DEPENDENCYPART_SIBL
(5,1),(5,8),-0.253119 # DEPENDENCYPART_SIBL
(5,1),(5,9),-0.0210131 # DEPENDENCYPART_SIBL
(5,1),(5,11),0.0302315 # DEPENDENCYPART_SIBL
(5,1),(5,12),0.0232727 # DEPENDENCYPART_SIBL
(5,1),(5,15),-0.0210131 # DEPENDENCYPART_SIBL
(5,1),(5,16),-0.0240049 # DEPENDENCYPART_SIBL
(5,1),(5,20),0.0302315 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.0329912 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.0442102 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.0484525 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.0312308 # DEPENDENCYPART_SIBL
