# _root_ pisu baten erosteko , beren seme-alaben ikasketen pagatzeko edo erretreta gehigarri baten segurtatzeko erabil daiteke , ministerioak eman zituen adibideen_arabera .
#goldHeads=3,1,9,3,6,7,8,9,14,13,10,10,9,0,14,15,18,20,18,14,20,
#predictedHeads=3,1,9,3,6,7,8,9,14,13,10,10,14,0,14,15,18,20,18,14,20,
(10,17),-0.67503 # DEPENDENCYPART_ARC
(10,20),-0.597323 # DEPENDENCYPART_ARC
(10,21),-1.151 # DEPENDENCYPART_ARC
(11,6),-1.00392 # DEPENDENCYPART_ARC
(11,7),-1.1719 # DEPENDENCYPART_ARC
(11,8),-0.763454 # DEPENDENCYPART_ARC
(11,9),-0.547199 # DEPENDENCYPART_ARC
(11,10),-0.130061 # DEPENDENCYPART_ARC
(11,12),-0.0066474 # DEPENDENCYPART_ARC
(12,10),-0.938931 # DEPENDENCYPART_ARC
(13,1),-0.425585 # DEPENDENCYPART_ARC
(13,3),-0.987535 # DEPENDENCYPART_ARC
(13,4),-1.67156 # DEPENDENCYPART_ARC
(13,5),-0.925398 # DEPENDENCYPART_ARC
(13,6),-1.45184 # DEPENDENCYPART_ARC
(13,7),-0.0674275 # DEPENDENCYPART_ARC
(13,8),-0.588427 # DEPENDENCYPART_ARC
(13,9),0.1701 # DEPENDENCYPART_ARC
(13,10),0.515116 # DEPENDENCYPART_ARC
(13,11),-0.445142 # DEPENDENCYPART_ARC
(13,12),0.565302 # DEPENDENCYPART_ARC
(13,14),0.0520943 # DEPENDENCYPART_ARC
(13,15),-0.917001 # DEPENDENCYPART_ARC
(13,16),-0.864589 # DEPENDENCYPART_ARC
(13,17),-1.76703 # DEPENDENCYPART_ARC
(13,18),-2.05656 # DEPENDENCYPART_ARC
(13,19),-2.72893 # DEPENDENCYPART_ARC
(13,20),-1.56411 # DEPENDENCYPART_ARC
(14,1),-0.281957 # DEPENDENCYPART_ARC
(14,3),-0.590346 # DEPENDENCYPART_ARC
(14,4),-1.41941 # DEPENDENCYPART_ARC
(14,5),-0.747594 # DEPENDENCYPART_ARC
(14,6),-0.364622 # DEPENDENCYPART_ARC
(14,7),-0.872196 # DEPENDENCYPART_ARC
(14,8),-0.336545 # DEPENDENCYPART_ARC
(14,9),0.0778746 # DEPENDENCYPART_ARC
(14,10),-0.0318944 # DEPENDENCYPART_ARC
(14,11),-0.385076 # DEPENDENCYPART_ARC
(14,12),-0.323978 # DEPENDENCYPART_ARC
(14,13),1.8602 # DEPENDENCYPART_ARC
(14,15),1.22224 # DEPENDENCYPART_ARC
(14,16),-0.617331 # DEPENDENCYPART_ARC
(14,17),-0.713453 # DEPENDENCYPART_ARC
(14,18),-1.10396 # DEPENDENCYPART_ARC
(14,19),-0.404214 # DEPENDENCYPART_ARC
(14,20),-0.620678 # DEPENDENCYPART_ARC
(15,14),-0.40618 # DEPENDENCYPART_ARC
(15,16),1.21002 # DEPENDENCYPART_ARC
(15,17),-0.925008 # DEPENDENCYPART_ARC
(15,18),-1.10956 # DEPENDENCYPART_ARC
(15,19),-0.654998 # DEPENDENCYPART_ARC
(16,13),-0.868694 # DEPENDENCYPART_ARC
(16,14),-0.867275 # DEPENDENCYPART_ARC
(16,15),-0.501772 # DEPENDENCYPART_ARC
(16,17),-0.595081 # DEPENDENCYPART_ARC
(16,18),-0.970049 # DEPENDENCYPART_ARC
(17,13),-2.69074 # DEPENDENCYPART_ARC
(17,14),-1.13897 # DEPENDENCYPART_ARC
(17,15),-1.08307 # DEPENDENCYPART_ARC
(17,16),-0.0918838 # DEPENDENCYPART_ARC
(17,18),-1.7774 # DEPENDENCYPART_ARC
(17,19),-1.74782 # DEPENDENCYPART_ARC
(17,20),-2.24906 # DEPENDENCYPART_ARC
(17,21),-0.99629 # DEPENDENCYPART_ARC
(18,1),-1.19407 # DEPENDENCYPART_ARC
(18,3),-1.14681 # DEPENDENCYPART_ARC
(18,5),-1.30006 # DEPENDENCYPART_ARC
(18,6),-1.671 # DEPENDENCYPART_ARC
(18,7),-1.21361 # DEPENDENCYPART_ARC
(18,8),-1.00275 # DEPENDENCYPART_ARC
(18,9),-0.417259 # DEPENDENCYPART_ARC
(18,10),-0.834841 # DEPENDENCYPART_ARC
(18,11),-1.04671 # DEPENDENCYPART_ARC
(18,12),-1.39316 # DEPENDENCYPART_ARC
(18,13),-0.0173198 # DEPENDENCYPART_ARC
(18,14),-0.199132 # DEPENDENCYPART_ARC
(18,15),-0.60332 # DEPENDENCYPART_ARC
(18,16),-0.989375 # DEPENDENCYPART_ARC
(18,17),2.46362 # DEPENDENCYPART_ARC
(18,19),2.41763 # DEPENDENCYPART_ARC
(18,20),0.305072 # DEPENDENCYPART_ARC
(19,17),-0.299947 # DEPENDENCYPART_ARC
(19,20),-0.263767 # DEPENDENCYPART_ARC
(20,9),-0.787005 # DEPENDENCYPART_ARC
(20,11),-1.37595 # DEPENDENCYPART_ARC
(20,13),-2.16429 # DEPENDENCYPART_ARC
(20,14),-1.47897 # DEPENDENCYPART_ARC
(20,16),-1.684 # DEPENDENCYPART_ARC
(20,17),-2.56387 # DEPENDENCYPART_ARC
(20,18),-0.224958 # DEPENDENCYPART_ARC
(20,19),-0.314231 # DEPENDENCYPART_ARC
(20,21),1.64802 # DEPENDENCYPART_ARC
(0,1),(0,2),0.00733916 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.112279 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.13484 # DEPENDENCYPART_SIBL
(0,1),(0,6),0.0509439 # DEPENDENCYPART_SIBL
(0,1),(0,7),0.0509439 # DEPENDENCYPART_SIBL
(0,1),(0,8),-0.112279 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.0465866 # DEPENDENCYPART_SIBL
(0,1),(0,10),0.0509439 # DEPENDENCYPART_SIBL
(0,1),(0,13),-0.112279 # DEPENDENCYPART_SIBL
(0,1),(0,14),-0.114442 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.059339 # DEPENDENCYPART_SIBL
(0,1),(0,16),-0.13484 # DEPENDENCYPART_SIBL
(0,1),(0,17),0.0509439 # DEPENDENCYPART_SIBL
(0,1),(0,18),-0.100866 # DEPENDENCYPART_SIBL
(0,1),(0,19),-0.0672676 # DEPENDENCYPART_SIBL
(0,1),(0,20),0.0509439 # DEPENDENCYPART_SIBL
(0,1),(0,21),-0.174982 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.119998 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.125177 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.00588292 # DEPENDENCYPART_SIBL
(0,2),(0,7),-0.00588292 # DEPENDENCYPART_SIBL
(0,2),(0,8),-0.119998 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.0242326 # DEPENDENCYPART_SIBL
(0,2),(0,10),-0.00588292 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.119998 # DEPENDENCYPART_SIBL
(0,2),(0,14),-0.122161 # DEPENDENCYPART_SIBL
(0,2),(0,15),-0.0551632 # DEPENDENCYPART_SIBL
(0,2),(0,16),-0.125177 # DEPENDENCYPART_SIBL
(0,2),(0,17),-0.00588292 # DEPENDENCYPART_SIBL
(0,2),(0,18),-0.115418 # DEPENDENCYPART_SIBL
(0,2),(0,19),-0.0610252 # DEPENDENCYPART_SIBL
(0,2),(0,20),-0.00588292 # DEPENDENCYPART_SIBL
(0,2),(0,21),-0.132282 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.0464622 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.00562242 # DEPENDENCYPART_SIBL
(0,3),(0,7),-0.00562242 # DEPENDENCYPART_SIBL
(0,3),(0,8),-0.117133 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.0268587 # DEPENDENCYPART_SIBL
(0,3),(0,10),-0.0056228 # DEPENDENCYPART_SIBL
(0,3),(0,13),-0.117133 # DEPENDENCYPART_SIBL
(0,3),(0,14),-0.119296 # DEPENDENCYPART_SIBL
(0,3),(0,15),0.00471723 # DEPENDENCYPART_SIBL
(0,3),(0,16),-0.0464622 # DEPENDENCYPART_SIBL
(0,3),(0,17),-0.00562242 # DEPENDENCYPART_SIBL
(0,3),(0,18),-0.109433 # DEPENDENCYPART_SIBL
(0,3),(0,19),-0.00321399 # DEPENDENCYPART_SIBL
(0,3),(0,20),-0.00562242 # DEPENDENCYPART_SIBL
(0,3),(0,21),-0.0693041 # DEPENDENCYPART_SIBL
(0,4),(0,6),-0.202026 # DEPENDENCYPART_SIBL
(0,4),(0,7),-0.202026 # DEPENDENCYPART_SIBL
(0,4),(0,8),-0.293028 # DEPENDENCYPART_SIBL
(0,4),(0,9),-0.167929 # DEPENDENCYPART_SIBL
(0,4),(0,10),-0.202026 # DEPENDENCYPART_SIBL
(0,4),(0,13),-0.293028 # DEPENDENCYPART_SIBL
(0,4),(0,14),-0.296229 # DEPENDENCYPART_SIBL
(0,4),(0,15),-0.201291 # DEPENDENCYPART_SIBL
(0,4),(0,16),-0.413823 # DEPENDENCYPART_SIBL
(0,4),(0,17),-0.202026 # DEPENDENCYPART_SIBL
(0,4),(0,18),-0.300327 # DEPENDENCYPART_SIBL
(0,4),(0,19),-0.210721 # DEPENDENCYPART_SIBL
(0,4),(0,20),-0.202026 # DEPENDENCYPART_SIBL
(0,4),(0,21),-0.340789 # DEPENDENCYPART_SIBL
(0,6),(0,7),0.0509437 # DEPENDENCYPART_SIBL
(0,6),(0,8),-0.112279 # DEPENDENCYPART_SIBL
(0,6),(0,9),-0.0465867 # DEPENDENCYPART_SIBL
(0,6),(0,10),0.0509437 # DEPENDENCYPART_SIBL
(0,6),(0,13),-0.112279 # DEPENDENCYPART_SIBL
(0,6),(0,14),-0.114442 # DEPENDENCYPART_SIBL
(0,6),(0,15),-0.0593391 # DEPENDENCYPART_SIBL
(0,6),(0,16),-0.13484 # DEPENDENCYPART_SIBL
(0,6),(0,17),0.0509437 # DEPENDENCYPART_SIBL
(0,6),(0,18),-0.100866 # DEPENDENCYPART_SIBL
(0,6),(0,19),-0.0672677 # DEPENDENCYPART_SIBL
(0,6),(0,20),0.0509437 # DEPENDENCYPART_SIBL
(0,6),(0,21),-0.174982 # DEPENDENCYPART_SIBL
(0,7),(0,8),-0.112279 # DEPENDENCYPART_SIBL
(0,7),(0,9),-0.0465866 # DEPENDENCYPART_SIBL
(0,7),(0,10),0.0509439 # DEPENDENCYPART_SIBL
(0,7),(0,13),-0.112279 # DEPENDENCYPART_SIBL
(0,7),(0,14),-0.114442 # DEPENDENCYPART_SIBL
(0,7),(0,15),-0.059339 # DEPENDENCYPART_SIBL
(0,7),(0,16),-0.13484 # DEPENDENCYPART_SIBL
(0,7),(0,17),0.0509439 # DEPENDENCYPART_SIBL
(0,7),(0,18),-0.100866 # DEPENDENCYPART_SIBL
(0,7),(0,19),-0.0672676 # DEPENDENCYPART_SIBL
(0,7),(0,20),0.0509439 # DEPENDENCYPART_SIBL
(0,7),(0,21),-0.174982 # DEPENDENCYPART_SIBL
(0,8),(0,9),-0.0268587 # DEPENDENCYPART_SIBL
(0,8),(0,10),-0.0056228 # DEPENDENCYPART_SIBL
(0,8),(0,13),-0.117133 # DEPENDENCYPART_SIBL
(0,8),(0,14),-0.119296 # DEPENDENCYPART_SIBL
(0,8),(0,15),0.00471723 # DEPENDENCYPART_SIBL
(0,8),(0,16),-0.0464622 # DEPENDENCYPART_SIBL
(0,8),(0,17),-0.00562242 # DEPENDENCYPART_SIBL
(0,8),(0,18),-0.109433 # DEPENDENCYPART_SIBL
(0,8),(0,19),-0.00321399 # DEPENDENCYPART_SIBL
(0,8),(0,20),-0.00562242 # DEPENDENCYPART_SIBL
(0,8),(0,21),-0.0693041 # DEPENDENCYPART_SIBL
(0,9),(0,10),-0.0474885 # DEPENDENCYPART_SIBL
(0,9),(0,13),-0.023091 # DEPENDENCYPART_SIBL
(0,9),(0,14),-0.0274627 # DEPENDENCYPART_SIBL
(0,9),(0,15),-0.0155383 # DEPENDENCYPART_SIBL
(0,9),(0,16),-0.0542756 # DEPENDENCYPART_SIBL
(0,9),(0,17),-0.0474885 # DEPENDENCYPART_SIBL
(0,9),(0,18),-0.00591062 # DEPENDENCYPART_SIBL
(0,9),(0,19),-0.0248435 # DEPENDENCYPART_SIBL
(0,9),(0,20),-0.0474885 # DEPENDENCYPART_SIBL
(0,9),(0,21),-0.0994425 # DEPENDENCYPART_SIBL
(0,10),(0,13),-0.112279 # DEPENDENCYPART_SIBL
(0,10),(0,14),-0.114442 # DEPENDENCYPART_SIBL
(0,10),(0,15),-0.059339 # DEPENDENCYPART_SIBL
(0,10),(0,16),-0.13484 # DEPENDENCYPART_SIBL
(0,10),(0,17),0.0509439 # DEPENDENCYPART_SIBL
(0,10),(0,18),-0.100866 # DEPENDENCYPART_SIBL
(0,10),(0,19),-0.0672676 # DEPENDENCYPART_SIBL
(0,10),(0,20),0.0509439 # DEPENDENCYPART_SIBL
(0,10),(0,21),-0.174982 # DEPENDENCYPART_SIBL
(0,13),(0,14),-0.119296 # DEPENDENCYPART_SIBL
(0,13),(0,15),0.00471723 # DEPENDENCYPART_SIBL
(0,13),(0,16),-0.0464622 # DEPENDENCYPART_SIBL
(0,13),(0,17),-0.00562242 # DEPENDENCYPART_SIBL
(0,13),(0,18),-0.109433 # DEPENDENCYPART_SIBL
(0,13),(0,19),-0.00321399 # DEPENDENCYPART_SIBL
(0,13),(0,20),-0.00562242 # DEPENDENCYPART_SIBL
(0,13),(0,21),-0.0693041 # DEPENDENCYPART_SIBL
(0,14),(0,15),0.00405738 # DEPENDENCYPART_SIBL
(0,14),(0,16),-0.0471221 # DEPENDENCYPART_SIBL
(0,14),(0,17),-0.00628227 # DEPENDENCYPART_SIBL
(0,14),(0,18),-0.111077 # DEPENDENCYPART_SIBL
(0,14),(0,19),-0.00387384 # DEPENDENCYPART_SIBL
(0,14),(0,20),-0.00628227 # DEPENDENCYPART_SIBL
(0,14),(0,21),-0.0699639 # DEPENDENCYPART_SIBL
(0,15),(0,16),-0.0718723 # DEPENDENCYPART_SIBL
(0,15),(0,17),0.00509902 # DEPENDENCYPART_SIBL
(0,15),(0,18),-0.00197766 # DEPENDENCYPART_SIBL
(0,15),(0,19),-0.101403 # DEPENDENCYPART_SIBL
(0,15),(0,20),0.00509902 # DEPENDENCYPART_SIBL
(0,15),(0,21),-0.0805058 # DEPENDENCYPART_SIBL
(0,16),(0,17),-0.202026 # DEPENDENCYPART_SIBL
(0,16),(0,18),-0.300327 # DEPENDENCYPART_SIBL
(0,16),(0,19),-0.210721 # DEPENDENCYPART_SIBL
(0,16),(0,20),-0.202026 # DEPENDENCYPART_SIBL
(0,16),(0,21),-0.340789 # DEPENDENCYPART_SIBL
(0,17),(0,18),-0.100866 # DEPENDENCYPART_SIBL
(0,17),(0,19),-0.0672676 # DEPENDENCYPART_SIBL
(0,17),(0,20),0.0509439 # DEPENDENCYPART_SIBL
(0,17),(0,21),-0.174982 # DEPENDENCYPART_SIBL
(0,18),(0,19),-0.0262715 # DEPENDENCYPART_SIBL
(0,18),(0,20),-0.0350732 # DEPENDENCYPART_SIBL
(0,18),(0,21),-0.108717 # DEPENDENCYPART_SIBL
(0,19),(0,20),0.0253026 # DEPENDENCYPART_SIBL
(0,19),(0,21),-0.085468 # DEPENDENCYPART_SIBL
(0,20),(0,21),-0.174982 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0823247 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.144997 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.0680419 # DEPENDENCYPART_SIBL
(1,2),(1,12),-0.0428028 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.0764692 # DEPENDENCYPART_SIBL
(1,3),(1,5),0.0212163 # DEPENDENCYPART_SIBL
(1,3),(1,12),0.0391497 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.0861392 # DEPENDENCYPART_SIBL
(1,4),(1,12),-0.0711172 # DEPENDENCYPART_SIBL
(1,5),(1,12),-0.049144 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.0549893 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.0058671 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0480044 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.0201875 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.0201875 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.00584002 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.000808207 # DEPENDENCYPART_SIBL
(3,1),(3,10),-0.020213 # DEPENDENCYPART_SIBL
(3,1),(3,11),-0.0399469 # DEPENDENCYPART_SIBL
(3,1),(3,13),-0.00584002 # DEPENDENCYPART_SIBL
(3,1),(3,14),-0.00584425 # DEPENDENCYPART_SIBL
(3,1),(3,15),0.0251699 # DEPENDENCYPART_SIBL
(3,1),(3,18),-0.00624831 # DEPENDENCYPART_SIBL
(3,1),(3,19),-0.000164542 # DEPENDENCYPART_SIBL
(3,1),(3,20),-0.0201875 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.00323057 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0103554 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.00758978 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.00758978 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.0153487 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.0217964 # DEPENDENCYPART_SIBL
(3,2),(3,10),-0.00761488 # DEPENDENCYPART_SIBL
(3,2),(3,11),-0.038331 # DEPENDENCYPART_SIBL
(3,2),(3,13),-0.0153487 # DEPENDENCYPART_SIBL
(3,2),(3,14),-0.0153499 # DEPENDENCYPART_SIBL
(3,2),(3,15),0.0280437 # DEPENDENCYPART_SIBL
(3,2),(3,18),-0.00530541 # DEPENDENCYPART_SIBL
(3,2),(3,19),0.0488345 # DEPENDENCYPART_SIBL
(3,2),(3,20),-0.00758978 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.100086 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0970364 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0970364 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.038407 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.0408681 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.0970626 # DEPENDENCYPART_SIBL
(3,4),(3,11),-0.0643255 # DEPENDENCYPART_SIBL
(3,4),(3,13),-0.038407 # DEPENDENCYPART_SIBL
(3,4),(3,14),-0.0387537 # DEPENDENCYPART_SIBL
(3,4),(3,15),-0.0787296 # DEPENDENCYPART_SIBL
(3,4),(3,18),-0.0408412 # DEPENDENCYPART_SIBL
(3,4),(3,19),-0.0888656 # DEPENDENCYPART_SIBL
(3,4),(3,20),-0.0970364 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0256178 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.0256178 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0267225 # DEPENDENCYPART_SIBL
(3,5),(3,9),0.0133302 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.0256439 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.0497397 # DEPENDENCYPART_SIBL
(3,5),(3,13),-0.0267225 # DEPENDENCYPART_SIBL
(3,5),(3,14),-0.0267225 # DEPENDENCYPART_SIBL
(3,5),(3,15),-0.00863564 # DEPENDENCYPART_SIBL
(3,5),(3,18),-0.0213425 # DEPENDENCYPART_SIBL
(3,5),(3,19),-0.0172285 # DEPENDENCYPART_SIBL
(3,5),(3,20),-0.0256178 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.0147462 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.0153158 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.023458 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.0147723 # DEPENDENCYPART_SIBL
(3,6),(3,11),-0.00766809 # DEPENDENCYPART_SIBL
(3,6),(3,13),-0.0153158 # DEPENDENCYPART_SIBL
(3,6),(3,14),-0.0153158 # DEPENDENCYPART_SIBL
(3,6),(3,15),-0.0245765 # DEPENDENCYPART_SIBL
(3,6),(3,18),0.00041334 # DEPENDENCYPART_SIBL
(3,6),(3,19),-0.0366591 # DEPENDENCYPART_SIBL
(3,6),(3,20),-0.0147462 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.0153158 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.023458 # DEPENDENCYPART_SIBL
(3,7),(3,10),-0.0147723 # DEPENDENCYPART_SIBL
(3,7),(3,11),-0.00766809 # DEPENDENCYPART_SIBL
(3,7),(3,13),-0.0153158 # DEPENDENCYPART_SIBL
(3,7),(3,14),-0.0153158 # DEPENDENCYPART_SIBL
(3,7),(3,15),-0.0245765 # DEPENDENCYPART_SIBL
(3,7),(3,18),0.00041334 # DEPENDENCYPART_SIBL
(3,7),(3,19),-0.0366591 # DEPENDENCYPART_SIBL
(3,7),(3,20),-0.0147462 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.030794 # DEPENDENCYPART_SIBL
(3,8),(3,10),-0.0454158 # DEPENDENCYPART_SIBL
(3,8),(3,11),-0.0328811 # DEPENDENCYPART_SIBL
(3,8),(3,13),-0.0220715 # DEPENDENCYPART_SIBL
(3,8),(3,14),-0.0220715 # DEPENDENCYPART_SIBL
(3,8),(3,15),0.0238584 # DEPENDENCYPART_SIBL
(3,8),(3,18),-0.0123569 # DEPENDENCYPART_SIBL
(3,8),(3,19),0.0143858 # DEPENDENCYPART_SIBL
(3,8),(3,20),-0.0453893 # DEPENDENCYPART_SIBL
(3,9),(3,10),-0.000710807 # DEPENDENCYPART_SIBL
(3,9),(3,11),0.0234223 # DEPENDENCYPART_SIBL
