# _root_ honi oxidazio-prozesu bat eta , ondoren kondentsazioko beste bat jarraikitzen bazaio , hortik konposatu kimiko edo eraldaketaren produktu mugatu bat sortuko da .
#goldHeads=10,10,2,21,4,10,10,9,10,4,10,11,21,16,14,21,18,16,18,18,0,21,22,
#predictedHeads=10,4,2,0,4,10,10,7,7,21,10,11,21,16,14,18,16,21,18,18,0,21,22,
(9,8),0.531375 # DEPENDENCYPART_ARC
(10,1),-0.349214 # DEPENDENCYPART_ARC
(10,2),0.109894 # DEPENDENCYPART_ARC
(10,3),-1.00571 # DEPENDENCYPART_ARC
(10,4),-0.219067 # DEPENDENCYPART_ARC
(10,5),-1.37126 # DEPENDENCYPART_ARC
(10,6),0.203935 # DEPENDENCYPART_ARC
(10,7),0.509759 # DEPENDENCYPART_ARC
(10,8),-0.346761 # DEPENDENCYPART_ARC
(10,9),0.532473 # DEPENDENCYPART_ARC
(10,11),2.65784 # DEPENDENCYPART_ARC
(10,12),-0.310936 # DEPENDENCYPART_ARC
(10,13),-0.299365 # DEPENDENCYPART_ARC
(10,14),-0.649342 # DEPENDENCYPART_ARC
(10,15),-0.894146 # DEPENDENCYPART_ARC
(10,16),-0.28878 # DEPENDENCYPART_ARC
(10,17),-1.44922 # DEPENDENCYPART_ARC
(10,18),-1.22866 # DEPENDENCYPART_ARC
(10,19),-0.558649 # DEPENDENCYPART_ARC
(10,21),-0.967888 # DEPENDENCYPART_ARC
(10,22),-1.58599 # DEPENDENCYPART_ARC
(11,7),-0.699688 # DEPENDENCYPART_ARC
(11,9),-0.568297 # DEPENDENCYPART_ARC
(11,12),1.34829 # DEPENDENCYPART_ARC
(11,13),-0.670042 # DEPENDENCYPART_ARC
(11,16),-0.527886 # DEPENDENCYPART_ARC
(11,21),-0.807294 # DEPENDENCYPART_ARC
(12,10),-0.79336 # DEPENDENCYPART_ARC
(12,11),-0.523165 # DEPENDENCYPART_ARC
(12,15),-1.07633 # DEPENDENCYPART_ARC
(12,21),-1.14445 # DEPENDENCYPART_ARC
(13,10),-1.15341 # DEPENDENCYPART_ARC
(13,12),-0.470903 # DEPENDENCYPART_ARC
(13,14),-0.276384 # DEPENDENCYPART_ARC
(13,17),-1.06316 # DEPENDENCYPART_ARC
(13,18),-1.05344 # DEPENDENCYPART_ARC
(14,9),-1.21058 # DEPENDENCYPART_ARC
(14,10),-0.94353 # DEPENDENCYPART_ARC
(14,12),-1.10852 # DEPENDENCYPART_ARC
(14,13),-0.386709 # DEPENDENCYPART_ARC
(14,15),1.44539 # DEPENDENCYPART_ARC
(14,16),-0.196139 # DEPENDENCYPART_ARC
(14,17),-0.568349 # DEPENDENCYPART_ARC
(14,18),-0.626063 # DEPENDENCYPART_ARC
(14,19),-0.467464 # DEPENDENCYPART_ARC
(14,20),-0.169662 # DEPENDENCYPART_ARC
(14,21),-0.614737 # DEPENDENCYPART_ARC
(14,23),-1.08759 # DEPENDENCYPART_ARC
(15,13),-0.505543 # DEPENDENCYPART_ARC
(15,14),-0.41633 # DEPENDENCYPART_ARC
(15,16),-0.0132219 # DEPENDENCYPART_ARC
(15,17),-0.671849 # DEPENDENCYPART_ARC
(16,2),-0.816793 # DEPENDENCYPART_ARC
(16,4),-0.637431 # DEPENDENCYPART_ARC
(16,6),-0.68203 # DEPENDENCYPART_ARC
(16,7),-0.733157 # DEPENDENCYPART_ARC
(16,9),-1.00378 # DEPENDENCYPART_ARC
(16,10),-0.614799 # DEPENDENCYPART_ARC
(16,11),-0.733713 # DEPENDENCYPART_ARC
(16,12),-1.10792 # DEPENDENCYPART_ARC
(16,13),-0.381007 # DEPENDENCYPART_ARC
(16,14),0.283366 # DEPENDENCYPART_ARC
(16,15),0.734088 # DEPENDENCYPART_ARC
(16,17),0.883802 # DEPENDENCYPART_ARC
(16,18),-0.07444 # DEPENDENCYPART_ARC
(16,19),-0.296495 # DEPENDENCYPART_ARC
(16,20),-0.411602 # DEPENDENCYPART_ARC
(16,21),-0.361967 # DEPENDENCYPART_ARC
(17,14),-1.03272 # DEPENDENCYPART_ARC
(17,15),-0.881516 # DEPENDENCYPART_ARC
(17,16),-0.168757 # DEPENDENCYPART_ARC
(17,18),0.0986614 # DEPENDENCYPART_ARC
(17,19),-1.33951 # DEPENDENCYPART_ARC
(17,20),-2.14735 # DEPENDENCYPART_ARC
(17,22),-1.80531 # DEPENDENCYPART_ARC
(17,23),-1.39657 # DEPENDENCYPART_ARC
(18,4),-0.729122 # DEPENDENCYPART_ARC
(18,10),-1.25032 # DEPENDENCYPART_ARC
(18,12),-1.46509 # DEPENDENCYPART_ARC
(18,13),-0.997667 # DEPENDENCYPART_ARC
(18,14),-0.565876 # DEPENDENCYPART_ARC
(18,15),-0.790602 # DEPENDENCYPART_ARC
(18,16),-0.232227 # DEPENDENCYPART_ARC
(18,17),0.969459 # DEPENDENCYPART_ARC
(18,19),0.488889 # DEPENDENCYPART_ARC
(18,20),0.816204 # DEPENDENCYPART_ARC
(18,22),-0.989194 # DEPENDENCYPART_ARC
(18,23),-1.00311 # DEPENDENCYPART_ARC
(19,2),-1.333 # DEPENDENCYPART_ARC
(19,4),-0.868989 # DEPENDENCYPART_ARC
(19,5),-1.97078 # DEPENDENCYPART_ARC
(19,6),-0.654397 # DEPENDENCYPART_ARC
(19,7),-1.26584 # DEPENDENCYPART_ARC
(19,8),-1.64036 # DEPENDENCYPART_ARC
(19,10),-1.17641 # DEPENDENCYPART_ARC
(19,11),-1.41457 # DEPENDENCYPART_ARC
(19,12),-1.97126 # DEPENDENCYPART_ARC
(19,13),-0.506261 # DEPENDENCYPART_ARC
(19,14),-0.689288 # DEPENDENCYPART_ARC
(19,15),-0.966623 # DEPENDENCYPART_ARC
(19,16),-0.228034 # DEPENDENCYPART_ARC
(19,17),-0.155442 # DEPENDENCYPART_ARC
(19,18),0.823512 # DEPENDENCYPART_ARC
(19,20),0.225341 # DEPENDENCYPART_ARC
(19,21),-0.167497 # DEPENDENCYPART_ARC
(19,22),-0.577522 # DEPENDENCYPART_ARC
(20,6),-0.74975 # DEPENDENCYPART_ARC
(20,13),-0.813302 # DEPENDENCYPART_ARC
(20,17),-0.639022 # DEPENDENCYPART_ARC
(20,18),-1.09396 # DEPENDENCYPART_ARC
(20,19),0.0410126 # DEPENDENCYPART_ARC
(21,2),-0.508288 # DEPENDENCYPART_ARC
(21,4),-0.389323 # DEPENDENCYPART_ARC
(21,5),-1.47175 # DEPENDENCYPART_ARC
(21,6),-0.176675 # DEPENDENCYPART_ARC
(21,7),-0.578734 # DEPENDENCYPART_ARC
(21,8),-1.13406 # DEPENDENCYPART_ARC
(21,10),-0.715136 # DEPENDENCYPART_ARC
(21,11),-0.802689 # DEPENDENCYPART_ARC
(21,12),-1.49113 # DEPENDENCYPART_ARC
(21,13),0.0493159 # DEPENDENCYPART_ARC
(21,14),-0.253011 # DEPENDENCYPART_ARC
(21,15),-0.926287 # DEPENDENCYPART_ARC
(21,16),0.155483 # DEPENDENCYPART_ARC
(21,17),-0.342178 # DEPENDENCYPART_ARC
(21,18),0.0646137 # DEPENDENCYPART_ARC
(21,19),0.400067 # DEPENDENCYPART_ARC
(21,20),0.523313 # DEPENDENCYPART_ARC
(21,22),1.50678 # DEPENDENCYPART_ARC
(21,23),-0.220638 # DEPENDENCYPART_ARC
(22,19),-1.53463 # DEPENDENCYPART_ARC
(22,20),-0.59509 # DEPENDENCYPART_ARC
(22,21),-0.841999 # DEPENDENCYPART_ARC
(22,23),1.52726 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.0107731 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.0588366 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.0608111 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.125319 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.00771403 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.0107731 # DEPENDENCYPART_SIBL
(0,1),(0,8),-0.0365854 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.0588366 # DEPENDENCYPART_SIBL
(0,1),(0,10),-0.134351 # DEPENDENCYPART_SIBL
(0,1),(0,11),-0.0548273 # DEPENDENCYPART_SIBL
(0,1),(0,12),-0.125319 # DEPENDENCYPART_SIBL
(0,1),(0,13),-0.0410925 # DEPENDENCYPART_SIBL
(0,1),(0,14),-0.0107731 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.040997 # DEPENDENCYPART_SIBL
(0,1),(0,16),-0.0162274 # DEPENDENCYPART_SIBL
(0,1),(0,18),-0.0107731 # DEPENDENCYPART_SIBL
(0,1),(0,19),-0.119826 # DEPENDENCYPART_SIBL
(0,1),(0,20),-0.0588366 # DEPENDENCYPART_SIBL
(0,1),(0,21),-0.0905546 # DEPENDENCYPART_SIBL
(0,1),(0,22),-0.0516053 # DEPENDENCYPART_SIBL
(0,1),(0,23),-0.132425 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.00105084 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.0875943 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.13484 # DEPENDENCYPART_SIBL
(0,2),(0,6),0.0787323 # DEPENDENCYPART_SIBL
(0,2),(0,7),0.0509439 # DEPENDENCYPART_SIBL
(0,2),(0,8),-0.000523468 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.00105084 # DEPENDENCYPART_SIBL
(0,2),(0,10),-0.127595 # DEPENDENCYPART_SIBL
(0,2),(0,11),-0.0588941 # DEPENDENCYPART_SIBL
(0,2),(0,12),-0.13484 # DEPENDENCYPART_SIBL
(0,2),(0,13),0.00849686 # DEPENDENCYPART_SIBL
(0,2),(0,14),0.0509439 # DEPENDENCYPART_SIBL
(0,2),(0,15),0.0183522 # DEPENDENCYPART_SIBL
(0,2),(0,16),-0.0465866 # DEPENDENCYPART_SIBL
(0,2),(0,18),0.0509439 # DEPENDENCYPART_SIBL
(0,2),(0,19),-0.112926 # DEPENDENCYPART_SIBL
(0,2),(0,20),-0.00105084 # DEPENDENCYPART_SIBL
(0,2),(0,21),-0.0831962 # DEPENDENCYPART_SIBL
(0,2),(0,22),-0.0413996 # DEPENDENCYPART_SIBL
(0,2),(0,23),-0.174982 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.0723879 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.127294 # DEPENDENCYPART_SIBL
(0,3),(0,6),0.00343801 # DEPENDENCYPART_SIBL
(0,3),(0,7),-0.0118007 # DEPENDENCYPART_SIBL
(0,3),(0,8),-0.0365789 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.059502 # DEPENDENCYPART_SIBL
(0,3),(0,10),-0.14001 # DEPENDENCYPART_SIBL
(0,3),(0,11),-0.0575424 # DEPENDENCYPART_SIBL
(0,3),(0,12),-0.127294 # DEPENDENCYPART_SIBL
(0,3),(0,13),-0.0299405 # DEPENDENCYPART_SIBL
(0,3),(0,14),-0.0118007 # DEPENDENCYPART_SIBL
(0,3),(0,15),-0.0471526 # DEPENDENCYPART_SIBL
(0,3),(0,16),-0.0273305 # DEPENDENCYPART_SIBL
(0,3),(0,18),-0.0118007 # DEPENDENCYPART_SIBL
(0,3),(0,19),-0.125484 # DEPENDENCYPART_SIBL
(0,3),(0,20),-0.059502 # DEPENDENCYPART_SIBL
(0,3),(0,21),-0.0962148 # DEPENDENCYPART_SIBL
(0,3),(0,22),-0.0544427 # DEPENDENCYPART_SIBL
(0,3),(0,23),-0.134395 # DEPENDENCYPART_SIBL
(0,4),(0,5),0.0156699 # DEPENDENCYPART_SIBL
(0,4),(0,6),0.0968446 # DEPENDENCYPART_SIBL
(0,4),(0,7),-0.0223684 # DEPENDENCYPART_SIBL
(0,4),(0,8),0.0327891 # DEPENDENCYPART_SIBL
(0,4),(0,9),0.0364992 # DEPENDENCYPART_SIBL
(0,4),(0,10),-0.0618746 # DEPENDENCYPART_SIBL
(0,4),(0,11),-0.00395817 # DEPENDENCYPART_SIBL
(0,4),(0,12),0.0156699 # DEPENDENCYPART_SIBL
(0,4),(0,13),0.0559531 # DEPENDENCYPART_SIBL
(0,4),(0,14),-0.0223684 # DEPENDENCYPART_SIBL
(0,4),(0,15),0.025881 # DEPENDENCYPART_SIBL
(0,4),(0,16),0.019126 # DEPENDENCYPART_SIBL
(0,4),(0,18),-0.0223684 # DEPENDENCYPART_SIBL
(0,4),(0,19),-0.0341694 # DEPENDENCYPART_SIBL
(0,4),(0,20),0.0364992 # DEPENDENCYPART_SIBL
(0,4),(0,21),-0.00464411 # DEPENDENCYPART_SIBL
(0,4),(0,22),0.0163256 # DEPENDENCYPART_SIBL
(0,4),(0,23),-0.0473547 # DEPENDENCYPART_SIBL
(0,5),(0,6),-0.274994 # DEPENDENCYPART_SIBL
(0,5),(0,7),-0.202026 # DEPENDENCYPART_SIBL
(0,5),(0,8),-0.18141 # DEPENDENCYPART_SIBL
(0,5),(0,9),-0.173746 # DEPENDENCYPART_SIBL
(0,5),(0,10),-0.308164 # DEPENDENCYPART_SIBL
(0,5),(0,11),-0.200902 # DEPENDENCYPART_SIBL
(0,5),(0,12),-0.413823 # DEPENDENCYPART_SIBL
(0,5),(0,13),-0.308241 # DEPENDENCYPART_SIBL
(0,5),(0,14),-0.202026 # DEPENDENCYPART_SIBL
(0,5),(0,15),-0.132739 # DEPENDENCYPART_SIBL
(0,5),(0,16),-0.167929 # DEPENDENCYPART_SIBL
(0,5),(0,18),-0.202026 # DEPENDENCYPART_SIBL
(0,5),(0,19),-0.293872 # DEPENDENCYPART_SIBL
(0,5),(0,20),-0.173746 # DEPENDENCYPART_SIBL
(0,5),(0,21),-0.263971 # DEPENDENCYPART_SIBL
(0,5),(0,22),-0.206064 # DEPENDENCYPART_SIBL
(0,5),(0,23),-0.340789 # DEPENDENCYPART_SIBL
(0,6),(0,7),0.107264 # DEPENDENCYPART_SIBL
(0,6),(0,8),0.0584694 # DEPENDENCYPART_SIBL
(0,6),(0,9),0.0614061 # DEPENDENCYPART_SIBL
(0,6),(0,10),-0.0503512 # DEPENDENCYPART_SIBL
(0,6),(0,11),-0.0450412 # DEPENDENCYPART_SIBL
(0,6),(0,12),-0.0700946 # DEPENDENCYPART_SIBL
(0,6),(0,13),-0.0321451 # DEPENDENCYPART_SIBL
(0,6),(0,14),0.107264 # DEPENDENCYPART_SIBL
(0,6),(0,15),0.0610149 # DEPENDENCYPART_SIBL
(0,6),(0,16),-0.04471 # DEPENDENCYPART_SIBL
(0,6),(0,18),0.107264 # DEPENDENCYPART_SIBL
(0,6),(0,19),-0.035824 # DEPENDENCYPART_SIBL
(0,6),(0,20),0.0614061 # DEPENDENCYPART_SIBL
(0,6),(0,21),0.0187851 # DEPENDENCYPART_SIBL
(0,6),(0,22),0.00458563 # DEPENDENCYPART_SIBL
(0,6),(0,23),-0.0907393 # DEPENDENCYPART_SIBL
(0,7),(0,8),-0.000523468 # DEPENDENCYPART_SIBL
(0,7),(0,9),-0.00105084 # DEPENDENCYPART_SIBL
(0,7),(0,10),-0.127595 # DEPENDENCYPART_SIBL
(0,7),(0,11),-0.0588941 # DEPENDENCYPART_SIBL
(0,7),(0,12),-0.13484 # DEPENDENCYPART_SIBL
(0,7),(0,13),0.00849686 # DEPENDENCYPART_SIBL
(0,7),(0,14),0.0509439 # DEPENDENCYPART_SIBL
(0,7),(0,15),0.0183522 # DEPENDENCYPART_SIBL
(0,7),(0,16),-0.0465866 # DEPENDENCYPART_SIBL
(0,7),(0,18),0.0509439 # DEPENDENCYPART_SIBL
(0,7),(0,19),-0.112926 # DEPENDENCYPART_SIBL
(0,7),(0,20),-0.00105084 # DEPENDENCYPART_SIBL
(0,7),(0,21),-0.0831962 # DEPENDENCYPART_SIBL
(0,7),(0,22),-0.0413996 # DEPENDENCYPART_SIBL
(0,7),(0,23),-0.174982 # DEPENDENCYPART_SIBL
(0,8),(0,9),-0.0824591 # DEPENDENCYPART_SIBL
(0,8),(0,10),-0.147396 # DEPENDENCYPART_SIBL
(0,8),(0,11),-0.0634516 # DEPENDENCYPART_SIBL
(0,8),(0,12),-0.140558 # DEPENDENCYPART_SIBL
(0,8),(0,13),-0.0497151 # DEPENDENCYPART_SIBL
(0,8),(0,14),-0.0242551 # DEPENDENCYPART_SIBL
(0,8),(0,15),-0.0496102 # DEPENDENCYPART_SIBL
(0,8),(0,16),-0.0367563 # DEPENDENCYPART_SIBL
(0,8),(0,18),-0.0242551 # DEPENDENCYPART_SIBL
(0,8),(0,19),-0.13287 # DEPENDENCYPART_SIBL
(0,8),(0,20),-0.0824591 # DEPENDENCYPART_SIBL
(0,8),(0,21),-0.103599 # DEPENDENCYPART_SIBL
(0,8),(0,22),-0.0602407 # DEPENDENCYPART_SIBL
(0,8),(0,23),-0.146399 # DEPENDENCYPART_SIBL
(0,9),(0,10),-0.14001 # DEPENDENCYPART_SIBL
(0,9),(0,11),-0.0575424 # DEPENDENCYPART_SIBL
(0,9),(0,12),-0.127294 # DEPENDENCYPART_SIBL
(0,9),(0,13),-0.0299405 # DEPENDENCYPART_SIBL
(0,9),(0,14),-0.0118007 # DEPENDENCYPART_SIBL
(0,9),(0,15),-0.0471526 # DEPENDENCYPART_SIBL
(0,9),(0,16),-0.0273305 # DEPENDENCYPART_SIBL
(0,9),(0,18),-0.0118007 # DEPENDENCYPART_SIBL
(0,9),(0,19),-0.125484 # DEPENDENCYPART_SIBL
(0,9),(0,20),-0.059502 # DEPENDENCYPART_SIBL
(0,9),(0,21),-0.0962148 # DEPENDENCYPART_SIBL
(0,9),(0,22),-0.0544427 # DEPENDENCYPART_SIBL
(0,9),(0,23),-0.134395 # DEPENDENCYPART_SIBL
(0,10),(0,11),-0.00966688 # DEPENDENCYPART_SIBL
(0,10),(0,12),-0.0657803 # DEPENDENCYPART_SIBL
(0,10),(0,13),-0.0629414 # DEPENDENCYPART_SIBL
(0,10),(0,14),-0.0235004 # DEPENDENCYPART_SIBL
(0,10),(0,15),-0.0179758 # DEPENDENCYPART_SIBL
(0,10),(0,16),-0.0601891 # DEPENDENCYPART_SIBL
(0,10),(0,18),-0.0235004 # DEPENDENCYPART_SIBL
(0,10),(0,19),-0.143533 # DEPENDENCYPART_SIBL
(0,10),(0,20),-0.0103174 # DEPENDENCYPART_SIBL
(0,10),(0,21),-0.113842 # DEPENDENCYPART_SIBL
(0,10),(0,22),-0.0461881 # DEPENDENCYPART_SIBL
(0,10),(0,23),-0.0880461 # DEPENDENCYPART_SIBL
(0,11),(0,12),-0.0716099 # DEPENDENCYPART_SIBL
(0,11),(0,13),0.00646669 # DEPENDENCYPART_SIBL
(0,11),(0,14),0.00475048 # DEPENDENCYPART_SIBL
(0,11),(0,15),0.0153712 # DEPENDENCYPART_SIBL
(0,11),(0,16),-0.00624967 # DEPENDENCYPART_SIBL
(0,11),(0,18),0.00475048 # DEPENDENCYPART_SIBL
(0,11),(0,19),-0.0152472 # DEPENDENCYPART_SIBL
(0,11),(0,20),0.0178717 # DEPENDENCYPART_SIBL
(0,11),(0,21),0.0104668 # DEPENDENCYPART_SIBL
(0,11),(0,22),-0.0808285 # DEPENDENCYPART_SIBL
(0,11),(0,23),-0.0802417 # DEPENDENCYPART_SIBL
(0,12),(0,13),-0.308241 # DEPENDENCYPART_SIBL
(0,12),(0,14),-0.202026 # DEPENDENCYPART_SIBL
(0,12),(0,15),-0.132739 # DEPENDENCYPART_SIBL
(0,12),(0,16),-0.167929 # DEPENDENCYPART_SIBL
(0,12),(0,18),-0.202026 # DEPENDENCYPART_SIBL
(0,12),(0,19),-0.293872 # DEPENDENCYPART_SIBL
(0,12),(0,20),-0.173746 # DEPENDENCYPART_SIBL
(0,12),(0,21),-0.263971 # DEPENDENCYPART_SIBL
(0,12),(0,22),-0.206064 # DEPENDENCYPART_SIBL
(0,12),(0,23),-0.340789 # DEPENDENCYPART_SIBL
(0,13),(0,14),0.0773062 # DEPENDENCYPART_SIBL
(0,13),(0,15),0.0478426 # DEPENDENCYPART_SIBL
(0,13),(0,16),-0.0530972 # DEPENDENCYPART_SIBL
(0,13),(0,18),0.0773062 # DEPENDENCYPART_SIBL
(0,13),(0,19),-0.0392661 # DEPENDENCYPART_SIBL
(0,13),(0,20),0.048364 # DEPENDENCYPART_SIBL
(0,13),(0,21),0.0153429 # DEPENDENCYPART_SIBL
(0,13),(0,22),-0.0077379 # DEPENDENCYPART_SIBL
(0,13),(0,23),-0.105293 # DEPENDENCYPART_SIBL
(0,14),(0,15),0.0183522 # DEPENDENCYPART_SIBL
(0,14),(0,16),-0.0465866 # DEPENDENCYPART_SIBL
(0,14),(0,18),0.0509439 # DEPENDENCYPART_SIBL
(0,14),(0,19),-0.112926 # DEPENDENCYPART_SIBL
(0,14),(0,20),-0.00105084 # DEPENDENCYPART_SIBL
(0,14),(0,21),-0.0831962 # DEPENDENCYPART_SIBL
(0,14),(0,22),-0.0413996 # DEPENDENCYPART_SIBL
(0,14),(0,23),-0.174982 # DEPENDENCYPART_SIBL
(0,15),(0,16),-0.0231962 # DEPENDENCYPART_SIBL
(0,15),(0,18),-0.000830356 # DEPENDENCYPART_SIBL
(0,15),(0,19),-0.0991061 # DEPENDENCYPART_SIBL
(0,15),(0,20),0.0906542 # DEPENDENCYPART_SIBL
(0,15),(0,21),-0.0715061 # DEPENDENCYPART_SIBL
(0,15),(0,22),-0.0331051 # DEPENDENCYPART_SIBL
(0,15),(0,23),-0.0798058 # DEPENDENCYPART_SIBL
(0,16),(0,18),-0.0474885 # DEPENDENCYPART_SIBL
(0,16),(0,19),-0.0246121 # DEPENDENCYPART_SIBL
(0,16),(0,20),0.0262122 # DEPENDENCYPART_SIBL
(0,16),(0,21),0.00456378 # DEPENDENCYPART_SIBL
(0,16),(0,22),-0.00851338 # DEPENDENCYPART_SIBL
(0,16),(0,23),-0.0994425 # DEPENDENCYPART_SIBL
(0,18),(0,19),-0.112926 # DEPENDENCYPART_SIBL
(0,18),(0,20),-0.00105084 # DEPENDENCYPART_SIBL
(0,18),(0,21),-0.0831962 # DEPENDENCYPART_SIBL
(0,18),(0,22),-0.0413996 # DEPENDENCYPART_SIBL
(0,18),(0,23),-0.174982 # DEPENDENCYPART_SIBL
(0,19),(0,20),0.0186497 # DEPENDENCYPART_SIBL
(0,19),(0,21),-0.0858029 # DEPENDENCYPART_SIBL
(0,19),(0,22),-0.0284156 # DEPENDENCYPART_SIBL
(0,19),(0,23),-0.0695285 # DEPENDENCYPART_SIBL
(0,20),(0,21),-0.0962148 # DEPENDENCYPART_SIBL
(0,20),(0,22),-0.0544427 # DEPENDENCYPART_SIBL
(0,20),(0,23),-0.134395 # DEPENDENCYPART_SIBL
(0,21),(0,22),-0.0287879 # DEPENDENCYPART_SIBL
(0,21),(0,23),-0.0693197 # DEPENDENCYPART_SIBL
(0,22),(0,23),-0.0856939 # DEPENDENCYPART_SIBL
(1,2),(1,8),0.00437962 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.00390526 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0188051 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0419914 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.0995673 # DEPENDENCYPART_SIBL
(2,1),(2,9),-0.00390526 # DEPENDENCYPART_SIBL
(2,1),(2,20),-0.00390526 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.00677388 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.132599 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.0653557 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.0256884 # DEPENDENCYPART_SIBL
