# _root_ era_berean , beti erabiltzeko prest edukiko dituen goiz , eguerdi eta gauerako opari ekitaldietarako beharrezko gaiak zainduko ditu lorategian .
#goldHeads=0,1,6,5,6,16,6,11,8,11,14,11,14,16,16,17,0,17,17,19,
#predictedHeads=17,1,4,6,6,8,6,11,8,11,17,11,14,16,16,17,0,17,17,19,
(16,6),-1.04111 # DEPENDENCYPART_ARC
(16,8),-0.682202 # DEPENDENCYPART_ARC
(16,9),-1.4533 # DEPENDENCYPART_ARC
(16,10),-1.02216 # DEPENDENCYPART_ARC
(16,11),-0.305788 # DEPENDENCYPART_ARC
(16,12),0.163973 # DEPENDENCYPART_ARC
(16,13),-0.188032 # DEPENDENCYPART_ARC
(16,14),1.15605 # DEPENDENCYPART_ARC
(16,15),1.41974 # DEPENDENCYPART_ARC
(16,17),-0.833977 # DEPENDENCYPART_ARC
(16,18),-0.759571 # DEPENDENCYPART_ARC
(16,19),-1.29626 # DEPENDENCYPART_ARC
(16,20),-0.971218 # DEPENDENCYPART_ARC
(17,1),-0.324585 # DEPENDENCYPART_ARC
(17,2),-1.74365 # DEPENDENCYPART_ARC
(17,3),-0.407644 # DEPENDENCYPART_ARC
(17,4),-0.072477 # DEPENDENCYPART_ARC
(17,5),-0.587664 # DEPENDENCYPART_ARC
(17,6),-0.594193 # DEPENDENCYPART_ARC
(17,7),-0.781485 # DEPENDENCYPART_ARC
(17,8),-0.840323 # DEPENDENCYPART_ARC
(17,10),-0.654314 # DEPENDENCYPART_ARC
(17,11),-0.107534 # DEPENDENCYPART_ARC
(17,12),-0.519273 # DEPENDENCYPART_ARC
(17,13),-0.105406 # DEPENDENCYPART_ARC
(17,14),-0.281016 # DEPENDENCYPART_ARC
(17,15),0.063678 # DEPENDENCYPART_ARC
(17,16),1.6031 # DEPENDENCYPART_ARC
(17,18),1.29888 # DEPENDENCYPART_ARC
(17,19),1.09395 # DEPENDENCYPART_ARC
(18,16),-0.408639 # DEPENDENCYPART_ARC
(18,19),-0.415142 # DEPENDENCYPART_ARC
(19,1),-1.29156 # DEPENDENCYPART_ARC
(19,11),-0.912194 # DEPENDENCYPART_ARC
(19,14),-0.466668 # DEPENDENCYPART_ARC
(19,15),-0.525652 # DEPENDENCYPART_ARC
(19,16),-2.46769 # DEPENDENCYPART_ARC
(19,17),-0.577461 # DEPENDENCYPART_ARC
(19,18),-1.12703 # DEPENDENCYPART_ARC
(19,20),1.4191 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.0361806 # DEPENDENCYPART_SIBL
(0,1),(0,3),0.026831 # DEPENDENCYPART_SIBL
(0,1),(0,4),0.0656553 # DEPENDENCYPART_SIBL
(0,1),(0,5),0.0190976 # DEPENDENCYPART_SIBL
(0,1),(0,6),0.166516 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.0124401 # DEPENDENCYPART_SIBL
(0,1),(0,8),0.124058 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.0361806 # DEPENDENCYPART_SIBL
(0,1),(0,11),-0.030285 # DEPENDENCYPART_SIBL
(0,1),(0,13),0.124058 # DEPENDENCYPART_SIBL
(0,1),(0,14),0.124058 # DEPENDENCYPART_SIBL
(0,1),(0,16),0.124058 # DEPENDENCYPART_SIBL
(0,1),(0,17),0.0656971 # DEPENDENCYPART_SIBL
(0,1),(0,18),-0.021402 # DEPENDENCYPART_SIBL
(0,1),(0,19),0.124058 # DEPENDENCYPART_SIBL
(0,1),(0,20),-0.0568252 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.283023 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.29432 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.291007 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.264223 # DEPENDENCYPART_SIBL
(0,2),(0,7),-0.201856 # DEPENDENCYPART_SIBL
(0,2),(0,8),-0.202026 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.413823 # DEPENDENCYPART_SIBL
(0,2),(0,11),-0.226163 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.202026 # DEPENDENCYPART_SIBL
(0,2),(0,14),-0.202026 # DEPENDENCYPART_SIBL
(0,2),(0,16),-0.202026 # DEPENDENCYPART_SIBL
(0,2),(0,17),-0.293028 # DEPENDENCYPART_SIBL
(0,2),(0,18),-0.194092 # DEPENDENCYPART_SIBL
(0,2),(0,19),-0.202026 # DEPENDENCYPART_SIBL
(0,2),(0,20),-0.340789 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.0369084 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.0284273 # DEPENDENCYPART_SIBL
(0,3),(0,6),0.0351471 # DEPENDENCYPART_SIBL
(0,3),(0,7),-0.0586421 # DEPENDENCYPART_SIBL
(0,3),(0,8),0.0782901 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.0883458 # DEPENDENCYPART_SIBL
(0,3),(0,11),-0.0735591 # DEPENDENCYPART_SIBL
(0,3),(0,13),0.0782901 # DEPENDENCYPART_SIBL
(0,3),(0,14),0.0782901 # DEPENDENCYPART_SIBL
(0,3),(0,16),0.0782901 # DEPENDENCYPART_SIBL
(0,3),(0,17),-0.0368666 # DEPENDENCYPART_SIBL
(0,3),(0,18),-0.0676039 # DEPENDENCYPART_SIBL
(0,3),(0,19),0.0782901 # DEPENDENCYPART_SIBL
(0,3),(0,20),-0.10899 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.0290858 # DEPENDENCYPART_SIBL
(0,4),(0,6),-0.0889634 # DEPENDENCYPART_SIBL
(0,4),(0,7),0.0068293 # DEPENDENCYPART_SIBL
(0,4),(0,8),-0.00562242 # DEPENDENCYPART_SIBL
(0,4),(0,9),-0.0464622 # DEPENDENCYPART_SIBL
(0,4),(0,11),-0.126699 # DEPENDENCYPART_SIBL
(0,4),(0,13),-0.00562242 # DEPENDENCYPART_SIBL
(0,4),(0,14),-0.00562242 # DEPENDENCYPART_SIBL
(0,4),(0,16),-0.00562242 # DEPENDENCYPART_SIBL
(0,4),(0,17),-0.117769 # DEPENDENCYPART_SIBL
(0,4),(0,18),-0.0180782 # DEPENDENCYPART_SIBL
(0,4),(0,19),-0.00562242 # DEPENDENCYPART_SIBL
(0,4),(0,20),-0.0693041 # DEPENDENCYPART_SIBL
(0,5),(0,6),0.0507197 # DEPENDENCYPART_SIBL
(0,5),(0,7),-0.0435926 # DEPENDENCYPART_SIBL
(0,5),(0,8),0.0923142 # DEPENDENCYPART_SIBL
(0,5),(0,9),-0.0684854 # DEPENDENCYPART_SIBL
(0,5),(0,11),-0.0567826 # DEPENDENCYPART_SIBL
(0,5),(0,13),0.0923142 # DEPENDENCYPART_SIBL
(0,5),(0,14),0.0923142 # DEPENDENCYPART_SIBL
(0,5),(0,16),0.0923142 # DEPENDENCYPART_SIBL
(0,5),(0,17),-0.0212939 # DEPENDENCYPART_SIBL
(0,5),(0,18),-0.0525545 # DEPENDENCYPART_SIBL
(0,5),(0,19),0.0923142 # DEPENDENCYPART_SIBL
(0,5),(0,20),-0.0891301 # DEPENDENCYPART_SIBL
(0,6),(0,7),0.00682761 # DEPENDENCYPART_SIBL
(0,6),(0,8),-0.00562664 # DEPENDENCYPART_SIBL
(0,6),(0,9),-0.0464639 # DEPENDENCYPART_SIBL
(0,6),(0,11),-0.126701 # DEPENDENCYPART_SIBL
(0,6),(0,13),-0.00562664 # DEPENDENCYPART_SIBL
(0,6),(0,14),-0.00562664 # DEPENDENCYPART_SIBL
(0,6),(0,16),-0.00562664 # DEPENDENCYPART_SIBL
(0,6),(0,17),-0.117135 # DEPENDENCYPART_SIBL
(0,6),(0,18),-0.0180799 # DEPENDENCYPART_SIBL
(0,6),(0,19),-0.00562664 # DEPENDENCYPART_SIBL
(0,6),(0,20),-0.0693058 # DEPENDENCYPART_SIBL
(0,7),(0,8),0.0101592 # DEPENDENCYPART_SIBL
(0,7),(0,9),-0.0624674 # DEPENDENCYPART_SIBL
(0,7),(0,11),-0.0245376 # DEPENDENCYPART_SIBL
(0,7),(0,13),0.0101592 # DEPENDENCYPART_SIBL
(0,7),(0,14),0.0101592 # DEPENDENCYPART_SIBL
(0,7),(0,16),0.0101592 # DEPENDENCYPART_SIBL
(0,7),(0,17),-0.00650027 # DEPENDENCYPART_SIBL
(0,7),(0,18),-0.0936641 # DEPENDENCYPART_SIBL
(0,7),(0,19),0.0101592 # DEPENDENCYPART_SIBL
(0,7),(0,20),-0.0710702 # DEPENDENCYPART_SIBL
(0,8),(0,9),-0.13484 # DEPENDENCYPART_SIBL
(0,8),(0,11),-0.0875943 # DEPENDENCYPART_SIBL
(0,8),(0,13),0.0509439 # DEPENDENCYPART_SIBL
(0,8),(0,14),0.0509439 # DEPENDENCYPART_SIBL
(0,8),(0,16),0.0509439 # DEPENDENCYPART_SIBL
(0,8),(0,17),-0.112279 # DEPENDENCYPART_SIBL
(0,8),(0,18),-0.0705183 # DEPENDENCYPART_SIBL
(0,8),(0,19),0.0509439 # DEPENDENCYPART_SIBL
(0,8),(0,20),-0.174982 # DEPENDENCYPART_SIBL
(0,9),(0,11),-0.226163 # DEPENDENCYPART_SIBL
(0,9),(0,13),-0.202026 # DEPENDENCYPART_SIBL
(0,9),(0,14),-0.202026 # DEPENDENCYPART_SIBL
(0,9),(0,16),-0.202026 # DEPENDENCYPART_SIBL
(0,9),(0,17),-0.293028 # DEPENDENCYPART_SIBL
(0,9),(0,18),-0.194092 # DEPENDENCYPART_SIBL
(0,9),(0,19),-0.202026 # DEPENDENCYPART_SIBL
(0,9),(0,20),-0.340789 # DEPENDENCYPART_SIBL
(0,11),(0,13),-0.0223684 # DEPENDENCYPART_SIBL
(0,11),(0,14),-0.0223684 # DEPENDENCYPART_SIBL
(0,11),(0,16),-0.0223684 # DEPENDENCYPART_SIBL
(0,11),(0,17),-0.032339 # DEPENDENCYPART_SIBL
(0,11),(0,18),-0.0192903 # DEPENDENCYPART_SIBL
(0,11),(0,19),-0.0223684 # DEPENDENCYPART_SIBL
(0,11),(0,20),-0.0473547 # DEPENDENCYPART_SIBL
(0,13),(0,14),0.0509439 # DEPENDENCYPART_SIBL
(0,13),(0,16),0.0509439 # DEPENDENCYPART_SIBL
(0,13),(0,17),-0.112279 # DEPENDENCYPART_SIBL
(0,13),(0,18),-0.0705183 # DEPENDENCYPART_SIBL
(0,13),(0,19),0.0509439 # DEPENDENCYPART_SIBL
(0,13),(0,20),-0.174982 # DEPENDENCYPART_SIBL
(0,14),(0,16),0.0509439 # DEPENDENCYPART_SIBL
(0,14),(0,17),-0.112279 # DEPENDENCYPART_SIBL
(0,14),(0,18),-0.0705183 # DEPENDENCYPART_SIBL
(0,14),(0,19),0.0509439 # DEPENDENCYPART_SIBL
(0,14),(0,20),-0.174982 # DEPENDENCYPART_SIBL
(0,16),(0,17),-0.112279 # DEPENDENCYPART_SIBL
(0,16),(0,18),-0.0705183 # DEPENDENCYPART_SIBL
(0,16),(0,19),0.0509439 # DEPENDENCYPART_SIBL
(0,16),(0,20),-0.174982 # DEPENDENCYPART_SIBL
(0,17),(0,18),-0.0180782 # DEPENDENCYPART_SIBL
(0,17),(0,19),-0.00562242 # DEPENDENCYPART_SIBL
(0,17),(0,20),-0.0693041 # DEPENDENCYPART_SIBL
(0,18),(0,19),0.0262057 # DEPENDENCYPART_SIBL
(0,18),(0,20),-0.0631129 # DEPENDENCYPART_SIBL
(0,19),(0,20),-0.175063 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.149758 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.153591 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.00322115 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.00489785 # DEPENDENCYPART_SIBL
(2,4),(2,17),0.00489785 # DEPENDENCYPART_SIBL
(2,6),(2,17),0.00578644 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.0158694 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.0282269 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.00279755 # DEPENDENCYPART_SIBL
(3,1),(3,9),0.0103784 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0194294 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.0114707 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.123215 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.00804268 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.0159185 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.0372404 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.0353373 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.0156422 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.0865944 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.0348808 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.00484925 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.0209191 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.0435139 # DEPENDENCYPART_SIBL
(4,1),(4,10),-0.0208605 # DEPENDENCYPART_SIBL
(4,1),(4,11),-0.0609939 # DEPENDENCYPART_SIBL
(4,1),(4,12),-0.0208605 # DEPENDENCYPART_SIBL
(4,1),(4,13),-0.0208605 # DEPENDENCYPART_SIBL
(4,1),(4,14),-0.0208605 # DEPENDENCYPART_SIBL
(4,1),(4,15),-0.0232913 # DEPENDENCYPART_SIBL
(4,1),(4,16),-0.0208605 # DEPENDENCYPART_SIBL
(4,1),(4,17),-0.0348808 # DEPENDENCYPART_SIBL
(4,1),(4,18),-0.00947462 # DEPENDENCYPART_SIBL
(4,1),(4,19),-0.0208605 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.0835383 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0220496 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0159077 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.00286678 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.00323158 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.00558212 # DEPENDENCYPART_SIBL
(4,2),(4,10),-0.00323158 # DEPENDENCYPART_SIBL
(4,2),(4,11),-0.0452097 # DEPENDENCYPART_SIBL
(4,2),(4,12),-0.00323158 # DEPENDENCYPART_SIBL
(4,2),(4,13),-0.00323158 # DEPENDENCYPART_SIBL
(4,2),(4,14),-0.00323158 # DEPENDENCYPART_SIBL
(4,2),(4,15),-0.0241571 # DEPENDENCYPART_SIBL
(4,2),(4,16),-0.00323158 # DEPENDENCYPART_SIBL
(4,2),(4,17),-0.0159077 # DEPENDENCYPART_SIBL
(4,2),(4,18),0.0112126 # DEPENDENCYPART_SIBL
(4,2),(4,19),-0.00323158 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0201475 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.0311532 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.0567691 # DEPENDENCYPART_SIBL
(4,3),(4,8),0.0151411 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.0236143 # DEPENDENCYPART_SIBL
(4,3),(4,10),0.0151998 # DEPENDENCYPART_SIBL
(4,3),(4,11),-0.000226661 # DEPENDENCYPART_SIBL
(4,3),(4,12),0.0151998 # DEPENDENCYPART_SIBL
(4,3),(4,13),0.0151998 # DEPENDENCYPART_SIBL
(4,3),(4,14),0.0151998 # DEPENDENCYPART_SIBL
(4,3),(4,15),0.0139873 # DEPENDENCYPART_SIBL
(4,3),(4,16),0.0151998 # DEPENDENCYPART_SIBL
(4,3),(4,17),0.0311532 # DEPENDENCYPART_SIBL
(4,3),(4,18),0.0804668 # DEPENDENCYPART_SIBL
(4,3),(4,19),0.0151998 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.00768991 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.034025 # DEPENDENCYPART_SIBL
(4,5),(4,8),0.0111638 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.0615597 # DEPENDENCYPART_SIBL
(4,5),(4,10),0.0111638 # DEPENDENCYPART_SIBL
(4,5),(4,11),-0.013928 # DEPENDENCYPART_SIBL
(4,5),(4,12),0.0111638 # DEPENDENCYPART_SIBL
(4,5),(4,13),0.0111638 # DEPENDENCYPART_SIBL
(4,5),(4,14),0.0111638 # DEPENDENCYPART_SIBL
(4,5),(4,15),8.23753e-05 # DEPENDENCYPART_SIBL
(4,5),(4,16),0.0111638 # DEPENDENCYPART_SIBL
(4,5),(4,17),-0.0220926 # DEPENDENCYPART_SIBL
(4,5),(4,18),-0.0307987 # DEPENDENCYPART_SIBL
(4,5),(4,19),0.0111638 # DEPENDENCYPART_SIBL
(4,6),(4,7),0.0311089 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.0453901 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.0484521 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.0453901 # DEPENDENCYPART_SIBL
(4,6),(4,11),-0.0409922 # DEPENDENCYPART_SIBL
(4,6),(4,12),-0.0453901 # DEPENDENCYPART_SIBL
(4,6),(4,13),-0.0453901 # DEPENDENCYPART_SIBL
(4,6),(4,14),-0.0453901 # DEPENDENCYPART_SIBL
(4,6),(4,15),-0.0339212 # DEPENDENCYPART_SIBL
(4,6),(4,16),-0.0453901 # DEPENDENCYPART_SIBL
(4,6),(4,17),-0.0220715 # DEPENDENCYPART_SIBL
(4,6),(4,18),0.0312881 # DEPENDENCYPART_SIBL
(4,6),(4,19),-0.0453901 # DEPENDENCYPART_SIBL
(4,7),(4,8),0.0040282 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.0416373 # DEPENDENCYPART_SIBL
(4,7),(4,10),0.0040282 # DEPENDENCYPART_SIBL
(4,7),(4,11),-0.00239362 # DEPENDENCYPART_SIBL
(4,7),(4,12),0.0040282 # DEPENDENCYPART_SIBL
(4,7),(4,13),0.0040282 # DEPENDENCYPART_SIBL
(4,7),(4,14),0.0040282 # DEPENDENCYPART_SIBL
(4,7),(4,15),-0.0314195 # DEPENDENCYPART_SIBL
(4,7),(4,16),0.0040282 # DEPENDENCYPART_SIBL
(4,7),(4,17),0.00517089 # DEPENDENCYPART_SIBL
(4,7),(4,18),-0.145727 # DEPENDENCYPART_SIBL
(4,7),(4,19),0.0040282 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.0287287 # DEPENDENCYPART_SIBL
(4,8),(4,10),-0.0147462 # DEPENDENCYPART_SIBL
(4,8),(4,11),-0.0177629 # DEPENDENCYPART_SIBL
(4,8),(4,12),-0.0147462 # DEPENDENCYPART_SIBL
(4,8),(4,13),-0.0147462 # DEPENDENCYPART_SIBL
(4,8),(4,14),-0.0147462 # DEPENDENCYPART_SIBL
(4,8),(4,15),-0.00822013 # DEPENDENCYPART_SIBL
(4,8),(4,16),-0.0147462 # DEPENDENCYPART_SIBL
(4,8),(4,17),-0.0153158 # DEPENDENCYPART_SIBL
(4,8),(4,18),-0.0194722 # DEPENDENCYPART_SIBL
(4,8),(4,19),-0.0147462 # DEPENDENCYPART_SIBL
(4,9),(4,10),-0.0970364 # DEPENDENCYPART_SIBL
(4,9),(4,11),-0.0468171 # DEPENDENCYPART_SIBL
(4,9),(4,12),-0.0970364 # DEPENDENCYPART_SIBL
(4,9),(4,13),-0.0970364 # DEPENDENCYPART_SIBL
