# _root_ lau euskal_herritar horiek 1996an epaitu zituzten , eta sei urteko zigorra ezarri zieten , etari laguntza ematea leporatuta .
#goldHeads=2,5,2,5,8,5,6,0,10,11,12,8,12,13,17,17,18,12,18,
#predictedHeads=2,5,2,5,8,5,6,0,10,11,12,8,12,13,17,17,18,12,18,
(5,17),-0.6979 # DEPENDENCYPART_ARC
(5,18),-0.39264 # DEPENDENCYPART_ARC
(6,2),-0.766823 # DEPENDENCYPART_ARC
(6,7),1.24652 # DEPENDENCYPART_ARC
(6,8),-0.68128 # DEPENDENCYPART_ARC
(6,13),-0.919896 # DEPENDENCYPART_ARC
(7,5),-0.836521 # DEPENDENCYPART_ARC
(7,6),-0.527727 # DEPENDENCYPART_ARC
(7,8),-0.319082 # DEPENDENCYPART_ARC
(7,9),-1.20787 # DEPENDENCYPART_ARC
(8,1),-0.86355 # DEPENDENCYPART_ARC
(8,2),-0.724028 # DEPENDENCYPART_ARC
(8,3),-1.09276 # DEPENDENCYPART_ARC
(8,5),0.69926 # DEPENDENCYPART_ARC
(8,6),-0.72573 # DEPENDENCYPART_ARC
(8,7),-0.377071 # DEPENDENCYPART_ARC
(8,9),-0.442535 # DEPENDENCYPART_ARC
(8,10),-0.412548 # DEPENDENCYPART_ARC
(8,11),-0.443631 # DEPENDENCYPART_ARC
(8,12),0.208221 # DEPENDENCYPART_ARC
(8,14),-0.70265 # DEPENDENCYPART_ARC
(8,16),-1.1582 # DEPENDENCYPART_ARC
(8,17),-0.13394 # DEPENDENCYPART_ARC
(8,18),-0.592138 # DEPENDENCYPART_ARC
(9,10),-0.196504 # DEPENDENCYPART_ARC
(9,11),-0.82966 # DEPENDENCYPART_ARC
(10,2),-1.07576 # DEPENDENCYPART_ARC
(10,3),-3.02115 # DEPENDENCYPART_ARC
(10,5),-0.907954 # DEPENDENCYPART_ARC
(10,7),-1.02531 # DEPENDENCYPART_ARC
(10,8),-0.290246 # DEPENDENCYPART_ARC
(10,9),1.39992 # DEPENDENCYPART_ARC
(10,11),-1.19098 # DEPENDENCYPART_ARC
(10,13),-2.48857 # DEPENDENCYPART_ARC
(10,15),-2.51186 # DEPENDENCYPART_ARC
(10,16),-2.21112 # DEPENDENCYPART_ARC
(10,19),-2.01081 # DEPENDENCYPART_ARC
(11,2),-1.02867 # DEPENDENCYPART_ARC
(11,3),-3.10305 # DEPENDENCYPART_ARC
(11,5),-1.01159 # DEPENDENCYPART_ARC
(11,7),-1.22837 # DEPENDENCYPART_ARC
(11,8),-0.481773 # DEPENDENCYPART_ARC
(11,9),0.226441 # DEPENDENCYPART_ARC
(11,10),1.70867 # DEPENDENCYPART_ARC
(11,12),-1.59611 # DEPENDENCYPART_ARC
(11,13),-0.970334 # DEPENDENCYPART_ARC
(11,14),-0.92561 # DEPENDENCYPART_ARC
(11,15),-1.609 # DEPENDENCYPART_ARC
(11,16),-1.27295 # DEPENDENCYPART_ARC
(11,17),-1.54892 # DEPENDENCYPART_ARC
(11,18),-1.7697 # DEPENDENCYPART_ARC
(11,19),-1.70982 # DEPENDENCYPART_ARC
(12,2),-0.0388929 # DEPENDENCYPART_ARC
(12,3),-0.748768 # DEPENDENCYPART_ARC
(12,4),0.354885 # DEPENDENCYPART_ARC
(12,5),-0.364646 # DEPENDENCYPART_ARC
(12,6),-1.07829 # DEPENDENCYPART_ARC
(12,7),-1.3061 # DEPENDENCYPART_ARC
(12,8),-0.165111 # DEPENDENCYPART_ARC
(12,9),-0.269356 # DEPENDENCYPART_ARC
(12,10),0.192459 # DEPENDENCYPART_ARC
(12,11),1.87398 # DEPENDENCYPART_ARC
(12,13),1.39401 # DEPENDENCYPART_ARC
(12,14),-0.537961 # DEPENDENCYPART_ARC
(12,15),-0.257459 # DEPENDENCYPART_ARC
(12,16),-0.615492 # DEPENDENCYPART_ARC
(12,17),-0.389036 # DEPENDENCYPART_ARC
(12,18),-0.0665926 # DEPENDENCYPART_ARC
(13,10),-0.467658 # DEPENDENCYPART_ARC
(13,11),-0.550466 # DEPENDENCYPART_ARC
(13,14),1.18631 # DEPENDENCYPART_ARC
(13,16),-1.23636 # DEPENDENCYPART_ARC
(13,17),-0.86496 # DEPENDENCYPART_ARC
(13,18),-1.07609 # DEPENDENCYPART_ARC
(14,12),-0.751523 # DEPENDENCYPART_ARC
(14,13),-0.425787 # DEPENDENCYPART_ARC
(14,16),-1.17458 # DEPENDENCYPART_ARC
(14,17),-0.827848 # DEPENDENCYPART_ARC
(14,18),-0.903999 # DEPENDENCYPART_ARC
(15,12),-1.28081 # DEPENDENCYPART_ARC
(15,14),-0.50759 # DEPENDENCYPART_ARC
(15,16),0.298176 # DEPENDENCYPART_ARC
(16,8),-0.960699 # DEPENDENCYPART_ARC
(16,9),-0.949944 # DEPENDENCYPART_ARC
(16,10),-0.503588 # DEPENDENCYPART_ARC
(16,11),-2.63751 # DEPENDENCYPART_ARC
(16,12),-1.12528 # DEPENDENCYPART_ARC
(16,14),-1.08217 # DEPENDENCYPART_ARC
(16,15),-0.647526 # DEPENDENCYPART_ARC
(16,17),-0.380159 # DEPENDENCYPART_ARC
(16,18),-1.48055 # DEPENDENCYPART_ARC
(16,19),-1.10471 # DEPENDENCYPART_ARC
(17,2),-0.719609 # DEPENDENCYPART_ARC
(17,3),-0.651947 # DEPENDENCYPART_ARC
(17,4),-0.413439 # DEPENDENCYPART_ARC
(17,5),-1.10617 # DEPENDENCYPART_ARC
(17,6),-1.71647 # DEPENDENCYPART_ARC
(17,7),-1.43949 # DEPENDENCYPART_ARC
(17,8),-0.606335 # DEPENDENCYPART_ARC
(17,10),-1.03033 # DEPENDENCYPART_ARC
(17,11),0.175803 # DEPENDENCYPART_ARC
(17,12),-0.642572 # DEPENDENCYPART_ARC
(17,13),-1.55341 # DEPENDENCYPART_ARC
(17,14),-1.14148 # DEPENDENCYPART_ARC
(17,15),0.652967 # DEPENDENCYPART_ARC
(17,16),2.2115 # DEPENDENCYPART_ARC
(17,18),0.408167 # DEPENDENCYPART_ARC
(17,19),-0.433079 # DEPENDENCYPART_ARC
(18,2),-1.17865 # DEPENDENCYPART_ARC
(18,3),-1.16328 # DEPENDENCYPART_ARC
(18,4),-1.44136 # DEPENDENCYPART_ARC
(18,5),-1.1165 # DEPENDENCYPART_ARC
(18,7),-1.59012 # DEPENDENCYPART_ARC
(18,8),-0.515936 # DEPENDENCYPART_ARC
(18,10),-1.81804 # DEPENDENCYPART_ARC
(18,11),-1.13329 # DEPENDENCYPART_ARC
(18,12),-0.881393 # DEPENDENCYPART_ARC
(18,13),-1.19359 # DEPENDENCYPART_ARC
(18,14),-1.35361 # DEPENDENCYPART_ARC
(18,15),0.0755437 # DEPENDENCYPART_ARC
(18,16),0.159482 # DEPENDENCYPART_ARC
(18,17),1.00485 # DEPENDENCYPART_ARC
(18,19),1.67234 # DEPENDENCYPART_ARC
(19,17),-0.989739 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.0114808 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.0283803 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.0114808 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.119379 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.058781 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.125265 # DEPENDENCYPART_SIBL
(0,1),(0,8),-0.0686566 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.0330681 # DEPENDENCYPART_SIBL
(0,1),(0,10),-0.0119313 # DEPENDENCYPART_SIBL
(0,1),(0,12),-0.122433 # DEPENDENCYPART_SIBL
(0,1),(0,13),-0.0576989 # DEPENDENCYPART_SIBL
(0,1),(0,14),-0.125265 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.0114808 # DEPENDENCYPART_SIBL
(0,1),(0,17),-0.119423 # DEPENDENCYPART_SIBL
(0,1),(0,18),-0.117145 # DEPENDENCYPART_SIBL
(0,1),(0,19),-0.132371 # DEPENDENCYPART_SIBL
(0,2),(0,3),0.00878261 # DEPENDENCYPART_SIBL
(0,2),(0,4),0.05094 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.112468 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.0646081 # DEPENDENCYPART_SIBL
(0,2),(0,7),-0.134843 # DEPENDENCYPART_SIBL
(0,2),(0,8),-0.0875971 # DEPENDENCYPART_SIBL
(0,2),(0,9),0.00870966 # DEPENDENCYPART_SIBL
(0,2),(0,10),0.05338 # DEPENDENCYPART_SIBL
(0,2),(0,12),-0.115414 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.0617369 # DEPENDENCYPART_SIBL
(0,2),(0,14),-0.134843 # DEPENDENCYPART_SIBL
(0,2),(0,15),0.0517141 # DEPENDENCYPART_SIBL
(0,2),(0,17),-0.112564 # DEPENDENCYPART_SIBL
(0,2),(0,18),-0.112796 # DEPENDENCYPART_SIBL
(0,2),(0,19),-0.174985 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.0141154 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.130569 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.0630186 # DEPENDENCYPART_SIBL
(0,3),(0,7),-0.128471 # DEPENDENCYPART_SIBL
(0,3),(0,8),-0.0722586 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.0376688 # DEPENDENCYPART_SIBL
(0,3),(0,10),-0.0145659 # DEPENDENCYPART_SIBL
(0,3),(0,12),-0.133623 # DEPENDENCYPART_SIBL
(0,3),(0,13),-0.0619364 # DEPENDENCYPART_SIBL
(0,3),(0,14),-0.128471 # DEPENDENCYPART_SIBL
(0,3),(0,15),-0.0141154 # DEPENDENCYPART_SIBL
(0,3),(0,17),-0.130613 # DEPENDENCYPART_SIBL
(0,3),(0,18),-0.128335 # DEPENDENCYPART_SIBL
(0,3),(0,19),-0.135577 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.112528 # DEPENDENCYPART_SIBL
(0,4),(0,6),-0.0649482 # DEPENDENCYPART_SIBL
(0,4),(0,7),-0.13484 # DEPENDENCYPART_SIBL
(0,4),(0,8),-0.0875943 # DEPENDENCYPART_SIBL
(0,4),(0,9),0.00871281 # DEPENDENCYPART_SIBL
(0,4),(0,10),0.0531742 # DEPENDENCYPART_SIBL
(0,4),(0,12),-0.115474 # DEPENDENCYPART_SIBL
(0,4),(0,13),-0.062077 # DEPENDENCYPART_SIBL
(0,4),(0,14),-0.13484 # DEPENDENCYPART_SIBL
(0,4),(0,15),0.0515084 # DEPENDENCYPART_SIBL
(0,4),(0,17),-0.112624 # DEPENDENCYPART_SIBL
(0,4),(0,18),-0.112856 # DEPENDENCYPART_SIBL
(0,4),(0,19),-0.174982 # DEPENDENCYPART_SIBL
(0,5),(0,6),0.00575192 # DEPENDENCYPART_SIBL
(0,5),(0,7),-0.0478288 # DEPENDENCYPART_SIBL
(0,5),(0,8),-0.129964 # DEPENDENCYPART_SIBL
(0,5),(0,9),0.00559582 # DEPENDENCYPART_SIBL
(0,5),(0,10),-0.00855266 # DEPENDENCYPART_SIBL
(0,5),(0,12),-0.123489 # DEPENDENCYPART_SIBL
(0,5),(0,13),0.00121917 # DEPENDENCYPART_SIBL
(0,5),(0,14),-0.0478288 # DEPENDENCYPART_SIBL
(0,5),(0,15),-0.00786739 # DEPENDENCYPART_SIBL
(0,5),(0,17),-0.118557 # DEPENDENCYPART_SIBL
(0,5),(0,18),-0.120146 # DEPENDENCYPART_SIBL
(0,5),(0,19),-0.0706707 # DEPENDENCYPART_SIBL
(0,6),(0,7),-0.0716629 # DEPENDENCYPART_SIBL
(0,6),(0,8),-0.0256308 # DEPENDENCYPART_SIBL
(0,6),(0,9),0.0168475 # DEPENDENCYPART_SIBL
(0,6),(0,10),0.0101335 # DEPENDENCYPART_SIBL
(0,6),(0,12),-0.0140879 # DEPENDENCYPART_SIBL
(0,6),(0,13),-0.0966656 # DEPENDENCYPART_SIBL
(0,6),(0,14),-0.0716629 # DEPENDENCYPART_SIBL
(0,6),(0,15),0.0112607 # DEPENDENCYPART_SIBL
(0,6),(0,17),-0.00592787 # DEPENDENCYPART_SIBL
(0,6),(0,18),-0.00723879 # DEPENDENCYPART_SIBL
(0,6),(0,19),-0.0802818 # DEPENDENCYPART_SIBL
(0,7),(0,8),-0.226163 # DEPENDENCYPART_SIBL
(0,7),(0,9),-0.177376 # DEPENDENCYPART_SIBL
(0,7),(0,10),-0.202446 # DEPENDENCYPART_SIBL
(0,7),(0,12),-0.300812 # DEPENDENCYPART_SIBL
(0,7),(0,13),-0.20375 # DEPENDENCYPART_SIBL
(0,7),(0,14),-0.413823 # DEPENDENCYPART_SIBL
(0,7),(0,15),-0.202244 # DEPENDENCYPART_SIBL
(0,7),(0,17),-0.293073 # DEPENDENCYPART_SIBL
(0,7),(0,18),-0.296856 # DEPENDENCYPART_SIBL
(0,7),(0,19),-0.340789 # DEPENDENCYPART_SIBL
(0,8),(0,9),0.0350357 # DEPENDENCYPART_SIBL
(0,8),(0,10),-0.0231891 # DEPENDENCYPART_SIBL
(0,8),(0,12),-0.0353933 # DEPENDENCYPART_SIBL
(0,8),(0,13),-0.00906793 # DEPENDENCYPART_SIBL
(0,8),(0,14),0.0156699 # DEPENDENCYPART_SIBL
(0,8),(0,15),-0.0223684 # DEPENDENCYPART_SIBL
(0,8),(0,17),-0.0324471 # DEPENDENCYPART_SIBL
(0,8),(0,18),-0.0349435 # DEPENDENCYPART_SIBL
(0,8),(0,19),-0.0473547 # DEPENDENCYPART_SIBL
(0,9),(0,10),-0.0111582 # DEPENDENCYPART_SIBL
(0,9),(0,12),-0.122212 # DEPENDENCYPART_SIBL
(0,9),(0,13),-0.0576104 # DEPENDENCYPART_SIBL
(0,9),(0,14),-0.125177 # DEPENDENCYPART_SIBL
(0,9),(0,15),-0.0107077 # DEPENDENCYPART_SIBL
(0,9),(0,17),-0.119202 # DEPENDENCYPART_SIBL
(0,9),(0,18),-0.116924 # DEPENDENCYPART_SIBL
(0,9),(0,19),-0.132282 # DEPENDENCYPART_SIBL
(0,10),(0,12),-0.115906 # DEPENDENCYPART_SIBL
(0,10),(0,13),-0.061747 # DEPENDENCYPART_SIBL
(0,10),(0,14),-0.134853 # DEPENDENCYPART_SIBL
(0,10),(0,15),0.0530453 # DEPENDENCYPART_SIBL
(0,10),(0,17),-0.113057 # DEPENDENCYPART_SIBL
(0,10),(0,18),-0.113289 # DEPENDENCYPART_SIBL
(0,10),(0,19),-0.174995 # DEPENDENCYPART_SIBL
(0,12),(0,13),-2.17748e-05 # DEPENDENCYPART_SIBL
(0,12),(0,14),-0.0490224 # DEPENDENCYPART_SIBL
(0,12),(0,15),-0.00833634 # DEPENDENCYPART_SIBL
(0,12),(0,17),-0.123586 # DEPENDENCYPART_SIBL
(0,12),(0,18),-0.125175 # DEPENDENCYPART_SIBL
(0,12),(0,19),-0.0718642 # DEPENDENCYPART_SIBL
(0,13),(0,14),-0.071974 # DEPENDENCYPART_SIBL
(0,13),(0,15),0.00709283 # DEPENDENCYPART_SIBL
(0,13),(0,17),-0.00964407 # DEPENDENCYPART_SIBL
(0,13),(0,18),-0.010955 # DEPENDENCYPART_SIBL
(0,13),(0,19),-0.0806057 # DEPENDENCYPART_SIBL
(0,14),(0,15),-0.202244 # DEPENDENCYPART_SIBL
(0,14),(0,17),-0.293073 # DEPENDENCYPART_SIBL
(0,14),(0,18),-0.296856 # DEPENDENCYPART_SIBL
(0,14),(0,19),-0.340789 # DEPENDENCYPART_SIBL
(0,15),(0,17),-0.11384 # DEPENDENCYPART_SIBL
(0,15),(0,18),-0.114072 # DEPENDENCYPART_SIBL
(0,15),(0,19),-0.174984 # DEPENDENCYPART_SIBL
(0,17),(0,18),-0.118821 # DEPENDENCYPART_SIBL
(0,17),(0,19),-0.0693197 # DEPENDENCYPART_SIBL
(0,18),(0,19),-0.0693041 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0345819 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.0463091 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.0274613 # DEPENDENCYPART_SIBL
(2,1),(2,9),-0.051103 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.0968869 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.0509532 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.066278 # DEPENDENCYPART_SIBL
(2,5),(2,6),0.0360481 # DEPENDENCYPART_SIBL
(2,5),(2,9),0.0279566 # DEPENDENCYPART_SIBL
(2,6),(2,9),0.0283634 # DEPENDENCYPART_SIBL
(3,5),(3,11),0.0164226 # DEPENDENCYPART_SIBL
(3,5),(3,12),-0.0192005 # DEPENDENCYPART_SIBL
(3,5),(3,18),-0.0176348 # DEPENDENCYPART_SIBL
(3,11),(3,12),-0.0199438 # DEPENDENCYPART_SIBL
(3,11),(3,18),-0.0182481 # DEPENDENCYPART_SIBL
(3,12),(3,18),-0.0189133 # DEPENDENCYPART_SIBL
(5,1),(5,2),-0.0234342 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.0402617 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.0284409 # DEPENDENCYPART_SIBL
(5,1),(5,6),0.0271165 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.000590314 # DEPENDENCYPART_SIBL
(5,1),(5,8),-0.0305005 # DEPENDENCYPART_SIBL
(5,1),(5,9),-0.0144232 # DEPENDENCYPART_SIBL
(5,1),(5,10),-0.0132006 # DEPENDENCYPART_SIBL
(5,1),(5,11),-0.0158951 # DEPENDENCYPART_SIBL
(5,1),(5,12),-0.0335283 # DEPENDENCYPART_SIBL
(5,1),(5,13),0.00621114 # DEPENDENCYPART_SIBL
(5,1),(5,14),-0.000590314 # DEPENDENCYPART_SIBL
(5,1),(5,16),-0.0234815 # DEPENDENCYPART_SIBL
(5,1),(5,17),-0.0210042 # DEPENDENCYPART_SIBL
(5,1),(5,18),-0.0151083 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.0445313 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.0378001 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.0339753 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.0175648 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.0278414 # DEPENDENCYPART_SIBL
(5,2),(5,9),-0.0590352 # DEPENDENCYPART_SIBL
(5,2),(5,10),-0.0179302 # DEPENDENCYPART_SIBL
(5,2),(5,11),-0.0286053 # DEPENDENCYPART_SIBL
(5,2),(5,12),-0.0419 # DEPENDENCYPART_SIBL
(5,2),(5,13),-0.00404232 # DEPENDENCYPART_SIBL
(5,2),(5,14),-0.0175648 # DEPENDENCYPART_SIBL
(5,2),(5,16),-0.050482 # DEPENDENCYPART_SIBL
(5,2),(5,17),-0.0266181 # DEPENDENCYPART_SIBL
(5,2),(5,18),0.00343421 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.0350062 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.102328 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.035699 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.00906859 # DEPENDENCYPART_SIBL
(5,3),(5,9),0.0143799 # DEPENDENCYPART_SIBL
(5,3),(5,10),0.0117913 # DEPENDENCYPART_SIBL
(5,3),(5,11),0.00909682 # DEPENDENCYPART_SIBL
(5,3),(5,12),0.0102346 # DEPENDENCYPART_SIBL
(5,3),(5,13),0.0833635 # DEPENDENCYPART_SIBL
(5,3),(5,14),0.035699 # DEPENDENCYPART_SIBL
(5,3),(5,16),0.00151044 # DEPENDENCYPART_SIBL
(5,3),(5,17),0.0227587 # DEPENDENCYPART_SIBL
(5,3),(5,18),0.0286546 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.024237 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.0110671 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.0212434 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.0541767 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.0191765 # DEPENDENCYPART_SIBL
(5,4),(5,11),-0.0298516 # DEPENDENCYPART_SIBL
(5,4),(5,12),-0.0355254 # DEPENDENCYPART_SIBL
(5,4),(5,13),0.00569595 # DEPENDENCYPART_SIBL
(5,4),(5,14),-0.0110671 # DEPENDENCYPART_SIBL
(5,4),(5,16),-0.0517283 # DEPENDENCYPART_SIBL
(5,4),(5,17),-0.0202435 # DEPENDENCYPART_SIBL
(5,4),(5,18),0.00980885 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.0258521 # DEPENDENCYPART_SIBL
(5,6),(5,8),0.0826469 # DEPENDENCYPART_SIBL
(5,6),(5,9),0.0222265 # DEPENDENCYPART_SIBL
(5,6),(5,10),0.0544324 # DEPENDENCYPART_SIBL
(5,6),(5,11),0.0549356 # DEPENDENCYPART_SIBL
(5,6),(5,12),0.0150888 # DEPENDENCYPART_SIBL
(5,6),(5,13),-0.13394 # DEPENDENCYPART_SIBL
(5,6),(5,14),-0.0258521 # DEPENDENCYPART_SIBL
(5,6),(5,16),0.0403771 # DEPENDENCYPART_SIBL
(5,6),(5,17),0.0322778 # DEPENDENCYPART_SIBL
(5,6),(5,18),0.037794 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.0345077 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.0994896 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.0870668 # DEPENDENCYPART_SIBL
(5,7),(5,11),-0.0922415 # DEPENDENCYPART_SIBL
(5,7),(5,12),-0.0475019 # DEPENDENCYPART_SIBL
(5,7),(5,13),-0.0777209 # DEPENDENCYPART_SIBL
(5,7),(5,14),-0.276255 # DEPENDENCYPART_SIBL
(5,7),(5,16),-0.0981756 # DEPENDENCYPART_SIBL
(5,7),(5,17),-0.0387459 # DEPENDENCYPART_SIBL
(5,7),(5,18),-0.0357008 # DEPENDENCYPART_SIBL
(5,8),(5,9),0.0353734 # DEPENDENCYPART_SIBL
(5,8),(5,10),0.0361284 # DEPENDENCYPART_SIBL
(5,8),(5,11),0.0316393 # DEPENDENCYPART_SIBL
(5,8),(5,12),-0.0207236 # DEPENDENCYPART_SIBL
(5,8),(5,13),0.00270328 # DEPENDENCYPART_SIBL
(5,8),(5,14),-0.00248784 # DEPENDENCYPART_SIBL
(5,8),(5,16),0.0261327 # DEPENDENCYPART_SIBL
(5,8),(5,17),-0.0138536 # DEPENDENCYPART_SIBL
(5,8),(5,18),-0.0088153 # DEPENDENCYPART_SIBL
(5,9),(5,10),-0.0141432 # DEPENDENCYPART_SIBL
(5,9),(5,11),-0.019287 # DEPENDENCYPART_SIBL
(5,9),(5,12),-0.0329251 # DEPENDENCYPART_SIBL
(5,9),(5,13),-0.00659752 # DEPENDENCYPART_SIBL
(5,9),(5,14),-0.0569317 # DEPENDENCYPART_SIBL
(5,9),(5,16),-0.0249189 # DEPENDENCYPART_SIBL
(5,9),(5,17),-0.0260341 # DEPENDENCYPART_SIBL
(5,9),(5,18),-0.0133391 # DEPENDENCYPART_SIBL
(5,10),(5,11),-0.0100449 # DEPENDENCYPART_SIBL
(5,10),(5,12),-0.0223191 # DEPENDENCYPART_SIBL
(5,10),(5,13),-0.022718 # DEPENDENCYPART_SIBL
(5,10),(5,14),-0.027458 # DEPENDENCYPART_SIBL
(5,10),(5,16),-0.0129628 # DEPENDENCYPART_SIBL
(5,10),(5,17),-0.0156712 # DEPENDENCYPART_SIBL
(5,10),(5,18),-0.00601444 # DEPENDENCYPART_SIBL
(5,11),(5,12),-0.0253409 # DEPENDENCYPART_SIBL
(5,11),(5,13),-0.0252568 # DEPENDENCYPART_SIBL
(5,11),(5,14),-0.0299965 # DEPENDENCYPART_SIBL
(5,11),(5,16),-0.0192301 # DEPENDENCYPART_SIBL
(5,11),(5,17),-0.018693 # DEPENDENCYPART_SIBL
(5,11),(5,18),-0.00903626 # DEPENDENCYPART_SIBL
(5,12),(5,13),0.0276129 # DEPENDENCYPART_SIBL
(5,12),(5,14),-0.0491553 # DEPENDENCYPART_SIBL
(5,12),(5,16),-0.0474507 # DEPENDENCYPART_SIBL
(5,12),(5,17),-0.0244173 # DEPENDENCYPART_SIBL
(5,12),(5,18),-0.0194578 # DEPENDENCYPART_SIBL
(5,13),(5,14),-0.0302118 # DEPENDENCYPART_SIBL
(5,13),(5,16),0.0255865 # DEPENDENCYPART_SIBL
(5,13),(5,17),0.027651 # DEPENDENCYPART_SIBL
(5,13),(5,18),0.0331672 # DEPENDENCYPART_SIBL
(5,14),(5,16),-0.0981756 # DEPENDENCYPART_SIBL
(5,14),(5,17),-0.0387459 # DEPENDENCYPART_SIBL
(5,14),(5,18),-0.0357008 # DEPENDENCYPART_SIBL
(5,16),(5,17),-0.0200075 # DEPENDENCYPART_SIBL
(5,16),(5,18),-0.0103508 # DEPENDENCYPART_SIBL
(5,17),(5,18),-0.0175331 # DEPENDENCYPART_SIBL
(6,2),(6,7),0.0527305 # DEPENDENCYPART_SIBL
(6,2),(6,8),0.0560615 # DEPENDENCYPART_SIBL
(6,2),(6,13),0.0580479 # DEPENDENCYPART_SIBL
(6,7),(6,8),-0.0858305 # DEPENDENCYPART_SIBL
