# _root_ g. ganbelu baten hezur bat eclipta prastata landarearen uretan sartzen da , gero erre , eta hortik ateratzen den margogaia ganbelu hezurrez egindako kutxa batean gordetzen da .
#goldHeads=0,22,2,10,4,9,6,6,10,16,10,11,14,16,14,0,18,20,18,26,22,23,24,26,24,16,26,27,
#predictedHeads=10,4,2,10,4,7,8,9,10,16,10,11,14,16,14,0,18,20,18,26,22,23,24,26,24,16,26,27,
(12,14),-0.954452 # DEPENDENCYPART_ARC
(12,26),-1.23107 # DEPENDENCYPART_ARC
(13,10),-1.15906 # DEPENDENCYPART_ARC
(13,12),-0.4033 # DEPENDENCYPART_ARC
(13,14),-0.221128 # DEPENDENCYPART_ARC
(13,15),-0.392423 # DEPENDENCYPART_ARC
(13,17),-0.986224 # DEPENDENCYPART_ARC
(14,1),-0.18023 # DEPENDENCYPART_ARC
(14,2),-0.642992 # DEPENDENCYPART_ARC
(14,4),-0.658482 # DEPENDENCYPART_ARC
(14,6),-0.769886 # DEPENDENCYPART_ARC
(14,7),-0.807016 # DEPENDENCYPART_ARC
(14,8),-0.847387 # DEPENDENCYPART_ARC
(14,9),-0.322294 # DEPENDENCYPART_ARC
(14,10),-0.329181 # DEPENDENCYPART_ARC
(14,11),-0.446343 # DEPENDENCYPART_ARC
(14,12),-0.898996 # DEPENDENCYPART_ARC
(14,13),0.976194 # DEPENDENCYPART_ARC
(14,15),1.32713 # DEPENDENCYPART_ARC
(14,16),-0.3199 # DEPENDENCYPART_ARC
(14,17),-0.331802 # DEPENDENCYPART_ARC
(14,18),-0.431765 # DEPENDENCYPART_ARC
(14,19),0.0477597 # DEPENDENCYPART_ARC
(14,20),-0.646876 # DEPENDENCYPART_ARC
(14,21),-1.01952 # DEPENDENCYPART_ARC
(14,22),-0.837469 # DEPENDENCYPART_ARC
(14,23),-0.569425 # DEPENDENCYPART_ARC
(14,24),-0.909547 # DEPENDENCYPART_ARC
(14,26),-0.702451 # DEPENDENCYPART_ARC
(14,27),-1.86808 # DEPENDENCYPART_ARC
(15,10),-1.30887 # DEPENDENCYPART_ARC
(15,11),-1.38951 # DEPENDENCYPART_ARC
(15,14),-0.306557 # DEPENDENCYPART_ARC
(15,16),-0.323189 # DEPENDENCYPART_ARC
(16,6),-1.1193 # DEPENDENCYPART_ARC
(16,7),-1.13317 # DEPENDENCYPART_ARC
(16,8),-1.16326 # DEPENDENCYPART_ARC
(16,9),-1.21219 # DEPENDENCYPART_ARC
(16,10),-0.0155242 # DEPENDENCYPART_ARC
(16,11),-1.05415 # DEPENDENCYPART_ARC
(16,12),-1.28159 # DEPENDENCYPART_ARC
(16,13),-0.386834 # DEPENDENCYPART_ARC
(16,14),0.696982 # DEPENDENCYPART_ARC
(16,15),-0.319389 # DEPENDENCYPART_ARC
(16,17),-0.257135 # DEPENDENCYPART_ARC
(16,18),0.17383 # DEPENDENCYPART_ARC
(16,19),-0.600006 # DEPENDENCYPART_ARC
(16,20),-0.69688 # DEPENDENCYPART_ARC
(16,21),-1.43142 # DEPENDENCYPART_ARC
(16,22),-0.942174 # DEPENDENCYPART_ARC
(16,23),-0.487286 # DEPENDENCYPART_ARC
(16,24),-1.6642 # DEPENDENCYPART_ARC
(16,26),-0.295905 # DEPENDENCYPART_ARC
(17,16),-0.718635 # DEPENDENCYPART_ARC
(17,18),-0.364041 # DEPENDENCYPART_ARC
(18,1),-0.514621 # DEPENDENCYPART_ARC
(18,2),-1.21882 # DEPENDENCYPART_ARC
(18,4),-1.079 # DEPENDENCYPART_ARC
(18,6),-1.31375 # DEPENDENCYPART_ARC
(18,7),-1.4613 # DEPENDENCYPART_ARC
(18,8),-1.66585 # DEPENDENCYPART_ARC
(18,9),-1.10007 # DEPENDENCYPART_ARC
(18,10),-0.821356 # DEPENDENCYPART_ARC
(18,11),-0.985485 # DEPENDENCYPART_ARC
(18,12),-1.43755 # DEPENDENCYPART_ARC
(18,13),-0.630698 # DEPENDENCYPART_ARC
(18,14),-0.695846 # DEPENDENCYPART_ARC
(18,15),-1.25259 # DEPENDENCYPART_ARC
(18,16),-0.39723 # DEPENDENCYPART_ARC
(18,17),0.837595 # DEPENDENCYPART_ARC
(18,19),2.47914 # DEPENDENCYPART_ARC
(18,20),-0.175537 # DEPENDENCYPART_ARC
(18,21),-0.577993 # DEPENDENCYPART_ARC
(18,22),-0.593364 # DEPENDENCYPART_ARC
(18,23),-0.741246 # DEPENDENCYPART_ARC
(18,24),-0.803567 # DEPENDENCYPART_ARC
(18,26),-0.965041 # DEPENDENCYPART_ARC
(18,27),-1.77134 # DEPENDENCYPART_ARC
(19,17),-0.709519 # DEPENDENCYPART_ARC
(19,20),-0.837805 # DEPENDENCYPART_ARC
(19,27),-1.14798 # DEPENDENCYPART_ARC
(20,10),-1.22588 # DEPENDENCYPART_ARC
(20,14),-1.04515 # DEPENDENCYPART_ARC
(20,15),-1.6152 # DEPENDENCYPART_ARC
(20,16),-1.01795 # DEPENDENCYPART_ARC
(20,18),-0.159959 # DEPENDENCYPART_ARC
(20,19),-0.925812 # DEPENDENCYPART_ARC
(20,21),0.0520642 # DEPENDENCYPART_ARC
(20,22),-0.959458 # DEPENDENCYPART_ARC
(20,25),-1.67669 # DEPENDENCYPART_ARC
(20,27),-1.89839 # DEPENDENCYPART_ARC
(21,15),-1.73507 # DEPENDENCYPART_ARC
(21,18),-0.819607 # DEPENDENCYPART_ARC
(21,19),-1.06989 # DEPENDENCYPART_ARC
(21,20),0.666824 # DEPENDENCYPART_ARC
(21,22),0.423434 # DEPENDENCYPART_ARC
(21,23),-0.487408 # DEPENDENCYPART_ARC
(21,25),-0.583943 # DEPENDENCYPART_ARC
(21,27),-1.19534 # DEPENDENCYPART_ARC
(22,18),-1.36379 # DEPENDENCYPART_ARC
(22,20),-1.27957 # DEPENDENCYPART_ARC
(22,21),0.869624 # DEPENDENCYPART_ARC
(22,23),0.0654667 # DEPENDENCYPART_ARC
(22,24),-0.400242 # DEPENDENCYPART_ARC
(22,25),-0.564969 # DEPENDENCYPART_ARC
(22,27),-1.10738 # DEPENDENCYPART_ARC
(22,28),-0.9694 # DEPENDENCYPART_ARC
(23,9),-1.11415 # DEPENDENCYPART_ARC
(23,10),-1.12497 # DEPENDENCYPART_ARC
(23,12),-1.7205 # DEPENDENCYPART_ARC
(23,13),-0.702066 # DEPENDENCYPART_ARC
(23,14),-0.960904 # DEPENDENCYPART_ARC
(23,15),-1.70515 # DEPENDENCYPART_ARC
(23,16),-0.759252 # DEPENDENCYPART_ARC
(23,17),-0.413247 # DEPENDENCYPART_ARC
(23,18),-0.71568 # DEPENDENCYPART_ARC
(23,19),-1.20334 # DEPENDENCYPART_ARC
(23,20),0.395139 # DEPENDENCYPART_ARC
(23,21),0.225047 # DEPENDENCYPART_ARC
(23,22),1.65159 # DEPENDENCYPART_ARC
(23,24),-0.404802 # DEPENDENCYPART_ARC
(23,25),-1.19101 # DEPENDENCYPART_ARC
(23,26),-1.21285 # DEPENDENCYPART_ARC
(23,27),-1.48543 # DEPENDENCYPART_ARC
(24,20),-1.48247 # DEPENDENCYPART_ARC
(24,21),-0.534842 # DEPENDENCYPART_ARC
(24,22),-0.580675 # DEPENDENCYPART_ARC
(24,23),1.09561 # DEPENDENCYPART_ARC
(24,25),2.22131 # DEPENDENCYPART_ARC
(24,26),-0.555108 # DEPENDENCYPART_ARC
(24,27),-0.958229 # DEPENDENCYPART_ARC
(24,28),-0.921024 # DEPENDENCYPART_ARC
(25,13),-0.892591 # DEPENDENCYPART_ARC
(25,17),-0.920952 # DEPENDENCYPART_ARC
(25,21),-1.28781 # DEPENDENCYPART_ARC
(25,22),-0.883035 # DEPENDENCYPART_ARC
(25,23),-0.0970467 # DEPENDENCYPART_ARC
(25,24),-0.411176 # DEPENDENCYPART_ARC
(26,1),-0.547834 # DEPENDENCYPART_ARC
(26,2),-1.18572 # DEPENDENCYPART_ARC
(26,4),-1.05814 # DEPENDENCYPART_ARC
(26,6),-1.3343 # DEPENDENCYPART_ARC
(26,7),-1.47326 # DEPENDENCYPART_ARC
(26,8),-1.74525 # DEPENDENCYPART_ARC
(26,9),-1.195 # DEPENDENCYPART_ARC
(26,10),-0.910551 # DEPENDENCYPART_ARC
(26,12),-1.40215 # DEPENDENCYPART_ARC
(26,13),-0.49735 # DEPENDENCYPART_ARC
(26,14),-1.06965 # DEPENDENCYPART_ARC
(26,15),-1.60498 # DEPENDENCYPART_ARC
(26,16),-0.420092 # DEPENDENCYPART_ARC
(26,17),-0.288471 # DEPENDENCYPART_ARC
(26,18),-0.648544 # DEPENDENCYPART_ARC
(26,19),-0.984436 # DEPENDENCYPART_ARC
(26,20),0.110115 # DEPENDENCYPART_ARC
(26,21),-0.155177 # DEPENDENCYPART_ARC
(26,22),0.465087 # DEPENDENCYPART_ARC
(26,23),-0.39764 # DEPENDENCYPART_ARC
(26,24),0.970205 # DEPENDENCYPART_ARC
(26,25),0.522252 # DEPENDENCYPART_ARC
(26,27),1.44299 # DEPENDENCYPART_ARC
(26,28),-0.330945 # DEPENDENCYPART_ARC
(27,24),-0.755192 # DEPENDENCYPART_ARC
(27,25),-0.560265 # DEPENDENCYPART_ARC
(27,26),-0.79429 # DEPENDENCYPART_ARC
(27,28),1.55218 # DEPENDENCYPART_ARC
(28,26),-0.936217 # DEPENDENCYPART_ARC
(0,1),(0,3),0.00733916 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.00105084 # DEPENDENCYPART_SIBL
(0,1),(0,10),-0.112763 # DEPENDENCYPART_SIBL
(0,1),(0,11),-0.0413996 # DEPENDENCYPART_SIBL
(0,1),(0,12),-0.13484 # DEPENDENCYPART_SIBL
(0,1),(0,13),0.0221008 # DEPENDENCYPART_SIBL
(0,1),(0,14),-0.112279 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.13484 # DEPENDENCYPART_SIBL
(0,1),(0,16),-0.0875943 # DEPENDENCYPART_SIBL
(0,1),(0,17),0.00849686 # DEPENDENCYPART_SIBL
(0,1),(0,18),-0.114188 # DEPENDENCYPART_SIBL
(0,1),(0,19),-0.0673694 # DEPENDENCYPART_SIBL
(0,1),(0,23),-0.114258 # DEPENDENCYPART_SIBL
(0,1),(0,24),0.0509439 # DEPENDENCYPART_SIBL
(0,1),(0,26),-0.113619 # DEPENDENCYPART_SIBL
(0,1),(0,27),-0.0413996 # DEPENDENCYPART_SIBL
(0,1),(0,28),-0.174982 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.059007 # DEPENDENCYPART_SIBL
(0,3),(0,10),-0.120482 # DEPENDENCYPART_SIBL
(0,3),(0,11),-0.0515526 # DEPENDENCYPART_SIBL
(0,3),(0,12),-0.125177 # DEPENDENCYPART_SIBL
(0,3),(0,13),-0.0287754 # DEPENDENCYPART_SIBL
(0,3),(0,14),-0.119998 # DEPENDENCYPART_SIBL
(0,3),(0,15),-0.125177 # DEPENDENCYPART_SIBL
(0,3),(0,16),-0.0687237 # DEPENDENCYPART_SIBL
(0,3),(0,17),-0.0410656 # DEPENDENCYPART_SIBL
(0,3),(0,18),-0.121907 # DEPENDENCYPART_SIBL
(0,3),(0,19),-0.0637781 # DEPENDENCYPART_SIBL
(0,3),(0,23),-0.122068 # DEPENDENCYPART_SIBL
(0,3),(0,24),-0.00588292 # DEPENDENCYPART_SIBL
(0,3),(0,26),-0.12133 # DEPENDENCYPART_SIBL
(0,3),(0,27),-0.0515526 # DEPENDENCYPART_SIBL
(0,3),(0,28),-0.132282 # DEPENDENCYPART_SIBL
(0,5),(0,10),-0.125358 # DEPENDENCYPART_SIBL
(0,5),(0,11),-0.0544427 # DEPENDENCYPART_SIBL
(0,5),(0,12),-0.127294 # DEPENDENCYPART_SIBL
(0,5),(0,13),-0.0176503 # DEPENDENCYPART_SIBL
(0,5),(0,14),-0.124874 # DEPENDENCYPART_SIBL
(0,5),(0,15),-0.127294 # DEPENDENCYPART_SIBL
(0,5),(0,16),-0.0723879 # DEPENDENCYPART_SIBL
(0,5),(0,17),-0.0299405 # DEPENDENCYPART_SIBL
(0,5),(0,18),-0.126784 # DEPENDENCYPART_SIBL
(0,5),(0,19),-0.0665459 # DEPENDENCYPART_SIBL
(0,5),(0,23),-0.126945 # DEPENDENCYPART_SIBL
(0,5),(0,24),-0.0118007 # DEPENDENCYPART_SIBL
(0,5),(0,26),-0.126206 # DEPENDENCYPART_SIBL
(0,5),(0,27),-0.0544427 # DEPENDENCYPART_SIBL
(0,5),(0,28),-0.134395 # DEPENDENCYPART_SIBL
(0,10),(0,11),-0.0288198 # DEPENDENCYPART_SIBL
(0,10),(0,12),-0.0469722 # DEPENDENCYPART_SIBL
(0,10),(0,13),-0.037563 # DEPENDENCYPART_SIBL
(0,10),(0,14),-0.117774 # DEPENDENCYPART_SIBL
(0,10),(0,15),-0.0469722 # DEPENDENCYPART_SIBL
(0,10),(0,16),-0.129047 # DEPENDENCYPART_SIBL
(0,10),(0,17),-0.0456756 # DEPENDENCYPART_SIBL
(0,10),(0,18),-0.119684 # DEPENDENCYPART_SIBL
(0,10),(0,19),-0.00866375 # DEPENDENCYPART_SIBL
(0,10),(0,23),-0.122132 # DEPENDENCYPART_SIBL
(0,10),(0,24),-0.00613237 # DEPENDENCYPART_SIBL
(0,10),(0,26),-0.119106 # DEPENDENCYPART_SIBL
(0,10),(0,27),-0.0288198 # DEPENDENCYPART_SIBL
(0,10),(0,28),-0.069814 # DEPENDENCYPART_SIBL
(0,11),(0,12),-0.0655862 # DEPENDENCYPART_SIBL
(0,11),(0,13),-0.0143314 # DEPENDENCYPART_SIBL
(0,11),(0,14),-0.0286046 # DEPENDENCYPART_SIBL
(0,11),(0,15),-0.0655862 # DEPENDENCYPART_SIBL
(0,11),(0,16),-0.0911826 # DEPENDENCYPART_SIBL
(0,11),(0,17),-0.0308738 # DEPENDENCYPART_SIBL
(0,11),(0,18),-0.0305139 # DEPENDENCYPART_SIBL
(0,11),(0,19),-0.101558 # DEPENDENCYPART_SIBL
(0,11),(0,23),-0.0316749 # DEPENDENCYPART_SIBL
(0,11),(0,24),-0.00136542 # DEPENDENCYPART_SIBL
(0,11),(0,26),-0.0299366 # DEPENDENCYPART_SIBL
(0,11),(0,27),-0.0915718 # DEPENDENCYPART_SIBL
(0,11),(0,28),-0.0856939 # DEPENDENCYPART_SIBL
(0,12),(0,13),-0.300424 # DEPENDENCYPART_SIBL
(0,12),(0,14),-0.293028 # DEPENDENCYPART_SIBL
(0,12),(0,15),-0.413823 # DEPENDENCYPART_SIBL
(0,12),(0,16),-0.226163 # DEPENDENCYPART_SIBL
(0,12),(0,17),-0.308241 # DEPENDENCYPART_SIBL
(0,12),(0,18),-0.294938 # DEPENDENCYPART_SIBL
(0,12),(0,19),-0.203915 # DEPENDENCYPART_SIBL
(0,12),(0,23),-0.295334 # DEPENDENCYPART_SIBL
(0,12),(0,24),-0.202026 # DEPENDENCYPART_SIBL
(0,12),(0,26),-0.29436 # DEPENDENCYPART_SIBL
(0,12),(0,27),-0.206064 # DEPENDENCYPART_SIBL
(0,12),(0,28),-0.340789 # DEPENDENCYPART_SIBL
(0,13),(0,14),-0.0497598 # DEPENDENCYPART_SIBL
(0,13),(0,15),-0.0716639 # DEPENDENCYPART_SIBL
(0,13),(0,16),-0.047322 # DEPENDENCYPART_SIBL
(0,13),(0,17),-0.034911 # DEPENDENCYPART_SIBL
(0,13),(0,18),-0.051669 # DEPENDENCYPART_SIBL
(0,13),(0,19),-0.0587296 # DEPENDENCYPART_SIBL
(0,13),(0,23),-0.0522865 # DEPENDENCYPART_SIBL
(0,13),(0,24),0.107983 # DEPENDENCYPART_SIBL
(0,13),(0,26),-0.0524023 # DEPENDENCYPART_SIBL
(0,13),(0,27),0.00373936 # DEPENDENCYPART_SIBL
(0,13),(0,28),-0.0922909 # DEPENDENCYPART_SIBL
(0,14),(0,15),-0.0464622 # DEPENDENCYPART_SIBL
(0,14),(0,16),-0.126699 # DEPENDENCYPART_SIBL
(0,14),(0,17),-0.0450634 # DEPENDENCYPART_SIBL
(0,14),(0,18),-0.119043 # DEPENDENCYPART_SIBL
(0,14),(0,19),-0.00815195 # DEPENDENCYPART_SIBL
(0,14),(0,23),-0.121492 # DEPENDENCYPART_SIBL
(0,14),(0,24),-0.00562242 # DEPENDENCYPART_SIBL
(0,14),(0,26),-0.118465 # DEPENDENCYPART_SIBL
(0,14),(0,27),-0.028308 # DEPENDENCYPART_SIBL
(0,14),(0,28),-0.0693041 # DEPENDENCYPART_SIBL
(0,15),(0,16),-0.226163 # DEPENDENCYPART_SIBL
(0,15),(0,17),-0.308241 # DEPENDENCYPART_SIBL
(0,15),(0,18),-0.294938 # DEPENDENCYPART_SIBL
(0,15),(0,19),-0.203915 # DEPENDENCYPART_SIBL
(0,15),(0,23),-0.295334 # DEPENDENCYPART_SIBL
(0,15),(0,24),-0.202026 # DEPENDENCYPART_SIBL
(0,15),(0,26),-0.29436 # DEPENDENCYPART_SIBL
(0,15),(0,27),-0.206064 # DEPENDENCYPART_SIBL
(0,15),(0,28),-0.340789 # DEPENDENCYPART_SIBL
(0,16),(0,17),0.0559531 # DEPENDENCYPART_SIBL
(0,16),(0,18),-0.0390214 # DEPENDENCYPART_SIBL
(0,16),(0,19),-0.0273539 # DEPENDENCYPART_SIBL
(0,16),(0,23),-0.0343175 # DEPENDENCYPART_SIBL
(0,16),(0,24),-0.0223684 # DEPENDENCYPART_SIBL
(0,16),(0,26),-0.0348165 # DEPENDENCYPART_SIBL
(0,16),(0,27),0.0163256 # DEPENDENCYPART_SIBL
(0,16),(0,28),-0.0473547 # DEPENDENCYPART_SIBL
(0,17),(0,18),-0.040567 # DEPENDENCYPART_SIBL
(0,17),(0,19),-0.0708672 # DEPENDENCYPART_SIBL
(0,17),(0,23),-0.0411844 # DEPENDENCYPART_SIBL
(0,17),(0,24),0.0773062 # DEPENDENCYPART_SIBL
(0,17),(0,26),-0.0413003 # DEPENDENCYPART_SIBL
(0,17),(0,27),-0.0077379 # DEPENDENCYPART_SIBL
(0,17),(0,28),-0.105293 # DEPENDENCYPART_SIBL
(0,18),(0,19),-0.0154462 # DEPENDENCYPART_SIBL
(0,18),(0,23),-0.123793 # DEPENDENCYPART_SIBL
(0,18),(0,24),-0.00808792 # DEPENDENCYPART_SIBL
(0,18),(0,26),-0.120767 # DEPENDENCYPART_SIBL
(0,18),(0,27),-0.0347567 # DEPENDENCYPART_SIBL
(0,18),(0,28),-0.0715743 # DEPENDENCYPART_SIBL
(0,19),(0,23),-0.0285619 # DEPENDENCYPART_SIBL
(0,19),(0,24),-0.0146586 # DEPENDENCYPART_SIBL
(0,19),(0,26),-0.0268236 # DEPENDENCYPART_SIBL
(0,19),(0,27),-0.0849728 # DEPENDENCYPART_SIBL
(0,19),(0,28),-0.0820089 # DEPENDENCYPART_SIBL
(0,23),(0,24),-0.00894631 # DEPENDENCYPART_SIBL
(0,23),(0,26),-0.120446 # DEPENDENCYPART_SIBL
(0,23),(0,27),-0.0296247 # DEPENDENCYPART_SIBL
(0,23),(0,28),-0.0706175 # DEPENDENCYPART_SIBL
(0,24),(0,26),-0.113619 # DEPENDENCYPART_SIBL
(0,24),(0,27),-0.0413996 # DEPENDENCYPART_SIBL
(0,24),(0,28),-0.174982 # DEPENDENCYPART_SIBL
(0,26),(0,27),-0.0288974 # DEPENDENCYPART_SIBL
(0,26),(0,28),-0.0698935 # DEPENDENCYPART_SIBL
(0,27),(0,28),-0.0856939 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.0115928 # DEPENDENCYPART_SIBL
(1,2),(1,5),0.04874 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.0415969 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0867262 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.00621019 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.00464779 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.00622564 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.0415969 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.04874 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.00306414 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.0420105 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0420105 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.00783131 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.0468294 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.00464779 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.00621019 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.00621019 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.00621019 # DEPENDENCYPART_SIBL
(4,1),(4,25),0.0425771 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.0468294 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.00464779 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.00621019 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.00621019 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.00621019 # DEPENDENCYPART_SIBL
(4,2),(4,25),0.0425771 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0182183 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.081046 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.081046 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.081046 # DEPENDENCYPART_SIBL
(4,3),(4,25),-0.0307769 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.0164415 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.0164415 # DEPENDENCYPART_SIBL
