# _root_ haren ustez , euskal_gizarteak aldaketa edo alternatiba bat eskatzen du gobernuan , eta hori ppk bete behar_du .
#goldHeads=2,9,2,9,6,9,6,7,13,17,9,11,0,16,17,17,13,17,
#predictedHeads=2,9,2,9,6,9,6,7,13,9,9,11,0,17,17,17,13,17,
(7,9),-0.594892 # DEPENDENCYPART_ARC
(7,10),-0.966462 # DEPENDENCYPART_ARC
(7,11),-0.690908 # DEPENDENCYPART_ARC
(7,13),-0.543309 # DEPENDENCYPART_ARC
(7,15),-0.838016 # DEPENDENCYPART_ARC
(7,17),-0.574659 # DEPENDENCYPART_ARC
(7,18),-1.3004 # DEPENDENCYPART_ARC
(8,2),-0.780919 # DEPENDENCYPART_ARC
(8,4),-0.397925 # DEPENDENCYPART_ARC
(8,5),-1.15529 # DEPENDENCYPART_ARC
(8,7),-0.269133 # DEPENDENCYPART_ARC
(9,1),-0.959271 # DEPENDENCYPART_ARC
(9,2),-0.241315 # DEPENDENCYPART_ARC
(9,3),-1.60112 # DEPENDENCYPART_ARC
(9,4),0.687728 # DEPENDENCYPART_ARC
(9,5),-0.3249 # DEPENDENCYPART_ARC
(9,6),0.407484 # DEPENDENCYPART_ARC
(9,7),0.656171 # DEPENDENCYPART_ARC
(9,8),0.353563 # DEPENDENCYPART_ARC
(9,10),1.67543 # DEPENDENCYPART_ARC
(9,11),0.516414 # DEPENDENCYPART_ARC
(9,12),-0.392436 # DEPENDENCYPART_ARC
(9,13),-0.421381 # DEPENDENCYPART_ARC
(9,15),-0.741186 # DEPENDENCYPART_ARC
(9,16),-0.299071 # DEPENDENCYPART_ARC
(9,17),-0.69003 # DEPENDENCYPART_ARC
(10,8),-0.889993 # DEPENDENCYPART_ARC
(10,11),-1.03101 # DEPENDENCYPART_ARC
(10,13),-0.935342 # DEPENDENCYPART_ARC
(10,15),-1.61497 # DEPENDENCYPART_ARC
(11,1),-1.61921 # DEPENDENCYPART_ARC
(11,2),-1.2831 # DEPENDENCYPART_ARC
(11,6),-0.684473 # DEPENDENCYPART_ARC
(11,7),-0.805162 # DEPENDENCYPART_ARC
(11,8),-2.29938 # DEPENDENCYPART_ARC
(11,9),-0.182262 # DEPENDENCYPART_ARC
(11,10),-0.674391 # DEPENDENCYPART_ARC
(11,12),1.10659 # DEPENDENCYPART_ARC
(11,13),-0.791792 # DEPENDENCYPART_ARC
(11,14),-1.67062 # DEPENDENCYPART_ARC
(11,15),-1.78679 # DEPENDENCYPART_ARC
(11,16),-1.18755 # DEPENDENCYPART_ARC
(11,17),-1.98892 # DEPENDENCYPART_ARC
(11,18),-0.988691 # DEPENDENCYPART_ARC
(12,9),-0.934414 # DEPENDENCYPART_ARC
(12,10),-1.25411 # DEPENDENCYPART_ARC
(12,11),-0.655649 # DEPENDENCYPART_ARC
(12,13),-0.306805 # DEPENDENCYPART_ARC
(12,16),-0.969991 # DEPENDENCYPART_ARC
(12,17),-1.03008 # DEPENDENCYPART_ARC
(13,1),-1.10495 # DEPENDENCYPART_ARC
(13,2),-0.658095 # DEPENDENCYPART_ARC
(13,4),-1.57688 # DEPENDENCYPART_ARC
(13,5),-0.899629 # DEPENDENCYPART_ARC
(13,6),-0.586006 # DEPENDENCYPART_ARC
(13,7),-0.800613 # DEPENDENCYPART_ARC
(13,8),-1.08048 # DEPENDENCYPART_ARC
(13,9),0.219859 # DEPENDENCYPART_ARC
(13,10),-1.01124 # DEPENDENCYPART_ARC
(13,11),0.0143506 # DEPENDENCYPART_ARC
(13,12),-0.417799 # DEPENDENCYPART_ARC
(13,14),-0.804081 # DEPENDENCYPART_ARC
(13,15),0.005931 # DEPENDENCYPART_ARC
(13,16),-0.0874378 # DEPENDENCYPART_ARC
(13,17),0.637189 # DEPENDENCYPART_ARC
(14,13),-0.54848 # DEPENDENCYPART_ARC
(14,16),-1.21208 # DEPENDENCYPART_ARC
(15,11),-2.89605 # DEPENDENCYPART_ARC
(15,12),-1.21811 # DEPENDENCYPART_ARC
(15,16),-0.545044 # DEPENDENCYPART_ARC
(16,1),-1.56372 # DEPENDENCYPART_ARC
(16,2),-0.822408 # DEPENDENCYPART_ARC
(16,3),-1.909 # DEPENDENCYPART_ARC
(16,4),-0.635993 # DEPENDENCYPART_ARC
(16,5),-1.51313 # DEPENDENCYPART_ARC
(16,6),-0.473057 # DEPENDENCYPART_ARC
(16,7),-1.0847 # DEPENDENCYPART_ARC
(16,9),-0.95795 # DEPENDENCYPART_ARC
(16,10),-1.17654 # DEPENDENCYPART_ARC
(16,11),-0.405493 # DEPENDENCYPART_ARC
(16,12),-1.54267 # DEPENDENCYPART_ARC
(16,13),-0.340049 # DEPENDENCYPART_ARC
(16,14),-0.267424 # DEPENDENCYPART_ARC
(16,15),1.90288 # DEPENDENCYPART_ARC
(16,17),-0.127335 # DEPENDENCYPART_ARC
(16,18),-0.150995 # DEPENDENCYPART_ARC
(17,2),-0.318688 # DEPENDENCYPART_ARC
(17,4),0.896174 # DEPENDENCYPART_ARC
(17,5),-0.748136 # DEPENDENCYPART_ARC
(17,6),0.0299089 # DEPENDENCYPART_ARC
(17,7),-0.42981 # DEPENDENCYPART_ARC
(17,8),-0.838119 # DEPENDENCYPART_ARC
(17,9),-0.527394 # DEPENDENCYPART_ARC
(17,10),0.37353 # DEPENDENCYPART_ARC
(17,11),0.277225 # DEPENDENCYPART_ARC
(17,13),-0.423563 # DEPENDENCYPART_ARC
(17,14),0.5369 # DEPENDENCYPART_ARC
(17,15),1.66478 # DEPENDENCYPART_ARC
(17,16),1.99677 # DEPENDENCYPART_ARC
(17,18),1.89362 # DEPENDENCYPART_ARC
(18,16),-1.015 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.0382169 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.137291 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.0171792 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.0171792 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.0299617 # DEPENDENCYPART_SIBL
(0,1),(0,8),-0.0629149 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.137104 # DEPENDENCYPART_SIBL
(0,1),(0,10),-0.0812091 # DEPENDENCYPART_SIBL
(0,1),(0,11),-0.0171792 # DEPENDENCYPART_SIBL
(0,1),(0,12),-0.137291 # DEPENDENCYPART_SIBL
(0,1),(0,13),-0.076388 # DEPENDENCYPART_SIBL
(0,1),(0,14),-0.0387195 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.017205 # DEPENDENCYPART_SIBL
(0,1),(0,16),-0.129029 # DEPENDENCYPART_SIBL
(0,1),(0,17),-0.131756 # DEPENDENCYPART_SIBL
(0,1),(0,18),-0.141104 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.0341661 # DEPENDENCYPART_SIBL
(0,2),(0,4),0.168667 # DEPENDENCYPART_SIBL
(0,2),(0,5),0.16871 # DEPENDENCYPART_SIBL
(0,2),(0,6),0.0110948 # DEPENDENCYPART_SIBL
(0,2),(0,8),0.100166 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.0164352 # DEPENDENCYPART_SIBL
(0,2),(0,10),-0.0345726 # DEPENDENCYPART_SIBL
(0,2),(0,11),0.16871 # DEPENDENCYPART_SIBL
(0,2),(0,12),-0.0341661 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.0136393 # DEPENDENCYPART_SIBL
(0,2),(0,14),0.0957878 # DEPENDENCYPART_SIBL
(0,2),(0,15),0.168703 # DEPENDENCYPART_SIBL
(0,2),(0,16),0.00676502 # DEPENDENCYPART_SIBL
(0,2),(0,17),0.0040377 # DEPENDENCYPART_SIBL
(0,2),(0,18),-0.0536542 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.202026 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.202026 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.167929 # DEPENDENCYPART_SIBL
(0,3),(0,8),-0.173746 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.303689 # DEPENDENCYPART_SIBL
(0,3),(0,10),-0.254856 # DEPENDENCYPART_SIBL
(0,3),(0,11),-0.20213 # DEPENDENCYPART_SIBL
(0,3),(0,12),-0.413823 # DEPENDENCYPART_SIBL
(0,3),(0,13),-0.226163 # DEPENDENCYPART_SIBL
(0,3),(0,14),-0.174058 # DEPENDENCYPART_SIBL
(0,3),(0,15),-0.202164 # DEPENDENCYPART_SIBL
(0,3),(0,16),-0.298353 # DEPENDENCYPART_SIBL
(0,3),(0,17),-0.322696 # DEPENDENCYPART_SIBL
(0,3),(0,18),-0.340789 # DEPENDENCYPART_SIBL
(0,4),(0,5),0.0509004 # DEPENDENCYPART_SIBL
(0,4),(0,6),-0.046858 # DEPENDENCYPART_SIBL
(0,4),(0,8),-0.00105084 # DEPENDENCYPART_SIBL
(0,4),(0,9),-0.127983 # DEPENDENCYPART_SIBL
(0,4),(0,10),-0.0730112 # DEPENDENCYPART_SIBL
(0,4),(0,11),0.0509004 # DEPENDENCYPART_SIBL
(0,4),(0,12),-0.13484 # DEPENDENCYPART_SIBL
(0,4),(0,13),-0.0878657 # DEPENDENCYPART_SIBL
(0,4),(0,14),0.00608788 # DEPENDENCYPART_SIBL
(0,4),(0,15),0.0506259 # DEPENDENCYPART_SIBL
(0,4),(0,16),-0.12045 # DEPENDENCYPART_SIBL
(0,4),(0,17),-0.119507 # DEPENDENCYPART_SIBL
(0,4),(0,18),-0.174982 # DEPENDENCYPART_SIBL
(0,5),(0,6),-0.0465866 # DEPENDENCYPART_SIBL
(0,5),(0,8),-0.00105084 # DEPENDENCYPART_SIBL
(0,5),(0,9),-0.127804 # DEPENDENCYPART_SIBL
(0,5),(0,10),-0.0730112 # DEPENDENCYPART_SIBL
(0,5),(0,11),0.0509439 # DEPENDENCYPART_SIBL
(0,5),(0,12),-0.13484 # DEPENDENCYPART_SIBL
(0,5),(0,13),-0.0875943 # DEPENDENCYPART_SIBL
(0,5),(0,14),0.00608788 # DEPENDENCYPART_SIBL
(0,5),(0,15),0.0506694 # DEPENDENCYPART_SIBL
(0,5),(0,16),-0.120271 # DEPENDENCYPART_SIBL
(0,5),(0,17),-0.119328 # DEPENDENCYPART_SIBL
(0,5),(0,18),-0.174982 # DEPENDENCYPART_SIBL
(0,6),(0,8),0.0262122 # DEPENDENCYPART_SIBL
(0,6),(0,9),-0.0353518 # DEPENDENCYPART_SIBL
(0,6),(0,10),-0.0262171 # DEPENDENCYPART_SIBL
(0,6),(0,11),-0.0474885 # DEPENDENCYPART_SIBL
(0,6),(0,12),-0.0542756 # DEPENDENCYPART_SIBL
(0,6),(0,13),0.0232824 # DEPENDENCYPART_SIBL
(0,6),(0,14),0.0286993 # DEPENDENCYPART_SIBL
(0,6),(0,15),-0.0474962 # DEPENDENCYPART_SIBL
(0,6),(0,16),-0.0295175 # DEPENDENCYPART_SIBL
(0,6),(0,17),-0.0262589 # DEPENDENCYPART_SIBL
(0,6),(0,18),-0.0994425 # DEPENDENCYPART_SIBL
(0,8),(0,9),-0.137017 # DEPENDENCYPART_SIBL
(0,8),(0,10),-0.0798116 # DEPENDENCYPART_SIBL
(0,8),(0,11),-0.0118007 # DEPENDENCYPART_SIBL
(0,8),(0,12),-0.127294 # DEPENDENCYPART_SIBL
(0,8),(0,13),-0.0723879 # DEPENDENCYPART_SIBL
(0,8),(0,14),-0.0345926 # DEPENDENCYPART_SIBL
(0,8),(0,15),-0.011847 # DEPENDENCYPART_SIBL
(0,8),(0,16),-0.128941 # DEPENDENCYPART_SIBL
(0,8),(0,17),-0.131669 # DEPENDENCYPART_SIBL
(0,8),(0,18),-0.134395 # DEPENDENCYPART_SIBL
(0,9),(0,10),-0.0113521 # DEPENDENCYPART_SIBL
(0,9),(0,11),-0.00628929 # DEPENDENCYPART_SIBL
(0,9),(0,12),-0.0470226 # DEPENDENCYPART_SIBL
(0,9),(0,13),-0.127305 # DEPENDENCYPART_SIBL
(0,9),(0,14),0.00403846 # DEPENDENCYPART_SIBL
(0,9),(0,15),-0.00631533 # DEPENDENCYPART_SIBL
(0,9),(0,16),-0.122346 # DEPENDENCYPART_SIBL
(0,9),(0,17),-0.114694 # DEPENDENCYPART_SIBL
(0,9),(0,18),-0.0698644 # DEPENDENCYPART_SIBL
(0,10),(0,11),0.0135633 # DEPENDENCYPART_SIBL
(0,10),(0,12),-0.0521989 # DEPENDENCYPART_SIBL
(0,10),(0,13),0.0005745 # DEPENDENCYPART_SIBL
(0,10),(0,14),0.0204903 # DEPENDENCYPART_SIBL
(0,10),(0,15),0.0105953 # DEPENDENCYPART_SIBL
(0,10),(0,16),-0.00443084 # DEPENDENCYPART_SIBL
(0,10),(0,17),-0.00067576 # DEPENDENCYPART_SIBL
(0,10),(0,18),-0.0585579 # DEPENDENCYPART_SIBL
(0,11),(0,12),-0.13484 # DEPENDENCYPART_SIBL
(0,11),(0,13),-0.0875943 # DEPENDENCYPART_SIBL
(0,11),(0,14),0.00608788 # DEPENDENCYPART_SIBL
(0,11),(0,15),0.0506694 # DEPENDENCYPART_SIBL
(0,11),(0,16),-0.120203 # DEPENDENCYPART_SIBL
(0,11),(0,17),-0.11926 # DEPENDENCYPART_SIBL
(0,11),(0,18),-0.174982 # DEPENDENCYPART_SIBL
(0,12),(0,13),-0.226163 # DEPENDENCYPART_SIBL
(0,12),(0,14),-0.174058 # DEPENDENCYPART_SIBL
(0,12),(0,15),-0.202164 # DEPENDENCYPART_SIBL
(0,12),(0,16),-0.298353 # DEPENDENCYPART_SIBL
(0,12),(0,17),-0.322696 # DEPENDENCYPART_SIBL
(0,12),(0,18),-0.340789 # DEPENDENCYPART_SIBL
(0,13),(0,14),0.033201 # DEPENDENCYPART_SIBL
(0,13),(0,15),-0.0223777 # DEPENDENCYPART_SIBL
(0,13),(0,16),-0.0387655 # DEPENDENCYPART_SIBL
(0,13),(0,17),-0.0376105 # DEPENDENCYPART_SIBL
(0,13),(0,18),-0.0473547 # DEPENDENCYPART_SIBL
(0,14),(0,15),-0.00573303 # DEPENDENCYPART_SIBL
(0,14),(0,16),-0.106181 # DEPENDENCYPART_SIBL
(0,14),(0,17),-0.108908 # DEPENDENCYPART_SIBL
(0,14),(0,18),-0.152674 # DEPENDENCYPART_SIBL
(0,15),(0,16),-0.12388 # DEPENDENCYPART_SIBL
(0,15),(0,17),-0.121577 # DEPENDENCYPART_SIBL
(0,15),(0,18),-0.174983 # DEPENDENCYPART_SIBL
(0,16),(0,17),-0.114288 # DEPENDENCYPART_SIBL
(0,16),(0,18),-0.0694622 # DEPENDENCYPART_SIBL
(0,17),(0,18),-0.0484634 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.215736 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.0169626 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0115664 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.0319979 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.0170059 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0920446 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.0920446 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.0622524 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.0920446 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.00404513 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.00553695 # DEPENDENCYPART_SIBL
(2,4),(2,7),0.00404513 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.0052656 # DEPENDENCYPART_SIBL
(2,5),(2,7),0.00408866 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.0202246 # DEPENDENCYPART_SIBL
(3,4),(3,17),-0.0161591 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.00382434 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.0345407 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.0809729 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.0373004 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.0718693 # DEPENDENCYPART_SIBL
(4,1),(4,8),0.0025817 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.0164198 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0347866 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.00779271 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.0328094 # DEPENDENCYPART_SIBL
(4,2),(4,8),0.0110653 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0626215 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0473502 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.0562268 # DEPENDENCYPART_SIBL
(4,3),(4,8),0.000292042 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.013184 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.0073091 # DEPENDENCYPART_SIBL
(4,5),(4,8),0.04874 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.0204639 # DEPENDENCYPART_SIBL
(4,6),(4,8),0.0904169 # DEPENDENCYPART_SIBL
(4,7),(4,8),0.04874 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.00963997 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.0210764 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.0586424 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.0319175 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.0664864 # DEPENDENCYPART_SIBL
(5,1),(5,8),0.0232818 # DEPENDENCYPART_SIBL
(5,1),(5,9),-0.0351329 # DEPENDENCYPART_SIBL
(5,1),(5,10),-0.0284363 # DEPENDENCYPART_SIBL
(5,1),(5,17),-0.0349525 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.0164198 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.0658195 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.00779271 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.0328095 # DEPENDENCYPART_SIBL
(5,2),(5,8),0.0209269 # DEPENDENCYPART_SIBL
(5,2),(5,9),0.0316197 # DEPENDENCYPART_SIBL
(5,2),(5,10),0.0306227 # DEPENDENCYPART_SIBL
(5,2),(5,17),0.0322068 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.107607 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.0481747 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.0570514 # DEPENDENCYPART_SIBL
(5,3),(5,8),0.00850478 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.0389113 # DEPENDENCYPART_SIBL
(5,3),(5,10),-0.0396295 # DEPENDENCYPART_SIBL
(5,3),(5,17),-0.0388346 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.00240097 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.00930302 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.0115041 # DEPENDENCYPART_SIBL
(5,4),(5,9),0.0105633 # DEPENDENCYPART_SIBL
(5,4),(5,10),0.00787967 # DEPENDENCYPART_SIBL
(5,4),(5,17),0.0134815 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.0204639 # DEPENDENCYPART_SIBL
(5,6),(5,8),0.0904166 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.017977 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.000250326 # DEPENDENCYPART_SIBL
(5,6),(5,17),-0.0180381 # DEPENDENCYPART_SIBL
(5,7),(5,8),0.0487391 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.0361323 # DEPENDENCYPART_SIBL
(5,7),(5,10),0.0287387 # DEPENDENCYPART_SIBL
(5,7),(5,17),-0.0360539 # DEPENDENCYPART_SIBL
(5,8),(5,9),-0.0722122 # DEPENDENCYPART_SIBL
(5,8),(5,10),-0.0214172 # DEPENDENCYPART_SIBL
(5,8),(5,17),-0.0735218 # DEPENDENCYPART_SIBL
(5,9),(5,10),0.0407372 # DEPENDENCYPART_SIBL
(5,9),(5,17),-0.00975111 # DEPENDENCYPART_SIBL
(5,10),(5,17),0.044466 # DEPENDENCYPART_SIBL
(6,1),(6,2),-0.0121429 # DEPENDENCYPART_SIBL
(6,1),(6,3),-0.0593509 # DEPENDENCYPART_SIBL
(6,1),(6,4),-0.0263908 # DEPENDENCYPART_SIBL
(6,1),(6,5),-0.0263908 # DEPENDENCYPART_SIBL
(6,1),(6,7),-0.013052 # DEPENDENCYPART_SIBL
(6,1),(6,8),0.129372 # DEPENDENCYPART_SIBL
(6,1),(6,9),-0.00513204 # DEPENDENCYPART_SIBL
(6,1),(6,10),0.0155146 # DEPENDENCYPART_SIBL
(6,1),(6,11),-0.0131812 # DEPENDENCYPART_SIBL
(6,1),(6,12),0.0393236 # DEPENDENCYPART_SIBL
(6,1),(6,13),0.0222622 # DEPENDENCYPART_SIBL
(6,1),(6,16),0.0139348 # DEPENDENCYPART_SIBL
(6,1),(6,17),0.0123012 # DEPENDENCYPART_SIBL
(6,2),(6,3),-0.0144725 # DEPENDENCYPART_SIBL
(6,2),(6,4),0.00538881 # DEPENDENCYPART_SIBL
(6,2),(6,5),0.00538899 # DEPENDENCYPART_SIBL
(6,2),(6,7),0.00249341 # DEPENDENCYPART_SIBL
(6,2),(6,8),0.0431746 # DEPENDENCYPART_SIBL
(6,2),(6,9),0.0391027 # DEPENDENCYPART_SIBL
(6,2),(6,10),0.0489663 # DEPENDENCYPART_SIBL
(6,2),(6,11),0.00236335 # DEPENDENCYPART_SIBL
(6,2),(6,12),-0.0177044 # DEPENDENCYPART_SIBL
(6,2),(6,13),0.0161375 # DEPENDENCYPART_SIBL
(6,2),(6,16),0.056658 # DEPENDENCYPART_SIBL
(6,2),(6,17),0.0573158 # DEPENDENCYPART_SIBL
(6,3),(6,4),-0.0891221 # DEPENDENCYPART_SIBL
(6,3),(6,5),-0.0891221 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.0399908 # DEPENDENCYPART_SIBL
(6,3),(6,8),0.0291057 # DEPENDENCYPART_SIBL
(6,3),(6,9),-0.0290548 # DEPENDENCYPART_SIBL
(6,3),(6,10),-0.0239432 # DEPENDENCYPART_SIBL
(6,3),(6,11),-0.0401201 # DEPENDENCYPART_SIBL
(6,3),(6,12),0.0973265 # DEPENDENCYPART_SIBL
(6,3),(6,13),-0.0318813 # DEPENDENCYPART_SIBL
(6,3),(6,16),-0.0118604 # DEPENDENCYPART_SIBL
(6,3),(6,17),-0.011675 # DEPENDENCYPART_SIBL
(6,4),(6,5),-0.00583543 # DEPENDENCYPART_SIBL
(6,4),(6,7),0.0404602 # DEPENDENCYPART_SIBL
(6,4),(6,8),0.00529185 # DEPENDENCYPART_SIBL
(6,4),(6,9),-0.0294579 # DEPENDENCYPART_SIBL
(6,4),(6,10),-0.0115109 # DEPENDENCYPART_SIBL
(6,4),(6,11),0.0400733 # DEPENDENCYPART_SIBL
(6,4),(6,12),-0.0273313 # DEPENDENCYPART_SIBL
(6,4),(6,13),0.0163388 # DEPENDENCYPART_SIBL
(6,4),(6,16),-0.00101826 # DEPENDENCYPART_SIBL
(6,4),(6,17),-0.00639425 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.040548 # DEPENDENCYPART_SIBL
(6,5),(6,8),0.00705493 # DEPENDENCYPART_SIBL
(6,5),(6,9),-0.0290897 # DEPENDENCYPART_SIBL
(6,5),(6,10),-0.00927617 # DEPENDENCYPART_SIBL
(6,5),(6,11),0.0401611 # DEPENDENCYPART_SIBL
(6,5),(6,12),-0.026124 # DEPENDENCYPART_SIBL
(6,5),(6,13),0.0163388 # DEPENDENCYPART_SIBL
(6,5),(6,16),-0.000650049 # DEPENDENCYPART_SIBL
(6,5),(6,17),-0.00602604 # DEPENDENCYPART_SIBL
(6,7),(6,8),0.0252256 # DEPENDENCYPART_SIBL
(6,7),(6,9),-0.105173 # DEPENDENCYPART_SIBL
(6,7),(6,10),-0.0271452 # DEPENDENCYPART_SIBL
(6,7),(6,11),-0.111626 # DEPENDENCYPART_SIBL
(6,7),(6,12),-0.0695666 # DEPENDENCYPART_SIBL
(6,7),(6,13),-0.0230165 # DEPENDENCYPART_SIBL
