# _root_ jean_francois_lefort_koordinaketako kidearekin_batera eskainitako prentsaurrekoan , abuztuko polizi operazioak " porrot hutsa " izan direla esan zuen , eta " poliziaren azpijokoak porrot " egin duela .
#goldHeads=2,3,4,15,4,8,8,13,8,24,10,11,18,13,0,15,16,15,18,21,24,24,22,18,24,25,
#predictedHeads=2,3,4,13,4,7,8,13,8,13,10,11,15,13,18,15,16,0,18,21,24,24,22,18,24,25,
(7,4),-0.921559 # DEPENDENCYPART_ARC
(7,5),-1.18334 # DEPENDENCYPART_ARC
(7,6),0.801224 # DEPENDENCYPART_ARC
(7,8),0.171419 # DEPENDENCYPART_ARC
(7,10),-0.815055 # DEPENDENCYPART_ARC
(7,11),-0.731493 # DEPENDENCYPART_ARC
(8,1),-0.217434 # DEPENDENCYPART_ARC
(8,2),-1.50391 # DEPENDENCYPART_ARC
(8,3),0.226919 # DEPENDENCYPART_ARC
(8,4),-2.73261 # DEPENDENCYPART_ARC
(8,5),-1.52481 # DEPENDENCYPART_ARC
(8,6),0.73509 # DEPENDENCYPART_ARC
(8,7),0.765218 # DEPENDENCYPART_ARC
(8,9),1.24414 # DEPENDENCYPART_ARC
(8,10),-1.02898 # DEPENDENCYPART_ARC
(8,11),-1.35441 # DEPENDENCYPART_ARC
(8,14),-1.78923 # DEPENDENCYPART_ARC
(9,10),-0.693008 # DEPENDENCYPART_ARC
(9,11),-1.05217 # DEPENDENCYPART_ARC
(10,5),-1.49544 # DEPENDENCYPART_ARC
(10,6),-0.85561 # DEPENDENCYPART_ARC
(10,7),-0.612619 # DEPENDENCYPART_ARC
(10,8),-0.903317 # DEPENDENCYPART_ARC
(10,9),-0.256817 # DEPENDENCYPART_ARC
(10,11),1.51839 # DEPENDENCYPART_ARC
(10,13),-0.957523 # DEPENDENCYPART_ARC
(10,14),-1.28381 # DEPENDENCYPART_ARC
(10,15),-1.03543 # DEPENDENCYPART_ARC
(10,16),-1.18788 # DEPENDENCYPART_ARC
(10,18),-0.626496 # DEPENDENCYPART_ARC
(10,20),-0.485959 # DEPENDENCYPART_ARC
(10,21),-0.592801 # DEPENDENCYPART_ARC
(10,22),-0.369973 # DEPENDENCYPART_ARC
(10,24),-0.723738 # DEPENDENCYPART_ARC
(11,2),-1.2461 # DEPENDENCYPART_ARC
(11,4),-1.20169 # DEPENDENCYPART_ARC
(11,6),-0.83516 # DEPENDENCYPART_ARC
(11,7),-1.40315 # DEPENDENCYPART_ARC
(11,8),-1.22897 # DEPENDENCYPART_ARC
(11,10),-0.616258 # DEPENDENCYPART_ARC
(11,12),1.02739 # DEPENDENCYPART_ARC
(11,22),-0.802075 # DEPENDENCYPART_ARC
(11,24),-1.67834 # DEPENDENCYPART_ARC
(12,13),-0.034236 # DEPENDENCYPART_ARC
(12,14),-0.292607 # DEPENDENCYPART_ARC
(12,24),-1.07949 # DEPENDENCYPART_ARC
(13,1),-0.00611849 # DEPENDENCYPART_ARC
(13,2),-0.535071 # DEPENDENCYPART_ARC
(13,3),-0.922426 # DEPENDENCYPART_ARC
(13,4),0.236663 # DEPENDENCYPART_ARC
(13,5),-1.19303 # DEPENDENCYPART_ARC
(13,6),-0.373358 # DEPENDENCYPART_ARC
(13,7),-0.470963 # DEPENDENCYPART_ARC
(13,8),0.227973 # DEPENDENCYPART_ARC
(13,10),0.281438 # DEPENDENCYPART_ARC
(13,11),-0.240596 # DEPENDENCYPART_ARC
(13,14),1.4929 # DEPENDENCYPART_ARC
(13,15),-0.728478 # DEPENDENCYPART_ARC
(13,16),-1.1438 # DEPENDENCYPART_ARC
(13,17),-1.22551 # DEPENDENCYPART_ARC
(13,18),-0.798157 # DEPENDENCYPART_ARC
(13,20),-1.61168 # DEPENDENCYPART_ARC
(13,21),-1.11737 # DEPENDENCYPART_ARC
(13,22),-0.919206 # DEPENDENCYPART_ARC
(13,24),-1.3354 # DEPENDENCYPART_ARC
(13,25),-1.83566 # DEPENDENCYPART_ARC
(14,10),-0.592757 # DEPENDENCYPART_ARC
(14,13),-0.506048 # DEPENDENCYPART_ARC
(14,15),-0.741553 # DEPENDENCYPART_ARC
(14,16),-0.884724 # DEPENDENCYPART_ARC
(15,1),0.0367784 # DEPENDENCYPART_ARC
(15,2),-0.612673 # DEPENDENCYPART_ARC
(15,3),-1.02184 # DEPENDENCYPART_ARC
(15,4),-0.157103 # DEPENDENCYPART_ARC
(15,5),-1.0896 # DEPENDENCYPART_ARC
(15,6),-0.816526 # DEPENDENCYPART_ARC
(15,7),-0.869447 # DEPENDENCYPART_ARC
(15,8),-0.527196 # DEPENDENCYPART_ARC
(15,10),-0.540294 # DEPENDENCYPART_ARC
(15,11),-1.16262 # DEPENDENCYPART_ARC
(15,13),0.44926 # DEPENDENCYPART_ARC
(15,14),0.0839748 # DEPENDENCYPART_ARC
(15,16),1.29693 # DEPENDENCYPART_ARC
(15,17),-0.422085 # DEPENDENCYPART_ARC
(15,18),-0.40558 # DEPENDENCYPART_ARC
(15,20),-1.19044 # DEPENDENCYPART_ARC
(15,21),-0.816343 # DEPENDENCYPART_ARC
(15,22),-0.702507 # DEPENDENCYPART_ARC
(15,24),-1.18088 # DEPENDENCYPART_ARC
(15,25),-1.13459 # DEPENDENCYPART_ARC
(16,13),-2.24309 # DEPENDENCYPART_ARC
(16,17),1.23169 # DEPENDENCYPART_ARC
(16,18),-0.888263 # DEPENDENCYPART_ARC
(16,20),-1.3721 # DEPENDENCYPART_ARC
(16,21),-0.96632 # DEPENDENCYPART_ARC
(16,25),-0.520997 # DEPENDENCYPART_ARC
(17,13),-0.911304 # DEPENDENCYPART_ARC
(17,14),-1.09711 # DEPENDENCYPART_ARC
(17,15),-0.70616 # DEPENDENCYPART_ARC
(17,16),-0.441908 # DEPENDENCYPART_ARC
(17,18),-0.283086 # DEPENDENCYPART_ARC
(17,22),-1.04207 # DEPENDENCYPART_ARC
(18,1),-1.35138 # DEPENDENCYPART_ARC
(18,2),-1.70159 # DEPENDENCYPART_ARC
(18,3),-1.12896 # DEPENDENCYPART_ARC
(18,4),-1.05131 # DEPENDENCYPART_ARC
(18,7),-1.15082 # DEPENDENCYPART_ARC
(18,8),-0.869898 # DEPENDENCYPART_ARC
(18,10),-0.813872 # DEPENDENCYPART_ARC
(18,13),0.157386 # DEPENDENCYPART_ARC
(18,14),-0.861143 # DEPENDENCYPART_ARC
(18,15),0.527031 # DEPENDENCYPART_ARC
(18,16),-0.866027 # DEPENDENCYPART_ARC
(18,17),-0.38402 # DEPENDENCYPART_ARC
(18,19),1.6625 # DEPENDENCYPART_ARC
(18,20),-0.24869 # DEPENDENCYPART_ARC
(18,21),-0.242533 # DEPENDENCYPART_ARC
(18,22),-0.414397 # DEPENDENCYPART_ARC
(18,24),0.144073 # DEPENDENCYPART_ARC
(19,20),-0.775385 # DEPENDENCYPART_ARC
(19,24),-1.44153 # DEPENDENCYPART_ARC
(20,15),-1.04048 # DEPENDENCYPART_ARC
(20,17),-1.2815 # DEPENDENCYPART_ARC
(20,18),-0.667185 # DEPENDENCYPART_ARC
(20,19),-0.376236 # DEPENDENCYPART_ARC
(20,21),0.231779 # DEPENDENCYPART_ARC
(20,22),-0.60381 # DEPENDENCYPART_ARC
(20,25),-2.34374 # DEPENDENCYPART_ARC
(20,26),-1.44037 # DEPENDENCYPART_ARC
(21,15),-1.12997 # DEPENDENCYPART_ARC
(21,17),-1.33874 # DEPENDENCYPART_ARC
(21,18),-0.409899 # DEPENDENCYPART_ARC
(21,20),1.81576 # DEPENDENCYPART_ARC
(21,22),-0.301724 # DEPENDENCYPART_ARC
(21,25),-2.73613 # DEPENDENCYPART_ARC
(21,26),-1.53048 # DEPENDENCYPART_ARC
(22,11),-2.72574 # DEPENDENCYPART_ARC
(22,15),-1.53809 # DEPENDENCYPART_ARC
(22,17),-1.78782 # DEPENDENCYPART_ARC
(22,18),-0.99757 # DEPENDENCYPART_ARC
(22,20),0.0816066 # DEPENDENCYPART_ARC
(22,21),-0.260205 # DEPENDENCYPART_ARC
(22,23),1.40136 # DEPENDENCYPART_ARC
(22,24),-1.29867 # DEPENDENCYPART_ARC
(22,25),-0.44726 # DEPENDENCYPART_ARC
(22,26),-0.685863 # DEPENDENCYPART_ARC
(23,20),-0.921823 # DEPENDENCYPART_ARC
(23,21),-0.945955 # DEPENDENCYPART_ARC
(23,24),0.0170702 # DEPENDENCYPART_ARC
(23,25),-0.170403 # DEPENDENCYPART_ARC
(24,1),-1.40393 # DEPENDENCYPART_ARC
(24,3),-1.04527 # DEPENDENCYPART_ARC
(24,4),-1.21593 # DEPENDENCYPART_ARC
(24,6),-1.81646 # DEPENDENCYPART_ARC
(24,7),-1.94768 # DEPENDENCYPART_ARC
(24,8),-1.41598 # DEPENDENCYPART_ARC
(24,10),-1.56036 # DEPENDENCYPART_ARC
(24,11),-1.39982 # DEPENDENCYPART_ARC
(24,13),-0.649982 # DEPENDENCYPART_ARC
(24,14),-0.972434 # DEPENDENCYPART_ARC
(24,15),-0.365286 # DEPENDENCYPART_ARC
(24,16),-1.25769 # DEPENDENCYPART_ARC
(24,17),-1.39022 # DEPENDENCYPART_ARC
(24,18),-0.254876 # DEPENDENCYPART_ARC
(24,20),-0.383187 # DEPENDENCYPART_ARC
(24,21),0.744421 # DEPENDENCYPART_ARC
(24,22),0.37558 # DEPENDENCYPART_ARC
(24,25),1.26574 # DEPENDENCYPART_ARC
(24,26),-0.768394 # DEPENDENCYPART_ARC
(25,21),-0.423986 # DEPENDENCYPART_ARC
(25,22),-0.938322 # DEPENDENCYPART_ARC
(25,26),1.71705 # DEPENDENCYPART_ARC
(0,1),(0,2),0.0509439 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.112683 # DEPENDENCYPART_SIBL
(0,1),(0,4),0.0507956 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.13484 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.198273 # DEPENDENCYPART_SIBL
(0,1),(0,12),-0.198273 # DEPENDENCYPART_SIBL
(0,1),(0,13),-0.0983313 # DEPENDENCYPART_SIBL
(0,1),(0,14),-0.0661416 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.157063 # DEPENDENCYPART_SIBL
(0,1),(0,16),-0.0808976 # DEPENDENCYPART_SIBL
(0,1),(0,17),-0.13484 # DEPENDENCYPART_SIBL
(0,1),(0,18),-0.0875943 # DEPENDENCYPART_SIBL
(0,1),(0,19),-0.198273 # DEPENDENCYPART_SIBL
(0,1),(0,23),-0.198273 # DEPENDENCYPART_SIBL
(0,1),(0,24),-0.15112 # DEPENDENCYPART_SIBL
(0,1),(0,25),-0.067139 # DEPENDENCYPART_SIBL
(0,1),(0,26),-0.174982 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.112683 # DEPENDENCYPART_SIBL
(0,2),(0,4),0.0507956 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.13484 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.198273 # DEPENDENCYPART_SIBL
(0,2),(0,12),-0.198273 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.0983313 # DEPENDENCYPART_SIBL
(0,2),(0,14),-0.0661416 # DEPENDENCYPART_SIBL
(0,2),(0,15),-0.157063 # DEPENDENCYPART_SIBL
(0,2),(0,16),-0.0808976 # DEPENDENCYPART_SIBL
(0,2),(0,17),-0.13484 # DEPENDENCYPART_SIBL
(0,2),(0,18),-0.0875943 # DEPENDENCYPART_SIBL
(0,2),(0,19),-0.198273 # DEPENDENCYPART_SIBL
(0,2),(0,23),-0.198273 # DEPENDENCYPART_SIBL
(0,2),(0,24),-0.15112 # DEPENDENCYPART_SIBL
(0,2),(0,25),-0.067139 # DEPENDENCYPART_SIBL
(0,2),(0,26),-0.174982 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.00571117 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.0464696 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.0808977 # DEPENDENCYPART_SIBL
(0,3),(0,12),-0.0808977 # DEPENDENCYPART_SIBL
(0,3),(0,13),-0.0787299 # DEPENDENCYPART_SIBL
(0,3),(0,14),0.0101277 # DEPENDENCYPART_SIBL
(0,3),(0,15),-0.215992 # DEPENDENCYPART_SIBL
(0,3),(0,16),0.000489236 # DEPENDENCYPART_SIBL
(0,3),(0,17),-0.0464696 # DEPENDENCYPART_SIBL
(0,3),(0,18),-0.126707 # DEPENDENCYPART_SIBL
(0,3),(0,19),-0.0808977 # DEPENDENCYPART_SIBL
(0,3),(0,23),-0.0808977 # DEPENDENCYPART_SIBL
(0,3),(0,24),-0.133661 # DEPENDENCYPART_SIBL
(0,3),(0,25),0.0128746 # DEPENDENCYPART_SIBL
(0,3),(0,26),-0.0693114 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.134868 # DEPENDENCYPART_SIBL
(0,4),(0,9),-0.1983 # DEPENDENCYPART_SIBL
(0,4),(0,12),-0.1983 # DEPENDENCYPART_SIBL
(0,4),(0,13),-0.0986515 # DEPENDENCYPART_SIBL
(0,4),(0,14),-0.0661706 # DEPENDENCYPART_SIBL
(0,4),(0,15),-0.157383 # DEPENDENCYPART_SIBL
(0,4),(0,16),-0.0809265 # DEPENDENCYPART_SIBL
(0,4),(0,17),-0.134868 # DEPENDENCYPART_SIBL
(0,4),(0,18),-0.0876219 # DEPENDENCYPART_SIBL
(0,4),(0,19),-0.1983 # DEPENDENCYPART_SIBL
(0,4),(0,23),-0.1983 # DEPENDENCYPART_SIBL
(0,4),(0,24),-0.15144 # DEPENDENCYPART_SIBL
(0,4),(0,25),-0.0671679 # DEPENDENCYPART_SIBL
(0,4),(0,26),-0.17501 # DEPENDENCYPART_SIBL
(0,5),(0,9),-0.370046 # DEPENDENCYPART_SIBL
(0,5),(0,12),-0.370046 # DEPENDENCYPART_SIBL
(0,5),(0,13),-0.270085 # DEPENDENCYPART_SIBL
(0,5),(0,14),-0.208564 # DEPENDENCYPART_SIBL
(0,5),(0,15),-0.2508 # DEPENDENCYPART_SIBL
(0,5),(0,16),-0.231843 # DEPENDENCYPART_SIBL
(0,5),(0,17),-0.413823 # DEPENDENCYPART_SIBL
(0,5),(0,18),-0.226163 # DEPENDENCYPART_SIBL
(0,5),(0,19),-0.370046 # DEPENDENCYPART_SIBL
(0,5),(0,23),-0.370046 # DEPENDENCYPART_SIBL
(0,5),(0,24),-0.327759 # DEPENDENCYPART_SIBL
(0,5),(0,25),-0.198185 # DEPENDENCYPART_SIBL
(0,5),(0,26),-0.340789 # DEPENDENCYPART_SIBL
(0,9),(0,12),-0.181443 # DEPENDENCYPART_SIBL
(0,9),(0,13),-0.0444948 # DEPENDENCYPART_SIBL
(0,9),(0,14),-0.0104469 # DEPENDENCYPART_SIBL
(0,9),(0,15),0.0620517 # DEPENDENCYPART_SIBL
(0,9),(0,16),-0.0355825 # DEPENDENCYPART_SIBL
(0,9),(0,17),-0.216774 # DEPENDENCYPART_SIBL
(0,9),(0,18),-0.231979 # DEPENDENCYPART_SIBL
(0,9),(0,19),-0.181443 # DEPENDENCYPART_SIBL
(0,9),(0,23),-0.181443 # DEPENDENCYPART_SIBL
(0,9),(0,24),-0.0526463 # DEPENDENCYPART_SIBL
(0,9),(0,25),0.0098255 # DEPENDENCYPART_SIBL
(0,9),(0,26),-0.161528 # DEPENDENCYPART_SIBL
(0,12),(0,13),-0.0444948 # DEPENDENCYPART_SIBL
(0,12),(0,14),-0.0104469 # DEPENDENCYPART_SIBL
(0,12),(0,15),0.0620517 # DEPENDENCYPART_SIBL
(0,12),(0,16),-0.0355825 # DEPENDENCYPART_SIBL
(0,12),(0,17),-0.216774 # DEPENDENCYPART_SIBL
(0,12),(0,18),-0.231979 # DEPENDENCYPART_SIBL
(0,12),(0,19),-0.181443 # DEPENDENCYPART_SIBL
(0,12),(0,23),-0.181443 # DEPENDENCYPART_SIBL
(0,12),(0,24),-0.0526463 # DEPENDENCYPART_SIBL
(0,12),(0,25),0.0098255 # DEPENDENCYPART_SIBL
(0,12),(0,26),-0.161528 # DEPENDENCYPART_SIBL
(0,13),(0,14),0.0748797 # DEPENDENCYPART_SIBL
(0,13),(0,15),-0.189262 # DEPENDENCYPART_SIBL
(0,13),(0,16),0.0642298 # DEPENDENCYPART_SIBL
(0,13),(0,17),-0.0270911 # DEPENDENCYPART_SIBL
(0,13),(0,18),-0.142404 # DEPENDENCYPART_SIBL
(0,13),(0,19),-0.0566095 # DEPENDENCYPART_SIBL
(0,13),(0,23),-0.0566095 # DEPENDENCYPART_SIBL
(0,13),(0,24),-0.107237 # DEPENDENCYPART_SIBL
(0,13),(0,25),0.0777498 # DEPENDENCYPART_SIBL
(0,13),(0,26),-0.0450233 # DEPENDENCYPART_SIBL
(0,14),(0,15),-0.0632514 # DEPENDENCYPART_SIBL
(0,14),(0,16),-0.110869 # DEPENDENCYPART_SIBL
(0,14),(0,17),-0.0769561 # DEPENDENCYPART_SIBL
(0,14),(0,18),-0.0522209 # DEPENDENCYPART_SIBL
(0,14),(0,19),-0.111057 # DEPENDENCYPART_SIBL
(0,14),(0,23),-0.111057 # DEPENDENCYPART_SIBL
(0,14),(0,24),-0.0191397 # DEPENDENCYPART_SIBL
(0,14),(0,25),-0.107167 # DEPENDENCYPART_SIBL
(0,14),(0,26),-0.0854854 # DEPENDENCYPART_SIBL
(0,15),(0,16),-0.0364422 # DEPENDENCYPART_SIBL
(0,15),(0,17),-0.0717055 # DEPENDENCYPART_SIBL
(0,15),(0,18),-0.162379 # DEPENDENCYPART_SIBL
(0,15),(0,19),-0.106184 # DEPENDENCYPART_SIBL
(0,15),(0,23),-0.106184 # DEPENDENCYPART_SIBL
(0,15),(0,24),-0.197559 # DEPENDENCYPART_SIBL
(0,15),(0,25),-0.0197973 # DEPENDENCYPART_SIBL
(0,15),(0,26),-0.0942395 # DEPENDENCYPART_SIBL
(0,16),(0,17),-0.107806 # DEPENDENCYPART_SIBL
(0,16),(0,18),-0.0512831 # DEPENDENCYPART_SIBL
(0,16),(0,19),-0.136776 # DEPENDENCYPART_SIBL
(0,16),(0,23),-0.136776 # DEPENDENCYPART_SIBL
(0,16),(0,24),-0.034992 # DEPENDENCYPART_SIBL
(0,16),(0,25),-0.115512 # DEPENDENCYPART_SIBL
(0,16),(0,26),-0.114021 # DEPENDENCYPART_SIBL
(0,17),(0,18),-0.226163 # DEPENDENCYPART_SIBL
(0,17),(0,19),-0.370046 # DEPENDENCYPART_SIBL
(0,17),(0,23),-0.370046 # DEPENDENCYPART_SIBL
(0,17),(0,24),-0.327759 # DEPENDENCYPART_SIBL
(0,17),(0,25),-0.198185 # DEPENDENCYPART_SIBL
(0,17),(0,26),-0.340789 # DEPENDENCYPART_SIBL
(0,18),(0,19),-0.0798852 # DEPENDENCYPART_SIBL
(0,18),(0,23),-0.0798852 # DEPENDENCYPART_SIBL
(0,18),(0,24),-0.0422199 # DEPENDENCYPART_SIBL
(0,18),(0,25),-0.0107449 # DEPENDENCYPART_SIBL
(0,18),(0,26),-0.0473547 # DEPENDENCYPART_SIBL
(0,19),(0,23),-0.181443 # DEPENDENCYPART_SIBL
(0,19),(0,24),-0.0526463 # DEPENDENCYPART_SIBL
(0,19),(0,25),0.0098255 # DEPENDENCYPART_SIBL
(0,19),(0,26),-0.161528 # DEPENDENCYPART_SIBL
(0,23),(0,24),-0.0526463 # DEPENDENCYPART_SIBL
(0,23),(0,25),0.0098255 # DEPENDENCYPART_SIBL
(0,23),(0,26),-0.161528 # DEPENDENCYPART_SIBL
(0,24),(0,25),0.0202677 # DEPENDENCYPART_SIBL
(0,24),(0,26),-0.122823 # DEPENDENCYPART_SIBL
(0,25),(0,26),-0.0992354 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0483478 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.0149476 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0564284 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.0011546 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.0342124 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.038956 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.0356406 # DEPENDENCYPART_SIBL
(3,1),(3,11),-0.0447609 # DEPENDENCYPART_SIBL
(3,1),(3,13),0.01293 # DEPENDENCYPART_SIBL
(3,1),(3,14),0.0422708 # DEPENDENCYPART_SIBL
(3,1),(3,16),0.00010574 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0564284 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.0011546 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0342124 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.038956 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.0356406 # DEPENDENCYPART_SIBL
(3,2),(3,11),-0.0447609 # DEPENDENCYPART_SIBL
(3,2),(3,13),0.01293 # DEPENDENCYPART_SIBL
(3,2),(3,14),0.0422708 # DEPENDENCYPART_SIBL
(3,2),(3,16),0.00010574 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0271895 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0101232 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0102566 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.0101232 # DEPENDENCYPART_SIBL
(3,4),(3,11),-0.00613483 # DEPENDENCYPART_SIBL
(3,4),(3,13),-0.053106 # DEPENDENCYPART_SIBL
(3,4),(3,14),-0.0120994 # DEPENDENCYPART_SIBL
(3,4),(3,16),-0.0246016 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0970364 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.0977745 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0970364 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.0643256 # DEPENDENCYPART_SIBL
(3,5),(3,13),-0.0716383 # DEPENDENCYPART_SIBL
(3,5),(3,14),-0.0657341 # DEPENDENCYPART_SIBL
(3,5),(3,16),-0.110546 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.0148795 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.0147462 # DEPENDENCYPART_SIBL
(3,6),(3,11),-0.0076694 # DEPENDENCYPART_SIBL
(3,6),(3,13),-0.0545296 # DEPENDENCYPART_SIBL
(3,6),(3,14),-0.0136373 # DEPENDENCYPART_SIBL
(3,6),(3,16),-0.0261396 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.0150767 # DEPENDENCYPART_SIBL
(3,7),(3,11),-0.0076694 # DEPENDENCYPART_SIBL
(3,7),(3,13),-0.0543459 # DEPENDENCYPART_SIBL
(3,7),(3,14),-0.0136373 # DEPENDENCYPART_SIBL
(3,7),(3,16),-0.0261396 # DEPENDENCYPART_SIBL
(3,8),(3,11),-0.0076694 # DEPENDENCYPART_SIBL
(3,8),(3,13),-0.0543459 # DEPENDENCYPART_SIBL
(3,8),(3,14),-0.0136373 # DEPENDENCYPART_SIBL
(3,8),(3,16),-0.0261396 # DEPENDENCYPART_SIBL
(3,11),(3,13),-0.0304669 # DEPENDENCYPART_SIBL
(3,11),(3,14),0.0296939 # DEPENDENCYPART_SIBL
(3,11),(3,16),0.00388775 # DEPENDENCYPART_SIBL
(3,13),(3,14),0.197632 # DEPENDENCYPART_SIBL
(3,13),(3,16),0.150137 # DEPENDENCYPART_SIBL
(3,14),(3,16),-0.157374 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.00863819 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.0151504 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.0570013 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.00465398 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.00723475 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.00613798 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.0151504 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.0570013 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.00465398 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.00723475 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.00613798 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.00451357 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.00763099 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.0063358 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.00949599 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0493348 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.0501036 # DEPENDENCYPART_SIBL
