# _root_ haren iritziz , irtenbide onena " hemengo jendea lortzea da " ; eta hori erdietsi ezean , kanpotik ekartzeko aukera ez du baztertzen .
#goldHeads=10,1,2,10,4,5,8,9,10,13,10,11,0,15,23,15,16,19,20,23,23,23,13,23,
#predictedHeads=2,10,2,10,4,5,8,9,10,13,10,11,0,15,13,15,16,19,20,23,23,23,13,23,
(10,16),-0.511226 # DEPENDENCYPART_ARC
(10,18),-1.03935 # DEPENDENCYPART_ARC
(10,19),-0.76274 # DEPENDENCYPART_ARC
(10,20),-0.701722 # DEPENDENCYPART_ARC
(10,22),-1.5131 # DEPENDENCYPART_ARC
(10,23),-1.12645 # DEPENDENCYPART_ARC
(11,10),-0.130618 # DEPENDENCYPART_ARC
(11,12),0.673509 # DEPENDENCYPART_ARC
(11,23),-0.974414 # DEPENDENCYPART_ARC
(12,9),-0.773712 # DEPENDENCYPART_ARC
(12,10),-0.441361 # DEPENDENCYPART_ARC
(12,23),-0.995776 # DEPENDENCYPART_ARC
(13,1),-1.05486 # DEPENDENCYPART_ARC
(13,2),-0.790577 # DEPENDENCYPART_ARC
(13,4),-0.693619 # DEPENDENCYPART_ARC
(13,7),-0.774783 # DEPENDENCYPART_ARC
(13,8),-0.433824 # DEPENDENCYPART_ARC
(13,9),-0.207299 # DEPENDENCYPART_ARC
(13,10),0.576422 # DEPENDENCYPART_ARC
(13,14),-0.682277 # DEPENDENCYPART_ARC
(13,15),-0.19011 # DEPENDENCYPART_ARC
(13,16),-0.444983 # DEPENDENCYPART_ARC
(13,17),-0.635882 # DEPENDENCYPART_ARC
(13,18),-0.91469 # DEPENDENCYPART_ARC
(13,19),-0.444053 # DEPENDENCYPART_ARC
(13,20),-1.09129 # DEPENDENCYPART_ARC
(13,23),-0.533895 # DEPENDENCYPART_ARC
(14,13),-0.477229 # DEPENDENCYPART_ARC
(14,15),-0.422208 # DEPENDENCYPART_ARC
(14,16),-1.25268 # DEPENDENCYPART_ARC
(15,1),-1.60127 # DEPENDENCYPART_ARC
(15,2),-0.831282 # DEPENDENCYPART_ARC
(15,3),-1.28829 # DEPENDENCYPART_ARC
(15,4),-0.763347 # DEPENDENCYPART_ARC
(15,5),-0.795227 # DEPENDENCYPART_ARC
(15,7),-0.965137 # DEPENDENCYPART_ARC
(15,8),-0.286674 # DEPENDENCYPART_ARC
(15,9),-0.631551 # DEPENDENCYPART_ARC
(15,10),-0.410957 # DEPENDENCYPART_ARC
(15,13),-0.135826 # DEPENDENCYPART_ARC
(15,14),0.697845 # DEPENDENCYPART_ARC
(15,16),1.11403 # DEPENDENCYPART_ARC
(15,17),-0.231335 # DEPENDENCYPART_ARC
(15,18),-0.535007 # DEPENDENCYPART_ARC
(15,19),-0.607291 # DEPENDENCYPART_ARC
(15,20),-0.765214 # DEPENDENCYPART_ARC
(15,21),-0.617668 # DEPENDENCYPART_ARC
(15,22),-1.29271 # DEPENDENCYPART_ARC
(15,23),-0.524381 # DEPENDENCYPART_ARC
(16,5),-2.42507 # DEPENDENCYPART_ARC
(16,9),-2.55243 # DEPENDENCYPART_ARC
(16,10),-2.55141 # DEPENDENCYPART_ARC
(16,13),-0.605092 # DEPENDENCYPART_ARC
(16,14),-2.63958 # DEPENDENCYPART_ARC
(16,15),0.814426 # DEPENDENCYPART_ARC
(16,17),1.04714 # DEPENDENCYPART_ARC
(16,18),-1.43442 # DEPENDENCYPART_ARC
(16,19),-1.25358 # DEPENDENCYPART_ARC
(16,20),-1.51742 # DEPENDENCYPART_ARC
(16,22),-1.52067 # DEPENDENCYPART_ARC
(16,23),-1.07459 # DEPENDENCYPART_ARC
(16,24),-1.12725 # DEPENDENCYPART_ARC
(17,10),-0.886685 # DEPENDENCYPART_ARC
(17,15),-0.806801 # DEPENDENCYPART_ARC
(17,18),-0.43801 # DEPENDENCYPART_ARC
(18,14),-3.33341 # DEPENDENCYPART_ARC
(18,15),-0.934866 # DEPENDENCYPART_ARC
(18,16),-1.97344 # DEPENDENCYPART_ARC
(18,17),-0.154992 # DEPENDENCYPART_ARC
(18,19),-0.528833 # DEPENDENCYPART_ARC
(18,20),-1.05857 # DEPENDENCYPART_ARC
(18,21),-1.88771 # DEPENDENCYPART_ARC
(18,22),-1.63861 # DEPENDENCYPART_ARC
(18,24),-1.35198 # DEPENDENCYPART_ARC
(19,3),-1.46592 # DEPENDENCYPART_ARC
(19,5),-1.21852 # DEPENDENCYPART_ARC
(19,7),-1.40902 # DEPENDENCYPART_ARC
(19,8),-0.91254 # DEPENDENCYPART_ARC
(19,9),-1.03756 # DEPENDENCYPART_ARC
(19,10),-1.19051 # DEPENDENCYPART_ARC
(19,13),-0.623864 # DEPENDENCYPART_ARC
(19,14),-0.842743 # DEPENDENCYPART_ARC
(19,15),-0.439165 # DEPENDENCYPART_ARC
(19,16),0.212504 # DEPENDENCYPART_ARC
(19,17),-1.23461 # DEPENDENCYPART_ARC
(19,18),2.07018 # DEPENDENCYPART_ARC
(19,20),-1.10218 # DEPENDENCYPART_ARC
(19,21),-0.892277 # DEPENDENCYPART_ARC
(19,22),-2.59799 # DEPENDENCYPART_ARC
(19,23),-1.48498 # DEPENDENCYPART_ARC
(20,14),-3.19652 # DEPENDENCYPART_ARC
(20,15),-0.495618 # DEPENDENCYPART_ARC
(20,16),-2.25915 # DEPENDENCYPART_ARC
(20,17),-1.06969 # DEPENDENCYPART_ARC
(20,18),-0.933945 # DEPENDENCYPART_ARC
(20,19),2.10856 # DEPENDENCYPART_ARC
(20,21),-1.13759 # DEPENDENCYPART_ARC
(20,22),-0.832735 # DEPENDENCYPART_ARC
(20,24),-1.35325 # DEPENDENCYPART_ARC
(21,18),-1.551 # DEPENDENCYPART_ARC
(21,20),-0.685074 # DEPENDENCYPART_ARC
(22,19),-0.94231 # DEPENDENCYPART_ARC
(22,20),-0.716601 # DEPENDENCYPART_ARC
(22,21),-0.570294 # DEPENDENCYPART_ARC
(22,23),-0.617624 # DEPENDENCYPART_ARC
(23,2),-0.81927 # DEPENDENCYPART_ARC
(23,7),-1.10938 # DEPENDENCYPART_ARC
(23,8),-0.761673 # DEPENDENCYPART_ARC
(23,9),-0.377294 # DEPENDENCYPART_ARC
(23,10),-0.757446 # DEPENDENCYPART_ARC
(23,13),-0.381232 # DEPENDENCYPART_ARC
(23,14),-0.572112 # DEPENDENCYPART_ARC
(23,15),-0.718918 # DEPENDENCYPART_ARC
(23,16),0.000842245 # DEPENDENCYPART_ARC
(23,17),-1.28365 # DEPENDENCYPART_ARC
(23,18),0.481919 # DEPENDENCYPART_ARC
(23,19),0.0923103 # DEPENDENCYPART_ARC
(23,20),0.902335 # DEPENDENCYPART_ARC
(23,21),0.912369 # DEPENDENCYPART_ARC
(23,22),1.06027 # DEPENDENCYPART_ARC
(23,24),1.70241 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.0190445 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.137291 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.0179423 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.0450753 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.158201 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.0293009 # DEPENDENCYPART_SIBL
(0,1),(0,8),-0.0171806 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.124964 # DEPENDENCYPART_SIBL
(0,1),(0,10),-0.0489867 # DEPENDENCYPART_SIBL
(0,1),(0,11),-0.158201 # DEPENDENCYPART_SIBL
(0,1),(0,12),-0.110855 # DEPENDENCYPART_SIBL
(0,1),(0,13),-0.076388 # DEPENDENCYPART_SIBL
(0,1),(0,14),-0.0387195 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.144041 # DEPENDENCYPART_SIBL
(0,1),(0,16),-0.0171792 # DEPENDENCYPART_SIBL
(0,1),(0,17),-0.137291 # DEPENDENCYPART_SIBL
(0,1),(0,18),-0.0173996 # DEPENDENCYPART_SIBL
(0,1),(0,19),-0.124962 # DEPENDENCYPART_SIBL
(0,1),(0,20),-0.0184152 # DEPENDENCYPART_SIBL
(0,1),(0,21),0.00765827 # DEPENDENCYPART_SIBL
(0,1),(0,22),-0.0812091 # DEPENDENCYPART_SIBL
(0,1),(0,23),-0.125315 # DEPENDENCYPART_SIBL
(0,1),(0,24),-0.141104 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.138252 # DEPENDENCYPART_SIBL
(0,2),(0,4),0.048924 # DEPENDENCYPART_SIBL
(0,2),(0,5),0.0149841 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.201684 # DEPENDENCYPART_SIBL
(0,2),(0,7),0.0230081 # DEPENDENCYPART_SIBL
(0,2),(0,8),0.0491638 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.11685 # DEPENDENCYPART_SIBL
(0,2),(0,10),-0.0215186 # DEPENDENCYPART_SIBL
(0,2),(0,11),-0.201684 # DEPENDENCYPART_SIBL
(0,2),(0,12),-0.145327 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.0918284 # DEPENDENCYPART_SIBL
(0,2),(0,14),0.00267625 # DEPENDENCYPART_SIBL
(0,2),(0,15),-0.135924 # DEPENDENCYPART_SIBL
(0,2),(0,16),0.0497267 # DEPENDENCYPART_SIBL
(0,2),(0,17),-0.138252 # DEPENDENCYPART_SIBL
(0,2),(0,18),0.0487525 # DEPENDENCYPART_SIBL
(0,2),(0,19),-0.116845 # DEPENDENCYPART_SIBL
(0,2),(0,20),0.0475369 # DEPENDENCYPART_SIBL
(0,2),(0,21),0.0519127 # DEPENDENCYPART_SIBL
(0,2),(0,22),-0.0773968 # DEPENDENCYPART_SIBL
(0,2),(0,23),-0.117198 # DEPENDENCYPART_SIBL
(0,2),(0,24),-0.178394 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.203607 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.132739 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.370046 # DEPENDENCYPART_SIBL
(0,3),(0,7),-0.290997 # DEPENDENCYPART_SIBL
(0,3),(0,8),-0.202278 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.293868 # DEPENDENCYPART_SIBL
(0,3),(0,10),-0.189106 # DEPENDENCYPART_SIBL
(0,3),(0,11),-0.370046 # DEPENDENCYPART_SIBL
(0,3),(0,12),-0.288626 # DEPENDENCYPART_SIBL
(0,3),(0,13),-0.226163 # DEPENDENCYPART_SIBL
(0,3),(0,14),-0.174058 # DEPENDENCYPART_SIBL
(0,3),(0,15),-0.3175 # DEPENDENCYPART_SIBL
(0,3),(0,16),-0.202026 # DEPENDENCYPART_SIBL
(0,3),(0,17),-0.413823 # DEPENDENCYPART_SIBL
(0,3),(0,18),-0.202026 # DEPENDENCYPART_SIBL
(0,3),(0,19),-0.293028 # DEPENDENCYPART_SIBL
(0,3),(0,20),-0.200132 # DEPENDENCYPART_SIBL
(0,3),(0,21),-0.107489 # DEPENDENCYPART_SIBL
(0,3),(0,22),-0.254856 # DEPENDENCYPART_SIBL
(0,3),(0,23),-0.286961 # DEPENDENCYPART_SIBL
(0,3),(0,24),-0.340789 # DEPENDENCYPART_SIBL
(0,4),(0,5),0.0183374 # DEPENDENCYPART_SIBL
(0,4),(0,6),-0.198331 # DEPENDENCYPART_SIBL
(0,4),(0,7),0.0263279 # DEPENDENCYPART_SIBL
(0,4),(0,8),0.050313 # DEPENDENCYPART_SIBL
(0,4),(0,9),-0.113428 # DEPENDENCYPART_SIBL
(0,4),(0,10),-0.014579 # DEPENDENCYPART_SIBL
(0,4),(0,11),-0.198331 # DEPENDENCYPART_SIBL
(0,4),(0,12),-0.141974 # DEPENDENCYPART_SIBL
(0,4),(0,13),-0.0876527 # DEPENDENCYPART_SIBL
(0,4),(0,14),0.00602951 # DEPENDENCYPART_SIBL
(0,4),(0,15),-0.132502 # DEPENDENCYPART_SIBL
(0,4),(0,16),0.0508759 # DEPENDENCYPART_SIBL
(0,4),(0,17),-0.134899 # DEPENDENCYPART_SIBL
(0,4),(0,18),0.0499017 # DEPENDENCYPART_SIBL
(0,4),(0,19),-0.113424 # DEPENDENCYPART_SIBL
(0,4),(0,20),0.0486862 # DEPENDENCYPART_SIBL
(0,4),(0,21),0.055266 # DEPENDENCYPART_SIBL
(0,4),(0,22),-0.0730695 # DEPENDENCYPART_SIBL
(0,4),(0,23),-0.113777 # DEPENDENCYPART_SIBL
(0,4),(0,24),-0.175041 # DEPENDENCYPART_SIBL
(0,5),(0,6),-0.0966864 # DEPENDENCYPART_SIBL
(0,5),(0,7),0.0163176 # DEPENDENCYPART_SIBL
(0,5),(0,8),-0.00442331 # DEPENDENCYPART_SIBL
(0,5),(0,9),-0.0983342 # DEPENDENCYPART_SIBL
(0,5),(0,10),-0.0416562 # DEPENDENCYPART_SIBL
(0,5),(0,11),-0.0966864 # DEPENDENCYPART_SIBL
(0,5),(0,12),-0.052091 # DEPENDENCYPART_SIBL
(0,5),(0,13),-0.0649171 # DEPENDENCYPART_SIBL
(0,5),(0,14),0.0517171 # DEPENDENCYPART_SIBL
(0,5),(0,15),-0.117411 # DEPENDENCYPART_SIBL
(0,5),(0,16),-0.00442196 # DEPENDENCYPART_SIBL
(0,5),(0,17),-0.072892 # DEPENDENCYPART_SIBL
(0,5),(0,18),-0.00442196 # DEPENDENCYPART_SIBL
(0,5),(0,19),-0.098332 # DEPENDENCYPART_SIBL
(0,5),(0,20),-0.00565816 # DEPENDENCYPART_SIBL
(0,5),(0,21),0.0191193 # DEPENDENCYPART_SIBL
(0,5),(0,22),-0.0533296 # DEPENDENCYPART_SIBL
(0,5),(0,23),-0.0986851 # DEPENDENCYPART_SIBL
(0,5),(0,24),-0.0798058 # DEPENDENCYPART_SIBL
(0,6),(0,7),-0.0871734 # DEPENDENCYPART_SIBL
(0,6),(0,8),-0.133451 # DEPENDENCYPART_SIBL
(0,6),(0,9),-0.0446442 # DEPENDENCYPART_SIBL
(0,6),(0,10),-0.103568 # DEPENDENCYPART_SIBL
(0,6),(0,11),-0.181443 # DEPENDENCYPART_SIBL
(0,6),(0,12),-0.0870008 # DEPENDENCYPART_SIBL
(0,6),(0,13),-0.231979 # DEPENDENCYPART_SIBL
(0,6),(0,14),-0.0183198 # DEPENDENCYPART_SIBL
(0,6),(0,15),-0.0683103 # DEPENDENCYPART_SIBL
(0,6),(0,16),-0.133324 # DEPENDENCYPART_SIBL
(0,6),(0,17),-0.216774 # DEPENDENCYPART_SIBL
(0,6),(0,18),-0.133324 # DEPENDENCYPART_SIBL
(0,6),(0,19),-0.0442218 # DEPENDENCYPART_SIBL
(0,6),(0,20),-0.127046 # DEPENDENCYPART_SIBL
(0,6),(0,21),0.0517151 # DEPENDENCYPART_SIBL
(0,6),(0,22),-0.0559298 # DEPENDENCYPART_SIBL
(0,6),(0,23),-0.0416258 # DEPENDENCYPART_SIBL
(0,6),(0,24),-0.161528 # DEPENDENCYPART_SIBL
(0,7),(0,8),0.0924004 # DEPENDENCYPART_SIBL
(0,7),(0,9),-0.0203813 # DEPENDENCYPART_SIBL
(0,7),(0,10),0.0629289 # DEPENDENCYPART_SIBL
(0,7),(0,11),-0.109131 # DEPENDENCYPART_SIBL
(0,7),(0,12),-0.0547938 # DEPENDENCYPART_SIBL
(0,7),(0,13),-0.0567721 # DEPENDENCYPART_SIBL
(0,7),(0,14),0.058786 # DEPENDENCYPART_SIBL
(0,7),(0,15),-0.0411067 # DEPENDENCYPART_SIBL
(0,7),(0,16),0.0924022 # DEPENDENCYPART_SIBL
(0,7),(0,17),-0.0684749 # DEPENDENCYPART_SIBL
(0,7),(0,18),0.0924022 # DEPENDENCYPART_SIBL
(0,7),(0,19),-0.020379 # DEPENDENCYPART_SIBL
(0,7),(0,20),0.0898499 # DEPENDENCYPART_SIBL
(0,7),(0,21),0.145363 # DEPENDENCYPART_SIBL
(0,7),(0,22),-0.0713104 # DEPENDENCYPART_SIBL
(0,7),(0,23),-0.0207322 # DEPENDENCYPART_SIBL
(0,7),(0,24),-0.0891196 # DEPENDENCYPART_SIBL
(0,8),(0,9),-0.112777 # DEPENDENCYPART_SIBL
(0,8),(0,10),-0.0144457 # DEPENDENCYPART_SIBL
(0,8),(0,11),-0.198273 # DEPENDENCYPART_SIBL
(0,8),(0,12),-0.141916 # DEPENDENCYPART_SIBL
(0,8),(0,13),-0.0875989 # DEPENDENCYPART_SIBL
(0,8),(0,14),0.00608771 # DEPENDENCYPART_SIBL
(0,8),(0,15),-0.131851 # DEPENDENCYPART_SIBL
(0,8),(0,16),0.0509402 # DEPENDENCYPART_SIBL
(0,8),(0,17),-0.13484 # DEPENDENCYPART_SIBL
(0,8),(0,18),0.049966 # DEPENDENCYPART_SIBL
(0,8),(0,19),-0.112772 # DEPENDENCYPART_SIBL
(0,8),(0,20),0.0487505 # DEPENDENCYPART_SIBL
(0,8),(0,21),0.0553242 # DEPENDENCYPART_SIBL
(0,8),(0,22),-0.0730113 # DEPENDENCYPART_SIBL
(0,8),(0,23),-0.113125 # DEPENDENCYPART_SIBL
(0,8),(0,24),-0.174982 # DEPENDENCYPART_SIBL
(0,9),(0,10),-0.0780607 # DEPENDENCYPART_SIBL
(0,9),(0,11),-0.0808903 # DEPENDENCYPART_SIBL
(0,9),(0,12),-0.0247321 # DEPENDENCYPART_SIBL
(0,9),(0,13),-0.126909 # DEPENDENCYPART_SIBL
(0,9),(0,14),0.00459931 # DEPENDENCYPART_SIBL
(0,9),(0,15),-0.136216 # DEPENDENCYPART_SIBL
(0,9),(0,16),-0.00562242 # DEPENDENCYPART_SIBL
(0,9),(0,17),-0.0464622 # DEPENDENCYPART_SIBL
(0,9),(0,18),-0.00562243 # DEPENDENCYPART_SIBL
(0,9),(0,19),-0.117137 # DEPENDENCYPART_SIBL
(0,9),(0,20),-0.007757 # DEPENDENCYPART_SIBL
(0,9),(0,21),0.00430564 # DEPENDENCYPART_SIBL
(0,9),(0,22),-0.0101621 # DEPENDENCYPART_SIBL
(0,9),(0,23),-0.11749 # DEPENDENCYPART_SIBL
(0,9),(0,24),-0.0693041 # DEPENDENCYPART_SIBL
(0,10),(0,11),-0.138039 # DEPENDENCYPART_SIBL
(0,10),(0,12),-0.0818394 # DEPENDENCYPART_SIBL
(0,10),(0,13),-0.127472 # DEPENDENCYPART_SIBL
(0,10),(0,14),-0.0742659 # DEPENDENCYPART_SIBL
(0,10),(0,15),-0.210977 # DEPENDENCYPART_SIBL
(0,10),(0,16),-0.0334267 # DEPENDENCYPART_SIBL
(0,10),(0,17),-0.0703517 # DEPENDENCYPART_SIBL
(0,10),(0,18),-0.0334746 # DEPENDENCYPART_SIBL
(0,10),(0,19),-0.191898 # DEPENDENCYPART_SIBL
(0,10),(0,20),-0.0338891 # DEPENDENCYPART_SIBL
(0,10),(0,21),-0.0641114 # DEPENDENCYPART_SIBL
(0,10),(0,22),-0.076822 # DEPENDENCYPART_SIBL
(0,10),(0,23),-0.192252 # DEPENDENCYPART_SIBL
(0,10),(0,24),-0.111695 # DEPENDENCYPART_SIBL
(0,11),(0,12),-0.0870008 # DEPENDENCYPART_SIBL
(0,11),(0,13),-0.231979 # DEPENDENCYPART_SIBL
(0,11),(0,14),-0.0183198 # DEPENDENCYPART_SIBL
(0,11),(0,15),-0.0683103 # DEPENDENCYPART_SIBL
(0,11),(0,16),-0.133324 # DEPENDENCYPART_SIBL
(0,11),(0,17),-0.216774 # DEPENDENCYPART_SIBL
(0,11),(0,18),-0.133324 # DEPENDENCYPART_SIBL
(0,11),(0,19),-0.0442218 # DEPENDENCYPART_SIBL
(0,11),(0,20),-0.127046 # DEPENDENCYPART_SIBL
(0,11),(0,21),0.0517151 # DEPENDENCYPART_SIBL
(0,11),(0,22),-0.0559298 # DEPENDENCYPART_SIBL
(0,11),(0,23),-0.0416258 # DEPENDENCYPART_SIBL
(0,11),(0,24),-0.161528 # DEPENDENCYPART_SIBL
(0,12),(0,13),-0.0853386 # DEPENDENCYPART_SIBL
(0,12),(0,14),-0.0068095 # DEPENDENCYPART_SIBL
(0,12),(0,15),-0.0300619 # DEPENDENCYPART_SIBL
(0,12),(0,16),-0.0537377 # DEPENDENCYPART_SIBL
(0,12),(0,17),-0.122252 # DEPENDENCYPART_SIBL
(0,12),(0,18),-0.0537378 # DEPENDENCYPART_SIBL
(0,12),(0,19),-0.00597344 # DEPENDENCYPART_SIBL
(0,12),(0,20),-0.0514448 # DEPENDENCYPART_SIBL
(0,12),(0,21),0.0688855 # DEPENDENCYPART_SIBL
(0,12),(0,22),-0.0867578 # DEPENDENCYPART_SIBL
(0,12),(0,23),-0.00322814 # DEPENDENCYPART_SIBL
(0,12),(0,24),-0.0776858 # DEPENDENCYPART_SIBL
(0,13),(0,14),0.033201 # DEPENDENCYPART_SIBL
(0,13),(0,15),-0.0795137 # DEPENDENCYPART_SIBL
(0,13),(0,16),-0.0223685 # DEPENDENCYPART_SIBL
(0,13),(0,17),0.0156699 # DEPENDENCYPART_SIBL
(0,13),(0,18),-0.0230854 # DEPENDENCYPART_SIBL
(0,13),(0,19),-0.032339 # DEPENDENCYPART_SIBL
(0,13),(0,20),-0.0238181 # DEPENDENCYPART_SIBL
(0,13),(0,21),0.0189221 # DEPENDENCYPART_SIBL
(0,13),(0,22),-0.0180094 # DEPENDENCYPART_SIBL
(0,13),(0,23),-0.0329225 # DEPENDENCYPART_SIBL
(0,13),(0,24),-0.0473547 # DEPENDENCYPART_SIBL
(0,14),(0,15),-0.121193 # DEPENDENCYPART_SIBL
(0,14),(0,16),-0.00570721 # DEPENDENCYPART_SIBL
(0,14),(0,17),-0.146083 # DEPENDENCYPART_SIBL
(0,14),(0,18),-0.00592759 # DEPENDENCYPART_SIBL
(0,14),(0,19),-0.102114 # DEPENDENCYPART_SIBL
(0,14),(0,20),-0.0069432 # DEPENDENCYPART_SIBL
(0,14),(0,21),0.00835599 # DEPENDENCYPART_SIBL
(0,14),(0,22),-0.0806524 # DEPENDENCYPART_SIBL
(0,14),(0,23),-0.102467 # DEPENDENCYPART_SIBL
(0,14),(0,24),-0.152674 # DEPENDENCYPART_SIBL
(0,15),(0,16),-0.000481455 # DEPENDENCYPART_SIBL
(0,15),(0,17),-0.0413213 # DEPENDENCYPART_SIBL
(0,15),(0,18),-0.000481464 # DEPENDENCYPART_SIBL
(0,15),(0,19),-0.114847 # DEPENDENCYPART_SIBL
(0,15),(0,20),-0.00261603 # DEPENDENCYPART_SIBL
(0,15),(0,21),0.00944661 # DEPENDENCYPART_SIBL
(0,15),(0,22),-0.00569786 # DEPENDENCYPART_SIBL
(0,15),(0,23),-0.115201 # DEPENDENCYPART_SIBL
(0,15),(0,24),-0.0641631 # DEPENDENCYPART_SIBL
(0,16),(0,17),-0.13484 # DEPENDENCYPART_SIBL
(0,16),(0,18),0.0499009 # DEPENDENCYPART_SIBL
(0,16),(0,19),-0.112281 # DEPENDENCYPART_SIBL
(0,16),(0,20),0.0486854 # DEPENDENCYPART_SIBL
(0,16),(0,21),0.0553243 # DEPENDENCYPART_SIBL
(0,16),(0,22),-0.0730119 # DEPENDENCYPART_SIBL
