# _root_ bestalde , donostiako manifestaldian izan zen " batasuna " azpimarratu zuen elortzak , eta " demokraten batasun hori berriz eskuratu " behar dela uste_du .
#goldHeads=0,3,4,5,8,5,6,10,8,14,10,10,12,0,14,17,20,17,20,22,20,24,22,14,24,
#predictedHeads=0,3,4,5,0,5,6,10,8,14,10,10,12,0,14,17,20,17,20,24,20,23,24,14,24,
(4,24),-1.51543 # DEPENDENCYPART_ARC
(5,1),-0.0105723 # DEPENDENCYPART_ARC
(5,2),-1.22925 # DEPENDENCYPART_ARC
(5,3),0.00945347 # DEPENDENCYPART_ARC
(5,4),2.02989 # DEPENDENCYPART_ARC
(5,6),0.974745 # DEPENDENCYPART_ARC
(5,8),-0.5169 # DEPENDENCYPART_ARC
(5,10),-1.15742 # DEPENDENCYPART_ARC
(5,11),-1.77961 # DEPENDENCYPART_ARC
(5,12),-0.564086 # DEPENDENCYPART_ARC
(5,13),-1.42793 # DEPENDENCYPART_ARC
(5,14),-1.02705 # DEPENDENCYPART_ARC
(5,20),-0.818276 # DEPENDENCYPART_ARC
(5,23),-0.984148 # DEPENDENCYPART_ARC
(6,3),-0.91712 # DEPENDENCYPART_ARC
(6,4),-0.813313 # DEPENDENCYPART_ARC
(6,7),1.18324 # DEPENDENCYPART_ARC
(6,8),-0.912146 # DEPENDENCYPART_ARC
(6,11),-0.787874 # DEPENDENCYPART_ARC
(7,3),-1.1275 # DEPENDENCYPART_ARC
(7,8),-0.614402 # DEPENDENCYPART_ARC
(7,10),-0.951657 # DEPENDENCYPART_ARC
(8,2),-1.50804 # DEPENDENCYPART_ARC
(8,3),-0.363186 # DEPENDENCYPART_ARC
(8,4),-2.5215 # DEPENDENCYPART_ARC
(8,5),-0.850271 # DEPENDENCYPART_ARC
(8,6),-1.11879 # DEPENDENCYPART_ARC
(8,7),-0.396757 # DEPENDENCYPART_ARC
(8,9),1.16702 # DEPENDENCYPART_ARC
(8,10),-2.00438 # DEPENDENCYPART_ARC
(8,11),-0.915449 # DEPENDENCYPART_ARC
(8,12),-0.974302 # DEPENDENCYPART_ARC
(8,24),-1.419 # DEPENDENCYPART_ARC
(9,10),-0.359067 # DEPENDENCYPART_ARC
(9,11),-0.592332 # DEPENDENCYPART_ARC
(10,1),-0.380278 # DEPENDENCYPART_ARC
(10,2),-1.31756 # DEPENDENCYPART_ARC
(10,3),-1.24981 # DEPENDENCYPART_ARC
(10,4),-0.205774 # DEPENDENCYPART_ARC
(10,5),-0.199549 # DEPENDENCYPART_ARC
(10,6),-0.777517 # DEPENDENCYPART_ARC
(10,8),0.959344 # DEPENDENCYPART_ARC
(10,11),1.50218 # DEPENDENCYPART_ARC
(10,12),1.01035 # DEPENDENCYPART_ARC
(10,13),-0.474596 # DEPENDENCYPART_ARC
(10,14),-0.418463 # DEPENDENCYPART_ARC
(10,16),-1.37848 # DEPENDENCYPART_ARC
(10,17),-1.12846 # DEPENDENCYPART_ARC
(10,19),-1.07013 # DEPENDENCYPART_ARC
(10,20),-0.135304 # DEPENDENCYPART_ARC
(10,23),-0.0412904 # DEPENDENCYPART_ARC
(10,24),-1.39613 # DEPENDENCYPART_ARC
(11,5),-2.61112 # DEPENDENCYPART_ARC
(11,8),-1.05153 # DEPENDENCYPART_ARC
(11,12),-0.604725 # DEPENDENCYPART_ARC
(12,10),-0.449862 # DEPENDENCYPART_ARC
(12,13),1.11497 # DEPENDENCYPART_ARC
(12,14),-1.24767 # DEPENDENCYPART_ARC
(12,16),-1.78985 # DEPENDENCYPART_ARC
(12,17),-1.47228 # DEPENDENCYPART_ARC
(12,20),-1.33718 # DEPENDENCYPART_ARC
(13,10),-0.941482 # DEPENDENCYPART_ARC
(13,11),-1.23453 # DEPENDENCYPART_ARC
(13,14),-0.295747 # DEPENDENCYPART_ARC
(13,24),-0.952006 # DEPENDENCYPART_ARC
(14,3),-1.19869 # DEPENDENCYPART_ARC
(14,4),-1.11484 # DEPENDENCYPART_ARC
(14,5),-0.587054 # DEPENDENCYPART_ARC
(14,8),-0.62842 # DEPENDENCYPART_ARC
(14,10),0.323966 # DEPENDENCYPART_ARC
(14,11),-1.02821 # DEPENDENCYPART_ARC
(14,12),-0.195936 # DEPENDENCYPART_ARC
(14,13),-0.291349 # DEPENDENCYPART_ARC
(14,15),1.62108 # DEPENDENCYPART_ARC
(14,16),0.14194 # DEPENDENCYPART_ARC
(14,17),-0.689251 # DEPENDENCYPART_ARC
(14,20),-0.058079 # DEPENDENCYPART_ARC
(14,23),-0.152436 # DEPENDENCYPART_ARC
(14,24),0.395748 # DEPENDENCYPART_ARC
(15,16),-0.761588 # DEPENDENCYPART_ARC
(16,3),-0.522337 # DEPENDENCYPART_ARC
(16,12),-2.57559 # DEPENDENCYPART_ARC
(16,13),-1.20521 # DEPENDENCYPART_ARC
(16,14),-0.144227 # DEPENDENCYPART_ARC
(16,15),-0.35094 # DEPENDENCYPART_ARC
(16,17),-0.33351 # DEPENDENCYPART_ARC
(16,18),-1.2326 # DEPENDENCYPART_ARC
(16,19),-1.14972 # DEPENDENCYPART_ARC
(16,22),-2.71503 # DEPENDENCYPART_ARC
(16,23),-2.29267 # DEPENDENCYPART_ARC
(16,25),-1.59044 # DEPENDENCYPART_ARC
(17,12),-2.14832 # DEPENDENCYPART_ARC
(17,13),-1.53724 # DEPENDENCYPART_ARC
(17,14),-0.770211 # DEPENDENCYPART_ARC
(17,16),0.960237 # DEPENDENCYPART_ARC
(17,18),1.81669 # DEPENDENCYPART_ARC
(17,19),-0.565943 # DEPENDENCYPART_ARC
(17,22),-0.563135 # DEPENDENCYPART_ARC
(17,23),-1.37352 # DEPENDENCYPART_ARC
(17,24),-0.742081 # DEPENDENCYPART_ARC
(17,25),-1.34156 # DEPENDENCYPART_ARC
(18,20),-1.20149 # DEPENDENCYPART_ARC
(19,16),-0.956408 # DEPENDENCYPART_ARC
(19,17),-0.866329 # DEPENDENCYPART_ARC
(19,18),-0.222071 # DEPENDENCYPART_ARC
(19,20),-0.24384 # DEPENDENCYPART_ARC
(20,3),-1.59446 # DEPENDENCYPART_ARC
(20,4),-0.966225 # DEPENDENCYPART_ARC
(20,5),-0.821687 # DEPENDENCYPART_ARC
(20,8),-0.711457 # DEPENDENCYPART_ARC
(20,10),-0.77579 # DEPENDENCYPART_ARC
(20,11),-1.08186 # DEPENDENCYPART_ARC
(20,12),-0.232806 # DEPENDENCYPART_ARC
(20,13),-1.40952 # DEPENDENCYPART_ARC
(20,14),-0.340525 # DEPENDENCYPART_ARC
(20,16),-0.221868 # DEPENDENCYPART_ARC
(20,17),0.283237 # DEPENDENCYPART_ARC
(20,18),-0.174225 # DEPENDENCYPART_ARC
(20,19),0.879964 # DEPENDENCYPART_ARC
(20,21),1.28367 # DEPENDENCYPART_ARC
(20,22),0.110677 # DEPENDENCYPART_ARC
(20,23),-0.0434209 # DEPENDENCYPART_ARC
(20,24),-0.94331 # DEPENDENCYPART_ARC
(21,22),-0.235349 # DEPENDENCYPART_ARC
(22,16),0.0650039 # DEPENDENCYPART_ARC
(22,17),-0.646727 # DEPENDENCYPART_ARC
(22,19),0.0668796 # DEPENDENCYPART_ARC
(22,20),0.0857178 # DEPENDENCYPART_ARC
(22,21),0.103125 # DEPENDENCYPART_ARC
(22,23),0.192108 # DEPENDENCYPART_ARC
(23,4),-0.688584 # DEPENDENCYPART_ARC
(23,5),-1.55575 # DEPENDENCYPART_ARC
(23,8),-0.131621 # DEPENDENCYPART_ARC
(23,10),-1.38901 # DEPENDENCYPART_ARC
(23,12),-0.678214 # DEPENDENCYPART_ARC
(23,13),-1.25973 # DEPENDENCYPART_ARC
(23,14),-0.667136 # DEPENDENCYPART_ARC
(23,16),-0.728508 # DEPENDENCYPART_ARC
(23,17),-0.153119 # DEPENDENCYPART_ARC
(23,18),-0.293223 # DEPENDENCYPART_ARC
(23,19),-0.202087 # DEPENDENCYPART_ARC
(23,20),-0.209786 # DEPENDENCYPART_ARC
(23,22),1.17388 # DEPENDENCYPART_ARC
(23,24),-0.941237 # DEPENDENCYPART_ARC
(23,25),-0.430196 # DEPENDENCYPART_ARC
(24,14),-0.762567 # DEPENDENCYPART_ARC
(24,16),-1.46861 # DEPENDENCYPART_ARC
(24,17),-0.827011 # DEPENDENCYPART_ARC
(24,18),-0.277806 # DEPENDENCYPART_ARC
(24,19),-0.458109 # DEPENDENCYPART_ARC
(24,20),0.196295 # DEPENDENCYPART_ARC
(24,22),0.0888691 # DEPENDENCYPART_ARC
(24,23),2.03083 # DEPENDENCYPART_ARC
(24,25),2.03308 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.0657547 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.0507986 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.0505715 # DEPENDENCYPART_SIBL
(0,1),(0,5),0.0306699 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.0441123 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.130769 # DEPENDENCYPART_SIBL
(0,1),(0,8),-0.0508943 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.130769 # DEPENDENCYPART_SIBL
(0,1),(0,10),0.0138239 # DEPENDENCYPART_SIBL
(0,1),(0,11),-0.0329792 # DEPENDENCYPART_SIBL
(0,1),(0,12),-0.0505715 # DEPENDENCYPART_SIBL
(0,1),(0,13),-0.0657547 # DEPENDENCYPART_SIBL
(0,1),(0,14),-0.0870288 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.130769 # DEPENDENCYPART_SIBL
(0,1),(0,17),-0.0506201 # DEPENDENCYPART_SIBL
(0,1),(0,18),0.0216114 # DEPENDENCYPART_SIBL
(0,1),(0,19),0.0206617 # DEPENDENCYPART_SIBL
(0,1),(0,20),0.00524309 # DEPENDENCYPART_SIBL
(0,1),(0,21),-0.130769 # DEPENDENCYPART_SIBL
(0,1),(0,22),0.0362117 # DEPENDENCYPART_SIBL
(0,1),(0,23),0.00205299 # DEPENDENCYPART_SIBL
(0,1),(0,24),-0.0313076 # DEPENDENCYPART_SIBL
(0,1),(0,25),-0.104336 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.202061 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.202026 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.270085 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.229299 # DEPENDENCYPART_SIBL
(0,2),(0,7),-0.370046 # DEPENDENCYPART_SIBL
(0,2),(0,8),-0.202217 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.370046 # DEPENDENCYPART_SIBL
(0,2),(0,10),-0.265737 # DEPENDENCYPART_SIBL
(0,2),(0,11),-0.231843 # DEPENDENCYPART_SIBL
(0,2),(0,12),-0.202026 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.413823 # DEPENDENCYPART_SIBL
(0,2),(0,14),-0.226163 # DEPENDENCYPART_SIBL
(0,2),(0,15),-0.370046 # DEPENDENCYPART_SIBL
(0,2),(0,17),-0.202075 # DEPENDENCYPART_SIBL
(0,2),(0,18),-0.174058 # DEPENDENCYPART_SIBL
(0,2),(0,19),-0.333882 # DEPENDENCYPART_SIBL
(0,2),(0,20),-0.293028 # DEPENDENCYPART_SIBL
(0,2),(0,21),-0.370046 # DEPENDENCYPART_SIBL
(0,2),(0,22),-0.127721 # DEPENDENCYPART_SIBL
(0,2),(0,23),-0.198186 # DEPENDENCYPART_SIBL
(0,2),(0,24),-0.375114 # DEPENDENCYPART_SIBL
(0,2),(0,25),-0.340789 # DEPENDENCYPART_SIBL
(0,3),(0,4),0.0508425 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.0983601 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.0830616 # DEPENDENCYPART_SIBL
(0,3),(0,7),-0.198273 # DEPENDENCYPART_SIBL
(0,3),(0,8),0.0504578 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.198273 # DEPENDENCYPART_SIBL
(0,3),(0,10),-0.114352 # DEPENDENCYPART_SIBL
(0,3),(0,11),-0.0808976 # DEPENDENCYPART_SIBL
(0,3),(0,12),0.0508425 # DEPENDENCYPART_SIBL
(0,3),(0,13),-0.13484 # DEPENDENCYPART_SIBL
(0,3),(0,14),-0.0875943 # DEPENDENCYPART_SIBL
(0,3),(0,15),-0.198273 # DEPENDENCYPART_SIBL
(0,3),(0,17),0.0507939 # DEPENDENCYPART_SIBL
(0,3),(0,18),0.00608788 # DEPENDENCYPART_SIBL
(0,3),(0,19),-0.0247899 # DEPENDENCYPART_SIBL
(0,3),(0,20),-0.112307 # DEPENDENCYPART_SIBL
(0,3),(0,21),-0.198273 # DEPENDENCYPART_SIBL
(0,3),(0,22),0.0216526 # DEPENDENCYPART_SIBL
(0,3),(0,23),-0.0486647 # DEPENDENCYPART_SIBL
(0,3),(0,24),-0.125204 # DEPENDENCYPART_SIBL
(0,3),(0,25),-0.174982 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.0983313 # DEPENDENCYPART_SIBL
(0,4),(0,6),-0.0830616 # DEPENDENCYPART_SIBL
(0,4),(0,7),-0.198273 # DEPENDENCYPART_SIBL
(0,4),(0,8),0.0505592 # DEPENDENCYPART_SIBL
(0,4),(0,9),-0.198273 # DEPENDENCYPART_SIBL
(0,4),(0,10),-0.114324 # DEPENDENCYPART_SIBL
(0,4),(0,11),-0.0808976 # DEPENDENCYPART_SIBL
(0,4),(0,12),0.0509439 # DEPENDENCYPART_SIBL
(0,4),(0,13),-0.13484 # DEPENDENCYPART_SIBL
(0,4),(0,14),-0.0875943 # DEPENDENCYPART_SIBL
(0,4),(0,15),-0.198273 # DEPENDENCYPART_SIBL
(0,4),(0,17),0.0508953 # DEPENDENCYPART_SIBL
(0,4),(0,18),0.00608788 # DEPENDENCYPART_SIBL
(0,4),(0,19),-0.0247899 # DEPENDENCYPART_SIBL
(0,4),(0,20),-0.112279 # DEPENDENCYPART_SIBL
(0,4),(0,21),-0.198273 # DEPENDENCYPART_SIBL
(0,4),(0,22),0.0216526 # DEPENDENCYPART_SIBL
(0,4),(0,23),-0.0486647 # DEPENDENCYPART_SIBL
(0,4),(0,24),-0.125175 # DEPENDENCYPART_SIBL
(0,4),(0,25),-0.174982 # DEPENDENCYPART_SIBL
(0,5),(0,6),0.0681744 # DEPENDENCYPART_SIBL
(0,5),(0,7),-0.0566095 # DEPENDENCYPART_SIBL
(0,5),(0,8),0.0494613 # DEPENDENCYPART_SIBL
(0,5),(0,9),-0.0566095 # DEPENDENCYPART_SIBL
(0,5),(0,10),-0.0850391 # DEPENDENCYPART_SIBL
(0,5),(0,11),0.0642298 # DEPENDENCYPART_SIBL
(0,5),(0,12),0.049652 # DEPENDENCYPART_SIBL
(0,5),(0,13),-0.0270911 # DEPENDENCYPART_SIBL
(0,5),(0,14),-0.142404 # DEPENDENCYPART_SIBL
(0,5),(0,15),-0.0566095 # DEPENDENCYPART_SIBL
(0,5),(0,17),0.0496015 # DEPENDENCYPART_SIBL
(0,5),(0,18),0.0279956 # DEPENDENCYPART_SIBL
(0,5),(0,19),-0.0257865 # DEPENDENCYPART_SIBL
(0,5),(0,20),-0.0891901 # DEPENDENCYPART_SIBL
(0,5),(0,21),-0.0566095 # DEPENDENCYPART_SIBL
(0,5),(0,22),0.0401041 # DEPENDENCYPART_SIBL
(0,5),(0,23),-0.0305739 # DEPENDENCYPART_SIBL
(0,5),(0,24),-0.115354 # DEPENDENCYPART_SIBL
(0,5),(0,25),-0.0450233 # DEPENDENCYPART_SIBL
(0,6),(0,7),-0.0708188 # DEPENDENCYPART_SIBL
(0,6),(0,8),0.0368126 # DEPENDENCYPART_SIBL
(0,6),(0,9),-0.0708188 # DEPENDENCYPART_SIBL
(0,6),(0,10),0.0348148 # DEPENDENCYPART_SIBL
(0,6),(0,11),-0.0933588 # DEPENDENCYPART_SIBL
(0,6),(0,12),0.0381781 # DEPENDENCYPART_SIBL
(0,6),(0,13),-0.0397155 # DEPENDENCYPART_SIBL
(0,6),(0,14),-0.0587639 # DEPENDENCYPART_SIBL
(0,6),(0,15),-0.0708188 # DEPENDENCYPART_SIBL
(0,6),(0,17),0.0374994 # DEPENDENCYPART_SIBL
(0,6),(0,18),0.0279533 # DEPENDENCYPART_SIBL
(0,6),(0,19),0.0231375 # DEPENDENCYPART_SIBL
(0,6),(0,20),0.029449 # DEPENDENCYPART_SIBL
(0,6),(0,21),-0.0708188 # DEPENDENCYPART_SIBL
(0,6),(0,22),0.0367508 # DEPENDENCYPART_SIBL
(0,6),(0,23),0.0306681 # DEPENDENCYPART_SIBL
(0,6),(0,24),0.00289062 # DEPENDENCYPART_SIBL
(0,6),(0,25),-0.045241 # DEPENDENCYPART_SIBL
(0,7),(0,8),-0.133515 # DEPENDENCYPART_SIBL
(0,7),(0,9),-0.181443 # DEPENDENCYPART_SIBL
(0,7),(0,10),-0.00231334 # DEPENDENCYPART_SIBL
(0,7),(0,11),-0.0355825 # DEPENDENCYPART_SIBL
(0,7),(0,12),-0.133324 # DEPENDENCYPART_SIBL
(0,7),(0,13),-0.216774 # DEPENDENCYPART_SIBL
(0,7),(0,14),-0.231979 # DEPENDENCYPART_SIBL
(0,7),(0,15),-0.181443 # DEPENDENCYPART_SIBL
(0,7),(0,17),-0.133373 # DEPENDENCYPART_SIBL
(0,7),(0,18),-0.0183198 # DEPENDENCYPART_SIBL
(0,7),(0,19),-0.124791 # DEPENDENCYPART_SIBL
(0,7),(0,20),-0.0442218 # DEPENDENCYPART_SIBL
(0,7),(0,21),-0.181443 # DEPENDENCYPART_SIBL
(0,7),(0,22),-0.00906607 # DEPENDENCYPART_SIBL
(0,7),(0,23),-0.0787469 # DEPENDENCYPART_SIBL
(0,7),(0,24),-0.105182 # DEPENDENCYPART_SIBL
(0,7),(0,25),-0.161528 # DEPENDENCYPART_SIBL
(0,8),(0,9),-0.198274 # DEPENDENCYPART_SIBL
(0,8),(0,10),-0.114645 # DEPENDENCYPART_SIBL
(0,8),(0,11),-0.0808987 # DEPENDENCYPART_SIBL
(0,8),(0,12),0.0497975 # DEPENDENCYPART_SIBL
(0,8),(0,13),-0.134841 # DEPENDENCYPART_SIBL
(0,8),(0,14),-0.0879745 # DEPENDENCYPART_SIBL
(0,8),(0,15),-0.198274 # DEPENDENCYPART_SIBL
(0,8),(0,17),0.049749 # DEPENDENCYPART_SIBL
(0,8),(0,18),0.00608692 # DEPENDENCYPART_SIBL
(0,8),(0,19),-0.0247909 # DEPENDENCYPART_SIBL
(0,8),(0,20),-0.1126 # DEPENDENCYPART_SIBL
(0,8),(0,21),-0.198274 # DEPENDENCYPART_SIBL
(0,8),(0,22),0.0216517 # DEPENDENCYPART_SIBL
(0,8),(0,23),-0.0486656 # DEPENDENCYPART_SIBL
(0,8),(0,24),-0.125497 # DEPENDENCYPART_SIBL
(0,8),(0,25),-0.174983 # DEPENDENCYPART_SIBL
(0,9),(0,10),-0.00231334 # DEPENDENCYPART_SIBL
(0,9),(0,11),-0.0355825 # DEPENDENCYPART_SIBL
(0,9),(0,12),-0.133324 # DEPENDENCYPART_SIBL
(0,9),(0,13),-0.216774 # DEPENDENCYPART_SIBL
(0,9),(0,14),-0.231979 # DEPENDENCYPART_SIBL
(0,9),(0,15),-0.181443 # DEPENDENCYPART_SIBL
(0,9),(0,17),-0.133373 # DEPENDENCYPART_SIBL
(0,9),(0,18),-0.0183198 # DEPENDENCYPART_SIBL
(0,9),(0,19),-0.124791 # DEPENDENCYPART_SIBL
(0,9),(0,20),-0.0442218 # DEPENDENCYPART_SIBL
(0,9),(0,21),-0.181443 # DEPENDENCYPART_SIBL
(0,9),(0,22),-0.00906607 # DEPENDENCYPART_SIBL
(0,9),(0,23),-0.0787469 # DEPENDENCYPART_SIBL
(0,9),(0,24),-0.105182 # DEPENDENCYPART_SIBL
(0,9),(0,25),-0.161528 # DEPENDENCYPART_SIBL
(0,10),(0,11),-0.00209609 # DEPENDENCYPART_SIBL
(0,10),(0,12),-0.00759778 # DEPENDENCYPART_SIBL
(0,10),(0,13),-0.047841 # DEPENDENCYPART_SIBL
(0,10),(0,14),-0.128078 # DEPENDENCYPART_SIBL
(0,10),(0,15),-0.082269 # DEPENDENCYPART_SIBL
(0,10),(0,17),-0.00764829 # DEPENDENCYPART_SIBL
(0,10),(0,18),0.00322058 # DEPENDENCYPART_SIBL
(0,10),(0,19),-0.0695065 # DEPENDENCYPART_SIBL
(0,10),(0,20),-0.118512 # DEPENDENCYPART_SIBL
(0,10),(0,21),-0.082269 # DEPENDENCYPART_SIBL
(0,10),(0,22),0.0198068 # DEPENDENCYPART_SIBL
(0,10),(0,23),-0.0531493 # DEPENDENCYPART_SIBL
(0,10),(0,24),-0.144676 # DEPENDENCYPART_SIBL
(0,10),(0,25),-0.0706828 # DEPENDENCYPART_SIBL
(0,11),(0,12),-0.00459367 # DEPENDENCYPART_SIBL
(0,11),(0,13),-0.107806 # DEPENDENCYPART_SIBL
(0,11),(0,14),-0.0512831 # DEPENDENCYPART_SIBL
(0,11),(0,15),-0.136776 # DEPENDENCYPART_SIBL
(0,11),(0,17),-0.0059025 # DEPENDENCYPART_SIBL
(0,11),(0,18),2.74345e-07 # DEPENDENCYPART_SIBL
(0,11),(0,19),-0.0300326 # DEPENDENCYPART_SIBL
(0,11),(0,20),-0.0385243 # DEPENDENCYPART_SIBL
(0,11),(0,21),-0.136776 # DEPENDENCYPART_SIBL
(0,11),(0,22),0.0118059 # DEPENDENCYPART_SIBL
(0,11),(0,23),-0.00984062 # DEPENDENCYPART_SIBL
(0,11),(0,24),-0.0650827 # DEPENDENCYPART_SIBL
(0,11),(0,25),-0.114021 # DEPENDENCYPART_SIBL
(0,12),(0,13),-0.13484 # DEPENDENCYPART_SIBL
(0,12),(0,14),-0.0875943 # DEPENDENCYPART_SIBL
(0,12),(0,15),-0.198273 # DEPENDENCYPART_SIBL
(0,12),(0,17),0.0503043 # DEPENDENCYPART_SIBL
(0,12),(0,18),0.00608766 # DEPENDENCYPART_SIBL
(0,12),(0,19),-0.0239647 # DEPENDENCYPART_SIBL
(0,12),(0,20),-0.112279 # DEPENDENCYPART_SIBL
(0,12),(0,21),-0.198273 # DEPENDENCYPART_SIBL
(0,12),(0,22),0.0208287 # DEPENDENCYPART_SIBL
(0,12),(0,23),-0.0486647 # DEPENDENCYPART_SIBL
(0,12),(0,24),-0.125175 # DEPENDENCYPART_SIBL
(0,12),(0,25),-0.174982 # DEPENDENCYPART_SIBL
(0,13),(0,14),-0.226163 # DEPENDENCYPART_SIBL
(0,13),(0,15),-0.370046 # DEPENDENCYPART_SIBL
(0,13),(0,17),-0.202075 # DEPENDENCYPART_SIBL
(0,13),(0,18),-0.174058 # DEPENDENCYPART_SIBL
(0,13),(0,19),-0.333882 # DEPENDENCYPART_SIBL
(0,13),(0,20),-0.293028 # DEPENDENCYPART_SIBL
(0,13),(0,21),-0.370046 # DEPENDENCYPART_SIBL
(0,13),(0,22),-0.127721 # DEPENDENCYPART_SIBL
(0,13),(0,23),-0.198186 # DEPENDENCYPART_SIBL
(0,13),(0,24),-0.375114 # DEPENDENCYPART_SIBL
(0,13),(0,25),-0.340789 # DEPENDENCYPART_SIBL
(0,14),(0,15),-0.0798852 # DEPENDENCYPART_SIBL
(0,14),(0,17),-0.0224169 # DEPENDENCYPART_SIBL
(0,14),(0,18),0.033201 # DEPENDENCYPART_SIBL
(0,14),(0,19),0.0527923 # DEPENDENCYPART_SIBL
(0,14),(0,20),-0.032339 # DEPENDENCYPART_SIBL
(0,14),(0,21),-0.0798852 # DEPENDENCYPART_SIBL
(0,14),(0,22),0.0297699 # DEPENDENCYPART_SIBL
(0,14),(0,23),-0.0734016 # DEPENDENCYPART_SIBL
(0,14),(0,24),-0.0696977 # DEPENDENCYPART_SIBL
(0,14),(0,25),-0.0473547 # DEPENDENCYPART_SIBL
(0,15),(0,17),-0.133373 # DEPENDENCYPART_SIBL
(0,15),(0,18),-0.0183198 # DEPENDENCYPART_SIBL
(0,15),(0,19),-0.124791 # DEPENDENCYPART_SIBL
(0,15),(0,20),-0.0442218 # DEPENDENCYPART_SIBL
(0,15),(0,21),-0.181443 # DEPENDENCYPART_SIBL
(0,15),(0,22),-0.00906607 # DEPENDENCYPART_SIBL
(0,15),(0,23),-0.0787469 # DEPENDENCYPART_SIBL
(0,15),(0,24),-0.105182 # DEPENDENCYPART_SIBL
(0,15),(0,25),-0.161528 # DEPENDENCYPART_SIBL
(0,17),(0,18),0.00604065 # DEPENDENCYPART_SIBL
(0,17),(0,19),-0.0248372 # DEPENDENCYPART_SIBL
(0,17),(0,20),-0.113213 # DEPENDENCYPART_SIBL
(0,17),(0,21),-0.19832 # DEPENDENCYPART_SIBL
(0,17),(0,22),0.0214838 # DEPENDENCYPART_SIBL
(0,17),(0,23),-0.048712 # DEPENDENCYPART_SIBL
(0,17),(0,24),-0.12611 # DEPENDENCYPART_SIBL
(0,17),(0,25),-0.17503 # DEPENDENCYPART_SIBL
(0,18),(0,19),-0.0602313 # DEPENDENCYPART_SIBL
(0,18),(0,20),-0.102114 # DEPENDENCYPART_SIBL
(0,18),(0,21),-0.16973 # DEPENDENCYPART_SIBL
(0,18),(0,22),-0.0279271 # DEPENDENCYPART_SIBL
(0,18),(0,23),-0.0643481 # DEPENDENCYPART_SIBL
(0,18),(0,24),-0.128139 # DEPENDENCYPART_SIBL
