# _root_ otsailean egindako bileran , arabera , giza_eskubideak urratzen dituen ekintzarik ez babesteko konpromisoa hartu zuten sinatzaileek .
#goldHeads=2,3,14,3,14,5,8,10,8,12,12,13,14,0,14,14,16,
#predictedHeads=2,3,14,3,8,5,8,10,8,12,12,13,14,0,14,14,16,
(16,14),-0.515178 # DEPENDENCYPART_ARC
(16,15),-0.710977 # DEPENDENCYPART_ARC
(16,17),1.53442 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.114258 # DEPENDENCYPART_SIBL
(0,1),(0,3),0.0462107 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.13484 # DEPENDENCYPART_SIBL
(0,1),(0,5),0.0251634 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.13484 # DEPENDENCYPART_SIBL
(0,1),(0,7),0.050943 # DEPENDENCYPART_SIBL
(0,1),(0,8),-0.112279 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.06005 # DEPENDENCYPART_SIBL
(0,1),(0,10),0.0509439 # DEPENDENCYPART_SIBL
(0,1),(0,11),0.0553243 # DEPENDENCYPART_SIBL
(0,1),(0,12),-0.112279 # DEPENDENCYPART_SIBL
(0,1),(0,13),0.0497844 # DEPENDENCYPART_SIBL
(0,1),(0,14),-0.158866 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.0353032 # DEPENDENCYPART_SIBL
(0,1),(0,16),0.0509439 # DEPENDENCYPART_SIBL
(0,1),(0,17),-0.174982 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.0120897 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.0477757 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.0305969 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.0477757 # DEPENDENCYPART_SIBL
(0,2),(0,7),-0.00894631 # DEPENDENCYPART_SIBL
(0,2),(0,8),-0.119114 # DEPENDENCYPART_SIBL
(0,2),(0,9),0.00551254 # DEPENDENCYPART_SIBL
(0,2),(0,10),-0.00894631 # DEPENDENCYPART_SIBL
(0,2),(0,11),0.00299221 # DEPENDENCYPART_SIBL
(0,2),(0,12),-0.119114 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.0108179 # DEPENDENCYPART_SIBL
(0,2),(0,14),-0.172092 # DEPENDENCYPART_SIBL
(0,2),(0,15),0.0427689 # DEPENDENCYPART_SIBL
(0,2),(0,16),-0.00894631 # DEPENDENCYPART_SIBL
(0,2),(0,17),-0.0706175 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.136711 # DEPENDENCYPART_SIBL
(0,3),(0,5),0.0225303 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.136711 # DEPENDENCYPART_SIBL
(0,3),(0,7),0.0526639 # DEPENDENCYPART_SIBL
(0,3),(0,8),-0.114557 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.0619213 # DEPENDENCYPART_SIBL
(0,3),(0,10),0.0526648 # DEPENDENCYPART_SIBL
(0,3),(0,11),0.0534531 # DEPENDENCYPART_SIBL
(0,3),(0,12),-0.114557 # DEPENDENCYPART_SIBL
(0,3),(0,13),0.0515053 # DEPENDENCYPART_SIBL
(0,3),(0,14),-0.161144 # DEPENDENCYPART_SIBL
(0,3),(0,15),-0.0371766 # DEPENDENCYPART_SIBL
(0,3),(0,16),0.0526648 # DEPENDENCYPART_SIBL
(0,3),(0,17),-0.176854 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.291214 # DEPENDENCYPART_SIBL
(0,4),(0,6),-0.413823 # DEPENDENCYPART_SIBL
(0,4),(0,7),-0.202044 # DEPENDENCYPART_SIBL
(0,4),(0,8),-0.293028 # DEPENDENCYPART_SIBL
(0,4),(0,9),-0.201856 # DEPENDENCYPART_SIBL
(0,4),(0,10),-0.202026 # DEPENDENCYPART_SIBL
(0,4),(0,11),-0.107489 # DEPENDENCYPART_SIBL
(0,4),(0,12),-0.293051 # DEPENDENCYPART_SIBL
(0,4),(0,13),-0.203166 # DEPENDENCYPART_SIBL
(0,4),(0,14),-0.393878 # DEPENDENCYPART_SIBL
(0,4),(0,15),-0.181658 # DEPENDENCYPART_SIBL
(0,4),(0,16),-0.202026 # DEPENDENCYPART_SIBL
(0,4),(0,17),-0.340789 # DEPENDENCYPART_SIBL
(0,5),(0,6),-0.0730274 # DEPENDENCYPART_SIBL
(0,5),(0,7),0.0852351 # DEPENDENCYPART_SIBL
(0,5),(0,8),-0.025053 # DEPENDENCYPART_SIBL
(0,5),(0,9),-0.0481346 # DEPENDENCYPART_SIBL
(0,5),(0,10),0.0852351 # DEPENDENCYPART_SIBL
(0,5),(0,11),0.140811 # DEPENDENCYPART_SIBL
(0,5),(0,12),-0.025053 # DEPENDENCYPART_SIBL
(0,5),(0,13),0.0843002 # DEPENDENCYPART_SIBL
(0,5),(0,14),-0.0717358 # DEPENDENCYPART_SIBL
(0,5),(0,15),-0.0238057 # DEPENDENCYPART_SIBL
(0,5),(0,16),0.0852351 # DEPENDENCYPART_SIBL
(0,5),(0,17),-0.0936721 # DEPENDENCYPART_SIBL
(0,6),(0,7),-0.202044 # DEPENDENCYPART_SIBL
(0,6),(0,8),-0.293028 # DEPENDENCYPART_SIBL
(0,6),(0,9),-0.201856 # DEPENDENCYPART_SIBL
(0,6),(0,10),-0.202026 # DEPENDENCYPART_SIBL
(0,6),(0,11),-0.107489 # DEPENDENCYPART_SIBL
(0,6),(0,12),-0.293051 # DEPENDENCYPART_SIBL
(0,6),(0,13),-0.203166 # DEPENDENCYPART_SIBL
(0,6),(0,14),-0.393878 # DEPENDENCYPART_SIBL
(0,6),(0,15),-0.181658 # DEPENDENCYPART_SIBL
(0,6),(0,16),-0.202026 # DEPENDENCYPART_SIBL
(0,6),(0,17),-0.340789 # DEPENDENCYPART_SIBL
(0,7),(0,8),-0.112432 # DEPENDENCYPART_SIBL
(0,7),(0,9),-0.06005 # DEPENDENCYPART_SIBL
(0,7),(0,10),0.050936 # DEPENDENCYPART_SIBL
(0,7),(0,11),0.0553243 # DEPENDENCYPART_SIBL
(0,7),(0,12),-0.112432 # DEPENDENCYPART_SIBL
(0,7),(0,13),0.0497765 # DEPENDENCYPART_SIBL
(0,7),(0,14),-0.15902 # DEPENDENCYPART_SIBL
(0,7),(0,15),-0.0353032 # DEPENDENCYPART_SIBL
(0,7),(0,16),0.050936 # DEPENDENCYPART_SIBL
(0,7),(0,17),-0.175041 # DEPENDENCYPART_SIBL
(0,8),(0,9),0.0068293 # DEPENDENCYPART_SIBL
(0,8),(0,10),-0.00562242 # DEPENDENCYPART_SIBL
(0,8),(0,11),0.00430564 # DEPENDENCYPART_SIBL
(0,8),(0,12),-0.117133 # DEPENDENCYPART_SIBL
(0,8),(0,13),-0.00749404 # DEPENDENCYPART_SIBL
(0,8),(0,14),-0.170111 # DEPENDENCYPART_SIBL
(0,8),(0,15),0.0440856 # DEPENDENCYPART_SIBL
(0,8),(0,16),-0.00562242 # DEPENDENCYPART_SIBL
(0,8),(0,17),-0.0693041 # DEPENDENCYPART_SIBL
(0,9),(0,10),0.0101592 # DEPENDENCYPART_SIBL
(0,9),(0,11),0.0316202 # DEPENDENCYPART_SIBL
(0,9),(0,12),-0.00650028 # DEPENDENCYPART_SIBL
(0,9),(0,13),0.00904362 # DEPENDENCYPART_SIBL
(0,9),(0,14),-0.0524467 # DEPENDENCYPART_SIBL
(0,9),(0,15),-0.0686555 # DEPENDENCYPART_SIBL
(0,9),(0,16),0.0101592 # DEPENDENCYPART_SIBL
(0,9),(0,17),-0.0710702 # DEPENDENCYPART_SIBL
(0,10),(0,11),0.0553243 # DEPENDENCYPART_SIBL
(0,10),(0,12),-0.112279 # DEPENDENCYPART_SIBL
(0,10),(0,13),0.0497844 # DEPENDENCYPART_SIBL
(0,10),(0,14),-0.158866 # DEPENDENCYPART_SIBL
(0,10),(0,15),-0.0353032 # DEPENDENCYPART_SIBL
(0,10),(0,16),0.0509439 # DEPENDENCYPART_SIBL
(0,10),(0,17),-0.174982 # DEPENDENCYPART_SIBL
(0,11),(0,12),-0.0925869 # DEPENDENCYPART_SIBL
(0,11),(0,13),0.00979627 # DEPENDENCYPART_SIBL
(0,11),(0,14),-0.135906 # DEPENDENCYPART_SIBL
(0,11),(0,15),-0.0207108 # DEPENDENCYPART_SIBL
(0,11),(0,16),0.0106538 # DEPENDENCYPART_SIBL
(0,11),(0,17),-0.0912671 # DEPENDENCYPART_SIBL
(0,12),(0,13),-0.00749411 # DEPENDENCYPART_SIBL
(0,12),(0,14),-0.170113 # DEPENDENCYPART_SIBL
(0,12),(0,15),0.0440543 # DEPENDENCYPART_SIBL
(0,12),(0,16),-0.00562249 # DEPENDENCYPART_SIBL
(0,12),(0,17),-0.0693041 # DEPENDENCYPART_SIBL
(0,13),(0,14),-0.158983 # DEPENDENCYPART_SIBL
(0,13),(0,15),-0.0353042 # DEPENDENCYPART_SIBL
(0,13),(0,16),0.0509437 # DEPENDENCYPART_SIBL
(0,13),(0,17),-0.174982 # DEPENDENCYPART_SIBL
(0,14),(0,15),0.0394954 # DEPENDENCYPART_SIBL
(0,14),(0,16),-0.0251511 # DEPENDENCYPART_SIBL
(0,14),(0,17),-0.0855988 # DEPENDENCYPART_SIBL
(0,15),(0,16),-0.0244267 # DEPENDENCYPART_SIBL
(0,15),(0,17),-0.0873356 # DEPENDENCYPART_SIBL
(0,16),(0,17),-0.174982 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.136643 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0117305 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0132075 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.0332378 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.0132075 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.034065 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.0151469 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.0171502 # DEPENDENCYPART_SIBL
(2,1),(2,10),-0.0323336 # DEPENDENCYPART_SIBL
(2,1),(2,12),-0.0151819 # DEPENDENCYPART_SIBL
(2,1),(2,14),-0.0323096 # DEPENDENCYPART_SIBL
(2,1),(2,15),0.0135703 # DEPENDENCYPART_SIBL
(2,1),(2,16),-0.0323336 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0258208 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.00427302 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.0258208 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.00590904 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.0137116 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.0194244 # DEPENDENCYPART_SIBL
(2,3),(2,10),-0.00530867 # DEPENDENCYPART_SIBL
(2,3),(2,12),-0.0137116 # DEPENDENCYPART_SIBL
(2,3),(2,14),-0.0297128 # DEPENDENCYPART_SIBL
(2,3),(2,15),-0.0392961 # DEPENDENCYPART_SIBL
(2,3),(2,16),-0.00530867 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.186487 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.276741 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.0989212 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.0398687 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.0769514 # DEPENDENCYPART_SIBL
(2,4),(2,10),-0.0983051 # DEPENDENCYPART_SIBL
(2,4),(2,12),-0.0398915 # DEPENDENCYPART_SIBL
(2,4),(2,14),-0.0716769 # DEPENDENCYPART_SIBL
(2,4),(2,15),-0.100474 # DEPENDENCYPART_SIBL
(2,4),(2,16),-0.0983051 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.0609212 # DEPENDENCYPART_SIBL
(2,5),(2,7),0.00965612 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.0210695 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.033402 # DEPENDENCYPART_SIBL
(2,5),(2,10),0.0102547 # DEPENDENCYPART_SIBL
(2,5),(2,12),-0.0210695 # DEPENDENCYPART_SIBL
(2,5),(2,14),-0.0351525 # DEPENDENCYPART_SIBL
(2,5),(2,15),-0.0544706 # DEPENDENCYPART_SIBL
(2,5),(2,16),0.0102547 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.0989212 # DEPENDENCYPART_SIBL
(2,6),(2,8),-0.0398687 # DEPENDENCYPART_SIBL
(2,6),(2,9),-0.0769514 # DEPENDENCYPART_SIBL
(2,6),(2,10),-0.0983051 # DEPENDENCYPART_SIBL
(2,6),(2,12),-0.0398915 # DEPENDENCYPART_SIBL
(2,6),(2,14),-0.0716769 # DEPENDENCYPART_SIBL
(2,6),(2,15),-0.100474 # DEPENDENCYPART_SIBL
(2,6),(2,16),-0.0983051 # DEPENDENCYPART_SIBL
(2,7),(2,8),-0.0164713 # DEPENDENCYPART_SIBL
(2,7),(2,9),-0.0227133 # DEPENDENCYPART_SIBL
(2,7),(2,10),-0.015917 # DEPENDENCYPART_SIBL
(2,7),(2,12),-0.0164713 # DEPENDENCYPART_SIBL
(2,7),(2,14),-0.0324725 # DEPENDENCYPART_SIBL
(2,7),(2,15),-0.0425828 # DEPENDENCYPART_SIBL
(2,7),(2,16),-0.015917 # DEPENDENCYPART_SIBL
(2,8),(2,9),0.0310626 # DEPENDENCYPART_SIBL
(2,8),(2,10),-0.0461867 # DEPENDENCYPART_SIBL
(2,8),(2,12),-0.0225753 # DEPENDENCYPART_SIBL
(2,8),(2,14),-0.0413128 # DEPENDENCYPART_SIBL
(2,8),(2,15),0.00289466 # DEPENDENCYPART_SIBL
(2,8),(2,16),-0.0461867 # DEPENDENCYPART_SIBL
(2,9),(2,10),0.00323213 # DEPENDENCYPART_SIBL
(2,9),(2,12),0.00466815 # DEPENDENCYPART_SIBL
(2,9),(2,14),-0.011054 # DEPENDENCYPART_SIBL
(2,9),(2,15),-0.183306 # DEPENDENCYPART_SIBL
(2,9),(2,16),0.00323213 # DEPENDENCYPART_SIBL
(2,10),(2,12),-0.0160528 # DEPENDENCYPART_SIBL
(2,10),(2,14),-0.032054 # DEPENDENCYPART_SIBL
(2,10),(2,15),-0.0424492 # DEPENDENCYPART_SIBL
(2,10),(2,16),-0.0157754 # DEPENDENCYPART_SIBL
(2,12),(2,14),-0.0413507 # DEPENDENCYPART_SIBL
(2,12),(2,15),0.00279918 # DEPENDENCYPART_SIBL
(2,12),(2,16),-0.04622 # DEPENDENCYPART_SIBL
(2,14),(2,15),0.00960407 # DEPENDENCYPART_SIBL
(2,14),(2,16),-0.0534131 # DEPENDENCYPART_SIBL
(2,15),(2,16),-0.0238036 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.0249957 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.0508519 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0319667 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.0508519 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.00692034 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.0201631 # DEPENDENCYPART_SIBL
(3,1),(3,9),0.0389552 # DEPENDENCYPART_SIBL
(3,1),(3,12),0.020075 # DEPENDENCYPART_SIBL
(3,1),(3,13),-0.0100069 # DEPENDENCYPART_SIBL
(3,1),(3,14),0.0633435 # DEPENDENCYPART_SIBL
(3,1),(3,16),-0.00675371 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0212184 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.0261951 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.0212184 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.00825413 # DEPENDENCYPART_SIBL
(3,2),(3,8),0.0370288 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.0759777 # DEPENDENCYPART_SIBL
(3,2),(3,12),0.036768 # DEPENDENCYPART_SIBL
(3,2),(3,13),0.0124316 # DEPENDENCYPART_SIBL
(3,2),(3,14),0.0606974 # DEPENDENCYPART_SIBL
(3,2),(3,16),0.00888306 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.136643 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.314328 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0493519 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.0372475 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.064308 # DEPENDENCYPART_SIBL
(3,4),(3,12),-0.0372702 # DEPENDENCYPART_SIBL
(3,4),(3,13),-0.0532547 # DEPENDENCYPART_SIBL
(3,4),(3,14),-0.0579945 # DEPENDENCYPART_SIBL
(3,4),(3,16),-0.0493344 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.105681 # DEPENDENCYPART_SIBL
(3,5),(3,7),0.0143672 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0155597 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.0241599 # DEPENDENCYPART_SIBL
(3,5),(3,12),-0.0155597 # DEPENDENCYPART_SIBL
(3,5),(3,13),0.0106525 # DEPENDENCYPART_SIBL
(3,5),(3,14),-0.0181729 # DEPENDENCYPART_SIBL
(3,5),(3,16),0.0143672 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.0493519 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.0372475 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.064308 # DEPENDENCYPART_SIBL
(3,6),(3,12),-0.0372702 # DEPENDENCYPART_SIBL
(3,6),(3,13),-0.0532547 # DEPENDENCYPART_SIBL
(3,6),(3,14),-0.0579945 # DEPENDENCYPART_SIBL
(3,6),(3,16),-0.0493344 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.0360207 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.00174017 # DEPENDENCYPART_SIBL
(3,7),(3,12),-0.0360207 # DEPENDENCYPART_SIBL
(3,7),(3,13),-0.0111213 # DEPENDENCYPART_SIBL
(3,7),(3,14),-0.0393887 # DEPENDENCYPART_SIBL
(3,7),(3,16),-0.00731741 # DEPENDENCYPART_SIBL
(3,8),(3,9),0.0319814 # DEPENDENCYPART_SIBL
(3,8),(3,12),-0.0113514 # DEPENDENCYPART_SIBL
(3,8),(3,13),-0.0104236 # DEPENDENCYPART_SIBL
(3,8),(3,14),-0.017098 # DEPENDENCYPART_SIBL
(3,8),(3,16),-0.00638346 # DEPENDENCYPART_SIBL
(3,9),(3,12),0.0250214 # DEPENDENCYPART_SIBL
(3,9),(3,13),0.0209485 # DEPENDENCYPART_SIBL
(3,9),(3,14),0.0218739 # DEPENDENCYPART_SIBL
(3,9),(3,16),0.0248443 # DEPENDENCYPART_SIBL
(3,12),(3,13),-0.0104237 # DEPENDENCYPART_SIBL
(3,12),(3,14),-0.0171005 # DEPENDENCYPART_SIBL
(3,12),(3,16),-0.0063836 # DEPENDENCYPART_SIBL
(3,13),(3,14),-0.0393517 # DEPENDENCYPART_SIBL
(3,13),(3,16),-0.00730955 # DEPENDENCYPART_SIBL
