# _root_ irakaskuntza esparruan hezkuntza sistema propioa eduki beharra azpimarratzen da , eta kultura arloa naziotasuna , euskaltasuna eta herritasunaren_gainean oinarritzeko proposatzen da .
#goldHeads=2,8,4,6,4,8,6,11,8,9,0,13,19,17,14,17,0,17,20,11,20,21,
#predictedHeads=2,6,4,6,4,7,8,11,8,9,0,13,14,17,14,17,19,17,20,11,20,21,
(0,1),(0,17),-0.0875943 # DEPENDENCYPART_SIBL
(0,1),(0,19),-0.116543 # DEPENDENCYPART_SIBL
(0,1),(0,20),-0.119051 # DEPENDENCYPART_SIBL
(0,1),(0,21),-0.0413996 # DEPENDENCYPART_SIBL
(0,1),(0,22),-0.174982 # DEPENDENCYPART_SIBL
(0,6),(0,7),-0.010634 # DEPENDENCYPART_SIBL
(0,6),(0,8),-0.117633 # DEPENDENCYPART_SIBL
(0,6),(0,9),-0.0283081 # DEPENDENCYPART_SIBL
(0,6),(0,10),-0.0464624 # DEPENDENCYPART_SIBL
(0,6),(0,11),-0.126699 # DEPENDENCYPART_SIBL
(0,6),(0,15),-0.0464624 # DEPENDENCYPART_SIBL
(0,6),(0,17),-0.126699 # DEPENDENCYPART_SIBL
(0,6),(0,19),-0.120804 # DEPENDENCYPART_SIBL
(0,6),(0,20),-0.130918 # DEPENDENCYPART_SIBL
(0,6),(0,21),-0.0283081 # DEPENDENCYPART_SIBL
(0,6),(0,22),-0.0693042 # DEPENDENCYPART_SIBL
(0,7),(0,8),-0.112795 # DEPENDENCYPART_SIBL
(0,7),(0,9),-0.0414217 # DEPENDENCYPART_SIBL
(0,7),(0,10),-0.134845 # DEPENDENCYPART_SIBL
(0,7),(0,11),-0.0877819 # DEPENDENCYPART_SIBL
(0,7),(0,15),-0.134845 # DEPENDENCYPART_SIBL
(0,7),(0,17),-0.0877819 # DEPENDENCYPART_SIBL
(0,7),(0,19),-0.116561 # DEPENDENCYPART_SIBL
(0,7),(0,20),-0.119068 # DEPENDENCYPART_SIBL
(0,7),(0,21),-0.0414217 # DEPENDENCYPART_SIBL
(0,7),(0,22),-0.174987 # DEPENDENCYPART_SIBL
(0,8),(0,9),-0.028308 # DEPENDENCYPART_SIBL
(0,8),(0,10),-0.0464622 # DEPENDENCYPART_SIBL
(0,8),(0,11),-0.126699 # DEPENDENCYPART_SIBL
(0,8),(0,15),-0.0464622 # DEPENDENCYPART_SIBL
(0,8),(0,17),-0.126699 # DEPENDENCYPART_SIBL
(0,8),(0,19),-0.120804 # DEPENDENCYPART_SIBL
(0,8),(0,20),-0.130918 # DEPENDENCYPART_SIBL
(0,8),(0,21),-0.028308 # DEPENDENCYPART_SIBL
(0,8),(0,22),-0.0693041 # DEPENDENCYPART_SIBL
(0,9),(0,10),-0.0655862 # DEPENDENCYPART_SIBL
(0,9),(0,11),-0.0911826 # DEPENDENCYPART_SIBL
(0,9),(0,15),-0.0655862 # DEPENDENCYPART_SIBL
(0,9),(0,17),-0.0911826 # DEPENDENCYPART_SIBL
(0,9),(0,19),-0.0321374 # DEPENDENCYPART_SIBL
(0,9),(0,20),-0.0351244 # DEPENDENCYPART_SIBL
(0,9),(0,21),-0.0915718 # DEPENDENCYPART_SIBL
(0,9),(0,22),-0.0856939 # DEPENDENCYPART_SIBL
(0,10),(0,11),-0.226163 # DEPENDENCYPART_SIBL
(0,10),(0,15),-0.413823 # DEPENDENCYPART_SIBL
(0,10),(0,17),-0.226163 # DEPENDENCYPART_SIBL
(0,10),(0,19),-0.298839 # DEPENDENCYPART_SIBL
(0,10),(0,20),-0.298037 # DEPENDENCYPART_SIBL
(0,10),(0,21),-0.206064 # DEPENDENCYPART_SIBL
(0,10),(0,22),-0.340789 # DEPENDENCYPART_SIBL
(0,11),(0,15),0.0156699 # DEPENDENCYPART_SIBL
(0,11),(0,17),-0.0395181 # DEPENDENCYPART_SIBL
(0,11),(0,19),-0.0355734 # DEPENDENCYPART_SIBL
(0,11),(0,20),-0.0396111 # DEPENDENCYPART_SIBL
(0,11),(0,21),0.0163256 # DEPENDENCYPART_SIBL
(0,11),(0,22),-0.0473547 # DEPENDENCYPART_SIBL
(0,15),(0,17),-0.226163 # DEPENDENCYPART_SIBL
(0,15),(0,19),-0.298839 # DEPENDENCYPART_SIBL
(0,15),(0,20),-0.298037 # DEPENDENCYPART_SIBL
(0,15),(0,21),-0.206064 # DEPENDENCYPART_SIBL
(0,15),(0,22),-0.340789 # DEPENDENCYPART_SIBL
(0,17),(0,19),-0.0355734 # DEPENDENCYPART_SIBL
(0,17),(0,20),-0.0396111 # DEPENDENCYPART_SIBL
(0,17),(0,21),0.0163256 # DEPENDENCYPART_SIBL
(0,17),(0,22),-0.0473547 # DEPENDENCYPART_SIBL
(0,19),(0,20),-0.130918 # DEPENDENCYPART_SIBL
(0,19),(0,21),-0.028308 # DEPENDENCYPART_SIBL
(0,19),(0,22),-0.0693041 # DEPENDENCYPART_SIBL
(0,20),(0,21),-0.0293043 # DEPENDENCYPART_SIBL
(0,20),(0,22),-0.0695448 # DEPENDENCYPART_SIBL
(0,21),(0,22),-0.0856939 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0073091 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.00483983 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.00483983 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.00799675 # DEPENDENCYPART_SIBL
(2,1),(2,4),2.65098e-05 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.00802106 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.00292401 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.00483983 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.00507583 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.00885372 # DEPENDENCYPART_SIBL
(3,1),(3,4),2.65098e-05 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.00802106 # DEPENDENCYPART_SIBL
(3,1),(3,9),0.0333563 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.00181308 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0080158 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.0333623 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.00507583 # DEPENDENCYPART_SIBL
(3,4),(3,9),0.00350365 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.0141464 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.000372401 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.000372401 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.00887989 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.0309548 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.0298102 # DEPENDENCYPART_SIBL
(4,1),(4,9),0.0409665 # DEPENDENCYPART_SIBL
(4,1),(4,12),-0.00279518 # DEPENDENCYPART_SIBL
(4,1),(4,13),0.00237788 # DEPENDENCYPART_SIBL
(4,1),(4,14),0.00237788 # DEPENDENCYPART_SIBL
(4,1),(4,16),0.00237788 # DEPENDENCYPART_SIBL
(4,1),(4,17),0.00790625 # DEPENDENCYPART_SIBL
(4,1),(4,18),0.00237788 # DEPENDENCYPART_SIBL
(4,1),(4,19),0.0272224 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.00139481 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.00888515 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.03096 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.0315968 # DEPENDENCYPART_SIBL
(4,2),(4,9),0.0409725 # DEPENDENCYPART_SIBL
(4,2),(4,12),-0.00100862 # DEPENDENCYPART_SIBL
(4,2),(4,13),0.00416444 # DEPENDENCYPART_SIBL
(4,2),(4,14),0.00416444 # DEPENDENCYPART_SIBL
(4,2),(4,16),0.00416444 # DEPENDENCYPART_SIBL
(4,2),(4,17),0.00793254 # DEPENDENCYPART_SIBL
(4,2),(4,18),0.00416444 # DEPENDENCYPART_SIBL
(4,2),(4,19),0.0272277 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.00888515 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.03096 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.0315968 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.0409725 # DEPENDENCYPART_SIBL
(4,3),(4,12),-0.00100862 # DEPENDENCYPART_SIBL
(4,3),(4,13),0.00416444 # DEPENDENCYPART_SIBL
(4,3),(4,14),0.00416444 # DEPENDENCYPART_SIBL
(4,3),(4,16),0.00416444 # DEPENDENCYPART_SIBL
(4,3),(4,17),0.00793254 # DEPENDENCYPART_SIBL
(4,3),(4,18),0.00416444 # DEPENDENCYPART_SIBL
(4,3),(4,19),0.0272277 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0510812 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.0209293 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.0203506 # DEPENDENCYPART_SIBL
(4,5),(4,12),-0.0221847 # DEPENDENCYPART_SIBL
(4,5),(4,13),-0.0221847 # DEPENDENCYPART_SIBL
(4,5),(4,14),-0.0221847 # DEPENDENCYPART_SIBL
(4,5),(4,16),-0.0221847 # DEPENDENCYPART_SIBL
(4,5),(4,17),-0.0891873 # DEPENDENCYPART_SIBL
(4,5),(4,18),-0.0221847 # DEPENDENCYPART_SIBL
(4,5),(4,19),-0.0511417 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.00632677 # DEPENDENCYPART_SIBL
(4,6),(4,9),0.0216378 # DEPENDENCYPART_SIBL
(4,6),(4,12),-0.00982296 # DEPENDENCYPART_SIBL
(4,6),(4,13),-0.00982296 # DEPENDENCYPART_SIBL
(4,6),(4,14),-0.00982296 # DEPENDENCYPART_SIBL
(4,6),(4,16),-0.00982296 # DEPENDENCYPART_SIBL
(4,6),(4,17),-0.0118773 # DEPENDENCYPART_SIBL
(4,6),(4,18),-0.00982296 # DEPENDENCYPART_SIBL
(4,6),(4,19),-0.0116595 # DEPENDENCYPART_SIBL
(4,7),(4,9),0.00475223 # DEPENDENCYPART_SIBL
(4,7),(4,12),-0.0066751 # DEPENDENCYPART_SIBL
(4,7),(4,13),-0.00667239 # DEPENDENCYPART_SIBL
(4,7),(4,14),-0.00667239 # DEPENDENCYPART_SIBL
(4,7),(4,16),-0.00667239 # DEPENDENCYPART_SIBL
(4,7),(4,17),-0.0130553 # DEPENDENCYPART_SIBL
(4,7),(4,18),-0.00667239 # DEPENDENCYPART_SIBL
(4,7),(4,19),-0.0355883 # DEPENDENCYPART_SIBL
(4,9),(4,12),0.0518064 # DEPENDENCYPART_SIBL
(4,9),(4,13),0.0518064 # DEPENDENCYPART_SIBL
(4,9),(4,14),0.0518064 # DEPENDENCYPART_SIBL
(4,9),(4,16),0.0518064 # DEPENDENCYPART_SIBL
(4,9),(4,17),-0.0102045 # DEPENDENCYPART_SIBL
(4,9),(4,18),0.0518064 # DEPENDENCYPART_SIBL
(4,9),(4,19),0.0425425 # DEPENDENCYPART_SIBL
(4,12),(4,13),-0.00667157 # DEPENDENCYPART_SIBL
(4,12),(4,14),-0.00667157 # DEPENDENCYPART_SIBL
(4,12),(4,16),-0.00667157 # DEPENDENCYPART_SIBL
(4,12),(4,17),-0.0128713 # DEPENDENCYPART_SIBL
(4,12),(4,18),-0.00667157 # DEPENDENCYPART_SIBL
(4,12),(4,19),-0.0355744 # DEPENDENCYPART_SIBL
(4,13),(4,14),-0.00666827 # DEPENDENCYPART_SIBL
(4,13),(4,16),-0.00666827 # DEPENDENCYPART_SIBL
(4,13),(4,17),-0.0128713 # DEPENDENCYPART_SIBL
(4,13),(4,18),-0.00666827 # DEPENDENCYPART_SIBL
(4,13),(4,19),-0.0355744 # DEPENDENCYPART_SIBL
(4,14),(4,16),-0.00666827 # DEPENDENCYPART_SIBL
(4,14),(4,17),-0.0128713 # DEPENDENCYPART_SIBL
(4,14),(4,18),-0.00666827 # DEPENDENCYPART_SIBL
(4,14),(4,19),-0.0355744 # DEPENDENCYPART_SIBL
(4,16),(4,17),-0.0128713 # DEPENDENCYPART_SIBL
(4,16),(4,18),-0.00666827 # DEPENDENCYPART_SIBL
(4,16),(4,19),-0.0355744 # DEPENDENCYPART_SIBL
(4,17),(4,18),-0.0084259 # DEPENDENCYPART_SIBL
(4,17),(4,19),-0.0244281 # DEPENDENCYPART_SIBL
(4,18),(4,19),-0.0355744 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.0530145 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.0530145 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.0566966 # DEPENDENCYPART_SIBL
(5,1),(5,6),0.0260863 # DEPENDENCYPART_SIBL
(5,1),(5,7),0.0633595 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.0538948 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.0575769 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.0260863 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.0651408 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.0575769 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.0260863 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.0651408 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.0241548 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.0790922 # DEPENDENCYPART_SIBL
(5,6),(5,7),0.0158235 # DEPENDENCYPART_SIBL
(6,1),(6,2),-0.0138641 # DEPENDENCYPART_SIBL
(6,1),(6,3),-0.0138641 # DEPENDENCYPART_SIBL
(6,1),(6,4),-0.0162385 # DEPENDENCYPART_SIBL
(6,1),(6,5),-0.00833906 # DEPENDENCYPART_SIBL
(6,1),(6,7),-0.0037792 # DEPENDENCYPART_SIBL
(6,1),(6,8),0.0224534 # DEPENDENCYPART_SIBL
(6,1),(6,9),0.0231738 # DEPENDENCYPART_SIBL
(6,1),(6,10),0.0122232 # DEPENDENCYPART_SIBL
(6,1),(6,11),-0.0152119 # DEPENDENCYPART_SIBL
(6,1),(6,14),-0.0149797 # DEPENDENCYPART_SIBL
(6,1),(6,15),0.0122232 # DEPENDENCYPART_SIBL
(6,1),(6,17),-0.0152119 # DEPENDENCYPART_SIBL
(6,1),(6,19),0.0201903 # DEPENDENCYPART_SIBL
(6,1),(6,20),0.0134445 # DEPENDENCYPART_SIBL
(6,1),(6,21),0.0231738 # DEPENDENCYPART_SIBL
(6,2),(6,3),-0.0124326 # DEPENDENCYPART_SIBL
(6,2),(6,4),-0.014807 # DEPENDENCYPART_SIBL
(6,2),(6,5),-0.00764578 # DEPENDENCYPART_SIBL
(6,2),(6,7),-0.00144947 # DEPENDENCYPART_SIBL
(6,2),(6,8),0.0230018 # DEPENDENCYPART_SIBL
(6,2),(6,9),0.0237237 # DEPENDENCYPART_SIBL
(6,2),(6,10),0.0149625 # DEPENDENCYPART_SIBL
(6,2),(6,11),-0.014653 # DEPENDENCYPART_SIBL
(6,2),(6,14),-0.01265 # DEPENDENCYPART_SIBL
(6,2),(6,15),0.0149625 # DEPENDENCYPART_SIBL
(6,2),(6,17),-0.014653 # DEPENDENCYPART_SIBL
(6,2),(6,19),0.0207387 # DEPENDENCYPART_SIBL
(6,2),(6,20),0.0139929 # DEPENDENCYPART_SIBL
(6,2),(6,21),0.0237237 # DEPENDENCYPART_SIBL
(6,3),(6,4),-0.014807 # DEPENDENCYPART_SIBL
(6,3),(6,5),-0.00764578 # DEPENDENCYPART_SIBL
