# _root_ psnk uste du hori ez dela bidezkoa eta upn kritikatu du , enpresa pribatuetan hori bultzatzen ari_den bitartean , publikoetan ez duelako oraindik ezarri .
#goldHeads=2,8,2,6,6,2,6,0,10,8,10,11,16,13,16,17,24,17,18,24,24,24,24,10,24,
#predictedHeads=2,0,2,6,6,10,6,6,10,0,10,11,16,13,13,17,18,10,18,19,24,24,24,10,24,
(6,13),-0.804988 # DEPENDENCYPART_ARC
(6,14),-1.29515 # DEPENDENCYPART_ARC
(6,16),-1.16032 # DEPENDENCYPART_ARC
(6,17),-1.19968 # DEPENDENCYPART_ARC
(6,18),-0.6346 # DEPENDENCYPART_ARC
(6,24),-1.28792 # DEPENDENCYPART_ARC
(7,2),-1.4469 # DEPENDENCYPART_ARC
(7,6),-0.512647 # DEPENDENCYPART_ARC
(7,8),-0.488 # DEPENDENCYPART_ARC
(8,1),-0.377952 # DEPENDENCYPART_ARC
(8,2),-0.53154 # DEPENDENCYPART_ARC
(8,3),-1.11027 # DEPENDENCYPART_ARC
(8,4),-1.02867 # DEPENDENCYPART_ARC
(8,5),-0.600188 # DEPENDENCYPART_ARC
(8,6),0.149617 # DEPENDENCYPART_ARC
(8,7),0.756839 # DEPENDENCYPART_ARC
(8,9),1.0891 # DEPENDENCYPART_ARC
(8,10),0.0260097 # DEPENDENCYPART_ARC
(8,11),-0.690762 # DEPENDENCYPART_ARC
(8,12),-0.488301 # DEPENDENCYPART_ARC
(8,13),-0.779326 # DEPENDENCYPART_ARC
(8,16),-0.718252 # DEPENDENCYPART_ARC
(8,17),-0.502764 # DEPENDENCYPART_ARC
(8,18),-0.958835 # DEPENDENCYPART_ARC
(8,24),-1.15257 # DEPENDENCYPART_ARC
(9,10),-1.97123 # DEPENDENCYPART_ARC
(10,2),-0.501246 # DEPENDENCYPART_ARC
(10,3),-0.583941 # DEPENDENCYPART_ARC
(10,4),-0.621251 # DEPENDENCYPART_ARC
(10,5),-0.297528 # DEPENDENCYPART_ARC
(10,6),0.176099 # DEPENDENCYPART_ARC
(10,7),-0.460661 # DEPENDENCYPART_ARC
(10,8),0.194638 # DEPENDENCYPART_ARC
(10,9),1.75164 # DEPENDENCYPART_ARC
(10,11),0.961422 # DEPENDENCYPART_ARC
(10,12),-0.453924 # DEPENDENCYPART_ARC
(10,13),-0.854445 # DEPENDENCYPART_ARC
(10,14),-0.700753 # DEPENDENCYPART_ARC
(10,16),-0.739085 # DEPENDENCYPART_ARC
(10,17),-0.547787 # DEPENDENCYPART_ARC
(10,18),-0.325292 # DEPENDENCYPART_ARC
(10,19),-0.94965 # DEPENDENCYPART_ARC
(10,20),-0.80073 # DEPENDENCYPART_ARC
(10,22),-1.11759 # DEPENDENCYPART_ARC
(10,24),-0.47896 # DEPENDENCYPART_ARC
(11,5),-1.52997 # DEPENDENCYPART_ARC
(11,9),-0.843451 # DEPENDENCYPART_ARC
(11,12),1.21833 # DEPENDENCYPART_ARC
(11,13),-1.17871 # DEPENDENCYPART_ARC
(12,6),-0.911409 # DEPENDENCYPART_ARC
(12,11),-0.542872 # DEPENDENCYPART_ARC
(12,13),-0.712567 # DEPENDENCYPART_ARC
(12,14),-1.01367 # DEPENDENCYPART_ARC
(12,17),-0.988194 # DEPENDENCYPART_ARC
(13,4),-2.35734 # DEPENDENCYPART_ARC
(13,7),-1.59757 # DEPENDENCYPART_ARC
(13,9),-1.77538 # DEPENDENCYPART_ARC
(13,10),-0.890201 # DEPENDENCYPART_ARC
(13,11),-1.16194 # DEPENDENCYPART_ARC
(13,12),-0.269319 # DEPENDENCYPART_ARC
(13,14),1.63671 # DEPENDENCYPART_ARC
(13,15),1.21341 # DEPENDENCYPART_ARC
(13,16),-0.659796 # DEPENDENCYPART_ARC
(13,17),-0.754611 # DEPENDENCYPART_ARC
(13,18),-0.616563 # DEPENDENCYPART_ARC
(13,24),-0.639344 # DEPENDENCYPART_ARC
(13,25),-1.31861 # DEPENDENCYPART_ARC
(14,13),-0.375195 # DEPENDENCYPART_ARC
(14,15),-1.27103 # DEPENDENCYPART_ARC
(15,16),-0.462138 # DEPENDENCYPART_ARC
(16,2),-0.724976 # DEPENDENCYPART_ARC
(16,4),-0.889734 # DEPENDENCYPART_ARC
(16,5),-0.578107 # DEPENDENCYPART_ARC
(16,6),-0.229847 # DEPENDENCYPART_ARC
(16,7),-1.15275 # DEPENDENCYPART_ARC
(16,8),-0.372182 # DEPENDENCYPART_ARC
(16,9),-0.494793 # DEPENDENCYPART_ARC
(16,10),-1.01288 # DEPENDENCYPART_ARC
(16,11),-0.765182 # DEPENDENCYPART_ARC
(16,12),-1.38126 # DEPENDENCYPART_ARC
(16,13),0.303884 # DEPENDENCYPART_ARC
(16,14),-0.408342 # DEPENDENCYPART_ARC
(16,15),0.573224 # DEPENDENCYPART_ARC
(16,17),0.566886 # DEPENDENCYPART_ARC
(16,18),0.469869 # DEPENDENCYPART_ARC
(16,19),-0.580374 # DEPENDENCYPART_ARC
(16,20),-0.984788 # DEPENDENCYPART_ARC
(16,21),-0.359052 # DEPENDENCYPART_ARC
(16,22),-0.286656 # DEPENDENCYPART_ARC
(16,23),-0.825474 # DEPENDENCYPART_ARC
(16,24),-0.658488 # DEPENDENCYPART_ARC
(17,2),-1.28516 # DEPENDENCYPART_ARC
(17,6),-0.934985 # DEPENDENCYPART_ARC
(17,8),-0.657098 # DEPENDENCYPART_ARC
(17,9),-0.909231 # DEPENDENCYPART_ARC
(17,10),-1.26769 # DEPENDENCYPART_ARC
(17,11),-0.864793 # DEPENDENCYPART_ARC
(17,13),-0.336141 # DEPENDENCYPART_ARC
(17,14),-1.30612 # DEPENDENCYPART_ARC
(17,15),-0.300698 # DEPENDENCYPART_ARC
(17,16),1.02849 # DEPENDENCYPART_ARC
(17,18),-0.432242 # DEPENDENCYPART_ARC
(17,20),-1.17558 # DEPENDENCYPART_ARC
(17,21),-1.01377 # DEPENDENCYPART_ARC
(17,22),-1.16803 # DEPENDENCYPART_ARC
(17,24),-0.364035 # DEPENDENCYPART_ARC
(18,7),-1.84518 # DEPENDENCYPART_ARC
(18,8),-0.814001 # DEPENDENCYPART_ARC
(18,10),-1.43649 # DEPENDENCYPART_ARC
(18,12),-1.61182 # DEPENDENCYPART_ARC
(18,13),-0.737033 # DEPENDENCYPART_ARC
(18,14),-2.51662 # DEPENDENCYPART_ARC
(18,15),-3.23504 # DEPENDENCYPART_ARC
(18,16),-0.566488 # DEPENDENCYPART_ARC
(18,17),0.946592 # DEPENDENCYPART_ARC
(18,19),1.00537 # DEPENDENCYPART_ARC
(18,20),-1.84014 # DEPENDENCYPART_ARC
(18,21),-1.72666 # DEPENDENCYPART_ARC
(18,22),-2.54066 # DEPENDENCYPART_ARC
(18,23),-1.0297 # DEPENDENCYPART_ARC
(18,24),-1.32844 # DEPENDENCYPART_ARC
(18,25),-0.931666 # DEPENDENCYPART_ARC
(19,16),-0.795789 # DEPENDENCYPART_ARC
(19,17),-0.747115 # DEPENDENCYPART_ARC
(19,20),-0.266513 # DEPENDENCYPART_ARC
(19,24),-0.920978 # DEPENDENCYPART_ARC
(20,18),-0.868917 # DEPENDENCYPART_ARC
(20,19),-0.295161 # DEPENDENCYPART_ARC
(20,21),-0.362607 # DEPENDENCYPART_ARC
(20,24),-1.32422 # DEPENDENCYPART_ARC
(21,18),-1.41921 # DEPENDENCYPART_ARC
(22,18),-0.776691 # DEPENDENCYPART_ARC
(22,20),-0.984176 # DEPENDENCYPART_ARC
(22,21),-0.582815 # DEPENDENCYPART_ARC
(22,23),-0.198963 # DEPENDENCYPART_ARC
(23,25),-0.406179 # DEPENDENCYPART_ARC
(24,2),-0.801063 # DEPENDENCYPART_ARC
(24,6),-0.695774 # DEPENDENCYPART_ARC
(24,8),-0.282727 # DEPENDENCYPART_ARC
(24,9),-0.313674 # DEPENDENCYPART_ARC
(24,10),-0.882042 # DEPENDENCYPART_ARC
(24,12),-1.33501 # DEPENDENCYPART_ARC
(24,13),-0.469252 # DEPENDENCYPART_ARC
(24,14),-0.839718 # DEPENDENCYPART_ARC
(24,15),-1.12562 # DEPENDENCYPART_ARC
(24,16),-0.580469 # DEPENDENCYPART_ARC
(24,17),-0.775567 # DEPENDENCYPART_ARC
(24,18),0.088248 # DEPENDENCYPART_ARC
(24,19),-1.22144 # DEPENDENCYPART_ARC
(24,20),-0.340457 # DEPENDENCYPART_ARC
(24,21),0.364868 # DEPENDENCYPART_ARC
(24,22),-0.0627988 # DEPENDENCYPART_ARC
(24,23),0.965781 # DEPENDENCYPART_ARC
(24,25),1.74665 # DEPENDENCYPART_ARC
(0,2),(0,3),-0.0732059 # DEPENDENCYPART_SIBL
(0,2),(0,4),0.00608788 # DEPENDENCYPART_SIBL
(0,2),(0,5),0.0553243 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.0486647 # DEPENDENCYPART_SIBL
(0,2),(0,7),0.0183958 # DEPENDENCYPART_SIBL
(0,2),(0,8),-0.0875943 # DEPENDENCYPART_SIBL
(0,2),(0,9),0.0509424 # DEPENDENCYPART_SIBL
(0,2),(0,10),-0.0924981 # DEPENDENCYPART_SIBL
(0,2),(0,11),-0.0732059 # DEPENDENCYPART_SIBL
(0,2),(0,12),-0.13484 # DEPENDENCYPART_SIBL
(0,2),(0,14),0.0183958 # DEPENDENCYPART_SIBL
(0,2),(0,15),0.00608788 # DEPENDENCYPART_SIBL
(0,2),(0,16),-0.112697 # DEPENDENCYPART_SIBL
(0,2),(0,17),-0.10998 # DEPENDENCYPART_SIBL
(0,2),(0,19),-0.13484 # DEPENDENCYPART_SIBL
(0,2),(0,20),0.0183958 # DEPENDENCYPART_SIBL
(0,2),(0,21),0.0553243 # DEPENDENCYPART_SIBL
(0,2),(0,22),-0.0604608 # DEPENDENCYPART_SIBL
(0,2),(0,23),0.025729 # DEPENDENCYPART_SIBL
(0,2),(0,24),-0.115411 # DEPENDENCYPART_SIBL
(0,2),(0,25),-0.174982 # DEPENDENCYPART_SIBL
(0,3),(0,4),0.0204903 # DEPENDENCYPART_SIBL
(0,3),(0,5),0.0287307 # DEPENDENCYPART_SIBL
(0,3),(0,6),0.0216808 # DEPENDENCYPART_SIBL
(0,3),(0,7),0.0202345 # DEPENDENCYPART_SIBL
(0,3),(0,8),0.0005745 # DEPENDENCYPART_SIBL
(0,3),(0,9),0.0132168 # DEPENDENCYPART_SIBL
(0,3),(0,10),0.0269281 # DEPENDENCYPART_SIBL
(0,3),(0,11),-0.113073 # DEPENDENCYPART_SIBL
(0,3),(0,12),-0.0521989 # DEPENDENCYPART_SIBL
(0,3),(0,14),0.0202345 # DEPENDENCYPART_SIBL
(0,3),(0,15),0.0204903 # DEPENDENCYPART_SIBL
(0,3),(0,16),0.0063336 # DEPENDENCYPART_SIBL
(0,3),(0,17),0.0188065 # DEPENDENCYPART_SIBL
(0,3),(0,19),-0.0521989 # DEPENDENCYPART_SIBL
(0,3),(0,20),0.0202345 # DEPENDENCYPART_SIBL
(0,3),(0,21),0.0287307 # DEPENDENCYPART_SIBL
(0,3),(0,22),-0.087738 # DEPENDENCYPART_SIBL
(0,3),(0,23),0.0168505 # DEPENDENCYPART_SIBL
(0,3),(0,24),0.00179392 # DEPENDENCYPART_SIBL
(0,3),(0,25),-0.0585579 # DEPENDENCYPART_SIBL
(0,4),(0,5),0.00835599 # DEPENDENCYPART_SIBL
(0,4),(0,6),-0.0643481 # DEPENDENCYPART_SIBL
(0,4),(0,7),-0.0445352 # DEPENDENCYPART_SIBL
(0,4),(0,8),-0.0718853 # DEPENDENCYPART_SIBL
(0,4),(0,9),-0.00570782 # DEPENDENCYPART_SIBL
(0,4),(0,10),-0.0854882 # DEPENDENCYPART_SIBL
(0,4),(0,11),-0.0806524 # DEPENDENCYPART_SIBL
(0,4),(0,12),-0.146083 # DEPENDENCYPART_SIBL
(0,4),(0,14),-0.0445352 # DEPENDENCYPART_SIBL
(0,4),(0,15),-0.0462627 # DEPENDENCYPART_SIBL
(0,4),(0,16),-0.102114 # DEPENDENCYPART_SIBL
(0,4),(0,17),-0.0981134 # DEPENDENCYPART_SIBL
(0,4),(0,19),-0.146083 # DEPENDENCYPART_SIBL
(0,4),(0,20),-0.0445352 # DEPENDENCYPART_SIBL
(0,4),(0,21),0.00835599 # DEPENDENCYPART_SIBL
(0,4),(0,22),-0.0598957 # DEPENDENCYPART_SIBL
(0,4),(0,23),-0.0317146 # DEPENDENCYPART_SIBL
(0,4),(0,24),-0.105168 # DEPENDENCYPART_SIBL
(0,4),(0,25),-0.152674 # DEPENDENCYPART_SIBL
(0,5),(0,6),-0.0645934 # DEPENDENCYPART_SIBL
(0,5),(0,7),-0.00298405 # DEPENDENCYPART_SIBL
(0,5),(0,8),-0.106674 # DEPENDENCYPART_SIBL
(0,5),(0,9),0.0106532 # DEPENDENCYPART_SIBL
(0,5),(0,10),-0.0759376 # DEPENDENCYPART_SIBL
(0,5),(0,11),-0.0690317 # DEPENDENCYPART_SIBL
(0,5),(0,12),-0.0841936 # DEPENDENCYPART_SIBL
(0,5),(0,14),-0.00298405 # DEPENDENCYPART_SIBL
(0,5),(0,15),-0.0173336 # DEPENDENCYPART_SIBL
(0,5),(0,16),-0.0925869 # DEPENDENCYPART_SIBL
(0,5),(0,17),-0.0886204 # DEPENDENCYPART_SIBL
(0,5),(0,19),-0.0841936 # DEPENDENCYPART_SIBL
(0,5),(0,20),-0.00298405 # DEPENDENCYPART_SIBL
(0,5),(0,21),0.0447002 # DEPENDENCYPART_SIBL
(0,5),(0,22),-0.0462114 # DEPENDENCYPART_SIBL
(0,5),(0,23),-0.0275414 # DEPENDENCYPART_SIBL
(0,5),(0,24),-0.0956412 # DEPENDENCYPART_SIBL
(0,5),(0,25),-0.0912671 # DEPENDENCYPART_SIBL
(0,6),(0,7),-0.0340008 # DEPENDENCYPART_SIBL
(0,6),(0,8),-0.0859423 # DEPENDENCYPART_SIBL
(0,6),(0,9),-0.0421004 # DEPENDENCYPART_SIBL
(0,6),(0,10),-0.169516 # DEPENDENCYPART_SIBL
(0,6),(0,11),-0.0896871 # DEPENDENCYPART_SIBL
(0,6),(0,12),-0.0788441 # DEPENDENCYPART_SIBL
(0,6),(0,14),-0.0340008 # DEPENDENCYPART_SIBL
(0,6),(0,15),-0.0622154 # DEPENDENCYPART_SIBL
(0,6),(0,16),-0.186329 # DEPENDENCYPART_SIBL
(0,6),(0,17),-0.168218 # DEPENDENCYPART_SIBL
(0,6),(0,19),-0.0788441 # DEPENDENCYPART_SIBL
(0,6),(0,20),-0.0340008 # DEPENDENCYPART_SIBL
(0,6),(0,21),-0.0350167 # DEPENDENCYPART_SIBL
(0,6),(0,22),-0.0781624 # DEPENDENCYPART_SIBL
(0,6),(0,23),-0.0690632 # DEPENDENCYPART_SIBL
(0,6),(0,24),-0.189198 # DEPENDENCYPART_SIBL
(0,6),(0,25),-0.112069 # DEPENDENCYPART_SIBL
(0,7),(0,8),-0.0649171 # DEPENDENCYPART_SIBL
(0,7),(0,9),-0.00442269 # DEPENDENCYPART_SIBL
(0,7),(0,10),-0.0827295 # DEPENDENCYPART_SIBL
(0,7),(0,11),-0.0533298 # DEPENDENCYPART_SIBL
(0,7),(0,12),-0.072892 # DEPENDENCYPART_SIBL
(0,7),(0,14),0.0109805 # DEPENDENCYPART_SIBL
(0,7),(0,15),0.0517171 # DEPENDENCYPART_SIBL
(0,7),(0,16),-0.098332 # DEPENDENCYPART_SIBL
(0,7),(0,17),-0.0943316 # DEPENDENCYPART_SIBL
(0,7),(0,19),-0.072892 # DEPENDENCYPART_SIBL
(0,7),(0,20),0.0109805 # DEPENDENCYPART_SIBL
(0,7),(0,21),0.0191193 # DEPENDENCYPART_SIBL
(0,7),(0,22),-0.0332075 # DEPENDENCYPART_SIBL
(0,7),(0,23),0.0159538 # DEPENDENCYPART_SIBL
(0,7),(0,24),-0.101605 # DEPENDENCYPART_SIBL
(0,7),(0,25),-0.0798058 # DEPENDENCYPART_SIBL
(0,8),(0,9),-0.022369 # DEPENDENCYPART_SIBL
(0,8),(0,10),-0.0137469 # DEPENDENCYPART_SIBL
(0,8),(0,11),-0.0180094 # DEPENDENCYPART_SIBL
(0,8),(0,12),0.0156699 # DEPENDENCYPART_SIBL
(0,8),(0,14),0.0259329 # DEPENDENCYPART_SIBL
(0,8),(0,15),0.033201 # DEPENDENCYPART_SIBL
(0,8),(0,16),-0.032339 # DEPENDENCYPART_SIBL
(0,8),(0,17),-0.0354057 # DEPENDENCYPART_SIBL
(0,8),(0,19),0.0156699 # DEPENDENCYPART_SIBL
(0,8),(0,20),0.0259329 # DEPENDENCYPART_SIBL
(0,8),(0,21),0.0189221 # DEPENDENCYPART_SIBL
(0,8),(0,22),-0.00538006 # DEPENDENCYPART_SIBL
(0,8),(0,23),0.0836049 # DEPENDENCYPART_SIBL
(0,8),(0,24),-0.0353933 # DEPENDENCYPART_SIBL
(0,8),(0,25),-0.0473547 # DEPENDENCYPART_SIBL
(0,9),(0,10),-0.0974215 # DEPENDENCYPART_SIBL
(0,9),(0,11),-0.0763983 # DEPENDENCYPART_SIBL
(0,9),(0,12),-0.138227 # DEPENDENCYPART_SIBL
(0,9),(0,14),0.0150086 # DEPENDENCYPART_SIBL
(0,9),(0,15),0.00270072 # DEPENDENCYPART_SIBL
(0,9),(0,16),-0.11762 # DEPENDENCYPART_SIBL
(0,9),(0,17),-0.114903 # DEPENDENCYPART_SIBL
(0,9),(0,19),-0.138227 # DEPENDENCYPART_SIBL
(0,9),(0,20),0.0150086 # DEPENDENCYPART_SIBL
(0,9),(0,21),0.0513006 # DEPENDENCYPART_SIBL
(0,9),(0,22),-0.0637505 # DEPENDENCYPART_SIBL
(0,9),(0,23),0.0223418 # DEPENDENCYPART_SIBL
(0,9),(0,24),-0.120334 # DEPENDENCYPART_SIBL
(0,9),(0,25),-0.178369 # DEPENDENCYPART_SIBL
(0,10),(0,11),0.0115121 # DEPENDENCYPART_SIBL
(0,10),(0,12),-0.0233473 # DEPENDENCYPART_SIBL
(0,10),(0,14),0.0230218 # DEPENDENCYPART_SIBL
(0,10),(0,15),0.0277189 # DEPENDENCYPART_SIBL
(0,10),(0,16),-0.096533 # DEPENDENCYPART_SIBL
(0,10),(0,17),-0.085164 # DEPENDENCYPART_SIBL
(0,10),(0,19),-0.0233473 # DEPENDENCYPART_SIBL
(0,10),(0,20),0.0230218 # DEPENDENCYPART_SIBL
(0,10),(0,21),0.0274252 # DEPENDENCYPART_SIBL
(0,10),(0,22),0.0300258 # DEPENDENCYPART_SIBL
(0,10),(0,23),-0.00628317 # DEPENDENCYPART_SIBL
(0,10),(0,24),-0.10108 # DEPENDENCYPART_SIBL
(0,10),(0,25),-0.0461872 # DEPENDENCYPART_SIBL
(0,11),(0,12),-0.0521989 # DEPENDENCYPART_SIBL
(0,11),(0,14),0.0202345 # DEPENDENCYPART_SIBL
(0,11),(0,15),0.0204903 # DEPENDENCYPART_SIBL
(0,11),(0,16),0.0063336 # DEPENDENCYPART_SIBL
(0,11),(0,17),0.0188065 # DEPENDENCYPART_SIBL
(0,11),(0,19),-0.0521989 # DEPENDENCYPART_SIBL
(0,11),(0,20),0.0202345 # DEPENDENCYPART_SIBL
(0,11),(0,21),0.0287307 # DEPENDENCYPART_SIBL
(0,11),(0,22),-0.087738 # DEPENDENCYPART_SIBL
(0,11),(0,23),0.0168505 # DEPENDENCYPART_SIBL
(0,11),(0,24),0.00179392 # DEPENDENCYPART_SIBL
(0,11),(0,25),-0.0585579 # DEPENDENCYPART_SIBL
(0,12),(0,14),-0.132739 # DEPENDENCYPART_SIBL
(0,12),(0,15),-0.174058 # DEPENDENCYPART_SIBL
(0,12),(0,16),-0.293028 # DEPENDENCYPART_SIBL
(0,12),(0,17),-0.292613 # DEPENDENCYPART_SIBL
(0,12),(0,19),-0.413823 # DEPENDENCYPART_SIBL
(0,12),(0,20),-0.132739 # DEPENDENCYPART_SIBL
(0,12),(0,21),-0.107489 # DEPENDENCYPART_SIBL
(0,12),(0,22),-0.20458 # DEPENDENCYPART_SIBL
(0,12),(0,23),-0.292808 # DEPENDENCYPART_SIBL
(0,12),(0,24),-0.300812 # DEPENDENCYPART_SIBL
(0,12),(0,25),-0.340789 # DEPENDENCYPART_SIBL
(0,14),(0,15),0.0517171 # DEPENDENCYPART_SIBL
(0,14),(0,16),-0.098332 # DEPENDENCYPART_SIBL
(0,14),(0,17),-0.0943316 # DEPENDENCYPART_SIBL
(0,14),(0,19),-0.072892 # DEPENDENCYPART_SIBL
(0,14),(0,20),0.0109805 # DEPENDENCYPART_SIBL
(0,14),(0,21),0.0191193 # DEPENDENCYPART_SIBL
(0,14),(0,22),-0.0332074 # DEPENDENCYPART_SIBL
(0,14),(0,23),0.0159538 # DEPENDENCYPART_SIBL
(0,14),(0,24),-0.101605 # DEPENDENCYPART_SIBL
(0,14),(0,25),-0.0798058 # DEPENDENCYPART_SIBL
(0,15),(0,16),-0.102114 # DEPENDENCYPART_SIBL
(0,15),(0,17),-0.0981134 # DEPENDENCYPART_SIBL
(0,15),(0,19),-0.146083 # DEPENDENCYPART_SIBL
(0,15),(0,20),-0.0445352 # DEPENDENCYPART_SIBL
(0,15),(0,21),0.00835599 # DEPENDENCYPART_SIBL
(0,15),(0,22),-0.0598957 # DEPENDENCYPART_SIBL
(0,15),(0,23),-0.0317146 # DEPENDENCYPART_SIBL
(0,15),(0,24),-0.105168 # DEPENDENCYPART_SIBL
(0,15),(0,25),-0.152674 # DEPENDENCYPART_SIBL
(0,16),(0,17),-0.105524 # DEPENDENCYPART_SIBL
(0,16),(0,19),-0.0464622 # DEPENDENCYPART_SIBL
(0,16),(0,20),-9.77891e-05 # DEPENDENCYPART_SIBL
(0,16),(0,21),0.00430564 # DEPENDENCYPART_SIBL
(0,16),(0,22),0.00835159 # DEPENDENCYPART_SIBL
(0,16),(0,23),-0.0294028 # DEPENDENCYPART_SIBL
(0,16),(0,24),-0.122123 # DEPENDENCYPART_SIBL
(0,16),(0,25),-0.0693041 # DEPENDENCYPART_SIBL
(0,17),(0,19),-0.0193128 # DEPENDENCYPART_SIBL
(0,17),(0,20),0.027816 # DEPENDENCYPART_SIBL
(0,17),(0,21),0.0323051 # DEPENDENCYPART_SIBL
(0,17),(0,22),0.0362734 # DEPENDENCYPART_SIBL
(0,17),(0,23),-0.00140333 # DEPENDENCYPART_SIBL
(0,17),(0,24),-0.0822198 # DEPENDENCYPART_SIBL
(0,17),(0,25),-0.0420311 # DEPENDENCYPART_SIBL
(0,19),(0,20),-0.132739 # DEPENDENCYPART_SIBL
(0,19),(0,21),-0.107489 # DEPENDENCYPART_SIBL
(0,19),(0,22),-0.20458 # DEPENDENCYPART_SIBL
(0,19),(0,23),-0.292808 # DEPENDENCYPART_SIBL
(0,19),(0,24),-0.300812 # DEPENDENCYPART_SIBL
(0,19),(0,25),-0.340789 # DEPENDENCYPART_SIBL
(0,20),(0,21),0.0191193 # DEPENDENCYPART_SIBL
(0,20),(0,22),-0.0332074 # DEPENDENCYPART_SIBL
(0,20),(0,23),0.0159538 # DEPENDENCYPART_SIBL
(0,20),(0,24),-0.101659 # DEPENDENCYPART_SIBL
(0,20),(0,25),-0.0798058 # DEPENDENCYPART_SIBL
(0,21),(0,22),-0.0462114 # DEPENDENCYPART_SIBL
(0,21),(0,23),-0.0275414 # DEPENDENCYPART_SIBL
(0,21),(0,24),-0.0956412 # DEPENDENCYPART_SIBL
(0,21),(0,25),-0.0912671 # DEPENDENCYPART_SIBL
(0,22),(0,23),0.0212157 # DEPENDENCYPART_SIBL
(0,22),(0,24),-0.0200664 # DEPENDENCYPART_SIBL
(0,22),(0,25),-0.0803015 # DEPENDENCYPART_SIBL
(0,23),(0,24),-0.0334115 # DEPENDENCYPART_SIBL
(0,23),(0,25),-0.0967082 # DEPENDENCYPART_SIBL
(0,24),(0,25),-0.0718642 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0163443 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.023661 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.0154165 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.0143184 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.0137486 # DEPENDENCYPART_SIBL
(2,1),(2,9),-0.0104597 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.0295072 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.00577093 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.00355051 # DEPENDENCYPART_SIBL
(2,3),(2,8),0.027656 # DEPENDENCYPART_SIBL
(2,3),(2,9),0.0417488 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0277856 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.112147 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.0125548 # DEPENDENCYPART_SIBL
(2,4),(2,9),0.00275046 # DEPENDENCYPART_SIBL
