# _root_ adierazi zuenez , " oso erantzun ona " jaso du orain_arte egindako sinadura bilketak , eta hori oso itxaropentsua da .
#goldHeads=16,1,2,3,7,9,6,7,16,9,12,14,14,9,14,0,20,19,20,16,20,
#predictedHeads=9,1,2,3,7,9,6,7,16,9,12,14,14,9,14,0,20,19,20,16,20,
(14,5),-1.08221 # DEPENDENCYPART_ARC
(14,6),-0.391222 # DEPENDENCYPART_ARC
(14,7),-1.92543 # DEPENDENCYPART_ARC
(14,9),-0.974683 # DEPENDENCYPART_ARC
(14,11),-0.596567 # DEPENDENCYPART_ARC
(14,12),1.13827 # DEPENDENCYPART_ARC
(14,13),1.20253 # DEPENDENCYPART_ARC
(14,15),1.04504 # DEPENDENCYPART_ARC
(14,16),-1.16831 # DEPENDENCYPART_ARC
(14,17),-1.7991 # DEPENDENCYPART_ARC
(14,18),-1.16699 # DEPENDENCYPART_ARC
(14,19),-1.98674 # DEPENDENCYPART_ARC
(14,20),-1.91236 # DEPENDENCYPART_ARC
(14,21),-1.02126 # DEPENDENCYPART_ARC
(15,10),-1.49425 # DEPENDENCYPART_ARC
(15,12),-0.949509 # DEPENDENCYPART_ARC
(15,13),-1.03924 # DEPENDENCYPART_ARC
(15,16),-0.328932 # DEPENDENCYPART_ARC
(15,20),-0.690221 # DEPENDENCYPART_ARC
(16,5),-0.814496 # DEPENDENCYPART_ARC
(16,6),-1.21133 # DEPENDENCYPART_ARC
(16,9),0.000697733 # DEPENDENCYPART_ARC
(16,10),-1.31167 # DEPENDENCYPART_ARC
(16,12),-0.300735 # DEPENDENCYPART_ARC
(16,13),-0.380374 # DEPENDENCYPART_ARC
(16,14),-0.174434 # DEPENDENCYPART_ARC
(16,15),-0.440243 # DEPENDENCYPART_ARC
(16,17),-0.690101 # DEPENDENCYPART_ARC
(16,18),-0.836712 # DEPENDENCYPART_ARC
(16,19),-0.479808 # DEPENDENCYPART_ARC
(16,20),-0.0459049 # DEPENDENCYPART_ARC
(17,16),-0.493127 # DEPENDENCYPART_ARC
(18,13),-1.30396 # DEPENDENCYPART_ARC
(18,14),-1.22522 # DEPENDENCYPART_ARC
(18,16),-0.888471 # DEPENDENCYPART_ARC
(18,17),-0.257924 # DEPENDENCYPART_ARC
(18,19),-0.455102 # DEPENDENCYPART_ARC
(19,13),-1.06452 # DEPENDENCYPART_ARC
(19,14),-1.26711 # DEPENDENCYPART_ARC
(19,16),-0.376262 # DEPENDENCYPART_ARC
(19,18),0.847531 # DEPENDENCYPART_ARC
(19,20),-0.701103 # DEPENDENCYPART_ARC
(20,1),-1.12586 # DEPENDENCYPART_ARC
(20,5),-0.981556 # DEPENDENCYPART_ARC
(20,6),-0.393457 # DEPENDENCYPART_ARC
(20,9),-0.911687 # DEPENDENCYPART_ARC
(20,12),-0.858431 # DEPENDENCYPART_ARC
(20,13),-0.124267 # DEPENDENCYPART_ARC
(20,14),0.362161 # DEPENDENCYPART_ARC
(20,15),-1.08904 # DEPENDENCYPART_ARC
(20,16),-0.571435 # DEPENDENCYPART_ARC
(20,17),0.364172 # DEPENDENCYPART_ARC
(20,18),0.182888 # DEPENDENCYPART_ARC
(20,19),0.938527 # DEPENDENCYPART_ARC
(20,21),1.59095 # DEPENDENCYPART_ARC
(0,1),(0,2),0.0422147 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.0331675 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.0673978 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.0220816 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.01225 # DEPENDENCYPART_SIBL
(0,1),(0,7),0.0119519 # DEPENDENCYPART_SIBL
(0,1),(0,8),-0.0673978 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.113337 # DEPENDENCYPART_SIBL
(0,1),(0,10),0.0325108 # DEPENDENCYPART_SIBL
(0,1),(0,11),-0.0191555 # DEPENDENCYPART_SIBL
(0,1),(0,12),-0.105623 # DEPENDENCYPART_SIBL
(0,1),(0,13),-0.000975775 # DEPENDENCYPART_SIBL
(0,1),(0,14),-0.000968813 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.0331675 # DEPENDENCYPART_SIBL
(0,1),(0,16),-0.120835 # DEPENDENCYPART_SIBL
(0,1),(0,17),0.0178307 # DEPENDENCYPART_SIBL
(0,1),(0,18),-0.0220816 # DEPENDENCYPART_SIBL
(0,1),(0,19),0.0135657 # DEPENDENCYPART_SIBL
(0,1),(0,20),-0.0693247 # DEPENDENCYPART_SIBL
(0,1),(0,21),-0.0558116 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.0737562 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.107959 # DEPENDENCYPART_SIBL
(0,2),(0,5),0.0156825 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.00500312 # DEPENDENCYPART_SIBL
(0,2),(0,7),0.0104655 # DEPENDENCYPART_SIBL
(0,2),(0,8),-0.107959 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.033539 # DEPENDENCYPART_SIBL
(0,2),(0,10),-0.123015 # DEPENDENCYPART_SIBL
(0,2),(0,11),0.0172697 # DEPENDENCYPART_SIBL
(0,2),(0,12),-0.0284668 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.00852092 # DEPENDENCYPART_SIBL
(0,2),(0,14),-0.00821944 # DEPENDENCYPART_SIBL
(0,2),(0,15),-0.0737562 # DEPENDENCYPART_SIBL
(0,2),(0,16),-0.0554218 # DEPENDENCYPART_SIBL
(0,2),(0,17),0.00969619 # DEPENDENCYPART_SIBL
(0,2),(0,18),0.0156825 # DEPENDENCYPART_SIBL
(0,2),(0,19),0.0128357 # DEPENDENCYPART_SIBL
(0,2),(0,20),0.0167326 # DEPENDENCYPART_SIBL
(0,2),(0,21),-0.0823801 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.370046 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.298727 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.195062 # DEPENDENCYPART_SIBL
(0,3),(0,7),-0.126897 # DEPENDENCYPART_SIBL
(0,3),(0,8),-0.370046 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.30362 # DEPENDENCYPART_SIBL
(0,3),(0,10),-0.254856 # DEPENDENCYPART_SIBL
(0,3),(0,11),-0.300472 # DEPENDENCYPART_SIBL
(0,3),(0,12),-0.295334 # DEPENDENCYPART_SIBL
(0,3),(0,13),-0.202033 # DEPENDENCYPART_SIBL
(0,3),(0,14),-0.202026 # DEPENDENCYPART_SIBL
(0,3),(0,15),-0.413823 # DEPENDENCYPART_SIBL
(0,3),(0,16),-0.226163 # DEPENDENCYPART_SIBL
(0,3),(0,17),-0.174058 # DEPENDENCYPART_SIBL
(0,3),(0,18),-0.298727 # DEPENDENCYPART_SIBL
(0,3),(0,19),-0.132739 # DEPENDENCYPART_SIBL
(0,3),(0,20),-0.189106 # DEPENDENCYPART_SIBL
(0,3),(0,21),-0.340789 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.0947147 # DEPENDENCYPART_SIBL
(0,4),(0,6),-0.127099 # DEPENDENCYPART_SIBL
(0,4),(0,7),-0.000977812 # DEPENDENCYPART_SIBL
(0,4),(0,8),-0.181443 # DEPENDENCYPART_SIBL
(0,4),(0,9),-0.0552603 # DEPENDENCYPART_SIBL
(0,4),(0,10),-0.0559298 # DEPENDENCYPART_SIBL
(0,4),(0,11),-0.101315 # DEPENDENCYPART_SIBL
(0,4),(0,12),-0.0465272 # DEPENDENCYPART_SIBL
(0,4),(0,13),-0.133331 # DEPENDENCYPART_SIBL
(0,4),(0,14),-0.133324 # DEPENDENCYPART_SIBL
(0,4),(0,15),-0.216774 # DEPENDENCYPART_SIBL
(0,4),(0,16),-0.231979 # DEPENDENCYPART_SIBL
(0,4),(0,17),-0.0183198 # DEPENDENCYPART_SIBL
(0,4),(0,18),-0.0947147 # DEPENDENCYPART_SIBL
(0,4),(0,19),-0.0141519 # DEPENDENCYPART_SIBL
(0,4),(0,20),-0.103568 # DEPENDENCYPART_SIBL
(0,4),(0,21),-0.161528 # DEPENDENCYPART_SIBL
(0,5),(0,6),0.0742735 # DEPENDENCYPART_SIBL
(0,5),(0,7),0.0446949 # DEPENDENCYPART_SIBL
(0,5),(0,8),-0.124438 # DEPENDENCYPART_SIBL
(0,5),(0,9),-0.0714798 # DEPENDENCYPART_SIBL
(0,5),(0,10),-0.0866221 # DEPENDENCYPART_SIBL
(0,5),(0,11),-0.0299819 # DEPENDENCYPART_SIBL
(0,5),(0,12),-0.0560544 # DEPENDENCYPART_SIBL
(0,5),(0,13),0.0738334 # DEPENDENCYPART_SIBL
(0,5),(0,14),0.0741396 # DEPENDENCYPART_SIBL
(0,5),(0,15),-0.0837828 # DEPENDENCYPART_SIBL
(0,5),(0,16),-0.072114 # DEPENDENCYPART_SIBL
(0,5),(0,17),0.0516651 # DEPENDENCYPART_SIBL
(0,5),(0,18),-0.0325679 # DEPENDENCYPART_SIBL
(0,5),(0,19),0.0462973 # DEPENDENCYPART_SIBL
(0,5),(0,20),0.044728 # DEPENDENCYPART_SIBL
(0,5),(0,21),-0.104427 # DEPENDENCYPART_SIBL
(0,6),(0,7),0.0406272 # DEPENDENCYPART_SIBL
(0,6),(0,8),-0.171394 # DEPENDENCYPART_SIBL
(0,6),(0,9),-0.0641124 # DEPENDENCYPART_SIBL
(0,6),(0,10),-0.0202594 # DEPENDENCYPART_SIBL
(0,6),(0,11),0.0477115 # DEPENDENCYPART_SIBL
(0,6),(0,12),-0.0564012 # DEPENDENCYPART_SIBL
(0,6),(0,13),0.0723939 # DEPENDENCYPART_SIBL
(0,6),(0,14),0.07257 # DEPENDENCYPART_SIBL
(0,6),(0,15),-0.108308 # DEPENDENCYPART_SIBL
(0,6),(0,16),-0.0552215 # DEPENDENCYPART_SIBL
(0,6),(0,17),0.0335244 # DEPENDENCYPART_SIBL
(0,6),(0,18),0.0447862 # DEPENDENCYPART_SIBL
(0,6),(0,19),0.0456966 # DEPENDENCYPART_SIBL
(0,6),(0,20),0.0131626 # DEPENDENCYPART_SIBL
(0,6),(0,21),-0.148104 # DEPENDENCYPART_SIBL
(0,7),(0,8),-0.0975589 # DEPENDENCYPART_SIBL
(0,7),(0,9),-0.109425 # DEPENDENCYPART_SIBL
(0,7),(0,10),-0.0542041 # DEPENDENCYPART_SIBL
(0,7),(0,11),0.0124232 # DEPENDENCYPART_SIBL
(0,7),(0,12),-0.102081 # DEPENDENCYPART_SIBL
(0,7),(0,13),0.012709 # DEPENDENCYPART_SIBL
(0,7),(0,14),0.0127159 # DEPENDENCYPART_SIBL
(0,7),(0,15),-0.0737645 # DEPENDENCYPART_SIBL
(0,7),(0,16),-0.0657896 # DEPENDENCYPART_SIBL
(0,7),(0,17),0.0479941 # DEPENDENCYPART_SIBL
(0,7),(0,18),0.00987061 # DEPENDENCYPART_SIBL
(0,7),(0,19),0.010108 # DEPENDENCYPART_SIBL
(0,7),(0,20),-0.0425287 # DEPENDENCYPART_SIBL
(0,7),(0,21),-0.0806784 # DEPENDENCYPART_SIBL
(0,8),(0,9),-0.0552603 # DEPENDENCYPART_SIBL
(0,8),(0,10),-0.0559298 # DEPENDENCYPART_SIBL
(0,8),(0,11),-0.101315 # DEPENDENCYPART_SIBL
(0,8),(0,12),-0.0465272 # DEPENDENCYPART_SIBL
(0,8),(0,13),-0.133331 # DEPENDENCYPART_SIBL
(0,8),(0,14),-0.133324 # DEPENDENCYPART_SIBL
(0,8),(0,15),-0.216774 # DEPENDENCYPART_SIBL
(0,8),(0,16),-0.231979 # DEPENDENCYPART_SIBL
(0,8),(0,17),-0.0183198 # DEPENDENCYPART_SIBL
(0,8),(0,18),-0.0947147 # DEPENDENCYPART_SIBL
(0,8),(0,19),-0.0141519 # DEPENDENCYPART_SIBL
(0,8),(0,20),-0.103568 # DEPENDENCYPART_SIBL
(0,8),(0,21),-0.161528 # DEPENDENCYPART_SIBL
(0,9),(0,10),-0.00816974 # DEPENDENCYPART_SIBL
(0,9),(0,11),-0.0297831 # DEPENDENCYPART_SIBL
(0,9),(0,12),-0.120083 # DEPENDENCYPART_SIBL
(0,9),(0,13),-0.00367475 # DEPENDENCYPART_SIBL
(0,9),(0,14),-0.00366779 # DEPENDENCYPART_SIBL
(0,9),(0,15),-0.044158 # DEPENDENCYPART_SIBL
(0,9),(0,16),-0.121331 # DEPENDENCYPART_SIBL
(0,9),(0,17),0.00690347 # DEPENDENCYPART_SIBL
(0,9),(0,18),-0.0327093 # DEPENDENCYPART_SIBL
(0,9),(0,19),0.00220642 # DEPENDENCYPART_SIBL
(0,9),(0,20),-0.0757565 # DEPENDENCYPART_SIBL
(0,9),(0,21),-0.0669999 # DEPENDENCYPART_SIBL
(0,10),(0,11),0.0058965 # DEPENDENCYPART_SIBL
(0,10),(0,12),0.0032586 # DEPENDENCYPART_SIBL
(0,10),(0,13),0.0132618 # DEPENDENCYPART_SIBL
(0,10),(0,14),0.0135633 # DEPENDENCYPART_SIBL
(0,10),(0,15),-0.0521989 # DEPENDENCYPART_SIBL
(0,10),(0,16),0.0005745 # DEPENDENCYPART_SIBL
(0,10),(0,17),0.0204903 # DEPENDENCYPART_SIBL
(0,10),(0,18),0.00854109 # DEPENDENCYPART_SIBL
(0,10),(0,19),0.0202345 # DEPENDENCYPART_SIBL
(0,10),(0,20),0.0289812 # DEPENDENCYPART_SIBL
(0,10),(0,21),-0.0585579 # DEPENDENCYPART_SIBL
(0,11),(0,12),-0.0283409 # DEPENDENCYPART_SIBL
(0,11),(0,13),0.0914652 # DEPENDENCYPART_SIBL
(0,11),(0,14),0.0917714 # DEPENDENCYPART_SIBL
(0,11),(0,15),-0.0727035 # DEPENDENCYPART_SIBL
(0,11),(0,16),-0.0619321 # DEPENDENCYPART_SIBL
(0,11),(0,17),0.0545574 # DEPENDENCYPART_SIBL
(0,11),(0,18),-0.0228645 # DEPENDENCYPART_SIBL
(0,11),(0,19),0.058414 # DEPENDENCYPART_SIBL
(0,11),(0,20),0.0524867 # DEPENDENCYPART_SIBL
(0,11),(0,21),-0.0933482 # DEPENDENCYPART_SIBL
(0,12),(0,13),-0.00895327 # DEPENDENCYPART_SIBL
(0,12),(0,14),-0.00894631 # DEPENDENCYPART_SIBL
(0,12),(0,15),-0.0477757 # DEPENDENCYPART_SIBL
(0,12),(0,16),-0.12802 # DEPENDENCYPART_SIBL
(0,12),(0,17),0.00318582 # DEPENDENCYPART_SIBL
(0,12),(0,18),-0.0363269 # DEPENDENCYPART_SIBL
(0,12),(0,19),-0.00310688 # DEPENDENCYPART_SIBL
(0,12),(0,20),-0.0793741 # DEPENDENCYPART_SIBL
(0,12),(0,21),-0.0706175 # DEPENDENCYPART_SIBL
(0,13),(0,14),0.0506967 # DEPENDENCYPART_SIBL
(0,13),(0,15),-0.13484 # DEPENDENCYPART_SIBL
(0,13),(0,16),-0.0875944 # DEPENDENCYPART_SIBL
(0,13),(0,17),0.0060878 # DEPENDENCYPART_SIBL
(0,13),(0,18),0.0201827 # DEPENDENCYPART_SIBL
(0,13),(0,19),0.0183957 # DEPENDENCYPART_SIBL
(0,13),(0,20),-0.0144456 # DEPENDENCYPART_SIBL
(0,13),(0,21),-0.174982 # DEPENDENCYPART_SIBL
(0,14),(0,15),-0.13484 # DEPENDENCYPART_SIBL
(0,14),(0,16),-0.0875943 # DEPENDENCYPART_SIBL
(0,14),(0,17),0.00608788 # DEPENDENCYPART_SIBL
(0,14),(0,18),0.0201828 # DEPENDENCYPART_SIBL
(0,14),(0,19),0.0183958 # DEPENDENCYPART_SIBL
(0,14),(0,20),-0.0144455 # DEPENDENCYPART_SIBL
(0,14),(0,21),-0.174982 # DEPENDENCYPART_SIBL
(0,15),(0,16),-0.226163 # DEPENDENCYPART_SIBL
(0,15),(0,17),-0.174058 # DEPENDENCYPART_SIBL
(0,15),(0,18),-0.298727 # DEPENDENCYPART_SIBL
(0,15),(0,19),-0.132739 # DEPENDENCYPART_SIBL
(0,15),(0,20),-0.189106 # DEPENDENCYPART_SIBL
(0,15),(0,21),-0.340789 # DEPENDENCYPART_SIBL
(0,16),(0,17),0.033201 # DEPENDENCYPART_SIBL
(0,16),(0,18),0.0689378 # DEPENDENCYPART_SIBL
(0,16),(0,19),0.0259329 # DEPENDENCYPART_SIBL
(0,16),(0,20),-0.0414955 # DEPENDENCYPART_SIBL
(0,16),(0,21),-0.0473547 # DEPENDENCYPART_SIBL
(0,17),(0,18),-0.0389495 # DEPENDENCYPART_SIBL
(0,17),(0,19),-0.0445352 # DEPENDENCYPART_SIBL
(0,17),(0,20),-0.0539243 # DEPENDENCYPART_SIBL
(0,17),(0,21),-0.152674 # DEPENDENCYPART_SIBL
(0,18),(0,19),0.0462973 # DEPENDENCYPART_SIBL
(0,18),(0,20),0.044728 # DEPENDENCYPART_SIBL
(0,18),(0,21),-0.104427 # DEPENDENCYPART_SIBL
(0,19),(0,20),-0.0416562 # DEPENDENCYPART_SIBL
(0,19),(0,21),-0.0798058 # DEPENDENCYPART_SIBL
(0,20),(0,21),-0.111695 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.082417 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.079582 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.0449219 # DEPENDENCYPART_SIBL
(1,2),(1,10),-0.192544 # DEPENDENCYPART_SIBL
(1,2),(1,14),-0.0816314 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.120734 # DEPENDENCYPART_SIBL
(1,3),(1,9),-0.0394955 # DEPENDENCYPART_SIBL
(1,3),(1,10),-0.0889317 # DEPENDENCYPART_SIBL
(1,3),(1,14),-0.122629 # DEPENDENCYPART_SIBL
(1,6),(1,9),-0.0128073 # DEPENDENCYPART_SIBL
(1,6),(1,10),-0.00847497 # DEPENDENCYPART_SIBL
(1,6),(1,14),-0.0603915 # DEPENDENCYPART_SIBL
(1,9),(1,10),0.0629773 # DEPENDENCYPART_SIBL
(1,9),(1,14),-0.0702031 # DEPENDENCYPART_SIBL
(1,10),(1,14),0.0131063 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.17187 # DEPENDENCYPART_SIBL
(2,3),(2,10),-0.106227 # DEPENDENCYPART_SIBL
(2,5),(2,10),-0.034624 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0559474 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.0333796 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.117442 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0612608 # DEPENDENCYPART_SIBL
(3,4),(3,9),0.0467758 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.00610092 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.00637242 # DEPENDENCYPART_SIBL
(5,4),(5,18),0.00231242 # DEPENDENCYPART_SIBL
(5,6),(5,18),0.0150219 # DEPENDENCYPART_SIBL
(6,3),(6,5),-0.0609126 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.0333354 # DEPENDENCYPART_SIBL
(6,3),(6,10),-0.0645463 # DEPENDENCYPART_SIBL
(6,3),(6,12),-0.0424671 # DEPENDENCYPART_SIBL
(6,3),(6,13),-0.0730899 # DEPENDENCYPART_SIBL
(6,3),(6,14),-0.0730141 # DEPENDENCYPART_SIBL
(6,3),(6,16),-0.0408389 # DEPENDENCYPART_SIBL
(6,5),(6,7),-0.102364 # DEPENDENCYPART_SIBL
(6,5),(6,10),-0.0864109 # DEPENDENCYPART_SIBL
(6,5),(6,12),-0.0389184 # DEPENDENCYPART_SIBL
(6,5),(6,13),-0.110792 # DEPENDENCYPART_SIBL
(6,5),(6,14),-0.110792 # DEPENDENCYPART_SIBL
(6,5),(6,16),-0.0327199 # DEPENDENCYPART_SIBL
(6,7),(6,10),0.0117351 # DEPENDENCYPART_SIBL
(6,7),(6,12),-0.0336679 # DEPENDENCYPART_SIBL
(6,7),(6,13),0.0509718 # DEPENDENCYPART_SIBL
(6,7),(6,14),0.0509718 # DEPENDENCYPART_SIBL
(6,7),(6,16),-0.0375734 # DEPENDENCYPART_SIBL
(6,10),(6,12),0.0458064 # DEPENDENCYPART_SIBL
(6,10),(6,13),0.057364 # DEPENDENCYPART_SIBL
(6,10),(6,14),0.0576577 # DEPENDENCYPART_SIBL
(6,10),(6,16),0.0658806 # DEPENDENCYPART_SIBL
(6,12),(6,13),-0.003002 # DEPENDENCYPART_SIBL
(6,12),(6,14),-0.003002 # DEPENDENCYPART_SIBL
(6,12),(6,16),0.0156228 # DEPENDENCYPART_SIBL
(6,13),(6,14),0.00573147 # DEPENDENCYPART_SIBL
(6,13),(6,16),0.0391583 # DEPENDENCYPART_SIBL
(6,14),(6,16),0.0391583 # DEPENDENCYPART_SIBL
(7,5),(7,6),-0.019401 # DEPENDENCYPART_SIBL
(7,5),(7,8),0.0456285 # DEPENDENCYPART_SIBL
(7,5),(7,12),0.0508241 # DEPENDENCYPART_SIBL
(7,6),(7,8),-0.120948 # DEPENDENCYPART_SIBL
(7,6),(7,12),0.0125558 # DEPENDENCYPART_SIBL
(7,8),(7,12),0.018868 # DEPENDENCYPART_SIBL
(8,9),(8,10),0.0402077 # DEPENDENCYPART_SIBL
(9,1),(9,2),0.0314493 # DEPENDENCYPART_SIBL
(9,1),(9,3),-0.0451222 # DEPENDENCYPART_SIBL
(9,1),(9,5),0.0498732 # DEPENDENCYPART_SIBL
(9,1),(9,6),0.0510122 # DEPENDENCYPART_SIBL
(9,1),(9,7),0.0465036 # DEPENDENCYPART_SIBL
(9,1),(9,10),0.135691 # DEPENDENCYPART_SIBL
(9,1),(9,11),0.0437867 # DEPENDENCYPART_SIBL
(9,1),(9,12),0.027247 # DEPENDENCYPART_SIBL
(9,1),(9,13),0.00459718 # DEPENDENCYPART_SIBL
(9,1),(9,14),0.00495111 # DEPENDENCYPART_SIBL
(9,1),(9,15),0.0399488 # DEPENDENCYPART_SIBL
(9,1),(9,16),-0.00166291 # DEPENDENCYPART_SIBL
(9,1),(9,18),0.0418045 # DEPENDENCYPART_SIBL
(9,1),(9,19),0.00319252 # DEPENDENCYPART_SIBL
(9,1),(9,20),0.0913406 # DEPENDENCYPART_SIBL
