# _root_ jose_antonio_alvarez_kaperotxipik , afera daraman epaileak , castejonek " ez duela zerikusirik eta gaizki aholkatua " zegoela argudiatu du .
#goldHeads=17,1,4,5,1,5,10,7,10,12,10,17,14,16,14,12,0,17,18,
#predictedHeads=12,3,4,5,10,5,10,7,10,12,10,16,14,16,14,17,0,17,18,
(0,16),(0,19),-0.0971783 # DEPENDENCYPART_SIBL
(0,17),(0,18),-0.0122486 # DEPENDENCYPART_SIBL
(0,17),(0,19),-0.0713595 # DEPENDENCYPART_SIBL
(0,18),(0,19),-0.0585579 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.049334 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.289362 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.0259473 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.000847243 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.00736527 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.0497706 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.00621019 # DEPENDENCYPART_SIBL
(3,1),(3,12),0.00711494 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.00268129 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0537747 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.0101468 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.053774 # DEPENDENCYPART_SIBL
(3,2),(3,12),-0.0317866 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.00127136 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0671052 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.00127085 # DEPENDENCYPART_SIBL
(3,4),(3,12),-0.00751167 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0816293 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.0076884 # DEPENDENCYPART_SIBL
(3,5),(3,12),-0.00873279 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.0511645 # DEPENDENCYPART_SIBL
(3,6),(3,12),-0.0292644 # DEPENDENCYPART_SIBL
(3,7),(3,12),-0.00858012 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.0348795 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.0518536 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.0181391 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.000820062 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.0167286 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.0118139 # DEPENDENCYPART_SIBL
(4,1),(4,10),0.000969627 # DEPENDENCYPART_SIBL
(4,1),(4,11),-0.0047195 # DEPENDENCYPART_SIBL
(4,1),(4,12),-0.026608 # DEPENDENCYPART_SIBL
(4,1),(4,14),-0.0085772 # DEPENDENCYPART_SIBL
(4,1),(4,16),-0.0137419 # DEPENDENCYPART_SIBL
(4,1),(4,17),-0.00988514 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.104441 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0562614 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0104383 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.0560701 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.0250448 # DEPENDENCYPART_SIBL
(4,2),(4,10),-0.0204213 # DEPENDENCYPART_SIBL
(4,2),(4,11),-0.0437243 # DEPENDENCYPART_SIBL
(4,2),(4,12),-0.061874 # DEPENDENCYPART_SIBL
(4,2),(4,14),-0.0345631 # DEPENDENCYPART_SIBL
(4,2),(4,16),-0.0191655 # DEPENDENCYPART_SIBL
(4,2),(4,17),-0.0357605 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0197973 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.00202178 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.0183869 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.0118139 # DEPENDENCYPART_SIBL
(4,3),(4,10),0.000969627 # DEPENDENCYPART_SIBL
(4,3),(4,11),-0.00637776 # DEPENDENCYPART_SIBL
(4,3),(4,12),-0.0276279 # DEPENDENCYPART_SIBL
(4,3),(4,14),-0.00938221 # DEPENDENCYPART_SIBL
(4,3),(4,16),-0.0137419 # DEPENDENCYPART_SIBL
(4,3),(4,17),-0.0106901 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0298423 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.0108064 # DEPENDENCYPART_SIBL
(4,5),(4,9),0.00833759 # DEPENDENCYPART_SIBL
(4,5),(4,10),0.00203003 # DEPENDENCYPART_SIBL
(4,5),(4,11),-0.00910553 # DEPENDENCYPART_SIBL
(4,5),(4,12),-0.0232525 # DEPENDENCYPART_SIBL
(4,5),(4,14),-0.00517851 # DEPENDENCYPART_SIBL
(4,5),(4,16),0.00722226 # DEPENDENCYPART_SIBL
(4,5),(4,17),-0.00521676 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.0394451 # DEPENDENCYPART_SIBL
(4,6),(4,9),0.00376863 # DEPENDENCYPART_SIBL
(4,6),(4,10),0.0145099 # DEPENDENCYPART_SIBL
(4,6),(4,11),-0.0341777 # DEPENDENCYPART_SIBL
(4,6),(4,12),-0.0423461 # DEPENDENCYPART_SIBL
(4,6),(4,14),-0.0156312 # DEPENDENCYPART_SIBL
(4,6),(4,16),0.00841643 # DEPENDENCYPART_SIBL
(4,6),(4,17),-0.0156686 # DEPENDENCYPART_SIBL
(4,7),(4,9),0.00833779 # DEPENDENCYPART_SIBL
(4,7),(4,10),0.00203023 # DEPENDENCYPART_SIBL
(4,7),(4,11),-0.00910413 # DEPENDENCYPART_SIBL
(4,7),(4,12),-0.0230997 # DEPENDENCYPART_SIBL
(4,7),(4,14),-0.00495097 # DEPENDENCYPART_SIBL
(4,7),(4,16),0.00722246 # DEPENDENCYPART_SIBL
(4,7),(4,17),-0.00498922 # DEPENDENCYPART_SIBL
(4,9),(4,10),-0.0047938 # DEPENDENCYPART_SIBL
(4,9),(4,11),0.0277809 # DEPENDENCYPART_SIBL
(4,9),(4,12),0.0101744 # DEPENDENCYPART_SIBL
(4,9),(4,14),-0.0298225 # DEPENDENCYPART_SIBL
(4,9),(4,16),-0.0035407 # DEPENDENCYPART_SIBL
(4,9),(4,17),-0.0298599 # DEPENDENCYPART_SIBL
(4,10),(4,11),-0.00638465 # DEPENDENCYPART_SIBL
(4,10),(4,12),-0.013848 # DEPENDENCYPART_SIBL
(4,10),(4,14),-0.0277405 # DEPENDENCYPART_SIBL
(4,10),(4,16),0.00382162 # DEPENDENCYPART_SIBL
(4,10),(4,17),-0.0278302 # DEPENDENCYPART_SIBL
(4,11),(4,12),-0.0192123 # DEPENDENCYPART_SIBL
(4,11),(4,14),-0.00106356 # DEPENDENCYPART_SIBL
(4,11),(4,16),0.0111099 # DEPENDENCYPART_SIBL
(4,11),(4,17),-0.00110181 # DEPENDENCYPART_SIBL
(4,12),(4,14),-0.0638983 # DEPENDENCYPART_SIBL
(4,12),(4,16),-0.0407428 # DEPENDENCYPART_SIBL
(4,12),(4,17),-0.0639589 # DEPENDENCYPART_SIBL
(4,14),(4,16),-0.00495078 # DEPENDENCYPART_SIBL
(4,14),(4,17),0.000205231 # DEPENDENCYPART_SIBL
(4,16),(4,17),-0.0214044 # DEPENDENCYPART_SIBL
(5,1),(5,2),-0.0218898 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.0039134 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.0352985 # DEPENDENCYPART_SIBL
(5,1),(5,6),0.0443719 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.00373674 # DEPENDENCYPART_SIBL
(5,1),(5,10),0.0411178 # DEPENDENCYPART_SIBL
(5,1),(5,11),-0.00500587 # DEPENDENCYPART_SIBL
(5,1),(5,12),0.00711494 # DEPENDENCYPART_SIBL
(5,1),(5,14),0.0203385 # DEPENDENCYPART_SIBL
