# _root_ alderdiak kargu_hartu diola esan zuen atzo iturgaitzek , baina haren_kontrako neurririk ez dela hartuko , legebiltzarreko_mahaiak ere egin ez duelako .
#goldHeads=2,9,2,0,4,4,4,7,4,11,14,14,14,9,14,18,0,14,18,18,20,
#predictedHeads=2,4,2,9,4,4,4,7,0,11,14,14,14,9,14,18,0,14,18,18,20,
(4,2),0.510676 # DEPENDENCYPART_ARC
(4,3),-0.115177 # DEPENDENCYPART_ARC
(4,5),1.45433 # DEPENDENCYPART_ARC
(4,6),0.427829 # DEPENDENCYPART_ARC
(4,7),0.667162 # DEPENDENCYPART_ARC
(4,8),-0.633135 # DEPENDENCYPART_ARC
(4,9),-0.271347 # DEPENDENCYPART_ARC
(4,11),-0.701597 # DEPENDENCYPART_ARC
(4,13),-0.768869 # DEPENDENCYPART_ARC
(4,14),-0.303665 # DEPENDENCYPART_ARC
(4,16),-1.17571 # DEPENDENCYPART_ARC
(4,18),-1.05199 # DEPENDENCYPART_ARC
(4,20),-1.35886 # DEPENDENCYPART_ARC
(5,1),-1.32867 # DEPENDENCYPART_ARC
(5,6),-0.676331 # DEPENDENCYPART_ARC
(5,13),-1.33198 # DEPENDENCYPART_ARC
(6,1),-1.31974 # DEPENDENCYPART_ARC
(6,4),-0.876626 # DEPENDENCYPART_ARC
(6,7),-0.252203 # DEPENDENCYPART_ARC
(6,8),-0.449511 # DEPENDENCYPART_ARC
(6,9),-0.752876 # DEPENDENCYPART_ARC
(6,11),-1.08697 # DEPENDENCYPART_ARC
(7,4),-1.3563 # DEPENDENCYPART_ARC
(7,8),1.26531 # DEPENDENCYPART_ARC
(7,11),-1.63595 # DEPENDENCYPART_ARC
(8,2),-1.32149 # DEPENDENCYPART_ARC
(8,3),-1.66091 # DEPENDENCYPART_ARC
(8,4),-1.22472 # DEPENDENCYPART_ARC
(8,5),-1.39418 # DEPENDENCYPART_ARC
(8,7),-0.860436 # DEPENDENCYPART_ARC
(8,9),-0.330648 # DEPENDENCYPART_ARC
(9,1),-1.46182 # DEPENDENCYPART_ARC
(9,2),0.0335558 # DEPENDENCYPART_ARC
(9,3),-1.00833 # DEPENDENCYPART_ARC
(9,4),0.0642182 # DEPENDENCYPART_ARC
(9,5),-1.02989 # DEPENDENCYPART_ARC
(9,6),-0.534236 # DEPENDENCYPART_ARC
(9,7),-1.02269 # DEPENDENCYPART_ARC
(9,8),-0.358803 # DEPENDENCYPART_ARC
(9,10),-0.590276 # DEPENDENCYPART_ARC
(9,11),-0.460977 # DEPENDENCYPART_ARC
(9,12),-0.338142 # DEPENDENCYPART_ARC
(9,13),-1.12119 # DEPENDENCYPART_ARC
(9,14),-0.425935 # DEPENDENCYPART_ARC
(9,15),-0.505918 # DEPENDENCYPART_ARC
(9,16),-1.1243 # DEPENDENCYPART_ARC
(9,18),-0.874207 # DEPENDENCYPART_ARC
(10,9),-0.396639 # DEPENDENCYPART_ARC
(10,11),-0.395386 # DEPENDENCYPART_ARC
(10,14),-0.87891 # DEPENDENCYPART_ARC
(11,1),-2.27862 # DEPENDENCYPART_ARC
(11,4),-1.32322 # DEPENDENCYPART_ARC
(11,6),-1.05123 # DEPENDENCYPART_ARC
(11,7),-2.47745 # DEPENDENCYPART_ARC
(11,8),-1.04378 # DEPENDENCYPART_ARC
(11,9),-0.49749 # DEPENDENCYPART_ARC
(11,10),0.524084 # DEPENDENCYPART_ARC
(11,12),-0.744559 # DEPENDENCYPART_ARC
(11,13),-0.923692 # DEPENDENCYPART_ARC
(11,16),-1.56348 # DEPENDENCYPART_ARC
(11,21),-1.40343 # DEPENDENCYPART_ARC
(12,11),-0.63256 # DEPENDENCYPART_ARC
(12,16),-1.16808 # DEPENDENCYPART_ARC
(12,18),-1.04162 # DEPENDENCYPART_ARC
(13,7),-0.357233 # DEPENDENCYPART_ARC
(13,9),-0.653381 # DEPENDENCYPART_ARC
(13,11),-0.530097 # DEPENDENCYPART_ARC
(13,12),-0.280333 # DEPENDENCYPART_ARC
(13,14),-0.171995 # DEPENDENCYPART_ARC
(13,20),-0.937753 # DEPENDENCYPART_ARC
(14,1),-0.288884 # DEPENDENCYPART_ARC
(14,2),-0.418137 # DEPENDENCYPART_ARC
(14,3),-0.667941 # DEPENDENCYPART_ARC
(14,4),-0.278669 # DEPENDENCYPART_ARC
(14,5),-0.896728 # DEPENDENCYPART_ARC
(14,6),-0.402664 # DEPENDENCYPART_ARC
(14,7),-0.174848 # DEPENDENCYPART_ARC
(14,8),-1.25587 # DEPENDENCYPART_ARC
(14,9),-0.545328 # DEPENDENCYPART_ARC
(14,10),-0.0128361 # DEPENDENCYPART_ARC
(14,11),0.666797 # DEPENDENCYPART_ARC
(14,12),0.84153 # DEPENDENCYPART_ARC
(14,13),1.13974 # DEPENDENCYPART_ARC
(14,15),1.32422 # DEPENDENCYPART_ARC
(14,16),0.117612 # DEPENDENCYPART_ARC
(14,17),-0.32081 # DEPENDENCYPART_ARC
(14,18),-0.368866 # DEPENDENCYPART_ARC
(14,19),-0.377883 # DEPENDENCYPART_ARC
(14,20),-0.302055 # DEPENDENCYPART_ARC
(15,13),-1.21625 # DEPENDENCYPART_ARC
(15,14),-0.302835 # DEPENDENCYPART_ARC
(15,16),-0.594171 # DEPENDENCYPART_ARC
(15,18),-0.90777 # DEPENDENCYPART_ARC
(16,6),-1.48719 # DEPENDENCYPART_ARC
(16,10),-1.52308 # DEPENDENCYPART_ARC
(16,12),-1.47049 # DEPENDENCYPART_ARC
(16,14),-0.476945 # DEPENDENCYPART_ARC
(16,15),-0.340824 # DEPENDENCYPART_ARC
(16,17),-0.710838 # DEPENDENCYPART_ARC
(16,18),-2.63035 # DEPENDENCYPART_ARC
(16,19),-1.92591 # DEPENDENCYPART_ARC
(16,20),-2.34653 # DEPENDENCYPART_ARC
(16,21),-1.09103 # DEPENDENCYPART_ARC
(17,14),-0.75816 # DEPENDENCYPART_ARC
(17,18),0.55889 # DEPENDENCYPART_ARC
(18,1),-0.894895 # DEPENDENCYPART_ARC
(18,2),-0.775762 # DEPENDENCYPART_ARC
(18,4),-0.540184 # DEPENDENCYPART_ARC
(18,6),-1.01204 # DEPENDENCYPART_ARC
(18,7),-0.803703 # DEPENDENCYPART_ARC
(18,8),-1.51033 # DEPENDENCYPART_ARC
(18,9),-0.895808 # DEPENDENCYPART_ARC
(18,10),-0.967939 # DEPENDENCYPART_ARC
(18,11),-0.793445 # DEPENDENCYPART_ARC
(18,12),-0.605706 # DEPENDENCYPART_ARC
(18,13),-0.595008 # DEPENDENCYPART_ARC
(18,14),-0.250328 # DEPENDENCYPART_ARC
(18,15),-1.25861 # DEPENDENCYPART_ARC
(18,16),1.13751 # DEPENDENCYPART_ARC
(18,17),0.0730222 # DEPENDENCYPART_ARC
(18,19),0.518631 # DEPENDENCYPART_ARC
(18,20),0.706284 # DEPENDENCYPART_ARC
(19,16),-1.4655 # DEPENDENCYPART_ARC
(20,7),-0.596448 # DEPENDENCYPART_ARC
(20,12),-1.56437 # DEPENDENCYPART_ARC
(20,16),-0.404381 # DEPENDENCYPART_ARC
(20,18),-1.51949 # DEPENDENCYPART_ARC
(20,19),-0.68195 # DEPENDENCYPART_ARC
(20,21),1.71014 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.112826 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.0589917 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.157611 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.0808976 # DEPENDENCYPART_SIBL
(0,1),(0,6),0.025554 # DEPENDENCYPART_SIBL
(0,1),(0,7),0.0505467 # DEPENDENCYPART_SIBL
(0,1),(0,8),-0.13484 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.0664346 # DEPENDENCYPART_SIBL
(0,1),(0,10),0.00878585 # DEPENDENCYPART_SIBL
(0,1),(0,12),0.0553243 # DEPENDENCYPART_SIBL
(0,1),(0,13),-0.0756188 # DEPENDENCYPART_SIBL
(0,1),(0,14),-0.122402 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.13484 # DEPENDENCYPART_SIBL
(0,1),(0,17),-0.0307797 # DEPENDENCYPART_SIBL
(0,1),(0,18),-0.151667 # DEPENDENCYPART_SIBL
(0,1),(0,19),0.0553243 # DEPENDENCYPART_SIBL
(0,1),(0,20),-0.0603634 # DEPENDENCYPART_SIBL
(0,1),(0,21),-0.174982 # DEPENDENCYPART_SIBL
(0,2),(0,3),0.00810675 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.215984 # DEPENDENCYPART_SIBL
(0,2),(0,5),0.000497043 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.0119239 # DEPENDENCYPART_SIBL
(0,2),(0,7),-0.00562242 # DEPENDENCYPART_SIBL
(0,2),(0,8),-0.0464622 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.117786 # DEPENDENCYPART_SIBL
(0,2),(0,10),0.00696244 # DEPENDENCYPART_SIBL
(0,2),(0,12),0.00430564 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.00201787 # DEPENDENCYPART_SIBL
(0,2),(0,14),-0.122154 # DEPENDENCYPART_SIBL
(0,2),(0,15),-0.0464622 # DEPENDENCYPART_SIBL
(0,2),(0,17),0.0601582 # DEPENDENCYPART_SIBL
(0,2),(0,18),-0.133654 # DEPENDENCYPART_SIBL
(0,2),(0,19),0.00430564 # DEPENDENCYPART_SIBL
(0,2),(0,20),0.00835159 # DEPENDENCYPART_SIBL
(0,2),(0,21),-0.0693041 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.0468397 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.106315 # DEPENDENCYPART_SIBL
(0,3),(0,6),0.0707009 # DEPENDENCYPART_SIBL
(0,3),(0,7),0.0011973 # DEPENDENCYPART_SIBL
(0,3),(0,8),-0.0717254 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.0450029 # DEPENDENCYPART_SIBL
(0,3),(0,10),0.0177305 # DEPENDENCYPART_SIBL
(0,3),(0,12),0.0224017 # DEPENDENCYPART_SIBL
(0,3),(0,13),-0.0898147 # DEPENDENCYPART_SIBL
(0,3),(0,14),-0.0178084 # DEPENDENCYPART_SIBL
(0,3),(0,15),-0.0717254 # DEPENDENCYPART_SIBL
(0,3),(0,17),-0.00458258 # DEPENDENCYPART_SIBL
(0,3),(0,18),-0.00354092 # DEPENDENCYPART_SIBL
(0,3),(0,19),0.0224017 # DEPENDENCYPART_SIBL
(0,3),(0,20),-0.0935155 # DEPENDENCYPART_SIBL
(0,3),(0,21),-0.0802994 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.0364422 # DEPENDENCYPART_SIBL
(0,4),(0,6),-0.049041 # DEPENDENCYPART_SIBL
(0,4),(0,7),-0.0539013 # DEPENDENCYPART_SIBL
(0,4),(0,8),-0.0717055 # DEPENDENCYPART_SIBL
(0,4),(0,9),-0.166833 # DEPENDENCYPART_SIBL
(0,4),(0,10),-0.0293645 # DEPENDENCYPART_SIBL
(0,4),(0,12),-0.0402055 # DEPENDENCYPART_SIBL
(0,4),(0,13),-0.0346974 # DEPENDENCYPART_SIBL
(0,4),(0,14),-0.184227 # DEPENDENCYPART_SIBL
(0,4),(0,15),-0.0717055 # DEPENDENCYPART_SIBL
(0,4),(0,17),0.0317871 # DEPENDENCYPART_SIBL
(0,4),(0,18),-0.197559 # DEPENDENCYPART_SIBL
(0,4),(0,19),-0.0402055 # DEPENDENCYPART_SIBL
(0,4),(0,20),-0.024328 # DEPENDENCYPART_SIBL
(0,4),(0,21),-0.0942395 # DEPENDENCYPART_SIBL
(0,5),(0,6),0.0531735 # DEPENDENCYPART_SIBL
(0,5),(0,7),-0.00476651 # DEPENDENCYPART_SIBL
(0,5),(0,8),-0.107806 # DEPENDENCYPART_SIBL
(0,5),(0,9),-0.0330569 # DEPENDENCYPART_SIBL
(0,5),(0,10),0.00524754 # DEPENDENCYPART_SIBL
(0,5),(0,12),0.00121395 # DEPENDENCYPART_SIBL
(0,5),(0,13),-0.0879767 # DEPENDENCYPART_SIBL
(0,5),(0,14),-0.0450532 # DEPENDENCYPART_SIBL
(0,5),(0,15),-0.107806 # DEPENDENCYPART_SIBL
(0,5),(0,17),-0.00873365 # DEPENDENCYPART_SIBL
(0,5),(0,18),-0.034992 # DEPENDENCYPART_SIBL
(0,5),(0,19),0.00121395 # DEPENDENCYPART_SIBL
(0,5),(0,20),-0.102464 # DEPENDENCYPART_SIBL
(0,5),(0,21),-0.114021 # DEPENDENCYPART_SIBL
(0,6),(0,7),0.0659333 # DEPENDENCYPART_SIBL
(0,6),(0,8),-0.093559 # DEPENDENCYPART_SIBL
(0,6),(0,9),-0.0773404 # DEPENDENCYPART_SIBL
(0,6),(0,10),0.0374457 # DEPENDENCYPART_SIBL
(0,6),(0,12),0.120559 # DEPENDENCYPART_SIBL
(0,6),(0,13),-0.0750171 # DEPENDENCYPART_SIBL
(0,6),(0,14),-0.0573365 # DEPENDENCYPART_SIBL
(0,6),(0,15),-0.093559 # DEPENDENCYPART_SIBL
(0,6),(0,17),-0.0590314 # DEPENDENCYPART_SIBL
(0,6),(0,18),-0.057656 # DEPENDENCYPART_SIBL
(0,6),(0,19),0.120559 # DEPENDENCYPART_SIBL
(0,6),(0,20),-0.0673398 # DEPENDENCYPART_SIBL
(0,6),(0,21),-0.114204 # DEPENDENCYPART_SIBL
(0,7),(0,8),-0.134852 # DEPENDENCYPART_SIBL
(0,7),(0,9),-0.0664461 # DEPENDENCYPART_SIBL
(0,7),(0,10),0.0087744 # DEPENDENCYPART_SIBL
(0,7),(0,12),0.0553129 # DEPENDENCYPART_SIBL
(0,7),(0,13),-0.0756302 # DEPENDENCYPART_SIBL
(0,7),(0,14),-0.122033 # DEPENDENCYPART_SIBL
(0,7),(0,15),-0.134852 # DEPENDENCYPART_SIBL
(0,7),(0,17),-0.0307911 # DEPENDENCYPART_SIBL
(0,7),(0,18),-0.151298 # DEPENDENCYPART_SIBL
(0,7),(0,19),0.0553129 # DEPENDENCYPART_SIBL
(0,7),(0,20),-0.0603748 # DEPENDENCYPART_SIBL
(0,7),(0,21),-0.174994 # DEPENDENCYPART_SIBL
(0,8),(0,9),-0.179412 # DEPENDENCYPART_SIBL
(0,8),(0,10),-0.177376 # DEPENDENCYPART_SIBL
(0,8),(0,12),-0.107489 # DEPENDENCYPART_SIBL
(0,8),(0,13),-0.215144 # DEPENDENCYPART_SIBL
(0,8),(0,14),-0.298108 # DEPENDENCYPART_SIBL
(0,8),(0,15),-0.413823 # DEPENDENCYPART_SIBL
(0,8),(0,17),-0.070263 # DEPENDENCYPART_SIBL
(0,8),(0,18),-0.327759 # DEPENDENCYPART_SIBL
(0,8),(0,19),-0.107489 # DEPENDENCYPART_SIBL
(0,8),(0,20),-0.20458 # DEPENDENCYPART_SIBL
(0,8),(0,21),-0.340789 # DEPENDENCYPART_SIBL
(0,9),(0,10),0.0155257 # DEPENDENCYPART_SIBL
(0,9),(0,12),0.0698336 # DEPENDENCYPART_SIBL
(0,9),(0,13),-0.0348921 # DEPENDENCYPART_SIBL
(0,9),(0,14),-0.102816 # DEPENDENCYPART_SIBL
(0,9),(0,15),0.0388895 # DEPENDENCYPART_SIBL
(0,9),(0,17),0.182085 # DEPENDENCYPART_SIBL
(0,9),(0,18),-0.104389 # DEPENDENCYPART_SIBL
(0,9),(0,19),0.0698336 # DEPENDENCYPART_SIBL
(0,9),(0,20),-0.0258216 # DEPENDENCYPART_SIBL
(0,9),(0,21),-0.0365986 # DEPENDENCYPART_SIBL
(0,10),(0,12),0.0132952 # DEPENDENCYPART_SIBL
(0,10),(0,13),-0.0626043 # DEPENDENCYPART_SIBL
(0,10),(0,14),-0.124178 # DEPENDENCYPART_SIBL
(0,10),(0,15),-0.125177 # DEPENDENCYPART_SIBL
(0,10),(0,17),-0.00785961 # DEPENDENCYPART_SIBL
(0,10),(0,18),-0.125558 # DEPENDENCYPART_SIBL
(0,10),(0,19),0.0132952 # DEPENDENCYPART_SIBL
(0,10),(0,20),-0.0562829 # DEPENDENCYPART_SIBL
(0,10),(0,21),-0.132282 # DEPENDENCYPART_SIBL
(0,12),(0,13),-0.0603197 # DEPENDENCYPART_SIBL
(0,12),(0,14),-0.0976078 # DEPENDENCYPART_SIBL
(0,12),(0,15),-0.0841936 # DEPENDENCYPART_SIBL
(0,12),(0,17),-0.0473857 # DEPENDENCYPART_SIBL
(0,12),(0,18),-0.107756 # DEPENDENCYPART_SIBL
(0,12),(0,19),0.0447002 # DEPENDENCYPART_SIBL
(0,12),(0,20),-0.0462114 # DEPENDENCYPART_SIBL
(0,12),(0,21),-0.0912671 # DEPENDENCYPART_SIBL
(0,13),(0,14),-0.0293788 # DEPENDENCYPART_SIBL
(0,13),(0,15),-0.0740786 # DEPENDENCYPART_SIBL
(0,13),(0,17),-0.00758389 # DEPENDENCYPART_SIBL
(0,13),(0,18),-0.0151339 # DEPENDENCYPART_SIBL
(0,13),(0,19),0.0165681 # DEPENDENCYPART_SIBL
(0,13),(0,20),-0.100872 # DEPENDENCYPART_SIBL
(0,13),(0,21),-0.0860685 # DEPENDENCYPART_SIBL
(0,14),(0,15),-0.0471303 # DEPENDENCYPART_SIBL
(0,14),(0,17),0.0594901 # DEPENDENCYPART_SIBL
(0,14),(0,18),-0.134325 # DEPENDENCYPART_SIBL
(0,14),(0,19),0.00363753 # DEPENDENCYPART_SIBL
(0,14),(0,20),0.00703407 # DEPENDENCYPART_SIBL
(0,14),(0,21),-0.0699722 # DEPENDENCYPART_SIBL
(0,15),(0,17),-0.070263 # DEPENDENCYPART_SIBL
(0,15),(0,18),-0.327759 # DEPENDENCYPART_SIBL
(0,15),(0,19),-0.107489 # DEPENDENCYPART_SIBL
(0,15),(0,20),-0.20458 # DEPENDENCYPART_SIBL
(0,15),(0,21),-0.340789 # DEPENDENCYPART_SIBL
(0,17),(0,18),0.0158362 # DEPENDENCYPART_SIBL
(0,17),(0,19),0.0872464 # DEPENDENCYPART_SIBL
(0,17),(0,20),0.0127804 # DEPENDENCYPART_SIBL
(0,17),(0,21),-0.0225006 # DEPENDENCYPART_SIBL
(0,18),(0,19),-0.043482 # DEPENDENCYPART_SIBL
(0,18),(0,20),0.0103988 # DEPENDENCYPART_SIBL
(0,18),(0,21),-0.122823 # DEPENDENCYPART_SIBL
(0,19),(0,20),-0.0462114 # DEPENDENCYPART_SIBL
(0,19),(0,21),-0.0912671 # DEPENDENCYPART_SIBL
(0,20),(0,21),-0.0803015 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.0322917 # DEPENDENCYPART_SIBL
(1,2),(1,5),0.0561108 # DEPENDENCYPART_SIBL
(1,2),(1,6),0.0160114 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.0529646 # DEPENDENCYPART_SIBL
(1,3),(1,6),0.0944012 # DEPENDENCYPART_SIBL
(1,5),(1,6),0.100913 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0563894 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0279657 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0243237 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.0227998 # DEPENDENCYPART_SIBL
(2,1),(2,11),-0.00843848 # DEPENDENCYPART_SIBL
(2,1),(2,12),0.0158508 # DEPENDENCYPART_SIBL
(2,1),(2,13),0.0433044 # DEPENDENCYPART_SIBL
(2,1),(2,14),0.0276509 # DEPENDENCYPART_SIBL
(2,1),(2,16),-0.0102308 # DEPENDENCYPART_SIBL
(2,1),(2,18),0.0716053 # DEPENDENCYPART_SIBL
(2,1),(2,19),0.0158508 # DEPENDENCYPART_SIBL
(2,1),(2,20),0.00732824 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.0173712 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.150066 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.00752534 # DEPENDENCYPART_SIBL
(2,3),(2,11),0.0191218 # DEPENDENCYPART_SIBL
(2,3),(2,12),-0.0487503 # DEPENDENCYPART_SIBL
(2,3),(2,13),-0.12926 # DEPENDENCYPART_SIBL
(2,3),(2,14),0.0173966 # DEPENDENCYPART_SIBL
(2,3),(2,16),0.0126499 # DEPENDENCYPART_SIBL
(2,3),(2,18),0.0628769 # DEPENDENCYPART_SIBL
(2,3),(2,19),-0.0487503 # DEPENDENCYPART_SIBL
(2,3),(2,20),-0.141808 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0125728 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.0807782 # DEPENDENCYPART_SIBL
(2,4),(2,11),-0.0558155 # DEPENDENCYPART_SIBL
(2,4),(2,12),-0.0308145 # DEPENDENCYPART_SIBL
(2,4),(2,13),0.00274181 # DEPENDENCYPART_SIBL
(2,4),(2,14),-0.033806 # DEPENDENCYPART_SIBL
(2,4),(2,16),-0.0579728 # DEPENDENCYPART_SIBL
(2,4),(2,18),-0.0142263 # DEPENDENCYPART_SIBL
(2,4),(2,19),-0.0308145 # DEPENDENCYPART_SIBL
(2,4),(2,20),0.013595 # DEPENDENCYPART_SIBL
(2,5),(2,9),0.0518093 # DEPENDENCYPART_SIBL
(2,5),(2,11),0.0385852 # DEPENDENCYPART_SIBL
(2,5),(2,12),-0.0625414 # DEPENDENCYPART_SIBL
(2,5),(2,13),-0.0969242 # DEPENDENCYPART_SIBL
(2,5),(2,14),-0.00826399 # DEPENDENCYPART_SIBL
(2,5),(2,16),0.0321133 # DEPENDENCYPART_SIBL
(2,5),(2,18),0.0288091 # DEPENDENCYPART_SIBL
(2,5),(2,19),-0.0625414 # DEPENDENCYPART_SIBL
(2,5),(2,20),-0.131045 # DEPENDENCYPART_SIBL
(2,9),(2,11),-0.028642 # DEPENDENCYPART_SIBL
(2,9),(2,12),-0.00908831 # DEPENDENCYPART_SIBL
(2,9),(2,13),-0.0236317 # DEPENDENCYPART_SIBL
(2,9),(2,14),-0.0291648 # DEPENDENCYPART_SIBL
(2,9),(2,16),-0.0307993 # DEPENDENCYPART_SIBL
(2,9),(2,18),-0.00527879 # DEPENDENCYPART_SIBL
(2,9),(2,19),-0.00908831 # DEPENDENCYPART_SIBL
(2,9),(2,20),-0.0147885 # DEPENDENCYPART_SIBL
(2,11),(2,12),-0.00577507 # DEPENDENCYPART_SIBL
(2,11),(2,13),-0.049058 # DEPENDENCYPART_SIBL
(2,11),(2,14),-0.0161221 # DEPENDENCYPART_SIBL
(2,11),(2,16),-0.00810482 # DEPENDENCYPART_SIBL
(2,11),(2,18),-0.0167897 # DEPENDENCYPART_SIBL
(2,11),(2,19),-0.00577507 # DEPENDENCYPART_SIBL
(2,11),(2,20),-0.0247501 # DEPENDENCYPART_SIBL
(2,12),(2,13),0.0493961 # DEPENDENCYPART_SIBL
(2,12),(2,14),-0.0115725 # DEPENDENCYPART_SIBL
(2,12),(2,16),-0.00485697 # DEPENDENCYPART_SIBL
(2,12),(2,18),0.000236227 # DEPENDENCYPART_SIBL
(2,12),(2,19),0.0658681 # DEPENDENCYPART_SIBL
(2,12),(2,20),0.0719307 # DEPENDENCYPART_SIBL
(2,13),(2,14),0.00983637 # DEPENDENCYPART_SIBL
(2,13),(2,16),0.000169879 # DEPENDENCYPART_SIBL
(2,13),(2,18),0.0552714 # DEPENDENCYPART_SIBL
(2,13),(2,19),-0.050626 # DEPENDENCYPART_SIBL
(2,13),(2,20),-0.146723 # DEPENDENCYPART_SIBL
(2,14),(2,16),-0.0455205 # DEPENDENCYPART_SIBL
(2,14),(2,18),-0.00297758 # DEPENDENCYPART_SIBL
(2,14),(2,19),-0.0194976 # DEPENDENCYPART_SIBL
(2,14),(2,20),0.0279912 # DEPENDENCYPART_SIBL
(2,16),(2,18),-0.018976 # DEPENDENCYPART_SIBL
(2,16),(2,19),-0.00796143 # DEPENDENCYPART_SIBL
(2,16),(2,20),-0.0269365 # DEPENDENCYPART_SIBL
(2,18),(2,19),0.0604412 # DEPENDENCYPART_SIBL
(2,18),(2,20),0.237851 # DEPENDENCYPART_SIBL
(2,19),(2,20),0.0719307 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.0367921 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.0625583 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.0447739 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.0315578 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.0169867 # DEPENDENCYPART_SIBL
(3,5),(3,6),0.0706391 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.00335874 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.00215667 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.00174376 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.0566749 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.0719533 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.0171799 # DEPENDENCYPART_SIBL
(4,1),(4,9),0.0400121 # DEPENDENCYPART_SIBL
(4,1),(4,11),-0.0678107 # DEPENDENCYPART_SIBL
(4,1),(4,13),0.0107318 # DEPENDENCYPART_SIBL
(4,1),(4,14),0.014793 # DEPENDENCYPART_SIBL
