# _root_ gero pistorius organista zaharrak paperezko pezeta , hogerleko eta bosdurokoak eman zizkidan gordetzeko , baina mesede_baten_truke .
#goldHeads=11,3,11,3,6,9,6,9,11,9,15,11,11,13,0,15,16,
#predictedHeads=11,3,5,3,6,9,6,9,11,11,15,11,11,13,0,15,16,
(6,15),-0.463101 # DEPENDENCYPART_ARC
(6,16),-0.371162 # DEPENDENCYPART_ARC
(6,17),-0.424418 # DEPENDENCYPART_ARC
(7,5),-1.05652 # DEPENDENCYPART_ARC
(7,8),-0.522989 # DEPENDENCYPART_ARC
(8,1),-1.29393 # DEPENDENCYPART_ARC
(8,3),-1.27009 # DEPENDENCYPART_ARC
(8,4),-1.94455 # DEPENDENCYPART_ARC
(8,5),-0.919093 # DEPENDENCYPART_ARC
(8,6),-0.377443 # DEPENDENCYPART_ARC
(8,7),-0.0542503 # DEPENDENCYPART_ARC
(8,9),0.220517 # DEPENDENCYPART_ARC
(8,11),-1.00659 # DEPENDENCYPART_ARC
(8,12),-1.28693 # DEPENDENCYPART_ARC
(8,13),-0.762678 # DEPENDENCYPART_ARC
(8,16),-0.923546 # DEPENDENCYPART_ARC
(8,17),-1.11627 # DEPENDENCYPART_ARC
(9,1),-0.742971 # DEPENDENCYPART_ARC
(9,2),-0.625444 # DEPENDENCYPART_ARC
(9,3),-0.588137 # DEPENDENCYPART_ARC
(9,5),-0.575852 # DEPENDENCYPART_ARC
(9,6),0.19845 # DEPENDENCYPART_ARC
(9,7),-0.924731 # DEPENDENCYPART_ARC
(9,8),1.64835 # DEPENDENCYPART_ARC
(9,10),0.771978 # DEPENDENCYPART_ARC
(9,11),0.0126938 # DEPENDENCYPART_ARC
(9,12),-0.826397 # DEPENDENCYPART_ARC
(9,13),-0.00919369 # DEPENDENCYPART_ARC
(9,14),-0.511382 # DEPENDENCYPART_ARC
(9,15),-0.195183 # DEPENDENCYPART_ARC
(9,16),-0.461938 # DEPENDENCYPART_ARC
(10,8),-0.599809 # DEPENDENCYPART_ARC
(11,1),0.363512 # DEPENDENCYPART_ARC
(11,2),-0.965031 # DEPENDENCYPART_ARC
(11,3),-0.408889 # DEPENDENCYPART_ARC
(11,4),-0.687769 # DEPENDENCYPART_ARC
(11,5),-1.31953 # DEPENDENCYPART_ARC
(11,6),-0.405097 # DEPENDENCYPART_ARC
(11,7),-1.11638 # DEPENDENCYPART_ARC
(11,8),0.0160754 # DEPENDENCYPART_ARC
(11,9),0.217763 # DEPENDENCYPART_ARC
(11,10),1.26413 # DEPENDENCYPART_ARC
(11,12),1.49192 # DEPENDENCYPART_ARC
(11,13),0.5748 # DEPENDENCYPART_ARC
(11,14),-0.668464 # DEPENDENCYPART_ARC
(11,15),-0.356326 # DEPENDENCYPART_ARC
(11,16),-0.809597 # DEPENDENCYPART_ARC
(12,8),-0.681646 # DEPENDENCYPART_ARC
(12,9),-0.679015 # DEPENDENCYPART_ARC
(12,11),-1.05924 # DEPENDENCYPART_ARC
(12,13),0.207261 # DEPENDENCYPART_ARC
(12,15),-0.584389 # DEPENDENCYPART_ARC
(12,16),-1.18393 # DEPENDENCYPART_ARC
(13,1),-0.22429 # DEPENDENCYPART_ARC
(13,2),-1.4447 # DEPENDENCYPART_ARC
(13,3),-0.666979 # DEPENDENCYPART_ARC
(13,4),-1.7132 # DEPENDENCYPART_ARC
(13,5),-1.88911 # DEPENDENCYPART_ARC
(13,6),-0.688654 # DEPENDENCYPART_ARC
(13,7),-1.34313 # DEPENDENCYPART_ARC
(13,8),-0.256175 # DEPENDENCYPART_ARC
(13,9),-0.238046 # DEPENDENCYPART_ARC
(13,11),-0.0077978 # DEPENDENCYPART_ARC
(13,12),-1.40592 # DEPENDENCYPART_ARC
(13,14),0.916821 # DEPENDENCYPART_ARC
(13,15),-0.732502 # DEPENDENCYPART_ARC
(13,16),-1.22585 # DEPENDENCYPART_ARC
(14,9),-0.998442 # DEPENDENCYPART_ARC
(14,11),-1.07987 # DEPENDENCYPART_ARC
(14,12),-1.30973 # DEPENDENCYPART_ARC
(14,13),-0.373057 # DEPENDENCYPART_ARC
(14,15),-0.323116 # DEPENDENCYPART_ARC
(14,16),-1.31634 # DEPENDENCYPART_ARC
(15,1),-0.866875 # DEPENDENCYPART_ARC
(15,2),-1.30324 # DEPENDENCYPART_ARC
(15,3),-1.00622 # DEPENDENCYPART_ARC
(15,5),-1.67781 # DEPENDENCYPART_ARC
(15,6),-0.910566 # DEPENDENCYPART_ARC
(15,8),-0.38204 # DEPENDENCYPART_ARC
(15,9),-0.633678 # DEPENDENCYPART_ARC
(15,10),-0.870286 # DEPENDENCYPART_ARC
(15,11),0.0899863 # DEPENDENCYPART_ARC
(15,12),-0.920627 # DEPENDENCYPART_ARC
(15,13),-0.149997 # DEPENDENCYPART_ARC
(15,14),-0.425638 # DEPENDENCYPART_ARC
(15,16),-0.445839 # DEPENDENCYPART_ARC
(16,4),-2.7051 # DEPENDENCYPART_ARC
(16,11),-1.67779 # DEPENDENCYPART_ARC
(16,13),-2.12368 # DEPENDENCYPART_ARC
(16,14),-1.48461 # DEPENDENCYPART_ARC
(16,15),-0.596282 # DEPENDENCYPART_ARC
(16,17),1.72411 # DEPENDENCYPART_ARC
(17,15),-0.826626 # DEPENDENCYPART_ARC
(0,1),(0,2),0.107983 # DEPENDENCYPART_SIBL
(0,1),(0,3),0.107983 # DEPENDENCYPART_SIBL
(0,1),(0,4),0.0592875 # DEPENDENCYPART_SIBL
(0,1),(0,5),0.107983 # DEPENDENCYPART_SIBL
(0,1),(0,6),0.098437 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.0716639 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.047322 # DEPENDENCYPART_SIBL
(0,1),(0,10),0.0322773 # DEPENDENCYPART_SIBL
(0,1),(0,11),-0.0442473 # DEPENDENCYPART_SIBL
(0,1),(0,12),-0.0458929 # DEPENDENCYPART_SIBL
(0,1),(0,13),-0.0497598 # DEPENDENCYPART_SIBL
(0,1),(0,14),-0.0716639 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.0559259 # DEPENDENCYPART_SIBL
(0,1),(0,16),0.107983 # DEPENDENCYPART_SIBL
(0,1),(0,17),-0.0922909 # DEPENDENCYPART_SIBL
(0,2),(0,3),0.0509439 # DEPENDENCYPART_SIBL
(0,2),(0,4),0.0179308 # DEPENDENCYPART_SIBL
(0,2),(0,5),0.0509439 # DEPENDENCYPART_SIBL
(0,2),(0,6),0.0469163 # DEPENDENCYPART_SIBL
(0,2),(0,7),-0.13484 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.0875943 # DEPENDENCYPART_SIBL
(0,2),(0,10),-0.0221992 # DEPENDENCYPART_SIBL
(0,2),(0,11),-0.100866 # DEPENDENCYPART_SIBL
(0,2),(0,12),-0.0588941 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.112279 # DEPENDENCYPART_SIBL
(0,2),(0,14),-0.13484 # DEPENDENCYPART_SIBL
(0,2),(0,15),-0.0664346 # DEPENDENCYPART_SIBL
(0,2),(0,16),0.0509439 # DEPENDENCYPART_SIBL
(0,2),(0,17),-0.174982 # DEPENDENCYPART_SIBL
(0,3),(0,4),0.0179308 # DEPENDENCYPART_SIBL
(0,3),(0,5),0.0509439 # DEPENDENCYPART_SIBL
(0,3),(0,6),0.0469163 # DEPENDENCYPART_SIBL
(0,3),(0,7),-0.13484 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.0875943 # DEPENDENCYPART_SIBL
(0,3),(0,10),-0.0221992 # DEPENDENCYPART_SIBL
(0,3),(0,11),-0.100866 # DEPENDENCYPART_SIBL
(0,3),(0,12),-0.0588941 # DEPENDENCYPART_SIBL
(0,3),(0,13),-0.112279 # DEPENDENCYPART_SIBL
(0,3),(0,14),-0.13484 # DEPENDENCYPART_SIBL
(0,3),(0,15),-0.0664346 # DEPENDENCYPART_SIBL
(0,3),(0,16),0.0509439 # DEPENDENCYPART_SIBL
(0,3),(0,17),-0.174982 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.00442196 # DEPENDENCYPART_SIBL
(0,4),(0,6),-0.0122572 # DEPENDENCYPART_SIBL
(0,4),(0,7),-0.072892 # DEPENDENCYPART_SIBL
(0,4),(0,9),-0.0649171 # DEPENDENCYPART_SIBL
(0,4),(0,10),-0.000186427 # DEPENDENCYPART_SIBL
(0,4),(0,11),-0.0868579 # DEPENDENCYPART_SIBL
(0,4),(0,12),-0.0317735 # DEPENDENCYPART_SIBL
(0,4),(0,13),-0.098332 # DEPENDENCYPART_SIBL
(0,4),(0,14),-0.072892 # DEPENDENCYPART_SIBL
(0,4),(0,15),-0.0658471 # DEPENDENCYPART_SIBL
(0,4),(0,16),-0.00442196 # DEPENDENCYPART_SIBL
(0,4),(0,17),-0.0798058 # DEPENDENCYPART_SIBL
(0,5),(0,6),0.0469163 # DEPENDENCYPART_SIBL
(0,5),(0,7),-0.13484 # DEPENDENCYPART_SIBL
(0,5),(0,9),-0.0875943 # DEPENDENCYPART_SIBL
(0,5),(0,10),-0.0221992 # DEPENDENCYPART_SIBL
(0,5),(0,11),-0.100866 # DEPENDENCYPART_SIBL
(0,5),(0,12),-0.0588941 # DEPENDENCYPART_SIBL
(0,5),(0,13),-0.112279 # DEPENDENCYPART_SIBL
(0,5),(0,14),-0.13484 # DEPENDENCYPART_SIBL
(0,5),(0,15),-0.0664346 # DEPENDENCYPART_SIBL
(0,5),(0,16),0.0509439 # DEPENDENCYPART_SIBL
(0,5),(0,17),-0.174982 # DEPENDENCYPART_SIBL
(0,6),(0,7),-0.144031 # DEPENDENCYPART_SIBL
(0,6),(0,9),-0.0935801 # DEPENDENCYPART_SIBL
(0,6),(0,10),-0.0269743 # DEPENDENCYPART_SIBL
(0,6),(0,11),-0.10614 # DEPENDENCYPART_SIBL
(0,6),(0,12),-0.0640408 # DEPENDENCYPART_SIBL
(0,6),(0,13),-0.117553 # DEPENDENCYPART_SIBL
(0,6),(0,14),-0.144031 # DEPENDENCYPART_SIBL
(0,6),(0,15),-0.0718151 # DEPENDENCYPART_SIBL
(0,6),(0,16),0.0423245 # DEPENDENCYPART_SIBL
(0,6),(0,17),-0.184173 # DEPENDENCYPART_SIBL
(0,7),(0,9),-0.226163 # DEPENDENCYPART_SIBL
(0,7),(0,10),-0.151577 # DEPENDENCYPART_SIBL
(0,7),(0,11),-0.300327 # DEPENDENCYPART_SIBL
(0,7),(0,12),-0.200902 # DEPENDENCYPART_SIBL
(0,7),(0,13),-0.293028 # DEPENDENCYPART_SIBL
(0,7),(0,14),-0.413823 # DEPENDENCYPART_SIBL
(0,7),(0,15),-0.179412 # DEPENDENCYPART_SIBL
(0,7),(0,16),-0.202026 # DEPENDENCYPART_SIBL
(0,7),(0,17),-0.340789 # DEPENDENCYPART_SIBL
(0,9),(0,10),0.0184155 # DEPENDENCYPART_SIBL
(0,9),(0,11),-0.0177105 # DEPENDENCYPART_SIBL
(0,9),(0,12),-0.00395817 # DEPENDENCYPART_SIBL
(0,9),(0,13),-0.032339 # DEPENDENCYPART_SIBL
(0,9),(0,14),0.0156699 # DEPENDENCYPART_SIBL
(0,9),(0,15),-0.0483463 # DEPENDENCYPART_SIBL
(0,9),(0,16),-0.0223684 # DEPENDENCYPART_SIBL
(0,9),(0,17),-0.0473547 # DEPENDENCYPART_SIBL
(0,10),(0,11),-0.101044 # DEPENDENCYPART_SIBL
(0,10),(0,12),-0.059026 # DEPENDENCYPART_SIBL
(0,10),(0,13),-0.108678 # DEPENDENCYPART_SIBL
(0,10),(0,14),-0.0880701 # DEPENDENCYPART_SIBL
(0,10),(0,15),-0.104686 # DEPENDENCYPART_SIBL
(0,10),(0,16),-0.0233375 # DEPENDENCYPART_SIBL
(0,10),(0,17),-0.106834 # DEPENDENCYPART_SIBL
(0,11),(0,12),-0.0148442 # DEPENDENCYPART_SIBL
(0,11),(0,13),-0.152836 # DEPENDENCYPART_SIBL
(0,11),(0,14),-0.0863492 # DEPENDENCYPART_SIBL
(0,11),(0,15),-0.151925 # DEPENDENCYPART_SIBL
(0,11),(0,16),-0.0350732 # DEPENDENCYPART_SIBL
(0,11),(0,17),-0.108717 # DEPENDENCYPART_SIBL
(0,12),(0,13),-0.0137375 # DEPENDENCYPART_SIBL
(0,12),(0,14),-0.0716099 # DEPENDENCYPART_SIBL
(0,12),(0,15),-0.0449816 # DEPENDENCYPART_SIBL
(0,12),(0,16),0.00542671 # DEPENDENCYPART_SIBL
(0,12),(0,17),-0.0802417 # DEPENDENCYPART_SIBL
(0,13),(0,14),-0.0464622 # DEPENDENCYPART_SIBL
(0,13),(0,15),-0.117786 # DEPENDENCYPART_SIBL
(0,13),(0,16),-0.00562242 # DEPENDENCYPART_SIBL
(0,13),(0,17),-0.0693041 # DEPENDENCYPART_SIBL
(0,14),(0,15),-0.179412 # DEPENDENCYPART_SIBL
(0,14),(0,16),-0.202026 # DEPENDENCYPART_SIBL
(0,14),(0,17),-0.340789 # DEPENDENCYPART_SIBL
(0,15),(0,16),-0.0588435 # DEPENDENCYPART_SIBL
(0,15),(0,17),-0.0365986 # DEPENDENCYPART_SIBL
(0,16),(0,17),-0.174982 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.0238953 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.00530477 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.00575164 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.010457 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0661049 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0254132 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.035023 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.0384309 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.035023 # DEPENDENCYPART_SIBL
(3,1),(3,9),0.020338 # DEPENDENCYPART_SIBL
(3,1),(3,11),0.038234 # DEPENDENCYPART_SIBL
(3,1),(3,13),0.0202748 # DEPENDENCYPART_SIBL
(3,1),(3,15),0.00906894 # DEPENDENCYPART_SIBL
(3,1),(3,16),-0.035023 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0080158 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.00621019 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0254203 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.00621019 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.00711494 # DEPENDENCYPART_SIBL
(3,2),(3,11),0.0566 # DEPENDENCYPART_SIBL
(3,2),(3,13),0.0206767 # DEPENDENCYPART_SIBL
(3,2),(3,15),0.0103396 # DEPENDENCYPART_SIBL
(3,2),(3,16),-0.00621019 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.00867562 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.010457 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.00867562 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.0776447 # DEPENDENCYPART_SIBL
(3,4),(3,11),-0.0420482 # DEPENDENCYPART_SIBL
(3,4),(3,13),-0.0448741 # DEPENDENCYPART_SIBL
(3,4),(3,15),-0.0394325 # DEPENDENCYPART_SIBL
(3,4),(3,16),-0.00867562 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.00575164 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0073091 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.00858012 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.0327695 # DEPENDENCYPART_SIBL
(3,5),(3,13),-0.0358669 # DEPENDENCYPART_SIBL
(3,5),(3,15),0.000768128 # DEPENDENCYPART_SIBL
(3,5),(3,16),-0.0073091 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.0104118 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.0104853 # DEPENDENCYPART_SIBL
(3,6),(3,11),-0.0339631 # DEPENDENCYPART_SIBL
(3,6),(3,13),-0.0370605 # DEPENDENCYPART_SIBL
(3,6),(3,15),-0.000531766 # DEPENDENCYPART_SIBL
(3,6),(3,16),-0.0104118 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.00858012 # DEPENDENCYPART_SIBL
(3,8),(3,11),-0.0327695 # DEPENDENCYPART_SIBL
(3,8),(3,13),-0.0358669 # DEPENDENCYPART_SIBL
(3,8),(3,15),0.000768128 # DEPENDENCYPART_SIBL
(3,8),(3,16),-0.0073091 # DEPENDENCYPART_SIBL
(3,9),(3,11),-0.0231143 # DEPENDENCYPART_SIBL
(3,9),(3,13),-0.0231777 # DEPENDENCYPART_SIBL
(3,9),(3,15),0.0166805 # DEPENDENCYPART_SIBL
(3,9),(3,16),-0.00388583 # DEPENDENCYPART_SIBL
(3,11),(3,13),-0.00915132 # DEPENDENCYPART_SIBL
(3,11),(3,15),-0.011697 # DEPENDENCYPART_SIBL
(3,11),(3,16),-0.00559508 # DEPENDENCYPART_SIBL
(3,13),(3,15),-0.0112825 # DEPENDENCYPART_SIBL
(3,13),(3,16),-0.00638306 # DEPENDENCYPART_SIBL
(3,15),(3,16),-0.0239799 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.0248781 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.0248781 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.0236163 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.0236163 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.0414543 # DEPENDENCYPART_SIBL
(4,1),(4,10),0.038271 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.0538948 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.0534031 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.039246 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.0174004 # DEPENDENCYPART_SIBL
(4,2),(4,10),0.0273475 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.0534031 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.039246 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.0174004 # DEPENDENCYPART_SIBL
(4,3),(4,10),0.0273475 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.00785008 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.0530275 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.0132943 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.0544994 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.0132943 # DEPENDENCYPART_SIBL
(4,7),(4,10),-0.0552791 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.0661049 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.0661049 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.0192549 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.0384309 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.0101758 # DEPENDENCYPART_SIBL
(5,1),(5,8),-0.035023 # DEPENDENCYPART_SIBL
(5,1),(5,9),0.020338 # DEPENDENCYPART_SIBL
(5,1),(5,12),0.0200783 # DEPENDENCYPART_SIBL
(5,1),(5,17),0.0174809 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.00783131 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.0168035 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.0254203 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.0483478 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.00621019 # DEPENDENCYPART_SIBL
(5,2),(5,9),0.00711494 # DEPENDENCYPART_SIBL
(5,2),(5,12),0.0386377 # DEPENDENCYPART_SIBL
(5,2),(5,17),-0.0274133 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.0168035 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.0254203 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.0483478 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.00621019 # DEPENDENCYPART_SIBL
(5,3),(5,9),0.00711494 # DEPENDENCYPART_SIBL
(5,3),(5,12),0.0386377 # DEPENDENCYPART_SIBL
(5,3),(5,17),-0.0274133 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.040907 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.01911 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.0357648 # DEPENDENCYPART_SIBL
(5,4),(5,9),0.0100007 # DEPENDENCYPART_SIBL
(5,4),(5,12),-0.0100024 # DEPENDENCYPART_SIBL
(5,4),(5,17),-0.0907793 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.0837958 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.0104118 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.0104853 # DEPENDENCYPART_SIBL
(5,6),(5,12),-0.00258755 # DEPENDENCYPART_SIBL
(5,6),(5,17),-0.0909193 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.049334 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.0281902 # DEPENDENCYPART_SIBL
(5,7),(5,12),-0.0641672 # DEPENDENCYPART_SIBL
(5,7),(5,17),-0.224837 # DEPENDENCYPART_SIBL
(5,8),(5,9),-0.00858012 # DEPENDENCYPART_SIBL
(5,8),(5,12),-0.00152147 # DEPENDENCYPART_SIBL
(5,8),(5,17),-0.0887528 # DEPENDENCYPART_SIBL
(5,9),(5,12),0.00342333 # DEPENDENCYPART_SIBL
(5,9),(5,17),-0.0546885 # DEPENDENCYPART_SIBL
(5,12),(5,17),-0.0549268 # DEPENDENCYPART_SIBL
(6,1),(6,2),0.0630393 # DEPENDENCYPART_SIBL
(6,1),(6,3),0.0630393 # DEPENDENCYPART_SIBL
(6,1),(6,4),0.0190128 # DEPENDENCYPART_SIBL
(6,1),(6,5),0.0630393 # DEPENDENCYPART_SIBL
(6,1),(6,7),-0.0158557 # DEPENDENCYPART_SIBL
(6,1),(6,8),-0.0286601 # DEPENDENCYPART_SIBL
(6,1),(6,9),0.0180559 # DEPENDENCYPART_SIBL
(6,1),(6,11),0.036135 # DEPENDENCYPART_SIBL
(6,1),(6,12),0.0195311 # DEPENDENCYPART_SIBL
(6,1),(6,13),0.0181759 # DEPENDENCYPART_SIBL
(6,1),(6,15),0.00780117 # DEPENDENCYPART_SIBL
(6,1),(6,16),-0.0286601 # DEPENDENCYPART_SIBL
(6,1),(6,17),0.0126286 # DEPENDENCYPART_SIBL
(6,2),(6,3),-0.0135487 # DEPENDENCYPART_SIBL
(6,2),(6,4),0.0152354 # DEPENDENCYPART_SIBL
(6,2),(6,5),-0.0135487 # DEPENDENCYPART_SIBL
(6,2),(6,7),0.0347398 # DEPENDENCYPART_SIBL
(6,2),(6,8),0.00310335 # DEPENDENCYPART_SIBL
(6,2),(6,9),-0.000889018 # DEPENDENCYPART_SIBL
(6,2),(6,11),0.0497475 # DEPENDENCYPART_SIBL
(6,2),(6,12),0.034144 # DEPENDENCYPART_SIBL
(6,2),(6,13),0.0138242 # DEPENDENCYPART_SIBL
(6,2),(6,15),0.00436438 # DEPENDENCYPART_SIBL
(6,2),(6,16),0.00310335 # DEPENDENCYPART_SIBL
(6,2),(6,17),-0.0393661 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.0152354 # DEPENDENCYPART_SIBL
(6,3),(6,5),-0.0135487 # DEPENDENCYPART_SIBL
(6,3),(6,7),0.0347398 # DEPENDENCYPART_SIBL
(6,3),(6,8),0.00310335 # DEPENDENCYPART_SIBL
(6,3),(6,9),-0.000889018 # DEPENDENCYPART_SIBL
(6,3),(6,11),0.0497475 # DEPENDENCYPART_SIBL
(6,3),(6,12),0.034144 # DEPENDENCYPART_SIBL
(6,3),(6,13),0.0138242 # DEPENDENCYPART_SIBL
(6,3),(6,15),0.00436438 # DEPENDENCYPART_SIBL
(6,3),(6,16),0.00310335 # DEPENDENCYPART_SIBL
(6,3),(6,17),-0.0393661 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.0130424 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.0245364 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.0291485 # DEPENDENCYPART_SIBL
(6,4),(6,9),0.00797205 # DEPENDENCYPART_SIBL
(6,4),(6,11),-0.00317965 # DEPENDENCYPART_SIBL
