# _root_ hala ekarri dituzte antton_lopez ruiz algecirastik langraizera , joxean etxebarri_aiesta jaendik langraizera , eta iñigo_azkue eta jose_antonio galarraga mansillatik langraizera .
#goldHeads=2,0,2,14,4,2,2,7,14,9,2,2,12,2,16,14,16,17,2,2,20,
#predictedHeads=2,0,2,14,4,2,2,7,14,9,2,2,12,2,16,14,16,17,2,2,20,
(11,9),-0.841003 # DEPENDENCYPART_ARC
(11,10),-0.283621 # DEPENDENCYPART_ARC
(11,12),-0.129087 # DEPENDENCYPART_ARC
(11,14),-1.76525 # DEPENDENCYPART_ARC
(11,16),-1.85758 # DEPENDENCYPART_ARC
(12,8),-1.91093 # DEPENDENCYPART_ARC
(12,10),-2.00698 # DEPENDENCYPART_ARC
(12,11),-1.82229 # DEPENDENCYPART_ARC
(12,13),1.23674 # DEPENDENCYPART_ARC
(12,14),-1.27935 # DEPENDENCYPART_ARC
(12,16),-1.49088 # DEPENDENCYPART_ARC
(13,4),-0.782552 # DEPENDENCYPART_ARC
(13,5),-0.811565 # DEPENDENCYPART_ARC
(13,9),-1.09697 # DEPENDENCYPART_ARC
(13,14),-0.359464 # DEPENDENCYPART_ARC
(13,16),-0.942301 # DEPENDENCYPART_ARC
(14,1),-0.784251 # DEPENDENCYPART_ARC
(14,2),-0.780078 # DEPENDENCYPART_ARC
(14,4),-0.344082 # DEPENDENCYPART_ARC
(14,5),-1.15169 # DEPENDENCYPART_ARC
(14,6),-1.17124 # DEPENDENCYPART_ARC
(14,7),-0.784992 # DEPENDENCYPART_ARC
(14,9),-0.364223 # DEPENDENCYPART_ARC
(14,10),-0.585199 # DEPENDENCYPART_ARC
(14,11),-0.55785 # DEPENDENCYPART_ARC
(14,12),0.135427 # DEPENDENCYPART_ARC
(14,13),-0.431968 # DEPENDENCYPART_ARC
(14,15),-0.158168 # DEPENDENCYPART_ARC
(14,16),-0.483053 # DEPENDENCYPART_ARC
(14,17),-1.12756 # DEPENDENCYPART_ARC
(14,18),-0.807634 # DEPENDENCYPART_ARC
(15,17),-0.14667 # DEPENDENCYPART_ARC
(16,1),-1.12996 # DEPENDENCYPART_ARC
(16,2),-1.49891 # DEPENDENCYPART_ARC
(16,4),-0.689901 # DEPENDENCYPART_ARC
(16,5),-1.51934 # DEPENDENCYPART_ARC
(16,6),-1.6308 # DEPENDENCYPART_ARC
(16,7),-0.988359 # DEPENDENCYPART_ARC
(16,9),-0.893579 # DEPENDENCYPART_ARC
(16,10),-1.15895 # DEPENDENCYPART_ARC
(16,11),-1.20684 # DEPENDENCYPART_ARC
(16,12),-0.510356 # DEPENDENCYPART_ARC
(16,13),-1.47824 # DEPENDENCYPART_ARC
(16,14),-0.507831 # DEPENDENCYPART_ARC
(16,15),1.96736 # DEPENDENCYPART_ARC
(16,17),1.19976 # DEPENDENCYPART_ARC
(16,18),-0.0167956 # DEPENDENCYPART_ARC
(16,19),-0.545555 # DEPENDENCYPART_ARC
(17,18),0.616589 # DEPENDENCYPART_ARC
(17,19),-0.189269 # DEPENDENCYPART_ARC
(18,17),-0.2926 # DEPENDENCYPART_ARC
(18,19),0.163558 # DEPENDENCYPART_ARC
(18,20),-0.831749 # DEPENDENCYPART_ARC
(19,13),-1.9938 # DEPENDENCYPART_ARC
(19,17),-0.804322 # DEPENDENCYPART_ARC
(19,18),-1.22564 # DEPENDENCYPART_ARC
(19,20),-0.906305 # DEPENDENCYPART_ARC
(20,13),-2.21332 # DEPENDENCYPART_ARC
(20,18),-3.4988 # DEPENDENCYPART_ARC
(20,19),-2.20214 # DEPENDENCYPART_ARC
(20,21),1.5622 # DEPENDENCYPART_ARC
(21,14),-0.596128 # DEPENDENCYPART_ARC
(21,16),-0.753722 # DEPENDENCYPART_ARC
(21,19),-1.05996 # DEPENDENCYPART_ARC
(0,1),(0,2),0.0126942 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.0460386 # DEPENDENCYPART_SIBL
(0,1),(0,4),0.0964643 # DEPENDENCYPART_SIBL
(0,1),(0,5),0.0964643 # DEPENDENCYPART_SIBL
(0,1),(0,6),0.0964643 # DEPENDENCYPART_SIBL
(0,1),(0,7),0.0964485 # DEPENDENCYPART_SIBL
(0,1),(0,8),-0.101279 # DEPENDENCYPART_SIBL
(0,1),(0,9),0.0964431 # DEPENDENCYPART_SIBL
(0,1),(0,10),0.0964553 # DEPENDENCYPART_SIBL
(0,1),(0,11),0.0964534 # DEPENDENCYPART_SIBL
(0,1),(0,12),0.0964485 # DEPENDENCYPART_SIBL
(0,1),(0,13),-0.101279 # DEPENDENCYPART_SIBL
(0,1),(0,14),-0.0836191 # DEPENDENCYPART_SIBL
(0,1),(0,15),0.0964643 # DEPENDENCYPART_SIBL
(0,1),(0,16),-0.0836191 # DEPENDENCYPART_SIBL
(0,1),(0,17),0.0964643 # DEPENDENCYPART_SIBL
(0,1),(0,18),0.0964629 # DEPENDENCYPART_SIBL
(0,1),(0,19),0.0964643 # DEPENDENCYPART_SIBL
(0,1),(0,20),0.0964485 # DEPENDENCYPART_SIBL
(0,1),(0,21),-0.116142 # DEPENDENCYPART_SIBL
(0,2),(0,3),0.00181799 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.0107237 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.0107237 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.0107237 # DEPENDENCYPART_SIBL
(0,2),(0,7),-0.0107331 # DEPENDENCYPART_SIBL
(0,2),(0,8),-0.0510347 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.0107976 # DEPENDENCYPART_SIBL
(0,2),(0,10),-0.0107278 # DEPENDENCYPART_SIBL
(0,2),(0,11),-0.0107297 # DEPENDENCYPART_SIBL
(0,2),(0,12),-0.0107331 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.0510347 # DEPENDENCYPART_SIBL
(0,2),(0,14),-0.138168 # DEPENDENCYPART_SIBL
(0,2),(0,15),-0.0107237 # DEPENDENCYPART_SIBL
(0,2),(0,16),-0.138168 # DEPENDENCYPART_SIBL
(0,2),(0,17),-0.0107237 # DEPENDENCYPART_SIBL
(0,2),(0,18),-0.0107245 # DEPENDENCYPART_SIBL
(0,2),(0,19),-0.0107237 # DEPENDENCYPART_SIBL
(0,2),(0,20),-0.0107331 # DEPENDENCYPART_SIBL
(0,2),(0,21),-0.0738765 # DEPENDENCYPART_SIBL
(0,3),(0,4),0.0144472 # DEPENDENCYPART_SIBL
(0,3),(0,5),0.0113925 # DEPENDENCYPART_SIBL
(0,3),(0,6),0.0196203 # DEPENDENCYPART_SIBL
(0,3),(0,7),0.0210609 # DEPENDENCYPART_SIBL
(0,3),(0,8),-0.0743439 # DEPENDENCYPART_SIBL
(0,3),(0,9),0.0174691 # DEPENDENCYPART_SIBL
(0,3),(0,10),0.0163718 # DEPENDENCYPART_SIBL
(0,3),(0,11),0.0228582 # DEPENDENCYPART_SIBL
(0,3),(0,12),0.0210609 # DEPENDENCYPART_SIBL
(0,3),(0,13),-0.0743439 # DEPENDENCYPART_SIBL
(0,3),(0,14),-0.0460887 # DEPENDENCYPART_SIBL
(0,3),(0,15),0.0174902 # DEPENDENCYPART_SIBL
(0,3),(0,16),-0.0460887 # DEPENDENCYPART_SIBL
(0,3),(0,17),0.0174902 # DEPENDENCYPART_SIBL
(0,3),(0,18),0.0174895 # DEPENDENCYPART_SIBL
(0,3),(0,19),0.0216786 # DEPENDENCYPART_SIBL
(0,3),(0,20),0.0210609 # DEPENDENCYPART_SIBL
(0,3),(0,21),-0.0832346 # DEPENDENCYPART_SIBL
(0,4),(0,5),0.0407044 # DEPENDENCYPART_SIBL
(0,4),(0,6),0.0395806 # DEPENDENCYPART_SIBL
(0,4),(0,7),0.0400909 # DEPENDENCYPART_SIBL
(0,4),(0,8),-0.13484 # DEPENDENCYPART_SIBL
(0,4),(0,9),0.0437077 # DEPENDENCYPART_SIBL
(0,4),(0,10),0.043037 # DEPENDENCYPART_SIBL
(0,4),(0,11),0.046541 # DEPENDENCYPART_SIBL
(0,4),(0,12),0.0400909 # DEPENDENCYPART_SIBL
(0,4),(0,13),-0.13484 # DEPENDENCYPART_SIBL
(0,4),(0,14),-0.0895339 # DEPENDENCYPART_SIBL
(0,4),(0,15),0.0437288 # DEPENDENCYPART_SIBL
(0,4),(0,16),-0.0895339 # DEPENDENCYPART_SIBL
(0,4),(0,17),0.0437288 # DEPENDENCYPART_SIBL
(0,4),(0,18),0.0424744 # DEPENDENCYPART_SIBL
(0,4),(0,19),0.0515118 # DEPENDENCYPART_SIBL
(0,4),(0,20),0.0400909 # DEPENDENCYPART_SIBL
(0,4),(0,21),-0.174982 # DEPENDENCYPART_SIBL
(0,5),(0,6),0.0337517 # DEPENDENCYPART_SIBL
(0,5),(0,7),0.0322362 # DEPENDENCYPART_SIBL
(0,5),(0,8),-0.134841 # DEPENDENCYPART_SIBL
(0,5),(0,9),0.0387984 # DEPENDENCYPART_SIBL
(0,5),(0,10),0.037592 # DEPENDENCYPART_SIBL
(0,5),(0,11),0.0413443 # DEPENDENCYPART_SIBL
(0,5),(0,12),0.0322362 # DEPENDENCYPART_SIBL
(0,5),(0,13),-0.134841 # DEPENDENCYPART_SIBL
(0,5),(0,14),-0.0912132 # DEPENDENCYPART_SIBL
(0,5),(0,15),0.0388195 # DEPENDENCYPART_SIBL
(0,5),(0,16),-0.0912132 # DEPENDENCYPART_SIBL
(0,5),(0,17),0.0388195 # DEPENDENCYPART_SIBL
(0,5),(0,18),0.0375652 # DEPENDENCYPART_SIBL
(0,5),(0,19),0.0457183 # DEPENDENCYPART_SIBL
(0,5),(0,20),0.0322362 # DEPENDENCYPART_SIBL
(0,5),(0,21),-0.174982 # DEPENDENCYPART_SIBL
(0,6),(0,7),0.0629223 # DEPENDENCYPART_SIBL
(0,6),(0,8),-0.134841 # DEPENDENCYPART_SIBL
(0,6),(0,9),0.058877 # DEPENDENCYPART_SIBL
(0,6),(0,10),0.0581628 # DEPENDENCYPART_SIBL
(0,6),(0,11),0.0644898 # DEPENDENCYPART_SIBL
(0,6),(0,12),0.0629223 # DEPENDENCYPART_SIBL
(0,6),(0,13),-0.134841 # DEPENDENCYPART_SIBL
(0,6),(0,14),-0.0843715 # DEPENDENCYPART_SIBL
(0,6),(0,15),0.0588981 # DEPENDENCYPART_SIBL
(0,6),(0,16),-0.0843715 # DEPENDENCYPART_SIBL
(0,6),(0,17),0.0588981 # DEPENDENCYPART_SIBL
(0,6),(0,18),0.0576438 # DEPENDENCYPART_SIBL
(0,6),(0,19),0.068864 # DEPENDENCYPART_SIBL
(0,6),(0,20),0.0629223 # DEPENDENCYPART_SIBL
(0,6),(0,21),-0.174983 # DEPENDENCYPART_SIBL
(0,7),(0,8),-0.134841 # DEPENDENCYPART_SIBL
(0,7),(0,9),0.0597883 # DEPENDENCYPART_SIBL
(0,7),(0,10),0.0590741 # DEPENDENCYPART_SIBL
(0,7),(0,11),0.0654011 # DEPENDENCYPART_SIBL
(0,7),(0,12),0.0626513 # DEPENDENCYPART_SIBL
(0,7),(0,13),-0.134841 # DEPENDENCYPART_SIBL
(0,7),(0,14),-0.0827765 # DEPENDENCYPART_SIBL
(0,7),(0,15),0.0598094 # DEPENDENCYPART_SIBL
(0,7),(0,16),-0.0827765 # DEPENDENCYPART_SIBL
(0,7),(0,17),0.0598094 # DEPENDENCYPART_SIBL
(0,7),(0,18),0.058555 # DEPENDENCYPART_SIBL
(0,7),(0,19),0.0718692 # DEPENDENCYPART_SIBL
(0,7),(0,20),0.0626513 # DEPENDENCYPART_SIBL
(0,7),(0,21),-0.174983 # DEPENDENCYPART_SIBL
(0,8),(0,9),-0.202047 # DEPENDENCYPART_SIBL
(0,8),(0,10),-0.202044 # DEPENDENCYPART_SIBL
(0,8),(0,11),-0.202032 # DEPENDENCYPART_SIBL
(0,8),(0,12),-0.202049 # DEPENDENCYPART_SIBL
(0,8),(0,13),-0.413823 # DEPENDENCYPART_SIBL
(0,8),(0,14),-0.226163 # DEPENDENCYPART_SIBL
(0,8),(0,15),-0.202026 # DEPENDENCYPART_SIBL
(0,8),(0,16),-0.226163 # DEPENDENCYPART_SIBL
(0,8),(0,17),-0.202026 # DEPENDENCYPART_SIBL
(0,8),(0,18),-0.202027 # DEPENDENCYPART_SIBL
(0,8),(0,19),-0.202026 # DEPENDENCYPART_SIBL
(0,8),(0,20),-0.202049 # DEPENDENCYPART_SIBL
(0,8),(0,21),-0.340789 # DEPENDENCYPART_SIBL
(0,9),(0,10),0.0502648 # DEPENDENCYPART_SIBL
(0,9),(0,11),0.0538457 # DEPENDENCYPART_SIBL
(0,9),(0,12),0.0517409 # DEPENDENCYPART_SIBL
(0,9),(0,13),-0.13484 # DEPENDENCYPART_SIBL
(0,9),(0,14),-0.0875944 # DEPENDENCYPART_SIBL
(0,9),(0,15),0.0509436 # DEPENDENCYPART_SIBL
(0,9),(0,16),-0.0875944 # DEPENDENCYPART_SIBL
(0,9),(0,17),0.0509436 # DEPENDENCYPART_SIBL
(0,9),(0,18),0.0496893 # DEPENDENCYPART_SIBL
(0,9),(0,19),0.0588152 # DEPENDENCYPART_SIBL
(0,9),(0,20),0.0517409 # DEPENDENCYPART_SIBL
(0,9),(0,21),-0.174982 # DEPENDENCYPART_SIBL
(0,10),(0,11),0.0496735 # DEPENDENCYPART_SIBL
(0,10),(0,12),0.0494564 # DEPENDENCYPART_SIBL
(0,10),(0,13),-0.134844 # DEPENDENCYPART_SIBL
(0,10),(0,14),-0.0876479 # DEPENDENCYPART_SIBL
(0,10),(0,15),0.0487745 # DEPENDENCYPART_SIBL
(0,10),(0,16),-0.0876479 # DEPENDENCYPART_SIBL
(0,10),(0,17),0.0487745 # DEPENDENCYPART_SIBL
(0,10),(0,18),0.0475201 # DEPENDENCYPART_SIBL
(0,10),(0,19),0.0566011 # DEPENDENCYPART_SIBL
(0,10),(0,20),0.0494564 # DEPENDENCYPART_SIBL
(0,10),(0,21),-0.174986 # DEPENDENCYPART_SIBL
(0,11),(0,12),0.065186 # DEPENDENCYPART_SIBL
(0,11),(0,13),-0.134843 # DEPENDENCYPART_SIBL
(0,11),(0,14),-0.0823827 # DEPENDENCYPART_SIBL
(0,11),(0,15),0.0590139 # DEPENDENCYPART_SIBL
(0,11),(0,16),-0.0823827 # DEPENDENCYPART_SIBL
(0,11),(0,17),0.0590139 # DEPENDENCYPART_SIBL
(0,11),(0,18),0.0577592 # DEPENDENCYPART_SIBL
(0,11),(0,19),0.0695848 # DEPENDENCYPART_SIBL
(0,11),(0,20),0.065186 # DEPENDENCYPART_SIBL
(0,11),(0,21),-0.174985 # DEPENDENCYPART_SIBL
(0,12),(0,13),-0.134841 # DEPENDENCYPART_SIBL
(0,12),(0,14),-0.0827765 # DEPENDENCYPART_SIBL
(0,12),(0,15),0.0598094 # DEPENDENCYPART_SIBL
(0,12),(0,16),-0.0827765 # DEPENDENCYPART_SIBL
(0,12),(0,17),0.0598094 # DEPENDENCYPART_SIBL
(0,12),(0,18),0.058555 # DEPENDENCYPART_SIBL
(0,12),(0,19),0.0718692 # DEPENDENCYPART_SIBL
(0,12),(0,20),0.0626513 # DEPENDENCYPART_SIBL
(0,12),(0,21),-0.174983 # DEPENDENCYPART_SIBL
(0,13),(0,14),-0.226163 # DEPENDENCYPART_SIBL
(0,13),(0,15),-0.202026 # DEPENDENCYPART_SIBL
(0,13),(0,16),-0.226163 # DEPENDENCYPART_SIBL
(0,13),(0,17),-0.202026 # DEPENDENCYPART_SIBL
(0,13),(0,18),-0.202027 # DEPENDENCYPART_SIBL
(0,13),(0,19),-0.202026 # DEPENDENCYPART_SIBL
(0,13),(0,20),-0.202049 # DEPENDENCYPART_SIBL
(0,13),(0,21),-0.340789 # DEPENDENCYPART_SIBL
(0,14),(0,15),-0.0223684 # DEPENDENCYPART_SIBL
(0,14),(0,16),-0.0395181 # DEPENDENCYPART_SIBL
(0,14),(0,17),-0.0223684 # DEPENDENCYPART_SIBL
(0,14),(0,18),-0.0223692 # DEPENDENCYPART_SIBL
(0,14),(0,19),-0.0180902 # DEPENDENCYPART_SIBL
(0,14),(0,20),-0.0199795 # DEPENDENCYPART_SIBL
(0,14),(0,21),-0.0473547 # DEPENDENCYPART_SIBL
(0,15),(0,16),-0.0875943 # DEPENDENCYPART_SIBL
(0,15),(0,17),0.0504457 # DEPENDENCYPART_SIBL
(0,15),(0,18),0.0486931 # DEPENDENCYPART_SIBL
(0,15),(0,19),0.0583172 # DEPENDENCYPART_SIBL
(0,15),(0,20),0.051243 # DEPENDENCYPART_SIBL
(0,15),(0,21),-0.174982 # DEPENDENCYPART_SIBL
(0,16),(0,17),-0.0223684 # DEPENDENCYPART_SIBL
(0,16),(0,18),-0.0223692 # DEPENDENCYPART_SIBL
(0,16),(0,19),-0.0180902 # DEPENDENCYPART_SIBL
(0,16),(0,20),-0.0199795 # DEPENDENCYPART_SIBL
(0,16),(0,21),-0.0473547 # DEPENDENCYPART_SIBL
(0,17),(0,18),0.046837 # DEPENDENCYPART_SIBL
(0,17),(0,19),0.0567175 # DEPENDENCYPART_SIBL
(0,17),(0,20),0.0496433 # DEPENDENCYPART_SIBL
(0,17),(0,21),-0.175687 # DEPENDENCYPART_SIBL
(0,18),(0,19),0.0588075 # DEPENDENCYPART_SIBL
(0,18),(0,20),0.0517373 # DEPENDENCYPART_SIBL
(0,18),(0,21),-0.174982 # DEPENDENCYPART_SIBL
(0,19),(0,20),0.0559296 # DEPENDENCYPART_SIBL
(0,19),(0,21),-0.174982 # DEPENDENCYPART_SIBL
(0,20),(0,21),-0.174983 # DEPENDENCYPART_SIBL
(1,2),(1,4),0.000468336 # DEPENDENCYPART_SIBL
(1,2),(1,5),0.000468336 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.000582646 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0286239 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.00397412 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.0146657 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.014131 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.0192288 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.00880287 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.00279276 # DEPENDENCYPART_SIBL
(2,1),(2,11),0.0255031 # DEPENDENCYPART_SIBL
(2,1),(2,12),0.0192288 # DEPENDENCYPART_SIBL
(2,1),(2,14),-0.00827279 # DEPENDENCYPART_SIBL
(2,1),(2,16),-0.00827279 # DEPENDENCYPART_SIBL
(2,1),(2,19),0.0213346 # DEPENDENCYPART_SIBL
(2,1),(2,20),0.0192288 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.0889272 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.0752114 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.100889 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.116158 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.00429427 # DEPENDENCYPART_SIBL
(2,3),(2,10),0.0943432 # DEPENDENCYPART_SIBL
(2,3),(2,11),0.128117 # DEPENDENCYPART_SIBL
(2,3),(2,12),0.116158 # DEPENDENCYPART_SIBL
(2,3),(2,14),0.0459187 # DEPENDENCYPART_SIBL
(2,3),(2,16),0.0459187 # DEPENDENCYPART_SIBL
(2,3),(2,19),0.134266 # DEPENDENCYPART_SIBL
(2,3),(2,20),0.116158 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0376552 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.0363544 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.0197808 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.0343855 # DEPENDENCYPART_SIBL
(2,4),(2,10),-0.0254814 # DEPENDENCYPART_SIBL
(2,4),(2,11),0.00656474 # DEPENDENCYPART_SIBL
(2,4),(2,12),-0.0197808 # DEPENDENCYPART_SIBL
(2,4),(2,14),-0.0142239 # DEPENDENCYPART_SIBL
(2,4),(2,16),-0.0142239 # DEPENDENCYPART_SIBL
(2,4),(2,19),0.0266909 # DEPENDENCYPART_SIBL
(2,4),(2,20),-0.0197808 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.0610243 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.0485022 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.0441867 # DEPENDENCYPART_SIBL
(2,5),(2,10),-0.0493835 # DEPENDENCYPART_SIBL
(2,5),(2,11),-0.0168406 # DEPENDENCYPART_SIBL
(2,5),(2,12),-0.0485022 # DEPENDENCYPART_SIBL
(2,5),(2,14),-0.0282229 # DEPENDENCYPART_SIBL
(2,5),(2,16),-0.0282229 # DEPENDENCYPART_SIBL
(2,5),(2,19),0.00209184 # DEPENDENCYPART_SIBL
(2,5),(2,20),-0.0485022 # DEPENDENCYPART_SIBL
(2,6),(2,7),0.0765558 # DEPENDENCYPART_SIBL
(2,6),(2,8),0.00111538 # DEPENDENCYPART_SIBL
(2,6),(2,10),0.0554431 # DEPENDENCYPART_SIBL
(2,6),(2,11),0.0931353 # DEPENDENCYPART_SIBL
(2,6),(2,12),0.0765558 # DEPENDENCYPART_SIBL
(2,6),(2,14),0.034184 # DEPENDENCYPART_SIBL
(2,6),(2,16),0.034184 # DEPENDENCYPART_SIBL
(2,6),(2,19),0.112068 # DEPENDENCYPART_SIBL
(2,6),(2,20),0.0765558 # DEPENDENCYPART_SIBL
(2,7),(2,8),0.00453194 # DEPENDENCYPART_SIBL
(2,7),(2,10),0.0615927 # DEPENDENCYPART_SIBL
(2,7),(2,11),0.0992849 # DEPENDENCYPART_SIBL
(2,7),(2,12),0.0803399 # DEPENDENCYPART_SIBL
(2,7),(2,14),0.0415883 # DEPENDENCYPART_SIBL
(2,7),(2,16),0.0415883 # DEPENDENCYPART_SIBL
(2,7),(2,19),0.122406 # DEPENDENCYPART_SIBL
(2,7),(2,20),0.0803399 # DEPENDENCYPART_SIBL
(2,8),(2,10),-0.0857266 # DEPENDENCYPART_SIBL
(2,8),(2,11),-0.0681607 # DEPENDENCYPART_SIBL
(2,8),(2,12),-0.0756501 # DEPENDENCYPART_SIBL
(2,8),(2,14),-0.0404236 # DEPENDENCYPART_SIBL
(2,8),(2,16),-0.0404236 # DEPENDENCYPART_SIBL
(2,8),(2,19),-0.0590361 # DEPENDENCYPART_SIBL
(2,8),(2,20),-0.0756501 # DEPENDENCYPART_SIBL
(2,10),(2,11),0.0396377 # DEPENDENCYPART_SIBL
(2,10),(2,12),0.0238127 # DEPENDENCYPART_SIBL
(2,10),(2,14),0.00639405 # DEPENDENCYPART_SIBL
(2,10),(2,16),0.00639405 # DEPENDENCYPART_SIBL
(2,10),(2,19),0.0617286 # DEPENDENCYPART_SIBL
(2,10),(2,20),0.0238127 # DEPENDENCYPART_SIBL
(2,11),(2,12),0.083463 # DEPENDENCYPART_SIBL
(2,11),(2,14),0.041401 # DEPENDENCYPART_SIBL
(2,11),(2,16),0.041401 # DEPENDENCYPART_SIBL
(2,11),(2,19),0.115885 # DEPENDENCYPART_SIBL
(2,11),(2,20),0.083463 # DEPENDENCYPART_SIBL
