# _root_ " sakabanaketa_bezalako legez kanpoko tresna presoen_kontra erabiltzeaz gain , orain espetxe_barruko errepresioa gogortzen ari_dira " , salatu dute aabek .
#goldHeads=0,5,5,3,7,7,13,7,8,13,12,13,0,0,14,15,0,17,17,19,
#predictedHeads=0,3,14,5,7,7,14,7,8,14,12,13,14,17,14,15,0,17,17,19,
(6,10),-0.976905 # DEPENDENCYPART_ARC
(6,11),-1.61069 # DEPENDENCYPART_ARC
(6,14),-1.88464 # DEPENDENCYPART_ARC
(7,2),-0.556355 # DEPENDENCYPART_ARC
(7,3),-0.295579 # DEPENDENCYPART_ARC
(7,4),-1.12686 # DEPENDENCYPART_ARC
(7,5),0.687914 # DEPENDENCYPART_ARC
(7,6),1.19415 # DEPENDENCYPART_ARC
(7,8),0.54411 # DEPENDENCYPART_ARC
(7,9),-0.845014 # DEPENDENCYPART_ARC
(7,10),-1.30711 # DEPENDENCYPART_ARC
(7,11),-1.21647 # DEPENDENCYPART_ARC
(7,12),-1.74248 # DEPENDENCYPART_ARC
(7,13),-1.76634 # DEPENDENCYPART_ARC
(7,14),-2.56632 # DEPENDENCYPART_ARC
(7,16),-1.51889 # DEPENDENCYPART_ARC
(7,17),-3.25594 # DEPENDENCYPART_ARC
(7,18),-4.76687 # DEPENDENCYPART_ARC
(8,2),-1.0007 # DEPENDENCYPART_ARC
(8,3),-1.4908 # DEPENDENCYPART_ARC
(8,4),-0.412622 # DEPENDENCYPART_ARC
(8,5),-1.84779 # DEPENDENCYPART_ARC
(8,6),0.277418 # DEPENDENCYPART_ARC
(8,7),-0.850549 # DEPENDENCYPART_ARC
(8,9),1.16671 # DEPENDENCYPART_ARC
(8,10),-0.409927 # DEPENDENCYPART_ARC
(8,11),-1.20365 # DEPENDENCYPART_ARC
(8,12),-1.25507 # DEPENDENCYPART_ARC
(8,13),-0.98494 # DEPENDENCYPART_ARC
(8,14),-0.840014 # DEPENDENCYPART_ARC
(8,17),-1.28413 # DEPENDENCYPART_ARC
(8,20),-0.73933 # DEPENDENCYPART_ARC
(9,7),-0.8711 # DEPENDENCYPART_ARC
(9,8),-0.564116 # DEPENDENCYPART_ARC
(9,11),-1.11422 # DEPENDENCYPART_ARC
(9,12),-0.936118 # DEPENDENCYPART_ARC
(9,13),-1.06191 # DEPENDENCYPART_ARC
(9,14),-1.16254 # DEPENDENCYPART_ARC
(9,17),-1.2622 # DEPENDENCYPART_ARC
(10,7),-1.26569 # DEPENDENCYPART_ARC
(10,8),-1.0902 # DEPENDENCYPART_ARC
(10,9),-0.481133 # DEPENDENCYPART_ARC
(10,11),-0.0945322 # DEPENDENCYPART_ARC
(10,12),-0.878568 # DEPENDENCYPART_ARC
(10,16),-0.648038 # DEPENDENCYPART_ARC
(11,6),-1.21651 # DEPENDENCYPART_ARC
(11,7),-2.25696 # DEPENDENCYPART_ARC
(11,8),-1.73781 # DEPENDENCYPART_ARC
(11,9),-1.2295 # DEPENDENCYPART_ARC
(11,10),-0.659042 # DEPENDENCYPART_ARC
(11,12),0.205865 # DEPENDENCYPART_ARC
(11,13),-0.999574 # DEPENDENCYPART_ARC
(11,18),-1.42706 # DEPENDENCYPART_ARC
(11,20),-1.2244 # DEPENDENCYPART_ARC
(12,7),-2.22403 # DEPENDENCYPART_ARC
(12,8),-1.59973 # DEPENDENCYPART_ARC
(12,9),-1.11807 # DEPENDENCYPART_ARC
(12,10),-0.510911 # DEPENDENCYPART_ARC
(12,11),1.77033 # DEPENDENCYPART_ARC
(12,13),-0.699349 # DEPENDENCYPART_ARC
(12,14),-1.62352 # DEPENDENCYPART_ARC
(12,17),-2.03003 # DEPENDENCYPART_ARC
(12,18),-2.00925 # DEPENDENCYPART_ARC
(12,20),-1.3361 # DEPENDENCYPART_ARC
(13,2),-1.42351 # DEPENDENCYPART_ARC
(13,3),-1.01655 # DEPENDENCYPART_ARC
(13,4),-1.73851 # DEPENDENCYPART_ARC
(13,5),-0.47231 # DEPENDENCYPART_ARC
(13,6),-0.831285 # DEPENDENCYPART_ARC
(13,7),-0.341698 # DEPENDENCYPART_ARC
(13,8),-0.82804 # DEPENDENCYPART_ARC
(13,9),-1.61108 # DEPENDENCYPART_ARC
(13,10),-0.0199854 # DEPENDENCYPART_ARC
(13,11),-0.0484998 # DEPENDENCYPART_ARC
(13,12),0.992121 # DEPENDENCYPART_ARC
(13,14),0.000969363 # DEPENDENCYPART_ARC
(13,16),-1.14943 # DEPENDENCYPART_ARC
(13,17),-2.10203 # DEPENDENCYPART_ARC
(13,18),-3.36122 # DEPENDENCYPART_ARC
(13,19),-1.53409 # DEPENDENCYPART_ARC
(14,2),-0.291667 # DEPENDENCYPART_ARC
(14,3),-0.0644768 # DEPENDENCYPART_ARC
(14,4),-1.86788 # DEPENDENCYPART_ARC
(14,5),-0.502205 # DEPENDENCYPART_ARC
(14,6),-0.137819 # DEPENDENCYPART_ARC
(14,7),0.324909 # DEPENDENCYPART_ARC
(14,8),-0.380116 # DEPENDENCYPART_ARC
(14,10),0.3759 # DEPENDENCYPART_ARC
(14,11),0.719709 # DEPENDENCYPART_ARC
(14,12),0.800309 # DEPENDENCYPART_ARC
(14,13),2.22509 # DEPENDENCYPART_ARC
(14,15),1.46607 # DEPENDENCYPART_ARC
(14,17),-1.17289 # DEPENDENCYPART_ARC
(14,18),-1.44132 # DEPENDENCYPART_ARC
(15,12),-1.0369 # DEPENDENCYPART_ARC
(15,14),-0.306525 # DEPENDENCYPART_ARC
(15,16),1.16315 # DEPENDENCYPART_ARC
(15,17),-0.771521 # DEPENDENCYPART_ARC
(16,13),-0.751101 # DEPENDENCYPART_ARC
(16,14),-0.666013 # DEPENDENCYPART_ARC
(16,17),-0.447477 # DEPENDENCYPART_ARC
(17,2),-0.469438 # DEPENDENCYPART_ARC
(17,3),-0.815715 # DEPENDENCYPART_ARC
(17,4),-1.60422 # DEPENDENCYPART_ARC
(17,5),-0.533141 # DEPENDENCYPART_ARC
(17,6),-0.93965 # DEPENDENCYPART_ARC
(17,7),-0.312944 # DEPENDENCYPART_ARC
(17,8),-0.991634 # DEPENDENCYPART_ARC
(17,9),-1.36371 # DEPENDENCYPART_ARC
(17,10),-0.667862 # DEPENDENCYPART_ARC
(17,11),-0.528175 # DEPENDENCYPART_ARC
(17,12),-0.295022 # DEPENDENCYPART_ARC
(17,13),0.373289 # DEPENDENCYPART_ARC
(17,14),-0.555107 # DEPENDENCYPART_ARC
(17,16),-0.418811 # DEPENDENCYPART_ARC
(17,18),1.56661 # DEPENDENCYPART_ARC
(17,19),1.05583 # DEPENDENCYPART_ARC
(18,13),-1.33159 # DEPENDENCYPART_ARC
(18,19),-0.680589 # DEPENDENCYPART_ARC
(19,17),-0.566969 # DEPENDENCYPART_ARC
(19,20),1.55642 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.133324 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.13457 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.138249 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.133359 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.133324 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.0442218 # DEPENDENCYPART_SIBL
(0,1),(0,8),-0.134459 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.216774 # DEPENDENCYPART_SIBL
(0,1),(0,10),-0.101169 # DEPENDENCYPART_SIBL
(0,1),(0,11),-0.133324 # DEPENDENCYPART_SIBL
(0,1),(0,12),-0.133328 # DEPENDENCYPART_SIBL
(0,1),(0,13),-0.0442218 # DEPENDENCYPART_SIBL
(0,1),(0,14),-0.0555434 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.181443 # DEPENDENCYPART_SIBL
(0,1),(0,16),-0.216774 # DEPENDENCYPART_SIBL
(0,1),(0,17),-0.0502995 # DEPENDENCYPART_SIBL
(0,1),(0,18),-0.0199844 # DEPENDENCYPART_SIBL
(0,1),(0,19),-0.133324 # DEPENDENCYPART_SIBL
(0,1),(0,20),-0.161528 # DEPENDENCYPART_SIBL
(0,2),(0,3),0.0471242 # DEPENDENCYPART_SIBL
(0,2),(0,4),0.0509406 # DEPENDENCYPART_SIBL
(0,2),(0,5),0.0509364 # DEPENDENCYPART_SIBL
(0,2),(0,6),0.0509439 # DEPENDENCYPART_SIBL
(0,2),(0,7),-0.112279 # DEPENDENCYPART_SIBL
(0,2),(0,8),0.0488326 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.13484 # DEPENDENCYPART_SIBL
(0,2),(0,10),0.016213 # DEPENDENCYPART_SIBL
(0,2),(0,11),0.0509439 # DEPENDENCYPART_SIBL
(0,2),(0,12),0.0509341 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.112279 # DEPENDENCYPART_SIBL
(0,2),(0,14),-0.109998 # DEPENDENCYPART_SIBL
(0,2),(0,15),-0.198273 # DEPENDENCYPART_SIBL
(0,2),(0,16),-0.13484 # DEPENDENCYPART_SIBL
(0,2),(0,17),-0.120901 # DEPENDENCYPART_SIBL
(0,2),(0,18),-0.0728182 # DEPENDENCYPART_SIBL
(0,2),(0,19),0.0509439 # DEPENDENCYPART_SIBL
(0,2),(0,20),-0.174982 # DEPENDENCYPART_SIBL
(0,3),(0,4),0.0487709 # DEPENDENCYPART_SIBL
(0,3),(0,5),0.0487668 # DEPENDENCYPART_SIBL
(0,3),(0,6),0.0487742 # DEPENDENCYPART_SIBL
(0,3),(0,7),-0.112792 # DEPENDENCYPART_SIBL
(0,3),(0,8),0.0466629 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.13514 # DEPENDENCYPART_SIBL
(0,3),(0,10),0.0159106 # DEPENDENCYPART_SIBL
(0,3),(0,11),0.0487742 # DEPENDENCYPART_SIBL
(0,3),(0,12),0.0487644 # DEPENDENCYPART_SIBL
(0,3),(0,13),-0.112792 # DEPENDENCYPART_SIBL
(0,3),(0,14),-0.110511 # DEPENDENCYPART_SIBL
(0,3),(0,15),-0.198572 # DEPENDENCYPART_SIBL
(0,3),(0,16),-0.13514 # DEPENDENCYPART_SIBL
(0,3),(0,17),-0.121415 # DEPENDENCYPART_SIBL
(0,3),(0,18),-0.0731176 # DEPENDENCYPART_SIBL
(0,3),(0,19),0.0487742 # DEPENDENCYPART_SIBL
(0,3),(0,20),-0.175282 # DEPENDENCYPART_SIBL
(0,4),(0,5),0.0509255 # DEPENDENCYPART_SIBL
(0,4),(0,6),0.0509329 # DEPENDENCYPART_SIBL
(0,4),(0,7),-0.112287 # DEPENDENCYPART_SIBL
(0,4),(0,8),0.0488216 # DEPENDENCYPART_SIBL
(0,4),(0,9),-0.134842 # DEPENDENCYPART_SIBL
(0,4),(0,10),0.0162109 # DEPENDENCYPART_SIBL
(0,4),(0,11),0.0509329 # DEPENDENCYPART_SIBL
(0,4),(0,12),0.0509231 # DEPENDENCYPART_SIBL
(0,4),(0,13),-0.112287 # DEPENDENCYPART_SIBL
(0,4),(0,14),-0.110006 # DEPENDENCYPART_SIBL
(0,4),(0,15),-0.198274 # DEPENDENCYPART_SIBL
(0,4),(0,16),-0.134842 # DEPENDENCYPART_SIBL
(0,4),(0,17),-0.12091 # DEPENDENCYPART_SIBL
(0,4),(0,18),-0.0728199 # DEPENDENCYPART_SIBL
(0,4),(0,19),0.0509329 # DEPENDENCYPART_SIBL
(0,4),(0,20),-0.174984 # DEPENDENCYPART_SIBL
(0,5),(0,6),0.0509383 # DEPENDENCYPART_SIBL
(0,5),(0,7),-0.11228 # DEPENDENCYPART_SIBL
(0,5),(0,8),0.048827 # DEPENDENCYPART_SIBL
(0,5),(0,9),-0.134842 # DEPENDENCYPART_SIBL
(0,5),(0,10),0.0162115 # DEPENDENCYPART_SIBL
(0,5),(0,11),0.0509383 # DEPENDENCYPART_SIBL
(0,5),(0,12),0.0509285 # DEPENDENCYPART_SIBL
(0,5),(0,13),-0.11228 # DEPENDENCYPART_SIBL
(0,5),(0,14),-0.109999 # DEPENDENCYPART_SIBL
(0,5),(0,15),-0.198274 # DEPENDENCYPART_SIBL
(0,5),(0,16),-0.134842 # DEPENDENCYPART_SIBL
(0,5),(0,17),-0.120903 # DEPENDENCYPART_SIBL
(0,5),(0,18),-0.0728198 # DEPENDENCYPART_SIBL
(0,5),(0,19),0.0509383 # DEPENDENCYPART_SIBL
(0,5),(0,20),-0.174984 # DEPENDENCYPART_SIBL
(0,6),(0,7),-0.112279 # DEPENDENCYPART_SIBL
(0,6),(0,8),0.0488326 # DEPENDENCYPART_SIBL
(0,6),(0,9),-0.13484 # DEPENDENCYPART_SIBL
(0,6),(0,10),0.016213 # DEPENDENCYPART_SIBL
(0,6),(0,11),0.0509439 # DEPENDENCYPART_SIBL
(0,6),(0,12),0.0509341 # DEPENDENCYPART_SIBL
(0,6),(0,13),-0.112279 # DEPENDENCYPART_SIBL
(0,6),(0,14),-0.109998 # DEPENDENCYPART_SIBL
(0,6),(0,15),-0.198273 # DEPENDENCYPART_SIBL
(0,6),(0,16),-0.13484 # DEPENDENCYPART_SIBL
(0,6),(0,17),-0.120901 # DEPENDENCYPART_SIBL
(0,6),(0,18),-0.0728182 # DEPENDENCYPART_SIBL
(0,6),(0,19),0.0509439 # DEPENDENCYPART_SIBL
(0,6),(0,20),-0.174982 # DEPENDENCYPART_SIBL
(0,7),(0,8),-0.00694444 # DEPENDENCYPART_SIBL
(0,7),(0,9),-0.0464622 # DEPENDENCYPART_SIBL
(0,7),(0,10),-0.0408752 # DEPENDENCYPART_SIBL
(0,7),(0,11),-0.00562242 # DEPENDENCYPART_SIBL
(0,7),(0,12),-0.00562632 # DEPENDENCYPART_SIBL
(0,7),(0,13),-0.117133 # DEPENDENCYPART_SIBL
(0,7),(0,14),-0.114724 # DEPENDENCYPART_SIBL
(0,7),(0,15),-0.0808903 # DEPENDENCYPART_SIBL
(0,7),(0,16),-0.0464622 # DEPENDENCYPART_SIBL
(0,7),(0,17),-0.125909 # DEPENDENCYPART_SIBL
(0,7),(0,18),-0.0043983 # DEPENDENCYPART_SIBL
(0,7),(0,19),-0.00562242 # DEPENDENCYPART_SIBL
(0,7),(0,20),-0.0693041 # DEPENDENCYPART_SIBL
(0,8),(0,9),-0.134935 # DEPENDENCYPART_SIBL
(0,8),(0,10),0.016118 # DEPENDENCYPART_SIBL
(0,8),(0,11),0.0507062 # DEPENDENCYPART_SIBL
(0,8),(0,12),0.0506964 # DEPENDENCYPART_SIBL
(0,8),(0,13),-0.112376 # DEPENDENCYPART_SIBL
(0,8),(0,14),-0.110095 # DEPENDENCYPART_SIBL
(0,8),(0,15),-0.198368 # DEPENDENCYPART_SIBL
(0,8),(0,16),-0.134935 # DEPENDENCYPART_SIBL
(0,8),(0,17),-0.120999 # DEPENDENCYPART_SIBL
(0,8),(0,18),-0.0729133 # DEPENDENCYPART_SIBL
(0,8),(0,19),0.0507062 # DEPENDENCYPART_SIBL
(0,8),(0,20),-0.175077 # DEPENDENCYPART_SIBL
(0,9),(0,10),-0.305031 # DEPENDENCYPART_SIBL
(0,9),(0,11),-0.202026 # DEPENDENCYPART_SIBL
(0,9),(0,12),-0.20203 # DEPENDENCYPART_SIBL
(0,9),(0,13),-0.293028 # DEPENDENCYPART_SIBL
(0,9),(0,14),-0.298525 # DEPENDENCYPART_SIBL
(0,9),(0,15),-0.370046 # DEPENDENCYPART_SIBL
(0,9),(0,16),-0.413823 # DEPENDENCYPART_SIBL
(0,9),(0,17),-0.283828 # DEPENDENCYPART_SIBL
(0,9),(0,18),-0.221187 # DEPENDENCYPART_SIBL
(0,9),(0,19),-0.202026 # DEPENDENCYPART_SIBL
(0,9),(0,20),-0.340789 # DEPENDENCYPART_SIBL
(0,10),(0,11),0.0595254 # DEPENDENCYPART_SIBL
(0,10),(0,12),0.0595215 # DEPENDENCYPART_SIBL
(0,10),(0,13),-0.0540668 # DEPENDENCYPART_SIBL
(0,10),(0,14),-0.0356096 # DEPENDENCYPART_SIBL
(0,10),(0,15),-0.141284 # DEPENDENCYPART_SIBL
(0,10),(0,16),-0.100628 # DEPENDENCYPART_SIBL
(0,10),(0,17),-0.0606321 # DEPENDENCYPART_SIBL
(0,10),(0,18),-0.0878258 # DEPENDENCYPART_SIBL
(0,10),(0,19),0.0595254 # DEPENDENCYPART_SIBL
(0,10),(0,20),-0.121273 # DEPENDENCYPART_SIBL
(0,11),(0,12),0.0509341 # DEPENDENCYPART_SIBL
(0,11),(0,13),-0.112279 # DEPENDENCYPART_SIBL
(0,11),(0,14),-0.109998 # DEPENDENCYPART_SIBL
(0,11),(0,15),-0.198273 # DEPENDENCYPART_SIBL
(0,11),(0,16),-0.13484 # DEPENDENCYPART_SIBL
(0,11),(0,17),-0.120901 # DEPENDENCYPART_SIBL
(0,11),(0,18),-0.0728182 # DEPENDENCYPART_SIBL
(0,11),(0,19),0.0509439 # DEPENDENCYPART_SIBL
(0,11),(0,20),-0.174982 # DEPENDENCYPART_SIBL
(0,12),(0,13),-0.112284 # DEPENDENCYPART_SIBL
(0,12),(0,14),-0.110003 # DEPENDENCYPART_SIBL
(0,12),(0,15),-0.198278 # DEPENDENCYPART_SIBL
(0,12),(0,16),-0.134845 # DEPENDENCYPART_SIBL
(0,12),(0,17),-0.120907 # DEPENDENCYPART_SIBL
(0,12),(0,18),-0.0728236 # DEPENDENCYPART_SIBL
(0,12),(0,19),0.0509293 # DEPENDENCYPART_SIBL
(0,12),(0,20),-0.174987 # DEPENDENCYPART_SIBL
(0,13),(0,14),-0.114724 # DEPENDENCYPART_SIBL
(0,13),(0,15),-0.0808903 # DEPENDENCYPART_SIBL
(0,13),(0,16),-0.0464622 # DEPENDENCYPART_SIBL
(0,13),(0,17),-0.125909 # DEPENDENCYPART_SIBL
(0,13),(0,18),-0.0043983 # DEPENDENCYPART_SIBL
(0,13),(0,19),-0.00562242 # DEPENDENCYPART_SIBL
(0,13),(0,20),-0.0693041 # DEPENDENCYPART_SIBL
(0,14),(0,15),-0.0757933 # DEPENDENCYPART_SIBL
(0,14),(0,16),-0.0413652 # DEPENDENCYPART_SIBL
(0,14),(0,17),-0.120985 # DEPENDENCYPART_SIBL
(0,14),(0,18),0.000698695 # DEPENDENCYPART_SIBL
(0,14),(0,19),-0.00209931 # DEPENDENCYPART_SIBL
(0,14),(0,20),-0.0642071 # DEPENDENCYPART_SIBL
(0,15),(0,16),-0.216774 # DEPENDENCYPART_SIBL
(0,15),(0,17),-0.0502995 # DEPENDENCYPART_SIBL
(0,15),(0,18),-0.0199844 # DEPENDENCYPART_SIBL
(0,15),(0,19),-0.133324 # DEPENDENCYPART_SIBL
(0,15),(0,20),-0.161528 # DEPENDENCYPART_SIBL
(0,16),(0,17),-0.283828 # DEPENDENCYPART_SIBL
(0,16),(0,18),-0.221187 # DEPENDENCYPART_SIBL
(0,16),(0,19),-0.202026 # DEPENDENCYPART_SIBL
(0,16),(0,20),-0.340789 # DEPENDENCYPART_SIBL
(0,17),(0,18),-0.0347642 # DEPENDENCYPART_SIBL
(0,17),(0,19),-0.0331543 # DEPENDENCYPART_SIBL
(0,17),(0,20),-0.0948426 # DEPENDENCYPART_SIBL
(0,18),(0,19),0.0145007 # DEPENDENCYPART_SIBL
(0,18),(0,20),-0.0730602 # DEPENDENCYPART_SIBL
(0,19),(0,20),-0.174982 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0451514 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0442185 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.0442171 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.00985623 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.00964599 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.00772808 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0104692 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.00725951 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.00632954 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.00773649 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.00773188 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.00732975 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.00454768 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.00724263 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.00631265 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.00401153 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.00308155 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.00732135 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.00454737 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.00644174 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.00883408 # DEPENDENCYPART_SIBL
(5,2),(5,10),-0.0416655 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.00767365 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.0120652 # DEPENDENCYPART_SIBL
(5,3),(5,10),-0.0377252 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.00916109 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.0397996 # DEPENDENCYPART_SIBL
(5,6),(5,10),0.0221487 # DEPENDENCYPART_SIBL
(6,2),(6,3),0.00463561 # DEPENDENCYPART_SIBL
(6,2),(6,4),-0.0063535 # DEPENDENCYPART_SIBL
(6,2),(6,5),-0.000526214 # DEPENDENCYPART_SIBL
(6,2),(6,7),0.0206767 # DEPENDENCYPART_SIBL
(6,2),(6,8),-0.000953375 # DEPENDENCYPART_SIBL
(6,2),(6,9),0.0483478 # DEPENDENCYPART_SIBL
(6,2),(6,10),-0.0460005 # DEPENDENCYPART_SIBL
(6,2),(6,11),-0.00621019 # DEPENDENCYPART_SIBL
(6,2),(6,14),0.0154376 # DEPENDENCYPART_SIBL
(6,3),(6,4),-0.00758541 # DEPENDENCYPART_SIBL
(6,3),(6,5),-0.00175813 # DEPENDENCYPART_SIBL
(6,3),(6,7),0.024779 # DEPENDENCYPART_SIBL
(6,3),(6,8),0.00227772 # DEPENDENCYPART_SIBL
(6,3),(6,9),0.069106 # DEPENDENCYPART_SIBL
(6,3),(6,10),-0.0420603 # DEPENDENCYPART_SIBL
(6,3),(6,11),-0.00297909 # DEPENDENCYPART_SIBL
(6,3),(6,14),0.0195399 # DEPENDENCYPART_SIBL
(6,4),(6,5),-0.00424545 # DEPENDENCYPART_SIBL
(6,4),(6,7),0.0227426 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.000626369 # DEPENDENCYPART_SIBL
(6,4),(6,9),0.0499763 # DEPENDENCYPART_SIBL
(6,4),(6,10),-0.0441346 # DEPENDENCYPART_SIBL
(6,4),(6,11),-0.00588318 # DEPENDENCYPART_SIBL
(6,4),(6,14),0.0175035 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.017396 # DEPENDENCYPART_SIBL
(6,5),(6,8),-0.00219715 # DEPENDENCYPART_SIBL
(6,5),(6,9),0.0479383 # DEPENDENCYPART_SIBL
(6,5),(6,10),-0.0464044 # DEPENDENCYPART_SIBL
(6,5),(6,11),-0.00745396 # DEPENDENCYPART_SIBL
(6,5),(6,14),0.0121569 # DEPENDENCYPART_SIBL
(6,7),(6,8),-0.00698585 # DEPENDENCYPART_SIBL
(6,7),(6,9),-0.0764692 # DEPENDENCYPART_SIBL
(6,7),(6,10),0.00994338 # DEPENDENCYPART_SIBL
(6,7),(6,11),-0.00638306 # DEPENDENCYPART_SIBL
(6,7),(6,14),-0.00987575 # DEPENDENCYPART_SIBL
(6,8),(6,9),-0.0816293 # DEPENDENCYPART_SIBL
(6,8),(6,10),0.0221487 # DEPENDENCYPART_SIBL
(6,8),(6,11),-0.00735663 # DEPENDENCYPART_SIBL
(6,8),(6,14),-0.034532 # DEPENDENCYPART_SIBL
(6,9),(6,10),-0.138055 # DEPENDENCYPART_SIBL
(6,9),(6,11),-0.049334 # DEPENDENCYPART_SIBL
(6,9),(6,14),-0.0354656 # DEPENDENCYPART_SIBL
(6,10),(6,11),0.00999107 # DEPENDENCYPART_SIBL
(6,10),(6,14),-0.0116796 # DEPENDENCYPART_SIBL
(6,11),(6,14),-0.0345297 # DEPENDENCYPART_SIBL
(7,2),(7,3),-0.0191396 # DEPENDENCYPART_SIBL
(7,2),(7,4),-0.0281159 # DEPENDENCYPART_SIBL
(7,2),(7,5),0.0190499 # DEPENDENCYPART_SIBL
(7,2),(7,6),-0.0272028 # DEPENDENCYPART_SIBL
(7,2),(7,8),-0.00371096 # DEPENDENCYPART_SIBL
(7,2),(7,9),0.00593605 # DEPENDENCYPART_SIBL
(7,2),(7,10),-0.0527923 # DEPENDENCYPART_SIBL
(7,2),(7,11),-0.0201186 # DEPENDENCYPART_SIBL
(7,2),(7,12),-0.0216133 # DEPENDENCYPART_SIBL
(7,2),(7,13),-0.00577106 # DEPENDENCYPART_SIBL
(7,2),(7,14),-0.0188061 # DEPENDENCYPART_SIBL
(7,2),(7,16),0.00593605 # DEPENDENCYPART_SIBL
(7,2),(7,17),-0.0274419 # DEPENDENCYPART_SIBL
