# _root_ kasu honetan gutuna posta arruntaren_bidez etorri da , eta etako presoek bizi duten egoeraren erantzule egiten gaituzte " , azaldu zuen .
#goldHeads=6,1,6,6,4,9,6,7,20,11,12,14,12,15,16,9,16,17,18,0,0,21,
#predictedHeads=6,1,6,6,4,9,6,7,0,11,12,14,12,15,16,9,16,17,18,0,20,21,
(0,1),(0,20),-0.122336 # DEPENDENCYPART_SIBL
(0,1),(0,21),-0.0811754 # DEPENDENCYPART_SIBL
(0,1),(0,22),-0.17526 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.0122593 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.0411327 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.129946 # DEPENDENCYPART_SIBL
(0,2),(0,7),-0.0517414 # DEPENDENCYPART_SIBL
(0,2),(0,8),-0.125345 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.0724353 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.0554376 # DEPENDENCYPART_SIBL
(0,2),(0,16),-0.161915 # DEPENDENCYPART_SIBL
(0,2),(0,17),-0.0547705 # DEPENDENCYPART_SIBL
(0,2),(0,18),-0.149464 # DEPENDENCYPART_SIBL
(0,2),(0,19),-0.125345 # DEPENDENCYPART_SIBL
(0,2),(0,20),-0.125339 # DEPENDENCYPART_SIBL
(0,2),(0,21),-0.0699218 # DEPENDENCYPART_SIBL
(0,2),(0,22),-0.132366 # DEPENDENCYPART_SIBL
(0,3),(0,5),0.0693951 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.072157 # DEPENDENCYPART_SIBL
(0,3),(0,7),0.0095998 # DEPENDENCYPART_SIBL
(0,3),(0,8),-0.0838408 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.0365949 # DEPENDENCYPART_SIBL
(0,3),(0,13),-0.00929138 # DEPENDENCYPART_SIBL
(0,3),(0,16),-0.109291 # DEPENDENCYPART_SIBL
(0,3),(0,17),-0.00789476 # DEPENDENCYPART_SIBL
(0,3),(0,18),-0.147273 # DEPENDENCYPART_SIBL
(0,3),(0,19),-0.0838408 # DEPENDENCYPART_SIBL
(0,3),(0,20),-0.071059 # DEPENDENCYPART_SIBL
(0,3),(0,21),-0.0298982 # DEPENDENCYPART_SIBL
(0,3),(0,22),-0.123983 # DEPENDENCYPART_SIBL
(0,5),(0,6),-0.108884 # DEPENDENCYPART_SIBL
(0,5),(0,7),-0.0330786 # DEPENDENCYPART_SIBL
(0,5),(0,8),-0.072892 # DEPENDENCYPART_SIBL
(0,5),(0,9),-0.0649171 # DEPENDENCYPART_SIBL
(0,5),(0,13),-0.0325205 # DEPENDENCYPART_SIBL
(0,5),(0,16),-0.141848 # DEPENDENCYPART_SIBL
(0,5),(0,17),-0.0317735 # DEPENDENCYPART_SIBL
(0,5),(0,18),-0.0966864 # DEPENDENCYPART_SIBL
(0,5),(0,19),-0.072892 # DEPENDENCYPART_SIBL
(0,5),(0,20),-0.0994037 # DEPENDENCYPART_SIBL
(0,5),(0,21),-0.0483271 # DEPENDENCYPART_SIBL
(0,5),(0,22),-0.0798058 # DEPENDENCYPART_SIBL
(0,6),(0,7),-0.0292939 # DEPENDENCYPART_SIBL
(0,6),(0,8),-0.0473166 # DEPENDENCYPART_SIBL
(0,6),(0,9),-0.127554 # DEPENDENCYPART_SIBL
(0,6),(0,13),0.00193439 # DEPENDENCYPART_SIBL
(0,6),(0,16),-0.166993 # DEPENDENCYPART_SIBL
(0,6),(0,17),0.00640684 # DEPENDENCYPART_SIBL
(0,6),(0,18),-0.0817446 # DEPENDENCYPART_SIBL
(0,6),(0,19),-0.0473166 # DEPENDENCYPART_SIBL
(0,6),(0,20),-0.168417 # DEPENDENCYPART_SIBL
(0,6),(0,21),-0.000487824 # DEPENDENCYPART_SIBL
(0,6),(0,22),-0.0701584 # DEPENDENCYPART_SIBL
(0,7),(0,8),-0.0655862 # DEPENDENCYPART_SIBL
(0,7),(0,9),-0.0911826 # DEPENDENCYPART_SIBL
(0,7),(0,13),-0.0965893 # DEPENDENCYPART_SIBL
(0,7),(0,16),-0.0709424 # DEPENDENCYPART_SIBL
(0,7),(0,17),-0.0946684 # DEPENDENCYPART_SIBL
(0,7),(0,18),-0.113134 # DEPENDENCYPART_SIBL
(0,7),(0,19),-0.0655862 # DEPENDENCYPART_SIBL
(0,7),(0,20),-0.0375154 # DEPENDENCYPART_SIBL
(0,7),(0,21),-0.11058 # DEPENDENCYPART_SIBL
(0,7),(0,22),-0.0856939 # DEPENDENCYPART_SIBL
(0,8),(0,9),-0.226163 # DEPENDENCYPART_SIBL
(0,8),(0,13),-0.205532 # DEPENDENCYPART_SIBL
(0,8),(0,16),-0.3587 # DEPENDENCYPART_SIBL
(0,8),(0,17),-0.200902 # DEPENDENCYPART_SIBL
(0,8),(0,18),-0.370046 # DEPENDENCYPART_SIBL
(0,8),(0,19),-0.413823 # DEPENDENCYPART_SIBL
(0,8),(0,20),-0.255544 # DEPENDENCYPART_SIBL
(0,8),(0,21),-0.231843 # DEPENDENCYPART_SIBL
(0,8),(0,22),-0.340789 # DEPENDENCYPART_SIBL
(0,9),(0,13),-0.00608381 # DEPENDENCYPART_SIBL
(0,9),(0,16),-0.105127 # DEPENDENCYPART_SIBL
(0,9),(0,17),-0.00395817 # DEPENDENCYPART_SIBL
(0,9),(0,18),-0.0798852 # DEPENDENCYPART_SIBL
(0,9),(0,19),0.0156699 # DEPENDENCYPART_SIBL
(0,9),(0,20),-0.0541496 # DEPENDENCYPART_SIBL
(0,9),(0,21),-0.0263214 # DEPENDENCYPART_SIBL
(0,9),(0,22),-0.0473547 # DEPENDENCYPART_SIBL
(0,13),(0,16),-0.0591545 # DEPENDENCYPART_SIBL
(0,13),(0,17),-0.0918969 # DEPENDENCYPART_SIBL
(0,13),(0,18),-0.106231 # DEPENDENCYPART_SIBL
(0,13),(0,19),-0.0720231 # DEPENDENCYPART_SIBL
(0,13),(0,20),-0.0256125 # DEPENDENCYPART_SIBL
(0,13),(0,21),-0.107048 # DEPENDENCYPART_SIBL
(0,13),(0,22),-0.0806518 # DEPENDENCYPART_SIBL
(0,16),(0,17),0.0222486 # DEPENDENCYPART_SIBL
(0,16),(0,18),-0.108279 # DEPENDENCYPART_SIBL
(0,16),(0,19),-0.0774389 # DEPENDENCYPART_SIBL
(0,16),(0,20),-0.195959 # DEPENDENCYPART_SIBL
(0,16),(0,21),0.0177941 # DEPENDENCYPART_SIBL
(0,16),(0,22),-0.0969816 # DEPENDENCYPART_SIBL
(0,17),(0,18),-0.101013 # DEPENDENCYPART_SIBL
(0,17),(0,19),-0.0619937 # DEPENDENCYPART_SIBL
(0,17),(0,20),-0.0215162 # DEPENDENCYPART_SIBL
(0,17),(0,21),-0.106315 # DEPENDENCYPART_SIBL
(0,17),(0,22),-0.0754336 # DEPENDENCYPART_SIBL
(0,18),(0,19),-0.216774 # DEPENDENCYPART_SIBL
(0,18),(0,20),0.0254739 # DEPENDENCYPART_SIBL
(0,18),(0,21),-0.0355825 # DEPENDENCYPART_SIBL
(0,18),(0,22),-0.161528 # DEPENDENCYPART_SIBL
(0,19),(0,20),-0.255544 # DEPENDENCYPART_SIBL
(0,19),(0,21),-0.231843 # DEPENDENCYPART_SIBL
(0,19),(0,22),-0.340789 # DEPENDENCYPART_SIBL
(0,20),(0,21),-0.0256471 # DEPENDENCYPART_SIBL
(0,20),(0,22),-0.0936286 # DEPENDENCYPART_SIBL
(0,21),(0,22),-0.114021 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.00880702 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.00880702 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.1062 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.0433052 # DEPENDENCYPART_SIBL
(1,3),(1,4),0.0181906 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.00483983 # DEPENDENCYPART_SIBL
(1,3),(1,7),0.00352959 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.00483983 # DEPENDENCYPART_SIBL
(1,4),(1,7),0.00352959 # DEPENDENCYPART_SIBL
(1,5),(1,7),-0.0141464 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.0678949 # DEPENDENCYPART_SIBL
(2,3),(2,16),-0.0243773 # DEPENDENCYPART_SIBL
(2,3),(2,20),-0.0215785 # DEPENDENCYPART_SIBL
(2,4),(2,16),-0.0243773 # DEPENDENCYPART_SIBL
(2,4),(2,20),-0.0215785 # DEPENDENCYPART_SIBL
(2,16),(2,20),-0.0292983 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.00388762 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.019491 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0165941 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.0231979 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0861587 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0903907 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.0589104 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.00483983 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.00352959 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.0141464 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.00388762 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.0194973 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.0165941 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.0231979 # DEPENDENCYPART_SIBL
(4,1),(4,10),-0.0179093 # DEPENDENCYPART_SIBL
(4,1),(4,11),-0.00851521 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.0160767 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0857007 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.0542204 # DEPENDENCYPART_SIBL
(4,2),(4,10),-0.07223 # DEPENDENCYPART_SIBL
(4,2),(4,11),-0.0720915 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0184413 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.0229368 # DEPENDENCYPART_SIBL
(4,3),(4,10),-0.0395347 # DEPENDENCYPART_SIBL
(4,3),(4,11),-0.0301406 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.0141464 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.00868932 # DEPENDENCYPART_SIBL
(4,5),(4,11),-0.00867562 # DEPENDENCYPART_SIBL
(4,7),(4,10),0.0551049 # DEPENDENCYPART_SIBL
(4,7),(4,11),0.0566948 # DEPENDENCYPART_SIBL
(4,10),(4,11),-0.00753473 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.0476704 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.0476704 # DEPENDENCYPART_SIBL
(5,1),(5,6),0.0255366 # DEPENDENCYPART_SIBL
(5,1),(5,7),0.0979745 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.0529814 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.0229946 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.09956 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.0229946 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.09956 # DEPENDENCYPART_SIBL
(5,6),(5,7),0.0468368 # DEPENDENCYPART_SIBL
(6,1),(6,2),-0.0291305 # DEPENDENCYPART_SIBL
(6,1),(6,3),-0.0440697 # DEPENDENCYPART_SIBL
(6,1),(6,4),-0.0440697 # DEPENDENCYPART_SIBL
(6,1),(6,5),-0.00246742 # DEPENDENCYPART_SIBL
(6,1),(6,7),0.020854 # DEPENDENCYPART_SIBL
(6,1),(6,8),0.000318158 # DEPENDENCYPART_SIBL
(6,1),(6,9),-0.0248359 # DEPENDENCYPART_SIBL
(6,1),(6,10),-0.0108862 # DEPENDENCYPART_SIBL
(6,1),(6,11),0.0153783 # DEPENDENCYPART_SIBL
(6,1),(6,12),-0.000877348 # DEPENDENCYPART_SIBL
(6,1),(6,13),0.0460902 # DEPENDENCYPART_SIBL
(6,1),(6,14),-0.00991018 # DEPENDENCYPART_SIBL
(6,1),(6,15),-0.00840135 # DEPENDENCYPART_SIBL
(6,1),(6,16),0.0255305 # DEPENDENCYPART_SIBL
(6,1),(6,17),0.0220422 # DEPENDENCYPART_SIBL
(6,1),(6,20),-0.0210436 # DEPENDENCYPART_SIBL
(6,1),(6,21),0.0135095 # DEPENDENCYPART_SIBL
(6,2),(6,3),-0.0204536 # DEPENDENCYPART_SIBL
(6,2),(6,4),-0.0165647 # DEPENDENCYPART_SIBL
(6,2),(6,5),0.00436302 # DEPENDENCYPART_SIBL
(6,2),(6,7),-0.0320449 # DEPENDENCYPART_SIBL
(6,2),(6,8),0.0076835 # DEPENDENCYPART_SIBL
(6,2),(6,9),-0.0393508 # DEPENDENCYPART_SIBL
(6,2),(6,10),-0.00513755 # DEPENDENCYPART_SIBL
(6,2),(6,11),0.00554476 # DEPENDENCYPART_SIBL
(6,2),(6,12),-0.00258466 # DEPENDENCYPART_SIBL
(6,2),(6,13),-0.00123714 # DEPENDENCYPART_SIBL
(6,2),(6,14),-0.00500271 # DEPENDENCYPART_SIBL
(6,2),(6,15),-0.00499779 # DEPENDENCYPART_SIBL
(6,2),(6,16),0.0285242 # DEPENDENCYPART_SIBL
(6,2),(6,17),0.0124039 # DEPENDENCYPART_SIBL
(6,2),(6,20),-0.0236845 # DEPENDENCYPART_SIBL
(6,2),(6,21),0.0353088 # DEPENDENCYPART_SIBL
(6,3),(6,4),-0.0289828 # DEPENDENCYPART_SIBL
(6,3),(6,5),-0.00406061 # DEPENDENCYPART_SIBL
(6,3),(6,7),0.0289149 # DEPENDENCYPART_SIBL
(6,3),(6,8),0.0131448 # DEPENDENCYPART_SIBL
(6,3),(6,9),-0.0171192 # DEPENDENCYPART_SIBL
(6,3),(6,10),-0.015866 # DEPENDENCYPART_SIBL
(6,3),(6,11),0.0103985 # DEPENDENCYPART_SIBL
(6,3),(6,12),-0.00585716 # DEPENDENCYPART_SIBL
(6,3),(6,13),0.050097 # DEPENDENCYPART_SIBL
(6,3),(6,14),-0.01489 # DEPENDENCYPART_SIBL
(6,3),(6,15),-0.0133812 # DEPENDENCYPART_SIBL
(6,3),(6,16),0.0374197 # DEPENDENCYPART_SIBL
(6,3),(6,17),0.0260491 # DEPENDENCYPART_SIBL
(6,3),(6,20),-0.0149168 # DEPENDENCYPART_SIBL
(6,3),(6,21),0.0175163 # DEPENDENCYPART_SIBL
(6,4),(6,5),-0.00406061 # DEPENDENCYPART_SIBL
(6,4),(6,7),0.0289149 # DEPENDENCYPART_SIBL
(6,4),(6,8),0.0136749 # DEPENDENCYPART_SIBL
(6,4),(6,9),-0.0171192 # DEPENDENCYPART_SIBL
(6,4),(6,10),-0.0059706 # DEPENDENCYPART_SIBL
(6,4),(6,11),0.0202939 # DEPENDENCYPART_SIBL
(6,4),(6,12),0.00403824 # DEPENDENCYPART_SIBL
(6,4),(6,13),0.050097 # DEPENDENCYPART_SIBL
(6,4),(6,14),-0.00499459 # DEPENDENCYPART_SIBL
(6,4),(6,15),-0.00348576 # DEPENDENCYPART_SIBL
(6,4),(6,16),0.0374197 # DEPENDENCYPART_SIBL
(6,4),(6,17),0.0260491 # DEPENDENCYPART_SIBL
(6,4),(6,20),-0.0149168 # DEPENDENCYPART_SIBL
(6,4),(6,21),0.0175163 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.0543396 # DEPENDENCYPART_SIBL
(6,5),(6,8),0.00454813 # DEPENDENCYPART_SIBL
(6,5),(6,9),-0.000357163 # DEPENDENCYPART_SIBL
(6,5),(6,10),-0.00522734 # DEPENDENCYPART_SIBL
(6,5),(6,11),0.00535149 # DEPENDENCYPART_SIBL
(6,5),(6,12),-0.00643788 # DEPENDENCYPART_SIBL
(6,5),(6,13),0.0125727 # DEPENDENCYPART_SIBL
(6,5),(6,14),-0.00520149 # DEPENDENCYPART_SIBL
(6,5),(6,15),-0.00520007 # DEPENDENCYPART_SIBL
(6,5),(6,16),0.0195407 # DEPENDENCYPART_SIBL
(6,5),(6,17),0.0206075 # DEPENDENCYPART_SIBL
(6,5),(6,20),-0.0123779 # DEPENDENCYPART_SIBL
(6,5),(6,21),-0.0151389 # DEPENDENCYPART_SIBL
