# _root_ ( ... ) paulinok azken asaltoa bota zuela uste_zuen , baina heriotzaren aurre-salara ailegatzea besterik ez zuen egin , azken asaltoek beti heriotzaren kaudrilateroan jotzen bait dute amaierako kanpanilla .
#goldHeads=0,1,0,9,6,7,9,7,11,9,0,13,14,18,14,15,18,11,18,21,25,25,24,25,18,27,25,29,25,29,
#predictedHeads=0,1,0,7,6,7,9,7,11,9,0,13,14,18,14,15,18,11,18,21,25,25,24,25,0,25,26,29,25,29,
(6,15),-1.6024 # DEPENDENCYPART_ARC
(7,4),1.08678 # DEPENDENCYPART_ARC
(7,5),-0.131967 # DEPENDENCYPART_ARC
(7,6),2.04103 # DEPENDENCYPART_ARC
(7,8),1.93323 # DEPENDENCYPART_ARC
(7,9),-0.634841 # DEPENDENCYPART_ARC
(7,10),-0.583511 # DEPENDENCYPART_ARC
(7,11),-0.489353 # DEPENDENCYPART_ARC
(7,12),-1.09424 # DEPENDENCYPART_ARC
(7,13),-0.466978 # DEPENDENCYPART_ARC
(7,14),-0.442087 # DEPENDENCYPART_ARC
(7,15),-0.856094 # DEPENDENCYPART_ARC
(7,17),-1.85779 # DEPENDENCYPART_ARC
(7,18),-0.869798 # DEPENDENCYPART_ARC
(7,21),-1.071 # DEPENDENCYPART_ARC
(7,23),-1.56488 # DEPENDENCYPART_ARC
(7,24),-0.845063 # DEPENDENCYPART_ARC
(7,25),-1.2293 # DEPENDENCYPART_ARC
(7,26),-1.04257 # DEPENDENCYPART_ARC
(7,28),-1.89735 # DEPENDENCYPART_ARC
(7,29),-0.814072 # DEPENDENCYPART_ARC
(8,4),-0.936423 # DEPENDENCYPART_ARC
(8,6),-0.589196 # DEPENDENCYPART_ARC
(8,9),-0.723131 # DEPENDENCYPART_ARC
(9,4),0.799162 # DEPENDENCYPART_ARC
(9,6),0.403883 # DEPENDENCYPART_ARC
(9,7),0.629509 # DEPENDENCYPART_ARC
(9,8),0.632928 # DEPENDENCYPART_ARC
(9,10),1.40785 # DEPENDENCYPART_ARC
(9,11),-0.341896 # DEPENDENCYPART_ARC
(9,12),-1.38202 # DEPENDENCYPART_ARC
(9,13),-0.161218 # DEPENDENCYPART_ARC
(9,14),-0.680045 # DEPENDENCYPART_ARC
(9,16),-0.647047 # DEPENDENCYPART_ARC
(9,17),-1.57866 # DEPENDENCYPART_ARC
(9,18),-1.25482 # DEPENDENCYPART_ARC
(9,25),-1.66181 # DEPENDENCYPART_ARC
(9,27),-2.32672 # DEPENDENCYPART_ARC
(10,7),-1.1308 # DEPENDENCYPART_ARC
(10,8),-1.32261 # DEPENDENCYPART_ARC
(10,9),-0.38586 # DEPENDENCYPART_ARC
(10,11),-0.322087 # DEPENDENCYPART_ARC
(10,15),-1.25181 # DEPENDENCYPART_ARC
(11,4),-1.71618 # DEPENDENCYPART_ARC
(11,6),-1.21929 # DEPENDENCYPART_ARC
(11,7),0.170247 # DEPENDENCYPART_ARC
(11,8),-0.847388 # DEPENDENCYPART_ARC
(11,9),0.287906 # DEPENDENCYPART_ARC
(11,10),-0.475158 # DEPENDENCYPART_ARC
(11,12),-0.499022 # DEPENDENCYPART_ARC
(11,13),-0.716163 # DEPENDENCYPART_ARC
(11,14),-0.204028 # DEPENDENCYPART_ARC
(11,15),-1.05829 # DEPENDENCYPART_ARC
(11,18),-0.656491 # DEPENDENCYPART_ARC
(11,21),-1.15726 # DEPENDENCYPART_ARC
(11,24),-1.42902 # DEPENDENCYPART_ARC
(11,25),-1.24025 # DEPENDENCYPART_ARC
(11,28),-1.69407 # DEPENDENCYPART_ARC
(11,29),-1.51407 # DEPENDENCYPART_ARC
(12,9),-2.42062 # DEPENDENCYPART_ARC
(12,10),-1.29559 # DEPENDENCYPART_ARC
(12,11),-0.478035 # DEPENDENCYPART_ARC
(12,13),0.168945 # DEPENDENCYPART_ARC
(12,15),-1.3784 # DEPENDENCYPART_ARC
(12,17),-1.52006 # DEPENDENCYPART_ARC
(13,7),-1.48565 # DEPENDENCYPART_ARC
(13,9),-2.46735 # DEPENDENCYPART_ARC
(13,10),-1.15648 # DEPENDENCYPART_ARC
(13,11),-0.549989 # DEPENDENCYPART_ARC
(13,12),1.06918 # DEPENDENCYPART_ARC
(13,14),-1.05434 # DEPENDENCYPART_ARC
(13,15),-0.78211 # DEPENDENCYPART_ARC
(13,16),-2.04754 # DEPENDENCYPART_ARC
(13,17),-1.48639 # DEPENDENCYPART_ARC
(14,4),-0.965176 # DEPENDENCYPART_ARC
(14,6),-0.341509 # DEPENDENCYPART_ARC
(14,7),-1.15437 # DEPENDENCYPART_ARC
(14,8),-1.73894 # DEPENDENCYPART_ARC
(14,9),-1.67916 # DEPENDENCYPART_ARC
(14,10),-1.47882 # DEPENDENCYPART_ARC
(14,11),-0.52958 # DEPENDENCYPART_ARC
(14,12),-0.169478 # DEPENDENCYPART_ARC
(14,13),1.8689 # DEPENDENCYPART_ARC
(14,15),0.204008 # DEPENDENCYPART_ARC
(14,16),-1.04479 # DEPENDENCYPART_ARC
(14,17),-2.94514 # DEPENDENCYPART_ARC
(14,18),-1.50296 # DEPENDENCYPART_ARC
(14,19),-1.05765 # DEPENDENCYPART_ARC
(14,21),-1.2758 # DEPENDENCYPART_ARC
(14,22),-1.44451 # DEPENDENCYPART_ARC
(14,23),-1.95976 # DEPENDENCYPART_ARC
(14,24),-1.08427 # DEPENDENCYPART_ARC
(14,25),-1.95116 # DEPENDENCYPART_ARC
(14,26),-1.33004 # DEPENDENCYPART_ARC
(14,27),-4.20369 # DEPENDENCYPART_ARC
(14,28),-2.00992 # DEPENDENCYPART_ARC
(14,29),-1.31177 # DEPENDENCYPART_ARC
(15,13),-0.663326 # DEPENDENCYPART_ARC
(15,16),1.55403 # DEPENDENCYPART_ARC
(16,12),-1.55252 # DEPENDENCYPART_ARC
(16,13),-1.51414 # DEPENDENCYPART_ARC
(16,21),-1.04346 # DEPENDENCYPART_ARC
(16,23),-1.04027 # DEPENDENCYPART_ARC
(17,4),-0.862841 # DEPENDENCYPART_ARC
(17,14),-1.23004 # DEPENDENCYPART_ARC
(17,16),-0.439624 # DEPENDENCYPART_ARC
(17,22),-0.715132 # DEPENDENCYPART_ARC
(18,4),-0.431953 # DEPENDENCYPART_ARC
(18,6),-0.727583 # DEPENDENCYPART_ARC
(18,7),-0.600698 # DEPENDENCYPART_ARC
(18,8),-1.07352 # DEPENDENCYPART_ARC
(18,9),-1.14685 # DEPENDENCYPART_ARC
(18,10),-1.32822 # DEPENDENCYPART_ARC
(18,11),-0.462281 # DEPENDENCYPART_ARC
(18,12),-1.0207 # DEPENDENCYPART_ARC
(18,13),0.260235 # DEPENDENCYPART_ARC
(18,14),-0.158812 # DEPENDENCYPART_ARC
(18,15),-0.398807 # DEPENDENCYPART_ARC
(18,16),0.517704 # DEPENDENCYPART_ARC
(18,17),0.77765 # DEPENDENCYPART_ARC
(18,19),0.949214 # DEPENDENCYPART_ARC
(18,20),-0.523864 # DEPENDENCYPART_ARC
(18,21),-0.435936 # DEPENDENCYPART_ARC
(18,22),-0.840134 # DEPENDENCYPART_ARC
(18,23),-1.0493 # DEPENDENCYPART_ARC
(18,24),-0.563806 # DEPENDENCYPART_ARC
(18,25),-0.895997 # DEPENDENCYPART_ARC
(18,26),-0.957866 # DEPENDENCYPART_ARC
(18,27),-1.83442 # DEPENDENCYPART_ARC
(18,28),-1.62642 # DEPENDENCYPART_ARC
(18,29),-0.713339 # DEPENDENCYPART_ARC
(19,14),-1.18349 # DEPENDENCYPART_ARC
(19,17),-1.08027 # DEPENDENCYPART_ARC
(19,18),-0.164767 # DEPENDENCYPART_ARC
(20,18),-0.849552 # DEPENDENCYPART_ARC
(20,19),-0.358113 # DEPENDENCYPART_ARC
(21,11),-0.664121 # DEPENDENCYPART_ARC
(21,12),-0.0766927 # DEPENDENCYPART_ARC
(21,14),-2.27213 # DEPENDENCYPART_ARC
(21,18),-0.703723 # DEPENDENCYPART_ARC
(21,19),-0.775579 # DEPENDENCYPART_ARC
(21,20),0.964794 # DEPENDENCYPART_ARC
(21,22),-0.328424 # DEPENDENCYPART_ARC
(21,23),-1.84092 # DEPENDENCYPART_ARC
(21,24),-1.41023 # DEPENDENCYPART_ARC
(21,30),-1.57482 # DEPENDENCYPART_ARC
(22,21),-0.464459 # DEPENDENCYPART_ARC
(22,23),-0.211224 # DEPENDENCYPART_ARC
(22,24),-0.9909 # DEPENDENCYPART_ARC
(23,19),-1.63204 # DEPENDENCYPART_ARC
(23,20),-0.914851 # DEPENDENCYPART_ARC
(23,21),-1.85273 # DEPENDENCYPART_ARC
(23,22),-0.365633 # DEPENDENCYPART_ARC
(23,24),0.38845 # DEPENDENCYPART_ARC
(23,27),-1.91433 # DEPENDENCYPART_ARC
(23,28),-0.618064 # DEPENDENCYPART_ARC
(23,30),-1.26721 # DEPENDENCYPART_ARC
(24,19),-1.63191 # DEPENDENCYPART_ARC
(24,20),-1.0748 # DEPENDENCYPART_ARC
(24,21),-1.7697 # DEPENDENCYPART_ARC
(24,22),-0.546015 # DEPENDENCYPART_ARC
(24,23),1.61205 # DEPENDENCYPART_ARC
(24,25),-0.56818 # DEPENDENCYPART_ARC
(24,27),-1.86855 # DEPENDENCYPART_ARC
(24,28),-1.57469 # DEPENDENCYPART_ARC
(24,29),-1.61097 # DEPENDENCYPART_ARC
(24,30),-1.1059 # DEPENDENCYPART_ARC
(25,4),-0.647737 # DEPENDENCYPART_ARC
(25,6),-0.92283 # DEPENDENCYPART_ARC
(25,7),-1.29215 # DEPENDENCYPART_ARC
(25,9),-1.31708 # DEPENDENCYPART_ARC
(25,10),-1.59325 # DEPENDENCYPART_ARC
(25,11),-0.698387 # DEPENDENCYPART_ARC
(25,12),-1.29834 # DEPENDENCYPART_ARC
(25,13),-0.295368 # DEPENDENCYPART_ARC
(25,14),-0.459315 # DEPENDENCYPART_ARC
(25,15),-0.761044 # DEPENDENCYPART_ARC
(25,16),-0.225224 # DEPENDENCYPART_ARC
(25,17),-0.896887 # DEPENDENCYPART_ARC
(25,18),-1.10259 # DEPENDENCYPART_ARC
(25,19),-1.60195 # DEPENDENCYPART_ARC
(25,20),-0.67869 # DEPENDENCYPART_ARC
(25,21),0.544503 # DEPENDENCYPART_ARC
(25,22),0.179214 # DEPENDENCYPART_ARC
(25,23),0.0229203 # DEPENDENCYPART_ARC
(25,24),1.86603 # DEPENDENCYPART_ARC
(25,26),0.966249 # DEPENDENCYPART_ARC
(25,27),0.274323 # DEPENDENCYPART_ARC
(25,28),-0.692072 # DEPENDENCYPART_ARC
(25,29),-0.354218 # DEPENDENCYPART_ARC
(26,8),0.316251 # DEPENDENCYPART_ARC
(26,17),0.174367 # DEPENDENCYPART_ARC
(26,18),-0.883566 # DEPENDENCYPART_ARC
(26,25),0.0866404 # DEPENDENCYPART_ARC
(26,27),1.08099 # DEPENDENCYPART_ARC
(26,28),-0.368618 # DEPENDENCYPART_ARC
(26,29),-0.40825 # DEPENDENCYPART_ARC
(27,26),0.0459255 # DEPENDENCYPART_ARC
(27,28),-1.02601 # DEPENDENCYPART_ARC
(27,29),-1.83502 # DEPENDENCYPART_ARC
(28,22),-1.28869 # DEPENDENCYPART_ARC
(28,23),-1.15558 # DEPENDENCYPART_ARC
(28,24),-2.64129 # DEPENDENCYPART_ARC
(28,25),-1.03145 # DEPENDENCYPART_ARC
(28,27),-1.04966 # DEPENDENCYPART_ARC
(28,29),-1.14904 # DEPENDENCYPART_ARC
(28,30),-0.893643 # DEPENDENCYPART_ARC
(29,22),-1.3277 # DEPENDENCYPART_ARC
(29,23),-0.331962 # DEPENDENCYPART_ARC
(29,24),-2.43467 # DEPENDENCYPART_ARC
(29,25),-1.0447 # DEPENDENCYPART_ARC
(29,27),-1.58317 # DEPENDENCYPART_ARC
(29,28),1.18437 # DEPENDENCYPART_ARC
(29,30),1.43356 # DEPENDENCYPART_ARC
(0,1),(0,3),0.93948 # DEPENDENCYPART_SIBL
(0,1),(0,4),0.114544 # DEPENDENCYPART_SIBL
(0,1),(0,6),0.114544 # DEPENDENCYPART_SIBL
(0,1),(0,7),0.31329 # DEPENDENCYPART_SIBL
(0,1),(0,8),0.181552 # DEPENDENCYPART_SIBL
(0,1),(0,9),0.305888 # DEPENDENCYPART_SIBL
(0,1),(0,10),0.291801 # DEPENDENCYPART_SIBL
(0,1),(0,11),0.252256 # DEPENDENCYPART_SIBL
(0,1),(0,12),0.114544 # DEPENDENCYPART_SIBL
(0,1),(0,13),0.114544 # DEPENDENCYPART_SIBL
(0,1),(0,14),0.305888 # DEPENDENCYPART_SIBL
(0,1),(0,15),0.210204 # DEPENDENCYPART_SIBL
(0,1),(0,16),0.278441 # DEPENDENCYPART_SIBL
(0,1),(0,17),0.148321 # DEPENDENCYPART_SIBL
(0,1),(0,18),0.284699 # DEPENDENCYPART_SIBL
(0,1),(0,19),0.291801 # DEPENDENCYPART_SIBL
(0,1),(0,21),0.114544 # DEPENDENCYPART_SIBL
(0,1),(0,22),0.145488 # DEPENDENCYPART_SIBL
(0,1),(0,25),0.291344 # DEPENDENCYPART_SIBL
(0,1),(0,26),0.193544 # DEPENDENCYPART_SIBL
(0,1),(0,27),0.157707 # DEPENDENCYPART_SIBL
(0,1),(0,29),0.114544 # DEPENDENCYPART_SIBL
(0,1),(0,30),0.339267 # DEPENDENCYPART_SIBL
(0,3),(0,4),0.0101471 # DEPENDENCYPART_SIBL
(0,3),(0,6),0.0101471 # DEPENDENCYPART_SIBL
(0,3),(0,7),0.19185 # DEPENDENCYPART_SIBL
(0,3),(0,8),0.0565159 # DEPENDENCYPART_SIBL
(0,3),(0,9),0.184442 # DEPENDENCYPART_SIBL
(0,3),(0,10),-0.0363153 # DEPENDENCYPART_SIBL
(0,3),(0,11),0.140229 # DEPENDENCYPART_SIBL
(0,3),(0,12),0.0101471 # DEPENDENCYPART_SIBL
(0,3),(0,13),0.0101471 # DEPENDENCYPART_SIBL
(0,3),(0,14),0.184442 # DEPENDENCYPART_SIBL
(0,3),(0,15),0.0841482 # DEPENDENCYPART_SIBL
(0,3),(0,16),0.152493 # DEPENDENCYPART_SIBL
(0,3),(0,17),0.0232855 # DEPENDENCYPART_SIBL
(0,3),(0,18),0.163254 # DEPENDENCYPART_SIBL
(0,3),(0,19),-0.0363153 # DEPENDENCYPART_SIBL
(0,3),(0,21),0.0101471 # DEPENDENCYPART_SIBL
(0,3),(0,22),0.0112806 # DEPENDENCYPART_SIBL
(0,3),(0,25),0.169899 # DEPENDENCYPART_SIBL
(0,3),(0,26),0.0674865 # DEPENDENCYPART_SIBL
(0,3),(0,27),0.0326707 # DEPENDENCYPART_SIBL
(0,3),(0,29),0.0101471 # DEPENDENCYPART_SIBL
(0,3),(0,30),0.00802138 # DEPENDENCYPART_SIBL
(0,4),(0,6),0.0509439 # DEPENDENCYPART_SIBL
(0,4),(0,7),-0.116006 # DEPENDENCYPART_SIBL
(0,4),(0,8),-0.0543907 # DEPENDENCYPART_SIBL
(0,4),(0,9),-0.112279 # DEPENDENCYPART_SIBL
(0,4),(0,10),-0.13484 # DEPENDENCYPART_SIBL
(0,4),(0,11),-0.0664346 # DEPENDENCYPART_SIBL
(0,4),(0,12),0.0509439 # DEPENDENCYPART_SIBL
(0,4),(0,13),0.0509439 # DEPENDENCYPART_SIBL
(0,4),(0,14),-0.112279 # DEPENDENCYPART_SIBL
(0,4),(0,15),0.0160386 # DEPENDENCYPART_SIBL
(0,4),(0,16),0.0553243 # DEPENDENCYPART_SIBL
(0,4),(0,17),-0.0808976 # DEPENDENCYPART_SIBL
(0,4),(0,18),-0.15112 # DEPENDENCYPART_SIBL
(0,4),(0,19),-0.13484 # DEPENDENCYPART_SIBL
(0,4),(0,21),0.0509439 # DEPENDENCYPART_SIBL
(0,4),(0,22),0.0371132 # DEPENDENCYPART_SIBL
(0,4),(0,25),-0.126828 # DEPENDENCYPART_SIBL
(0,4),(0,26),-0.0478016 # DEPENDENCYPART_SIBL
(0,4),(0,27),-0.0728182 # DEPENDENCYPART_SIBL
(0,4),(0,29),0.0509439 # DEPENDENCYPART_SIBL
(0,4),(0,30),-0.174982 # DEPENDENCYPART_SIBL
(0,6),(0,7),-0.116006 # DEPENDENCYPART_SIBL
(0,6),(0,8),-0.0543907 # DEPENDENCYPART_SIBL
(0,6),(0,9),-0.112279 # DEPENDENCYPART_SIBL
(0,6),(0,10),-0.13484 # DEPENDENCYPART_SIBL
(0,6),(0,11),-0.0664346 # DEPENDENCYPART_SIBL
(0,6),(0,12),0.0509439 # DEPENDENCYPART_SIBL
(0,6),(0,13),0.0509439 # DEPENDENCYPART_SIBL
(0,6),(0,14),-0.112279 # DEPENDENCYPART_SIBL
(0,6),(0,15),0.0160386 # DEPENDENCYPART_SIBL
(0,6),(0,16),0.0553243 # DEPENDENCYPART_SIBL
(0,6),(0,17),-0.0808976 # DEPENDENCYPART_SIBL
(0,6),(0,18),-0.15112 # DEPENDENCYPART_SIBL
(0,6),(0,19),-0.13484 # DEPENDENCYPART_SIBL
(0,6),(0,21),0.0509439 # DEPENDENCYPART_SIBL
(0,6),(0,22),0.0371132 # DEPENDENCYPART_SIBL
(0,6),(0,25),-0.126828 # DEPENDENCYPART_SIBL
(0,6),(0,26),-0.0478016 # DEPENDENCYPART_SIBL
(0,6),(0,27),-0.0728182 # DEPENDENCYPART_SIBL
(0,6),(0,29),0.0509439 # DEPENDENCYPART_SIBL
(0,6),(0,30),-0.174982 # DEPENDENCYPART_SIBL
(0,7),(0,8),0.0262209 # DEPENDENCYPART_SIBL
(0,7),(0,9),-0.111003 # DEPENDENCYPART_SIBL
(0,7),(0,10),-0.0367238 # DEPENDENCYPART_SIBL
(0,7),(0,11),-0.111712 # DEPENDENCYPART_SIBL
(0,7),(0,12),0.00316832 # DEPENDENCYPART_SIBL
(0,7),(0,13),0.00316832 # DEPENDENCYPART_SIBL
(0,7),(0,14),-0.111003 # DEPENDENCYPART_SIBL
(0,7),(0,15),0.0156184 # DEPENDENCYPART_SIBL
(0,7),(0,16),0.0142443 # DEPENDENCYPART_SIBL
(0,7),(0,17),0.0095511 # DEPENDENCYPART_SIBL
(0,7),(0,18),-0.127523 # DEPENDENCYPART_SIBL
(0,7),(0,19),-0.0367238 # DEPENDENCYPART_SIBL
(0,7),(0,21),0.00316832 # DEPENDENCYPART_SIBL
(0,7),(0,22),0.00944446 # DEPENDENCYPART_SIBL
(0,7),(0,25),-0.138205 # DEPENDENCYPART_SIBL
(0,7),(0,26),-0.0391003 # DEPENDENCYPART_SIBL
(0,7),(0,27),0.00504283 # DEPENDENCYPART_SIBL
(0,7),(0,29),0.00316832 # DEPENDENCYPART_SIBL
(0,7),(0,30),-0.059536 # DEPENDENCYPART_SIBL
(0,8),(0,9),-0.0232009 # DEPENDENCYPART_SIBL
(0,8),(0,10),-0.0739545 # DEPENDENCYPART_SIBL
(0,8),(0,11),-0.0508351 # DEPENDENCYPART_SIBL
(0,8),(0,12),0.0174129 # DEPENDENCYPART_SIBL
(0,8),(0,13),0.0174129 # DEPENDENCYPART_SIBL
(0,8),(0,14),-0.0232009 # DEPENDENCYPART_SIBL
(0,8),(0,15),0.015284 # DEPENDENCYPART_SIBL
(0,8),(0,16),0.0200658 # DEPENDENCYPART_SIBL
(0,8),(0,17),-0.109583 # DEPENDENCYPART_SIBL
(0,8),(0,18),-0.0154624 # DEPENDENCYPART_SIBL
(0,8),(0,19),-0.0739545 # DEPENDENCYPART_SIBL
(0,8),(0,21),0.0174129 # DEPENDENCYPART_SIBL
(0,8),(0,22),0.0297542 # DEPENDENCYPART_SIBL
(0,8),(0,25),-0.0377717 # DEPENDENCYPART_SIBL
(0,8),(0,26),-0.0269841 # DEPENDENCYPART_SIBL
(0,8),(0,27),-0.112592 # DEPENDENCYPART_SIBL
(0,8),(0,29),0.0174129 # DEPENDENCYPART_SIBL
(0,8),(0,30),-0.0825902 # DEPENDENCYPART_SIBL
(0,9),(0,10),-0.0465848 # DEPENDENCYPART_SIBL
(0,9),(0,11),-0.11791 # DEPENDENCYPART_SIBL
(0,9),(0,12),-0.005745 # DEPENDENCYPART_SIBL
(0,9),(0,13),-0.005745 # DEPENDENCYPART_SIBL
(0,9),(0,14),-0.117439 # DEPENDENCYPART_SIBL
(0,9),(0,15),0.00555712 # DEPENDENCYPART_SIBL
(0,9),(0,16),0.00418307 # DEPENDENCYPART_SIBL
(0,9),(0,17),0.000374342 # DEPENDENCYPART_SIBL
(0,9),(0,18),-0.133959 # DEPENDENCYPART_SIBL
(0,9),(0,19),-0.0465848 # DEPENDENCYPART_SIBL
(0,9),(0,21),-0.005745 # DEPENDENCYPART_SIBL
(0,9),(0,22),-0.0182703 # DEPENDENCYPART_SIBL
(0,9),(0,25),-0.144641 # DEPENDENCYPART_SIBL
(0,9),(0,26),-0.0491616 # DEPENDENCYPART_SIBL
(0,9),(0,27),-0.004521 # DEPENDENCYPART_SIBL
(0,9),(0,29),-0.005745 # DEPENDENCYPART_SIBL
(0,9),(0,30),-0.0694266 # DEPENDENCYPART_SIBL
(0,10),(0,11),-0.179412 # DEPENDENCYPART_SIBL
(0,10),(0,12),-0.202026 # DEPENDENCYPART_SIBL
(0,10),(0,13),-0.202026 # DEPENDENCYPART_SIBL
(0,10),(0,14),-0.293028 # DEPENDENCYPART_SIBL
(0,10),(0,15),-0.179268 # DEPENDENCYPART_SIBL
(0,10),(0,16),-0.107489 # DEPENDENCYPART_SIBL
(0,10),(0,17),-0.231843 # DEPENDENCYPART_SIBL
(0,10),(0,18),-0.327759 # DEPENDENCYPART_SIBL
(0,10),(0,19),-0.413823 # DEPENDENCYPART_SIBL
(0,10),(0,21),-0.202026 # DEPENDENCYPART_SIBL
(0,10),(0,22),-0.283023 # DEPENDENCYPART_SIBL
(0,10),(0,25),-0.307572 # DEPENDENCYPART_SIBL
(0,10),(0,26),-0.169723 # DEPENDENCYPART_SIBL
(0,10),(0,27),-0.221187 # DEPENDENCYPART_SIBL
(0,10),(0,29),-0.202026 # DEPENDENCYPART_SIBL
(0,10),(0,30),-0.340789 # DEPENDENCYPART_SIBL
(0,11),(0,12),-0.0588435 # DEPENDENCYPART_SIBL
(0,11),(0,13),-0.0588435 # DEPENDENCYPART_SIBL
(0,11),(0,14),-0.0976101 # DEPENDENCYPART_SIBL
(0,11),(0,15),0.0155024 # DEPENDENCYPART_SIBL
(0,11),(0,16),0.0698336 # DEPENDENCYPART_SIBL
(0,11),(0,17),-0.043573 # DEPENDENCYPART_SIBL
(0,11),(0,18),-0.104389 # DEPENDENCYPART_SIBL
(0,11),(0,19),0.0388895 # DEPENDENCYPART_SIBL
(0,11),(0,21),-0.0588435 # DEPENDENCYPART_SIBL
(0,11),(0,22),0.122302 # DEPENDENCYPART_SIBL
(0,11),(0,25),-0.121171 # DEPENDENCYPART_SIBL
(0,11),(0,26),-0.0131486 # DEPENDENCYPART_SIBL
(0,11),(0,27),-0.0635258 # DEPENDENCYPART_SIBL
(0,11),(0,29),-0.0588435 # DEPENDENCYPART_SIBL
(0,11),(0,30),-0.0365986 # DEPENDENCYPART_SIBL
(0,12),(0,13),0.0509439 # DEPENDENCYPART_SIBL
(0,12),(0,14),-0.112279 # DEPENDENCYPART_SIBL
(0,12),(0,15),0.0160386 # DEPENDENCYPART_SIBL
(0,12),(0,16),0.0553243 # DEPENDENCYPART_SIBL
(0,12),(0,17),-0.0808976 # DEPENDENCYPART_SIBL
(0,12),(0,18),-0.15112 # DEPENDENCYPART_SIBL
(0,12),(0,19),-0.13484 # DEPENDENCYPART_SIBL
(0,12),(0,21),0.0509439 # DEPENDENCYPART_SIBL
(0,12),(0,22),0.0371132 # DEPENDENCYPART_SIBL
(0,12),(0,25),-0.126828 # DEPENDENCYPART_SIBL
(0,12),(0,26),-0.0478016 # DEPENDENCYPART_SIBL
(0,12),(0,27),-0.0728182 # DEPENDENCYPART_SIBL
(0,12),(0,29),0.0509439 # DEPENDENCYPART_SIBL
(0,12),(0,30),-0.174982 # DEPENDENCYPART_SIBL
(0,13),(0,14),-0.112279 # DEPENDENCYPART_SIBL
(0,13),(0,15),0.0160386 # DEPENDENCYPART_SIBL
(0,13),(0,16),0.0553243 # DEPENDENCYPART_SIBL
(0,13),(0,17),-0.0808976 # DEPENDENCYPART_SIBL
(0,13),(0,18),-0.15112 # DEPENDENCYPART_SIBL
(0,13),(0,19),-0.13484 # DEPENDENCYPART_SIBL
(0,13),(0,21),0.0509439 # DEPENDENCYPART_SIBL
(0,13),(0,22),0.0371132 # DEPENDENCYPART_SIBL
(0,13),(0,25),-0.126828 # DEPENDENCYPART_SIBL
(0,13),(0,26),-0.0478016 # DEPENDENCYPART_SIBL
(0,13),(0,27),-0.0728182 # DEPENDENCYPART_SIBL
(0,13),(0,29),0.0509439 # DEPENDENCYPART_SIBL
(0,13),(0,30),-0.174982 # DEPENDENCYPART_SIBL
(0,14),(0,15),0.0056797 # DEPENDENCYPART_SIBL
(0,14),(0,16),0.00430564 # DEPENDENCYPART_SIBL
(0,14),(0,17),0.000497043 # DEPENDENCYPART_SIBL
(0,14),(0,18),-0.133654 # DEPENDENCYPART_SIBL
(0,14),(0,19),-0.0464622 # DEPENDENCYPART_SIBL
(0,14),(0,21),-0.00562242 # DEPENDENCYPART_SIBL
(0,14),(0,22),-0.0181478 # DEPENDENCYPART_SIBL
(0,14),(0,25),-0.144336 # DEPENDENCYPART_SIBL
