# _root_ hala , aznarri " doluminik sentituena " helarazi dio chiracek , eta jauregiren senide eta lagunei " frantziaren laguntasuna " helarazteko eskaera egin dio .
#goldHeads=0,3,8,3,8,5,6,12,8,8,10,0,14,15,21,15,16,19,21,19,22,23,12,23,24,
#predictedHeads=0,3,8,3,6,8,6,12,8,8,10,0,14,15,23,15,16,19,21,19,22,23,12,23,24,
(12,23),-0.264264 # DEPENDENCYPART_ARC
(13,14),0.173145 # DEPENDENCYPART_ARC
(14,1),-1.14209 # DEPENDENCYPART_ARC
(14,10),-0.99609 # DEPENDENCYPART_ARC
(14,11),-1.33185 # DEPENDENCYPART_ARC
(14,12),-0.605023 # DEPENDENCYPART_ARC
(14,13),0.685192 # DEPENDENCYPART_ARC
(14,15),0.192149 # DEPENDENCYPART_ARC
(14,16),-0.0724626 # DEPENDENCYPART_ARC
(14,18),-0.852545 # DEPENDENCYPART_ARC
(14,21),-0.681949 # DEPENDENCYPART_ARC
(15,1),-1.02421 # DEPENDENCYPART_ARC
(15,3),-1.03349 # DEPENDENCYPART_ARC
(15,5),-1.04927 # DEPENDENCYPART_ARC
(15,6),-0.901864 # DEPENDENCYPART_ARC
(15,8),-0.459596 # DEPENDENCYPART_ARC
(15,9),-1.11496 # DEPENDENCYPART_ARC
(15,10),-0.781375 # DEPENDENCYPART_ARC
(15,11),-1.40595 # DEPENDENCYPART_ARC
(15,12),-0.210326 # DEPENDENCYPART_ARC
(15,13),-0.304783 # DEPENDENCYPART_ARC
(15,14),1.40952 # DEPENDENCYPART_ARC
(15,16),0.966937 # DEPENDENCYPART_ARC
(15,18),-0.372415 # DEPENDENCYPART_ARC
(15,19),-0.26743 # DEPENDENCYPART_ARC
(15,21),-0.744398 # DEPENDENCYPART_ARC
(15,22),-0.523954 # DEPENDENCYPART_ARC
(15,23),-0.751487 # DEPENDENCYPART_ARC
(16,13),-1.537 # DEPENDENCYPART_ARC
(16,14),-1.54974 # DEPENDENCYPART_ARC
(16,15),-0.479526 # DEPENDENCYPART_ARC
(16,17),1.04566 # DEPENDENCYPART_ARC
(16,19),-0.908228 # DEPENDENCYPART_ARC
(16,22),-1.01783 # DEPENDENCYPART_ARC
(16,23),-1.35923 # DEPENDENCYPART_ARC
(17,13),-1.13434 # DEPENDENCYPART_ARC
(17,18),-0.525202 # DEPENDENCYPART_ARC
(17,19),-1.18403 # DEPENDENCYPART_ARC
(18,11),-1.69312 # DEPENDENCYPART_ARC
(18,19),0.294646 # DEPENDENCYPART_ARC
(19,1),-0.951882 # DEPENDENCYPART_ARC
(19,12),-0.978671 # DEPENDENCYPART_ARC
(19,13),-0.467996 # DEPENDENCYPART_ARC
(19,14),-1.0638 # DEPENDENCYPART_ARC
(19,15),-0.627046 # DEPENDENCYPART_ARC
(19,16),-2.1924 # DEPENDENCYPART_ARC
(19,18),1.52322 # DEPENDENCYPART_ARC
(19,20),1.309 # DEPENDENCYPART_ARC
(19,21),-1.01135 # DEPENDENCYPART_ARC
(19,22),-0.917575 # DEPENDENCYPART_ARC
(19,24),-1.15025 # DEPENDENCYPART_ARC
(19,25),-0.904108 # DEPENDENCYPART_ARC
(20,13),-1.13116 # DEPENDENCYPART_ARC
(20,18),-1.04582 # DEPENDENCYPART_ARC
(21,3),-1.12615 # DEPENDENCYPART_ARC
(21,5),-0.841668 # DEPENDENCYPART_ARC
(21,6),-1.02923 # DEPENDENCYPART_ARC
(21,10),-0.888753 # DEPENDENCYPART_ARC
(21,11),-1.47893 # DEPENDENCYPART_ARC
(21,12),-0.375869 # DEPENDENCYPART_ARC
(21,13),-1.19356 # DEPENDENCYPART_ARC
(21,14),-0.942831 # DEPENDENCYPART_ARC
(21,15),-0.270601 # DEPENDENCYPART_ARC
(21,18),-0.489603 # DEPENDENCYPART_ARC
(21,19),0.933478 # DEPENDENCYPART_ARC
(21,22),-1.02631 # DEPENDENCYPART_ARC
(21,23),-1.22561 # DEPENDENCYPART_ARC
(21,24),-2.78445 # DEPENDENCYPART_ARC
(22,1),-0.652079 # DEPENDENCYPART_ARC
(22,12),-0.687598 # DEPENDENCYPART_ARC
(22,15),-0.492192 # DEPENDENCYPART_ARC
(22,16),-2.192 # DEPENDENCYPART_ARC
(22,18),-0.0301742 # DEPENDENCYPART_ARC
(22,19),-2.04982 # DEPENDENCYPART_ARC
(22,21),2.17268 # DEPENDENCYPART_ARC
(22,23),-1.08108 # DEPENDENCYPART_ARC
(22,24),-0.22613 # DEPENDENCYPART_ARC
(22,25),-0.601823 # DEPENDENCYPART_ARC
(23,1),-1.38158 # DEPENDENCYPART_ARC
(23,3),-1.78748 # DEPENDENCYPART_ARC
(23,5),-1.79078 # DEPENDENCYPART_ARC
(23,6),-0.688353 # DEPENDENCYPART_ARC
(23,8),-0.682595 # DEPENDENCYPART_ARC
(23,10),-0.920899 # DEPENDENCYPART_ARC
(23,11),-1.73606 # DEPENDENCYPART_ARC
(23,12),-0.644307 # DEPENDENCYPART_ARC
(23,13),-1.8609 # DEPENDENCYPART_ARC
(23,14),-1.38463 # DEPENDENCYPART_ARC
(23,15),-0.163475 # DEPENDENCYPART_ARC
(23,16),-0.774924 # DEPENDENCYPART_ARC
(23,18),-1.12913 # DEPENDENCYPART_ARC
(23,19),-0.229643 # DEPENDENCYPART_ARC
(23,21),-0.138927 # DEPENDENCYPART_ARC
(23,22),1.65881 # DEPENDENCYPART_ARC
(23,24),0.964703 # DEPENDENCYPART_ARC
(23,25),-0.661124 # DEPENDENCYPART_ARC
(24,22),-0.81525 # DEPENDENCYPART_ARC
(24,23),-1.4785 # DEPENDENCYPART_ARC
(24,25),1.53062 # DEPENDENCYPART_ARC
(25,22),-0.862536 # DEPENDENCYPART_ARC
(25,23),-0.86065 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.101279 # DEPENDENCYPART_SIBL
(0,1),(0,3),0.0964643 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.136153 # DEPENDENCYPART_SIBL
(0,1),(0,5),0.0964621 # DEPENDENCYPART_SIBL
(0,1),(0,6),0.0415478 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.136153 # DEPENDENCYPART_SIBL
(0,1),(0,8),0.0289419 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.0721125 # DEPENDENCYPART_SIBL
(0,1),(0,10),0.0964643 # DEPENDENCYPART_SIBL
(0,1),(0,11),-0.101279 # DEPENDENCYPART_SIBL
(0,1),(0,12),-0.0836191 # DEPENDENCYPART_SIBL
(0,1),(0,13),0.0964643 # DEPENDENCYPART_SIBL
(0,1),(0,14),0.0964643 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.0836191 # DEPENDENCYPART_SIBL
(0,1),(0,16),0.0662314 # DEPENDENCYPART_SIBL
(0,1),(0,17),-0.136153 # DEPENDENCYPART_SIBL
(0,1),(0,18),0.0964634 # DEPENDENCYPART_SIBL
(0,1),(0,19),0.0964643 # DEPENDENCYPART_SIBL
(0,1),(0,20),-0.136153 # DEPENDENCYPART_SIBL
(0,1),(0,21),0.0415478 # DEPENDENCYPART_SIBL
(0,1),(0,22),0.0956118 # DEPENDENCYPART_SIBL
(0,1),(0,23),0.05435 # DEPENDENCYPART_SIBL
(0,1),(0,24),-0.0721125 # DEPENDENCYPART_SIBL
(0,1),(0,25),-0.116142 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.202026 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.370046 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.202028 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.293028 # DEPENDENCYPART_SIBL
(0,2),(0,7),-0.370046 # DEPENDENCYPART_SIBL
(0,2),(0,8),-0.308755 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.221347 # DEPENDENCYPART_SIBL
(0,2),(0,10),-0.202026 # DEPENDENCYPART_SIBL
(0,2),(0,11),-0.413823 # DEPENDENCYPART_SIBL
(0,2),(0,12),-0.226163 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.202026 # DEPENDENCYPART_SIBL
(0,2),(0,14),-0.202026 # DEPENDENCYPART_SIBL
(0,2),(0,15),-0.226163 # DEPENDENCYPART_SIBL
(0,2),(0,16),-0.134929 # DEPENDENCYPART_SIBL
(0,2),(0,17),-0.370046 # DEPENDENCYPART_SIBL
(0,2),(0,18),-0.202027 # DEPENDENCYPART_SIBL
(0,2),(0,19),-0.202026 # DEPENDENCYPART_SIBL
(0,2),(0,20),-0.370046 # DEPENDENCYPART_SIBL
(0,2),(0,21),-0.293028 # DEPENDENCYPART_SIBL
(0,2),(0,22),-0.203797 # DEPENDENCYPART_SIBL
(0,2),(0,23),-0.327759 # DEPENDENCYPART_SIBL
(0,2),(0,24),-0.221347 # DEPENDENCYPART_SIBL
(0,2),(0,25),-0.340789 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.198273 # DEPENDENCYPART_SIBL
(0,3),(0,5),0.0499502 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.112279 # DEPENDENCYPART_SIBL
(0,3),(0,7),-0.198273 # DEPENDENCYPART_SIBL
(0,3),(0,8),-0.122623 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.0870302 # DEPENDENCYPART_SIBL
(0,3),(0,10),0.0504403 # DEPENDENCYPART_SIBL
(0,3),(0,11),-0.13484 # DEPENDENCYPART_SIBL
(0,3),(0,12),-0.0878857 # DEPENDENCYPART_SIBL
(0,3),(0,13),0.0504403 # DEPENDENCYPART_SIBL
(0,3),(0,14),0.0504402 # DEPENDENCYPART_SIBL
(0,3),(0,15),-0.0878857 # DEPENDENCYPART_SIBL
(0,3),(0,16),0.016844 # DEPENDENCYPART_SIBL
(0,3),(0,17),-0.198273 # DEPENDENCYPART_SIBL
(0,3),(0,18),0.0504393 # DEPENDENCYPART_SIBL
(0,3),(0,19),0.0504403 # DEPENDENCYPART_SIBL
(0,3),(0,20),-0.198273 # DEPENDENCYPART_SIBL
(0,3),(0,21),-0.112279 # DEPENDENCYPART_SIBL
(0,3),(0,22),0.0440707 # DEPENDENCYPART_SIBL
(0,3),(0,23),-0.15112 # DEPENDENCYPART_SIBL
(0,3),(0,24),-0.0870302 # DEPENDENCYPART_SIBL
(0,3),(0,25),-0.174982 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.133327 # DEPENDENCYPART_SIBL
(0,4),(0,6),-0.0442218 # DEPENDENCYPART_SIBL
(0,4),(0,7),-0.181443 # DEPENDENCYPART_SIBL
(0,4),(0,8),-0.0577834 # DEPENDENCYPART_SIBL
(0,4),(0,9),-0.0191383 # DEPENDENCYPART_SIBL
(0,4),(0,10),-0.133324 # DEPENDENCYPART_SIBL
(0,4),(0,11),-0.216774 # DEPENDENCYPART_SIBL
(0,4),(0,12),-0.231979 # DEPENDENCYPART_SIBL
(0,4),(0,13),-0.133324 # DEPENDENCYPART_SIBL
(0,4),(0,14),-0.133324 # DEPENDENCYPART_SIBL
(0,4),(0,15),-0.231979 # DEPENDENCYPART_SIBL
(0,4),(0,16),-0.0159454 # DEPENDENCYPART_SIBL
(0,4),(0,17),-0.181443 # DEPENDENCYPART_SIBL
(0,4),(0,18),-0.133325 # DEPENDENCYPART_SIBL
(0,4),(0,19),-0.133324 # DEPENDENCYPART_SIBL
(0,4),(0,20),-0.181443 # DEPENDENCYPART_SIBL
(0,4),(0,21),-0.0442218 # DEPENDENCYPART_SIBL
(0,4),(0,22),-0.134833 # DEPENDENCYPART_SIBL
(0,4),(0,23),-0.0526463 # DEPENDENCYPART_SIBL
(0,4),(0,24),-0.0191383 # DEPENDENCYPART_SIBL
(0,4),(0,25),-0.161528 # DEPENDENCYPART_SIBL
(0,5),(0,6),-0.112279 # DEPENDENCYPART_SIBL
(0,5),(0,7),-0.198273 # DEPENDENCYPART_SIBL
(0,5),(0,8),-0.122623 # DEPENDENCYPART_SIBL
(0,5),(0,9),-0.0870302 # DEPENDENCYPART_SIBL
(0,5),(0,10),0.0509439 # DEPENDENCYPART_SIBL
(0,5),(0,11),-0.13484 # DEPENDENCYPART_SIBL
(0,5),(0,12),-0.0875943 # DEPENDENCYPART_SIBL
(0,5),(0,13),0.0509439 # DEPENDENCYPART_SIBL
(0,5),(0,14),0.0509439 # DEPENDENCYPART_SIBL
(0,5),(0,15),-0.0875943 # DEPENDENCYPART_SIBL
(0,5),(0,16),0.016844 # DEPENDENCYPART_SIBL
(0,5),(0,17),-0.198273 # DEPENDENCYPART_SIBL
(0,5),(0,18),0.0509429 # DEPENDENCYPART_SIBL
(0,5),(0,19),0.0509439 # DEPENDENCYPART_SIBL
(0,5),(0,20),-0.198273 # DEPENDENCYPART_SIBL
(0,5),(0,21),-0.112279 # DEPENDENCYPART_SIBL
(0,5),(0,22),0.0445743 # DEPENDENCYPART_SIBL
(0,5),(0,23),-0.15112 # DEPENDENCYPART_SIBL
(0,5),(0,24),-0.0870302 # DEPENDENCYPART_SIBL
(0,5),(0,25),-0.174982 # DEPENDENCYPART_SIBL
(0,6),(0,7),-0.0808903 # DEPENDENCYPART_SIBL
(0,6),(0,8),-0.127664 # DEPENDENCYPART_SIBL
(0,6),(0,9),-0.0264914 # DEPENDENCYPART_SIBL
(0,6),(0,10),-0.00562242 # DEPENDENCYPART_SIBL
(0,6),(0,11),-0.0464622 # DEPENDENCYPART_SIBL
(0,6),(0,12),-0.126699 # DEPENDENCYPART_SIBL
(0,6),(0,13),-0.00562242 # DEPENDENCYPART_SIBL
(0,6),(0,14),-0.00562243 # DEPENDENCYPART_SIBL
(0,6),(0,15),-0.126699 # DEPENDENCYPART_SIBL
(0,6),(0,16),-0.00349448 # DEPENDENCYPART_SIBL
(0,6),(0,17),-0.0808903 # DEPENDENCYPART_SIBL
(0,6),(0,18),-0.00562304 # DEPENDENCYPART_SIBL
(0,6),(0,19),-0.00562242 # DEPENDENCYPART_SIBL
(0,6),(0,20),-0.0808903 # DEPENDENCYPART_SIBL
(0,6),(0,21),-0.117133 # DEPENDENCYPART_SIBL
(0,6),(0,22),-0.00640383 # DEPENDENCYPART_SIBL
(0,6),(0,23),-0.133654 # DEPENDENCYPART_SIBL
(0,6),(0,24),-0.0264914 # DEPENDENCYPART_SIBL
(0,6),(0,25),-0.0693041 # DEPENDENCYPART_SIBL
(0,7),(0,8),-0.0577834 # DEPENDENCYPART_SIBL
(0,7),(0,9),-0.0191383 # DEPENDENCYPART_SIBL
(0,7),(0,10),-0.133324 # DEPENDENCYPART_SIBL
(0,7),(0,11),-0.216774 # DEPENDENCYPART_SIBL
(0,7),(0,12),-0.231979 # DEPENDENCYPART_SIBL
(0,7),(0,13),-0.133324 # DEPENDENCYPART_SIBL
(0,7),(0,14),-0.133324 # DEPENDENCYPART_SIBL
(0,7),(0,15),-0.231979 # DEPENDENCYPART_SIBL
(0,7),(0,16),-0.0159454 # DEPENDENCYPART_SIBL
(0,7),(0,17),-0.181443 # DEPENDENCYPART_SIBL
(0,7),(0,18),-0.133325 # DEPENDENCYPART_SIBL
(0,7),(0,19),-0.133324 # DEPENDENCYPART_SIBL
(0,7),(0,20),-0.181443 # DEPENDENCYPART_SIBL
(0,7),(0,21),-0.0442218 # DEPENDENCYPART_SIBL
(0,7),(0,22),-0.134833 # DEPENDENCYPART_SIBL
(0,7),(0,23),-0.0526463 # DEPENDENCYPART_SIBL
(0,7),(0,24),-0.0191383 # DEPENDENCYPART_SIBL
(0,7),(0,25),-0.161528 # DEPENDENCYPART_SIBL
(0,8),(0,9),-0.0266879 # DEPENDENCYPART_SIBL
(0,8),(0,10),-0.00589121 # DEPENDENCYPART_SIBL
(0,8),(0,11),-0.0466771 # DEPENDENCYPART_SIBL
(0,8),(0,12),-0.12705 # DEPENDENCYPART_SIBL
(0,8),(0,13),-0.00589121 # DEPENDENCYPART_SIBL
(0,8),(0,14),-0.00589122 # DEPENDENCYPART_SIBL
(0,8),(0,15),-0.12705 # DEPENDENCYPART_SIBL
(0,8),(0,16),-0.00368541 # DEPENDENCYPART_SIBL
(0,8),(0,17),-0.0811052 # DEPENDENCYPART_SIBL
(0,8),(0,18),-0.00589183 # DEPENDENCYPART_SIBL
(0,8),(0,19),-0.00589121 # DEPENDENCYPART_SIBL
(0,8),(0,20),-0.0811052 # DEPENDENCYPART_SIBL
(0,8),(0,21),-0.117324 # DEPENDENCYPART_SIBL
(0,8),(0,22),-0.00667262 # DEPENDENCYPART_SIBL
(0,8),(0,23),-0.133845 # DEPENDENCYPART_SIBL
(0,8),(0,24),-0.0266879 # DEPENDENCYPART_SIBL
(0,8),(0,25),-0.0695189 # DEPENDENCYPART_SIBL
(0,9),(0,10),0.0202416 # DEPENDENCYPART_SIBL
(0,9),(0,11),-0.0793206 # DEPENDENCYPART_SIBL
(0,9),(0,12),-0.0588967 # DEPENDENCYPART_SIBL
(0,9),(0,13),0.0202416 # DEPENDENCYPART_SIBL
(0,9),(0,14),0.0202416 # DEPENDENCYPART_SIBL
(0,9),(0,15),-0.0588967 # DEPENDENCYPART_SIBL
(0,9),(0,16),0.0112312 # DEPENDENCYPART_SIBL
(0,9),(0,17),-0.113137 # DEPENDENCYPART_SIBL
(0,9),(0,18),0.0202409 # DEPENDENCYPART_SIBL
(0,9),(0,19),0.0202416 # DEPENDENCYPART_SIBL
(0,9),(0,20),-0.113137 # DEPENDENCYPART_SIBL
(0,9),(0,21),-0.0214866 # DEPENDENCYPART_SIBL
(0,9),(0,22),0.0238414 # DEPENDENCYPART_SIBL
(0,9),(0,23),-0.0137511 # DEPENDENCYPART_SIBL
(0,9),(0,24),-0.126929 # DEPENDENCYPART_SIBL
(0,9),(0,25),-0.0875598 # DEPENDENCYPART_SIBL
(0,10),(0,11),-0.13484 # DEPENDENCYPART_SIBL
(0,10),(0,12),-0.0875943 # DEPENDENCYPART_SIBL
(0,10),(0,13),0.0509439 # DEPENDENCYPART_SIBL
(0,10),(0,14),0.0509439 # DEPENDENCYPART_SIBL
(0,10),(0,15),-0.0875943 # DEPENDENCYPART_SIBL
(0,10),(0,16),0.016844 # DEPENDENCYPART_SIBL
(0,10),(0,17),-0.198273 # DEPENDENCYPART_SIBL
(0,10),(0,18),0.0509429 # DEPENDENCYPART_SIBL
(0,10),(0,19),0.0509439 # DEPENDENCYPART_SIBL
(0,10),(0,20),-0.198273 # DEPENDENCYPART_SIBL
(0,10),(0,21),-0.112279 # DEPENDENCYPART_SIBL
(0,10),(0,22),0.0445743 # DEPENDENCYPART_SIBL
(0,10),(0,23),-0.15112 # DEPENDENCYPART_SIBL
(0,10),(0,24),-0.0870302 # DEPENDENCYPART_SIBL
(0,10),(0,25),-0.174982 # DEPENDENCYPART_SIBL
(0,11),(0,12),-0.226163 # DEPENDENCYPART_SIBL
(0,11),(0,13),-0.202026 # DEPENDENCYPART_SIBL
(0,11),(0,14),-0.202026 # DEPENDENCYPART_SIBL
(0,11),(0,15),-0.226163 # DEPENDENCYPART_SIBL
(0,11),(0,16),-0.134929 # DEPENDENCYPART_SIBL
(0,11),(0,17),-0.370046 # DEPENDENCYPART_SIBL
(0,11),(0,18),-0.202027 # DEPENDENCYPART_SIBL
(0,11),(0,19),-0.202026 # DEPENDENCYPART_SIBL
(0,11),(0,20),-0.370046 # DEPENDENCYPART_SIBL
(0,11),(0,21),-0.293028 # DEPENDENCYPART_SIBL
(0,11),(0,22),-0.203797 # DEPENDENCYPART_SIBL
(0,11),(0,23),-0.327759 # DEPENDENCYPART_SIBL
(0,11),(0,24),-0.221347 # DEPENDENCYPART_SIBL
(0,11),(0,25),-0.340789 # DEPENDENCYPART_SIBL
(0,12),(0,13),-0.0223684 # DEPENDENCYPART_SIBL
(0,12),(0,14),-0.0223684 # DEPENDENCYPART_SIBL
(0,12),(0,15),-0.0395181 # DEPENDENCYPART_SIBL
(0,12),(0,16),0.0246619 # DEPENDENCYPART_SIBL
(0,12),(0,17),-0.0798852 # DEPENDENCYPART_SIBL
(0,12),(0,18),-0.0223695 # DEPENDENCYPART_SIBL
(0,12),(0,19),-0.0223684 # DEPENDENCYPART_SIBL
(0,12),(0,20),-0.0798852 # DEPENDENCYPART_SIBL
(0,12),(0,21),-0.032339 # DEPENDENCYPART_SIBL
(0,12),(0,22),-0.023124 # DEPENDENCYPART_SIBL
(0,12),(0,23),-0.0422199 # DEPENDENCYPART_SIBL
(0,12),(0,24),-0.000710894 # DEPENDENCYPART_SIBL
(0,12),(0,25),-0.0473547 # DEPENDENCYPART_SIBL
(0,13),(0,14),0.0508011 # DEPENDENCYPART_SIBL
(0,13),(0,15),-0.0876685 # DEPENDENCYPART_SIBL
(0,13),(0,16),0.0167698 # DEPENDENCYPART_SIBL
(0,13),(0,17),-0.198347 # DEPENDENCYPART_SIBL
(0,13),(0,18),0.0508002 # DEPENDENCYPART_SIBL
(0,13),(0,19),0.0508012 # DEPENDENCYPART_SIBL
(0,13),(0,20),-0.198347 # DEPENDENCYPART_SIBL
(0,13),(0,21),-0.112353 # DEPENDENCYPART_SIBL
(0,13),(0,22),0.0444316 # DEPENDENCYPART_SIBL
(0,13),(0,23),-0.151194 # DEPENDENCYPART_SIBL
(0,13),(0,24),-0.0871043 # DEPENDENCYPART_SIBL
(0,13),(0,25),-0.175056 # DEPENDENCYPART_SIBL
(0,14),(0,15),-0.0875944 # DEPENDENCYPART_SIBL
(0,14),(0,16),0.0168438 # DEPENDENCYPART_SIBL
(0,14),(0,17),-0.198273 # DEPENDENCYPART_SIBL
(0,14),(0,18),0.0509426 # DEPENDENCYPART_SIBL
(0,14),(0,19),0.0509435 # DEPENDENCYPART_SIBL
(0,14),(0,20),-0.198273 # DEPENDENCYPART_SIBL
(0,14),(0,21),-0.112279 # DEPENDENCYPART_SIBL
(0,14),(0,22),0.044574 # DEPENDENCYPART_SIBL
(0,14),(0,23),-0.15112 # DEPENDENCYPART_SIBL
(0,14),(0,24),-0.0870303 # DEPENDENCYPART_SIBL
(0,14),(0,25),-0.174982 # DEPENDENCYPART_SIBL
(0,15),(0,16),0.0246619 # DEPENDENCYPART_SIBL
(0,15),(0,17),-0.0798852 # DEPENDENCYPART_SIBL
(0,15),(0,18),-0.0223695 # DEPENDENCYPART_SIBL
(0,15),(0,19),-0.0223684 # DEPENDENCYPART_SIBL
(0,15),(0,20),-0.0798852 # DEPENDENCYPART_SIBL
