# _root_ umeak ginen artean , eta gauzak betirako zirela uste_genuen , eta ziur nengoen gure konplizitatea ez zuela ezerk zirdinduko .
#goldHeads=2,5,2,3,0,8,8,9,5,9,0,13,5,15,19,19,19,19,13,19,
#predictedHeads=2,5,2,3,0,8,8,9,11,9,0,13,11,15,19,19,19,19,13,19,
(13,6),-0.174398 # DEPENDENCYPART_ARC
(13,7),-0.301543 # DEPENDENCYPART_ARC
(13,8),-0.252076 # DEPENDENCYPART_ARC
(13,9),-0.487862 # DEPENDENCYPART_ARC
(13,10),-0.588908 # DEPENDENCYPART_ARC
(13,11),0.00815146 # DEPENDENCYPART_ARC
(13,12),1.30662 # DEPENDENCYPART_ARC
(13,14),0.0702161 # DEPENDENCYPART_ARC
(13,15),0.150707 # DEPENDENCYPART_ARC
(13,16),-0.551816 # DEPENDENCYPART_ARC
(13,17),-0.798503 # DEPENDENCYPART_ARC
(13,19),-0.213923 # DEPENDENCYPART_ARC
(14,15),-0.474656 # DEPENDENCYPART_ARC
(15,1),-1.96254 # DEPENDENCYPART_ARC
(15,3),-0.86786 # DEPENDENCYPART_ARC
(15,6),-1.59425 # DEPENDENCYPART_ARC
(15,9),-1.07613 # DEPENDENCYPART_ARC
(15,10),-1.20648 # DEPENDENCYPART_ARC
(15,11),-0.709203 # DEPENDENCYPART_ARC
(15,12),-0.912141 # DEPENDENCYPART_ARC
(15,13),-0.273266 # DEPENDENCYPART_ARC
(15,14),1.53805 # DEPENDENCYPART_ARC
(15,16),-0.762633 # DEPENDENCYPART_ARC
(15,17),-1.31778 # DEPENDENCYPART_ARC
(15,19),-1.97431 # DEPENDENCYPART_ARC
(15,20),-1.37273 # DEPENDENCYPART_ARC
(16,15),-0.54759 # DEPENDENCYPART_ARC
(17,14),-0.531315 # DEPENDENCYPART_ARC
(17,15),-0.605405 # DEPENDENCYPART_ARC
(17,16),-0.662844 # DEPENDENCYPART_ARC
(17,19),-1.07481 # DEPENDENCYPART_ARC
(18,15),-0.474577 # DEPENDENCYPART_ARC
(18,16),-0.0269868 # DEPENDENCYPART_ARC
(19,1),-0.56674 # DEPENDENCYPART_ARC
(19,2),-0.97151 # DEPENDENCYPART_ARC
(19,3),-0.796892 # DEPENDENCYPART_ARC
(19,4),-1.05133 # DEPENDENCYPART_ARC
(19,5),-0.522611 # DEPENDENCYPART_ARC
(19,6),-0.150789 # DEPENDENCYPART_ARC
(19,7),-0.695145 # DEPENDENCYPART_ARC
(19,8),-0.290751 # DEPENDENCYPART_ARC
(19,9),-1.03576 # DEPENDENCYPART_ARC
(19,10),-1.18145 # DEPENDENCYPART_ARC
(19,11),-0.43448 # DEPENDENCYPART_ARC
(19,12),-0.339484 # DEPENDENCYPART_ARC
(19,13),-0.781977 # DEPENDENCYPART_ARC
(19,14),-0.659957 # DEPENDENCYPART_ARC
(19,15),0.694493 # DEPENDENCYPART_ARC
(19,16),0.827779 # DEPENDENCYPART_ARC
(19,17),0.586913 # DEPENDENCYPART_ARC
(19,18),1.75398 # DEPENDENCYPART_ARC
(19,20),1.72927 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.0324393 # DEPENDENCYPART_SIBL
(0,1),(0,3),0.0219443 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.13484 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.0875943 # DEPENDENCYPART_SIBL
(0,1),(0,7),0.0264195 # DEPENDENCYPART_SIBL
(0,1),(0,8),-0.0393213 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.112279 # DEPENDENCYPART_SIBL
(0,1),(0,10),-0.13484 # DEPENDENCYPART_SIBL
(0,1),(0,11),-0.0875943 # DEPENDENCYPART_SIBL
(0,1),(0,12),0.0183958 # DEPENDENCYPART_SIBL
(0,1),(0,13),-0.0265652 # DEPENDENCYPART_SIBL
(0,1),(0,14),-0.00180103 # DEPENDENCYPART_SIBL
(0,1),(0,16),0.0553243 # DEPENDENCYPART_SIBL
(0,1),(0,17),-0.0543907 # DEPENDENCYPART_SIBL
(0,1),(0,18),-0.00272788 # DEPENDENCYPART_SIBL
(0,1),(0,19),-0.112279 # DEPENDENCYPART_SIBL
(0,1),(0,20),-0.174982 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.0495522 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.076376 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.0864273 # DEPENDENCYPART_SIBL
(0,2),(0,7),-0.0461517 # DEPENDENCYPART_SIBL
(0,2),(0,8),-0.0903237 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.178476 # DEPENDENCYPART_SIBL
(0,2),(0,10),-0.076376 # DEPENDENCYPART_SIBL
(0,2),(0,11),-0.0864273 # DEPENDENCYPART_SIBL
(0,2),(0,12),-0.0336021 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.0785804 # DEPENDENCYPART_SIBL
(0,2),(0,14),-0.061137 # DEPENDENCYPART_SIBL
(0,2),(0,16),-0.0291836 # DEPENDENCYPART_SIBL
(0,2),(0,17),-0.0649681 # DEPENDENCYPART_SIBL
(0,2),(0,18),-0.0620991 # DEPENDENCYPART_SIBL
(0,2),(0,19),-0.178476 # DEPENDENCYPART_SIBL
(0,2),(0,20),-0.106243 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.0704621 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.0587191 # DEPENDENCYPART_SIBL
(0,3),(0,7),-0.0159245 # DEPENDENCYPART_SIBL
(0,3),(0,8),0.00410029 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.0231449 # DEPENDENCYPART_SIBL
(0,3),(0,10),-0.0704621 # DEPENDENCYPART_SIBL
(0,3),(0,11),-0.0587191 # DEPENDENCYPART_SIBL
(0,3),(0,12),0.060737 # DEPENDENCYPART_SIBL
(0,3),(0,13),0.0137725 # DEPENDENCYPART_SIBL
(0,3),(0,14),0.082448 # DEPENDENCYPART_SIBL
(0,3),(0,16),0.141459 # DEPENDENCYPART_SIBL
(0,3),(0,17),-0.0399645 # DEPENDENCYPART_SIBL
(0,3),(0,18),0.0813591 # DEPENDENCYPART_SIBL
(0,3),(0,19),-0.0231449 # DEPENDENCYPART_SIBL
(0,3),(0,20),-0.0911068 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.226163 # DEPENDENCYPART_SIBL
(0,4),(0,7),-0.290997 # DEPENDENCYPART_SIBL
(0,4),(0,8),-0.196433 # DEPENDENCYPART_SIBL
(0,4),(0,9),-0.293028 # DEPENDENCYPART_SIBL
(0,4),(0,10),-0.413823 # DEPENDENCYPART_SIBL
(0,4),(0,11),-0.226163 # DEPENDENCYPART_SIBL
(0,4),(0,12),-0.122523 # DEPENDENCYPART_SIBL
(0,4),(0,13),-0.178412 # DEPENDENCYPART_SIBL
(0,4),(0,14),-0.191264 # DEPENDENCYPART_SIBL
(0,4),(0,16),-0.107489 # DEPENDENCYPART_SIBL
(0,4),(0,17),-0.196317 # DEPENDENCYPART_SIBL
(0,4),(0,18),-0.19148 # DEPENDENCYPART_SIBL
(0,4),(0,19),-0.293028 # DEPENDENCYPART_SIBL
(0,4),(0,20),-0.340789 # DEPENDENCYPART_SIBL
(0,5),(0,7),0.0843619 # DEPENDENCYPART_SIBL
(0,5),(0,8),-0.0716751 # DEPENDENCYPART_SIBL
(0,5),(0,9),-0.032339 # DEPENDENCYPART_SIBL
(0,5),(0,10),0.0156699 # DEPENDENCYPART_SIBL
(0,5),(0,11),-0.0395181 # DEPENDENCYPART_SIBL
(0,5),(0,12),0.0259329 # DEPENDENCYPART_SIBL
(0,5),(0,13),-0.0560644 # DEPENDENCYPART_SIBL
(0,5),(0,14),0.0734988 # DEPENDENCYPART_SIBL
(0,5),(0,16),0.0189221 # DEPENDENCYPART_SIBL
(0,5),(0,17),0.000520346 # DEPENDENCYPART_SIBL
(0,5),(0,18),0.0701758 # DEPENDENCYPART_SIBL
(0,5),(0,19),-0.032339 # DEPENDENCYPART_SIBL
(0,5),(0,20),-0.0473547 # DEPENDENCYPART_SIBL
(0,7),(0,8),0.00684312 # DEPENDENCYPART_SIBL
(0,7),(0,9),-0.0205213 # DEPENDENCYPART_SIBL
(0,7),(0,10),-0.068475 # DEPENDENCYPART_SIBL
(0,7),(0,11),-0.0567722 # DEPENDENCYPART_SIBL
(0,7),(0,12),0.0626425 # DEPENDENCYPART_SIBL
(0,7),(0,13),0.0165153 # DEPENDENCYPART_SIBL
(0,7),(0,14),0.0843534 # DEPENDENCYPART_SIBL
(0,7),(0,16),0.145363 # DEPENDENCYPART_SIBL
(0,7),(0,17),-0.0380591 # DEPENDENCYPART_SIBL
(0,7),(0,18),0.0832644 # DEPENDENCYPART_SIBL
(0,7),(0,19),-0.0205213 # DEPENDENCYPART_SIBL
(0,7),(0,20),-0.0891197 # DEPENDENCYPART_SIBL
(0,8),(0,9),-0.183199 # DEPENDENCYPART_SIBL
(0,8),(0,10),-0.0789445 # DEPENDENCYPART_SIBL
(0,8),(0,11),-0.084392 # DEPENDENCYPART_SIBL
(0,8),(0,12),-0.0362402 # DEPENDENCYPART_SIBL
(0,8),(0,13),-0.0815246 # DEPENDENCYPART_SIBL
(0,8),(0,14),-0.0634695 # DEPENDENCYPART_SIBL
(0,8),(0,16),-0.0317521 # DEPENDENCYPART_SIBL
(0,8),(0,17),-0.0678432 # DEPENDENCYPART_SIBL
(0,8),(0,18),-0.0644324 # DEPENDENCYPART_SIBL
(0,8),(0,19),-0.183199 # DEPENDENCYPART_SIBL
(0,8),(0,20),-0.108811 # DEPENDENCYPART_SIBL
(0,9),(0,10),-0.0464622 # DEPENDENCYPART_SIBL
(0,9),(0,11),-0.126699 # DEPENDENCYPART_SIBL
(0,9),(0,12),-9.77891e-05 # DEPENDENCYPART_SIBL
(0,9),(0,13),-0.0241052 # DEPENDENCYPART_SIBL
(0,9),(0,14),-0.0092515 # DEPENDENCYPART_SIBL
(0,9),(0,16),0.00430564 # DEPENDENCYPART_SIBL
(0,9),(0,17),0.0167797 # DEPENDENCYPART_SIBL
(0,9),(0,18),-0.0101564 # DEPENDENCYPART_SIBL
(0,9),(0,19),-0.117133 # DEPENDENCYPART_SIBL
(0,9),(0,20),-0.0693041 # DEPENDENCYPART_SIBL
(0,10),(0,11),-0.226163 # DEPENDENCYPART_SIBL
(0,10),(0,12),-0.122523 # DEPENDENCYPART_SIBL
(0,10),(0,13),-0.178412 # DEPENDENCYPART_SIBL
(0,10),(0,14),-0.191264 # DEPENDENCYPART_SIBL
(0,10),(0,16),-0.107489 # DEPENDENCYPART_SIBL
(0,10),(0,17),-0.196317 # DEPENDENCYPART_SIBL
(0,10),(0,18),-0.19148 # DEPENDENCYPART_SIBL
(0,10),(0,19),-0.293028 # DEPENDENCYPART_SIBL
(0,10),(0,20),-0.340789 # DEPENDENCYPART_SIBL
(0,11),(0,12),0.0259329 # DEPENDENCYPART_SIBL
(0,11),(0,13),-0.0560644 # DEPENDENCYPART_SIBL
(0,11),(0,14),0.0734988 # DEPENDENCYPART_SIBL
(0,11),(0,16),0.0189221 # DEPENDENCYPART_SIBL
(0,11),(0,17),0.000520346 # DEPENDENCYPART_SIBL
(0,11),(0,18),0.0701758 # DEPENDENCYPART_SIBL
(0,11),(0,19),-0.032339 # DEPENDENCYPART_SIBL
(0,11),(0,20),-0.0473547 # DEPENDENCYPART_SIBL
(0,12),(0,13),-0.0347694 # DEPENDENCYPART_SIBL
(0,12),(0,14),0.00456449 # DEPENDENCYPART_SIBL
(0,12),(0,16),0.0191193 # DEPENDENCYPART_SIBL
(0,12),(0,17),-0.0272537 # DEPENDENCYPART_SIBL
(0,12),(0,18),0.00364162 # DEPENDENCYPART_SIBL
(0,12),(0,19),-0.098356 # DEPENDENCYPART_SIBL
(0,12),(0,20),-0.0798058 # DEPENDENCYPART_SIBL
(0,13),(0,14),-0.06603 # DEPENDENCYPART_SIBL
(0,13),(0,16),-0.0343126 # DEPENDENCYPART_SIBL
(0,13),(0,17),-0.0699794 # DEPENDENCYPART_SIBL
(0,13),(0,18),-0.0669929 # DEPENDENCYPART_SIBL
(0,13),(0,19),-0.188613 # DEPENDENCYPART_SIBL
(0,13),(0,20),-0.112313 # DEPENDENCYPART_SIBL
(0,14),(0,16),0.122444 # DEPENDENCYPART_SIBL
(0,14),(0,17),0.0134736 # DEPENDENCYPART_SIBL
(0,14),(0,18),0.0578417 # DEPENDENCYPART_SIBL
(0,14),(0,19),-0.0103307 # DEPENDENCYPART_SIBL
(0,14),(0,20),0.0189735 # DEPENDENCYPART_SIBL
(0,16),(0,17),-0.0306216 # DEPENDENCYPART_SIBL
(0,16),(0,18),-0.0113324 # DEPENDENCYPART_SIBL
(0,16),(0,19),-0.0925869 # DEPENDENCYPART_SIBL
(0,16),(0,20),-0.0912671 # DEPENDENCYPART_SIBL
(0,17),(0,18),0.01057 # DEPENDENCYPART_SIBL
(0,17),(0,19),-0.0232009 # DEPENDENCYPART_SIBL
(0,17),(0,20),-0.0825902 # DEPENDENCYPART_SIBL
(0,18),(0,19),-0.00583566 # DEPENDENCYPART_SIBL
(0,18),(0,20),0.0226245 # DEPENDENCYPART_SIBL
(0,19),(0,20),-0.0693041 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.10497 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.00595198 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.00288104 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.024298 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.011232 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.00686232 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.00104891 # DEPENDENCYPART_SIBL
(2,1),(2,9),-0.00626862 # DEPENDENCYPART_SIBL
(2,1),(2,11),-0.024298 # DEPENDENCYPART_SIBL
(2,1),(2,13),-0.0107487 # DEPENDENCYPART_SIBL
(2,1),(2,15),-0.00930067 # DEPENDENCYPART_SIBL
(2,1),(2,19),-0.00626862 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0551893 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.0279905 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.00523543 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.017507 # DEPENDENCYPART_SIBL
(2,3),(2,8),0.00795721 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.0219835 # DEPENDENCYPART_SIBL
(2,3),(2,11),-0.0279905 # DEPENDENCYPART_SIBL
(2,3),(2,13),0.00755002 # DEPENDENCYPART_SIBL
(2,3),(2,15),-0.00513045 # DEPENDENCYPART_SIBL
(2,3),(2,19),-0.0219835 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0423461 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.0410705 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.129183 # DEPENDENCYPART_SIBL
(2,4),(2,8),0.00584379 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.0156312 # DEPENDENCYPART_SIBL
(2,4),(2,11),-0.0423461 # DEPENDENCYPART_SIBL
(2,4),(2,13),0.0082464 # DEPENDENCYPART_SIBL
(2,4),(2,15),-0.0394451 # DEPENDENCYPART_SIBL
(2,4),(2,19),-0.0156312 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.0412026 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.0248491 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.0420228 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.0638983 # DEPENDENCYPART_SIBL
(2,5),(2,11),-0.00760599 # DEPENDENCYPART_SIBL
(2,5),(2,13),-0.0407302 # DEPENDENCYPART_SIBL
(2,5),(2,15),-0.0402522 # DEPENDENCYPART_SIBL
(2,5),(2,19),-0.0638983 # DEPENDENCYPART_SIBL
(2,6),(2,7),0.0302036 # DEPENDENCYPART_SIBL
(2,6),(2,8),0.00677719 # DEPENDENCYPART_SIBL
(2,6),(2,9),-0.00669953 # DEPENDENCYPART_SIBL
(2,6),(2,11),-0.0230852 # DEPENDENCYPART_SIBL
(2,6),(2,13),0.00715343 # DEPENDENCYPART_SIBL
(2,6),(2,15),-0.0114379 # DEPENDENCYPART_SIBL
(2,6),(2,19),-0.00669953 # DEPENDENCYPART_SIBL
(2,7),(2,8),0.00823762 # DEPENDENCYPART_SIBL
(2,7),(2,9),-0.0218387 # DEPENDENCYPART_SIBL
(2,7),(2,11),-0.027949 # DEPENDENCYPART_SIBL
(2,7),(2,13),0.00783042 # DEPENDENCYPART_SIBL
(2,7),(2,15),-0.00510333 # DEPENDENCYPART_SIBL
(2,7),(2,19),-0.0218387 # DEPENDENCYPART_SIBL
(2,8),(2,9),-0.0220963 # DEPENDENCYPART_SIBL
(2,8),(2,11),-0.0103793 # DEPENDENCYPART_SIBL
(2,8),(2,13),0.000490144 # DEPENDENCYPART_SIBL
(2,8),(2,15),-0.0104161 # DEPENDENCYPART_SIBL
(2,8),(2,19),-0.0220963 # DEPENDENCYPART_SIBL
(2,9),(2,11),-0.0313318 # DEPENDENCYPART_SIBL
(2,9),(2,13),-0.00101385 # DEPENDENCYPART_SIBL
(2,9),(2,15),-0.000193365 # DEPENDENCYPART_SIBL
(2,9),(2,19),0.000783021 # DEPENDENCYPART_SIBL
(2,11),(2,13),-0.0407302 # DEPENDENCYPART_SIBL
(2,11),(2,15),-0.0402522 # DEPENDENCYPART_SIBL
(2,11),(2,19),-0.0638983 # DEPENDENCYPART_SIBL
(2,13),(2,15),-0.00875874 # DEPENDENCYPART_SIBL
(2,13),(2,19),-0.0232064 # DEPENDENCYPART_SIBL
(2,15),(2,19),-0.00493647 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0209501 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.0357788 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.0106311 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.0240849 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.00138996 # DEPENDENCYPART_SIBL
(3,1),(3,11),0.0106311 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.00521615 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.0228909 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.0128832 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.00117135 # DEPENDENCYPART_SIBL
(3,2),(3,11),0.0228909 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0479076 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.069035 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.15291 # DEPENDENCYPART_SIBL
(3,4),(3,11),-0.0479076 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.00585836 # DEPENDENCYPART_SIBL
(3,5),(3,7),0.00935653 # DEPENDENCYPART_SIBL
(3,5),(3,11),0.0187645 # DEPENDENCYPART_SIBL
(3,6),(3,7),0.0166418 # DEPENDENCYPART_SIBL
(3,6),(3,11),0.0194797 # DEPENDENCYPART_SIBL
(3,7),(3,11),0.00878112 # DEPENDENCYPART_SIBL
(5,1),(5,2),-0.00273518 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.00874057 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.0518421 # DEPENDENCYPART_SIBL
(5,1),(5,6),0.0544958 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.0195317 # DEPENDENCYPART_SIBL
(5,1),(5,8),-0.0661424 # DEPENDENCYPART_SIBL
(5,1),(5,9),-0.0783019 # DEPENDENCYPART_SIBL
(5,1),(5,10),-0.0802123 # DEPENDENCYPART_SIBL
(5,1),(5,11),0.000114664 # DEPENDENCYPART_SIBL
(5,1),(5,13),-0.0790881 # DEPENDENCYPART_SIBL
(5,1),(5,19),-0.0783019 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.0461596 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.0649985 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.0538351 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.00465518 # DEPENDENCYPART_SIBL
(5,2),(5,8),0.173686 # DEPENDENCYPART_SIBL
(5,2),(5,9),0.0397092 # DEPENDENCYPART_SIBL
(5,2),(5,10),-0.0211742 # DEPENDENCYPART_SIBL
(5,2),(5,11),-0.0111966 # DEPENDENCYPART_SIBL
(5,2),(5,13),0.170478 # DEPENDENCYPART_SIBL
(5,2),(5,19),0.0397092 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.0523709 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.00179592 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.112913 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.00679795 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.0153298 # DEPENDENCYPART_SIBL
(5,3),(5,10),-0.0301409 # DEPENDENCYPART_SIBL
(5,3),(5,11),0.00202516 # DEPENDENCYPART_SIBL
(5,3),(5,13),-0.0004542 # DEPENDENCYPART_SIBL
(5,3),(5,19),-0.0153298 # DEPENDENCYPART_SIBL
