# _root_ gainera , ez da kasu honetan bakarrik ezagutzen zientziaren praktika , baina gutxi_batzuek bakarrik ezagutzen dituzte zientzia horren oinarri diren lege eta arauak .
#goldHeads=0,3,8,8,8,5,8,12,10,8,10,0,15,15,12,15,19,17,20,21,22,15,22,23,
#predictedHeads=0,3,8,8,8,5,8,12,10,8,10,0,15,15,12,15,19,17,20,21,22,15,22,23,
(14,22),-0.704504 # DEPENDENCYPART_ARC
(15,1),-0.369414 # DEPENDENCYPART_ARC
(15,2),-1.51013 # DEPENDENCYPART_ARC
(15,3),-0.537737 # DEPENDENCYPART_ARC
(15,4),-0.704481 # DEPENDENCYPART_ARC
(15,5),-0.606466 # DEPENDENCYPART_ARC
(15,6),-0.849246 # DEPENDENCYPART_ARC
(15,7),-0.670204 # DEPENDENCYPART_ARC
(15,8),-0.685901 # DEPENDENCYPART_ARC
(15,9),-0.759011 # DEPENDENCYPART_ARC
(15,10),0.155687 # DEPENDENCYPART_ARC
(15,11),-1.25693 # DEPENDENCYPART_ARC
(15,12),-0.405018 # DEPENDENCYPART_ARC
(15,13),0.505824 # DEPENDENCYPART_ARC
(15,14),0.800697 # DEPENDENCYPART_ARC
(15,16),1.6491 # DEPENDENCYPART_ARC
(15,17),0.159533 # DEPENDENCYPART_ARC
(15,18),-0.926234 # DEPENDENCYPART_ARC
(15,19),-0.274875 # DEPENDENCYPART_ARC
(15,20),-0.636901 # DEPENDENCYPART_ARC
(15,21),-0.628885 # DEPENDENCYPART_ARC
(15,22),-0.159165 # DEPENDENCYPART_ARC
(15,23),-0.591147 # DEPENDENCYPART_ARC
(16,14),-0.759158 # DEPENDENCYPART_ARC
(16,17),-0.862364 # DEPENDENCYPART_ARC
(16,20),-0.824461 # DEPENDENCYPART_ARC
(17,11),-1.55857 # DEPENDENCYPART_ARC
(17,12),-1.0198 # DEPENDENCYPART_ARC
(17,14),-1.0223 # DEPENDENCYPART_ARC
(17,15),-0.367745 # DEPENDENCYPART_ARC
(17,16),-0.615803 # DEPENDENCYPART_ARC
(17,18),1.93282 # DEPENDENCYPART_ARC
(17,19),-0.353799 # DEPENDENCYPART_ARC
(17,20),-1.42124 # DEPENDENCYPART_ARC
(17,21),-0.985887 # DEPENDENCYPART_ARC
(17,22),-0.745043 # DEPENDENCYPART_ARC
(17,23),-1.13827 # DEPENDENCYPART_ARC
(17,24),-1.10253 # DEPENDENCYPART_ARC
(18,15),-0.713526 # DEPENDENCYPART_ARC
(18,19),-0.50794 # DEPENDENCYPART_ARC
(18,21),-1.07116 # DEPENDENCYPART_ARC
(18,23),-1.33953 # DEPENDENCYPART_ARC
(19,14),-1.05701 # DEPENDENCYPART_ARC
(19,15),-1.03375 # DEPENDENCYPART_ARC
(19,17),0.225377 # DEPENDENCYPART_ARC
(19,18),0.362008 # DEPENDENCYPART_ARC
(19,20),-0.802866 # DEPENDENCYPART_ARC
(19,21),-0.880431 # DEPENDENCYPART_ARC
(19,23),-1.98575 # DEPENDENCYPART_ARC
(19,24),-1.22043 # DEPENDENCYPART_ARC
(20,5),-0.944372 # DEPENDENCYPART_ARC
(20,6),-1.24421 # DEPENDENCYPART_ARC
(20,7),-0.684261 # DEPENDENCYPART_ARC
(20,8),-1.05361 # DEPENDENCYPART_ARC
(20,9),-1.61218 # DEPENDENCYPART_ARC
(20,10),-0.704196 # DEPENDENCYPART_ARC
(20,11),-1.38481 # DEPENDENCYPART_ARC
(20,12),-0.922256 # DEPENDENCYPART_ARC
(20,14),-0.552837 # DEPENDENCYPART_ARC
(20,15),-0.614662 # DEPENDENCYPART_ARC
(20,16),-0.865926 # DEPENDENCYPART_ARC
(20,17),0.162535 # DEPENDENCYPART_ARC
(20,18),-0.813813 # DEPENDENCYPART_ARC
(20,19),1.28443 # DEPENDENCYPART_ARC
(20,21),0.0509745 # DEPENDENCYPART_ARC
(20,22),-0.343021 # DEPENDENCYPART_ARC
(20,23),-0.925799 # DEPENDENCYPART_ARC
(21,17),-0.964423 # DEPENDENCYPART_ARC
(21,18),-0.890254 # DEPENDENCYPART_ARC
(21,19),-0.282523 # DEPENDENCYPART_ARC
(21,20),0.405599 # DEPENDENCYPART_ARC
(21,22),0.266621 # DEPENDENCYPART_ARC
(21,23),-0.540895 # DEPENDENCYPART_ARC
(21,24),-0.699118 # DEPENDENCYPART_ARC
(22,7),-0.684823 # DEPENDENCYPART_ARC
(22,8),-1.31576 # DEPENDENCYPART_ARC
(22,9),-1.53471 # DEPENDENCYPART_ARC
(22,10),-1.06668 # DEPENDENCYPART_ARC
(22,12),-0.546555 # DEPENDENCYPART_ARC
(22,14),-0.707055 # DEPENDENCYPART_ARC
(22,15),-0.779537 # DEPENDENCYPART_ARC
(22,16),-1.2214 # DEPENDENCYPART_ARC
(22,17),-0.611771 # DEPENDENCYPART_ARC
(22,18),-1.13342 # DEPENDENCYPART_ARC
(22,19),-0.0704591 # DEPENDENCYPART_ARC
(22,20),0.0607375 # DEPENDENCYPART_ARC
(22,21),1.72917 # DEPENDENCYPART_ARC
(22,23),1.60347 # DEPENDENCYPART_ARC
(23,18),-1.86356 # DEPENDENCYPART_ARC
(23,21),-1.03434 # DEPENDENCYPART_ARC
(23,22),-0.615349 # DEPENDENCYPART_ARC
(23,24),1.44143 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.0418945 # DEPENDENCYPART_SIBL
(0,1),(0,3),0.042801 # DEPENDENCYPART_SIBL
(0,1),(0,4),0.00849017 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.0223838 # DEPENDENCYPART_SIBL
(0,1),(0,6),0.0430417 # DEPENDENCYPART_SIBL
(0,1),(0,7),0.0603744 # DEPENDENCYPART_SIBL
(0,1),(0,8),0.0237175 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.0223838 # DEPENDENCYPART_SIBL
(0,1),(0,10),-0.0223838 # DEPENDENCYPART_SIBL
(0,1),(0,11),-0.0418945 # DEPENDENCYPART_SIBL
(0,1),(0,12),-0.0180296 # DEPENDENCYPART_SIBL
(0,1),(0,14),0.0603744 # DEPENDENCYPART_SIBL
(0,1),(0,15),0.0237175 # DEPENDENCYPART_SIBL
(0,1),(0,16),-0.013557 # DEPENDENCYPART_SIBL
(0,1),(0,17),-0.0223838 # DEPENDENCYPART_SIBL
(0,1),(0,18),0.0407937 # DEPENDENCYPART_SIBL
(0,1),(0,19),-0.02242 # DEPENDENCYPART_SIBL
(0,1),(0,20),0.0370851 # DEPENDENCYPART_SIBL
(0,1),(0,21),-0.0223843 # DEPENDENCYPART_SIBL
(0,1),(0,22),-0.0286985 # DEPENDENCYPART_SIBL
(0,1),(0,23),-0.0223868 # DEPENDENCYPART_SIBL
(0,1),(0,24),-0.0805374 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.107489 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.206064 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.202026 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.177376 # DEPENDENCYPART_SIBL
(0,2),(0,7),-0.297425 # DEPENDENCYPART_SIBL
(0,2),(0,8),-0.300368 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.202026 # DEPENDENCYPART_SIBL
(0,2),(0,10),-0.202026 # DEPENDENCYPART_SIBL
(0,2),(0,11),-0.413823 # DEPENDENCYPART_SIBL
(0,2),(0,12),-0.179412 # DEPENDENCYPART_SIBL
(0,2),(0,14),-0.297425 # DEPENDENCYPART_SIBL
(0,2),(0,15),-0.300368 # DEPENDENCYPART_SIBL
(0,2),(0,16),-0.212726 # DEPENDENCYPART_SIBL
(0,2),(0,17),-0.202026 # DEPENDENCYPART_SIBL
(0,2),(0,18),-0.178297 # DEPENDENCYPART_SIBL
(0,2),(0,19),-0.202077 # DEPENDENCYPART_SIBL
(0,2),(0,20),-0.184891 # DEPENDENCYPART_SIBL
(0,2),(0,21),-0.202034 # DEPENDENCYPART_SIBL
(0,2),(0,22),-0.226163 # DEPENDENCYPART_SIBL
(0,2),(0,23),-0.202034 # DEPENDENCYPART_SIBL
(0,2),(0,24),-0.340789 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.0350433 # DEPENDENCYPART_SIBL
(0,3),(0,5),0.0106538 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.0157294 # DEPENDENCYPART_SIBL
(0,3),(0,7),-0.0346399 # DEPENDENCYPART_SIBL
(0,3),(0,8),-0.098256 # DEPENDENCYPART_SIBL
(0,3),(0,9),0.0106538 # DEPENDENCYPART_SIBL
(0,3),(0,10),0.0106538 # DEPENDENCYPART_SIBL
(0,3),(0,11),-0.0841936 # DEPENDENCYPART_SIBL
(0,3),(0,12),-0.111424 # DEPENDENCYPART_SIBL
(0,3),(0,14),-0.0346399 # DEPENDENCYPART_SIBL
(0,3),(0,15),-0.098256 # DEPENDENCYPART_SIBL
(0,3),(0,16),-0.0482251 # DEPENDENCYPART_SIBL
(0,3),(0,17),0.0106538 # DEPENDENCYPART_SIBL
(0,3),(0,18),-0.0166506 # DEPENDENCYPART_SIBL
(0,3),(0,19),0.0106538 # DEPENDENCYPART_SIBL
(0,3),(0,20),-0.0429224 # DEPENDENCYPART_SIBL
(0,3),(0,21),0.0106535 # DEPENDENCYPART_SIBL
(0,3),(0,22),-0.106674 # DEPENDENCYPART_SIBL
(0,3),(0,23),0.0106511 # DEPENDENCYPART_SIBL
(0,3),(0,24),-0.0912671 # DEPENDENCYPART_SIBL
(0,4),(0,5),0.00707857 # DEPENDENCYPART_SIBL
(0,4),(0,6),-0.00015445 # DEPENDENCYPART_SIBL
(0,4),(0,7),-0.0160146 # DEPENDENCYPART_SIBL
(0,4),(0,8),-0.0374846 # DEPENDENCYPART_SIBL
(0,4),(0,9),-0.00136546 # DEPENDENCYPART_SIBL
(0,4),(0,10),-0.00136542 # DEPENDENCYPART_SIBL
(0,4),(0,11),-0.0655862 # DEPENDENCYPART_SIBL
(0,4),(0,12),-0.0830154 # DEPENDENCYPART_SIBL
(0,4),(0,14),-0.0160146 # DEPENDENCYPART_SIBL
(0,4),(0,15),-0.0374846 # DEPENDENCYPART_SIBL
(0,4),(0,16),-0.10173 # DEPENDENCYPART_SIBL
(0,4),(0,17),-0.00136542 # DEPENDENCYPART_SIBL
(0,4),(0,18),-0.00237264 # DEPENDENCYPART_SIBL
(0,4),(0,19),-0.00140076 # DEPENDENCYPART_SIBL
(0,4),(0,20),-0.0185603 # DEPENDENCYPART_SIBL
(0,4),(0,21),-0.00301558 # DEPENDENCYPART_SIBL
(0,4),(0,22),-0.0911826 # DEPENDENCYPART_SIBL
(0,4),(0,23),-0.00137578 # DEPENDENCYPART_SIBL
(0,4),(0,24),-0.0856939 # DEPENDENCYPART_SIBL
(0,5),(0,6),0.00844986 # DEPENDENCYPART_SIBL
(0,5),(0,7),0.0214288 # DEPENDENCYPART_SIBL
(0,5),(0,8),-0.122297 # DEPENDENCYPART_SIBL
(0,5),(0,9),0.05911 # DEPENDENCYPART_SIBL
(0,5),(0,10),0.05911 # DEPENDENCYPART_SIBL
(0,5),(0,11),-0.135118 # DEPENDENCYPART_SIBL
(0,5),(0,12),-0.0671289 # DEPENDENCYPART_SIBL
(0,5),(0,14),0.0214288 # DEPENDENCYPART_SIBL
(0,5),(0,15),-0.122297 # DEPENDENCYPART_SIBL
(0,5),(0,16),-0.0656743 # DEPENDENCYPART_SIBL
(0,5),(0,17),0.0588202 # DEPENDENCYPART_SIBL
(0,5),(0,18),0.0148454 # DEPENDENCYPART_SIBL
(0,5),(0,19),0.0590394 # DEPENDENCYPART_SIBL
(0,5),(0,20),-0.0336998 # DEPENDENCYPART_SIBL
(0,5),(0,21),0.0591015 # DEPENDENCYPART_SIBL
(0,5),(0,22),-0.0885663 # DEPENDENCYPART_SIBL
(0,5),(0,23),0.0590364 # DEPENDENCYPART_SIBL
(0,5),(0,24),-0.17526 # DEPENDENCYPART_SIBL
(0,6),(0,7),-0.0220008 # DEPENDENCYPART_SIBL
(0,6),(0,8),-0.125077 # DEPENDENCYPART_SIBL
(0,6),(0,9),-0.0122593 # DEPENDENCYPART_SIBL
(0,6),(0,10),-0.0122593 # DEPENDENCYPART_SIBL
(0,6),(0,11),-0.125345 # DEPENDENCYPART_SIBL
(0,6),(0,12),-0.0572383 # DEPENDENCYPART_SIBL
(0,6),(0,14),-0.0220008 # DEPENDENCYPART_SIBL
(0,6),(0,15),-0.125077 # DEPENDENCYPART_SIBL
(0,6),(0,16),-0.0612509 # DEPENDENCYPART_SIBL
(0,6),(0,17),-0.0122593 # DEPENDENCYPART_SIBL
(0,6),(0,18),-0.0342882 # DEPENDENCYPART_SIBL
(0,6),(0,19),-0.0123736 # DEPENDENCYPART_SIBL
(0,6),(0,20),-0.0477159 # DEPENDENCYPART_SIBL
(0,6),(0,21),-0.0122596 # DEPENDENCYPART_SIBL
(0,6),(0,22),-0.0724353 # DEPENDENCYPART_SIBL
(0,6),(0,23),-0.0123174 # DEPENDENCYPART_SIBL
(0,6),(0,24),-0.132366 # DEPENDENCYPART_SIBL
(0,7),(0,8),-0.0319986 # DEPENDENCYPART_SIBL
(0,7),(0,9),0.0874685 # DEPENDENCYPART_SIBL
(0,7),(0,10),0.0874685 # DEPENDENCYPART_SIBL
(0,7),(0,11),-0.0716866 # DEPENDENCYPART_SIBL
(0,7),(0,12),-0.0584595 # DEPENDENCYPART_SIBL
(0,7),(0,14),-0.0213768 # DEPENDENCYPART_SIBL
(0,7),(0,15),-0.0319986 # DEPENDENCYPART_SIBL
(0,7),(0,16),-0.0540856 # DEPENDENCYPART_SIBL
(0,7),(0,17),0.0874685 # DEPENDENCYPART_SIBL
(0,7),(0,18),0.0571401 # DEPENDENCYPART_SIBL
(0,7),(0,19),0.0874685 # DEPENDENCYPART_SIBL
(0,7),(0,20),0.00867607 # DEPENDENCYPART_SIBL
(0,7),(0,21),0.0874682 # DEPENDENCYPART_SIBL
(0,7),(0,22),-0.0599838 # DEPENDENCYPART_SIBL
(0,7),(0,23),0.0874588 # DEPENDENCYPART_SIBL
(0,7),(0,24),-0.0923313 # DEPENDENCYPART_SIBL
(0,8),(0,9),0.000588284 # DEPENDENCYPART_SIBL
(0,8),(0,10),0.000588284 # DEPENDENCYPART_SIBL
(0,8),(0,11),-0.0396694 # DEPENDENCYPART_SIBL
(0,8),(0,12),-0.0996455 # DEPENDENCYPART_SIBL
(0,8),(0,14),-0.0288609 # DEPENDENCYPART_SIBL
(0,8),(0,15),-0.116968 # DEPENDENCYPART_SIBL
(0,8),(0,16),0.00631424 # DEPENDENCYPART_SIBL
(0,8),(0,17),0.000588284 # DEPENDENCYPART_SIBL
(0,8),(0,18),0.0125855 # DEPENDENCYPART_SIBL
(0,8),(0,19),0.000588284 # DEPENDENCYPART_SIBL
(0,8),(0,20),-0.0398475 # DEPENDENCYPART_SIBL
(0,8),(0,21),0.00058802 # DEPENDENCYPART_SIBL
(0,8),(0,22),-0.101003 # DEPENDENCYPART_SIBL
(0,8),(0,23),0.000581391 # DEPENDENCYPART_SIBL
(0,8),(0,24),-0.0625112 # DEPENDENCYPART_SIBL
(0,9),(0,10),0.0509439 # DEPENDENCYPART_SIBL
(0,9),(0,11),-0.13484 # DEPENDENCYPART_SIBL
(0,9),(0,12),-0.0664346 # DEPENDENCYPART_SIBL
(0,9),(0,14),0.0217069 # DEPENDENCYPART_SIBL
(0,9),(0,15),-0.122039 # DEPENDENCYPART_SIBL
(0,9),(0,16),-0.0653966 # DEPENDENCYPART_SIBL
(0,9),(0,17),0.050654 # DEPENDENCYPART_SIBL
(0,9),(0,18),0.0147151 # DEPENDENCYPART_SIBL
(0,9),(0,19),0.0508732 # DEPENDENCYPART_SIBL
(0,9),(0,20),-0.033422 # DEPENDENCYPART_SIBL
(0,9),(0,21),0.0509353 # DEPENDENCYPART_SIBL
(0,9),(0,22),-0.0875943 # DEPENDENCYPART_SIBL
(0,9),(0,23),0.0508703 # DEPENDENCYPART_SIBL
(0,9),(0,24),-0.174982 # DEPENDENCYPART_SIBL
(0,10),(0,11),-0.13484 # DEPENDENCYPART_SIBL
(0,10),(0,12),-0.0664346 # DEPENDENCYPART_SIBL
(0,10),(0,14),0.0217069 # DEPENDENCYPART_SIBL
(0,10),(0,15),-0.12202 # DEPENDENCYPART_SIBL
(0,10),(0,16),-0.0653964 # DEPENDENCYPART_SIBL
(0,10),(0,17),0.050654 # DEPENDENCYPART_SIBL
(0,10),(0,18),0.0151263 # DEPENDENCYPART_SIBL
(0,10),(0,19),0.0508732 # DEPENDENCYPART_SIBL
(0,10),(0,20),-0.033422 # DEPENDENCYPART_SIBL
(0,10),(0,21),0.0509353 # DEPENDENCYPART_SIBL
(0,10),(0,22),-0.0875943 # DEPENDENCYPART_SIBL
(0,10),(0,23),0.0508703 # DEPENDENCYPART_SIBL
(0,10),(0,24),-0.174982 # DEPENDENCYPART_SIBL
(0,11),(0,12),-0.179412 # DEPENDENCYPART_SIBL
(0,11),(0,14),-0.297425 # DEPENDENCYPART_SIBL
(0,11),(0,15),-0.300368 # DEPENDENCYPART_SIBL
(0,11),(0,16),-0.212726 # DEPENDENCYPART_SIBL
(0,11),(0,17),-0.202026 # DEPENDENCYPART_SIBL
(0,11),(0,18),-0.178297 # DEPENDENCYPART_SIBL
(0,11),(0,19),-0.202077 # DEPENDENCYPART_SIBL
(0,11),(0,20),-0.184891 # DEPENDENCYPART_SIBL
(0,11),(0,21),-0.202034 # DEPENDENCYPART_SIBL
(0,11),(0,22),-0.226163 # DEPENDENCYPART_SIBL
(0,11),(0,23),-0.202034 # DEPENDENCYPART_SIBL
(0,11),(0,24),-0.340789 # DEPENDENCYPART_SIBL
(0,12),(0,14),0.0548582 # DEPENDENCYPART_SIBL
(0,12),(0,15),-0.106191 # DEPENDENCYPART_SIBL
(0,12),(0,16),-0.0334813 # DEPENDENCYPART_SIBL
(0,12),(0,17),-0.0588435 # DEPENDENCYPART_SIBL
(0,12),(0,18),0.0132773 # DEPENDENCYPART_SIBL
(0,12),(0,19),-0.0588797 # DEPENDENCYPART_SIBL
(0,12),(0,20),-0.00226661 # DEPENDENCYPART_SIBL
(0,12),(0,21),-0.058844 # DEPENDENCYPART_SIBL
(0,12),(0,22),0.0367003 # DEPENDENCYPART_SIBL
(0,12),(0,23),-0.0588465 # DEPENDENCYPART_SIBL
(0,12),(0,24),-0.0365986 # DEPENDENCYPART_SIBL
(0,14),(0,15),-0.0319986 # DEPENDENCYPART_SIBL
(0,14),(0,16),-0.0540856 # DEPENDENCYPART_SIBL
(0,14),(0,17),0.0874685 # DEPENDENCYPART_SIBL
(0,14),(0,18),0.0571401 # DEPENDENCYPART_SIBL
(0,14),(0,19),0.0874685 # DEPENDENCYPART_SIBL
(0,14),(0,20),0.00867607 # DEPENDENCYPART_SIBL
(0,14),(0,21),0.0874682 # DEPENDENCYPART_SIBL
(0,14),(0,22),-0.0599838 # DEPENDENCYPART_SIBL
(0,14),(0,23),0.0874588 # DEPENDENCYPART_SIBL
(0,14),(0,24),-0.0923313 # DEPENDENCYPART_SIBL
(0,15),(0,16),0.00631424 # DEPENDENCYPART_SIBL
(0,15),(0,17),0.000588284 # DEPENDENCYPART_SIBL
(0,15),(0,18),0.0125855 # DEPENDENCYPART_SIBL
(0,15),(0,19),0.000588284 # DEPENDENCYPART_SIBL
(0,15),(0,20),-0.0398475 # DEPENDENCYPART_SIBL
(0,15),(0,21),0.00058802 # DEPENDENCYPART_SIBL
(0,15),(0,22),-0.101003 # DEPENDENCYPART_SIBL
(0,15),(0,23),0.000581391 # DEPENDENCYPART_SIBL
(0,15),(0,24),-0.0625112 # DEPENDENCYPART_SIBL
(0,16),(0,17),0.0174902 # DEPENDENCYPART_SIBL
(0,16),(0,18),0.0151335 # DEPENDENCYPART_SIBL
(0,16),(0,19),0.0174549 # DEPENDENCYPART_SIBL
(0,16),(0,20),0.00484942 # DEPENDENCYPART_SIBL
(0,16),(0,21),0.0158401 # DEPENDENCYPART_SIBL
(0,16),(0,22),-0.0460887 # DEPENDENCYPART_SIBL
(0,16),(0,23),0.0174799 # DEPENDENCYPART_SIBL
(0,16),(0,24),-0.0832346 # DEPENDENCYPART_SIBL
(0,17),(0,18),0.0151263 # DEPENDENCYPART_SIBL
(0,17),(0,19),0.050873 # DEPENDENCYPART_SIBL
(0,17),(0,20),-0.033422 # DEPENDENCYPART_SIBL
(0,17),(0,21),0.0509351 # DEPENDENCYPART_SIBL
(0,17),(0,22),-0.090102 # DEPENDENCYPART_SIBL
(0,17),(0,23),0.0508701 # DEPENDENCYPART_SIBL
(0,17),(0,24),-0.174982 # DEPENDENCYPART_SIBL
(0,18),(0,19),-0.00629927 # DEPENDENCYPART_SIBL
(0,18),(0,20),-0.0503095 # DEPENDENCYPART_SIBL
(0,18),(0,21),-0.00618526 # DEPENDENCYPART_SIBL
(0,18),(0,22),-0.0697579 # DEPENDENCYPART_SIBL
