# _root_ madrilek aurtengo finantzaketa osatzeko borondatea agertu arren , arazo sakonak konpondu gabe daudela uste_du : diru hori nondik etorriko den , zenbat izango den eta hobetuzen menpekotasuna forcem-ekiko .
#goldHeads=6,3,4,5,6,14,6,7,13,9,13,11,14,0,14,19,16,19,25,19,20,23,25,23,9,27,25,27,28,
#predictedHeads=6,3,4,5,6,14,6,7,11,9,14,13,14,0,14,19,16,19,14,19,20,23,25,23,0,27,25,27,28,
(17,23),-1.29545 # DEPENDENCYPART_ARC
(17,27),-1.19234 # DEPENDENCYPART_ARC
(19,1),-0.198584 # DEPENDENCYPART_ARC
(19,3),-0.896166 # DEPENDENCYPART_ARC
(19,4),-0.90374 # DEPENDENCYPART_ARC
(19,5),-0.507016 # DEPENDENCYPART_ARC
(19,6),-0.722036 # DEPENDENCYPART_ARC
(19,8),-1.51776 # DEPENDENCYPART_ARC
(19,9),-0.530266 # DEPENDENCYPART_ARC
(19,10),-1.00531 # DEPENDENCYPART_ARC
(19,11),-0.337316 # DEPENDENCYPART_ARC
(19,12),-0.938611 # DEPENDENCYPART_ARC
(19,13),-0.451792 # DEPENDENCYPART_ARC
(19,14),-0.999452 # DEPENDENCYPART_ARC
(19,16),0.499097 # DEPENDENCYPART_ARC
(19,17),0.0510645 # DEPENDENCYPART_ARC
(19,18),0.881224 # DEPENDENCYPART_ARC
(19,20),1.875 # DEPENDENCYPART_ARC
(19,21),-0.587249 # DEPENDENCYPART_ARC
(19,23),-0.872231 # DEPENDENCYPART_ARC
(19,24),-0.270262 # DEPENDENCYPART_ARC
(19,25),-0.538787 # DEPENDENCYPART_ARC
(19,27),-1.07774 # DEPENDENCYPART_ARC
(19,28),-1.23381 # DEPENDENCYPART_ARC
(20,16),-0.660613 # DEPENDENCYPART_ARC
(20,21),1.42133 # DEPENDENCYPART_ARC
(20,23),-0.509614 # DEPENDENCYPART_ARC
(20,24),-0.707812 # DEPENDENCYPART_ARC
(21,13),-0.730525 # DEPENDENCYPART_ARC
(21,14),-1.11214 # DEPENDENCYPART_ARC
(21,19),-0.704806 # DEPENDENCYPART_ARC
(21,20),-0.419251 # DEPENDENCYPART_ARC
(21,23),-0.848654 # DEPENDENCYPART_ARC
(22,21),-0.288057 # DEPENDENCYPART_ARC
(23,4),-1.12822 # DEPENDENCYPART_ARC
(23,5),-0.733224 # DEPENDENCYPART_ARC
(23,6),-0.994343 # DEPENDENCYPART_ARC
(23,8),-1.38003 # DEPENDENCYPART_ARC
(23,9),-0.82798 # DEPENDENCYPART_ARC
(23,10),-1.1209 # DEPENDENCYPART_ARC
(23,11),-0.694835 # DEPENDENCYPART_ARC
(23,12),-1.42063 # DEPENDENCYPART_ARC
(23,13),-0.588714 # DEPENDENCYPART_ARC
(23,14),-1.44049 # DEPENDENCYPART_ARC
(23,16),-0.168052 # DEPENDENCYPART_ARC
(23,17),-0.7274 # DEPENDENCYPART_ARC
(23,18),-0.657797 # DEPENDENCYPART_ARC
(23,19),-0.0635654 # DEPENDENCYPART_ARC
(23,20),-0.682895 # DEPENDENCYPART_ARC
(23,21),-0.874795 # DEPENDENCYPART_ARC
(23,22),0.743896 # DEPENDENCYPART_ARC
(23,24),2.02367 # DEPENDENCYPART_ARC
(23,25),-0.293483 # DEPENDENCYPART_ARC
(23,26),-0.831345 # DEPENDENCYPART_ARC
(23,27),-0.369884 # DEPENDENCYPART_ARC
(23,28),-0.657313 # DEPENDENCYPART_ARC
(24,25),0.0985347 # DEPENDENCYPART_ARC
(24,28),-1.2922 # DEPENDENCYPART_ARC
(25,4),-1.22659 # DEPENDENCYPART_ARC
(25,6),-0.237537 # DEPENDENCYPART_ARC
(25,11),-0.522042 # DEPENDENCYPART_ARC
(25,12),-0.598954 # DEPENDENCYPART_ARC
(25,13),-0.561688 # DEPENDENCYPART_ARC
(25,14),0.00389171 # DEPENDENCYPART_ARC
(25,16),-0.646437 # DEPENDENCYPART_ARC
(25,17),-1.08409 # DEPENDENCYPART_ARC
(25,19),0.00854736 # DEPENDENCYPART_ARC
(25,20),-1.01773 # DEPENDENCYPART_ARC
(25,21),-1.21988 # DEPENDENCYPART_ARC
(25,23),0.890456 # DEPENDENCYPART_ARC
(25,24),0.13465 # DEPENDENCYPART_ARC
(25,26),0.267767 # DEPENDENCYPART_ARC
(25,27),-0.191521 # DEPENDENCYPART_ARC
(25,28),-0.71037 # DEPENDENCYPART_ARC
(26,27),-0.157728 # DEPENDENCYPART_ARC
(26,28),0.208623 # DEPENDENCYPART_ARC
(27,17),-2.8065 # DEPENDENCYPART_ARC
(27,21),-1.56245 # DEPENDENCYPART_ARC
(27,23),-0.772186 # DEPENDENCYPART_ARC
(27,25),-0.509035 # DEPENDENCYPART_ARC
(27,26),1.8728 # DEPENDENCYPART_ARC
(27,28),-0.0858893 # DEPENDENCYPART_ARC
(27,29),-0.763411 # DEPENDENCYPART_ARC
(28,21),-2.14184 # DEPENDENCYPART_ARC
(28,26),-1.55433 # DEPENDENCYPART_ARC
(28,27),-1.63757 # DEPENDENCYPART_ARC
(28,29),1.41843 # DEPENDENCYPART_ARC
(29,27),-1.06343 # DEPENDENCYPART_ARC
(29,28),-0.730441 # DEPENDENCYPART_ARC
(0,1),(0,2),0.0182513 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.113036 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.118347 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.0556612 # DEPENDENCYPART_SIBL
(0,1),(0,8),-0.13484 # DEPENDENCYPART_SIBL
(0,1),(0,11),-0.112386 # DEPENDENCYPART_SIBL
(0,1),(0,12),0.0169246 # DEPENDENCYPART_SIBL
(0,1),(0,13),-0.0362914 # DEPENDENCYPART_SIBL
(0,1),(0,14),-0.125175 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.165422 # DEPENDENCYPART_SIBL
(0,1),(0,16),0.0601565 # DEPENDENCYPART_SIBL
(0,1),(0,17),0.00608788 # DEPENDENCYPART_SIBL
(0,1),(0,18),0.0251618 # DEPENDENCYPART_SIBL
(0,1),(0,19),-0.112279 # DEPENDENCYPART_SIBL
(0,1),(0,20),-0.0673694 # DEPENDENCYPART_SIBL
(0,1),(0,21),-0.13484 # DEPENDENCYPART_SIBL
(0,1),(0,22),0.00878585 # DEPENDENCYPART_SIBL
(0,1),(0,23),-0.108827 # DEPENDENCYPART_SIBL
(0,1),(0,24),-0.0673694 # DEPENDENCYPART_SIBL
(0,1),(0,25),-0.0875943 # DEPENDENCYPART_SIBL
(0,1),(0,26),0.0509439 # DEPENDENCYPART_SIBL
(0,1),(0,27),0.0509439 # DEPENDENCYPART_SIBL
(0,1),(0,28),0.0509439 # DEPENDENCYPART_SIBL
(0,1),(0,29),-0.174982 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.106123 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.107477 # DEPENDENCYPART_SIBL
(0,2),(0,7),-0.0484502 # DEPENDENCYPART_SIBL
(0,2),(0,8),-0.0774269 # DEPENDENCYPART_SIBL
(0,2),(0,11),-0.105611 # DEPENDENCYPART_SIBL
(0,2),(0,12),0.00280808 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.0484093 # DEPENDENCYPART_SIBL
(0,2),(0,14),-0.131127 # DEPENDENCYPART_SIBL
(0,2),(0,15),-0.078915 # DEPENDENCYPART_SIBL
(0,2),(0,16),-0.00644984 # DEPENDENCYPART_SIBL
(0,2),(0,17),0.045177 # DEPENDENCYPART_SIBL
(0,2),(0,18),0.00906723 # DEPENDENCYPART_SIBL
(0,2),(0,19),-0.105504 # DEPENDENCYPART_SIBL
(0,2),(0,20),-0.0456217 # DEPENDENCYPART_SIBL
(0,2),(0,21),-0.0774269 # DEPENDENCYPART_SIBL
(0,2),(0,22),0.0426514 # DEPENDENCYPART_SIBL
(0,2),(0,23),-0.110203 # DEPENDENCYPART_SIBL
(0,2),(0,24),-0.0456217 # DEPENDENCYPART_SIBL
(0,2),(0,25),-0.069452 # DEPENDENCYPART_SIBL
(0,2),(0,26),-0.0160127 # DEPENDENCYPART_SIBL
(0,2),(0,27),-0.0160127 # DEPENDENCYPART_SIBL
(0,2),(0,28),-0.0160127 # DEPENDENCYPART_SIBL
(0,2),(0,29),-0.0843407 # DEPENDENCYPART_SIBL
(0,4),(0,6),-0.122621 # DEPENDENCYPART_SIBL
(0,4),(0,7),-0.0491037 # DEPENDENCYPART_SIBL
(0,4),(0,8),-0.0464622 # DEPENDENCYPART_SIBL
(0,4),(0,11),-0.117574 # DEPENDENCYPART_SIBL
(0,4),(0,12),-0.0372032 # DEPENDENCYPART_SIBL
(0,4),(0,13),-0.0456907 # DEPENDENCYPART_SIBL
(0,4),(0,14),-0.143306 # DEPENDENCYPART_SIBL
(0,4),(0,15),-0.0559011 # DEPENDENCYPART_SIBL
(0,4),(0,16),0.00384116 # DEPENDENCYPART_SIBL
(0,4),(0,17),0.00459931 # DEPENDENCYPART_SIBL
(0,4),(0,18),-0.0303232 # DEPENDENCYPART_SIBL
(0,4),(0,19),-0.117143 # DEPENDENCYPART_SIBL
(0,4),(0,20),-0.0081538 # DEPENDENCYPART_SIBL
(0,4),(0,21),-0.0464622 # DEPENDENCYPART_SIBL
(0,4),(0,22),0.00696244 # DEPENDENCYPART_SIBL
(0,4),(0,23),-0.126439 # DEPENDENCYPART_SIBL
(0,4),(0,24),-0.0081538 # DEPENDENCYPART_SIBL
(0,4),(0,25),-0.126699 # DEPENDENCYPART_SIBL
(0,4),(0,26),-0.00570509 # DEPENDENCYPART_SIBL
(0,4),(0,27),-0.00570509 # DEPENDENCYPART_SIBL
(0,4),(0,28),-0.00570509 # DEPENDENCYPART_SIBL
(0,4),(0,29),-0.0693041 # DEPENDENCYPART_SIBL
(0,6),(0,7),-0.0560711 # DEPENDENCYPART_SIBL
(0,6),(0,8),-0.0637363 # DEPENDENCYPART_SIBL
(0,6),(0,11),-0.121812 # DEPENDENCYPART_SIBL
(0,6),(0,12),-0.0428783 # DEPENDENCYPART_SIBL
(0,6),(0,13),-0.0494144 # DEPENDENCYPART_SIBL
(0,6),(0,14),-0.147544 # DEPENDENCYPART_SIBL
(0,6),(0,15),-0.0731435 # DEPENDENCYPART_SIBL
(0,6),(0,16),0.0124538 # DEPENDENCYPART_SIBL
(0,6),(0,17),0.000700621 # DEPENDENCYPART_SIBL
(0,6),(0,18),-0.0359982 # DEPENDENCYPART_SIBL
(0,6),(0,19),-0.121381 # DEPENDENCYPART_SIBL
(0,6),(0,20),-0.0178444 # DEPENDENCYPART_SIBL
(0,6),(0,21),-0.0637363 # DEPENDENCYPART_SIBL
(0,6),(0,22),0.00306375 # DEPENDENCYPART_SIBL
(0,6),(0,23),-0.130677 # DEPENDENCYPART_SIBL
(0,6),(0,24),-0.0178444 # DEPENDENCYPART_SIBL
(0,6),(0,25),-0.134245 # DEPENDENCYPART_SIBL
(0,6),(0,26),0.00290755 # DEPENDENCYPART_SIBL
(0,6),(0,27),0.00290755 # DEPENDENCYPART_SIBL
(0,6),(0,28),0.00290755 # DEPENDENCYPART_SIBL
(0,6),(0,29),-0.0865465 # DEPENDENCYPART_SIBL
(0,7),(0,8),-0.00221829 # DEPENDENCYPART_SIBL
(0,7),(0,11),0.0265341 # DEPENDENCYPART_SIBL
(0,7),(0,12),0.0869894 # DEPENDENCYPART_SIBL
(0,7),(0,13),0.0288182 # DEPENDENCYPART_SIBL
(0,7),(0,14),-0.00928546 # DEPENDENCYPART_SIBL
(0,7),(0,15),-0.0422694 # DEPENDENCYPART_SIBL
(0,7),(0,16),0.0212098 # DEPENDENCYPART_SIBL
(0,7),(0,17),0.0668037 # DEPENDENCYPART_SIBL
(0,7),(0,18),0.0999289 # DEPENDENCYPART_SIBL
(0,7),(0,19),0.0272652 # DEPENDENCYPART_SIBL
(0,7),(0,20),0.000205056 # DEPENDENCYPART_SIBL
(0,7),(0,21),-0.00221829 # DEPENDENCYPART_SIBL
(0,7),(0,22),0.0685812 # DEPENDENCYPART_SIBL
(0,7),(0,23),0.0338799 # DEPENDENCYPART_SIBL
(0,7),(0,24),0.000205056 # DEPENDENCYPART_SIBL
(0,7),(0,25),0.0691346 # DEPENDENCYPART_SIBL
(0,7),(0,26),-0.00330506 # DEPENDENCYPART_SIBL
(0,7),(0,27),-0.00330453 # DEPENDENCYPART_SIBL
(0,7),(0,28),-0.00330453 # DEPENDENCYPART_SIBL
(0,7),(0,29),-0.0461492 # DEPENDENCYPART_SIBL
(0,8),(0,11),-0.29592 # DEPENDENCYPART_SIBL
(0,8),(0,12),-0.298008 # DEPENDENCYPART_SIBL
(0,8),(0,13),-0.175932 # DEPENDENCYPART_SIBL
(0,8),(0,14),-0.375114 # DEPENDENCYPART_SIBL
(0,8),(0,15),-0.325131 # DEPENDENCYPART_SIBL
(0,8),(0,16),-0.192458 # DEPENDENCYPART_SIBL
(0,8),(0,17),-0.174058 # DEPENDENCYPART_SIBL
(0,8),(0,18),-0.292255 # DEPENDENCYPART_SIBL
(0,8),(0,19),-0.293028 # DEPENDENCYPART_SIBL
(0,8),(0,20),-0.203915 # DEPENDENCYPART_SIBL
(0,8),(0,21),-0.413823 # DEPENDENCYPART_SIBL
(0,8),(0,22),-0.177376 # DEPENDENCYPART_SIBL
(0,8),(0,23),-0.304414 # DEPENDENCYPART_SIBL
(0,8),(0,24),-0.203915 # DEPENDENCYPART_SIBL
(0,8),(0,25),-0.226163 # DEPENDENCYPART_SIBL
(0,8),(0,26),-0.202026 # DEPENDENCYPART_SIBL
(0,8),(0,27),-0.202026 # DEPENDENCYPART_SIBL
(0,8),(0,28),-0.202026 # DEPENDENCYPART_SIBL
(0,8),(0,29),-0.340789 # DEPENDENCYPART_SIBL
(0,11),(0,12),-0.0372032 # DEPENDENCYPART_SIBL
(0,11),(0,13),-0.0456907 # DEPENDENCYPART_SIBL
(0,11),(0,14),-0.143297 # DEPENDENCYPART_SIBL
(0,11),(0,15),-0.0559011 # DEPENDENCYPART_SIBL
(0,11),(0,16),0.00392382 # DEPENDENCYPART_SIBL
(0,11),(0,17),0.00459541 # DEPENDENCYPART_SIBL
(0,11),(0,18),-0.0303232 # DEPENDENCYPART_SIBL
(0,11),(0,19),-0.117133 # DEPENDENCYPART_SIBL
(0,11),(0,20),-0.00815195 # DEPENDENCYPART_SIBL
(0,11),(0,21),-0.0464622 # DEPENDENCYPART_SIBL
(0,11),(0,22),0.00695854 # DEPENDENCYPART_SIBL
(0,11),(0,23),-0.126429 # DEPENDENCYPART_SIBL
(0,11),(0,24),-0.00815195 # DEPENDENCYPART_SIBL
(0,11),(0,25),-0.126699 # DEPENDENCYPART_SIBL
(0,11),(0,26),-0.00562242 # DEPENDENCYPART_SIBL
(0,11),(0,27),-0.00562242 # DEPENDENCYPART_SIBL
(0,11),(0,28),-0.00562242 # DEPENDENCYPART_SIBL
(0,11),(0,29),-0.0693041 # DEPENDENCYPART_SIBL
(0,12),(0,13),0.00636287 # DEPENDENCYPART_SIBL
(0,12),(0,14),-0.0553311 # DEPENDENCYPART_SIBL
(0,12),(0,15),-0.0877179 # DEPENDENCYPART_SIBL
(0,12),(0,16),0.0957118 # DEPENDENCYPART_SIBL
(0,12),(0,17),0.0544532 # DEPENDENCYPART_SIBL
(0,12),(0,18),-0.0153562 # DEPENDENCYPART_SIBL
(0,12),(0,19),-0.0297779 # DEPENDENCYPART_SIBL
(0,12),(0,20),-0.0588403 # DEPENDENCYPART_SIBL
(0,12),(0,21),-0.0718061 # DEPENDENCYPART_SIBL
(0,12),(0,22),0.0574648 # DEPENDENCYPART_SIBL
(0,12),(0,23),-0.0441851 # DEPENDENCYPART_SIBL
(0,12),(0,24),-0.0588403 # DEPENDENCYPART_SIBL
(0,12),(0,25),-0.0616311 # DEPENDENCYPART_SIBL
(0,12),(0,26),0.0861527 # DEPENDENCYPART_SIBL
(0,12),(0,27),0.0861527 # DEPENDENCYPART_SIBL
(0,12),(0,28),0.0861527 # DEPENDENCYPART_SIBL
(0,12),(0,29),-0.0925101 # DEPENDENCYPART_SIBL
(0,13),(0,14),-0.206179 # DEPENDENCYPART_SIBL
(0,13),(0,15),-0.10416 # DEPENDENCYPART_SIBL
(0,13),(0,16),-0.0186853 # DEPENDENCYPART_SIBL
(0,13),(0,17),-0.0579993 # DEPENDENCYPART_SIBL
(0,13),(0,18),-0.0654987 # DEPENDENCYPART_SIBL
(0,13),(0,19),-0.178855 # DEPENDENCYPART_SIBL
(0,13),(0,20),-0.080782 # DEPENDENCYPART_SIBL
(0,13),(0,21),-0.0780029 # DEPENDENCYPART_SIBL
(0,13),(0,22),-0.0563903 # DEPENDENCYPART_SIBL
(0,13),(0,23),-0.184773 # DEPENDENCYPART_SIBL
(0,13),(0,24),-0.080782 # DEPENDENCYPART_SIBL
(0,13),(0,25),-0.0859384 # DEPENDENCYPART_SIBL
(0,13),(0,26),-0.0282533 # DEPENDENCYPART_SIBL
(0,13),(0,27),-0.0282533 # DEPENDENCYPART_SIBL
(0,13),(0,28),-0.0282533 # DEPENDENCYPART_SIBL
(0,13),(0,29),-0.10788 # DEPENDENCYPART_SIBL
(0,14),(0,15),-0.0576302 # DEPENDENCYPART_SIBL
(0,14),(0,16),0.0016967 # DEPENDENCYPART_SIBL
(0,14),(0,17),0.00347998 # DEPENDENCYPART_SIBL
(0,14),(0,18),-0.0316204 # DEPENDENCYPART_SIBL
(0,14),(0,19),-0.118261 # DEPENDENCYPART_SIBL
(0,14),(0,20),-0.00938408 # DEPENDENCYPART_SIBL
(0,14),(0,21),-0.0485994 # DEPENDENCYPART_SIBL
(0,14),(0,22),0.0058431 # DEPENDENCYPART_SIBL
(0,14),(0,23),-0.127557 # DEPENDENCYPART_SIBL
(0,14),(0,24),-0.00938408 # DEPENDENCYPART_SIBL
(0,14),(0,25),-0.125773 # DEPENDENCYPART_SIBL
(0,14),(0,26),-0.00784954 # DEPENDENCYPART_SIBL
(0,14),(0,27),-0.00784954 # DEPENDENCYPART_SIBL
(0,14),(0,28),-0.00784954 # DEPENDENCYPART_SIBL
(0,14),(0,29),-0.0710332 # DEPENDENCYPART_SIBL
(0,15),(0,16),-0.128894 # DEPENDENCYPART_SIBL
(0,15),(0,17),-0.0656894 # DEPENDENCYPART_SIBL
(0,15),(0,18),-0.149969 # DEPENDENCYPART_SIBL
(0,15),(0,19),-0.086385 # DEPENDENCYPART_SIBL
(0,15),(0,20),-0.100133 # DEPENDENCYPART_SIBL
(0,15),(0,21),-0.237641 # DEPENDENCYPART_SIBL
(0,15),(0,22),-0.0665712 # DEPENDENCYPART_SIBL
(0,15),(0,23),-0.0965344 # DEPENDENCYPART_SIBL
(0,15),(0,24),-0.100133 # DEPENDENCYPART_SIBL
(0,15),(0,25),-0.121001 # DEPENDENCYPART_SIBL
(0,15),(0,26),-0.138462 # DEPENDENCYPART_SIBL
(0,15),(0,27),-0.138462 # DEPENDENCYPART_SIBL
(0,15),(0,28),-0.138462 # DEPENDENCYPART_SIBL
