# _root_ orduan , gai ezberdinei_buruzko elkarrizketa atsegin bati ekingo dio , nahiz_eta gizartean oso gaizki ikusiko liratekeen gaietaz hitzerdika hitzegingo duten .
#goldHeads=0,3,5,3,8,5,5,0,8,9,0,15,14,15,17,15,19,19,8,19,20,
#predictedHeads=8,3,8,3,8,5,5,0,8,9,0,15,14,15,17,15,19,19,8,19,20,
(0,4),(0,6),0.0329676 # DEPENDENCYPART_SIBL
(0,4),(0,7),0.0555954 # DEPENDENCYPART_SIBL
(0,4),(0,8),-0.0984475 # DEPENDENCYPART_SIBL
(0,4),(0,9),-0.0538218 # DEPENDENCYPART_SIBL
(0,4),(0,10),-0.072892 # DEPENDENCYPART_SIBL
(0,4),(0,11),-0.025578 # DEPENDENCYPART_SIBL
(0,4),(0,13),0.0107432 # DEPENDENCYPART_SIBL
(0,4),(0,14),0.0163176 # DEPENDENCYPART_SIBL
(0,4),(0,15),-0.098332 # DEPENDENCYPART_SIBL
(0,4),(0,16),-0.0317735 # DEPENDENCYPART_SIBL
(0,4),(0,17),-0.00442196 # DEPENDENCYPART_SIBL
(0,4),(0,18),0.0163176 # DEPENDENCYPART_SIBL
(0,4),(0,19),-0.098332 # DEPENDENCYPART_SIBL
(0,4),(0,20),-0.0325205 # DEPENDENCYPART_SIBL
(0,4),(0,21),-0.0798058 # DEPENDENCYPART_SIBL
(0,5),(0,6),0.0776124 # DEPENDENCYPART_SIBL
(0,5),(0,7),0.024454 # DEPENDENCYPART_SIBL
(0,5),(0,8),-0.0921667 # DEPENDENCYPART_SIBL
(0,5),(0,9),-0.0666447 # DEPENDENCYPART_SIBL
(0,5),(0,10),-0.114455 # DEPENDENCYPART_SIBL
(0,5),(0,11),-0.016994 # DEPENDENCYPART_SIBL
(0,5),(0,13),0.0405643 # DEPENDENCYPART_SIBL
(0,5),(0,14),0.0468013 # DEPENDENCYPART_SIBL
(0,5),(0,15),-0.0920535 # DEPENDENCYPART_SIBL
(0,5),(0,16),-0.0385087 # DEPENDENCYPART_SIBL
(0,5),(0,17),0.101516 # DEPENDENCYPART_SIBL
(0,5),(0,18),0.0468013 # DEPENDENCYPART_SIBL
(0,5),(0,19),-0.0920511 # DEPENDENCYPART_SIBL
(0,5),(0,20),-0.0399053 # DEPENDENCYPART_SIBL
(0,5),(0,21),-0.154597 # DEPENDENCYPART_SIBL
(0,6),(0,7),0.0555954 # DEPENDENCYPART_SIBL
(0,6),(0,8),-0.0984475 # DEPENDENCYPART_SIBL
(0,6),(0,9),-0.0542372 # DEPENDENCYPART_SIBL
(0,6),(0,10),-0.072892 # DEPENDENCYPART_SIBL
(0,6),(0,11),-0.025578 # DEPENDENCYPART_SIBL
(0,6),(0,13),0.0107432 # DEPENDENCYPART_SIBL
(0,6),(0,14),0.0163176 # DEPENDENCYPART_SIBL
(0,6),(0,15),-0.098332 # DEPENDENCYPART_SIBL
(0,6),(0,16),-0.0321888 # DEPENDENCYPART_SIBL
(0,6),(0,17),-0.00442196 # DEPENDENCYPART_SIBL
(0,6),(0,18),0.0163176 # DEPENDENCYPART_SIBL
(0,6),(0,19),-0.098332 # DEPENDENCYPART_SIBL
(0,6),(0,20),-0.0329358 # DEPENDENCYPART_SIBL
(0,6),(0,21),-0.0798058 # DEPENDENCYPART_SIBL
(0,7),(0,8),-0.119293 # DEPENDENCYPART_SIBL
(0,7),(0,9),-0.0764478 # DEPENDENCYPART_SIBL
(0,7),(0,10),-0.125177 # DEPENDENCYPART_SIBL
(0,7),(0,11),-0.024177 # DEPENDENCYPART_SIBL
(0,7),(0,13),-0.0327463 # DEPENDENCYPART_SIBL
(0,7),(0,14),-0.0251651 # DEPENDENCYPART_SIBL
(0,7),(0,15),-0.119177 # DEPENDENCYPART_SIBL
(0,7),(0,16),-0.0547744 # DEPENDENCYPART_SIBL
(0,7),(0,17),-0.00588625 # DEPENDENCYPART_SIBL
(0,7),(0,18),-0.0251651 # DEPENDENCYPART_SIBL
(0,7),(0,19),-0.119177 # DEPENDENCYPART_SIBL
(0,7),(0,20),-0.0554416 # DEPENDENCYPART_SIBL
(0,7),(0,21),-0.132282 # DEPENDENCYPART_SIBL
(0,8),(0,9),-0.0266665 # DEPENDENCYPART_SIBL
(0,8),(0,10),-0.0464699 # DEPENDENCYPART_SIBL
(0,8),(0,11),-0.0233174 # DEPENDENCYPART_SIBL
(0,8),(0,13),-0.0350212 # DEPENDENCYPART_SIBL
(0,8),(0,14),-0.0290732 # DEPENDENCYPART_SIBL
(0,8),(0,15),-0.117141 # DEPENDENCYPART_SIBL
(0,8),(0,16),0.00812187 # DEPENDENCYPART_SIBL
(0,8),(0,17),-0.00565202 # DEPENDENCYPART_SIBL
(0,8),(0,18),-0.0290732 # DEPENDENCYPART_SIBL
(0,8),(0,19),-0.117141 # DEPENDENCYPART_SIBL
(0,8),(0,20),0.00282785 # DEPENDENCYPART_SIBL
(0,8),(0,21),-0.0693118 # DEPENDENCYPART_SIBL
(0,9),(0,10),-0.0793206 # DEPENDENCYPART_SIBL
(0,9),(0,11),-0.030867 # DEPENDENCYPART_SIBL
(0,9),(0,13),0.00559262 # DEPENDENCYPART_SIBL
(0,9),(0,14),0.0147527 # DEPENDENCYPART_SIBL
(0,9),(0,15),-0.0222084 # DEPENDENCYPART_SIBL
(0,9),(0,16),-0.0983227 # DEPENDENCYPART_SIBL
(0,9),(0,17),0.0202416 # DEPENDENCYPART_SIBL
(0,9),(0,18),0.0147527 # DEPENDENCYPART_SIBL
(0,9),(0,19),-0.0214866 # DEPENDENCYPART_SIBL
(0,9),(0,20),-0.100244 # DEPENDENCYPART_SIBL
(0,9),(0,21),-0.0875598 # DEPENDENCYPART_SIBL
(0,10),(0,11),-0.15377 # DEPENDENCYPART_SIBL
(0,10),(0,13),-0.298727 # DEPENDENCYPART_SIBL
(0,10),(0,14),-0.290997 # DEPENDENCYPART_SIBL
(0,10),(0,15),-0.293028 # DEPENDENCYPART_SIBL
(0,10),(0,16),-0.200902 # DEPENDENCYPART_SIBL
(0,10),(0,17),-0.202026 # DEPENDENCYPART_SIBL
(0,10),(0,18),-0.290997 # DEPENDENCYPART_SIBL
(0,10),(0,19),-0.293028 # DEPENDENCYPART_SIBL
(0,10),(0,20),-0.205532 # DEPENDENCYPART_SIBL
(0,10),(0,21),-0.340789 # DEPENDENCYPART_SIBL
(0,11),(0,13),0.0379172 # DEPENDENCYPART_SIBL
(0,11),(0,14),0.050901 # DEPENDENCYPART_SIBL
(0,11),(0,15),-0.0435039 # DEPENDENCYPART_SIBL
(0,11),(0,16),-0.0266323 # DEPENDENCYPART_SIBL
(0,11),(0,17),-0.053794 # DEPENDENCYPART_SIBL
(0,11),(0,18),0.050901 # DEPENDENCYPART_SIBL
(0,11),(0,19),-0.0427821 # DEPENDENCYPART_SIBL
(0,11),(0,20),-0.0281277 # DEPENDENCYPART_SIBL
(0,11),(0,21),-0.0986088 # DEPENDENCYPART_SIBL
(0,13),(0,14),-0.0268877 # DEPENDENCYPART_SIBL
(0,13),(0,15),-0.0535277 # DEPENDENCYPART_SIBL
(0,13),(0,16),-0.0578818 # DEPENDENCYPART_SIBL
(0,13),(0,17),0.0741396 # DEPENDENCYPART_SIBL
(0,13),(0,18),-0.0268877 # DEPENDENCYPART_SIBL
(0,13),(0,19),-0.0535277 # DEPENDENCYPART_SIBL
(0,13),(0,20),-0.0585616 # DEPENDENCYPART_SIBL
(0,13),(0,21),-0.104427 # DEPENDENCYPART_SIBL
(0,14),(0,15),-0.020379 # DEPENDENCYPART_SIBL
(0,14),(0,16),-0.0425702 # DEPENDENCYPART_SIBL
(0,14),(0,17),0.0924022 # DEPENDENCYPART_SIBL
(0,14),(0,18),-0.0129557 # DEPENDENCYPART_SIBL
(0,14),(0,19),-0.020379 # DEPENDENCYPART_SIBL
(0,14),(0,20),-0.04325 # DEPENDENCYPART_SIBL
(0,14),(0,21),-0.0891196 # DEPENDENCYPART_SIBL
(0,15),(0,16),0.00665258 # DEPENDENCYPART_SIBL
(0,15),(0,17),-0.00701216 # DEPENDENCYPART_SIBL
(0,15),(0,18),-0.030456 # DEPENDENCYPART_SIBL
(0,15),(0,19),-0.118601 # DEPENDENCYPART_SIBL
(0,15),(0,20),0.00135855 # DEPENDENCYPART_SIBL
(0,15),(0,21),-0.0706938 # DEPENDENCYPART_SIBL
(0,16),(0,17),0.00542671 # DEPENDENCYPART_SIBL
(0,16),(0,18),0.0223544 # DEPENDENCYPART_SIBL
(0,16),(0,19),-0.0137375 # DEPENDENCYPART_SIBL
(0,16),(0,20),-0.0930843 # DEPENDENCYPART_SIBL
(0,16),(0,21),-0.0802417 # DEPENDENCYPART_SIBL
(0,17),(0,18),0.0264197 # DEPENDENCYPART_SIBL
(0,17),(0,19),-0.112279 # DEPENDENCYPART_SIBL
(0,17),(0,20),-0.0602908 # DEPENDENCYPART_SIBL
(0,17),(0,21),-0.174982 # DEPENDENCYPART_SIBL
(0,18),(0,19),-0.020379 # DEPENDENCYPART_SIBL
(0,18),(0,20),-0.04325 # DEPENDENCYPART_SIBL
(0,18),(0,21),-0.0891196 # DEPENDENCYPART_SIBL
(0,19),(0,20),0.00291926 # DEPENDENCYPART_SIBL
(0,19),(0,21),-0.0693041 # DEPENDENCYPART_SIBL
(0,20),(0,21),-0.0806518 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0685978 # DEPENDENCYPART_SIBL
(1,2),(1,13),-0.155683 # DEPENDENCYPART_SIBL
(1,2),(1,14),-0.153268 # DEPENDENCYPART_SIBL
(1,3),(1,13),0.0159655 # DEPENDENCYPART_SIBL
(1,3),(1,14),0.0166466 # DEPENDENCYPART_SIBL
(1,13),(1,14),-0.00169768 # DEPENDENCYPART_SIBL
(2,3),(2,19),-0.0169214 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.0135603 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0243815 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.028413 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.0256186 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.036841 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.00851456 # DEPENDENCYPART_SIBL
(3,1),(3,9),0.0506061 # DEPENDENCYPART_SIBL
(3,1),(3,19),0.00856871 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0292999 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0613505 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.030537 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.013966 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.0374943 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.016697 # DEPENDENCYPART_SIBL
(3,2),(3,19),-0.0374803 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0105353 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.00554003 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.112128 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.0458934 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.00812575 # DEPENDENCYPART_SIBL
(3,4),(3,19),-0.0458934 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.00360797 # DEPENDENCYPART_SIBL
(3,5),(3,7),0.0013717 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.036164 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.00721388 # DEPENDENCYPART_SIBL
(3,5),(3,19),-0.036164 # DEPENDENCYPART_SIBL
(3,6),(3,7),0.112128 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.0458934 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.00854108 # DEPENDENCYPART_SIBL
(3,6),(3,19),-0.0458934 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.0853999 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.0439241 # DEPENDENCYPART_SIBL
(3,7),(3,19),-0.0853999 # DEPENDENCYPART_SIBL
(3,8),(3,9),0.029404 # DEPENDENCYPART_SIBL
(3,8),(3,19),-0.0113527 # DEPENDENCYPART_SIBL
(3,9),(3,19),0.026411 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.0420537 # DEPENDENCYPART_SIBL
(5,1),(5,2),-0.0135716 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.075826 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.0137207 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.0275341 # DEPENDENCYPART_SIBL
(5,1),(5,7),0.0301778 # DEPENDENCYPART_SIBL
(5,1),(5,8),0.00762755 # DEPENDENCYPART_SIBL
(5,1),(5,9),0.0505861 # DEPENDENCYPART_SIBL
(5,1),(5,12),-0.0291671 # DEPENDENCYPART_SIBL
(5,1),(5,15),0.00768288 # DEPENDENCYPART_SIBL
(5,1),(5,17),-0.0291671 # DEPENDENCYPART_SIBL
(5,1),(5,19),0.00768415 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.112743 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.0405058 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.0325216 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.00722371 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.0384551 # DEPENDENCYPART_SIBL
(5,2),(5,9),-0.0167904 # DEPENDENCYPART_SIBL
(5,2),(5,12),-0.0640993 # DEPENDENCYPART_SIBL
(5,2),(5,15),-0.0384398 # DEPENDENCYPART_SIBL
(5,2),(5,17),-0.0640993 # DEPENDENCYPART_SIBL
(5,2),(5,19),-0.0384386 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.0162318 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.0330413 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.0298763 # DEPENDENCYPART_SIBL
(5,3),(5,8),0.000747258 # DEPENDENCYPART_SIBL
(5,3),(5,9),0.0105905 # DEPENDENCYPART_SIBL
(5,3),(5,12),-0.0397807 # DEPENDENCYPART_SIBL
(5,3),(5,15),0.000950372 # DEPENDENCYPART_SIBL
(5,3),(5,17),-0.0397807 # DEPENDENCYPART_SIBL
(5,3),(5,19),0.00114996 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.0259012 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.0405681 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.0208184 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.0161176 # DEPENDENCYPART_SIBL
(5,4),(5,12),-0.0436523 # DEPENDENCYPART_SIBL
(5,4),(5,15),-0.0215284 # DEPENDENCYPART_SIBL
