# _root_ Livestock and meat prices , however , dropped on concern that a financial crisis would cut consumption of beef and pork .
#goldHeads=8,1,4,2,8,8,8,0,8,9,10,14,14,15,11,15,16,17,18,19,20,8,
#predictedHeads=8,1,4,2,8,8,8,0,8,9,8,14,14,15,11,15,16,17,18,19,20,8,
(3,15),-2.40994 # DEPENDENCYPART_ARC
(3,16),-2.05515 # DEPENDENCYPART_ARC
(3,17),-2.6034 # DEPENDENCYPART_ARC
(3,18),-5.31459 # DEPENDENCYPART_ARC
(3,19),-2.96181 # DEPENDENCYPART_ARC
(3,20),-2.03172 # DEPENDENCYPART_ARC
(3,21),-3.49388 # DEPENDENCYPART_ARC
(3,22),-0.449178 # DEPENDENCYPART_ARC
(4,1),1.24093 # DEPENDENCYPART_ARC
(4,2),0.170961 # DEPENDENCYPART_ARC
(4,3),4.00332 # DEPENDENCYPART_ARC
(4,5),0.465469 # DEPENDENCYPART_ARC
(4,6),-0.701643 # DEPENDENCYPART_ARC
(4,7),1.05679 # DEPENDENCYPART_ARC
(4,8),-0.562044 # DEPENDENCYPART_ARC
(4,9),-0.220492 # DEPENDENCYPART_ARC
(4,10),-0.994914 # DEPENDENCYPART_ARC
(4,11),-1.02505 # DEPENDENCYPART_ARC
(4,12),-1.39327 # DEPENDENCYPART_ARC
(4,13),-1.40726 # DEPENDENCYPART_ARC
(4,14),-1.21889 # DEPENDENCYPART_ARC
(4,15),-1.48355 # DEPENDENCYPART_ARC
(4,16),-1.66214 # DEPENDENCYPART_ARC
(4,17),-2.0024 # DEPENDENCYPART_ARC
(4,18),-4.16157 # DEPENDENCYPART_ARC
(4,19),-1.25019 # DEPENDENCYPART_ARC
(4,20),-1.18956 # DEPENDENCYPART_ARC
(4,21),-2.53304 # DEPENDENCYPART_ARC
(4,22),-0.43758 # DEPENDENCYPART_ARC
(5,1),-1.3031 # DEPENDENCYPART_ARC
(5,2),-1.3841 # DEPENDENCYPART_ARC
(5,3),-1.37893 # DEPENDENCYPART_ARC
(5,4),-1.10286 # DEPENDENCYPART_ARC
(5,6),-0.297672 # DEPENDENCYPART_ARC
(5,7),0.618273 # DEPENDENCYPART_ARC
(5,8),-0.660788 # DEPENDENCYPART_ARC
(5,9),-0.942024 # DEPENDENCYPART_ARC
(5,10),-1.7072 # DEPENDENCYPART_ARC
(5,11),-0.971637 # DEPENDENCYPART_ARC
(5,12),-1.81711 # DEPENDENCYPART_ARC
(5,13),-2.02589 # DEPENDENCYPART_ARC
(5,14),-2.40304 # DEPENDENCYPART_ARC
(5,15),-1.78485 # DEPENDENCYPART_ARC
(5,16),-1.80564 # DEPENDENCYPART_ARC
(5,17),-2.72743 # DEPENDENCYPART_ARC
(5,18),-1.6241 # DEPENDENCYPART_ARC
(5,19),-2.85756 # DEPENDENCYPART_ARC
(5,20),-2.25319 # DEPENDENCYPART_ARC
(5,21),-3.05188 # DEPENDENCYPART_ARC
(5,22),-2.16345 # DEPENDENCYPART_ARC
(6,1),-0.936382 # DEPENDENCYPART_ARC
(6,2),-1.01209 # DEPENDENCYPART_ARC
(6,3),-0.452679 # DEPENDENCYPART_ARC
(6,4),-0.622154 # DEPENDENCYPART_ARC
(6,5),1.09445 # DEPENDENCYPART_ARC
(6,7),1.59501 # DEPENDENCYPART_ARC
(6,8),0.696664 # DEPENDENCYPART_ARC
(6,9),-0.363991 # DEPENDENCYPART_ARC
(6,10),-0.771931 # DEPENDENCYPART_ARC
(6,11),-0.800117 # DEPENDENCYPART_ARC
(6,12),-0.394979 # DEPENDENCYPART_ARC
(6,13),-0.980602 # DEPENDENCYPART_ARC
(6,14),-1.99209 # DEPENDENCYPART_ARC
(6,15),-0.862721 # DEPENDENCYPART_ARC
(6,16),-1.08219 # DEPENDENCYPART_ARC
(6,17),-2.14537 # DEPENDENCYPART_ARC
(6,18),-2.29592 # DEPENDENCYPART_ARC
(6,19),-2.59209 # DEPENDENCYPART_ARC
(6,20),-0.441902 # DEPENDENCYPART_ARC
(6,21),-2.9534 # DEPENDENCYPART_ARC
(6,22),1.05345 # DEPENDENCYPART_ARC
(7,1),-1.3947 # DEPENDENCYPART_ARC
(7,2),-1.93452 # DEPENDENCYPART_ARC
(7,3),-1.31925 # DEPENDENCYPART_ARC
(7,4),-1.48159 # DEPENDENCYPART_ARC
(7,5),-0.10879 # DEPENDENCYPART_ARC
(7,6),-0.683771 # DEPENDENCYPART_ARC
(7,8),-0.405389 # DEPENDENCYPART_ARC
(7,9),-1.60324 # DEPENDENCYPART_ARC
(7,10),-2.07362 # DEPENDENCYPART_ARC
(7,11),-1.69204 # DEPENDENCYPART_ARC
(7,12),-2.4639 # DEPENDENCYPART_ARC
(7,13),-2.53044 # DEPENDENCYPART_ARC
(7,14),-2.99721 # DEPENDENCYPART_ARC
(7,15),-2.37202 # DEPENDENCYPART_ARC
(7,16),-2.42056 # DEPENDENCYPART_ARC
(7,17),-3.3385 # DEPENDENCYPART_ARC
(7,18),-2.33815 # DEPENDENCYPART_ARC
(7,19),-3.44949 # DEPENDENCYPART_ARC
(7,20),-2.81359 # DEPENDENCYPART_ARC
(7,21),-3.67971 # DEPENDENCYPART_ARC
(7,22),-2.69749 # DEPENDENCYPART_ARC
(8,1),1.18553 # DEPENDENCYPART_ARC
(8,2),0.99611 # DEPENDENCYPART_ARC
(8,3),1.3897 # DEPENDENCYPART_ARC
(8,4),1.98684 # DEPENDENCYPART_ARC
(8,5),2.88084 # DEPENDENCYPART_ARC
(8,6),2.70328 # DEPENDENCYPART_ARC
(8,7),3.25348 # DEPENDENCYPART_ARC
(8,9),3.3173 # DEPENDENCYPART_ARC
(8,10),1.50685 # DEPENDENCYPART_ARC
(8,11),2.12023 # DEPENDENCYPART_ARC
(8,12),-0.369888 # DEPENDENCYPART_ARC
(8,13),0.0540559 # DEPENDENCYPART_ARC
(8,14),-0.0952529 # DEPENDENCYPART_ARC
(8,15),0.414749 # DEPENDENCYPART_ARC
(8,16),-0.14657 # DEPENDENCYPART_ARC
(8,17),-0.733228 # DEPENDENCYPART_ARC
(8,18),-0.339441 # DEPENDENCYPART_ARC
(8,19),-2.00309 # DEPENDENCYPART_ARC
(8,20),1.58457 # DEPENDENCYPART_ARC
(8,21),-1.71125 # DEPENDENCYPART_ARC
(8,22),6.69957 # DEPENDENCYPART_ARC
(9,1),-1.43124 # DEPENDENCYPART_ARC
(9,2),-0.963514 # DEPENDENCYPART_ARC
(9,3),-1.36424 # DEPENDENCYPART_ARC
(9,4),-1.1547 # DEPENDENCYPART_ARC
(9,5),-0.183428 # DEPENDENCYPART_ARC
(9,6),-0.191453 # DEPENDENCYPART_ARC
(9,7),0.0300778 # DEPENDENCYPART_ARC
(9,8),0.608704 # DEPENDENCYPART_ARC
(9,10),3.76233 # DEPENDENCYPART_ARC
(9,11),0.0520925 # DEPENDENCYPART_ARC
(9,12),-1.69603 # DEPENDENCYPART_ARC
(9,13),-0.487546 # DEPENDENCYPART_ARC
(9,14),0.151438 # DEPENDENCYPART_ARC
(9,15),-1.13634 # DEPENDENCYPART_ARC
(9,16),-1.07669 # DEPENDENCYPART_ARC
(9,17),-2.24261 # DEPENDENCYPART_ARC
(9,18),-0.70878 # DEPENDENCYPART_ARC
(9,19),-3.26789 # DEPENDENCYPART_ARC
(9,20),-0.00891059 # DEPENDENCYPART_ARC
(9,21),-4.57513 # DEPENDENCYPART_ARC
(9,22),0.203753 # DEPENDENCYPART_ARC
(10,1),-2.78443 # DEPENDENCYPART_ARC
(10,2),-1.61534 # DEPENDENCYPART_ARC
(10,3),-0.705845 # DEPENDENCYPART_ARC
(10,4),-1.86053 # DEPENDENCYPART_ARC
(10,5),-0.47185 # DEPENDENCYPART_ARC
(10,6),-1.1807 # DEPENDENCYPART_ARC
(10,7),-0.561517 # DEPENDENCYPART_ARC
(10,8),0.150089 # DEPENDENCYPART_ARC
(10,9),1.5459 # DEPENDENCYPART_ARC
(10,11),2.06298 # DEPENDENCYPART_ARC
(10,12),0.0846622 # DEPENDENCYPART_ARC
(10,13),0.211793 # DEPENDENCYPART_ARC
(10,14),0.624738 # DEPENDENCYPART_ARC
(10,15),0.219018 # DEPENDENCYPART_ARC
(10,16),0.00052316 # DEPENDENCYPART_ARC
(10,17),-0.133873 # DEPENDENCYPART_ARC
(10,18),-0.195454 # DEPENDENCYPART_ARC
(10,19),-0.734605 # DEPENDENCYPART_ARC
(10,20),1.3799 # DEPENDENCYPART_ARC
(10,21),-1.30878 # DEPENDENCYPART_ARC
(10,22),0.322976 # DEPENDENCYPART_ARC
(11,1),-2.00923 # DEPENDENCYPART_ARC
(11,2),-1.51467 # DEPENDENCYPART_ARC
(11,3),-1.81373 # DEPENDENCYPART_ARC
(11,4),-1.97236 # DEPENDENCYPART_ARC
(11,5),-0.380437 # DEPENDENCYPART_ARC
(11,6),-1.02229 # DEPENDENCYPART_ARC
(11,7),-0.329837 # DEPENDENCYPART_ARC
(11,8),-0.630982 # DEPENDENCYPART_ARC
(11,9),0.391987 # DEPENDENCYPART_ARC
(11,10),0.155031 # DEPENDENCYPART_ARC
(11,12),-0.663321 # DEPENDENCYPART_ARC
(11,13),0.118479 # DEPENDENCYPART_ARC
(11,14),1.00715 # DEPENDENCYPART_ARC
(11,15),3.80651 # DEPENDENCYPART_ARC
(11,16),0.814363 # DEPENDENCYPART_ARC
(11,17),-1.87544 # DEPENDENCYPART_ARC
(11,18),-0.303235 # DEPENDENCYPART_ARC
(11,19),-3.45784 # DEPENDENCYPART_ARC
(11,20),1.37289 # DEPENDENCYPART_ARC
(11,21),-4.01218 # DEPENDENCYPART_ARC
(11,22),0.99536 # DEPENDENCYPART_ARC
(12,1),-2.54462 # DEPENDENCYPART_ARC
(12,2),-2.3889 # DEPENDENCYPART_ARC
(12,3),-2.17994 # DEPENDENCYPART_ARC
(12,4),-1.89276 # DEPENDENCYPART_ARC
(12,5),-1.5442 # DEPENDENCYPART_ARC
(12,6),-1.72948 # DEPENDENCYPART_ARC
(12,7),-1.1571 # DEPENDENCYPART_ARC
(12,8),-1.18746 # DEPENDENCYPART_ARC
(12,9),0.0550929 # DEPENDENCYPART_ARC
(12,10),-0.951502 # DEPENDENCYPART_ARC
(12,11),0.243105 # DEPENDENCYPART_ARC
(12,13),0.948436 # DEPENDENCYPART_ARC
(12,14),0.373854 # DEPENDENCYPART_ARC
(12,15),0.270955 # DEPENDENCYPART_ARC
(12,16),-0.440883 # DEPENDENCYPART_ARC
(12,17),-0.436496 # DEPENDENCYPART_ARC
(12,18),-0.411538 # DEPENDENCYPART_ARC
(12,19),-0.572571 # DEPENDENCYPART_ARC
(12,20),-0.514828 # DEPENDENCYPART_ARC
(12,21),-0.985026 # DEPENDENCYPART_ARC
(12,22),-0.652255 # DEPENDENCYPART_ARC
(13,1),-2.07491 # DEPENDENCYPART_ARC
(13,2),-2.53093 # DEPENDENCYPART_ARC
(13,3),-1.78587 # DEPENDENCYPART_ARC
(13,4),-2.28309 # DEPENDENCYPART_ARC
(13,5),-1.23901 # DEPENDENCYPART_ARC
(13,6),-1.9165 # DEPENDENCYPART_ARC
(13,7),-1.12582 # DEPENDENCYPART_ARC
(13,8),-1.73911 # DEPENDENCYPART_ARC
(13,9),-0.313521 # DEPENDENCYPART_ARC
(13,10),-0.317039 # DEPENDENCYPART_ARC
(13,11),-0.0503484 # DEPENDENCYPART_ARC
(13,12),1.92438 # DEPENDENCYPART_ARC
(13,14),1.66788 # DEPENDENCYPART_ARC
(13,15),0.671173 # DEPENDENCYPART_ARC
(13,16),-0.0608714 # DEPENDENCYPART_ARC
(13,17),0.277793 # DEPENDENCYPART_ARC
(13,18),0.0798792 # DEPENDENCYPART_ARC
(13,19),-0.141231 # DEPENDENCYPART_ARC
(13,20),0.225744 # DEPENDENCYPART_ARC
(13,21),-0.643375 # DEPENDENCYPART_ARC
(13,22),0.19096 # DEPENDENCYPART_ARC
(14,1),-4.04646 # DEPENDENCYPART_ARC
(14,2),-0.988163 # DEPENDENCYPART_ARC
(14,3),-2.53141 # DEPENDENCYPART_ARC
(14,4),-1.84419 # DEPENDENCYPART_ARC
(14,5),-0.735619 # DEPENDENCYPART_ARC
(14,6),-2.30288 # DEPENDENCYPART_ARC
(14,7),-1.03041 # DEPENDENCYPART_ARC
(14,8),-0.358318 # DEPENDENCYPART_ARC
(14,9),0.365604 # DEPENDENCYPART_ARC
(14,10),0.137136 # DEPENDENCYPART_ARC
(14,11),0.465618 # DEPENDENCYPART_ARC
(14,12),4.51333 # DEPENDENCYPART_ARC
(14,13),4.55632 # DEPENDENCYPART_ARC
(14,15),0.248323 # DEPENDENCYPART_ARC
(14,16),0.501718 # DEPENDENCYPART_ARC
(14,17),0.257634 # DEPENDENCYPART_ARC
(14,18),0.727157 # DEPENDENCYPART_ARC
(14,19),-0.348012 # DEPENDENCYPART_ARC
(14,20),0.791912 # DEPENDENCYPART_ARC
(14,21),-0.810482 # DEPENDENCYPART_ARC
(14,22),0.361802 # DEPENDENCYPART_ARC
(15,1),0.325357 # DEPENDENCYPART_ARC
(15,2),-0.0815584 # DEPENDENCYPART_ARC
(15,3),-0.268757 # DEPENDENCYPART_ARC
(15,4),-0.346763 # DEPENDENCYPART_ARC
(15,5),0.577002 # DEPENDENCYPART_ARC
(15,6),0.480817 # DEPENDENCYPART_ARC
(15,7),0.571819 # DEPENDENCYPART_ARC
(15,8),0.320204 # DEPENDENCYPART_ARC
(15,9),1.16035 # DEPENDENCYPART_ARC
(15,10),1.37147 # DEPENDENCYPART_ARC
(15,11),0.663031 # DEPENDENCYPART_ARC
(15,12),0.897982 # DEPENDENCYPART_ARC
(15,13),1.02244 # DEPENDENCYPART_ARC
(15,14),2.57268 # DEPENDENCYPART_ARC
(15,16),4.24982 # DEPENDENCYPART_ARC
(15,17),1.26485 # DEPENDENCYPART_ARC
(15,18),0.66237 # DEPENDENCYPART_ARC
(15,19),0.473976 # DEPENDENCYPART_ARC
(15,20),1.72633 # DEPENDENCYPART_ARC
(15,21),0.137114 # DEPENDENCYPART_ARC
(15,22),4.21856 # DEPENDENCYPART_ARC
(16,1),-1.10801 # DEPENDENCYPART_ARC
(16,2),-1.90363 # DEPENDENCYPART_ARC
(16,3),-0.964326 # DEPENDENCYPART_ARC
(16,4),-1.2169 # DEPENDENCYPART_ARC
(16,5),-0.410923 # DEPENDENCYPART_ARC
(16,6),-0.880304 # DEPENDENCYPART_ARC
(16,7),-0.612176 # DEPENDENCYPART_ARC
(16,8),-0.979111 # DEPENDENCYPART_ARC
(16,9),-0.608668 # DEPENDENCYPART_ARC
(16,10),-0.282564 # DEPENDENCYPART_ARC
(16,11),1.10675 # DEPENDENCYPART_ARC
(16,12),0.348215 # DEPENDENCYPART_ARC
(16,13),0.603361 # DEPENDENCYPART_ARC
(16,14),0.0443532 # DEPENDENCYPART_ARC
(16,15),0.494415 # DEPENDENCYPART_ARC
(16,17),3.82705 # DEPENDENCYPART_ARC
(16,18),1.63586 # DEPENDENCYPART_ARC
(16,19),1.00443 # DEPENDENCYPART_ARC
(16,20),1.27131 # DEPENDENCYPART_ARC
(16,21),0.333746 # DEPENDENCYPART_ARC
(16,22),0.946271 # DEPENDENCYPART_ARC
(17,1),-5.95223 # DEPENDENCYPART_ARC
(17,2),-2.18971 # DEPENDENCYPART_ARC
(17,3),-4.03366 # DEPENDENCYPART_ARC
(17,4),-3.38657 # DEPENDENCYPART_ARC
(17,5),-2.58185 # DEPENDENCYPART_ARC
(17,6),-4.30047 # DEPENDENCYPART_ARC
(17,7),-2.80506 # DEPENDENCYPART_ARC
(17,8),-1.61789 # DEPENDENCYPART_ARC
(17,9),-1.24584 # DEPENDENCYPART_ARC
(17,10),-2.39256 # DEPENDENCYPART_ARC
(17,11),-1.0062 # DEPENDENCYPART_ARC
(17,12),1.83336 # DEPENDENCYPART_ARC
(17,13),1.54189 # DEPENDENCYPART_ARC
(17,14),0.194995 # DEPENDENCYPART_ARC
(17,15),-0.0521598 # DEPENDENCYPART_ARC
(17,16),1.0023 # DEPENDENCYPART_ARC
(17,18),3.82126 # DEPENDENCYPART_ARC
(17,19),1.40152 # DEPENDENCYPART_ARC
(17,20),2.79444 # DEPENDENCYPART_ARC
(17,21),0.507436 # DEPENDENCYPART_ARC
(17,22),1.04378 # DEPENDENCYPART_ARC
(18,1),-2.43516 # DEPENDENCYPART_ARC
(18,2),-2.36482 # DEPENDENCYPART_ARC
(18,3),-2.33426 # DEPENDENCYPART_ARC
(18,4),-2.4694 # DEPENDENCYPART_ARC
(18,5),-1.74474 # DEPENDENCYPART_ARC
(18,6),-1.69691 # DEPENDENCYPART_ARC
(18,7),-1.71148 # DEPENDENCYPART_ARC
(18,8),-1.25358 # DEPENDENCYPART_ARC
(18,9),-0.0355638 # DEPENDENCYPART_ARC
(18,10),-0.759205 # DEPENDENCYPART_ARC
(18,11),0.144022 # DEPENDENCYPART_ARC
(18,12),-0.741511 # DEPENDENCYPART_ARC
(18,13),-0.730991 # DEPENDENCYPART_ARC
(18,14),-0.402983 # DEPENDENCYPART_ARC
(18,15),-0.671771 # DEPENDENCYPART_ARC
(18,16),0.140293 # DEPENDENCYPART_ARC
(18,17),0.868328 # DEPENDENCYPART_ARC
(18,19),3.50853 # DEPENDENCYPART_ARC
(18,20),0.257742 # DEPENDENCYPART_ARC
(18,21),1.25936 # DEPENDENCYPART_ARC
(18,22),0.00852397 # DEPENDENCYPART_ARC
(19,1),-6.24616 # DEPENDENCYPART_ARC
(19,2),-1.9182 # DEPENDENCYPART_ARC
(19,3),-4.78831 # DEPENDENCYPART_ARC
(19,4),-3.91639 # DEPENDENCYPART_ARC
(19,5),-2.99036 # DEPENDENCYPART_ARC
(19,6),-4.65734 # DEPENDENCYPART_ARC
(19,7),-3.28983 # DEPENDENCYPART_ARC
(19,8),-2.23091 # DEPENDENCYPART_ARC
(19,9),-1.62091 # DEPENDENCYPART_ARC
(19,10),-3.17652 # DEPENDENCYPART_ARC
(19,11),-2.10477 # DEPENDENCYPART_ARC
(19,12),0.81103 # DEPENDENCYPART_ARC
(19,13),0.130754 # DEPENDENCYPART_ARC
(19,14),-0.917728 # DEPENDENCYPART_ARC
(19,15),-1.11672 # DEPENDENCYPART_ARC
(19,16),-0.539228 # DEPENDENCYPART_ARC
(19,17),0.323832 # DEPENDENCYPART_ARC
(19,18),0.775805 # DEPENDENCYPART_ARC
(19,20),4.03329 # DEPENDENCYPART_ARC
(19,21),0.713776 # DEPENDENCYPART_ARC
(19,22),0.0211496 # DEPENDENCYPART_ARC
(20,1),-2.52252 # DEPENDENCYPART_ARC
(20,2),-2.79306 # DEPENDENCYPART_ARC
(20,3),-2.10368 # DEPENDENCYPART_ARC
(20,4),-2.33623 # DEPENDENCYPART_ARC
(20,5),-2.4422 # DEPENDENCYPART_ARC
(20,6),-2.63727 # DEPENDENCYPART_ARC
(20,7),-2.19377 # DEPENDENCYPART_ARC
(20,8),-0.951438 # DEPENDENCYPART_ARC
(20,9),-1.23083 # DEPENDENCYPART_ARC
(20,10),-1.62711 # DEPENDENCYPART_ARC
(20,11),-1.08464 # DEPENDENCYPART_ARC
(20,12),-1.2393 # DEPENDENCYPART_ARC
(20,13),-1.38962 # DEPENDENCYPART_ARC
(20,14),-1.13301 # DEPENDENCYPART_ARC
(20,15),-1.40024 # DEPENDENCYPART_ARC
(20,16),-0.992177 # DEPENDENCYPART_ARC
(20,17),-0.317848 # DEPENDENCYPART_ARC
(20,18),-0.313989 # DEPENDENCYPART_ARC
(20,19),0.284401 # DEPENDENCYPART_ARC
(20,21),3.41945 # DEPENDENCYPART_ARC
(20,22),0.306904 # DEPENDENCYPART_ARC
(21,1),-6.89594 # DEPENDENCYPART_ARC
(21,2),-2.59416 # DEPENDENCYPART_ARC
(21,3),-5.29131 # DEPENDENCYPART_ARC
(21,4),-4.30136 # DEPENDENCYPART_ARC
(21,5),-3.2046 # DEPENDENCYPART_ARC
(21,6),-5.48049 # DEPENDENCYPART_ARC
(21,7),-3.69381 # DEPENDENCYPART_ARC
(21,8),-2.53351 # DEPENDENCYPART_ARC
(21,9),-2.45965 # DEPENDENCYPART_ARC
(21,10),-3.9708 # DEPENDENCYPART_ARC
(21,11),-2.82299 # DEPENDENCYPART_ARC
(21,12),-0.0427766 # DEPENDENCYPART_ARC
(21,13),-0.418545 # DEPENDENCYPART_ARC
(21,14),-2.02031 # DEPENDENCYPART_ARC
(21,15),-1.97462 # DEPENDENCYPART_ARC
(21,16),-1.39738 # DEPENDENCYPART_ARC
(21,17),-0.890102 # DEPENDENCYPART_ARC
(21,18),-0.69548 # DEPENDENCYPART_ARC
(21,19),0.704864 # DEPENDENCYPART_ARC
(21,20),0.552595 # DEPENDENCYPART_ARC
(21,22),-0.110643 # DEPENDENCYPART_ARC
(22,1),-2.19741 # DEPENDENCYPART_ARC
(22,2),-2.86471 # DEPENDENCYPART_ARC
(22,3),-1.93047 # DEPENDENCYPART_ARC
(22,4),-2.79532 # DEPENDENCYPART_ARC
(22,5),-1.2039 # DEPENDENCYPART_ARC
(22,6),-1.5414 # DEPENDENCYPART_ARC
(22,7),-0.864458 # DEPENDENCYPART_ARC
(22,8),-0.965684 # DEPENDENCYPART_ARC
(22,9),-2.30928 # DEPENDENCYPART_ARC
(22,10),-1.38755 # DEPENDENCYPART_ARC
(22,11),-1.99296 # DEPENDENCYPART_ARC
(22,12),-1.32043 # DEPENDENCYPART_ARC
(22,13),-1.63628 # DEPENDENCYPART_ARC
(22,14),-1.19335 # DEPENDENCYPART_ARC
(22,15),-0.925753 # DEPENDENCYPART_ARC
(22,16),-1.09867 # DEPENDENCYPART_ARC
(22,17),-1.2412 # DEPENDENCYPART_ARC
(22,18),-1.40521 # DEPENDENCYPART_ARC
(22,19),-0.868189 # DEPENDENCYPART_ARC
(22,20),-0.899828 # DEPENDENCYPART_ARC
(22,21),-1.35562 # DEPENDENCYPART_ARC
