# _root_ The CWA represents 40,000 Nynex workers and the IBEW represents 20,000 workers .
#goldHeads=2,3,0,6,6,3,3,9,10,7,12,10,3,
#predictedHeads=2,3,0,6,6,3,6,9,10,7,12,10,3,
(3,9),0.00103804 # DEPENDENCYPART_ARC
(3,10),0.640396 # DEPENDENCYPART_ARC
(3,11),-0.983821 # DEPENDENCYPART_ARC
(3,12),1.35622 # DEPENDENCYPART_ARC
(3,13),4.92574 # DEPENDENCYPART_ARC
(4,1),0.669002 # DEPENDENCYPART_ARC
(4,2),0.177303 # DEPENDENCYPART_ARC
(4,3),0.435309 # DEPENDENCYPART_ARC
(4,5),0.734487 # DEPENDENCYPART_ARC
(4,6),0.372405 # DEPENDENCYPART_ARC
(4,7),0.524333 # DEPENDENCYPART_ARC
(4,8),-0.767633 # DEPENDENCYPART_ARC
(4,9),-0.456366 # DEPENDENCYPART_ARC
(4,10),0.267943 # DEPENDENCYPART_ARC
(4,11),-0.828682 # DEPENDENCYPART_ARC
(4,12),-0.763509 # DEPENDENCYPART_ARC
(4,13),-0.509045 # DEPENDENCYPART_ARC
(5,1),1.3688 # DEPENDENCYPART_ARC
(5,2),0.487048 # DEPENDENCYPART_ARC
(5,3),-0.492815 # DEPENDENCYPART_ARC
(5,4),1.19783 # DEPENDENCYPART_ARC
(5,6),0.700827 # DEPENDENCYPART_ARC
(5,7),0.456979 # DEPENDENCYPART_ARC
(5,8),-0.150354 # DEPENDENCYPART_ARC
(5,9),-0.360187 # DEPENDENCYPART_ARC
(5,10),-0.476691 # DEPENDENCYPART_ARC
(5,11),-1.04252 # DEPENDENCYPART_ARC
(5,12),-1.07389 # DEPENDENCYPART_ARC
(5,13),0.30895 # DEPENDENCYPART_ARC
(6,1),3.22996 # DEPENDENCYPART_ARC
(6,2),1.90623 # DEPENDENCYPART_ARC
(6,3),0.645958 # DEPENDENCYPART_ARC
(6,4),3.76057 # DEPENDENCYPART_ARC
(6,5),4.51533 # DEPENDENCYPART_ARC
(6,7),2.38051 # DEPENDENCYPART_ARC
(6,8),0.339853 # DEPENDENCYPART_ARC
(6,9),0.867282 # DEPENDENCYPART_ARC
(6,10),1.32631 # DEPENDENCYPART_ARC
(6,11),0.319496 # DEPENDENCYPART_ARC
(6,12),0.306568 # DEPENDENCYPART_ARC
(6,13),1.65991 # DEPENDENCYPART_ARC
(7,1),-0.644919 # DEPENDENCYPART_ARC
(7,2),-0.277986 # DEPENDENCYPART_ARC
(7,3),-0.538627 # DEPENDENCYPART_ARC
(7,4),-0.388934 # DEPENDENCYPART_ARC
(7,5),0.0661096 # DEPENDENCYPART_ARC
(7,6),0.369405 # DEPENDENCYPART_ARC
(7,8),1.59084 # DEPENDENCYPART_ARC
(7,9),2.29381 # DEPENDENCYPART_ARC
(7,10),2.55285 # DEPENDENCYPART_ARC
(7,11),0.710742 # DEPENDENCYPART_ARC
(7,12),1.72246 # DEPENDENCYPART_ARC
(7,13),0.780227 # DEPENDENCYPART_ARC
(8,1),-2.64562 # DEPENDENCYPART_ARC
(8,2),-3.18631 # DEPENDENCYPART_ARC
(8,3),-3.14182 # DEPENDENCYPART_ARC
(8,4),-2.44278 # DEPENDENCYPART_ARC
(8,5),-2.45571 # DEPENDENCYPART_ARC
(8,6),-2.41947 # DEPENDENCYPART_ARC
(8,7),-1.67868 # DEPENDENCYPART_ARC
(8,9),-0.236801 # DEPENDENCYPART_ARC
(8,10),0.706389 # DEPENDENCYPART_ARC
(8,11),-0.352496 # DEPENDENCYPART_ARC
(8,12),-1.06351 # DEPENDENCYPART_ARC
(8,13),-1.09988 # DEPENDENCYPART_ARC
(9,1),0.359952 # DEPENDENCYPART_ARC
(9,2),-0.947624 # DEPENDENCYPART_ARC
(9,3),-1.00158 # DEPENDENCYPART_ARC
(9,4),0.264057 # DEPENDENCYPART_ARC
(9,5),0.262633 # DEPENDENCYPART_ARC
(9,6),0.335048 # DEPENDENCYPART_ARC
(9,7),0.563989 # DEPENDENCYPART_ARC
(9,8),4.11406 # DEPENDENCYPART_ARC
(9,10),1.45323 # DEPENDENCYPART_ARC
(9,11),0.822424 # DEPENDENCYPART_ARC
(9,12),-0.0188187 # DEPENDENCYPART_ARC
(9,13),0.770605 # DEPENDENCYPART_ARC
(10,1),-0.596634 # DEPENDENCYPART_ARC
(10,2),1.47135 # DEPENDENCYPART_ARC
(10,3),0.0681544 # DEPENDENCYPART_ARC
(10,4),-0.217756 # DEPENDENCYPART_ARC
(10,5),1.01339 # DEPENDENCYPART_ARC
(10,6),-0.112511 # DEPENDENCYPART_ARC
(10,7),0.457961 # DEPENDENCYPART_ARC
(10,8),0.730736 # DEPENDENCYPART_ARC
(10,9),3.0313 # DEPENDENCYPART_ARC
(10,11),1.49639 # DEPENDENCYPART_ARC
(10,12),3.15774 # DEPENDENCYPART_ARC
(10,13),3.76084 # DEPENDENCYPART_ARC
(11,1),-1.37655 # DEPENDENCYPART_ARC
(11,2),-1.70177 # DEPENDENCYPART_ARC
(11,3),-1.90372 # DEPENDENCYPART_ARC
(11,4),-0.505432 # DEPENDENCYPART_ARC
(11,5),-1.26044 # DEPENDENCYPART_ARC
(11,6),-1.16171 # DEPENDENCYPART_ARC
(11,7),-1.45508 # DEPENDENCYPART_ARC
(11,8),0.55022 # DEPENDENCYPART_ARC
(11,9),0.118042 # DEPENDENCYPART_ARC
(11,10),0.331395 # DEPENDENCYPART_ARC
(11,12),0.495829 # DEPENDENCYPART_ARC
(11,13),-0.666127 # DEPENDENCYPART_ARC
(12,1),-0.289219 # DEPENDENCYPART_ARC
(12,2),-1.2164 # DEPENDENCYPART_ARC
(12,3),-0.928683 # DEPENDENCYPART_ARC
(12,4),0.808779 # DEPENDENCYPART_ARC
(12,5),-0.167901 # DEPENDENCYPART_ARC
(12,6),-0.808688 # DEPENDENCYPART_ARC
(12,7),0.102688 # DEPENDENCYPART_ARC
(12,8),2.85938 # DEPENDENCYPART_ARC
(12,9),1.55479 # DEPENDENCYPART_ARC
(12,10),0.770895 # DEPENDENCYPART_ARC
(12,11),3.96127 # DEPENDENCYPART_ARC
(12,13),0.545331 # DEPENDENCYPART_ARC
(13,1),-1.62233 # DEPENDENCYPART_ARC
(13,2),-1.90511 # DEPENDENCYPART_ARC
(13,3),-1.17475 # DEPENDENCYPART_ARC
(13,4),-1.89037 # DEPENDENCYPART_ARC
(13,5),-1.62509 # DEPENDENCYPART_ARC
(13,6),-1.37972 # DEPENDENCYPART_ARC
(13,7),-1.22393 # DEPENDENCYPART_ARC
(13,8),-0.975348 # DEPENDENCYPART_ARC
(13,9),-1.36383 # DEPENDENCYPART_ARC
(13,10),-0.520586 # DEPENDENCYPART_ARC
(13,11),-1.49638 # DEPENDENCYPART_ARC
(13,12),-1.49669 # DEPENDENCYPART_ARC
